cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0549639,	29.495,	2.54895,	3.14668,	2.2123,	0.432841,	0.178633,	0.638956,	0.00687049,	0.0893164,	0.254208,	0.398488,	0.645826,	0.996221,	0.590862,	1.04431,	0.817588,	0.790107,	1.11302,	1.15424,	1.59395,	0.267949,	0.0893164,	2.8169,	0.103057,	0.535898,	0.0961869,	0.948128,	0.0618344,	0.0893164,	0.439711,	0.474064,	0.151151,	1.75198,	1.66953,	0.487805,	0.590862,	2.10924,	0.535898,	0.535898,	1.95122,	0.8382,	0.164892,	2.92683,	0.405359,	0.013741,	1.3741,	0.645826,	0.350395,	2.75507,	0.329784,	0.302302,	0.611474,	0.913775,	2.17795,	0.941257,	0.0412229,	0.453452,	0,	0.302302,	0.0549639,	0.906905,	0.288561,	0.185503,	0.0206115,	0.371007,	0.0755754,	1.2573,	0.865682,	0.0893164,	0.233597,	2.40467,	0.130539,	0.680179,	2.42528,	1.60082,	0.384748,	0.0618344,	0.467193,	0.453452,	0.171762,	0.109928,	0.123669,	0.109928,	0.570251,	1.19547,	0.487805,	0.013741,	1.40158,	0.522157,	0.357266,	0.0618344,	1.11302,	0.309172,	0.0824459,	0.0206115,	0.0343525,	0.116798,	0.0687049,	0.714531,	
AoAF,	0.0265834,	24.3038,	2.81119,	3.30298,	2.233,	0.438626,	0.279125,	0.890543,	0.00664584,	0.192729,	0.259188,	0.491792,	0.392105,	1.37569,	0.458563,	1.05669,	1.08327,	1.26271,	1.41556,	1.30923,	1.47538,	0.285771,	0.086396,	2.871,	0.0664584,	0.59148,	0.132917,	1.20954,	0.00664584,	0.112979,	0.531667,	0.372167,	0.192729,	2.04027,	1.72792,	0.584834,	0.797501,	2.08679,	0.498438,	0.505084,	2.00704,	1.06333,	0.132917,	3.37609,	0.491792,	0.0199375,	1.60829,	0.757626,	0.232604,	2.24629,	0.478501,	0.518376,	0.704459,	0.950356,	2.13332,	1.02346,	0.0132917,	0.644647,	0.0199375,	0.265834,	0.0598126,	1.0434,	0.259188,	0.245896,	0.0199375,	0.279125,	0.119625,	1.56177,	0.86396,	0.086396,	0.252542,	2.04692,	0.1595,	0.677876,	2.19313,	1.63488,	0.299063,	0.106333,	0.458563,	0.405396,	0.23925,	0.086396,	0.166146,	0.106333,	0.651293,	1.62823,	0.27248,	0.0199375,	1.62159,	0.618063,	0.43198,	0.0465209,	1.4355,	0.319,	0.119625,	0.0199375,	0.0199375,	0.179438,	0.132917,	0.657938,	
CD20+,	0.16409,	26.6431,	2.09863,	0.967268,	3.35089,	0.466361,	0.284999,	0.310908,	0.0431816,	0.0431816,	0.198635,	1.23499,	2.57362,	0.647724,	0.224544,	2.46135,	0.362726,	0.146818,	0.820451,	1.07954,	0.42318,	0.276362,	0.146818,	5.56179,	0.0690906,	0.146818,	0.0949996,	0.958632,	0.138181,	0.155454,	0.181363,	0.544088,	0.284999,	2.83271,	2.3059,	0.362726,	0.656361,	4.17134,	0.233181,	1.91726,	0.302271,	1.1659,	0.103636,	0.509543,	0.0949996,	0.00863632,	0.474998,	0.207272,	0.941359,	0.863632,	0.25909,	0.181363,	0.371362,	0.889541,	0.544088,	0.820451,	0.025909,	0.440453,	0.00863632,	0.284999,	0.103636,	0.708179,	0.215908,	0.345453,	0.0172726,	0.267726,	0.0949996,	1.51999,	2.53044,	0.112272,	0.509543,	2.17635,	0.025909,	0.794542,	4.7068,	0.155454,	1.3559,	0.0518179,	1.58908,	0.0690906,	0.172726,	0.129545,	0.0518179,	0.0777269,	0.138181,	1.58908,	0.604543,	0.00863632,	0.68227,	0.362726,	0.233181,	0.0345453,	1.42499,	0.431816,	0.138181,	0.0172726,	0.0604543,	0.0604543,	0.172726,	2.17635,	
GM06990,	0.173442,	27.5989,	2.49322,	0.845528,	1.9729,	0.292683,	0.195122,	0.390244,	0.249323,	0.0867209,	0.227642,	2.91599,	2.15718,	0.401084,	0.249323,	1.57182,	0.238482,	0.119241,	0.173442,	0.227642,	0.205962,	0.173442,	0.411924,	0.682927,	0.205962,	0.379404,	0.672087,	0.693767,	1.05149,	0.401084,	0.130081,	0.476965,	0.682927,	4.63957,	0.238482,	0.184282,	0.509485,	2.51491,	0.433604,	2.09214,	0.119241,	0.509485,	0.162602,	0.0216802,	0.0758808,	0.238482,	0.0325203,	0.162602,	2.21138,	0.130081,	0.0650407,	0.130081,	0.0867209,	1.78862,	0.260163,	0.390244,	0.173442,	0.249323,	0.173442,	0.466125,	1.10569,	0.617886,	0.455285,	0.791328,	0.140921,	0.845528,	0.0216802,	0.856369,	1.46341,	0.271003,	0.639566,	2.81843,	0.0650407,	0.401084,	2.57995,	0.130081,	3.88076,	0.0216802,	5.51761,	0.303523,	0.910569,	0.867209,	0.0542005,	0.130081,	0.834688,	0.867209,	1.42005,	0.0325203,	1.05149,	0.119241,	0.0433604,	0.205962,	0.140921,	0.379404,	0.0433604,	0.0758808,	0.162602,	0.097561,	0.672087,	2.15718,	
GM12865,	0.168016,	21.002,	2.5737,	0.977547,	2.88682,	0.473499,	0.351306,	0.412403,	0.0152742,	0.0840079,	0.297846,	1.03101,	1.88636,	1.07683,	0.259661,	2.73408,	0.557507,	0.412403,	1.3594,	1.53505,	0.534596,	0.320758,	0.106919,	4.7579,	0.0687338,	0.175653,	0.0610967,	1.36704,	0.0534596,	0.198564,	0.702612,	0.672064,	0.213838,	2.27585,	2.3064,	0.885902,	0.824805,	3.65053,	0.336032,	1.45868,	0.740797,	1.76417,	0.0763709,	1.0081,	0.274935,	0.0152742,	0.91645,	0.649152,	0.740797,	1.06919,	0.442951,	0.252024,	0.794257,	0.840079,	0.847717,	0.985184,	0.0610967,	0.572781,	0.00763709,	0.450588,	0.091645,	0.794257,	0.168016,	0.54987,	0.0458225,	0.328395,	0.160379,	1.84817,	2.13838,	0.0840079,	0.473499,	2.06965,	0.091645,	1.19902,	4.05529,	0.343669,	0.96991,	0.106919,	1.14556,	0.168016,	0.145105,	0.145105,	0.0458225,	0.114556,	0.267298,	1.894,	0.54987,	0.0229113,	1.05392,	0.60333,	0.358943,	0.091645,	1.95509,	0.526959,	0.114556,	0.0152742,	0.0229113,	0.0687338,	0.152742,	1.44341,	
H7-hESC,	0.13671,	17.5997,	2.99324,	1.82041,	2.84933,	0.590013,	0.25903,	0.618794,	0.0287811,	0.309397,	0.460498,	0.89941,	1.15124,	1.38149,	0.402936,	2.02907,	0.769895,	0.813067,	1.89236,	1.59735,	0.978558,	0.338178,	0.115124,	4.07253,	0.165491,	0.309397,	0.129515,	1.57577,	0.0575622,	0.151101,	0.748309,	0.496474,	0.230249,	2.2809,	2.03626,	0.77709,	0.719528,	3.01482,	0.510865,	1.14405,	1.32393,	1.69089,	0.100734,	2.07224,	0.510865,	0,	1.55418,	0.65477,	0.417326,	1.61174,	0.625989,	0.417326,	0.683552,	1.10807,	1.35271,	1.09368,	0.0287811,	0.769895,	0,	0.575622,	0.115124,	1.16564,	0.266225,	0.323788,	0.0287811,	0.460498,	0.273421,	1.69089,	1.45345,	0.179882,	0.359764,	2.00029,	0.12232,	0.920996,	2.95726,	0.863434,	0.625989,	0.143906,	0.697942,	0.25903,	0.151101,	0.115124,	0.158296,	0.13671,	0.467693,	1.95712,	0.474888,	0.0431717,	1.30954,	0.618794,	0.510865,	0.158296,	1.56857,	0.618794,	0.115124,	0.0359764,	0.0359764,	0.201468,	0.187077,	1.18003,	
HA-h,	0.032652,	28.6293,	2.33788,	4.02273,	1.69137,	0.561614,	0.189382,	0.724874,	0.0130608,	0.117547,	0.33305,	0.33305,	0.568145,	1.34526,	1.12323,	0.64651,	1.15588,	0.97956,	0.862013,	0.933847,	1.6326,	0.261216,	0.111017,	2.33788,	0.104486,	0.457128,	0.097956,	0.679161,	0.0457128,	0.111017,	0.666101,	0.470189,	0.215503,	1.35179,	1.70443,	0.417946,	0.581205,	2.37053,	0.587736,	0.352642,	2.23993,	0.666101,	0.150199,	3.12153,	0.352642,	0.0065304,	1.25384,	0.672631,	0.16979,	2.84725,	0.49631,	0.352642,	1.06446,	0.8163,	2.77542,	1.09711,	0.0391824,	0.509371,	0.0391824,	0.293868,	0.0522432,	1.01221,	0.424476,	0.274277,	0.0130608,	0.32652,	0.0718344,	1.08405,	0.65957,	0.0783648,	0.235094,	2.07667,	0.117547,	0.522432,	1.73709,	1.82198,	0.385294,	0.097956,	0.346111,	0.509371,	0.300398,	0.130608,	0.0848952,	0.124078,	0.82283,	1.10364,	0.339581,	0.0261216,	1.22772,	0.633449,	0.457128,	0.0391824,	1.46934,	0.437537,	0.0848952,	0.065304,	0.032652,	0.0718344,	0.0783648,	0.502841,	
HAEpiC,	0.0406504,	34.2005,	2.75745,	3.40786,	2.15447,	0.271003,	0.149052,	0.50813,	0.0135501,	0.135501,	0.264228,	0.501355,	0.311653,	0.907859,	0.636856,	0.724932,	0.785908,	1.36856,	1.07046,	1.13144,	1.26016,	0.338753,	0.0542005,	2.23577,	0.0813008,	0.623306,	0.0880759,	0.826558,	0.0135501,	0.101626,	0.338753,	0.413279,	0.149052,	1.91057,	1.36856,	0.386179,	0.474255,	1.82249,	0.589431,	0.359079,	2.14092,	0.609756,	0.0880759,	3.25881,	0.413279,	0.00677507,	1.44309,	0.426829,	0.237127,	2.75745,	0.304878,	0.542005,	0.386179,	1.00949,	2.13415,	1.01626,	0.0203252,	0.331978,	0,	0.189702,	0.0609756,	0.779133,	0.216802,	0.128726,	0.00677507,	0.372629,	0.0745258,	1.20596,	0.562331,	0.0745258,	0.189702,	2.37805,	0.0677507,	0.433604,	1.72764,	1.89702,	0.311653,	0.0542005,	0.331978,	0.487805,	0.223577,	0.101626,	0.142276,	0.108401,	0.684282,	1.09079,	0.379404,	0.0271003,	1.07046,	0.474255,	0.182927,	0.0406504,	0.934959,	0.182927,	0.0880759,	0.00677507,	0.0135501,	0.0880759,	0.0542005,	0.650406,	
HCF,	0.0959167,	19.06,	2.71307,	2.92546,	2.24719,	0.561798,	0.274048,	0.726226,	0.0137024,	0.130173,	0.267197,	0.45903,	0.719375,	1.38394,	0.616607,	1.58263,	1.02083,	0.911209,	1.58263,	1.61688,	1.29488,	0.328857,	0.0616607,	3.61058,	0.137024,	0.376816,	0.0890655,	1.18526,	0.0274048,	0.0822143,	0.753631,	0.411072,	0.232941,	2.0211,	1.93889,	0.787887,	0.767334,	2.80214,	0.506988,	0.753631,	2.06221,	1.34283,	0.143875,	2.93916,	0.472732,	0,	1.64429,	0.931762,	0.280899,	2.52809,	0.69197,	0.411072,	0.993423,	0.739929,	1.94574,	1.08249,	0.0137024,	0.74678,	0.0137024,	0.322006,	0.0890655,	1.25377,	0.369964,	0.301452,	0.0274048,	0.322006,	0.198685,	1.60318,	1.26747,	0.102768,	0.349411,	1.82242,	0.0753631,	0.952316,	2.46643,	1.28117,	0.390518,	0.102768,	0.541244,	0.335708,	0.205536,	0.150726,	0.109619,	0.137024,	0.602905,	1.67854,	0.40422,	0.034256,	1.52782,	0.883804,	0.561798,	0.0959167,	1.80186,	0.479583,	0.0822143,	0.00685119,	0.0205536,	0.143875,	0.11647,	0.719375,	
HCM,	0.0553021,	25.9505,	2.60611,	3.17296,	2.17752,	0.490806,	0.193557,	0.691276,	0.00691276,	0.0898659,	0.283423,	0.442417,	0.622149,	1.14752,	0.566846,	0.974699,	0.995438,	1.07839,	1.36181,	1.36873,	1.70054,	0.290336,	0.0898659,	2.77202,	0.0967787,	0.359464,	0.0760404,	1.03691,	0.0345638,	0.117517,	0.428591,	0.539195,	0.235034,	1.78349,	1.88027,	0.442417,	0.553021,	2.45403,	0.504632,	0.518457,	2.34343,	0.836444,	0.103691,	3.0347,	0.40094,	0,	1.48624,	0.760404,	0.20047,	2.72363,	0.3249,	0.421678,	0.739665,	0.905572,	2.46786,	1.03691,	0.027651,	0.511544,	0.0207383,	0.297249,	0.0829531,	0.877921,	0.255772,	0.235034,	0.027651,	0.3249,	0.110604,	1.26504,	0.836444,	0.0760404,	0.221208,	2.04618,	0.12443,	0.794968,	2.61302,	1.76275,	0.40094,	0.0414766,	0.414766,	0.470068,	0.179732,	0.117517,	0.158993,	0.103691,	0.47698,	1.16134,	0.359464,	0.00691276,	1.61067,	0.80188,	0.504632,	0.0483893,	1.28577,	0.394027,	0.0691276,	0.0414766,	0.00691276,	0.0898659,	0.0760404,	0.691276,	
