cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.119261,	24.4782,	2.38521,	1.46094,	1.93798,	0.864639,	0.178891,	0.715563,	0.238521,	0.0894454,	0.238521,	1.13298,	1.04353,	1.19261,	0.387597,	0.715563,	1.84854,	0.208706,	0.536673,	0.685748,	1.75909,	1.16279,	0.238521,	1.84854,	0.238521,	0.596303,	0.775194,	0.327967,	0.178891,	0.0596303,	0.536673,	2.47466,	0.178891,	1.5802,	0.715563,	0.298151,	0.566488,	2.32558,	0.566488,	2.29577,	1.40131,	0.447227,	0.477042,	1.72928,	0.119261,	0.0894454,	0.357782,	0.0894454,	1.07335,	0.894454,	0.208706,	0.0596303,	0.0894454,	1.72928,	2.05725,	0.954085,	0.178891,	0.208706,	0.119261,	0.715563,	0.298151,	2.83244,	0.357782,	0.268336,	0.0298151,	0.238521,	0,	1.84854,	2.29577,	0.0596303,	0.208706,	2.14669,	0.208706,	0.745379,	2.38521,	0.477042,	1.69946,	0.238521,	1.99761,	0.268336,	1.07335,	0.268336,	0.0596303,	0.208706,	0.626118,	0.715563,	1.90817,	0.0894454,	0.715563,	0.178891,	0.0298151,	0.119261,	0.298151,	0.238521,	0.178891,	0,	0.208706,	0.775194,	0.506858,	1.01372,	
AoAF,	0.0558036,	22.4888,	2.12054,	2.06473,	2.51116,	0.641741,	0.139509,	0.920759,	0.223214,	0,	0.111607,	1.45089,	0.47433,	1.06027,	0.334821,	0.30692,	1.81362,	0.279018,	0.223214,	0.697545,	2.12054,	0.976562,	0.251116,	1.45089,	0.139509,	0.446429,	1.17188,	0.334821,	0.334821,	0,	0.613839,	2.34375,	0.195312,	1.5904,	1.00446,	0.223214,	0.47433,	2.06473,	1.00446,	2.06473,	1.22768,	0.334821,	0.279018,	2.12054,	0.0837054,	0,	0.362723,	0.0279018,	1.28348,	0.697545,	0.195312,	0.139509,	0.167411,	1.81362,	2.17634,	1.22768,	0.0837054,	0.279018,	0.0558036,	0.47433,	0.251116,	4.01786,	0.251116,	0.30692,	0.167411,	0.251116,	0.0837054,	1.67411,	2.12054,	0.0837054,	0.502232,	1.70201,	0.167411,	0.641741,	2.39955,	0.47433,	2.28795,	0.139509,	2.23214,	0.362723,	1.25558,	0.47433,	0.111607,	0.223214,	0.725446,	0.530134,	1.70201,	0.167411,	0.251116,	0.195312,	0.0837054,	0,	0.251116,	0.251116,	0.362723,	0.0279018,	0.111607,	1.11607,	1.00446,	1.28348,	
CD20+,	0.064041,	25.8726,	1.98527,	1.37688,	2.72174,	0.544348,	0.256164,	0.352225,	0.128082,	0.0320205,	0.160102,	1.47294,	1.37688,	1.05668,	0.448287,	1.18476,	1.18476,	0.256164,	0.384246,	0.416266,	1.12072,	1.15274,	0.352225,	2.11335,	0.064041,	0.352225,	0.736471,	0.352225,	0.384246,	0.064041,	0.512328,	1.76113,	0.128082,	2.20941,	1.28082,	0.512328,	0.64041,	2.01729,	0.608389,	1.72911,	0.736471,	0.512328,	0.384246,	1.12072,	0.0960615,	0.128082,	0.288184,	0.0960615,	1.85719,	0.768492,	0.224143,	0.160102,	0.384246,	1.28082,	1.37688,	0.64041,	0.256164,	0.128082,	0.064041,	0.768492,	0.416266,	2.20941,	0.224143,	0.448287,	0.160102,	0.384246,	0.0960615,	1.66507,	2.68972,	0.128082,	0.192123,	2.40154,	0.224143,	0.416266,	2.88184,	0.416266,	2.27346,	0.160102,	2.17739,	0.352225,	0.896574,	0.352225,	0.064041,	0.256164,	0.608389,	0.67243,	1.85719,	0.064041,	0.480307,	0.160102,	0,	0.0960615,	0.512328,	0.384246,	0.0960615,	0.064041,	0.0960615,	0.608389,	0.64041,	1.53698,	
GM06990,	0.0393701,	31.8898,	1.02362,	1.37795,	3.4252,	0.787402,	0.511811,	0.590551,	0.15748,	0.0393701,	0.0787402,	3.8189,	2.40157,	0.11811,	0.944882,	0.984252,	0.590551,	0.0393701,	0.23622,	0.19685,	0.629921,	0.354331,	0.472441,	1.29921,	0.0787402,	0.11811,	0.590551,	0.15748,	0.275591,	0.433071,	0.354331,	0.944882,	0.551181,	2.28346,	0.23622,	0.826772,	0.551181,	0.944882,	0.314961,	1.5748,	1.29921,	0.511811,	0.11811,	0.11811,	0,	0.15748,	0.0393701,	0.19685,	1.61417,	0.433071,	0.0787402,	0.0787402,	0.866142,	4.05512,	1.22047,	2.00787,	0.19685,	0.354331,	0.0787402,	1.61417,	0.275591,	0.905512,	0.393701,	0.275591,	0.19685,	0.590551,	0,	1.33858,	1.9685,	0.0393701,	0.275591,	1.81102,	0.0393701,	0.314961,	3.50394,	0.19685,	2.04724,	0,	1.85039,	0.0393701,	0.275591,	0.15748,	0.0787402,	0.511811,	1.37795,	0.629921,	0.787402,	0,	0.354331,	0.11811,	0.0393701,	0.0393701,	0.19685,	0.708661,	0.0393701,	0.23622,	0.19685,	0.0393701,	0.11811,	0.748031,	
GM12865,	0.0610874,	27.4893,	2.26023,	1.34392,	2.56567,	0.702505,	0.152718,	0.58033,	0.183262,	0.0305437,	0.213806,	1.31338,	1.06903,	0.58033,	0.488699,	0.824679,	1.43555,	0.152718,	0.152718,	0.763592,	0.977398,	0.824679,	0.152718,	1.74099,	0.0305437,	0.213806,	0.671961,	0.458155,	0.244349,	0.213806,	0.366524,	2.22969,	0.213806,	1.71045,	0.977398,	0.183262,	0.671961,	1.74099,	0.671961,	2.38241,	0.671961,	0.397068,	0.274893,	0.977398,	0.0305437,	0.0305437,	0.244349,	0.213806,	1.61881,	0.641417,	0.183262,	0.122175,	0.122175,	1.86316,	1.4661,	1.16066,	0.091631,	0.091631,	0.091631,	0.427612,	0.305437,	2.77947,	0.244349,	0.305437,	0.0305437,	0.427612,	0.0610874,	2.1686,	2.6573,	0.183262,	0.610874,	2.13806,	0.213806,	0.549786,	2.90165,	0.397068,	2.38241,	0.244349,	2.35186,	0.152718,	0.977398,	0.366524,	0.0610874,	0.183262,	0.427612,	0.885767,	1.83262,	0.152718,	0.213806,	0.244349,	0,	0.091631,	0.305437,	0.244349,	0.183262,	0,	0.183262,	0.671961,	0.671961,	1.43555,	
H7-hESC,	0.0885217,	19.7108,	2.41959,	1.59339,	1.50487,	0.501623,	0.147536,	1.12127,	0.147536,	0,	0.32458,	1.59339,	0.501623,	1.2098,	0.206551,	0.619652,	1.6229,	0.236058,	0.354087,	0.826202,	2.15403,	0.85571,	0.53113,	2.00649,	0.206551,	0.354087,	1.2098,	0.678666,	0.32458,	0.0885217,	0.560637,	2.036,	0.236058,	1.44585,	0.973739,	0.147536,	0.708174,	2.12452,	0.619652,	2.15403,	1.2098,	0.383594,	0.413101,	2.06551,	0.0590145,	0.0590145,	0.32458,	0.147536,	1.44585,	0.708174,	0.295072,	0.147536,	0.206551,	1.77043,	2.41959,	1.44585,	0.265565,	0.206551,	0.147536,	0.619652,	0.236058,	3.21629,	0.708174,	0.32458,	0.0590145,	0.265565,	0.0590145,	1.74093,	3.00974,	0.118029,	0.206551,	1.94748,	0.118029,	0.914724,	2.39009,	0.472116,	2.09501,	0.236058,	2.30156,	0.413101,	1.00325,	0.501623,	0.0885217,	0.265565,	0.826202,	0.737681,	1.6229,	0.206551,	0.265565,	0.206551,	0,	0.0295072,	0.206551,	0.118029,	0.295072,	0.0295072,	0.236058,	1.00325,	1.18029,	1.85896,	
HA-h,	0.24644,	18.5378,	1.6977,	2.13582,	1.83461,	0.903614,	0.355969,	1.04053,	0.219058,	0.0547645,	0.273823,	1.09529,	0.985761,	1.61555,	0.520263,	0.355969,	2.10843,	0.383352,	0.739321,	0.492881,	1.80723,	1.36911,	0.438116,	1.58817,	0.328587,	0.383352,	1.06791,	0.328587,	0.328587,	0.136911,	0.766703,	2.73823,	0.136911,	1.61555,	0.657174,	0.164294,	0.520263,	1.28697,	0.657174,	1.06791,	1.72508,	0.575027,	0.520263,	1.97152,	0.0821468,	0.0547645,	0.60241,	0.328587,	1.17744,	0.958379,	0.520263,	0.24644,	0.301205,	1.88938,	2.82037,	1.53341,	0.328587,	0.355969,	0.0273823,	0.60241,	0.328587,	2.71084,	0.520263,	0.410734,	0.219058,	0.410734,	0.0273823,	1.31435,	1.56079,	0.0821468,	0.219058,	1.72508,	0.657174,	0.876232,	2.60131,	0.711939,	2.19058,	0.383352,	1.77985,	0.465498,	1.36911,	0.438116,	0.0547645,	0.164294,	1.17744,	0.575027,	1.77985,	0.301205,	0.24644,	0.191676,	0.191676,	0.0821468,	0.492881,	0.355969,	0.383352,	0.136911,	0.219058,	1.04053,	1.01314,	0.985761,	
HAEpiC,	0.0901172,	21.5981,	2.6134,	1.71223,	1.98258,	0.690898,	0.180234,	0.720937,	0.120156,	0.030039,	0.240312,	1.29168,	0.420547,	1.14148,	0.270351,	0.600781,	2.13277,	0.150195,	0.480625,	0.750976,	2.76359,	0.871132,	0.240312,	1.80234,	0.0901172,	0.420547,	1.14148,	0.360469,	0.300391,	0.0901172,	0.480625,	1.86242,	0.0600781,	1.14148,	0.871132,	0.120156,	0.510664,	2.4632,	0.781015,	2.34305,	1.35176,	0.420547,	0.540703,	2.16281,	0.030039,	0.0901172,	0.390508,	0.030039,	1.59207,	0.871132,	0.480625,	0.150195,	0.0901172,	1.56203,	2.04266,	1.14148,	0.0901172,	0.210273,	0.210273,	0.510664,	0.120156,	2.52328,	0.540703,	0.420547,	0.0600781,	0.390508,	0.0600781,	1.74226,	2.4632,	0.0901172,	0.240312,	1.9225,	0.0600781,	0.720937,	2.49324,	0.720937,	1.83238,	0.0600781,	2.64344,	0.270351,	1.47191,	0.811054,	0,	0.180234,	0.750976,	0.540703,	2.28297,	0.0901172,	0.300391,	0.120156,	0.030039,	0.120156,	0.210273,	0.240312,	0.360469,	0.030039,	0.120156,	1.02133,	0.781015,	1.26164,	
HCF,	0.0868307,	23.1838,	2.22865,	1.73661,	1.96816,	0.636758,	0.260492,	0.694645,	0.144718,	0.0868307,	0.260492,	1.15774,	0.81042,	1.53401,	0.463097,	0.578871,	1.73661,	0.376266,	0.318379,	0.926194,	2.05499,	0.89725,	0.202605,	1.64978,	0.144718,	0.40521,	1.1288,	0.260492,	0.463097,	0.0868307,	0.578871,	2.14182,	0.144718,	1.50507,	0.926194,	0.231548,	0.694645,	1.85239,	0.926194,	2.72069,	1.53401,	0.434153,	0.492041,	1.93922,	0.0578871,	0.0578871,	0.173661,	0.231548,	1.15774,	0.520984,	0.260492,	0.144718,	0.318379,	1.7945,	2.51809,	1.27352,	0.289436,	0.289436,	0.0289436,	0.463097,	0.173661,	3.1259,	0.202605,	0.260492,	0.202605,	0.318379,	0,	1.93922,	2.17077,	0.0289436,	0.260492,	2.28654,	0.289436,	0.839363,	2.37337,	0.463097,	1.67873,	0.173661,	1.82344,	0.376266,	1.50507,	0.231548,	0.0578871,	0.289436,	0.723589,	0.434153,	1.5919,	0.0868307,	0.318379,	0.144718,	0.0289436,	0.202605,	0.289436,	0.144718,	0.173661,	0.0578871,	0.0868307,	0.665702,	0.665702,	1.1288,	
