cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.335196,	21.5323,	2.42618,	2.28252,	1.67598,	0.367119,	0.462889,	0.718276,	0.399042,	0.207502,	0.383081,	0.750199,	0.510774,	0.830008,	0.654429,	1.06943,	0.510774,	0.654429,	1.62809,	0.861931,	1.22905,	0.494812,	0.494812,	1.9154,	0.271349,	1.54828,	0.542698,	0.718276,	0.111732,	0.127694,	0.510774,	0.798085,	0.319234,	2.15483,	2.63368,	0.127694,	0.654429,	3.73504,	1.02155,	0.462889,	1.64405,	0.718276,	0.271349,	2.20271,	0.19154,	0.0638468,	0.798085,	0.19154,	0.383081,	1.42059,	0.750199,	0.430966,	0.383081,	1.11732,	2.4581,	1.03751,	0.303272,	0.367119,	0.0478851,	0.271349,	0.622506,	0.335196,	0.494812,	0.399042,	0.111732,	0.957702,	0.0638468,	0.494812,	0.94174,	0.207502,	0.303272,	1.58021,	0.28731,	0.814046,	3.03272,	0.830008,	1.22905,	0.510774,	1.97925,	0.558659,	1.13328,	0.558659,	0.207502,	0.159617,	0.973663,	0.766161,	1.11732,	0.0957702,	1.43655,	0.446927,	0.143655,	0.0798085,	0.750199,	0.702314,	0.909817,	0.0478851,	0.127694,	0.159617,	0.367119,	0.877893,	
AoAF,	0.253325,	19.7435,	2.35909,	2.53325,	1.8841,	0.538315,	0.538315,	0.728309,	0.474984,	0.253325,	0.775807,	0.617479,	0.522483,	0.79164,	0.854972,	0.90247,	0.411653,	0.79164,	1.70994,	1.0608,	1.37745,	0.411653,	0.601647,	1.77327,	0.237492,	1.0133,	0.474984,	0.807473,	0.174161,	0.300823,	0.411653,	0.664978,	0.348322,	1.89994,	2.59658,	0.205826,	0.474984,	3.97403,	1.07663,	0.411653,	1.94744,	0.79164,	0.332489,	2.16909,	0.158328,	0.142495,	0.696643,	0.126662,	0.617479,	1.36162,	0.522483,	0.474984,	0.443319,	1.04497,	2.18493,	0.997467,	0.205826,	0.253325,	0.0158328,	0.221659,	0.427486,	0.427486,	0.427486,	0.443319,	0.0949968,	1.0608,	0.0949968,	0.633312,	0.854972,	0.522483,	0.316656,	1.53578,	0.126662,	1.0133,	2.59658,	0.839139,	1.59911,	0.332489,	2.61241,	0.569981,	1.32996,	0.775807,	0.300823,	0.11083,	1.32996,	0.807473,	1.17163,	0.0474984,	1.51995,	0.364155,	0.0633312,	0.11083,	0.759975,	0.79164,	0.744142,	0.0474984,	0.079164,	0.0949968,	0.427486,	0.90247,	
CD20+,	0.293708,	19.4775,	2.21054,	1.96321,	1.94775,	0.371,	0.46375,	0.912042,	0.324625,	0.355542,	0.46375,	0.541042,	0.479209,	0.912042,	0.664709,	1.28304,	0.448292,	1.05117,	1.77771,	0.958417,	1.03571,	0.602875,	0.417375,	1.80863,	0.170042,	1.23667,	0.46375,	0.695625,	0.170042,	0.324625,	0.5565,	0.5565,	0.293708,	1.90138,	2.68975,	0.340083,	0.664709,	3.46267,	0.958417,	0.355542,	2.39604,	1.17483,	0.340083,	1.855,	0.231875,	0.123667,	0.912042,	0.216417,	0.510125,	1.31396,	1.03571,	0.479209,	0.432834,	1.73133,	2.11779,	1.09754,	0.108208,	0.355542,	0.09275,	0.139125,	0.587417,	0.695625,	0.448292,	0.571959,	0.123667,	1.113,	0.0618334,	0.726542,	0.664709,	0.154583,	0.216417,	1.59221,	0.355542,	0.942959,	2.85979,	0.881125,	1.19029,	0.479209,	2.14871,	0.386458,	0.958417,	0.46375,	0.123667,	0.0772917,	0.973875,	1.40671,	0.989334,	0.0772917,	1.22121,	0.309167,	0.170042,	0.154583,	0.788375,	0.772917,	1.2985,	0.046375,	0.123667,	0.309167,	0.510125,	0.757459,	
GM06990,	0.425254,	20.7884,	1.94635,	2.84593,	1.16127,	1.03042,	0.245339,	1.40661,	0.27805,	0.703304,	0.376186,	1.27576,	2.55152,	0.63788,	1.39025,	0.588813,	0.948642,	0.114491,	0.261694,	0.392542,	1.43932,	0.261694,	0.752372,	0.981354,	0.327118,	0.228983,	0.507033,	0.408898,	0.392542,	0.474321,	0.474321,	2.60059,	0.948642,	1.21034,	0.261694,	0.507033,	1.65195,	1.12856,	0.883219,	1.42296,	0.736016,	1.30847,	0.212627,	0.212627,	0.179915,	0.327118,	0.0981354,	0.163559,	1.22669,	0.686948,	0.130847,	0.130847,	0.572457,	1.57017,	2.01178,	0.883219,	0.392542,	0.556101,	0.768728,	1.03042,	0.621524,	0.964998,	1.04678,	0.621524,	0.228983,	0.392542,	0.0981354,	1.30847,	2.38796,	0.163559,	0.425254,	1.2594,	0.327118,	0.27805,	1.94635,	0.670592,	4.10533,	0.0654236,	1.84822,	0.0817795,	0.866863,	0.457965,	0.130847,	1.75008,	1.42296,	0.621524,	1.84822,	0.0163559,	0.457965,	0.457965,	0.0490677,	0.212627,	0.35983,	0.490677,	0.0327118,	0.261694,	0.817795,	0.0817795,	0.392542,	0.99771,	
GM12865,	0.216183,	19.6418,	2.00741,	2.57875,	1.63681,	0.247066,	0.602224,	0.57134,	0.247066,	0.247066,	0.555899,	0.787523,	0.602224,	0.941939,	0.586782,	0.84929,	0.509574,	0.895615,	1.77579,	0.802965,	0.926498,	0.401482,	0.57134,	2.0383,	0.324274,	1.32798,	0.324274,	0.741198,	0.231624,	0.277949,	0.586782,	0.772082,	0.108091,	2.20815,	2.64052,	0.138975,	0.602224,	4.1538,	1.12724,	0.355158,	2.10006,	0.66399,	0.293391,	2.23904,	0.1853,	0.0617665,	0.911056,	0.154416,	0.57134,	1.40519,	0.833848,	0.416924,	0.447807,	1.26621,	2.40889,	0.988264,	0.231624,	0.370599,	0.0308833,	0.293391,	0.602224,	0.386041,	0.339716,	0.386041,	0.154416,	1.14268,	0,	0.833848,	0.710315,	0.277949,	0.308833,	1.69858,	0.247066,	0.926498,	2.91847,	0.941939,	1.26621,	0.432366,	2.26992,	0.355158,	1.51328,	0.509574,	0.169858,	0.0617665,	1.23533,	1.01915,	1.32798,	0.0617665,	1.21989,	0.308833,	0.123533,	0.0772082,	0.880173,	0.679432,	1.00371,	0.0926498,	0.0617665,	0.138975,	0.57134,	0.710315,	
H7-hESC,	0.369458,	16.9951,	2.40148,	2.87869,	1.52401,	0.369458,	0.615764,	0.862069,	0.323276,	0.246305,	0.600369,	0.508005,	0.584975,	0.908251,	0.646552,	0.892857,	0.431034,	0.862069,	1.86268,	1.18534,	1.26232,	0.431034,	0.615764,	1.90887,	0.292488,	1.18534,	0.369458,	0.954434,	0.200123,	0.292488,	0.446429,	0.75431,	0.200123,	1.44704,	2.80172,	0.277094,	0.615764,	4.03325,	1.16995,	0.384852,	2.49384,	1.01601,	0.41564,	2.38608,	0.107759,	0.0615764,	0.877463,	0.215517,	0.661946,	1.37007,	0.723522,	0.261699,	0.492611,	1.10837,	2.75554,	0.846675,	0.277094,	0.384852,	0.0769704,	0.230911,	0.369458,	0.431034,	0.554187,	0.538793,	0.0769704,	1.33929,	0.0153941,	0.41564,	0.831281,	0.400246,	0.277094,	1.37007,	0.292488,	1.12377,	2.64778,	0.969828,	1.32389,	0.215517,	2.57081,	0.508005,	1.5548,	0.954434,	0.323276,	0.184729,	0.892857,	0.800493,	1.12377,	0.169335,	1.10837,	0.369458,	0.184729,	0.107759,	0.815887,	1.16995,	0.877463,	0.0769704,	0.153941,	0.123153,	0.431034,	0.831281,	
HA-h,	0.342517,	15.6813,	2.0551,	2.51675,	1.42964,	0.297841,	0.506329,	1.05733,	0.342517,	0.416977,	0.536113,	0.595681,	0.238273,	0.982874,	0.595681,	0.87863,	0.327625,	1.28071,	2.04021,	1.20625,	1.10201,	0.610573,	0.476545,	1.47431,	0.238273,	1.44453,	0.536113,	0.938198,	0.238273,	0.134028,	0.893522,	0.595681,	0.22338,	1.74237,	2.74013,	0.22338,	0.476545,	2.91884,	1.22115,	0.402085,	2.93373,	0.967982,	0.312733,	2.91884,	0.312733,	0.104244,	1.3105,	0.387193,	0.387193,	1.37007,	1.22115,	0.714818,	0.640357,	1.62323,	2.51675,	1.22115,	0.282949,	0.431869,	0.0595681,	0.327625,	0.565897,	0.848846,	0.551005,	0.416977,	0.297841,	1.29561,	0.0595681,	0.625465,	0.416977,	0.342517,	0.327625,	1.4892,	0.536113,	0.819062,	2.29337,	1.02755,	0.819062,	0.506329,	1.53388,	0.476545,	1.59345,	0.521221,	0.253165,	0.208488,	1.54877,	0.967982,	0.938198,	0.104244,	1.28071,	0.282949,	0.208488,	0.119136,	0.923306,	0.80417,	1.08712,	0.14892,	0.14892,	0.312733,	0.744602,	0.551005,	
HAEpiC,	0.340357,	19.4652,	2.51216,	2.75527,	2.04214,	0.243112,	0.453809,	0.453809,	0.340357,	0.356564,	0.551053,	0.567261,	0.551053,	0.745543,	0.664506,	1.18314,	0.388979,	0.858995,	1.5235,	1.26418,	1.42626,	0.307942,	0.810373,	2.04214,	0.210697,	1.05348,	0.372771,	0.923825,	0.178282,	0.291734,	0.356564,	0.777958,	0.340357,	1.97731,	2.46353,	0.194489,	0.421394,	3.4684,	1.11831,	0.388979,	1.89627,	0.82658,	0.307942,	1.57212,	0.0162075,	0.0810373,	0.76175,	0.0972447,	0.437601,	1.47488,	0.713128,	0.405186,	0.453809,	1.19935,	2.36629,	1.0859,	0.210697,	0.356564,	0.0648298,	0.162075,	0.437601,	0.405186,	0.388979,	0.356564,	0.0324149,	1.44246,	0.0486224,	0.502431,	0.76175,	0.307942,	0.437601,	1.83144,	0.324149,	0.923825,	2.77147,	0.680713,	1.26418,	0.275527,	2.65802,	0.615883,	1.71799,	0.923825,	0.324149,	0.113452,	1.03728,	0.940032,	1.42626,	0.0648298,	1.00486,	0.405186,	0.113452,	0.12966,	0.632091,	1.10211,	0.76175,	0.0648298,	0.0972447,	0.113452,	0.567261,	1.11831,	
HCF,	0.21585,	19.4265,	2.03515,	2.59019,	1.80389,	0.277521,	0.35461,	0.70922,	0.400863,	0.277521,	0.570459,	0.462535,	0.555042,	1.1255,	0.539624,	0.940487,	0.385446,	1.1255,	1.43386,	0.70922,	1.2951,	0.601295,	0.477953,	1.61887,	0.246685,	1.64971,	0.262103,	0.740056,	0.200432,	0.262103,	0.462535,	0.770891,	0.21585,	1.60345,	2.66728,	0.13876,	0.601295,	3.76195,	1.06383,	0.385446,	2.40518,	0.786309,	0.462535,	2.89855,	0.13876,	0.107925,	1.03299,	0.21585,	0.555042,	1.32593,	0.940487,	0.292939,	0.35461,	1.41844,	2.71354,	0.940487,	0.13876,	0.246685,	0,	0.308356,	0.370028,	0.462535,	0.339192,	0.416281,	0.0462535,	1.27968,	0.0616713,	0.678384,	0.755473,	0.416281,	0.246685,	1.52636,	0.262103,	0.955905,	3.08356,	0.801727,	1.04841,	0.416281,	2.23558,	0.49337,	1.68054,	0.416281,	0.231267,	0.231267,	1.32593,	0.955905,	1.07925,	0.13876,	1.31051,	0.292939,	0.123343,	0.123343,	0.740056,	0.740056,	1.11008,	0.0308356,	0.0770891,	0.107925,	0.400863,	0.740056,	
HCM,	0.294254,	19.9938,	2.21465,	3.08193,	1.36286,	0.278767,	0.511073,	0.743379,	0.325228,	0.294254,	0.511073,	0.542047,	0.37169,	1.09958,	0.542047,	1.05312,	0.464612,	0.89825,	1.61066,	0.882763,	1.08409,	0.480099,	0.681431,	1.95137,	0.170358,	1.59517,	0.402664,	0.805328,	0.154871,	0.201332,	0.495586,	0.696918,	0.201332,	1.9204,	2.80316,	0.185845,	0.603996,	3.28326,	1.06861,	0.37169,	2.5089,	0.696918,	0.418151,	2.5089,	0.232306,	0.0619483,	1.17702,	0.139384,	0.418151,	1.28543,	0.774353,	0.511073,	0.449125,	1.11507,	2.64829,	1.13056,	0.216819,	0.232306,	0.0619483,	0.123897,	0.495586,	0.418151,	0.480099,	0.495586,	0.139384,	1.1925,	0.0619483,	0.511073,	0.588509,	0.278767,	0.418151,	1.71906,	0.278767,	0.944711,	2.67926,	1.03763,	1.00666,	0.433638,	2.19916,	0.340715,	1.54871,	0.464612,	0.123897,	0.0929224,	1.16153,	0.89825,	1.08409,	0.0774353,	1.00666,	0.480099,	0.185845,	0.0619483,	0.727892,	0.603996,	1.00666,	0.0774353,	0.185845,	0.201332,	0.495586,	0.851789,	
