cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.197083,	21.5215,	0.709499,	3.27158,	0.945999,	2.68033,	0.0788333,	2.75916,	0.591249,	0.2365,	0.473,	0.512416,	1.14308,	0.945999,	0.630666,	0.709499,	0.473,	0.0394166,	0.473,	0.630666,	1.45842,	0.0788333,	0.591249,	3.66575,	0,	0.512416,	0.275916,	0.315333,	0,	0.275916,	0.275916,	1.26133,	0.315333,	2.24675,	1.892,	0.709499,	0.0394166,	2.56208,	2.24675,	0.867166,	0.748916,	0.197083,	0.11825,	1.02483,	0.11825,	0.433583,	0.433583,	0.0394166,	0.315333,	1.69492,	0.670083,	0.0788333,	0.11825,	0.670083,	1.419,	0.2365,	0,	0.11825,	0.0788333,	0.709499,	2.28616,	0.748916,	4.0205,	0.275916,	1.14308,	1.30075,	0.315333,	1.34017,	2.95625,	0.157667,	0.0394166,	1.45842,	0.512416,	0.315333,	0.709499,	0.0788333,	4.53291,	0.11825,	1.02483,	0.0394166,	0.512416,	0.0394166,	0.0788333,	0.197083,	0.275916,	0.157667,	1.93142,	0,	1.53725,	0.11825,	0.630666,	0.945999,	0.2365,	0.394166,	0.0394166,	0.0394166,	0.2365,	0,	1.14308,	0.275916,	
AoAF,	0.496562,	18.8312,	0.649351,	4.69824,	1.06952,	2.29183,	0.114591,	2.97937,	0.534759,	0.114591,	0.534759,	0.458365,	0.802139,	1.45149,	0.954927,	0.343774,	0.572956,	0,	0.572956,	0.572956,	1.3751,	0.0381971,	0.343774,	3.66692,	0.0381971,	0.458365,	0.114591,	0.152788,	0.114591,	0.114591,	0.649351,	0.802139,	0.343774,	1.52788,	2.17723,	0.496562,	0.496562,	1.79526,	2.6738,	0.687548,	1.10772,	0.305577,	0.0763942,	1.3751,	0.152788,	0.305577,	0.152788,	0.0381971,	0.0763942,	2.33002,	0.725745,	0.0763942,	0.0763942,	0.840336,	1.2987,	0.534759,	0,	0.229183,	0,	0.687548,	2.40642,	0.649351,	4.27807,	0.381971,	0.840336,	1.64248,	0.305577,	0.993124,	2.33002,	0.190985,	0.152788,	1.71887,	0.458365,	0.381971,	0.420168,	0.26738,	4.96562,	0.190985,	0.725745,	0.0381971,	0.305577,	0,	0.114591,	0.190985,	0.649351,	0.26738,	2.6738,	0.0381971,	1.71887,	0.0763942,	0.534759,	1.3751,	0.229183,	0.190985,	0.0381971,	0,	0.649351,	0,	0.91673,	0.190985,	
CD20+,	0.459482,	25.6892,	0.626566,	3.25815,	1.00251,	1.33668,	0.0417711,	1.50376,	0.835422,	0.0835422,	0.417711,	1.00251,	1.16959,	0.877193,	0.292398,	0.835422,	0.292398,	0,	0.459482,	0.543024,	1.16959,	0.0835422,	0.250627,	3.42523,	0,	0.167084,	0.292398,	0.292398,	0.167084,	0.292398,	0.75188,	0.960735,	0.167084,	2.46449,	1.75439,	0.417711,	0.584795,	3.09106,	1.08605,	1.5873,	0.543024,	0.208855,	0.0835422,	0.835422,	0,	0.37594,	0.208855,	0,	0.459482,	2.33918,	0.668338,	0.0417711,	0.125313,	1.00251,	0.918964,	0.543024,	0.0417711,	0.125313,	0,	0.75188,	1.67084,	0.459482,	3.09106,	0.334169,	0.793651,	1.00251,	0.292398,	0.960735,	3.1746,	0.0835422,	0.37594,	2.21387,	0.292398,	0.626566,	0.668338,	0.208855,	4.63659,	0.167084,	1.00251,	0.0417711,	0.250627,	0.0417711,	0,	0.125313,	0.208855,	0.459482,	3.63409,	0,	0.668338,	0.250627,	0.250627,	0.626566,	0.37594,	0.292398,	0,	0.0417711,	0.292398,	0,	1.00251,	0.37594,	
GM06990,	0.255624,	31.544,	2.81186,	4.90798,	1.53374,	0.102249,	0.0511247,	0.613497,	0.97137,	0.204499,	0.0511247,	1.78937,	2.70961,	0.0511247,	0.664622,	0.766871,	0.408998,	0.204499,	0.255624,	0.664622,	0.255624,	0.102249,	0.460123,	1.38037,	0.562372,	0,	0.613497,	0.562372,	0.562372,	0.204499,	0,	0.408998,	0.869121,	0.97137,	0.715746,	0.204499,	0.460123,	1.68712,	0.408998,	0.817996,	1.17587,	0.357873,	0.0511247,	0.715746,	0,	0.460123,	0.204499,	0.511247,	1.32924,	0.766871,	0,	0.0511247,	0.562372,	1.27812,	2.96524,	0.613497,	0.408998,	0.715746,	0.153374,	0.408998,	0.766871,	0.408998,	0,	0.0511247,	0,	0.153374,	0.0511247,	0.613497,	1.02249,	0.153374,	0.306748,	1.38037,	0.0511247,	0.511247,	2.70961,	0.102249,	1.89162,	0.0511247,	4.49898,	0.204499,	1.22699,	0.664622,	0.102249,	0.306748,	1.12474,	0.460123,	1.38037,	0.102249,	0.153374,	0.766871,	0.0511247,	0.0511247,	1.73824,	0.511247,	0,	0.0511247,	0.0511247,	0.306748,	0.306748,	1.17587,	
GM12865,	0.802246,	17.9703,	0.722022,	2.9282,	1.28359,	2.08584,	0.0802246,	2.2864,	0.882471,	0.120337,	0.52146,	0.641797,	1.36382,	0.802246,	0.401123,	0.561572,	0.401123,	0,	0.280786,	0.561572,	0.641797,	0.0401123,	0.481348,	5.33494,	0.0401123,	0.481348,	0.0401123,	0.160449,	0.120337,	0.160449,	0.361011,	1.08303,	0.280786,	1.92539,	1.16326,	0.641797,	0.481348,	3.44966,	1.52427,	0.922583,	0.240674,	0.481348,	0,	1.28359,	0.0802246,	0.641797,	0.160449,	0,	0.561572,	1.72483,	0.481348,	0.0401123,	0.200562,	0.481348,	0.601685,	0.561572,	0,	0.240674,	0.120337,	1.16326,	2.84797,	0.561572,	4.13157,	0.481348,	1.04292,	1.48416,	0.441235,	1.6446,	3.16887,	0.441235,	0.160449,	1.84517,	0.481348,	0.401123,	0.962696,	0.0802246,	5.81629,	0.320899,	1.48416,	0.0401123,	0.200562,	0.120337,	0.0802246,	0.0401123,	0.361011,	0.280786,	2.24629,	0,	1.40393,	0.0401123,	0.601685,	1.40393,	0.240674,	0.160449,	0,	0.0401123,	0.280786,	0.0401123,	1.16326,	0.361011,	
H7-hESC,	0.791139,	16.693,	0.90981,	3.32278,	0.988924,	1.58228,	0.237342,	1.89873,	0.830696,	0.316456,	0.791139,	0.870253,	0.949367,	1.78006,	0.237342,	0.751582,	0.553797,	0.0791139,	0.356013,	1.10759,	1.34494,	0.039557,	0.672468,	4.54905,	0.118671,	0.39557,	0.316456,	0.118671,	0,	0.39557,	0.514241,	0.553797,	0.356013,	1.22627,	1.62184,	0.791139,	0.435127,	2.33386,	2.01741,	0.949367,	0.672468,	0.276899,	0.0791139,	1.30538,	0.158228,	0.39557,	0.237342,	0,	0.593354,	1.78006,	0.632911,	0.0791139,	0.197785,	0.870253,	1.22627,	0.593354,	0,	0.158228,	0,	0.988924,	2.92722,	0.712025,	3.83703,	0.712025,	1.06804,	1.30538,	0.712025,	1.02848,	2.45253,	0.197785,	0,	1.78006,	0.672468,	0.553797,	0.870253,	0.158228,	5.61709,	0.39557,	1.06804,	0,	0.237342,	0.158228,	0.158228,	0.197785,	0.514241,	0.276899,	2.21519,	0.039557,	1.54272,	0.0791139,	0.474684,	1.54272,	0.356013,	0.474684,	0,	0,	0.276899,	0,	0.870253,	0.474684,	
HA-h,	0.676183,	16.6416,	0.864012,	3.19309,	0.901578,	1.4275,	0.0751315,	2.10368,	1.05184,	0.187829,	0.563486,	0.601052,	1.08941,	1.5402,	0.300526,	0.563486,	0.413223,	0.112697,	0.375657,	0.751315,	1.50263,	0.0375657,	0.563486,	3.98197,	0.0375657,	0.563486,	0.150263,	0.488355,	0.112697,	0.26296,	1.01427,	1.12697,	0.150263,	1.50263,	1.65289,	0.638618,	0.488355,	2.10368,	1.65289,	0.826446,	0.751315,	0.150263,	0.150263,	1.27724,	0.0375657,	0.751315,	0.300526,	0.0375657,	0.112697,	2.32908,	0.864012,	0.0751315,	0.413223,	1.27724,	1.57776,	0.375657,	0.0375657,	0.338092,	0.225394,	1.01427,	2.32908,	0.901578,	4.62059,	0.713749,	1.57776,	1.3148,	0.26296,	1.08941,	2.36664,	0.225394,	0.112697,	1.95342,	0.563486,	0.563486,	0.563486,	0.413223,	3.75657,	0.26296,	0.976709,	0,	0.413223,	0,	0,	0.300526,	0.601052,	0.300526,	3.71901,	0,	1.50263,	0.0751315,	0.450789,	1.35237,	0.413223,	0.150263,	0.0375657,	0,	0.52592,	0,	1.01427,	0.187829,	
HAEpiC,	0.116641,	20.2177,	1.12753,	4.27683,	1.16641,	2.25505,	0.116641,	2.44946,	0.622084,	0.349922,	0.855366,	0.583204,	1.24417,	1.08865,	0.699844,	0.583204,	0.544324,	0.0388803,	0.272162,	0.933126,	1.08865,	0,	0.272162,	3.77138,	0.0388803,	0.777605,	0.272162,	0.0777605,	0,	0.155521,	0.505443,	1.01089,	0.311042,	1.47745,	1.67185,	0.505443,	0.155521,	1.90513,	2.5661,	0.972006,	0.622084,	0.194401,	0,	1.20529,	0.0388803,	0.427683,	0.233281,	0,	0.194401,	2.21617,	0.505443,	0.116641,	0.194401,	0.855366,	1.78849,	0.933126,	0.0388803,	0.233281,	0.0388803,	0.894246,	2.3717,	0.544324,	3.26594,	0.505443,	0.583204,	1.43857,	0.349922,	1.32193,	2.09953,	0.349922,	0.194401,	1.90513,	0.466563,	0.388802,	0.466563,	0.427683,	3.88802,	0.233281,	0.816485,	0,	0.544324,	0.194401,	0.155521,	0.388802,	0.622084,	0.311042,	3.18818,	0,	1.94401,	0.0388803,	0.311042,	1.08865,	0.349922,	0.544324,	0.0388803,	0,	0.388802,	0,	0.388802,	0.0777605,	
HCF,	0.504658,	18.0901,	0.621118,	4.42547,	0.776398,	2.52329,	0.0776398,	2.44565,	1.47516,	0.349379,	0.427019,	0.465839,	1.00932,	1.51398,	0.698758,	0.543478,	0.271739,	0.15528,	0.349379,	0.931677,	1.66925,	0.0388199,	0.310559,	3.92081,	0,	0.659938,	0.194099,	0.232919,	0.0388199,	0.194099,	0.776398,	1.08696,	0.388199,	1.39752,	1.3587,	1.00932,	0.659938,	2.21273,	2.17391,	0.737578,	0.582298,	0.388199,	0.0776398,	1.24224,	0.11646,	0.349379,	0.232919,	0,	0.232919,	1.90217,	0.737578,	0.0388199,	0.0776398,	0.970497,	1.24224,	0.582298,	0,	0.271739,	0,	1.08696,	2.79503,	0.504658,	4.34783,	0.659938,	1.20342,	1.39752,	0.310559,	1.00932,	2.56211,	0.194099,	0.0776398,	1.86335,	0.659938,	0.271739,	0.543478,	0.232919,	4.07609,	0.310559,	0.931677,	0.0388199,	0.543478,	0.0388199,	0.11646,	0.194099,	0.310559,	0.310559,	2.29037,	0,	1.59161,	0.11646,	0.427019,	1.24224,	0.271739,	0.271739,	0,	0,	0.194099,	0,	0.931677,	0.310559,	
HCM,	0.586166,	16.9207,	0.508011,	3.82962,	0.781555,	2.38374,	0.195389,	2.57913,	1.13326,	0.390778,	0.390778,	0.312622,	1.17233,	1.09418,	0.547089,	0.312622,	0.625244,	0.0781555,	0.234467,	0.7034,	1.56311,	0.117233,	0.312622,	4.9238,	0.0390778,	0.508011,	0.195389,	0.0781555,	0.0390778,	0.312622,	0.781555,	0.7034,	0.195389,	1.32864,	1.28957,	0.781555,	0.547089,	1.60219,	1.95389,	0.820633,	0.664322,	0.117233,	0.117233,	1.21141,	0.195389,	0.547089,	0.3517,	0,	0.0781555,	2.4619,	0.586166,	0,	0.195389,	0.586166,	1.25049,	0.742478,	0.0390778,	0.117233,	0,	1.13326,	3.04807,	0.664322,	4.61118,	0.429855,	1.25049,	1.36772,	0.547089,	0.976944,	2.26651,	0.195389,	0.0781555,	1.87573,	0.781555,	0.508011,	0.468933,	0.156311,	5.08011,	0.195389,	0.781555,	0.0781555,	0.3517,	0.0781555,	0.0390778,	0.0781555,	0.390778,	0.390778,	3.43884,	0,	2.07112,	0.0390778,	0.3517,	1.56311,	0.390778,	0.273544,	0.0390778,	0,	0.273544,	0,	1.32864,	0.273544,	
HCPEpiC,	0.690184,	17.3696,	0.843558,	4.4862,	0.805215,	2.45399,	0.0766871,	3.02914,	0.996933,	0.345092,	0.843558,	0.345092,	0.958589,	1.11196,	0.53681,	0.651841,	0.498466,	0.0383436,	0.498466,	0.920245,	1.11196,	0,	0.460123,	5.13804,	0.0766871,	0.345092,	0.306748,	0.115031,	0,	0.268405,	0.651841,	0.958589,	0.421779,	1.03528,	1.57209,	0.421779,	0.498466,	1.38037,	3.22086,	0.690184,	0.881902,	0.230061,	0.0766871,	1.30368,	0.115031,	0.575153,	0.345092,	0,	0.191718,	1.61043,	0.651841,	0.0383436,	0.153374,	0.766871,	1.38037,	0.498466,	0,	0.115031,	0.0766871,	0.996933,	3.22086,	0.460123,	4.10276,	0.268405,	0.996933,	1.7638,	0.498466,	1.26534,	2.03221,	0.268405,	0.0766871,	1.38037,	0.996933,	0.498466,	0.421779,	0.306748,	4.10276,	0.191718,	0.728528,	0.0383436,	0.460123,	0.115031,	0.268405,	0.268405,	0.613497,	0.268405,	2.56902,	0,	1.61043,	0,	0.345092,	1.26534,	0.306748,	0.191718,	0,	0,	0.421779,	0.0383436,	1.15031,	0.306748,	
HEEpiC,	0.422589,	17.7872,	0.922013,	3.84172,	0.729927,	2.26662,	0.0768344,	2.38187,	0.768344,	0.153669,	0.384172,	0.422589,	1.19093,	1.38302,	0.729927,	0.461007,	0.422589,	0.0384172,	0.26892,	0.768344,	1.65194,	0.115252,	0.230503,	5.33999,	0,	0.653093,	0.26892,	0.0768344,	0.0384172,	0.26892,	0.576258,	0.69151,	0.307338,	1.53669,	1.65194,	0.537841,	0.653093,	1.88244,	2.15136,	0.922013,	1.03726,	0.153669,	0.192086,	1.15252,	0.0384172,	0.499424,	0.461007,	0,	0.26892,	2.30503,	0.69151,	0.0384172,	0.153669,	0.883596,	0.845179,	0.69151,	0,	0.26892,	0.0768344,	1.26777,	2.84287,	0.537841,	4.26431,	0.384172,	0.729927,	2.03611,	0.729927,	1.38302,	1.92086,	0.26892,	0.153669,	1.72877,	0.422589,	0.576258,	0.537841,	0.192086,	4.03381,	0.26892,	0.883596,	0,	0.576258,	0,	0.0384172,	0.26892,	0.537841,	0.345755,	2.80446,	0,	1.22935,	0.0768344,	0.384172,	1.76719,	0.115252,	0.307338,	0.0384172,	0.0384172,	0.307338,	0,	1.03726,	0.230503,	
HFF,	0.724361,	21.8071,	1.02936,	3.65993,	0.876859,	1.33435,	0.152497,	2.28746,	0.953107,	0.190621,	0.419367,	0.304994,	1.02936,	1.82997,	0.457491,	0.609989,	0.457491,	0,	0.304994,	0.762486,	1.21998,	0.0762486,	0.419367,	3.50743,	0.0762486,	0.609989,	0.114373,	0.343119,	0.152497,	0.0381243,	1.06748,	0.876859,	0.228746,	0.876859,	1.33435,	0.609989,	0.571864,	2.40183,	1.29623,	0.457491,	0.762486,	0.228746,	0.152497,	1.02936,	0.190621,	0.762486,	0.26687,	0,	0.190621,	2.13496,	0.609989,	0.114373,	0.190621,	1.1056,	1.48685,	0.457491,	0.0762486,	0.0762486,	0.114373,	0.762486,	2.55433,	0.571864,	4.26992,	0.457491,	1.67747,	1.1056,	0.457491,	1.1056,	2.32558,	0.0762486,	0.0381243,	1.18185,	0.762486,	0.26687,	0.495616,	0.495616,	4.42242,	0.190621,	0.991231,	0.0762486,	0.495616,	0.0762486,	0.0381243,	0.304994,	0.457491,	0.609989,	3.39306,	0.0381243,	0.953107,	0.190621,	0.381243,	0.991231,	0.419367,	0.26687,	0.0381243,	0,	0.304994,	0,	1.06748,	0.26687,	
HIPEpiC,	0.608134,	15.9635,	0.684151,	4.37096,	0.798176,	2.43254,	0.0760167,	2.77461,	0.988217,	0.380084,	0.646142,	0.380084,	0.874192,	1.25428,	0.874192,	0.380084,	0.380084,	0,	0.266059,	0.722159,	1.59635,	0.0760167,	0.570125,	4.52299,	0.0380084,	0.418092,	0.380084,	0.114025,	0.114025,	0.0380084,	0.722159,	1.21627,	0.304067,	1.17826,	1.90042,	0.722159,	0.570125,	2.05245,	2.43254,	0.684151,	0.798176,	0.22805,	0.152033,	1.29228,	0.114025,	0.418092,	0.342075,	0.0380084,	0.22805,	2.43254,	0.646142,	0.0760167,	0.0380084,	1.06423,	1.67237,	0.684151,	0.0380084,	0.22805,	0.0380084,	0.722159,	2.47054,	0.646142,	4.18092,	0.570125,	1.33029,	1.55834,	0.532117,	1.29228,	2.20448,	0.4561,	0.190042,	1.67237,	0.494109,	0.4561,	0.380084,	0.304067,	4.78905,	0.22805,	0.874192,	0,	0.22805,	0.114025,	0.152033,	0.342075,	0.418092,	0.22805,	2.77461,	0.0380084,	1.78639,	0.152033,	0.4561,	0.950209,	0.22805,	0.152033,	0.0380084,	0,	0.304067,	0,	0.874192,	0.380084,	
