cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0629089,	42.0231,	2.36538,	1.18269,	2.07599,	0.163563,	0.188727,	0.35229,	0.0754907,	0.176145,	0.415199,	0.78007,	0.515853,	0.113236,	1.28334,	0.251636,	0.868143,	0.805234,	0.691998,	0.364872,	0.943634,	0.427781,	0.163563,	0.289381,	0.0377453,	0.503271,	0.868143,	0.226472,	0.0754907,	0.113236,	0.691998,	0.943634,	0.176145,	1.08203,	0.314545,	0.113236,	0.956215,	0.528435,	0.817816,	0.641671,	1.62305,	0.327126,	0.0880725,	1.09461,	0.276799,	0.0503271,	0.201308,	0.226472,	0.56618,	0.528435,	0.188727,	0.163563,	0.415199,	4.57977,	1.59789,	1.77403,	0.163563,	0.226472,	0.0251636,	0.251636,	0.0754907,	2.16407,	0.314545,	0.289381,	0.0629089,	0.591344,	0.0754907,	1.64821,	0.264217,	0.150981,	0.327126,	2.88123,	0.0754907,	0.289381,	1.14494,	0.91847,	0.377453,	0.125818,	0.478108,	0.792652,	0.868143,	0.188727,	0.0503271,	0.465526,	1.67338,	0.641671,	1.63563,	0.100654,	0.452944,	0.150981,	0.0377453,	0.251636,	0.163563,	0.113236,	0.0754907,	0.113236,	0.0629089,	0.314545,	0.0251636,	0.528435,	
AoAF,	0.0505114,	39.4999,	1.96995,	1.27541,	2.66448,	0.227301,	0.189418,	0.35358,	0.0757671,	0.164162,	0.404091,	1.04811,	0.416719,	0.202046,	1.35118,	0.239929,	1.01023,	0.580881,	0.404091,	0.366208,	0.833439,	0.593509,	0.088395,	0.315696,	0.151534,	0.70716,	0.820811,	0.277813,	0.088395,	0.088395,	0.568254,	0.846066,	0.17679,	1.13651,	0.17679,	0.101023,	0.88395,	0.340952,	0.681904,	0.770299,	1.75527,	0.328324,	0.189418,	1.30067,	0.126279,	0.126279,	0.151534,	0.151534,	0.568254,	0.618765,	0.202046,	0.239929,	0.252557,	5.40472,	1.85629,	1.95732,	0.164162,	0.252557,	0.113651,	0.290441,	0.0757671,	1.81841,	0.303069,	0.35358,	0,	0.694532,	0.0126279,	1.49009,	0.315696,	0.138906,	0.35358,	2.84127,	0.0505114,	0.303069,	1.42695,	0.947089,	0.366208,	0.088395,	0.593509,	0.858694,	1.18702,	0.17679,	0.0378836,	0.416719,	2.10885,	0.782927,	1.66688,	0.126279,	0.542998,	0.17679,	0.0378836,	0.17679,	0.0757671,	0.126279,	0.126279,	0.0631393,	0.113651,	0.227301,	0.101023,	0.505114,	
CD20+,	0.123107,	44.5402,	2.53601,	0.972547,	1.29263,	0.147729,	0.110797,	0.369322,	0.123107,	0.135418,	0.381632,	0.6894,	0.320079,	0.233904,	1.39111,	0.17235,	0.861751,	1.08334,	0.492429,	0.320079,	0.652468,	0.529361,	0.110797,	0.246214,	0.0861751,	0.578604,	0.787886,	0.196972,	0.0492429,	0.0984858,	0.984858,	0.837129,	0.196972,	0.886372,	0.196972,	0.0738643,	0.652468,	0.3447,	0.640158,	0.529361,	1.8343,	0.233904,	0.0738643,	1.3788,	0.357011,	0.0738643,	0.246214,	0.184661,	0.393943,	0.578604,	0.233904,	0.209282,	0.51705,	4.08716,	1.7235,	1.50191,	0.184661,	0.196972,	0.0492429,	0.233904,	0.110797,	2.5237,	0.295457,	0.640158,	0.0246214,	0.33239,	0.0861751,	1.29263,	0.135418,	0.110797,	0.209282,	2.5237,	0.123107,	0.33239,	0.898683,	1.24338,	0.221593,	0.184661,	0.430875,	0.997169,	0.750954,	0.233904,	0.184661,	0.369322,	1.78505,	0.763265,	1.47729,	0.110797,	0.381632,	0.221593,	0.110797,	0.258525,	0.160039,	0.160039,	0.0984858,	0.110797,	0.135418,	0.258525,	0.0492429,	0.393943,	
GM06990,	0.074813,	46.1347,	2.03242,	1.28429,	1.1596,	0.336658,	0.199501,	0.461347,	0.112219,	0.149626,	0.261845,	1.87032,	0.32419,	0.162095,	2.36908,	0.21197,	1.05985,	0.361596,	0.436409,	0.0623441,	1.18454,	0.473815,	0.124688,	0.311721,	0.0249377,	0.610973,	0.623441,	0.149626,	0.149626,	0.0872818,	0.935162,	0.84788,	0.336658,	1.33416,	0.137157,	0.137157,	0.822943,	0.610973,	0.436409,	0.236908,	1.7207,	0.436409,	0.0997506,	0.53616,	0.187032,	0.162095,	0.0374065,	0.137157,	0.299252,	0.598504,	0.0374065,	0.162095,	0.286783,	4.601,	1.64589,	1.45885,	0.074813,	0.236908,	0.0498753,	0.648379,	0.187032,	1.23441,	0.21197,	0.673317,	0.124688,	0.53616,	0.0872818,	0.860349,	0.386534,	0,	0.32419,	1.5212,	0.0498753,	0.249377,	1.1596,	1.33416,	0.386534,	0.0498753,	0.374065,	0.349127,	0.685786,	0.0997506,	0.0374065,	1.02244,	1.80798,	0.660848,	1.62095,	0.162095,	0.461347,	0.174564,	0.0249377,	0.0997506,	0.124688,	0.0498753,	0.0498753,	0.124688,	0.0872818,	0.074813,	0.0623441,	0.411471,	
GM12865,	0.0123426,	44.1126,	2.14762,	0.987411,	1.91311,	0.160454,	0.0863984,	0.160454,	0.0740558,	0.0987411,	0.543076,	0.888669,	0.333251,	0.197482,	1.24661,	0.185139,	1.03678,	0.93804,	0.506048,	0.394964,	0.580104,	0.444335,	0.111084,	0.271538,	0.0987411,	0.506048,	0.654159,	0.185139,	0.0987411,	0.0493705,	0.888669,	0.987411,	0.0740558,	1.07381,	0.259195,	0.0246853,	0.925697,	0.271538,	0.777586,	0.641817,	1.62923,	0.185139,	0.0863984,	1.0121,	0.123426,	0.0370279,	0.172797,	0.197482,	0.493705,	0.444335,	0.172797,	0.222167,	0.308566,	5.59121,	1.43175,	1.80202,	0.123426,	0.148112,	0.0246853,	0.160454,	0.0863984,	2.49321,	0.209825,	0.407307,	0.0370279,	0.419649,	0.0740558,	1.53049,	0.111084,	0.0740558,	0.320908,	3.03629,	0.0987411,	0.23451,	1.18489,	1.12318,	0.23451,	0.172797,	0.431992,	0.789928,	0.777586,	0.0740558,	0.111084,	0.370279,	1.81437,	0.715873,	1.5922,	0.148112,	0.456677,	0.0987411,	0.0493705,	0.148112,	0.0740558,	0.0617132,	0.123426,	0.0740558,	0.135769,	0.271538,	0.0370279,	0.481363,	
H7-hESC,	0.0494132,	39.0859,	1.82829,	1.2971,	2.45831,	0.210006,	0.172946,	0.580605,	0.0864731,	0.160593,	0.568252,	0.951204,	0.259419,	0.234713,	1.58122,	0.123533,	1.2971,	0.951204,	0.518839,	0.444719,	1.19827,	0.432366,	0.160593,	0.296479,	0.0988264,	0.543545,	0.642372,	0.321186,	0.0247066,	0.11118,	0.877085,	1.12415,	0.135886,	1.05003,	0.222359,	0.0741198,	1.08709,	0.358246,	1.05003,	0.667078,	1.74182,	0.284126,	0.210006,	1.28474,	0.271773,	0.135886,	0.247066,	0.222359,	0.420012,	0.605312,	0.135886,	0.172946,	0.333539,	5.59605,	1.74182,	1.89006,	0.14824,	0.259419,	0.0741198,	0.370599,	0.0988264,	2.13712,	0.444719,	0.284126,	0.0617665,	0.555899,	0.0494132,	1.40828,	0.210006,	0.11118,	0.14824,	2.37183,	0.11118,	0.1853,	1.23533,	1.14886,	0.296479,	0.14824,	0.321186,	0.778258,	0.840025,	0.135886,	0.14824,	0.531192,	1.93947,	0.691785,	1.80358,	0.172946,	0.617665,	0.1853,	0.0247066,	0.14824,	0.0864731,	0.14824,	0.0741198,	0.135886,	0.14824,	0.197653,	0.0370599,	0.345893,	
HA-h,	0.122115,	40.8597,	2.28355,	1.1723,	1.44096,	0.109904,	0.122115,	0.427403,	0.170961,	0.219807,	0.696056,	0.854805,	0.232019,	0.183173,	1.70961,	0.073269,	1.11125,	1.27,	0.720479,	0.390768,	0.622787,	0.549518,	0.048846,	0.195384,	0.15875,	0.598364,	0.97692,	0.24423,	0.097692,	0.146538,	1.05019,	0.708267,	0.15875,	0.634998,	0.122115,	0.0366345,	0.671633,	0.40298,	0.854805,	0.622787,	1.84394,	0.280865,	0.122115,	1.59971,	0.268653,	0.109904,	0.195384,	0.232019,	0.354134,	0.720479,	0.097692,	0.293076,	0.48846,	4.78691,	1.79509,	1.31884,	0.268653,	0.097692,	0,	0.122115,	0.0610575,	2.79643,	0.280865,	0.525095,	0.073269,	0.500672,	0.122115,	1.42875,	0.0366345,	0.24423,	0.24423,	2.84528,	0.122115,	0.305288,	0.781536,	1.25778,	0.195384,	0.207596,	0.293076,	1.24557,	0.683844,	0.15875,	0.134327,	0.549518,	2.13701,	0.598364,	1.46538,	0.122115,	0.390768,	0.146538,	0.048846,	0.341922,	0.195384,	0.0854805,	0.097692,	0.134327,	0.134327,	0.464037,	0.0366345,	0.439614,	
HAEpiC,	0.0378024,	39.3271,	1.95312,	1.41129,	2.62097,	0.226815,	0.214214,	0.378024,	0.0756048,	0.126008,	0.831653,	1.14667,	0.302419,	0.113407,	1.39869,	0.201613,	1.14667,	0.869456,	0.78125,	0.428427,	1.23488,	0.516633,	0.126008,	0.453629,	0.15121,	0.567036,	0.705645,	0.226815,	0.138609,	0.0756048,	0.529234,	1.14667,	0.252016,	0.919859,	0.352823,	0.189012,	0.819052,	0.579637,	0.93246,	0.806452,	1.4869,	0.239415,	0.138609,	1.20968,	0.100806,	0.126008,	0.15121,	0.113407,	0.567036,	0.61744,	0.113407,	0.176411,	0.277218,	5.06552,	1.6255,	1.68851,	0.113407,	0.176411,	0.0882056,	0.428427,	0.138609,	1.82712,	0.327621,	0.252016,	0.0882056,	0.592238,	0.0756048,	1.44909,	0.226815,	0.113407,	0.226815,	3.02419,	0.063004,	0.264617,	1.32308,	1.31048,	0.378024,	0.113407,	0.567036,	0.793851,	0.819052,	0.403226,	0.113407,	0.352823,	1.41129,	0.667843,	1.81452,	0.214214,	0.415827,	0.15121,	0.063004,	0.15121,	0.201613,	0.15121,	0.113407,	0.0378024,	0.189012,	0.15121,	0.113407,	0.491431,	
HCF,	0.0741748,	42.7123,	2.15107,	1.06317,	2.16343,	0.14835,	0.185437,	0.321424,	0.0865373,	0.135987,	0.494499,	0.778835,	0.358512,	0.135987,	1.21152,	0.173075,	1.21152,	1.06317,	0.605761,	0.234887,	0.717023,	0.556311,	0.135987,	0.123625,	0.0865373,	0.556311,	0.828285,	0.185437,	0.0370874,	0.14835,	0.890098,	1.01372,	0.135987,	0.976635,	0.0865373,	0.0865373,	0.890098,	0.271974,	0.877735,	0.469774,	1.59476,	0.247249,	0.135987,	1.19916,	0.111262,	0.0988997,	0.210162,	0.123625,	0.531586,	0.543949,	0.0865373,	0.234887,	0.370874,	5.68674,	1.57003,	1.59476,	0.0988997,	0.173075,	0.0618123,	0.321424,	0.0741748,	2.63321,	0.296699,	0.333787,	0.0618123,	0.457411,	0.0370874,	1.26097,	0.135987,	0.14835,	0.173075,	2.99172,	0.0988997,	0.247249,	1.07553,	1.34751,	0.271974,	0.0370874,	0.309062,	0.840648,	0.741748,	0.222524,	0.0865373,	0.457411,	1.7802,	0.679936,	1.57003,	0.111262,	0.395599,	0.173075,	0.0494499,	0.197799,	0.111262,	0.0618123,	0.123625,	0.0494499,	0.185437,	0.259612,	0.0741748,	0.457411,	
HCM,	0.0123396,	45.5207,	2.29516,	0.913129,	1.99901,	0.246792,	0.111056,	0.271471,	0.0863771,	0.0863771,	0.703356,	0.765054,	0.259131,	0.123396,	1.34501,	0.148075,	0.802073,	1.2463,	0.579961,	0.407206,	0.90079,	0.5923,	0.0246792,	0.148075,	0.123396,	0.444225,	0.579961,	0.197433,	0.0616979,	0.0740375,	0.641658,	1.04886,	0.111056,	0.666338,	0.28381,	0.0616979,	0.666338,	0.259131,	0.715696,	0.518263,	1.38203,	0.234452,	0.0863771,	1.25864,	0.209773,	0.0246792,	0.185094,	0.123396,	0.333169,	0.407206,	0.0616979,	0.172754,	0.333169,	5.60217,	1.44373,	1.50543,	0.0493583,	0.148075,	0.0987167,	0.333169,	0.0616979,	2.41856,	0.271471,	0.394867,	0.0246792,	0.493583,	0.0370188,	1.38203,	0.0616979,	0.0863771,	0.209773,	3.25765,	0.0493583,	0.185094,	1.01185,	1.1846,	0.0987167,	0.148075,	0.209773,	1.13524,	0.530602,	0.0987167,	0.0740375,	0.370188,	1.59181,	0.579961,	1.7152,	0.148075,	0.394867,	0.148075,	0.0493583,	0.135735,	0.123396,	0.0493583,	0.0987167,	0.0987167,	0.172754,	0.259131,	0.0123396,	0.5923,	
