cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.46225,	29.584,	0.616333,	2.38829,	1.69492,	1.30971,	0.0770416,	0.924499,	1.30971,	0.46225,	0.385208,	1.00154,	1.54083,	1.00154,	0.693374,	1.07858,	0.539291,	0.154083,	1.00154,	0.385208,	1.69492,	0.154083,	0.0770416,	1.46379,	0.154083,	0.231125,	0.770416,	0.308166,	0.0770416,	0.46225,	1.00154,	0.693374,	0.0770416,	1.07858,	0.770416,	1.38675,	1.38675,	2.00308,	0.0770416,	1.30971,	0.539291,	0.539291,	0.616333,	0.231125,	0.46225,	0.693374,	0.154083,	0,	0.154083,	1.46379,	0.308166,	0.46225,	0.0770416,	1.61787,	1.15562,	0.924499,	0.0770416,	0.924499,	0,	1.38675,	0.46225,	0.46225,	2.23421,	0.924499,	0.231125,	0.308166,	0.231125,	0.693374,	1.849,	0,	0.308166,	1.23267,	0.46225,	0.770416,	0.308166,	0.924499,	1.54083,	0.0770416,	1.46379,	0,	1.00154,	0.154083,	0.0770416,	0.924499,	0.0770416,	1.23267,	1.92604,	0,	1.92604,	0.924499,	0.616333,	0.924499,	0.308166,	0.0770416,	0.0770416,	0,	0.693374,	0.231125,	0.385208,	0.385208,	
AoAF,	0.14881,	32.6637,	0.892857,	1.33929,	1.19048,	1.6369,	0,	1.26488,	1.04167,	0.14881,	0.595238,	1.11607,	1.26488,	1.71131,	0.446429,	0.967262,	0.372024,	0,	0.520833,	0.520833,	1.5625,	0.0744048,	0.372024,	0.818452,	0,	0.223214,	0.818452,	0.223214,	0.0744048,	0.892857,	0.520833,	1.04167,	0.0744048,	1.26488,	0.595238,	0.520833,	1.19048,	2.00893,	0.223214,	1.04167,	0.595238,	0.669643,	0.372024,	0.520833,	0.0744048,	0.446429,	0,	0.0744048,	0.297619,	1.71131,	0.14881,	0.14881,	0.223214,	2.52976,	1.11607,	0.595238,	0,	0.818452,	0.0744048,	0.595238,	0.520833,	0.14881,	2.08333,	0.669643,	0.0744048,	1.04167,	0.0744048,	1.04167,	1.78571,	0,	0.372024,	1.4881,	0.372024,	0.669643,	0.595238,	0.967262,	1.86012,	0,	1.78571,	0,	1.11607,	0.297619,	0,	1.11607,	0.669643,	1.41369,	1.93452,	0,	1.4881,	0.892857,	0.595238,	0.297619,	0.297619,	0,	0.0744048,	0,	1.11607,	0.0744048,	0.297619,	0.372024,	
CD20+,	0.240192,	39.6317,	0.800641,	1.60128,	1.20096,	0.800641,	0.160128,	0.560448,	0.960769,	0.160128,	0.320256,	0.720576,	1.04083,	0.880705,	0.160128,	1.04083,	0.160128,	0,	0.560448,	0.160128,	1.76141,	0.160128,	0.0800641,	1.60128,	0,	0,	0.480384,	0.0800641,	0,	0.720576,	0.880705,	1.1209,	0.240192,	1.44115,	1.20096,	0.560448,	0.800641,	2.80224,	0.40032,	0.880705,	0.0800641,	0.320256,	0.320256,	0.40032,	0.160128,	0.160128,	0.320256,	0.160128,	0.560448,	1.44115,	0.0800641,	0,	0.0800641,	1.20096,	1.20096,	0.800641,	0,	0.320256,	0.0800641,	1.60128,	0.480384,	0.40032,	2.72218,	0.480384,	0.240192,	0.240192,	0.320256,	1.1209,	2.08167,	0.0800641,	0.0800641,	1.76141,	0.160128,	0.640512,	0.40032,	0.40032,	1.84147,	0.160128,	1.60128,	0.0800641,	0.800641,	0.160128,	0.0800641,	0.640512,	0.480384,	1.1209,	2.72218,	0,	0.40032,	0.240192,	0.320256,	0.40032,	0.480384,	0.0800641,	0,	0,	0.640512,	0,	0.0800641,	0.40032,	
GM06990,	0,	32.9485,	2.75311,	1.33215,	2.04263,	0.26643,	0.71048,	0.26643,	0.08881,	0.17762,	0.17762,	1.50977,	0.976909,	0.17762,	0.62167,	0.79929,	0.35524,	1.50977,	0.62167,	0.53286,	0.26643,	0.53286,	1.06572,	1.7762,	0.976909,	0.44405,	0.26643,	1.50977,	0,	0,	0,	0.53286,	0.71048,	0.44405,	0.976909,	0,	0.44405,	0.79929,	0.62167,	0.79929,	2.04263,	0.62167,	0,	0.62167,	0,	0,	1.15453,	0.44405,	0.888099,	0.71048,	0.26643,	0.08881,	0.26643,	1.68739,	3.10835,	1.7762,	0.08881,	0.26643,	0.26643,	0.26643,	0.08881,	0.17762,	0.26643,	0.35524,	0.08881,	0.71048,	0,	0.79929,	0.71048,	0.26643,	0,	1.7762,	0,	0.53286,	3.5524,	0.17762,	1.7762,	0.08881,	2.39787,	0.62167,	0.44405,	0.976909,	0,	0,	1.06572,	0.44405,	0.976909,	0.08881,	0.26643,	0.35524,	0,	0,	1.06572,	1.7762,	0.62167,	0,	0,	0.26643,	0.53286,	2.13144,	
GM12865,	0.230061,	20.3221,	0.920245,	1.53374,	2.14724,	1.30368,	0.230061,	0.460123,	1.68712,	0.230061,	0.613497,	0.843558,	1.68712,	1.61043,	0.460123,	1.45706,	0.230061,	0,	0.766871,	0.306748,	0.996933,	0,	0.306748,	1.22699,	0,	0.306748,	0.53681,	0.230061,	0.230061,	1.30368,	0.920245,	1.30368,	0.230061,	1.45706,	0.690184,	0.920245,	1.53374,	2.91411,	0.306748,	1.53374,	0.153374,	0.996933,	1.07362,	0.153374,	0,	0.460123,	0.0766871,	0,	0.383436,	1.07362,	0.613497,	0.153374,	0.383436,	1.91718,	0.996933,	1.07362,	0.0766871,	0.690184,	0,	1.53374,	1.07362,	0.53681,	2.3773,	1.38037,	0.53681,	0.53681,	0.153374,	0.996933,	2.53067,	0,	0.613497,	1.53374,	0.690184,	0.383436,	0.383436,	0.53681,	2.9908,	0.0766871,	2.3773,	0.153374,	1.15031,	0.460123,	0,	0.996933,	0.230061,	1.7638,	2.22393,	0.0766871,	1.99387,	0.920245,	1.45706,	0.613497,	0.690184,	0.153374,	0.0766871,	0.0766871,	0.766871,	0,	0.230061,	0.460123,	
H7-hESC,	0.460829,	18.9708,	0.921659,	1.84332,	1.99693,	1.6129,	0.15361,	1.6129,	1.45929,	0.30722,	0.460829,	1.92012,	2.07373,	1.68971,	0.921659,	1.15207,	0.614439,	0,	0.384025,	0.537634,	1.5361,	0.384025,	0.0768049,	1.22888,	0,	0.384025,	1.07527,	0.30722,	0.0768049,	0.921659,	0.921659,	0.844854,	0.15361,	1.92012,	0.691244,	0.998464,	2.61137,	2.84178,	0.460829,	1.76651,	0.230415,	0.384025,	0.537634,	0.384025,	0.15361,	0.460829,	0.0768049,	0,	0.30722,	0.614439,	0,	0.230415,	0.614439,	2.22734,	0.614439,	0.537634,	0.0768049,	1.30568,	0,	0.998464,	0.614439,	0.768049,	1.92012,	1.84332,	0.537634,	0.614439,	0.0768049,	1.22888,	1.99693,	0,	0.384025,	1.22888,	1.07527,	0.691244,	0.691244,	0.691244,	1.5361,	0,	2.84178,	0,	0.691244,	0.768049,	0,	0.921659,	0.460829,	2.07373,	1.5361,	0,	1.99693,	0.537634,	0.998464,	0.768049,	0.768049,	0.15361,	0,	0,	0.768049,	0,	0.230415,	0.537634,	
HA-h,	0.219941,	36.5836,	0.58651,	2.49267,	1.09971,	1.39296,	0.146628,	0.879765,	0.806452,	0.0733138,	0.366569,	0.513197,	0.733138,	0.806452,	0.58651,	0.879765,	0.953079,	0,	0.439883,	0.219941,	1.97947,	0.0733138,	0.0733138,	1.09971,	0.0733138,	0.293255,	0.58651,	0.366569,	0.0733138,	0.293255,	1.17302,	1.02639,	0.219941,	1.02639,	0.733138,	0.439883,	1.97947,	1.53959,	0.439883,	0.58651,	0.58651,	0.513197,	0.513197,	0.58651,	0.219941,	0.439883,	0.146628,	0.0733138,	0.146628,	1.6129,	0.219941,	0,	0.0733138,	1.39296,	1.39296,	0.879765,	0.0733138,	0.513197,	0.0733138,	1.24633,	0.659824,	0.366569,	3.00587,	0.733138,	0.439883,	0.659824,	0.219941,	0.879765,	1.02639,	0.0733138,	0,	0.879765,	0.366569,	0.58651,	0.293255,	0.953079,	1.90616,	0.0733138,	1.31965,	0,	0.806452,	0.0733138,	0,	1.17302,	0.219941,	1.39296,	2.78592,	0,	1.02639,	0.806452,	0.439883,	1.09971,	0.219941,	0.0733138,	0.0733138,	0,	0.58651,	0,	0.0733138,	0.146628,	
HAEpiC,	0.0771605,	41.8981,	0.694444,	2.08333,	1.08025,	1.69753,	0.308642,	1.46605,	0.694444,	0,	0.540123,	1.08025,	1.62037,	0.925926,	1.23457,	0.540123,	0.771605,	0,	0.694444,	0.617284,	1.31173,	0,	0.0771605,	0.694444,	0,	0.0771605,	1.15741,	0.0771605,	0,	0.462963,	0.385802,	1.00309,	0.154321,	1.15741,	0.694444,	0.694444,	0.848765,	1.77469,	0.154321,	0.385802,	0.694444,	0.0771605,	0.154321,	0.540123,	0.154321,	0.154321,	0.154321,	0,	0.231481,	0.694444,	0,	0.308642,	0.154321,	2.39198,	0.771605,	0.462963,	0,	0.848765,	0.0771605,	0.462963,	0.308642,	0.385802,	1.46605,	0.617284,	0,	0.540123,	0.0771605,	1.00309,	1.69753,	0,	0.462963,	1.54321,	0.154321,	0.694444,	0.462963,	1.08025,	0.771605,	0,	1.69753,	0,	1.31173,	0.540123,	0,	0.925926,	0.771605,	1.08025,	1.08025,	0,	1.31173,	0.694444,	0.154321,	0.308642,	0.0771605,	0,	0.0771605,	0.0771605,	0.462963,	0.231481,	0,	0.462963,	
HCF,	0.224215,	21.3004,	0.747384,	2.24215,	0.896861,	1.71898,	0.149477,	1.04634,	1.86846,	0.224215,	0.298954,	1.19581,	1.49477,	1.71898,	0.298954,	0.896861,	0.373692,	0,	0.448431,	0.896861,	1.64425,	0.149477,	0.298954,	1.49477,	0.0747384,	0.523169,	0.822123,	0.149477,	0.0747384,	0.597907,	0.971599,	1.27055,	0,	1.49477,	1.04634,	1.64425,	1.71898,	2.46637,	0.224215,	0.597907,	0.523169,	0.448431,	1.12108,	0.523169,	0.448431,	1.12108,	0.298954,	0.0747384,	0.298954,	1.64425,	0.298954,	0.224215,	0.373692,	1.12108,	1.9432,	0.298954,	0,	0.597907,	0,	0.971599,	0.597907,	0.373692,	3.28849,	1.27055,	0.448431,	0.971599,	0.298954,	0.597907,	1.79372,	0.0747384,	0.523169,	0.971599,	0.597907,	0.597907,	0.523169,	0.971599,	2.01794,	0,	1.71898,	0.0747384,	1.86846,	0.373692,	0,	1.42003,	0.298954,	0.896861,	1.9432,	0,	2.01794,	0.971599,	1.34529,	1.12108,	0.523169,	0.0747384,	0,	0.0747384,	1.19581,	0,	0.224215,	0.298954,	
HCM,	0.150376,	40.4511,	0.676692,	2.4812,	1.20301,	1.65414,	0.075188,	0.902256,	0.902256,	0.300752,	0.37594,	0.902256,	0.827068,	1.20301,	0.676692,	0.827068,	0.300752,	0.075188,	0.601504,	0.225564,	1.65414,	0.150376,	0,	0.676692,	0,	0.37594,	0.902256,	0.075188,	0.150376,	0.37594,	0.827068,	1.50376,	0.075188,	1.20301,	0.601504,	0.300752,	1.20301,	2.03008,	0.37594,	0.300752,	0.37594,	0.075188,	0.601504,	0.300752,	0.300752,	0.601504,	0.150376,	0,	0.075188,	1.20301,	0,	0.150376,	0.075188,	1.65414,	1.12782,	0.526316,	0,	0.601504,	0,	0.75188,	0.150376,	1.05263,	2.18045,	0.75188,	0.225564,	0.451128,	0.150376,	0.526316,	1.50376,	0.150376,	0.300752,	0.977444,	0.601504,	0.37594,	0.075188,	0.601504,	1.20301,	0,	2.03008,	0,	1.12782,	0.075188,	0,	0.902256,	0.451128,	1.35338,	1.72932,	0.075188,	0.902256,	1.05263,	0.827068,	0.526316,	0.300752,	0.075188,	0,	0,	0.75188,	0,	0,	0.37594,	
