cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.698216,	10.8999,	0.581846,	1.5128,	1.24127,	0.465477,	1.20248,	0.271528,	0.349108,	0.0387898,	0.193949,	1.04732,	0.775795,	0.310318,	0.543057,	1.28006,	0.465477,	0.155159,	2.83165,	1.70675,	0.814585,	1.39643,	0.0775795,	6.74942,	0,	0.232739,	0.232739,	0.426687,	0.232739,	0.581846,	1.1249,	0.271528,	0.0387898,	0.930954,	6.71063,	0.193949,	0.193949,	9.77502,	0.116369,	1.5128,	3.10318,	0.969744,	0.116369,	2.09465,	0.193949,	0.0775795,	0.310318,	0.271528,	0.504267,	1.39643,	1.47401,	0.116369,	1.82312,	0.930954,	1.16369,	0.969744,	0.349108,	0.193949,	0,	1.08611,	0.271528,	0.853375,	0.349108,	0.426687,	0.310318,	0.155159,	0.116369,	1.24127,	0.387898,	0.0387898,	0.116369,	1.62917,	0.0387898,	1.93949,	4.65477,	0.232739,	0.426687,	1.74554,	1.24127,	0.116369,	0.193949,	0.116369,	0.0387898,	0.193949,	0.155159,	0.969744,	0.892164,	0.0775795,	1.24127,	0.581846,	0.271528,	0.116369,	1.70675,	0.116369,	1.04732,	0,	0.0387898,	0.155159,	0.349108,	0.116369,	
AoAF,	0.671893,	9.8171,	0.335946,	2.01568,	1.34379,	0.447928,	0.895857,	0.223964,	0.149309,	0.149309,	0.149309,	0.634565,	0.522583,	0.373274,	0.634565,	1.56775,	0.55991,	0.186637,	2.65024,	1.19448,	0.858529,	1.79171,	0.111982,	6.83091,	0,	0.111982,	0.447928,	0.55991,	0.149309,	0.373274,	0.70922,	0.298619,	0.149309,	0.895857,	8.99589,	0.149309,	0.186637,	9.51848,	0.186637,	1.11982,	3.24748,	1.41844,	0,	2.27697,	0,	0.111982,	0.186637,	0.149309,	0.447928,	1.38111,	1.60508,	0.149309,	0.933184,	0.783875,	1.19448,	0.933184,	0.149309,	0.111982,	0,	0.933184,	0.223964,	0.671893,	0.447928,	0.261292,	0.0746547,	0.485256,	0.111982,	1.56775,	0.597238,	0.0373274,	0.111982,	1.26913,	0.0746547,	2.53826,	6.42031,	0.149309,	0.485256,	1.00784,	1.19448,	0.111982,	0.261292,	0.111982,	0.111982,	0.0746547,	0.223964,	0.597238,	0.485256,	0.186637,	1.19448,	0.671893,	0.149309,	0.223964,	1.82904,	0.186637,	1.26913,	0.0373274,	0.0746547,	0.149309,	0.111982,	0.223964,	
CD20+,	0.343938,	21.2812,	0.429923,	1.6767,	1.41874,	0.343938,	0.343938,	0.38693,	0.429923,	0.0429923,	0.128977,	1.33276,	0.902838,	0.257954,	0.300946,	1.46174,	0.0859845,	0.0429923,	2.14961,	0.687876,	0.773861,	1.76268,	0.0859845,	4.90112,	0.0859845,	0.343938,	0.171969,	0.300946,	0.128977,	0.558899,	0.730868,	0.300946,	0.0429923,	1.41874,	5.63199,	0.257954,	0.128977,	7.52365,	0.171969,	0.94583,	3.3534,	0.902838,	0.0429923,	1.50473,	0.0429923,	0.0859845,	0.171969,	0.0859845,	0.902838,	2.14961,	1.37575,	0,	1.54772,	0.472915,	0.816853,	0.730868,	0.515907,	0.0859845,	0,	0.38693,	0.300946,	0.515907,	0.38693,	0.38693,	0.171969,	0.257954,	0.0429923,	0.859845,	1.46174,	0,	0.343938,	2.02064,	0.128977,	1.54772,	4.38521,	0.128977,	1.07481,	0.988822,	1.97764,	0,	0.128977,	0.0859845,	0,	0.0859845,	0.171969,	0.773861,	0.94583,	0.0859845,	1.46174,	0.472915,	0.0859845,	0,	1.07481,	0.171969,	1.33276,	0,	0.0429923,	0.128977,	0.128977,	0.343938,	
GM06990,	0.519211,	17.9647,	1.40187,	1.34995,	2.59605,	4.20561,	0.207684,	1.50571,	0.259605,	0,	0.155763,	1.45379,	3.37487,	0.571132,	0.311526,	1.03842,	0.103842,	0.0519211,	0.103842,	0.0519211,	0.207684,	0.207684,	4.20561,	0.311526,	0.259605,	0.155763,	0.571132,	0.103842,	0.623053,	0.363448,	0.103842,	1.24611,	5.6594,	2.12876,	0.259605,	2.28453,	0.155763,	0.778816,	0.623053,	0.623053,	0,	0.46729,	0.207684,	0.0519211,	0,	0.415369,	0.155763,	0.0519211,	0.934579,	0.259605,	0.103842,	0.0519211,	0.0519211,	1.45379,	0.934579,	0.571132,	0.0519211,	0.46729,	0.207684,	0.674974,	1.29803,	0.259605,	0.207684,	0.46729,	0.519211,	1.34995,	0,	0.207684,	4.10177,	1.19418,	0.155763,	1.45379,	0.363448,	0.103842,	2.02492,	0.103842,	5.08827,	0.0519211,	6.23053,	0.103842,	0.778816,	0.882658,	0,	0.259605,	0.311526,	0.46729,	0.311526,	0.259605,	0,	0.0519211,	0.0519211,	0.0519211,	0.207684,	1.66147,	0,	0.0519211,	0.882658,	0.0519211,	0.363448,	2.85566,	
GM12865,	0.288779,	14.934,	0.866337,	0.866337,	1.44389,	0.371287,	0.948845,	0.0825083,	0.247525,	0.0412541,	0.330033,	1.23762,	1.03135,	0.0412541,	0.330033,	1.56766,	0.330033,	0.0825083,	3.54785,	1.77393,	0.742574,	1.85644,	0.0825083,	5.61056,	0,	0.123762,	0.165017,	0.288779,	0,	0.330033,	0.907591,	0.288779,	0.0412541,	0.948845,	7.09571,	0.0825083,	0.660066,	9.61221,	0.165017,	1.15512,	1.81518,	1.5264,	0.123762,	1.27888,	0.0412541,	0.0412541,	0.0412541,	0.165017,	0.783828,	1.73267,	2.22772,	0.0412541,	1.40264,	1.07261,	0.577558,	0.907591,	0.0825083,	0.0825083,	0,	1.19637,	0.123762,	0.577558,	0.206271,	0.288779,	0.0412541,	0.123762,	0.0412541,	1.44389,	1.03135,	0.0412541,	0.123762,	1.69142,	0,	2.06271,	4.9505,	0.412541,	0.660066,	1.69142,	1.44389,	0,	0.288779,	0.123762,	0,	0.0825083,	0.206271,	0.660066,	0.948845,	0.0825083,	1.32013,	0.49505,	0.123762,	0.0412541,	1.19637,	0.165017,	0.742574,	0,	0,	0.123762,	0.330033,	0.453795,	
H7-hESC,	0.404204,	13.6621,	0.485044,	1.53597,	1.49555,	0.565885,	0.767987,	0.323363,	0.161681,	0.121261,	0.202102,	0.970089,	0.808407,	0.202102,	0.485044,	1.89976,	0.525465,	0.242522,	2.22312,	0.767987,	0.444624,	2.14228,	0.0404204,	6.30558,	0,	0.0404204,	0.161681,	0.323363,	0.0808407,	0.161681,	0.485044,	0.0808407,	0.0808407,	0.929669,	10.0243,	0.282943,	0.202102,	7.96281,	0.0808407,	1.05093,	2.22312,	2.02102,	0.0404204,	1.89976,	0.0404204,	0.0808407,	0.202102,	0.121261,	0.646726,	1.29345,	1.37429,	0,	0.606306,	1.01051,	0.727567,	1.17219,	0.202102,	0,	0.0404204,	0.525465,	0.242522,	0.444624,	0.363783,	0.485044,	0.121261,	0.282943,	0.0404204,	0.970089,	0.606306,	0.0404204,	0.121261,	1.73808,	0,	2.78901,	7.27567,	0.202102,	0.767987,	1.29345,	1.45513,	0.161681,	0.242522,	0.0404204,	0,	0.0808407,	0.202102,	0.727567,	0.687146,	0.0808407,	1.05093,	0.606306,	0.0808407,	0.0808407,	1.29345,	0.242522,	1.45513,	0,	0.0404204,	0.202102,	0.202102,	0.323363,	
HA-h,	0.814513,	10.9589,	0.296187,	1.99926,	1.44391,	0.33321,	0.55535,	0.518327,	0.259163,	0.0370233,	0.481303,	0.814513,	0.851536,	0.296187,	0.44428,	1.7401,	0.518327,	0.185117,	2.66568,	1.18475,	1.44391,	2.07331,	0.148093,	4.73899,	0.0740466,	0.185117,	0.44428,	0.88856,	0.259163,	0.370233,	1.85117,	0.407257,	0.0370233,	1.07368,	5.88671,	0.259163,	0.370233,	6.88634,	0.296187,	0.629396,	3.51722,	0.99963,	0.148093,	1.81414,	0.0740466,	0.22214,	0.592373,	0,	0.518327,	2.51759,	2.29545,	0.11107,	1.92521,	0.740466,	1.44391,	0.851536,	0.703443,	0.259163,	0,	0.592373,	0.33321,	0.962606,	0.481303,	0.370233,	0.148093,	0.370233,	0.0740466,	1.40689,	0.44428,	0.0740466,	0.0370233,	1.14772,	0.11107,	1.7401,	3.59126,	0.44428,	0.407257,	2.18438,	1.48093,	0.0370233,	0.185117,	0.185117,	0.0740466,	0.370233,	0.296187,	1.22177,	0.925583,	0.11107,	1.70307,	0.629396,	0.481303,	0.296187,	1.66605,	0.148093,	0.962606,	0.0370233,	0.0370233,	0.370233,	0.148093,	0.259163,	
HAEpiC,	0.537634,	10.6375,	0.422427,	1.76651,	1.07527,	0.422427,	0.921659,	0.499232,	0.15361,	0,	0.0384025,	0.729647,	0.537634,	0.268817,	0.384025,	1.84332,	0.499232,	0.15361,	3.0722,	0.998464,	0.499232,	1.99693,	0.0768049,	6.56682,	0.0384025,	0.192012,	0.192012,	0.499232,	0.230415,	0.192012,	0.844854,	0.30722,	0.0384025,	0.768049,	9.56221,	0.115207,	0.384025,	9.17819,	0.0384025,	0.998464,	2.80338,	1.6129,	0.0384025,	2.57296,	0.0768049,	0.0384025,	0.499232,	0.192012,	0.576037,	1.34409,	1.65131,	0.230415,	0.691244,	0.691244,	1.07527,	1.15207,	0.422427,	0.0768049,	0.0384025,	0.806452,	0.115207,	0.691244,	0.230415,	0.230415,	0.115207,	0.345622,	0.115207,	1.88172,	0.345622,	0.0384025,	0.0768049,	1.34409,	0,	2.53456,	6.60522,	0.30722,	0.576037,	0.998464,	1.30568,	0.15361,	0.0768049,	0.115207,	0.0768049,	0.115207,	0.268817,	0.691244,	0.499232,	0.115207,	1.11367,	0.576037,	0.15361,	0.0384025,	1.45929,	0.268817,	1.26728,	0,	0.0384025,	0.460829,	0.115207,	0.268817,	
HCF,	0.693107,	10.8587,	0.38506,	1.42472,	1.00116,	0.423566,	1.11667,	0.38506,	0.346554,	0.038506,	0.346554,	0.885637,	0.57759,	0.346554,	0.346554,	1.61725,	0.462072,	0.115518,	3.00347,	1.9638,	1.07817,	1.2707,	0.0770119,	6.77705,	0.038506,	0.38506,	0.269542,	0.500578,	0.115518,	0.269542,	0.808625,	0.423566,	0.0770119,	0.962649,	7.00809,	0.19253,	0.500578,	9.24143,	0.115518,	1.15518,	2.50289,	1.19368,	0.115518,	1.23219,	0.231036,	0.0770119,	0.269542,	0.308048,	0.731613,	1.50173,	2.38737,	0.038506,	1.9253,	1.15518,	0.693107,	0.808625,	0.308048,	0.269542,	0,	1.3092,	0.269542,	0.693107,	0.57759,	0.539084,	0.115518,	0.269542,	0,	1.00116,	0.770119,	0,	0.0770119,	2.04082,	0.038506,	2.42588,	4.42819,	0.38506,	0.500578,	1.61725,	1.2707,	0.0770119,	0.154024,	0.115518,	0,	0.19253,	0.308048,	0.731613,	0.808625,	0.0770119,	1.69426,	0.654601,	0.154024,	0.038506,	1.3092,	0.308048,	1.07817,	0.038506,	0,	0.19253,	0.19253,	0.19253,	
HCM,	0.820954,	10.2815,	0.547303,	1.32916,	0.89914,	0.547303,	1.32916,	0.351837,	0.430023,	0,	0.195465,	1.01642,	0.703675,	0.312744,	0.469117,	1.99375,	0.469117,	0.117279,	3.44019,	1.72009,	0.547303,	2.15012,	0.039093,	6.64582,	0,	0.469117,	0.156372,	0.273651,	0.156372,	0.50821,	0.820954,	0.156372,	0,	0.820954,	6.7631,	0.0781861,	0.351837,	10.0469,	0.039093,	1.40735,	2.07193,	1.25098,	0.156372,	1.75919,	0,	0.039093,	0.312744,	0.156372,	0.703675,	1.40735,	2.03284,	0.234558,	1.44644,	0.89914,	1.05551,	0.703675,	0.469117,	0.0781861,	0,	1.25098,	0.195465,	0.781861,	0.351837,	0.820954,	0.0781861,	0.50821,	0.039093,	1.1337,	0.351837,	0.117279,	0.0781861,	1.40735,	0.117279,	2.2674,	4.14386,	0.156372,	0.430023,	2.07193,	1.32916,	0.117279,	0.195465,	0,	0,	0.117279,	0.273651,	0.781861,	1.1337,	0.0781861,	1.48554,	0.547303,	0.195465,	0,	1.681,	0.234558,	1.1337,	0,	0,	0.469117,	0.312744,	0.430023,	
