cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.11564,	18.8783,	3.75831,	2.37063,	1.56114,	0.549292,	0.14455,	0.173461,	0.549292,	0.0289101,	0.693842,	3.81613,	4.0185,	0.173461,	1.9948,	1.7057,	0.780572,	0.202371,	0.173461,	0.491472,	0.375831,	0.636022,	0.260191,	0.636022,	0.0867303,	0.14455,	2.71755,	0.318011,	1.67679,	0.14455,	0.549292,	0.231281,	1.50332,	1.50332,	0.260191,	0.0867303,	0.838393,	1.21422,	0.809482,	1.47441,	0.462561,	0.520382,	0.433651,	0.0867303,	0.0867303,	0.520382,	0,	0.11564,	1.21422,	0.404741,	0.0289101,	0.11564,	0.0578202,	3.35357,	0.173461,	0.462561,	0.11564,	2.80428,	0.867303,	0.751662,	0.289101,	1.1564,	0.14455,	0.780572,	0.0578202,	0.14455,	0,	1.32986,	0.520382,	0,	1.96589,	2.22608,	0,	0.375831,	2.2839,	0.346921,	1.12749,	0.0289101,	4.79908,	0.318011,	1.30095,	0.693842,	0,	0.751662,	0.867303,	2.42845,	1.1564,	0.0867303,	0.289101,	1.38768,	0,	0.0867303,	0.462561,	0.14455,	0.0289101,	0.0578202,	0.14455,	0.260191,	0.202371,	1.53223,	
AoAF,	0.0268673,	16.1204,	4.24503,	2.68673,	1.69264,	0.564213,	0.107469,	0.671682,	0.59108,	0,	0.403009,	3.86889,	3.68082,	0.107469,	2.28372,	1.6389,	1.07469,	0.188071,	0.188071,	0.456744,	0.510478,	0.59108,	0.403009,	0.483611,	0.0537346,	0.214938,	3.54648,	0.376142,	2.20312,	0.0537346,	0.429876,	0.241805,	1.98818,	1.88071,	0.161204,	0.161204,	1.3165,	0.349275,	0.88662,	1.6389,	0.349275,	0.564213,	0.456744,	0.107469,	0.0537346,	0.537346,	0.107469,	0.188071,	1.37023,	0.241805,	0.0268673,	0.268673,	0.0268673,	3.08974,	0.29554,	0.483611,	0.134336,	2.68673,	0.940355,	0.832886,	0.29554,	1.20903,	0.241805,	0.725416,	0.0537346,	0.403009,	0.0537346,	1.58517,	0.161204,	0.107469,	2.12251,	1.53143,	0,	0.376142,	2.49866,	0.134336,	0.832886,	0.0537346,	4.32563,	0.214938,	1.3165,	0.698549,	0.0537346,	1.12843,	0.806018,	2.25685,	1.15529,	0.0806018,	0.644815,	1.28963,	0,	0.0537346,	0.698549,	0,	0.0537346,	0.134336,	0.241805,	0.349275,	0.188071,	1.07469,	
CD20+,	0.0341763,	27.3069,	3.79357,	1.12782,	1.74299,	0.205058,	0.205058,	0.136705,	0.410116,	0.0341763,	0.410116,	3.72522,	3.65687,	0.0683527,	1.05947,	1.91388,	0.580998,	0,	0.307587,	0.37594,	0.307587,	0.239234,	0.341763,	0.991114,	0.0683527,	0.136705,	1.74299,	0.410116,	1.26452,	0.0683527,	0.546822,	0.170882,	1.09364,	2.28982,	0.307587,	0.136705,	0.991114,	2.05058,	0.820232,	2.32399,	0.273411,	0.205058,	0.239234,	0.102529,	0.0683527,	0.205058,	0,	0.0683527,	1.98223,	0.273411,	0,	0.205058,	0.0341763,	2.97334,	0.307587,	0.546822,	0.0341763,	1.05947,	0.37594,	0.956938,	0.205058,	0.786056,	0.170882,	0.683527,	0.136705,	0.410116,	0.0683527,	1.23035,	0.820232,	0.0683527,	1.09364,	3.28093,	0,	0.205058,	1.77717,	0.136705,	1.43541,	0,	3.55434,	0.205058,	0.888585,	0.546822,	0.0341763,	0.580998,	0.512645,	2.35817,	1.2987,	0.0341763,	0.410116,	0.307587,	0,	0.0341763,	0.546822,	0.239234,	0,	0,	0,	0.136705,	0.410116,	2.08476,	
GM06990,	0.253165,	28.6076,	2.1097,	0.801688,	3.67089,	0.92827,	0.295359,	0.295359,	0.337553,	0.0843882,	0.168776,	1.85654,	1.30802,	0.379747,	0.337553,	1.13924,	0.7173,	0.0421941,	0.675106,	0.506329,	0.464135,	0.590717,	0.21097,	2.48945,	0.126582,	0.253165,	0.168776,	0.506329,	0,	0.126582,	0.21097,	1.13924,	0.337553,	2.61603,	1.13924,	0.886076,	0.590717,	5.23207,	0.295359,	1.94093,	0.126582,	0.379747,	0.21097,	0.337553,	0,	0.0421941,	0.548523,	0.126582,	2.91139,	0.464135,	0.253165,	0.0421941,	0.0421941,	1.68776,	0.464135,	1.05485,	0.0421941,	0.168776,	0,	0.590717,	0.0843882,	1.47679,	0.548523,	0.843882,	0.126582,	0.168776,	0.0843882,	1.51899,	3.62869,	0.126582,	0.0421941,	1.81435,	0.0843882,	0.295359,	2.78481,	0.464135,	2.23629,	0.0421941,	1.30802,	0.295359,	0.295359,	0.253165,	0,	0.253165,	0.295359,	0.92827,	2.06751,	0,	0.295359,	0.21097,	0.0843882,	0.21097,	0.21097,	0.21097,	0,	0.0421941,	0.0843882,	0,	0.379747,	2.8692,	
GM12865,	0.0308071,	23.0129,	3.23475,	1.20148,	1.84843,	0.369686,	0.0924214,	0.492914,	0.154036,	0,	0.523722,	3.54282,	3.94331,	0.184843,	1.13986,	2.21811,	0.677757,	0.21565,	0.246457,	0.338879,	0.123229,	0.523722,	0.154036,	0.800986,	0.123229,	0.123229,	2.12569,	0.246457,	1.91004,	0.154036,	0.492914,	0.246457,	1.54036,	2.09489,	0.308071,	0.0308071,	1.41713,	0.985829,	0.8626,	1.78681,	0.246457,	0.585336,	0.400493,	0.123229,	0.0924214,	0.21565,	0.123229,	0.0616143,	1.57116,	0.246457,	0.0616143,	0.21565,	0.0616143,	3.29636,	0.184843,	0.338879,	0.154036,	2.06408,	0.338879,	0.616143,	0.462107,	0.616143,	0.0924214,	0.800986,	0.0616143,	0.308071,	0.0308071,	1.38632,	0.4313,	0,	1.7252,	2.61861,	0,	0.308071,	2.40296,	0.184843,	1.44794,	0,	5.42206,	0.369686,	0.800986,	0.492914,	0,	0.831793,	0.492914,	2.89587,	1.13986,	0.184843,	0.523722,	0.739372,	0,	0,	0.246457,	0.154036,	0,	0.123229,	0.0616143,	0.154036,	0.0924214,	1.87924,	
H7-hESC,	0.0922509,	21.4637,	2.92128,	1.35301,	1.90652,	0.522755,	0.0922509,	0.369004,	0.153752,	0.0615006,	0.276753,	3.47478,	5.28905,	0.0922509,	1.53752,	2.70603,	0.799508,	0.123001,	0.184502,	0.369004,	0.338253,	0.768758,	0.184502,	0.922509,	0.123001,	0.153752,	1.69127,	0.461255,	1.50677,	0.0615006,	0.584256,	0.399754,	1.78352,	1.96802,	0.246002,	0.0922509,	1.35301,	1.38376,	0.922509,	1.93727,	0.215252,	0.492005,	0.553506,	0.184502,	0.0615006,	0.184502,	0,	0.123001,	1.69127,	0.276753,	0.0307503,	0.0922509,	0.0307503,	3.10578,	0.246002,	0.369004,	0.0615006,	1.38376,	0.492005,	0.799508,	0.184502,	0.861009,	0.184502,	0.584256,	0.0307503,	0.215252,	0,	1.29151,	0.707257,	0.153752,	1.66052,	2.76753,	0.0307503,	0.153752,	2.15252,	0.123001,	1.90652,	0.0307503,	5.10455,	0.369004,	1.01476,	0.861009,	0,	0.830258,	0.369004,	2.09102,	1.01476,	0.0307503,	0.276753,	0.738007,	0,	0.0615006,	0.461255,	0.0922509,	0.0307503,	0.0307503,	0.153752,	0.338253,	0.276753,	1.75277,	
HA-h,	0.134372,	16.9041,	4.35367,	2.28433,	1.61247,	0.429992,	0.214996,	0.510615,	0.349368,	0.053749,	0.510615,	4.0043,	3.76243,	0.0806235,	1.98871,	1.2631,	0.940607,	0.322494,	0.376243,	0.295619,	0.53749,	0.994356,	0.188121,	0.510615,	0.134372,	0.295619,	3.27869,	0.349368,	1.07498,	0.268745,	0.618113,	0.483741,	2.87557,	1.5856,	0.483741,	0.134372,	1.02123,	0.833109,	0.994356,	1.42435,	0.483741,	0.698737,	0.322494,	0.24187,	0,	0.483741,	0.214996,	0.322494,	1.39747,	0.322494,	0.053749,	0.295619,	0.134372,	3.8968,	0.403117,	0.483741,	0.429992,	1.61247,	0.644988,	1.12873,	0.349368,	1.18248,	0.268745,	1.20935,	0.188121,	0.322494,	0.0268745,	1.31685,	0.698737,	0.188121,	1.3706,	1.50497,	0.0268745,	0.456866,	1.98871,	0.295619,	0.940607,	0.053749,	2.76807,	0.644988,	1.28998,	0.644988,	0,	1.42435,	0.833109,	1.71997,	1.34372,	0.107498,	0.510615,	0.725611,	0,	0.161247,	0.994356,	0.161247,	0.0806235,	0.161247,	0.161247,	0.295619,	0.295619,	1.23623,	
HAEpiC,	0.0579542,	20.313,	4.4335,	2.49203,	1.79658,	0.550565,	0.0579542,	0.463634,	0.231817,	0.0289771,	0.376702,	4.20168,	3.27441,	0.0579542,	1.6517,	2.23124,	0.985222,	0.144886,	0.0579542,	0.579542,	0.318748,	0.724428,	0.318748,	0.666474,	0.0289771,	0.0869313,	2.57896,	0.260794,	1.88351,	0.115908,	0.666474,	0.115908,	1.85453,	1.62272,	0.144886,	0.115908,	1.13011,	0.608519,	1.10113,	1.33295,	0.492611,	0.579542,	0.434657,	0.20284,	0.0289771,	0.144886,	0.144886,	0.115908,	1.50681,	0.260794,	0,	0.231817,	0.0579542,	3.59316,	0.144886,	0.20284,	0.20284,	1.97044,	0.318748,	1.33295,	0.231817,	0.782382,	0.492611,	0.608519,	0.0289771,	0.347725,	0,	1.44886,	0.521588,	0.0289771,	1.62272,	1.88351,	0,	0.376702,	2.31817,	0.115908,	1.50681,	0.0579542,	4.11475,	0.463634,	1.10113,	0.724428,	0,	1.15908,	0.695451,	1.97044,	1.07215,	0.0869313,	0.492611,	1.18806,	0.0289771,	0.0579542,	0.695451,	0.115908,	0.0289771,	0.144886,	0.20284,	0.289771,	0.0869313,	1.27499,	
HCF,	0.0859353,	18.0751,	3.92438,	2.37754,	1.20309,	0.372386,	0.200516,	0.486966,	0.429676,	0,	0.716127,	3.69522,	3.86709,	0.229161,	1.776,	2.29161,	1.1458,	0.171871,	0.143225,	0.601547,	0.372386,	0.830707,	0.143225,	0.486966,	0.0859353,	0.11458,	3.09367,	0.343741,	1.776,	0.143225,	0.773417,	0.315096,	1.60412,	1.83329,	0.229161,	0.0572902,	1.40361,	0.773417,	0.887998,	1.71871,	0.343741,	0.429676,	0.458321,	0.143225,	0,	0.315096,	0.11458,	0.229161,	1.66141,	0.257806,	0.0572902,	0.171871,	0.171871,	3.06502,	0.286451,	0.343741,	0.257806,	2.3489,	0.630192,	1.20309,	0.458321,	1.17445,	0.286451,	0.687482,	0.0572902,	0.286451,	0,	1.37496,	0.515612,	0.0572902,	1.74735,	2.46348,	0,	0.286451,	1.57548,	0.143225,	0.916643,	0.11458,	4.89831,	0.458321,	1.23174,	0.887998,	0,	0.830707,	0.687482,	1.94787,	0.887998,	0.0572902,	0.343741,	1.48954,	0,	0.11458,	1.03122,	0.257806,	0,	0.0859353,	0.171871,	0.200516,	0.143225,	0.859353,	
HCM,	0.0290867,	19.2554,	4.04305,	2.15241,	1.48342,	0.52356,	0.26178,	0.232693,	0.319953,	0,	0.378127,	4.363,	3.4904,	0.116347,	1.54159,	1.33799,	1.04712,	0.116347,	0.08726,	0.378127,	0.34904,	0.901687,	0.17452,	0.668994,	0.0581734,	0.08726,	2.79232,	0.17452,	1.86155,	0.116347,	0.407213,	0.407213,	1.94881,	1.68703,	0.145433,	0.0290867,	1.54159,	0.78534,	0.843514,	1.51251,	0.319953,	0.4363,	0.319953,	0.145433,	0.0290867,	0.319953,	0.0581734,	0.34904,	1.45433,	0.319953,	0.0290867,	0.26178,	0.116347,	3.46131,	0.4363,	0.319953,	0.116347,	2.26876,	0.78534,	1.04712,	0.378127,	1.3089,	0.4363,	0.552647,	0.145433,	0.465387,	0,	1.22164,	0.17452,	0.0581734,	1.97789,	1.54159,	0,	0.232693,	2.29785,	0.232693,	1.51251,	0,	4.33392,	0.290867,	1.62885,	0.8726,	0,	0.988947,	0.668994,	2.38511,	1.13438,	0.0581734,	0.552647,	1.10529,	0.0581734,	0.116347,	0.69808,	0.17452,	0.145433,	0.0581734,	0.17452,	0.232693,	0.17452,	1.36707,	
