cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.59266,	13.3349,	0.433098,	1.36768,	1.41327,	0.0455892,	0.820606,	0.319125,	0.547071,	0,	0.547071,	1.00296,	0.319125,	0.501482,	0.250741,	1.82357,	0.273535,	0.136768,	3.3736,	0.866196,	1.23091,	1.13973,	0.0683839,	3.30522,	0.0227946,	0.569866,	0.319125,	0.615455,	0.227946,	0.319125,	1.02576,	0.205152,	0.0455892,	2.37064,	5.53909,	0.0683839,	0.29633,	7.2031,	0.0455892,	0.501482,	2.43902,	0.729428,	0.205152,	2.23387,	0.250741,	0.0683839,	0.341919,	0.341919,	0.547071,	2.37064,	1.20811,	0.410303,	0.524276,	1.13973,	0.752222,	0.524276,	0.661044,	0.113973,	0,	0.820606,	0.455892,	0.273535,	0.273535,	0.29633,	0.0227946,	0.364714,	0.0683839,	0.638249,	0.569866,	0.0227946,	0.159562,	1.09414,	0.0455892,	4.60451,	4.42216,	0.455892,	0.250741,	1.04855,	4.42216,	0.113973,	0.797812,	0.136768,	0.0911785,	0.0911785,	0.364714,	0.775017,	1.36768,	0.0227946,	2.9861,	0.478687,	0.273535,	0.227946,	1.61842,	0.113973,	1.75519,	0.0227946,	0.0455892,	0.159562,	0.0683839,	0.227946,	
AoAF,	0.713648,	13.4255,	0.423729,	1.4942,	1.4942,	0.133809,	0.958965,	0.423729,	0.535236,	0.0669046,	0.356824,	0.914362,	0.423729,	0.535236,	0.156111,	2.40856,	0.28992,	0.0892061,	2.9661,	0.802855,	1.33809,	1.58341,	0.133809,	3.70205,	0.0223015,	0.669046,	0.223015,	0.73595,	0.223015,	0.44603,	0.958965,	0.133809,	0.044603,	1.69492,	6.17752,	0.133809,	0.312221,	7.69402,	0.0669046,	0.401427,	2.85459,	1.22658,	0.245317,	2.29706,	0.200714,	0.044603,	0.356824,	0.200714,	0.624442,	1.78412,	1.5165,	0.379126,	0.914362,	0.981267,	1.11508,	0.624442,	0.557538,	0.044603,	0,	1.09277,	0.356824,	0.200714,	0.223015,	0.312221,	0.0223015,	0.356824,	0.133809,	0.669046,	0.490633,	0.0669046,	0.111508,	1.15968,	0.044603,	3.74665,	4.97324,	0.267618,	0.423729,	1.31579,	2.43087,	0.044603,	0.512935,	0.0892061,	0.0669046,	0.111508,	0.44603,	0.780553,	1.38269,	0.044603,	2.31936,	0.669046,	0.334523,	0.044603,	0.958965,	0.0892061,	1.87333,	0.0223015,	0.044603,	0.133809,	0.111508,	0.245317,	
CD20+,	0.185185,	21.8056,	0.694444,	1.45833,	1.2963,	0.185185,	0.578704,	0.462963,	0.347222,	0.0925926,	0.324074,	1.31944,	0.763889,	0.231481,	0.393519,	1.13426,	0.509259,	0.115741,	1.38889,	0.532407,	0.972222,	1.34259,	0.0925926,	2.17593,	0.0231481,	0.99537,	0.902778,	0.393519,	0.162037,	0.37037,	0.925926,	0.25463,	0.0231481,	3.44907,	2.82407,	0.115741,	0.300926,	3.68056,	0.0231481,	0.462963,	2.66204,	0.578704,	0.0231481,	1.34259,	0.0925926,	0.0694444,	0.231481,	0.231481,	0.555556,	1.31944,	0.486111,	0.717593,	0.37037,	1.34259,	0.949074,	0.601852,	0.601852,	0.185185,	0.0231481,	0.555556,	0.324074,	0.648148,	0.115741,	0.37037,	0,	0.717593,	0.0231481,	1.01852,	0.648148,	0.0694444,	0.185185,	1.71296,	0.0462963,	2.61574,	3.42593,	0.324074,	0.208333,	0.277778,	5.85648,	0.138889,	2.38426,	0.0694444,	0.0925926,	0.0925926,	0.648148,	0.949074,	2.84722,	0,	3.95833,	0.601852,	0.300926,	0.185185,	0.787037,	0.0925926,	1.38889,	0.0462963,	0.0462963,	0.231481,	0,	0.300926,	
GM06990,	0.205339,	20.0719,	0.821355,	1.20637,	1.54004,	0.641684,	0.436345,	2.25873,	0.205339,	0.0513347,	0.795688,	1.23203,	2.82341,	0.770021,	1.1807,	1.59138,	0.359343,	0.0513347,	0.128337,	0.0256674,	0.38501,	0.0513347,	1.07803,	0.231006,	0.0513347,	0.0513347,	1.36037,	0.0770021,	0.949692,	0.333676,	0.0770021,	4.9538,	0.539014,	1.69405,	0.0256674,	1.1037,	3.6961,	0.616016,	0.308008,	0.693018,	0.102669,	0.821355,	0.616016,	0.0513347,	0.0256674,	0.154004,	0,	0.0256674,	1.87372,	0.0770021,	0,	0.0256674,	0.102669,	1.15503,	1.48871,	1.36037,	0.102669,	0.48768,	0.282341,	0.564682,	0.693018,	1.46304,	0.154004,	0.410678,	0.154004,	0.539014,	0,	0.48768,	6.4425,	0.205339,	3.7731,	1.36037,	0.154004,	0.0256674,	1.4117,	0.48768,	2.54107,	0,	3.41376,	0.462012,	2.33573,	0.898357,	0.0256674,	1.64271,	1.36037,	1.82238,	1.23203,	0.128337,	0.205339,	0.282341,	0.0256674,	0.205339,	0.0513347,	0.128337,	0.0256674,	0.0770021,	0.282341,	0.0513347,	0.0513347,	1.00103,	
GM12865,	0.30994,	12.0434,	0.487049,	1.23976,	1.48329,	0.199247,	0.708435,	0.265663,	0.907682,	0.0221386,	0.686296,	0.819128,	0.487049,	0.177109,	0.354217,	1.50542,	0.332079,	0.199247,	3.52004,	0.752712,	1.06265,	1.52756,	0.0664158,	2.74518,	0.0221386,	0.752712,	0.15497,	0.774851,	0.15497,	0.398495,	1.06265,	0.110693,	0.0221386,	2.50166,	6.75227,	0.0442772,	0.332079,	6.97365,	0.110693,	0.487049,	2.41311,	0.841266,	0.132832,	2.1253,	0.221386,	0.0885544,	0.376356,	0.0664158,	0.509188,	1.97033,	1.21762,	0.664158,	0.487049,	0.929821,	0.929821,	0.420633,	0.796989,	0.110693,	0,	0.774851,	0.597742,	0.199247,	0.132832,	0.265663,	0.0442772,	0.420633,	0.110693,	0.531326,	0.597742,	0.0221386,	0.110693,	1.32832,	0.0664158,	4.91477,	4.78194,	0.398495,	0.376356,	1.06265,	4.44986,	0.0664158,	0.752712,	0.110693,	0.0442772,	0.0885544,	0.376356,	0.885544,	1.17335,	0.0221386,	2.98871,	0.442772,	0.398495,	0.177109,	1.35045,	0.110693,	2.63449,	0.0442772,	0,	0.0442772,	0.110693,	0.132832,	
H7-hESC,	0.464705,	11.4627,	0.486833,	1.54902,	1.06218,	0.132773,	0.863023,	0.442576,	0.641735,	0.0221288,	0.287674,	0.973667,	0.331932,	0.531091,	0.110644,	1.9252,	0.265545,	0.376189,	3.20867,	0.73025,	1.32773,	2.23501,	0.199159,	3.85041,	0.0663864,	0.73025,	0.331932,	0.597477,	0.287674,	0.331932,	0.73025,	0.154902,	0.110644,	2.27927,	6.26245,	0.0885152,	0.331932,	6.55012,	0.132773,	0.309803,	2.7661,	1.3056,	0.221288,	2.14649,	0.17703,	0.0885152,	0.508962,	0.199159,	0.531091,	2.03585,	1.85882,	0.464705,	0.774508,	0.90728,	1.06218,	0.774508,	0.663864,	0.110644,	0,	1.12857,	0.287674,	0.486833,	0.265545,	0.354061,	0.0442576,	0.508962,	0.0885152,	0.752379,	0.708121,	0.0442576,	0.154902,	1.26134,	0,	3.82828,	5.57645,	0.331932,	0.442576,	1.12857,	3.05377,	0.132773,	0.641735,	0.0885152,	0.110644,	0.243417,	0.420447,	0.90728,	0.90728,	0.0221288,	2.27927,	0.486833,	0.287674,	0.0885152,	1.26134,	0.0885152,	1.88095,	0.0221288,	0,	0.0885152,	0.0663864,	0.154902,	
HA-h,	0.388098,	13.6912,	1.03493,	1.46615,	0.970246,	0.237171,	0.62527,	0.388098,	0.323415,	0.064683,	0.43122,	1.35834,	1.01337,	0.474342,	0.344976,	1.83269,	0.409659,	0.323415,	3.23415,	0.689953,	1.14273,	2.24235,	0.107805,	2.39327,	0.0862441,	1.05649,	0.452781,	1.05649,	0.150927,	0.776197,	1.91893,	0.43122,	0.0862441,	2.39327,	4.01035,	0.0862441,	0.301854,	3.47132,	0.107805,	0.689953,	3.23415,	0.668392,	0.21561,	1.96205,	0.495903,	0.21561,	0.388098,	0.539025,	0.582147,	1.63864,	1.09961,	0.927124,	1.31522,	1.37991,	0.776197,	0.776197,	0.62527,	0.237171,	0,	0.884002,	0.43122,	0.711514,	0.258732,	0.560586,	0,	0.452781,	0.0862441,	0.905563,	0.517464,	0.021561,	0.129366,	1.12117,	0.043122,	2.41483,	4.3122,	0.539025,	0.258732,	1.14273,	2.58732,	0.129366,	0.776197,	0.043122,	0.107805,	0.237171,	0.62527,	1.29366,	1.89737,	0.064683,	2.95386,	0.603709,	0.474342,	0.258732,	1.6602,	0.107805,	1.25054,	0.021561,	0.064683,	0.560586,	0.043122,	0.107805,	
HAEpiC,	0.345383,	15.5423,	0.368409,	1.33548,	0.967073,	0.0690767,	1.12825,	0.598665,	0.552613,	0.0230256,	0.276307,	1.12825,	0.368409,	0.368409,	0.138153,	1.74994,	0.391434,	0.391434,	2.55584,	0.368409,	0.851946,	1.58876,	0.0230256,	2.85517,	0.0921022,	0.62169,	0.345383,	0.667741,	0.322358,	0.322358,	0.644716,	0.161179,	0.0460511,	2.87819,	5.50311,	0.0921022,	0.230256,	2.78609,	0.0921022,	0.437486,	2.78609,	1.35851,	0.0921022,	1.1743,	0.138153,	0.115128,	0.230256,	0.253281,	0.529588,	2.94727,	1.10523,	0.299332,	0.782869,	1.28943,	1.40456,	0.667741,	0.460511,	0.161179,	0,	0.805895,	0.62169,	0.230256,	0.230256,	0.391434,	0.0460511,	0.736818,	0.0230256,	0.667741,	0.299332,	0.0460511,	0.161179,	1.35851,	0.0230256,	4.0525,	6.99977,	0.41446,	0.115128,	0.529588,	5.36496,	0.115128,	1.31246,	0.0460511,	0,	0.184204,	0.644716,	0.759843,	1.31246,	0.0690767,	2.90122,	0.598665,	0.20723,	0.0921022,	0.460511,	0.0921022,	2.30256,	0.0690767,	0.0460511,	0.276307,	0.0921022,	0.276307,	
HCF,	0.736772,	10.4041,	0.513507,	1.54052,	1.45122,	0.223264,	0.781424,	0.200938,	0.446528,	0,	0.55816,	0.736772,	0.468855,	0.55816,	0.178611,	1.92007,	0.31257,	0.0893057,	3.63921,	1.07167,	1.42889,	1.49587,	0.0446528,	3.48292,	0,	0.937709,	0.267917,	0.692119,	0.156285,	0.178611,	1.38424,	0.178611,	0.0446528,	1.71913,	5.84952,	0.0893057,	0.245591,	8.50636,	0.0446528,	0.379549,	2.50056,	0.759098,	0.223264,	2.7908,	0.0893057,	0.0446528,	0.357223,	0.401875,	0.334896,	1.71913,	1.56285,	0.714445,	0.669792,	0.87073,	1.07167,	0.401875,	0.736772,	0.156285,	0,	1.09399,	0.669792,	0.55816,	0.357223,	0.357223,	0.0669792,	0.245591,	0.0669792,	0.692119,	0.826077,	0.133958,	0.0223264,	0.937709,	0.0446528,	4.48761,	4.309,	0.491181,	0.468855,	1.13865,	3.17035,	0.133958,	0.513507,	0.0893057,	0.0446528,	0.0893057,	0.357223,	0.647466,	1.1833,	0.0446528,	2.47823,	0.580487,	0.334896,	0.133958,	1.65215,	0.200938,	2.38893,	0.0446528,	0.0669792,	0.111632,	0.178611,	0.223264,	
HCM,	0.400445,	13.4816,	0.444939,	1.55729,	0.956618,	0.0667408,	0.734149,	0.200222,	0.444939,	0.0444939,	0.467186,	0.756396,	0.266963,	0.689655,	0.222469,	2.24694,	0.444939,	0.244716,	3.42603,	0.823137,	1.11235,	1.35706,	0.0444939,	3.02558,	0.0222469,	0.57842,	0.355951,	0.867631,	0.155729,	0.422692,	1.04561,	0.111235,	0.0222469,	1.802,	6.02892,	0.0667408,	0.133482,	5.89544,	0,	0.400445,	3.18131,	1.0901,	0.177976,	1.95773,	0.311457,	0.0444939,	0.266963,	0.266963,	0.400445,	1.95773,	1.31257,	0.622914,	0.778643,	1.06785,	1.20133,	0.51168,	0.57842,	0.0667408,	0,	0.889878,	0.689655,	0.422692,	0.155729,	0.333704,	0.0444939,	0.533927,	0.111235,	0.667408,	0.467186,	0.0222469,	0.111235,	0.823137,	0.0889878,	4.6941,	5.0723,	0.467186,	0.28921,	0.978865,	4.16018,	0.0222469,	1.06785,	0.0667408,	0.111235,	0.0889878,	0.51168,	0.600667,	1.29032,	0.0444939,	2.73637,	0.622914,	0.355951,	0.111235,	1.29032,	0.28921,	2.15795,	0,	0,	0.222469,	0.133482,	0.0889878,	
