cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.262403,	17.622,	2.00902,	1.57442,	2.05002,	0.369004,	0.811808,	0.196802,	0.779008,	0.188602,	0.483805,	1.14801,	1.07421,	0.401804,	0.549406,	0.828208,	0.672407,	0.393604,	2.12382,	0.885609,	1.86962,	1.73022,	0.377204,	2.17302,	0.147601,	1.03321,	0.467405,	0.861009,	0.180402,	0.352604,	0.836408,	0.500205,	0.287003,	1.59082,	1.76302,	0.377204,	0.360804,	4.34604,	0.451005,	0.688807,	1.75482,	0.836408,	0.311603,	1.22181,	0.352604,	0.106601,	0.639606,	0.393604,	1.45961,	1.27921,	1.00861,	0.459205,	0.787208,	1.94342,	1.11521,	0.787208,	0.615006,	0.287003,	0.0246002,	0.869209,	0.229602,	0.795408,	0.910209,	0.869209,	0.0902009,	0.475605,	0.221402,	1.04961,	0.951209,	0.123001,	0.164002,	1.50062,	0.0820008,	0.943009,	3.69004,	0.951209,	1.27921,	0.664207,	2.09922,	0.344403,	0.803608,	0.401804,	0.229602,	0.336203,	0.721607,	0.861009,	1.96802,	0.0492005,	1.31201,	0.401804,	0.278803,	0.172202,	1.14801,	0.492005,	0.541205,	0.0656007,	0.0410004,	0.270603,	0.492005,	0.910209,	
AoAF,	0.220455,	17.2506,	2.60609,	2.13369,	1.63767,	0.330683,	0.803086,	0.307062,	0.653492,	0.188961,	0.480277,	1.10228,	1.02354,	0.346429,	0.511771,	0.81096,	0.677112,	0.385796,	2.01559,	0.755846,	1.80301,	1.70853,	0.385796,	1.74002,	0.188961,	1.41721,	0.433037,	1.1259,	0.299189,	0.425163,	0.747973,	0.535391,	0.496024,	1.4802,	1.70065,	0.267695,	0.346429,	4.36973,	0.637745,	0.708606,	1.87387,	0.889694,	0.39367,	1.2125,	0.401543,	0.110228,	0.511771,	0.291316,	1.30698,	1.2125,	0.826707,	0.283442,	0.905441,	1.91324,	1.27549,	0.669239,	0.551138,	0.196835,	0.039367,	0.606251,	0.204708,	0.716479,	0.700732,	0.889694,	0.141721,	0.511771,	0.188961,	1.03141,	0.889694,	0.228328,	0.259822,	1.58255,	0.173215,	0.78734,	3.99181,	0.818833,	1.23612,	0.519644,	2.05496,	0.496024,	0.921187,	0.637745,	0.236202,	0.362176,	0.472404,	0.78734,	2.46437,	0.078734,	1.54319,	0.44091,	0.133848,	0.165341,	0.968428,	0.41729,	0.527517,	0.0551138,	0.078734,	0.346429,	0.527517,	0.88182,	
CD20+,	0.431772,	18.5988,	2.11813,	1.14868,	2.01222,	0.317719,	0.496945,	0.276986,	0.627291,	0.1222,	0.505092,	1.49083,	1.44196,	0.374745,	0.382892,	0.87169,	0.643584,	0.285132,	2.20774,	0.985743,	1.30346,	1.28717,	0.415479,	2.72098,	0.179226,	0.822811,	0.407332,	0.904277,	0.285132,	0.407332,	0.830957,	0.594705,	0.325866,	1.62933,	2.04481,	0.374745,	0.553971,	5.04277,	0.382892,	0.961303,	1.2057,	0.798371,	0.211813,	0.855397,	0.285132,	0.0977597,	0.537678,	0.374745,	1.52342,	1.13238,	0.839104,	0.448065,	0.537678,	1.97963,	1.07536,	0.847251,	0.399185,	0.171079,	0.0570265,	0.855397,	0.358452,	0.790224,	0.488798,	1.13238,	0.285132,	0.374745,	0.14664,	1.27088,	1.05906,	0.162933,	0.317719,	1.83299,	0.105906,	1.03462,	3.73931,	0.822811,	1.49898,	0.879837,	1.84929,	0.342159,	0.619145,	0.334012,	0.195519,	0.211813,	0.496945,	0.912424,	1.82485,	0.0814664,	1.18126,	0.301426,	0.244399,	0.203666,	0.904277,	0.448065,	0.545825,	0.0325866,	0.0733198,	0.285132,	0.529532,	1.03462,	
GM06990,	0.329075,	24.1096,	3.41657,	1.40341,	2.3132,	0.716221,	0.358111,	0.542005,	0.542005,	0.203252,	0.367789,	2.15834,	3.223,	0.590399,	0.977545,	1.29694,	0.745257,	0.174216,	0.232288,	0.309717,	0.842044,	0.203252,	0.261324,	1.01626,	0.261324,	0.183895,	0.687185,	0.735579,	0.677507,	0.542005,	0.232288,	0.996903,	1.06465,	2.65195,	0.367789,	0.416183,	0.677507,	1.43244,	0.571041,	1.79055,	0.396825,	0.658149,	0.261324,	0.154859,	0.125823,	0.164537,	0.14518,	0.396825,	1.5873,	0.377468,	0.058072,	0.106465,	0.464576,	1.81959,	0.600077,	1.1808,	0.319396,	0.900116,	0.551684,	0.658149,	0.590399,	1.10337,	0.367789,	0.900116,	0.0677507,	0.609756,	0.193573,	1.51955,	2.08091,	0.445219,	0.764615,	1.63569,	0.087108,	0.377468,	2.00348,	0.232288,	1.95509,	0.0677507,	2.83585,	0.367789,	0.87108,	0.880759,	0.0774293,	0.696864,	1.27758,	1.50987,	1.27758,	0.087108,	0.43554,	0.387147,	0.0677507,	0.183895,	0.348432,	0.212931,	0.0387147,	0.338753,	0.212931,	0.14518,	0.358111,	1.83895,	
GM12865,	0.247189,	19.3286,	2.23268,	1.5868,	2.18483,	0.350849,	0.693725,	0.175425,	0.590065,	0.0956861,	0.502352,	1.3715,	1.16418,	0.326928,	0.390718,	0.988757,	0.661829,	0.295032,	1.84993,	0.765489,	1.38745,	1.37948,	0.334902,	2.54366,	0.175425,	0.988757,	0.31098,	0.996731,	0.255163,	0.350849,	0.72562,	0.430588,	0.398692,	1.81804,	1.77817,	0.374771,	0.542221,	4.42548,	0.494378,	0.813332,	1.4034,	0.853201,	0.247189,	0.924966,	0.303006,	0.0478431,	0.534248,	0.247189,	1.53895,	1.08444,	0.741568,	0.494378,	0.62196,	2.11307,	0.924966,	0.909018,	0.350849,	0.127582,	0.0318954,	0.669803,	0.303006,	0.613986,	0.773463,	0.861175,	0.151503,	0.438562,	0.159477,	1.11634,	1.0366,	0.119608,	0.303006,	1.68248,	0.0797385,	1.10836,	3.70784,	0.964835,	1.42732,	0.566143,	2.38418,	0.366797,	0.717646,	0.398692,	0.223268,	0.263137,	0.342875,	1.0047,	2.48784,	0.0877123,	1.26784,	0.318954,	0.191372,	0.167451,	0.996731,	0.41464,	0.566143,	0.0239215,	0.0797385,	0.239215,	0.526274,	1.02065,	
H7-hESC,	0.181632,	14.6095,	2.94559,	2.15589,	1.61889,	0.521204,	0.687041,	0.300087,	0.789702,	0.173735,	0.544895,	1.44516,	0.923952,	0.363263,	0.639659,	0.766011,	0.852879,	0.29219,	1.95056,	0.844981,	2.02164,	1.68996,	0.394851,	1.98215,	0.181632,	0.931849,	0.45013,	0.995025,	0.244808,	0.481718,	0.773908,	0.600174,	0.434336,	1.55571,	1.93477,	0.268499,	0.315881,	5.0462,	0.647556,	0.639659,	1.71365,	0.718629,	0.347469,	1.10558,	0.394851,	0.102661,	0.631762,	0.481718,	1.18455,	1.46095,	0.734423,	0.339572,	0.852879,	2.20327,	1.19245,	0.781805,	0.544895,	0.236911,	0.0394851,	0.758114,	0.323778,	0.568586,	0.884467,	0.979231,	0.102661,	0.592277,	0.134249,	1.23194,	0.892364,	0.181632,	0.244808,	1.52413,	0.134249,	0.963437,	3.7195,	0.916055,	1.67417,	0.513306,	1.89529,	0.363263,	0.829187,	0.481718,	0.189529,	0.402748,	0.568586,	0.931849,	2.24275,	0.0710732,	1.61099,	0.339572,	0.197426,	0.244808,	1.0661,	0.331675,	0.481718,	0.110558,	0.110558,	0.276396,	0.623865,	1.02661,	
HA-h,	0.400534,	10.5919,	2.27711,	1.81724,	1.49088,	0.645305,	0.82332,	0.341196,	0.830737,	0.207684,	0.637888,	0.986501,	0.763982,	0.54888,	0.74173,	0.704643,	0.704643,	0.534045,	3.5158,	1.23869,	1.76532,	1.77273,	0.445038,	1.94333,	0.326361,	1.12743,	0.504376,	1.11259,	0.222519,	0.504376,	1.19418,	0.578549,	0.511793,	1.33511,	2.02492,	0.541463,	0.370865,	3.99051,	0.534045,	0.608218,	1.85432,	0.934579,	0.229936,	1.40929,	0.571132,	0.215102,	1.031,	0.615636,	0.82332,	1.57247,	1.32028,	0.689809,	0.986501,	1.72823,	1.19418,	0.897493,	0.808485,	0.27444,	0.074173,	0.897493,	0.296692,	0.82332,	0.912328,	1.30544,	0.289275,	0.46729,	0.378282,	1.10518,	0.697226,	0.267023,	0.222519,	1.47604,	0.237354,	1.23869,	2.94467,	1.24611,	1.03842,	1.22385,	1.74306,	0.393117,	0.867824,	0.407951,	0.289275,	0.348613,	0.682391,	0.778816,	1.61697,	0.155763,	1.55022,	0.341196,	0.318944,	0.27444,	1.34995,	0.46729,	0.689809,	0.111259,	0.163181,	0.489542,	0.756564,	0.689809,	
HAEpiC,	0.220733,	17.4787,	2.71419,	1.98659,	1.85579,	0.343362,	0.874755,	0.269784,	0.596795,	0.171681,	0.686723,	1.25899,	0.923806,	0.29431,	0.564094,	1.01373,	0.531393,	0.327011,	2.16645,	0.719424,	2.01112,	1.57783,	0.376063,	2.0847,	0.196207,	1.14454,	0.457816,	1.25082,	0.130804,	0.261609,	0.678548,	0.482341,	0.531393,	1.71681,	1.78221,	0.408764,	0.457816,	4.63538,	0.621321,	0.604971,	1.63506,	0.768476,	0.43329,	1.13636,	0.392413,	0.0899281,	0.482341,	0.392413,	1.36527,	1.26717,	0.686723,	0.43329,	0.809352,	2.22368,	1.32439,	0.7276,	0.547744,	0.261609,	0.0490517,	0.654022,	0.212557,	0.58862,	0.564094,	0.760301,	0.114454,	0.498692,	0.171681,	0.956508,	0.981033,	0.245258,	0.359712,	1.4552,	0.15533,	0.866579,	3.56442,	0.891105,	1.10366,	0.400589,	1.97024,	0.465991,	0.833878,	0.58862,	0.277959,	0.384238,	0.613146,	1.03826,	1.98659,	0.0981033,	1.4552,	0.441465,	0.122629,	0.15533,	0.842054,	0.392413,	0.359712,	0.0572269,	0.0327011,	0.212557,	0.547744,	1.14454,	
HCF,	0.340298,	15.4242,	2.2792,	1.97056,	1.75689,	0.32447,	0.759734,	0.253245,	0.664767,	0.237417,	0.625198,	1.11586,	1.02089,	0.443178,	0.577715,	0.838873,	0.704337,	0.316556,	2.46914,	0.910098,	1.94682,	1.78063,	0.340298,	1.80437,	0.356125,	1.09212,	0.46692,	0.997151,	0.158278,	0.364039,	0.743906,	0.585628,	0.451092,	1.45616,	1.68566,	0.419437,	0.403609,	3.94112,	0.672681,	0.704337,	1.97847,	0.846787,	0.276986,	1.37702,	0.46692,	0.174106,	0.648939,	0.387781,	1.13169,	1.68566,	0.89427,	0.419437,	0.973409,	2.01804,	1.2504,	0.775562,	0.617284,	0.158278,	0.0474834,	0.759734,	0.269073,	0.79139,	0.712251,	1.06046,	0.189934,	0.538145,	0.158278,	0.910098,	0.799304,	0.237417,	0.166192,	1.62235,	0.126622,	0.89427,	3.89364,	1.10003,	1.00506,	0.783476,	1.9389,	0.490662,	0.957582,	0.395695,	0.237417,	0.308642,	0.680595,	0.838873,	2.07344,	0.0712251,	1.38493,	0.348211,	0.340298,	0.276986,	1.10003,	0.459006,	0.648939,	0.0870529,	0.0949668,	0.332384,	0.514403,	0.870529,	
HCM,	0.359138,	15.2354,	2.29848,	1.8755,	1.86752,	0.399042,	0.806065,	0.255387,	0.774142,	0.167598,	0.550678,	1.10136,	0.981644,	0.351157,	0.718276,	0.917797,	0.670391,	0.319234,	2.37031,	0.965682,	1.67598,	1.81165,	0.27933,	1.98723,	0.247406,	1.18915,	0.359138,	1.0854,	0.223464,	0.295291,	0.814046,	0.534717,	0.327215,	1.62809,	1.81165,	0.343176,	0.415004,	4.22985,	0.574621,	0.638468,	1.92338,	0.718276,	0.367119,	1.54828,	0.47087,	0.0718276,	0.598563,	0.502793,	1.1652,	1.43655,	0.861931,	0.542698,	0.909817,	2.15483,	1.39665,	0.806065,	0.574621,	0.215483,	0.0399042,	0.949721,	0.27933,	0.893855,	0.909817,	1.05347,	0.223464,	0.606544,	0.255387,	1.02155,	0.901836,	0.167598,	0.255387,	1.55626,	0.0957702,	0.981644,	3.47965,	1.26895,	1.11732,	0.646448,	1.85156,	0.415004,	0.774142,	0.391061,	0.255387,	0.343176,	0.598563,	0.869912,	1.73184,	0.0957702,	1.42059,	0.327215,	0.303272,	0.215483,	1.07741,	0.3751,	0.678372,	0.0638468,	0.0638468,	0.319234,	0.510774,	0.893855,	
