cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.184729,	21.1823,	0.923645,	5.91133,	2.15517,	0.0615764,	0.431034,	0.923645,	0.123153,	0.0615764,	0.123153,	1.0468,	1.66256,	0.184729,	0.738916,	0.307882,	0.246305,	1.10837,	0.615764,	0.369458,	0,	1.0468,	0.554187,	1.84729,	3.14039,	0.184729,	0.615764,	0.800493,	0.923645,	1.0468,	0.0615764,	0.431034,	0.492611,	0.862069,	0.800493,	0.0615764,	0.492611,	0.615764,	0.492611,	1.2931,	2.3399,	1.35468,	0.0615764,	1.0468,	0,	0.246305,	0.246305,	0.431034,	0.615764,	2.15517,	0,	0,	1.72414,	0.985222,	1.60099,	2.27833,	0.985222,	0.307882,	0,	0.738916,	0.246305,	0.431034,	0.184729,	0.184729,	0,	0.0615764,	0.492611,	0.738916,	0.862069,	0.369458,	0.307882,	1.60099,	0,	0.554187,	3.20197,	0.246305,	0.615764,	0.123153,	2.64778,	1.2931,	0.738916,	0.862069,	0,	0.492611,	1.16995,	0.492611,	0.800493,	0.246305,	0.123153,	0.923645,	1.35468,	0.0615764,	4.6798,	0.431034,	0.184729,	0.184729,	0.0615764,	1.2931,	0,	0.492611,	
AoAF,	0.361011,	19.8556,	1.92539,	6.85921,	2.40674,	0.0601685,	0.421179,	1.38387,	0.300842,	0,	0.180505,	0.300842,	1.68472,	0.0601685,	0.541516,	0.661853,	0.661853,	1.08303,	0.661853,	0.240674,	0.300842,	0.962696,	0.120337,	1.86522,	3.2491,	0.0601685,	0.78219,	0.78219,	0.601685,	0.722022,	0.120337,	0.180505,	0.300842,	0.541516,	1.08303,	0,	0.180505,	0.902527,	0.481348,	1.32371,	2.40674,	0.78219,	0.180505,	0.842359,	0.0601685,	0,	0.481348,	0.180505,	1.08303,	2.52708,	0.240674,	0.180505,	1.38387,	0.78219,	2.40674,	2.88809,	0.601685,	0.300842,	0,	0.481348,	0.300842,	0.601685,	0,	0.300842,	0,	0.300842,	0.601685,	0.78219,	0.421179,	0.601685,	0.180505,	1.1432,	0,	0.601685,	3.30927,	0.180505,	1.02286,	0,	2.52708,	0.601685,	0.661853,	0.962696,	0,	0.421179,	1.02286,	0.78219,	0.481348,	0.722022,	0.120337,	1.08303,	1.20337,	0,	3.61011,	0.421179,	0.120337,	0.120337,	0,	1.80505,	0.120337,	0.842359,	
CD20+,	0.496278,	20.9057,	1.30273,	6.63772,	1.48883,	0,	0.0620347,	0.620347,	0.186104,	0.0620347,	0.124069,	0.496278,	2.91563,	0.186104,	0.496278,	0.558313,	0.930521,	0.558313,	0.806452,	0.434243,	0.124069,	0.558313,	0.124069,	2.48139,	3.47395,	0.0620347,	0.186104,	0.558313,	1.30273,	0.682382,	0.0620347,	0.310174,	0.248139,	0.496278,	0.682382,	0.0620347,	0.372208,	1.11663,	0.124069,	1.24069,	1.4268,	0.682382,	0.0620347,	0.744417,	0.0620347,	0.0620347,	0.372208,	0.248139,	1.36476,	2.04715,	0.0620347,	0.0620347,	2.04715,	0.868486,	1.79901,	2.04715,	1.36476,	0.124069,	0.0620347,	0.558313,	0.310174,	0.930521,	0.124069,	0.372208,	0,	0.124069,	0.806452,	0.558313,	0.806452,	0.248139,	0.558313,	1.67494,	0.0620347,	0.558313,	3.53598,	0.310174,	1.05459,	0.0620347,	2.79156,	0.496278,	0.434243,	0.310174,	0.0620347,	0.558313,	1.55087,	0.434243,	0.868486,	0.558313,	0.124069,	1.11663,	0.930521,	0,	3.72208,	0.682382,	0.186104,	0.124069,	0,	2.17122,	0.124069,	1.05459,	
GM06990,	0.428571,	30.7857,	0.5,	1.71429,	2.07143,	0.428571,	0.0714286,	1.5,	1.35714,	0,	1.07143,	1.85714,	0.714286,	1.42857,	0.5,	0.571429,	0.214286,	0,	0.357143,	0.642857,	1.42857,	0.285714,	0.0714286,	1.42857,	0.357143,	0.357143,	0.571429,	0.285714,	0.428571,	0.214286,	0.857143,	0.571429,	0.0714286,	2.78571,	0.857143,	0.285714,	0.357143,	1.85714,	0.428571,	0.714286,	0.571429,	0.357143,	0.142857,	0.785714,	0.214286,	0.428571,	0.285714,	0.0714286,	0.5,	1,	0.285714,	0.285714,	0,	1.64286,	1.14286,	0.642857,	0.285714,	0.285714,	0,	0.857143,	0.5,	1.07143,	0.857143,	0.285714,	0.0714286,	1,	0.714286,	0.857143,	1.64286,	0.0714286,	0.142857,	2.28571,	0.642857,	0.571429,	1.07143,	0.642857,	2.07143,	0.214286,	3.78571,	0,	2.14286,	0.285714,	0,	0,	0.428571,	0.571429,	3.5,	0,	1.92857,	0,	0.285714,	0.571429,	0.142857,	0.0714286,	0.0714286,	0,	0.142857,	0.0714286,	0.357143,	0.714286,	
GM12865,	0.430504,	14.0836,	1.59902,	6.64207,	2.64453,	0.184502,	0.430504,	0.922509,	0.430504,	0.0615006,	0.184502,	1.04551,	2.02952,	0.123001,	0.615006,	0.430504,	0.246002,	0.738007,	1.47601,	0.553506,	0.123001,	0.98401,	0.123001,	2.33702,	4.79705,	0.0615006,	0.369004,	0.676507,	1.90652,	1.04551,	0,	0.123001,	0.430504,	0.922509,	0.738007,	0.184502,	0.307503,	0.98401,	0.369004,	1.10701,	1.66052,	1.04551,	0.123001,	0.430504,	0,	0.0615006,	0.184502,	0.246002,	1.16851,	1.41451,	0.184502,	0.123001,	1.35301,	0.369004,	1.29151,	1.59902,	1.10701,	0.246002,	0.184502,	0.738007,	0.246002,	0.369004,	0,	0.492005,	0,	0.246002,	0.615006,	1.16851,	0.799508,	0.492005,	0.369004,	1.23001,	0.0615006,	0.676507,	4.05904,	0.184502,	1.53752,	0.0615006,	3.99754,	1.04551,	0.738007,	0.861009,	0,	0.184502,	1.04551,	0.369004,	0.553506,	0.430504,	0.369004,	0.861009,	1.23001,	0.184502,	6.33456,	0.861009,	0.184502,	0,	0.0615006,	1.53752,	0.0615006,	0.492005,	
H7-hESC,	0.428659,	13.5334,	1.10227,	5.45009,	2.38824,	0.122474,	0.673607,	1.04103,	0.367422,	0.061237,	0.122474,	0.918555,	1.53092,	0.244948,	0.857318,	0.61237,	0.428659,	1.04103,	1.34721,	0.244948,	0.183711,	0.796081,	0.306185,	2.69443,	3.85793,	0.183711,	0.61237,	0.61237,	1.04103,	0.61237,	0,	0.244948,	0.796081,	0.673607,	1.1635,	0.122474,	0.306185,	1.04103,	0.306185,	1.46969,	1.46969,	1.28598,	0,	0.673607,	0,	0.306185,	0.796081,	0.489896,	1.22474,	2.26577,	0.183711,	0.306185,	0.979792,	0.979792,	1.46969,	2.02082,	0.734844,	0.551133,	0,	0.979792,	0.183711,	0.857318,	0.061237,	0.428659,	0,	0.244948,	0.918555,	0.979792,	0.918555,	0.61237,	0.367422,	1.40845,	0.183711,	0.857318,	4.40906,	0,	1.34721,	0.122474,	3.3068,	0.673607,	0.979792,	1.04103,	0,	0.122474,	1.40845,	0.734844,	0.673607,	0.244948,	0.306185,	0.673607,	0.918555,	0.061237,	4.89896,	0.489896,	0.306185,	0,	0.122474,	1.83711,	0.122474,	0.918555,	
HA-h,	0.293427,	16.4906,	1.64319,	6.39671,	1.23239,	0.293427,	0.176056,	0.938967,	0.176056,	0,	0.234742,	0.762911,	1.58451,	0.352113,	0.64554,	0.586854,	0.938967,	1.05634,	0.704225,	0.704225,	0.234742,	0.880282,	0.176056,	2.11268,	4.69484,	0.0586854,	0.821596,	0.704225,	1.05634,	0.410798,	0.0586854,	0.352113,	0.880282,	0.410798,	0.704225,	0.0586854,	0.293427,	0.880282,	0.117371,	1.11502,	1.93662,	0.821596,	0.117371,	0.938967,	0,	0.234742,	0.586854,	0.704225,	1.11502,	2.87559,	0.0586854,	0.117371,	3.28638,	0.234742,	2.28873,	1.58451,	1.87793,	0.469484,	0.0586854,	0.586854,	0.176056,	0.762911,	0.0586854,	0.293427,	0,	0.234742,	1.05634,	0.293427,	0.64554,	0.528169,	0.234742,	0.762911,	0,	0.762911,	3.05164,	0.176056,	0.938967,	0.176056,	2.34742,	0.880282,	0.821596,	0.704225,	0,	0.176056,	1.87793,	0.64554,	0.410798,	0.64554,	0.234742,	1.05634,	0.762911,	0,	4.51878,	0.64554,	0.352113,	0.176056,	0,	1.70188,	0.176056,	0.586854,	
HAEpiC,	0.184388,	18.3774,	1.84388,	4.7941,	3.01168,	0.122926,	0.737554,	1.10633,	0.307314,	0.245851,	0.43024,	0.676091,	1.35218,	0.122926,	0.676091,	0.799017,	0.676091,	1.41364,	1.16779,	0.553165,	0.368777,	0.860479,	0.491702,	1.41364,	2.70436,	0.0614628,	0.614628,	0.491702,	0.799017,	0.737554,	0.184388,	0.676091,	0.245851,	0.737554,	0.553165,	0.122926,	0.368777,	0.553165,	0.676091,	1.10633,	1.72096,	1.10633,	0.0614628,	0.553165,	0,	0,	0.553165,	0.245851,	0.983405,	2.45851,	0.43024,	0,	0.983405,	0.799017,	2.58144,	2.1512,	0.43024,	0.43024,	0.0614628,	0.921942,	0.368777,	0.676091,	0.122926,	0.43024,	0,	0.184388,	0.245851,	0.614628,	0.368777,	0.368777,	0.368777,	2.02827,	0.184388,	0.307314,	3.93362,	0.737554,	0.799017,	0,	1.84388,	1.04487,	0.676091,	1.16779,	0,	0.737554,	2.02827,	0.799017,	0.368777,	0.43024,	0.184388,	0.983405,	1.90535,	0,	3.68777,	0.614628,	0.184388,	0,	0.0614628,	1.22926,	0.122926,	1.35218,	
HCF,	0.182927,	15.4878,	1.21951,	6.34146,	2.13415,	0.121951,	0.365854,	0.792683,	0.487805,	0.0609756,	0.243902,	0.670732,	1.70732,	0.121951,	0.670732,	0.97561,	0.426829,	0.853659,	1.09756,	0.365854,	0.121951,	0.853659,	0.243902,	2.0122,	3.96341,	0,	0.914634,	0.548781,	1.15854,	1.28049,	0.0609756,	0.426829,	0.487805,	1.09756,	0.609756,	0.182927,	0.426829,	0.609756,	0.121951,	1.34146,	1.70732,	1.15854,	0.0609756,	1.15854,	0,	0.0609756,	0.243902,	0.243902,	1.03659,	2.31707,	0.304878,	0.121951,	2.19512,	0.609756,	2.19512,	2.31707,	1.58537,	0.365854,	0.121951,	0.914634,	0.182927,	0.731707,	0.0609756,	0.121951,	0,	0.182927,	0.609756,	0.487805,	0.487805,	0.426829,	0.182927,	1.03659,	0.121951,	0.304878,	4.32927,	0.304878,	0.97561,	0,	3.23171,	1.09756,	0.487805,	0.853659,	0.0609756,	0.487805,	1.34146,	0.487805,	0.365854,	0.182927,	0.0609756,	0.731707,	1.64634,	0,	5.12195,	0.731707,	0.182927,	0,	0.0609756,	1.82927,	0.0609756,	0.914634,	
HCM,	0.428922,	15.8701,	1.34804,	7.10784,	2.75735,	0.0612745,	0.122549,	0.919118,	0.306373,	0.122549,	0.245098,	0.980392,	1.71569,	0.0612745,	0.612745,	0.796569,	0.490196,	0.857843,	0.857843,	0.367647,	0.245098,	0.551471,	0.183824,	2.32843,	4.22794,	0.183824,	0.551471,	0.612745,	1.40931,	0.796569,	0,	0.245098,	0.612745,	0.490196,	1.04167,	0.0612745,	0.306373,	0.367647,	0.245098,	0.857843,	1.40931,	0.919118,	0,	0.67402,	0,	0,	0.306373,	0.490196,	0.735294,	2.69608,	0.122549,	0.183824,	2.26716,	0.796569,	1.83824,	1.83824,	1.10294,	0.367647,	0.183824,	0.919118,	0.245098,	0.67402,	0.122549,	0.0612745,	0,	0.245098,	0.490196,	0.980392,	0.612745,	0.245098,	0.428922,	1.96078,	0.0612745,	0.612745,	4.04412,	0.245098,	0.857843,	0,	2.94118,	0.919118,	0.428922,	1.28676,	0,	0.428922,	1.28676,	0.612745,	0.122549,	0.428922,	0.0612745,	0.796569,	1.47059,	0,	5.26961,	0.857843,	0.245098,	0.0612745,	0.0612745,	1.96078,	0.0612745,	0.612745,	
