cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.339559,	25.0707,	0.90549,	3.96152,	1.01868,	0.73571,	0.113186,	2.4335,	0.90549,	0.0565931,	0.169779,	0.565931,	1.01868,	2.15054,	0.565931,	0.848896,	0.452745,	0.0565931,	0.509338,	0.396152,	2.26372,	0.0565931,	0.509338,	3.96152,	0,	0.339559,	0.282965,	0.282965,	0,	0.113186,	0.452745,	1.13186,	0.282965,	1.18845,	1.01868,	0.226372,	0.339559,	2.37691,	0.792303,	0.565931,	0.792303,	0.113186,	0.169779,	1.01868,	0.339559,	0.339559,	1.07527,	0,	0.339559,	2.60328,	0.90549,	0.0565931,	0.0565931,	0.90549,	1.35823,	0.226372,	0.0565931,	0.113186,	0.0565931,	0.679117,	1.69779,	0.509338,	5.09338,	0.679117,	0.679117,	0.622524,	0.396152,	0.73571,	2.09394,	0.0565931,	0.0565931,	1.18845,	0.565931,	0.282965,	0.169779,	0.565931,	3.62196,	0.169779,	1.01868,	0.0565931,	0.622524,	0.113186,	0.0565931,	0.169779,	0.452745,	0.226372,	2.65988,	0,	1.13186,	0.0565931,	1.01868,	1.35823,	0.282965,	0.0565931,	0.0565931,	0.0565931,	0.169779,	0,	1.30164,	0.282965,	
AoAF,	0.609756,	21.4523,	0.665188,	5.09978,	0.776053,	0.720621,	0.0554324,	2.60532,	0.94235,	0.166297,	0.277162,	0.277162,	1.16408,	2.49446,	0.776053,	0.554324,	0.443459,	0.0554324,	0.886918,	0.554324,	1.7184,	0,	0.332594,	3.10421,	0,	0.388027,	0.221729,	0.110865,	0,	0.166297,	0.831486,	0.720621,	0.166297,	1.33038,	2.051,	0.554324,	0.720621,	2.21729,	0.997783,	0.720621,	1.21951,	0.0554324,	0,	1.10865,	0.166297,	0.166297,	0.609756,	0,	0.166297,	3.21508,	0.94235,	0,	0.110865,	0.609756,	1.05322,	0.443459,	0,	0.110865,	0,	0.720621,	2.43902,	0.332594,	4.60089,	0.886918,	0.720621,	0.997783,	0.388027,	0.776053,	1.66297,	0.110865,	0.110865,	1.49667,	0.443459,	0.388027,	0.388027,	0.443459,	3.21508,	0.277162,	1.16408,	0,	0.609756,	0,	0.166297,	0.277162,	0.498891,	0.443459,	3.7694,	0,	0.720621,	0.166297,	0.997783,	1.60754,	0.332594,	0.110865,	0.0554324,	0,	0.332594,	0,	1.33038,	0.110865,	
CD20+,	0.626781,	24.9573,	0.39886,	3.53276,	1.4245,	0.797721,	0.0569801,	1.48148,	1.65242,	0.2849,	0.17094,	0.683761,	0.968661,	1.36752,	0.45584,	0.740741,	0.22792,	0,	0.626781,	0.569801,	1.76638,	0.0569801,	0.2849,	3.24786,	0.0569801,	0.39886,	0.17094,	0.2849,	0.17094,	0.34188,	0.797721,	0.683761,	0.17094,	1.59544,	1.65242,	0.39886,	0.626781,	3.19088,	0.39886,	1.19658,	0.911681,	0.34188,	0.11396,	1.08262,	0.17094,	0.34188,	0.797721,	0,	0.512821,	2.849,	0.740741,	0.0569801,	0.11396,	1.1396,	1.36752,	0.512821,	0.11396,	0.11396,	0,	0.569801,	0.968661,	0.34188,	4.5584,	0.569801,	0.569801,	0.45584,	0.39886,	0.626781,	2.2792,	0.11396,	0.2849,	0.968661,	0.39886,	0.683761,	0.17094,	0.39886,	3.9886,	0.17094,	0.968661,	0.0569801,	0.797721,	0,	0,	0.0569801,	0.17094,	0.626781,	4.38746,	0,	0.683761,	0.0569801,	0.569801,	1.1396,	0.45584,	0.0569801,	0,	0,	0.2849,	0.0569801,	1.02564,	0.2849,	
GM06990,	0.260926,	32.6158,	3.78343,	4.82714,	1.17417,	0.130463,	0.130463,	0.456621,	0.978474,	0.195695,	0.0652316,	1.04371,	1.30463,	0.130463,	0.652316,	0.717547,	0.652316,	0.391389,	0.326158,	0.84801,	0.326158,	0.391389,	0.521853,	1.63079,	0.84801,	0.0652316,	0.195695,	0.652316,	0.195695,	0.260926,	0,	0.326158,	0.978474,	0.782779,	0.326158,	0.130463,	0.326158,	1.17417,	0.521853,	0.717547,	1.50033,	0.326158,	0.195695,	0.84801,	0,	0.456621,	0.391389,	0.587084,	1.10894,	0.717547,	0.0652316,	0.0652316,	0.456621,	1.50033,	3.97913,	0.587084,	0.260926,	0.326158,	0.130463,	0.260926,	1.10894,	0.326158,	0.0652316,	0.391389,	0,	0.195695,	0.195695,	0.521853,	0.521853,	0.0652316,	0.260926,	1.56556,	0,	0.456621,	2.54403,	0.326158,	2.41357,	0.195695,	2.21787,	0.391389,	1.43509,	0.717547,	0.130463,	0.195695,	1.82648,	0.391389,	1.36986,	0.130463,	0.130463,	0.717547,	0.195695,	0.130463,	1.63079,	0.978474,	0,	0.0652316,	0.195695,	0.260926,	0.260926,	0.652316,	
GM12865,	1.07527,	17.8268,	0.792303,	3.79174,	0.962083,	0.73571,	0.169779,	2.37691,	1.41483,	0.0565931,	0.452745,	0.565931,	1.47142,	1.92417,	0.622524,	0.848896,	0.339559,	0,	0.509338,	0.90549,	1.13186,	0.0565931,	0.565931,	4.35767,	0,	0.565931,	0,	0.509338,	0.169779,	0.113186,	0.282965,	0.565931,	0.169779,	1.01868,	1.41483,	0.679117,	0.622524,	3.56537,	0.622524,	0.509338,	0.282965,	0.509338,	0.0565931,	1.35823,	0.339559,	0.282965,	0.792303,	0.0565931,	0.226372,	2.71647,	0.962083,	0,	0.226372,	0.73571,	0.622524,	0.509338,	0,	0.113186,	0,	1.24505,	2.15054,	0.282965,	5.60272,	0.452745,	0.90549,	0.565931,	0.622524,	0.792303,	1.98076,	0.452745,	0.113186,	1.07527,	0.73571,	0.396152,	0.90549,	0.339559,	4.52745,	0.282965,	1.81098,	0,	0.509338,	0.0565931,	0.113186,	0,	0.226372,	0.452745,	2.60328,	0,	1.30164,	0.169779,	0.962083,	2.54669,	0.226372,	0.226372,	0,	0,	0,	0,	1.30164,	0.509338,	
H7-hESC,	0.673023,	16.3769,	0.729108,	4.37465,	0.953449,	0.673023,	0.168256,	2.41167,	1.45822,	0.280426,	0.336511,	0.504767,	1.12171,	3.30903,	0.168256,	0.785194,	0.224341,	0.0560853,	0.673023,	0.953449,	1.40213,	0,	0.448682,	4.31856,	0,	0.448682,	0.224341,	0.504767,	0,	0.280426,	0.504767,	0.841279,	0.448682,	1.23388,	1.62647,	0.616938,	0.336511,	3.64554,	1.00953,	1.12171,	0.785194,	0.392597,	0.168256,	1.12171,	0.336511,	0.280426,	0.616938,	0,	0.224341,	2.41167,	0.729108,	0,	0.224341,	0.616938,	1.12171,	0.392597,	0,	0.224341,	0.0560853,	0.841279,	2.18732,	0.168256,	4.99159,	0.673023,	1.06562,	0.841279,	1.00953,	0.280426,	1.73864,	0.168256,	0,	1.17779,	0.785194,	0.616938,	0.560853,	0.280426,	4.20639,	0.448682,	1.45822,	0,	0.448682,	0.168256,	0,	0.168256,	0.280426,	0.224341,	2.86035,	0,	1.17779,	0.168256,	0.841279,	2.35558,	0.504767,	0.392597,	0.0560853,	0,	0.168256,	0,	1.28996,	0.448682,	
HA-h,	0.702703,	19.0811,	0.810811,	3.62162,	0.756757,	1.13514,	0.0540541,	1.94595,	1.83784,	0.162162,	0.216216,	0.432432,	1.18919,	2.32432,	0.324324,	0.540541,	0.540541,	0,	0.324324,	0.486486,	1.78378,	0,	0.324324,	3.35135,	0,	0.432432,	0.162162,	0.216216,	0,	0.216216,	1.13514,	0.594595,	0.27027,	1.18919,	1.56757,	0.540541,	0.648649,	1.83784,	0.540541,	0.540541,	1.02703,	0.162162,	0.216216,	1.13514,	0.108108,	0.378378,	0.918919,	0.0540541,	0.0540541,	3.51351,	0.972973,	0.0540541,	0.378378,	0.918919,	1.67568,	0.324324,	0,	0.27027,	0.0540541,	1.02703,	1.89189,	0.378378,	6.59459,	0.756757,	0.918919,	0.810811,	0.486486,	0.918919,	1.51351,	0.108108,	0.162162,	1.45946,	0.702703,	0.378378,	0.378378,	0.540541,	3.13513,	0.162162,	0.972973,	0.0540541,	0.432432,	0.162162,	0.108108,	0.162162,	0.432432,	0.378378,	4.75676,	0.0540541,	1.18919,	0.27027,	1.24324,	1.35135,	0.432432,	0.216216,	0.0540541,	0,	0.378378,	0,	0.864865,	0.108108,	
HAEpiC,	0.395928,	22.6244,	1.35747,	4.29864,	1.13122,	0.735294,	0.113122,	1.86652,	0.791855,	0.169683,	0.791855,	0.395928,	1.07466,	1.75339,	0.848416,	0.622172,	0.339367,	0,	0.50905,	0.848416,	1.3009,	0,	0.282805,	3.90271,	0.113122,	0.565611,	0.282805,	0.395928,	0.0565611,	0.113122,	0.791855,	0.678733,	0.339367,	1.69683,	1.07466,	0.226244,	0.50905,	2.14932,	1.13122,	0.791855,	0.791855,	0.282805,	0.0565611,	1.07466,	0.169683,	0.339367,	0.904977,	0,	0.169683,	2.94118,	0.622172,	0,	0.226244,	0.622172,	1.75339,	0.452489,	0,	0.113122,	0,	0.565611,	1.86652,	0.50905,	3.28054,	0.622172,	0.339367,	0.791855,	0.395928,	0.735294,	1.97964,	0.395928,	0.169683,	1.47059,	0.395928,	0.452489,	0.395928,	0.622172,	3.16742,	0.226244,	0.848416,	0,	0.678733,	0.113122,	0.113122,	0.282805,	0.678733,	0.282805,	3.95928,	0,	2.0362,	0.113122,	0.791855,	2.0362,	0.622172,	0.113122,	0.113122,	0,	0.226244,	0,	0.50905,	0.50905,	
HCF,	0.561482,	19.6519,	1.06682,	4.43571,	0.617631,	1.01067,	0.0561482,	2.02134,	1.516,	0.168445,	0.505334,	0.393038,	0.95452,	2.13363,	0.729927,	0.842224,	0.224593,	0.168445,	0.336889,	0.561482,	1.90904,	0,	0.168445,	4.49186,	0,	0.449186,	0.224593,	0.168445,	0.0561482,	0.112296,	0.561482,	0.95452,	0.393038,	1.12296,	1.23526,	0.280741,	0.505334,	2.47052,	0.842224,	0.449186,	0.786075,	0.336889,	0.112296,	1.12296,	0.112296,	0.168445,	0.95452,	0,	0.224593,	2.69512,	1.01067,	0,	0.112296,	0.729927,	1.17911,	0.673779,	0,	0.393038,	0,	1.01067,	2.52667,	0.449186,	6.23245,	1.12296,	0.95452,	0.898372,	0.393038,	0.393038,	1.516,	0,	0.168445,	1.12296,	0.617631,	0.505334,	0.449186,	0.617631,	3.48119,	0.393038,	1.01067,	0.0561482,	0.898372,	0,	0.0561482,	0.224593,	0.168445,	0.336889,	3.1443,	0,	1.29141,	0.0561482,	0.898372,	1.7406,	0.449186,	0.168445,	0,	0,	0.112296,	0,	1.23526,	0.336889,	
HCM,	0.783436,	17.9631,	0.615557,	3.41354,	1.23111,	0.895355,	0.167879,	2.46223,	1.79071,	0.167879,	0.167879,	0.391718,	0.895355,	2.51819,	0.503637,	0.727476,	0.503637,	0,	0.335758,	0.447678,	1.90263,	0,	0.447678,	5.48405,	0,	0.559597,	0.223839,	0.167879,	0.0559597,	0.279799,	0.951315,	0.559597,	0.223839,	0.671516,	1.39899,	0.559597,	0.559597,	1.67879,	0.839396,	0.615557,	0.727476,	0.111919,	0.335758,	1.06323,	0.279799,	0.335758,	1.00727,	0,	0.167879,	3.02182,	0.671516,	0,	0.167879,	0.615557,	1.84667,	0.615557,	0.0559597,	0.111919,	0,	1.06323,	2.63011,	0.447678,	6.43537,	0.447678,	0.727476,	0.783436,	0.615557,	0.839396,	1.45495,	0.111919,	0,	1.56687,	0.615557,	0.335758,	0.111919,	0.447678,	3.58142,	0.167879,	1.17515,	0,	0.559597,	0.0559597,	0.0559597,	0.223839,	0.559597,	0.559597,	3.86122,	0,	1.39899,	0.111919,	0.671516,	1.79071,	0.223839,	0.167879,	0,	0,	0.223839,	0.0559597,	1.17515,	0.447678,	
