cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0,	39.5869,	3.44234,	2.58176,	1.54905,	0.172117,	0.516351,	0,	0,	0,	0,	0.516351,	0.688468,	0,	0.688468,	0,	0.344234,	1.54905,	0.860585,	0.344234,	0.344234,	0.688468,	0.516351,	1.89329,	1.89329,	0.344234,	0.172117,	1.0327,	0.172117,	0.344234,	0,	0.688468,	0.860585,	0,	0.344234,	0,	0,	0.172117,	1.20482,	0.172117,	1.72117,	0,	0,	0.688468,	0,	0.172117,	1.0327,	0.688468,	0.516351,	0.516351,	0.172117,	0.344234,	0.344234,	0.860585,	6.88468,	1.20482,	0.172117,	0.172117,	0.344234,	0,	0.516351,	0.172117,	0.172117,	0,	0,	0.344234,	0,	0.344234,	0.172117,	1.37694,	0,	1.0327,	0.172117,	0.860585,	2.92599,	0.516351,	1.54905,	0,	0.860585,	1.20482,	0.860585,	0.344234,	0.344234,	0.344234,	1.89329,	0,	0.516351,	0.172117,	0,	0.344234,	0,	0,	0.860585,	1.20482,	0.344234,	0,	0.172117,	0,	0.688468,	0.172117,	
AoAF,	0.511945,	41.4676,	2.38908,	4.60751,	1.70648,	0,	0.341297,	0,	0,	0,	0,	0.682594,	0.170648,	0,	0.853242,	0,	1.02389,	0.853242,	0.682594,	0.511945,	0.170648,	0.341297,	1.02389,	0.682594,	1.70648,	0.682594,	0.170648,	0.853242,	0,	0.170648,	0,	0.341297,	0.853242,	0.341297,	0,	0,	0.170648,	0.170648,	1.02389,	0.170648,	1.53584,	0.341297,	0.170648,	0.511945,	0.170648,	0.170648,	0.682594,	0.853242,	0.170648,	0.682594,	0.170648,	0.170648,	0.170648,	1.53584,	6.99659,	1.19454,	0,	0,	0.341297,	0,	0.853242,	0.170648,	0,	0,	0,	0.341297,	0,	0.341297,	0.170648,	0.682594,	0.170648,	0.170648,	0,	0.170648,	3.41297,	0.170648,	1.02389,	0,	1.19454,	1.19454,	0.682594,	0.341297,	0,	0.170648,	2.55973,	0.341297,	0.511945,	0,	0,	0.170648,	0,	0,	2.21843,	0.853242,	0,	0.170648,	0.170648,	0,	0.682594,	0.511945,	
CD20+,	0.869565,	37.0435,	4,	2.43478,	1.21739,	0.347826,	0.347826,	0,	0.347826,	0,	0,	0.869565,	0.173913,	0,	1.21739,	0.347826,	1.56522,	1.3913,	0.521739,	0.521739,	0.521739,	0.695652,	0.521739,	0.695652,	2.26087,	0.695652,	0,	1.56522,	0.521739,	0.347826,	0,	0.695652,	0.869565,	1.04348,	0.347826,	0,	0,	0.521739,	1.04348,	0.347826,	1.56522,	0.695652,	0,	0.347826,	0,	0.521739,	0.695652,	1.21739,	0.347826,	1.04348,	0.347826,	0,	0.695652,	1.04348,	7.47826,	0.695652,	0.173913,	0.347826,	0.347826,	0,	0.173913,	0.521739,	0,	0.347826,	0,	0,	0,	0.173913,	0.173913,	0.869565,	0.173913,	0.695652,	0,	0,	2.26087,	0,	0.695652,	0.173913,	0.695652,	1.04348,	0.521739,	0.173913,	0.347826,	0.173913,	2.08696,	0.173913,	0.173913,	0,	0,	0,	0,	0,	1.21739,	1.91304,	0,	0,	0,	0.173913,	1.04348,	0.521739,	
GM06990,	0.718133,	31.2388,	1.0772,	7.5404,	1.43627,	0.359066,	0,	4.8474,	0,	0.179533,	0.5386,	0.179533,	1.0772,	0.718133,	1.6158,	0.5386,	0.5386,	0.179533,	0.359066,	0.359066,	2.87253,	0,	0.179533,	1.97487,	0.179533,	0,	0.359066,	0,	0,	0.179533,	1.25673,	0.718133,	0.5386,	0.179533,	1.79533,	0.5386,	0.5386,	3.2316,	0.179533,	0.5386,	0.718133,	0.179533,	0,	2.33393,	0.179533,	0.179533,	0,	0,	0.5386,	2.1544,	0.718133,	0,	0.179533,	0.5386,	1.97487,	1.43627,	0,	0.5386,	0.179533,	0.5386,	0.897666,	0.5386,	2.1544,	0.359066,	0.179533,	0.359066,	0.359066,	0.179533,	2.51346,	0,	0,	0.359066,	0.179533,	0.179533,	0.179533,	0.359066,	1.79533,	0.359066,	0.5386,	0,	0.179533,	0.179533,	0,	0.179533,	0.718133,	0.359066,	3.05206,	0.179533,	1.25673,	0.179533,	0,	0.179533,	0.179533,	0,	0,	0.179533,	0,	0,	0.179533,	0.359066,	
GM12865,	0.17331,	29.8094,	3.4662,	3.29289,	1.38648,	0,	0.519931,	0.17331,	0.34662,	0.34662,	0.17331,	0.34662,	0,	0,	0.693241,	0.519931,	0.693241,	2.42634,	0.866551,	0.866551,	0.34662,	0.866551,	0.693241,	1.38648,	2.77296,	0.34662,	0.34662,	1.38648,	0.17331,	0.34662,	0,	1.03986,	0.519931,	0.34662,	0.34662,	0,	0,	0.34662,	1.7331,	0,	2.25303,	1.03986,	0,	0.866551,	0,	0.34662,	2.42634,	0.693241,	0.693241,	0.34662,	0.17331,	0,	0.17331,	1.7331,	7.79896,	0.866551,	0.34662,	0.17331,	0.519931,	0,	0.866551,	0.17331,	0,	0,	0.17331,	0.34662,	0,	0.17331,	0,	0.866551,	0.17331,	0.519931,	0.17331,	0,	2.25303,	0.17331,	1.21317,	0.17331,	1.38648,	1.03986,	0.34662,	0.17331,	0.34662,	0,	2.25303,	0.34662,	0.866551,	0.34662,	0,	0,	0,	0,	2.25303,	2.25303,	0.34662,	0,	0.17331,	0,	0.693241,	0.34662,	
H7-hESC,	0.172117,	19.4492,	4.99139,	5.50775,	0.860585,	0,	0.860585,	0.344234,	0.344234,	0.344234,	0,	0.688468,	0.688468,	0,	0.860585,	0,	2.40964,	0.344234,	0.688468,	1.0327,	0.516351,	0.860585,	2.40964,	2.23752,	2.23752,	0.688468,	0.172117,	1.72117,	0.344234,	0,	0,	1.0327,	1.0327,	0,	0.344234,	0.344234,	0.172117,	0,	0.344234,	0.172117,	2.23752,	0.688468,	0,	0.344234,	0,	0.344234,	1.0327,	0.516351,	0.344234,	1.54905,	0.172117,	0,	0.344234,	1.37694,	6.71256,	1.20482,	0.344234,	0.172117,	0.344234,	0.344234,	0.860585,	0.344234,	0.344234,	0.172117,	0.344234,	0.860585,	0,	0.860585,	0,	0.688468,	0.172117,	0.344234,	0.516351,	0.344234,	2.92599,	0.344234,	2.0654,	0.344234,	1.37694,	0.516351,	1.54905,	1.72117,	0.516351,	0.344234,	2.75387,	0.172117,	0.516351,	0,	0.172117,	0.344234,	0,	0,	1.89329,	2.23752,	0,	0,	0.172117,	0,	0.860585,	1.0327,	
HA-h,	0.169205,	38.2403,	2.87648,	3.5533,	1.18443,	0,	0.169205,	0,	0.846024,	0,	0,	0.507614,	0.169205,	0,	0.507614,	0,	1.18443,	1.86125,	0.507614,	1.01523,	0.676819,	0.169205,	0,	0.507614,	3.21489,	0.507614,	0.338409,	0.846024,	0.338409,	0.507614,	0,	0.169205,	0.169205,	0.338409,	0,	0,	0.169205,	0.338409,	1.18443,	0.169205,	1.52284,	0,	0,	0.676819,	0,	0.169205,	1.01523,	0.676819,	0.338409,	1.52284,	0,	0.507614,	0.676819,	1.69205,	9.13706,	1.01523,	0.169205,	0.338409,	0.338409,	0.169205,	0.338409,	0,	0.169205,	0,	0,	0,	0,	0.169205,	0,	0.338409,	0,	0.338409,	0,	0.169205,	1.52284,	0.507614,	0.676819,	0.169205,	1.01523,	1.01523,	0.676819,	0.676819,	0.338409,	0.169205,	3.21489,	0.507614,	1.01523,	0,	0,	0,	0,	0,	1.69205,	1.35364,	0.338409,	0,	0.338409,	0,	0.338409,	0.507614,	
HAEpiC,	0.347826,	34.4348,	2.6087,	4.86957,	1.21739,	0,	0,	0.173913,	0.173913,	0.173913,	0,	0.695652,	0,	0,	0.521739,	0.347826,	0.695652,	1.3913,	0.869565,	0.521739,	0,	1.04348,	1.3913,	0.869565,	1.56522,	0.695652,	0.347826,	0.695652,	0.347826,	0,	0.173913,	1.04348,	0.521739,	0.173913,	0.347826,	0.347826,	0,	0.347826,	1.21739,	0.173913,	1.21739,	0.869565,	0,	0.521739,	0,	0.173913,	1.3913,	0.347826,	0.347826,	1.91304,	0,	0.173913,	0.521739,	1.21739,	8.17391,	0.869565,	0.173913,	0.173913,	0.347826,	0.173913,	0.695652,	0.521739,	0,	0.173913,	0,	0.347826,	0,	0.173913,	0.173913,	0.521739,	0,	0.521739,	0.173913,	0.173913,	2.43478,	0,	1.56522,	0.347826,	0.521739,	1.3913,	0.173913,	1.56522,	0.521739,	0.173913,	2.6087,	0.173913,	0.695652,	0,	0,	0,	0,	0,	1.91304,	1.73913,	0.173913,	0,	0.521739,	0,	0.521739,	0.521739,	
HCF,	0.342466,	32.8767,	2.56849,	3.93836,	1.5411,	0,	0.342466,	0,	0.171233,	0,	0.171233,	1.0274,	0.342466,	0,	1.0274,	0,	1.19863,	1.88356,	1.0274,	0.856164,	0.171233,	0.684932,	0.856164,	0.856164,	2.73973,	0,	0.171233,	1.5411,	0.171233,	0.513699,	0,	0.684932,	1.0274,	0.171233,	0.342466,	0,	0.171233,	0.171233,	0.856164,	0,	2.56849,	0.513699,	0,	0.171233,	0,	0.171233,	0.856164,	0.856164,	0,	0.513699,	0.171233,	0,	0.171233,	1.5411,	6.84932,	0.856164,	0.342466,	0,	0,	0.171233,	0.171233,	0.171233,	0.342466,	0.171233,	0.171233,	0.513699,	0,	0.171233,	0,	0.342466,	0.342466,	0.513699,	0.171233,	0,	3.59589,	0.342466,	3.25342,	0.171233,	0.856164,	1.0274,	0.342466,	0.684932,	0.342466,	0.856164,	2.56849,	0.684932,	0.513699,	0.171233,	0,	0.513699,	0,	0.171233,	0.856164,	1.36986,	0,	0.171233,	0.171233,	0.171233,	0.856164,	1.0274,	
HCM,	0.516351,	36.3167,	3.09811,	4.47504,	1.54905,	0,	0.172117,	0.172117,	0.344234,	0.172117,	0,	0.860585,	0,	0.172117,	0.688468,	0,	0.172117,	1.72117,	0.688468,	0.516351,	0.344234,	0.516351,	0.516351,	0.344234,	3.44234,	0.344234,	0.344234,	0.688468,	0,	0,	0,	0.688468,	0,	0,	0.172117,	0,	0,	0,	1.20482,	0,	2.23752,	0.688468,	0,	0.688468,	0,	0.172117,	1.37694,	0.860585,	0.172117,	1.20482,	0.172117,	0.172117,	0.344234,	1.89329,	8.60585,	1.54905,	0,	0.516351,	0,	0,	0,	0.172117,	0,	0.344234,	0,	0,	0,	0.172117,	0,	0.688468,	0.172117,	0.860585,	0,	0,	2.0654,	0.516351,	0.172117,	0,	0.688468,	1.54905,	0.344234,	0.344234,	0.860585,	0,	2.0654,	0.344234,	1.72117,	0,	0,	0.172117,	0,	0,	2.40964,	1.72117,	0,	0.172117,	0,	0,	0.860585,	0.688468,	
