cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	1.08562,	15.0758,	4.322,	1.96641,	1.94592,	0.83982,	0.245801,	0.757886,	0.512085,	0.471118,	0.184351,	1.37239,	2.47849,	1.12659,	0.634986,	0.573535,	0.368701,	0.102417,	0.0819336,	0.532569,	0.430152,	0.0204834,	1.24949,	0.245801,	0.83982,	0.245801,	0.368701,	0.716919,	0.266284,	0.430152,	0.102417,	1.43384,	2.17124,	1.45432,	0.0819336,	1.82302,	0.245801,	0.860303,	3.74846,	2.15076,	0.0614502,	0.0819336,	0.0409668,	0.0409668,	0.0204834,	0.327735,	0.0204834,	0.0819336,	0.553052,	0.0614502,	0.0614502,	0.184351,	0.0409668,	2.25318,	0.942237,	0.716919,	0,	0.409668,	1.59771,	0.675952,	1.53626,	0.90127,	1.06514,	0.96272,	1.08562,	1.43384,	0.0409668,	1.02417,	2.82671,	2.08931,	0.471118,	1.33142,	0.307251,	0.245801,	0.594019,	0.143384,	8.21385,	0,	2.58091,	0.0614502,	0.778369,	1.04465,	0.532569,	0.634986,	0.675952,	0.286768,	0.757886,	0.0409668,	0.286768,	0.0204834,	0.0614502,	0.163867,	0.0409668,	0.696436,	0.0204834,	0.348218,	1.12659,	0.0204834,	1.57722,	2.23269,	
AoAF,	1.12012,	12.0703,	4.96331,	1.79606,	1.81537,	0.714562,	0.251062,	1.06219,	0.405562,	0.579374,	0.309,	1.58362,	2.52993,	0.849749,	0.540749,	0.309,	0.328312,	0.212437,	0.23175,	0.714562,	0.251062,	0,	1.68019,	0.38625,	0.830436,	0.212437,	0.328312,	0.560062,	0.289687,	0.38625,	0.0772499,	1.44844,	1.73812,	1.66087,	0.173812,	1.89262,	0.289687,	0.617999,	4.34531,	2.43337,	0.0579374,	0.0772499,	0.0579374,	0.0772499,	0.0386249,	0.193125,	0.0193125,	0.0386249,	0.579374,	0.0772499,	0.0579374,	0.193125,	0,	2.29818,	1.10081,	0.714562,	0,	0.366937,	2.24025,	0.791811,	1.6995,	0.656624,	1.0815,	0.888374,	0.695249,	0.984936,	0.0772499,	0.965624,	2.64581,	2.43337,	0.521437,	1.06219,	0.463499,	0.251062,	0.579374,	0.270375,	9.63692,	0,	2.02781,	0.1545,	0.830436,	1.12012,	0.656624,	0.984936,	0.579374,	0.347625,	0.695249,	0,	0.328312,	0.0579374,	0.0193125,	0.173812,	0.115875,	0.579374,	0.0193125,	0.405562,	1.02356,	0.0193125,	1.89262,	2.08575,	
CD20+,	0.576231,	24.898,	3.98559,	0.960384,	2.35294,	0.432173,	0.0960384,	0.240096,	0.216086,	0.288115,	0.168067,	2.44898,	3.55342,	0.648259,	0.216086,	0.864346,	0.336134,	0.192077,	0.216086,	0.480192,	0.384154,	0.0480192,	0.912365,	0.552221,	0.288115,	0.0720288,	0.264106,	0.360144,	0.312125,	0.216086,	0.0720288,	1.15246,	1.63265,	2.37695,	0.264106,	0.840336,	0.288115,	1.56062,	1.77671,	2.68908,	0.0240096,	0.0960384,	0.0480192,	0.0720288,	0.0240096,	0.168067,	0.0480192,	0.0720288,	1.0084,	0.0480192,	0.0240096,	0.120048,	0.0960384,	1.94478,	0.240096,	0.432173,	0,	0.264106,	0.672269,	0.480192,	0.864346,	0.696279,	0.62425,	0.648259,	0.288115,	0.744298,	0.0240096,	1.29652,	3.48139,	1.12845,	0.312125,	2.01681,	0.144058,	0.192077,	0.768307,	0.168067,	8.88355,	0.0240096,	2.44898,	0.120048,	0.528211,	0.60024,	0.216086,	0.240096,	0.408163,	0.720288,	0.672269,	0.0480192,	0.288115,	0.0480192,	0.0240096,	0.192077,	0.120048,	0.792317,	0,	0.0720288,	0.384154,	0,	1.41657,	3.2413,	
GM06990,	0.517632,	28.9227,	2.29699,	0.744096,	2.4264,	0.226464,	0.194112,	0.129408,	0.097056,	0.032352,	0.194112,	2.78227,	3.84989,	0.064704,	0.291168,	1.6176,	0.32352,	0,	1.26173,	1.74701,	0.582336,	0.32352,	0.032352,	4.72339,	0.032352,	0.194112,	0.16176,	0.549984,	0.097056,	0.32352,	0.452928,	0.258816,	0.355872,	1.09997,	2.32934,	0.032352,	0.258816,	6.04982,	0.064704,	2.03818,	0.420576,	0.452928,	0.064704,	0.420576,	0.032352,	0.032352,	0.16176,	0.194112,	1.22938,	0.582336,	0.16176,	0.129408,	0.614688,	1.6823,	0.420576,	0.679392,	0.16176,	0.291168,	0,	0.938208,	0.064704,	0.776448,	0.258816,	1.42349,	0.032352,	0.097056,	0.032352,	1.19702,	1.16467,	0,	0.16176,	2.52346,	0.032352,	0.517632,	4.23811,	0.258816,	1.13232,	0.194112,	1.87642,	0.064704,	0.097056,	0.097056,	0,	0.291168,	0.129408,	0.679392,	0.679392,	0.097056,	0.32352,	0.258816,	0.032352,	0.032352,	2.71757,	0.420576,	0.129408,	0.032352,	0.032352,	0.097056,	0.097056,	1.35878,	
GM12865,	0.680735,	22.9408,	3.76673,	1.52031,	2.33719,	0.635353,	0.113456,	0.58997,	0.181529,	0.294985,	0.158838,	1.92875,	3.086,	0.816882,	0.181529,	0.658044,	0.340368,	0.113456,	0.158838,	0.612662,	0.249603,	0.0453823,	0.862265,	0.635353,	0.408441,	0.113456,	0.249603,	0.567279,	0.499206,	0.272294,	0.0907647,	1.31609,	1.52031,	2.42796,	0.294985,	1.15725,	0.453823,	1.06649,	2.13297,	2.92716,	0.0453823,	0.0680735,	0.0907647,	0.0680735,	0.0226912,	0.181529,	0.0453823,	0.0453823,	1.0211,	0.0680735,	0.0226912,	0,	0.0226912,	1.83799,	0.499206,	0.658044,	0,	0.136147,	0.7715,	0.97572,	1.2934,	0.726117,	0.794191,	0.862265,	0.567279,	0.907647,	0.0680735,	1.543,	3.22215,	0.97572,	0.408441,	2.33719,	0.249603,	0.158838,	1.06649,	0.136147,	7.51078,	0.0226912,	2.72294,	0.158838,	0.294985,	0.953029,	0.226912,	0.226912,	0.476515,	0.612662,	0.658044,	0,	0.272294,	0.0680735,	0.0226912,	0.249603,	0.0453823,	0.521897,	0,	0.136147,	0.680735,	0.0680735,	1.20263,	2.5641,	
H7-hESC,	1.39605,	17.9983,	4.48883,	1.73969,	1.99742,	0.902062,	0.128866,	0.751718,	0.429553,	0.322165,	0.171821,	1.67526,	3.43643,	0.902062,	0.408076,	0.322165,	0.343643,	0.0214777,	0.064433,	0.515464,	0.236254,	0.0429553,	1.09536,	0.236254,	0.601375,	0.150344,	0.343643,	0.451031,	0.429553,	0.515464,	0.0859107,	1.26718,	1.71821,	1.91151,	0.150344,	1.46048,	0.36512,	0.859107,	2.44845,	3.37199,	0.0214777,	0.064433,	0.0859107,	0.0429553,	0.0429553,	0.236254,	0.0214777,	0.0214777,	0.859107,	0.064433,	0.064433,	0.0859107,	0.0429553,	1.80412,	0.536942,	0.493986,	0.0214777,	0.27921,	1.26718,	0.665808,	1.91151,	0.687285,	0.751718,	0.945017,	0.343643,	0.816151,	0.0859107,	1.13832,	3.47938,	1.58935,	0.386598,	1.61082,	0.150344,	0.257732,	0.794674,	0.0429553,	9.38574,	0,	2.66323,	0.171821,	0.536942,	1.22423,	0.322165,	0.300687,	0.64433,	0.408076,	0.515464,	0.0429553,	0.386598,	0.064433,	0.0429553,	0.150344,	0.0859107,	0.558419,	0,	0.214777,	1.05241,	0.0429553,	1.41753,	2.29811,	
HA-h,	0.881057,	11.2814,	5.36296,	2.01111,	2.10688,	0.957671,	0.153227,	0.919364,	0.325608,	0.440529,	0.306455,	1.80042,	2.73894,	0.957671,	0.478835,	0.421375,	0.517142,	0.210688,	0.191534,	0.72783,	0.536296,	0.0957671,	1.18751,	0.287301,	0.67037,	0.248994,	0.306455,	0.612909,	0.363915,	0.383068,	0.172381,	1.45566,	2.60486,	1.70465,	0.114921,	1.81957,	0.229841,	0.881057,	3.3327,	1.80042,	0.0957671,	0.210688,	0.153227,	0.134074,	0.0191534,	0.402222,	0.153227,	0.0957671,	0.536296,	0.114921,	0.0766137,	0.153227,	0.0766137,	2.68148,	0.84275,	0.823597,	0.0191534,	0.536296,	1.28328,	0.84275,	1.24497,	0.84275,	1.05344,	1.22582,	0.957671,	1.30243,	0.0766137,	0.976824,	2.66233,	2.60486,	0.478835,	1.05344,	0.421375,	0.325608,	0.632063,	0.478835,	7.79544,	0.0191534,	1.49397,	0.210688,	0.574603,	1.16836,	0.517142,	0.612909,	0.72783,	0.363915,	0.861904,	0.0383068,	0.440529,	0.0766137,	0.0574603,	0.517142,	0.0957671,	0.766137,	0,	0.210688,	1.18751,	0.134074,	2.27926,	2.66233,	
HAEpiC,	1.64339,	12.9622,	4.74528,	1.97206,	1.88989,	0.924404,	0.143796,	0.821693,	0.431389,	0.493016,	0.123254,	1.25308,	2.87592,	0.657354,	0.554643,	0.328677,	0.328677,	0.164339,	0.246508,	0.636812,	0.390304,	0.102712,	1.58176,	0.369762,	0.410846,	0.164339,	0.225965,	0.575185,	0.410846,	0.410846,	0.0821693,	1.47905,	2.23911,	1.52013,	0.123254,	1.93098,	0.246508,	0.739523,	4.53985,	3.16352,	0.061627,	0.102712,	0.0410846,	0.061627,	0.0205423,	0.26705,	0,	0.0410846,	0.718981,	0.0821693,	0.0410846,	0.123254,	0.102712,	1.62284,	0.739523,	0.821693,	0,	0.349219,	2.11586,	0.862777,	1.54067,	0.472473,	1.10929,	0.965489,	0.657354,	1.04766,	0.061627,	0.842235,	3.47165,	2.46508,	0.554643,	1.12983,	0.184881,	0.246508,	0.513558,	0.164339,	9.30567,	0.0410846,	1.91044,	0.123254,	0.410846,	0.821693,	0.636812,	0.760066,	0.451931,	0.246508,	0.698439,	0.0410846,	0.308135,	0.0410846,	0.0410846,	0.246508,	0.184881,	0.677896,	0,	0.493016,	1.08874,	0.0205423,	1.88989,	2.05423,	
HCF,	0.940311,	14.35,	4.25184,	1.71709,	1.96239,	1.12428,	0.306623,	0.981194,	0.429272,	0.470155,	0.122649,	1.77841,	2.53475,	1.14473,	0.654129,	0.408831,	0.26574,	0.143091,	0.286182,	0.449714,	0.245298,	0.0408831,	1.24693,	0.204415,	0.654129,	0.183974,	0.347506,	0.53148,	0.367948,	0.674571,	0.163532,	1.59444,	2.33034,	1.65576,	0.0817661,	1.73753,	0.286182,	0.695012,	3.55683,	2.04415,	0.0408831,	0.163532,	0.0817661,	0.102208,	0,	0.408831,	0.0613246,	0.122649,	0.592805,	0.0408831,	0.0408831,	0.0204415,	0.0613246,	2.6574,	0.715454,	0.735895,	0.0204415,	0.286182,	1.65576,	0.838103,	1.69665,	0.715454,	1.10384,	0.919869,	0.838103,	1.51267,	0.0613246,	0.940311,	2.59608,	2.12592,	0.470155,	1.53312,	0.388389,	0.26574,	0.470155,	0.122649,	8.11529,	0.0204415,	2.80049,	0.163532,	0.79722,	1.04252,	0.388389,	0.674571,	0.79722,	0.26574,	0.878986,	0.0613246,	0.183974,	0.0408831,	0.0408831,	0.245298,	0.122649,	0.613246,	0,	0.327065,	1.0834,	0,	1.59444,	2.37122,	
HCM,	1.09436,	14.5158,	4.25356,	2.5604,	1.879,	0.846583,	0.144539,	1.01177,	0.412967,	0.433616,	0.206484,	1.50733,	2.66364,	1.05307,	0.536857,	0.433616,	0.433616,	0.12389,	0.185835,	0.454264,	0.474912,	0.0206484,	1.40409,	0.206484,	0.640099,	0.144539,	0.268429,	0.495561,	0.454264,	0.578154,	0.185835,	1.71381,	2.06484,	1.61057,	0.0412967,	2.02354,	0.185835,	0.784638,	4.12967,	2.72558,	0.0619451,	0.0825934,	0.0825934,	0.0206484,	0.0619451,	0.206484,	0.0619451,	0.0619451,	0.702044,	0.0619451,	0.103242,	0.24778,	0.0619451,	2.25067,	0.825934,	0.598802,	0.0412967,	0.268429,	1.75511,	0.722693,	1.42474,	0.536857,	1.2802,	0.991121,	0.619451,	1.01177,	0.0206484,	0.949825,	3.03531,	2.20937,	0.557506,	1.46603,	0.309725,	0.144539,	0.743341,	0.206484,	7.92897,	0.0412967,	1.85835,	0.330374,	0.557506,	1.03242,	0.433616,	0.825934,	0.763989,	0.289077,	0.598802,	0,	0.268429,	0.0619451,	0.0619451,	0.351022,	0.0412967,	0.702044,	0.0206484,	0.268429,	0.970473,	0.0619451,	1.71381,	2.12678,	
