cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.245376,	20.0642,	2.17063,	0.792752,	2.43488,	0.434126,	0.924877,	0.490751,	0.132125,	0.396376,	0.132125,	1.34013,	2.85013,	0.151,	0.547376,	1.2835,	0.169875,	0.811627,	0.924877,	0.622877,	0.377501,	0.717252,	1.30238,	1.51,	0.811627,	0.0377501,	0.396376,	1.22688,	0.415251,	0.11325,	0.264251,	0.717252,	0.717252,	0.509626,	0.698377,	0.509626,	0.755002,	1.71763,	1.11363,	2.15176,	0.585126,	1.64213,	0.11325,	0.396376,	0,	0.132125,	0.283126,	0.264251,	0.849377,	0.207626,	0.339751,	0.0566251,	0.622877,	1.01925,	1.45338,	1.30238,	0.509626,	0.358626,	0.207626,	0.339751,	0.377501,	0.622877,	0.207626,	0.396376,	0.0943752,	0.169875,	0.0377501,	1.057,	1.54775,	0.377501,	0.302001,	2.64251,	0.0377501,	0.151,	10.4379,	0.18875,	3.96376,	0.11325,	2.52926,	0.169875,	0.226501,	0.358626,	0,	0.245376,	0.207626,	0.943752,	0.471876,	0.0377501,	0.0943752,	0.245376,	0,	0.0755002,	0.773877,	3.60513,	0.0566251,	0.132125,	0.339751,	0.547376,	0.566251,	1.98188,	
AoAF,	0.402123,	15.0877,	2.3484,	1.14203,	2.21972,	0.530803,	1.12594,	0.611227,	0.176934,	0.450378,	0.273444,	1.3833,	2.15538,	0.0643397,	0.643397,	0.755992,	0.225189,	0.884671,	1.04552,	0.514718,	0.434293,	0.611227,	1.19028,	1.47981,	1.25462,	0.0643397,	0.241274,	1.44764,	0.514718,	0.176934,	0.128679,	0.466463,	0.868586,	0.562972,	0.691652,	0.611227,	0.707737,	1.43156,	1.07769,	2.79878,	0.965096,	1.8176,	0.0965096,	0.530803,	0.0321699,	0.0804246,	0.353868,	0.482548,	0.852501,	0.305614,	0.450378,	0.0804246,	0.804246,	1.09378,	2.28406,	1.705,	0.659482,	0.337784,	0.176934,	0.225189,	0.546888,	0.675567,	0.321699,	0.369953,	0,	0.209104,	0.0321699,	1.28679,	1.15811,	0.402123,	0.257359,	2.10713,	0.0321699,	0.289529,	10.9056,	0.273444,	3.04005,	0.321699,	2.36448,	0.128679,	0.305614,	0.418208,	0.0482548,	0.144764,	0.176934,	0.965096,	0.498633,	0.144764,	0.160849,	0.225189,	0.0482548,	0.0965096,	0.852501,	5.59756,	0.0482548,	0.112595,	0.369953,	0.755992,	0.643397,	1.52807,	
CD20+,	0.376364,	22.5442,	2.31464,	0.790365,	2.691,	0.357546,	0.564546,	0.31991,	0.207,	0.188182,	0.225819,	1.76891,	3.6131,	0.0940911,	0.395183,	1.59955,	0.376364,	0.52691,	0.508092,	0.414001,	0.376364,	0.395183,	0.658638,	1.58073,	0.677456,	0,	0.188182,	0.997365,	0.564546,	0.188182,	0.150546,	0.301091,	0.583365,	0.940911,	0.639819,	0.338728,	0.677456,	2.10764,	0.583365,	2.31464,	0.301091,	1.242,	0.131728,	0.376364,	0.0376364,	0.0752729,	0.112909,	0.31991,	1.41137,	0.131728,	0.263455,	0.0940911,	0.470455,	1.18555,	1.26082,	1.18555,	0.263455,	0.31991,	0.207,	0.150546,	0.451637,	0.73391,	0.338728,	0.564546,	0.0564547,	0.188182,	0,	1.26082,	1.58073,	0.301091,	0.263455,	3.1991,	0.0188182,	0.169364,	8.6752,	0.131728,	4.38464,	0.131728,	3.34964,	0.150546,	0.338728,	0.395183,	0.0564547,	0.0940911,	0.244637,	1.35491,	0.639819,	0.0752729,	0.0752729,	0.207,	0.0376364,	0.0376364,	0.865638,	2.46519,	0.150546,	0.0188182,	0.225819,	0.414001,	0.677456,	1.99473,	
GM06990,	0.579053,	25.8056,	1.61128,	0.629406,	2.26586,	0.906344,	0.276939,	0.377643,	0.302115,	0.0251762,	0.125881,	2.76939,	3.95267,	1.13293,	0.251762,	1.18328,	0.276939,	0.0503525,	0.276939,	0.352467,	0.302115,	0.553877,	0.40282,	2.19033,	0.151057,	0.377643,	0.151057,	0.176234,	0.302115,	0.40282,	0.226586,	1.5861,	0.276939,	3.17221,	0.503525,	0.881168,	0.553877,	3.75126,	0.176234,	2.39174,	0.125881,	0.40282,	0.151057,	0.0755287,	0.0755287,	0.100705,	0.251762,	0.100705,	4.0282,	0.352467,	0.151057,	0.100705,	0.0755287,	1.38469,	0.125881,	0.453172,	0.0755287,	0.226586,	0.125881,	1.43505,	0.276939,	0.427996,	0.302115,	0.855992,	0.125881,	0.453172,	0.0251762,	0.80564,	6.64653,	0.0503525,	0.20141,	2.03927,	0.176234,	0.579053,	1.53575,	0.20141,	2.89527,	0.0251762,	3.32326,	0.0755287,	0.40282,	0.453172,	0.0755287,	0.0755287,	0.377643,	0.629406,	1.73716,	0,	0.478348,	0.125881,	0.100705,	0.0503525,	0.327291,	0.151057,	0.0503525,	0,	0.327291,	0.0251762,	0.276939,	1.81269,	
GM12865,	0.318077,	22.0004,	2.12052,	0.759852,	2.77434,	0.477116,	0.742181,	0.282735,	0.123697,	0.212052,	0.123697,	1.43135,	3.44584,	0.0530129,	0.5478,	1.11327,	0.17671,	0.459445,	0.671497,	0.353419,	0.353419,	0.777523,	1.0956,	1.53737,	0.72451,	0.0353419,	0.17671,	0.971903,	0.424103,	0.17671,	0.141368,	0.441774,	0.653826,	0.971903,	0.795193,	0.477116,	0.565471,	1.66107,	0.777523,	2.42092,	0.583142,	1.18395,	0.0530129,	0.388761,	0.0530129,	0.106026,	0.229723,	0.247394,	1.25464,	0.17671,	0.159039,	0.0530129,	0.759852,	1.2193,	1.37834,	1.60806,	0.353419,	0.229723,	0.0883548,	0.388761,	0.424103,	0.406432,	0.229723,	0.459445,	0.0530129,	0.17671,	0.0353419,	1.37834,	1.60806,	0.194381,	0.424103,	2.8627,	0.017671,	0.300406,	10.1785,	0.0353419,	3.7109,	0.123697,	3.07475,	0.0883548,	0.37109,	0.459445,	0.017671,	0.123697,	0.159039,	1.11327,	0.742181,	0.159039,	0.194381,	0.0883548,	0.0353419,	0.159039,	0.618484,	2.89804,	0.0530129,	0.0353419,	0.17671,	0.212052,	0.653826,	2.0675,	
H7-hESC,	0.430036,	13.8439,	2.87794,	0.942772,	2.696,	0.645055,	0.826993,	0.413497,	0.264638,	0.314257,	0.215018,	1.45551,	2.46444,	0.0496196,	0.893152,	0.479656,	0.446576,	1.60437,	1.32319,	0.760834,	0.231558,	0.595435,	1.25703,	1.24049,	1.12471,	0.0330797,	0.380417,	1.65399,	0.496196,	0.148859,	0.0992392,	0.479656,	0.595435,	0.496196,	1.00893,	0.694674,	0.529276,	1.76977,	1.29011,	2.41482,	0.727754,	1.29011,	0.115779,	0.926232,	0.0165399,	0.181938,	0.430036,	0.595435,	0.826993,	0.231558,	0.463116,	0.0992392,	0.843533,	1.22395,	2.79524,	2.3652,	0.479656,	0.248098,	0.231558,	0.446576,	0.347337,	1.30665,	0.330797,	0.545815,	0.0661594,	0.215018,	0.165399,	1.50513,	0.992392,	0.430036,	0.198478,	2.10056,	0.0496196,	0.115779,	8.66689,	0.264638,	2.8614,	0.496196,	1.98478,	0.363877,	0.380417,	0.545815,	0.0661594,	0.181938,	0.281178,	0.893152,	0.545815,	0.181938,	0.165399,	0.148859,	0.0330797,	0.132319,	1.40589,	4.6477,	0.0661594,	0.0165399,	0.198478,	0.529276,	0.793913,	1.75323,	
HA-h,	0.839006,	12.8384,	2.23207,	1.53554,	2.15292,	0.5224,	0.791515,	0.379927,	0.379927,	0.443248,	0.490739,	1.36141,	2.32705,	0.158303,	0.918157,	1.07646,	0.379927,	0.918157,	0.870666,	0.411588,	0.427418,	0.585721,	1.26642,	1.45639,	1.44056,	0.0474909,	0.411588,	1.37724,	0.839006,	0.284945,	0.189964,	0.364097,	0.965648,	0.53823,	0.617382,	0.490739,	0.839006,	1.66218,	1.01314,	2.54868,	0.933988,	1.99462,	0.174133,	0.633212,	0.0791515,	0.253285,	0.379927,	0.664873,	1.2031,	0.332436,	0.5224,	0.158303,	0.759854,	1.36141,	1.97879,	1.55137,	0.633212,	0.712363,	0.395757,	0.490739,	0.569891,	1.0448,	0.379927,	0.680703,	0.0949818,	0.364097,	0.0791515,	1.28225,	1.09229,	0.55406,	0.50657,	2.15292,	0.0474909,	0.269115,	7.29777,	0.316606,	3.1344,	0.490739,	2.39038,	0.300776,	0.617382,	0.490739,	0.0474909,	0.269115,	0.379927,	1.18727,	0.775685,	0.253285,	0.174133,	0.269115,	0.0474909,	0.379927,	1.06063,	3.53016,	0.0791515,	0.205794,	0.443248,	0.775685,	0.886497,	1.47222,	
HAEpiC,	0.185968,	14.3026,	2.13018,	1.03128,	2.62046,	0.490279,	0.879121,	0.557904,	0.185968,	0.57481,	0.405748,	1.26796,	2.33305,	0.0507185,	0.896027,	0.676247,	0.21978,	1.50465,	1.3694,	0.896027,	0.422654,	0.608622,	1.60609,	1.25106,	1.0989,	0.0169062,	0.185968,	1.67371,	0.473373,	0.185968,	0.270499,	0.43956,	0.608622,	0.405748,	0.879121,	0.608622,	0.304311,	1.52156,	1.28487,	2.23161,	0.79459,	1.13271,	0.0507185,	0.929839,	0,	0.0169062,	0.422654,	0.760778,	0.659341,	0.253593,	0.540997,	0.169062,	1.06509,	0.980558,	2.34996,	2.28233,	0.540997,	0.338123,	0.118343,	0.321217,	0.270499,	0.726965,	0.287405,	0.540997,	0.0507185,	0.152156,	0.0169062,	1.33559,	1.3694,	0.405748,	0.202874,	2.72189,	0.0338123,	0.169062,	10.6847,	0.422654,	3.11074,	0.270499,	2.01183,	0.338123,	0.371936,	0.371936,	0.0676247,	0.236686,	0.253593,	0.642434,	0.321217,	0.21978,	0.0169062,	0.101437,	0.101437,	0.152156,	0.980558,	5.4776,	0.0845309,	0.0338123,	0.253593,	0.456467,	0.659341,	1.69062,	
HCF,	0.237369,	15.412,	2.17023,	0.932519,	2.42455,	0.389963,	0.915565,	0.576467,	0.288233,	0.491692,	0.135639,	1.45812,	2.23805,	0.0339098,	0.576467,	0.949474,	0.322143,	1.06816,	0.949474,	0.508647,	0.525602,	0.762971,	1.55985,	1.00034,	1.03425,	0.0339098,	0.356053,	1.62767,	0.542557,	0.169549,	0.373008,	0.440827,	0.779925,	0.678196,	0.712106,	0.474737,	0.695151,	1.64463,	1.15293,	2.15327,	0.915565,	1.9159,	0.0678196,	0.576467,	0.0169549,	0.203459,	0.220414,	0.423873,	1.10207,	0.237369,	0.525602,	0.0847745,	0.932519,	1.0512,	2.20414,	1.67854,	0.457782,	0.373008,	0.186504,	0.406918,	0.525602,	0.83079,	0.322143,	0.339098,	0.0508647,	0.288233,	0.0847745,	1.33944,	1.35639,	0.288233,	0.271278,	2.37369,	0.0339098,	0.220414,	9.86775,	0.135639,	3.13666,	0.254323,	2.37369,	0.203459,	0.305188,	0.627331,	0.0508647,	0.237369,	0.271278,	0.932519,	0.610376,	0.152594,	0.0678196,	0.152594,	0.0339098,	0.135639,	1.13598,	4.69651,	0.0339098,	0.0508647,	0.440827,	0.542557,	0.779925,	2.0685,	
HCM,	0.411734,	14.8568,	1.85281,	1.02934,	1.99005,	0.514668,	1.11511,	0.548979,	0.188712,	0.343112,	0.291645,	1.44107,	2.19592,	0.102934,	0.566135,	0.960714,	0.291645,	1.02934,	0.892091,	0.651913,	0.480357,	0.754846,	1.26951,	1.14943,	1.32098,	0.0686224,	0.257334,	1.73272,	0.480357,	0.1544,	0.188712,	0.42889,	0.634757,	0.58329,	0.806313,	0.669068,	0.463201,	1.44107,	1.09796,	2.45325,	0.823469,	1.76703,	0.102934,	0.480357,	0.0343112,	0.120089,	0.325956,	0.720535,	0.754846,	0.360268,	0.343112,	0.0686224,	0.995025,	0.960714,	2.52187,	2.33316,	0.566135,	0.42889,	0.171556,	0.343112,	0.58329,	0.686224,	0.291645,	0.531824,	0.0514668,	0.188712,	0.137245,	1.33814,	1.16658,	0.343112,	0.205867,	2.05867,	0,	0.1544,	10.1733,	0.257334,	3.27672,	0.411734,	2.07583,	0.377423,	0.394579,	0.42889,	0,	0.223023,	0.240178,	0.823469,	0.360268,	0.188712,	0.0514668,	0.137245,	0.0514668,	0.085778,	0.960714,	5.97015,	0.085778,	0.1544,	0.463201,	0.58329,	0.789158,	1.76703,	
