cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.229358,	31.1468,	1.78899,	5.18349,	0.963303,	0.550459,	0.229358,	0.963303,	0.0458716,	0.550459,	0.733945,	0.366972,	1.74312,	0.458716,	1.92661,	0.321101,	1.78899,	0.0458716,	0.137615,	0.504587,	1.14679,	0.137615,	0.275229,	1.51376,	0.0917431,	0.137615,	0.321101,	0.321101,	0.0458716,	0.642202,	0.229358,	0.504587,	0.366972,	2.75229,	0.504587,	0.183486,	0.275229,	1.42202,	1.33028,	1.19266,	0.87156,	0.0917431,	0,	1.65138,	0.0917431,	0.137615,	0.0458716,	0.0458716,	0.275229,	0.733945,	0.0458716,	0.0917431,	0.779817,	0.825688,	2.20183,	0.779817,	0.183486,	0.0917431,	0.412844,	0.550459,	1.51376,	0.779817,	1.37615,	0.137615,	0.0458716,	1.23853,	0.137615,	1.78899,	1.00917,	0.183486,	0.366972,	1.2844,	0.0917431,	0.688073,	0.87156,	0.229358,	1.92661,	0,	1.33028,	0.412844,	1.33028,	0.458716,	0.137615,	0.779817,	3.02752,	0.229358,	1.55963,	0.0458716,	1.69725,	0.229358,	0,	0.412844,	0.366972,	0.0917431,	0.0458716,	0.321101,	0.458716,	0.137615,	0.0917431,	0.183486,	
AoAF,	0.179372,	33.3184,	2.46637,	5.33632,	0.941704,	0.403587,	0.358744,	1.30045,	0.179372,	0.493274,	0.627803,	0.762332,	1.92825,	0.717489,	1.52466,	0.807175,	2.287,	0.044843,	0.0896861,	0.493274,	0.58296,	0,	0.134529,	0.986547,	0.044843,	0.448431,	0.269058,	0.269058,	0.179372,	0.58296,	0.493274,	0.313901,	0.134529,	2.64574,	0.941704,	0,	0.493274,	0.58296,	1.52466,	1.39013,	1.16592,	0.134529,	0,	1.79372,	0.0896861,	0.269058,	0,	0,	0.224215,	0.717489,	0,	0.224215,	0.672646,	1.39013,	1.56951,	0.852018,	0.0896861,	0.358744,	0.448431,	0.313901,	1.07623,	1.03139,	0.717489,	0.269058,	0.044843,	0.403587,	0.179372,	1.83857,	0.538117,	0.044843,	0.313901,	0.807175,	0.134529,	0.717489,	1.30045,	0.134529,	1.65919,	0.044843,	1.25561,	0.179372,	1.03139,	0.358744,	0.044843,	0.58296,	3.45291,	0.269058,	1.34529,	0.044843,	1.25561,	0.358744,	0.044843,	0.179372,	0.269058,	0.0896861,	0.0896861,	0.403587,	0.493274,	0.179372,	0.134529,	0.0896861,	
CD20+,	0.480769,	26.6827,	1.5625,	2.64423,	1.5625,	0.661058,	0.180288,	0.721154,	0,	0.120192,	0.360577,	1.14183,	3.66587,	0.540865,	0.721154,	0.721154,	0.540865,	0,	0.480769,	1.14183,	0.480769,	0,	0.120192,	2.64423,	0.180288,	0.120192,	0.300481,	0.300481,	0.240385,	0.78125,	0.360577,	0.540865,	0.420673,	3.66587,	1.20192,	0.240385,	0.540865,	3.24519,	0.661058,	3.125,	0.180288,	0.240385,	0,	0.360577,	0,	0.300481,	0.0600962,	0.0600962,	1.08173,	0.661058,	0,	0.0600962,	0.120192,	1.02163,	0.420673,	0.240385,	0.0600962,	0.360577,	0.300481,	0.120192,	1.44231,	1.02163,	0.540865,	0.540865,	0.0600962,	1.14183,	0.0600962,	2.10337,	2.46394,	0.120192,	0.0600962,	2.64423,	0,	0.961538,	2.22356,	0,	4.56731,	0,	3.78606,	0.0600962,	0.360577,	0.540865,	0,	0.0600962,	0.661058,	0.480769,	0.480769,	0,	1.32212,	0.120192,	0,	0.120192,	0.78125,	0.300481,	0.240385,	0.300481,	0.240385,	0.0600962,	0.300481,	1.08173,	
GM06990,	0.319234,	30.4868,	1.59617,	0.718276,	2.47406,	0.239425,	0.239425,	0,	0.239425,	0,	0.0798085,	2.47406,	2.8731,	0.239425,	0.0798085,	2.71349,	0.0798085,	0,	0.718276,	0.478851,	0.558659,	0.319234,	0.877893,	3.27215,	0,	0.0798085,	0.399042,	0.558659,	0.478851,	0,	0.159617,	0.877893,	0.957702,	1.11732,	1.35674,	0.319234,	0.558659,	5.74621,	0.478851,	1.03751,	0.239425,	0.957702,	0.159617,	0.239425,	0,	0.0798085,	0.159617,	0.159617,	1.9154,	0.478851,	0,	0,	0,	1.11732,	0.558659,	0.399042,	0.0798085,	0.399042,	0,	0.957702,	0.558659,	0,	0.159617,	0.638468,	0.0798085,	0.0798085,	0,	0.558659,	3.751,	0.0798085,	0.159617,	1.35674,	0.0798085,	0.558659,	3.27215,	0.239425,	5.02793,	0,	2.8731,	0.159617,	0.239425,	0,	0.0798085,	0.0798085,	0.0798085,	0.957702,	0.957702,	0.0798085,	0.0798085,	0.319234,	0,	0,	0.638468,	0.558659,	0,	0.0798085,	0.0798085,	0.0798085,	0.957702,	1.99521,	
GM12865,	0.276855,	25.4153,	1.7165,	1.7165,	1.60576,	0.719823,	0.498339,	0.830565,	0.110742,	0.332226,	0.498339,	1.05205,	3.54374,	0.387597,	0.332226,	0.885936,	0.498339,	0.055371,	0.110742,	1.3289,	0.332226,	0.055371,	0.166113,	3.21152,	0.055371,	0.166113,	0.332226,	0.55371,	0.332226,	0.996678,	0.276855,	0.387597,	0.221484,	5.09413,	1.3289,	0.387597,	0.332226,	2.38095,	0.609081,	3.433,	0.276855,	0.221484,	0,	0.55371,	0.110742,	0.221484,	0,	0,	1.05205,	0.332226,	0.055371,	0.221484,	0.387597,	0.941307,	0.442968,	0.442968,	0,	0.276855,	0.276855,	0.442968,	1.88261,	0.885936,	0.498339,	0.221484,	0.110742,	1.10742,	0.110742,	2.49169,	1.49502,	0.387597,	0.332226,	2.99003,	0.387597,	0.941307,	2.15947,	0,	3.87597,	0.110742,	2.87929,	0.055371,	0.55371,	0.830565,	0.055371,	0.276855,	0.664452,	0.719823,	0.941307,	0,	0.775194,	0.166113,	0.055371,	0.276855,	0.719823,	0.332226,	0.166113,	0.221484,	0.276855,	0.055371,	0.387597,	0.775194,	
H7-hESC,	0.552792,	22.6645,	2.21117,	2.70868,	1.38198,	0.552792,	0.276396,	0.497512,	0.165837,	0.331675,	0.497512,	1.49254,	4.14594,	0.608071,	0.718629,	0.884467,	1.10558,	0,	0.0552792,	1.43726,	0.66335,	0,	0.497512,	2.377,	0.165837,	0.0552792,	0.165837,	0.497512,	0.331675,	1.0503,	0.331675,	0.386954,	0.386954,	4.20122,	1.43726,	0.386954,	0.608071,	1.3267,	0.773908,	2.54284,	0.165837,	0.386954,	0,	0.939746,	0.0552792,	0.386954,	0,	0,	1.27142,	0.552792,	0,	0.110558,	0.442233,	0.66335,	0.66335,	0.331675,	0.276396,	0.0552792,	0.66335,	0.110558,	1.6031,	0.497512,	0.718629,	0.331675,	0,	1.49254,	0.165837,	2.43228,	1.16086,	0.276396,	0.497512,	2.87452,	0.165837,	0.829187,	2.87452,	0.110558,	3.37203,	0,	3.09563,	0,	0.608071,	1.0503,	0.110558,	0.497512,	0.995025,	0.442233,	0.276396,	0,	0.884467,	0.165837,	0.0552792,	0.165837,	1.43726,	0.386954,	0.0552792,	0.497512,	0.442233,	0.276396,	0.221117,	1.38198,	
HA-h,	0.64905,	18.7761,	2.36439,	4.77515,	0.880853,	0.602689,	0.324525,	1.71535,	0.231803,	0.64905,	0.741771,	0.417246,	2.36439,	0.880853,	1.11266,	0.602689,	1.15902,	0.0463607,	0.185443,	0.69541,	0.788132,	0.231803,	0.463607,	2.13259,	0.0927214,	0.324525,	0.463607,	0.417246,	0.139082,	0.64905,	0.370885,	0.880853,	0.741771,	3.33797,	2.03987,	0.463607,	0.463607,	2.27167,	1.2981,	1.85443,	0.880853,	0.139082,	0,	1.34446,	0.139082,	0.324525,	0.185443,	0,	0.463607,	0.788132,	0.0463607,	0.231803,	0.788132,	1.20538,	1.39082,	0.834492,	0,	0.324525,	0.602689,	0.509968,	1.76171,	1.15902,	1.34446,	0.278164,	0.0463607,	1.11266,	0.370885,	1.62262,	1.25174,	0.231803,	0.278164,	1.71535,	0.231803,	1.01994,	2.45712,	0.231803,	3.24525,	0.0463607,	2.50348,	0.0927214,	0.834492,	0.324525,	0.185443,	0.463607,	1.15902,	0.417246,	0.973574,	0,	1.43718,	0.139082,	0.0927214,	0.64905,	1.01994,	0.324525,	0.139082,	0.509968,	0.602689,	0,	0.278164,	0.64905,	
HAEpiC,	0.0455789,	59.0246,	1.36737,	4.14768,	0.638104,	0.0455789,	0.0455789,	0.455789,	0,	0,	0.227894,	0.227894,	1.04831,	0.136737,	1.41294,	0.182315,	1.5041,	0.0455789,	0.0455789,	0.0455789,	0.546946,	0.0455789,	0.0911577,	0.911577,	0.0455789,	0.0911577,	0.638104,	0,	0.0455789,	0.546946,	0.182315,	0.136737,	0.182315,	1.54968,	0.638104,	0,	0.0455789,	0.501367,	0.683683,	0.638104,	1.04831,	0.0911577,	0,	1.13947,	0,	0,	0,	0,	0.182315,	0.455789,	0.136737,	0,	0.319052,	0.546946,	1.54968,	0.592525,	0.0455789,	0.0455789,	0.0911577,	0.227894,	0.455789,	0.364631,	0.592525,	0,	0,	0.865998,	0,	1.18505,	0.319052,	0,	0.319052,	0.865998,	0.0455789,	0.136737,	0.820419,	0.0455789,	1.32179,	0,	0.911577,	0.0911577,	0.957156,	0.136737,	0.0911577,	0.364631,	2.64357,	0,	1.13947,	0,	0.501367,	0.273473,	0,	0.0911577,	0.273473,	0,	0,	0.0911577,	0.227894,	0,	0.0455789,	0.182315,	
HCF,	0.137994,	22.9531,	1.70193,	6.94572,	0.551978,	0.735971,	0.367985,	1.19595,	0.0919963,	0.459982,	1.47194,	0.689972,	1.88592,	0.551978,	0.919963,	0.597976,	1.65593,	0,	0.137994,	1.14995,	0.919963,	0.137994,	0.275989,	1.65593,	0.137994,	0.137994,	0.275989,	0.229991,	0.183993,	1.01196,	0.689972,	0.229991,	0.183993,	2.4839,	1.14995,	0.0459982,	0.321987,	0.551978,	1.74793,	1.93192,	1.14995,	0.183993,	0,	1.93192,	0.0919963,	0.459982,	0,	0,	0.597976,	0.551978,	0.137994,	0.137994,	1.14995,	0.643974,	2.25391,	0.873965,	0.137994,	0.0919963,	0.459982,	0.459982,	1.70193,	1.01196,	1.56394,	0.229991,	0.0919963,	1.79393,	0.183993,	1.60994,	0.597976,	0.229991,	0.597976,	1.05796,	0.229991,	1.05796,	1.14995,	0.0459982,	2.6219,	0,	1.24195,	0.229991,	1.33395,	0.643974,	0.275989,	0.689972,	2.94388,	0.229991,	1.51794,	0,	2.20791,	0.367985,	0.0459982,	0.551978,	0.183993,	0.183993,	0.0919963,	0.597976,	0.597976,	0.137994,	0.0459982,	0.275989,	
HCM,	0.0925497,	48.7274,	1.34197,	5.73808,	0.601573,	0.185099,	0.0925497,	0.647848,	0.0462749,	0.277649,	0.370199,	0.370199,	0.971772,	0.555298,	1.2957,	0.138825,	1.89727,	0.0462749,	0.0462749,	0.786673,	1.38825,	0.0462749,	0.185099,	0.879223,	0,	0.0925497,	0.323924,	0.0462749,	0.0462749,	0.277649,	0.185099,	0.462749,	0.0925497,	2.03609,	0.509024,	0.0462749,	0.185099,	0.555298,	1.06432,	0.879223,	0.832948,	0.0925497,	0,	1.43452,	0.138825,	0.185099,	0.0462749,	0.0462749,	0.138825,	0.555298,	0.0462749,	0.0462749,	0.509024,	0.832948,	1.4808,	0.740398,	0,	0.0462749,	0.277649,	0.277649,	0.647848,	0.601573,	0.462749,	0.138825,	0,	1.15687,	0.185099,	1.71217,	0.555298,	0.0925497,	0.462749,	1.2957,	0.138825,	0.138825,	0.601573,	0.231374,	1.1106,	0.0462749,	0.601573,	0.0925497,	1.1106,	0.138825,	0.0462749,	0.277649,	2.77649,	0.0925497,	1.61962,	0,	0.971772,	0.138825,	0.0462749,	0.185099,	0.277649,	0.138825,	0,	0.231374,	0.231374,	0.0462749,	0.0925497,	0.0462749,	
