cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.374732,	17.1039,	2.64989,	2.75696,	1.63276,	0.374732,	0.588865,	0.722698,	0.615632,	0.321199,	0.133833,	1.33833,	1.55246,	0.107066,	0.615632,	0.776231,	0.401499,	0.428266,	0.588865,	1.606,	0.883298,	0.722698,	1.49893,	4.38972,	0.615632,	0.214133,	0.1606,	0.588865,	0.267666,	0.107066,	0.187366,	1.0439,	0.936831,	0.374732,	2.24839,	0.294433,	0.1606,	2.67666,	0.936831,	0.883298,	0.936831,	1.2045,	0,	0.347966,	0,	0.0802998,	0.481799,	0.642398,	0.963597,	0.856531,	0.214133,	0.187366,	0.829764,	1.92719,	2.62313,	0.963597,	0.347966,	0.214133,	0.214133,	1.09743,	0.321199,	0.214133,	0.535332,	0.588865,	0.214133,	0.133833,	0,	0.936831,	1.1242,	0.1606,	0.240899,	1.47216,	0.294433,	0.910064,	6.71842,	0.267666,	3.93469,	0.107066,	1.3651,	0.455032,	0.669165,	0.347966,	0.1606,	0.615632,	0.615632,	0.455032,	0.883298,	0.0802998,	0.107066,	0.374732,	0.0535332,	0.214133,	1.63276,	2.86403,	0.0802998,	0.0267666,	0.187366,	0.0535332,	1.23126,	1.33833,	
AoAF,	0.435116,	15.0243,	3.73688,	3.35296,	1.35654,	0.230356,	0.588687,	0.742257,	0.358331,	0.511902,	0.307141,	1.25416,	1.66368,	0.10238,	0.895828,	0.537497,	0.639877,	0.307141,	0.691067,	1.81725,	0.742257,	0.486307,	1.15178,	3.71129,	0.793448,	0.127975,	0.127975,	0.742257,	0.230356,	0.127975,	0.204761,	0.742257,	0.819043,	0.511902,	2.73867,	0.281546,	0.255951,	2.68748,	1.07499,	0.767853,	0.870233,	1.07499,	0.153571,	0.332736,	0.0255951,	0.230356,	0.435116,	0.537497,	0.767853,	0.998208,	0.383926,	0.0511902,	0.665472,	2.14999,	3.17379,	0.921423,	0.435116,	0.255951,	0.204761,	1.0494,	0.460712,	0.435116,	0.563092,	0.691067,	0.179166,	0.127975,	0.0255951,	1.27975,	1.22856,	0.10238,	0.230356,	1.30535,	0.127975,	0.742257,	6.55234,	0.435116,	3.60891,	0.127975,	1.43332,	0.460712,	0.665472,	0.435116,	0.281546,	0.511902,	0.537497,	0.537497,	1.38213,	0.153571,	0.153571,	0.281546,	0.0255951,	0.10238,	1.61249,	2.73867,	0.0511902,	0.0767853,	0.332736,	0.10238,	1.45892,	0.844638,	
CD20+,	0.477251,	26.0897,	3.14986,	0.890869,	2.38626,	0.1909,	0.413618,	0.1909,	0.509068,	0.0636335,	0.222717,	1.7181,	2.67261,	0.254534,	0.222717,	1.68629,	0.222717,	0.254534,	0.349984,	0.795418,	0.604518,	0.509068,	0.827235,	3.27712,	0.349984,	0.0954502,	0.0954502,	0.795418,	0.286351,	0.254534,	0.159084,	0.827235,	0.954502,	1.49539,	1.30449,	0.318167,	0.254534,	2.83169,	0.413618,	1.59084,	0.413618,	0.604518,	0.1909,	0.1909,	0,	0.0954502,	0.1909,	0.286351,	1.97264,	0.540884,	0.127267,	0.0954502,	0.445434,	2.00445,	0.699968,	0.509068,	0.127267,	0.254534,	0.0636335,	0.699968,	0.286351,	0.1909,	0.1909,	0.540884,	0.0636335,	0.286351,	0,	0.954502,	1.62265,	0.222717,	0.349984,	2.38626,	0.0636335,	0.604518,	5.72701,	0.0954502,	4.32708,	0.1909,	2.79987,	0.0954502,	0.318167,	0.222717,	0.0636335,	0.254534,	0.254534,	0.827235,	0.890869,	0,	0.159084,	0.159084,	0.0636335,	0.0954502,	0.763602,	1.84537,	0.0318167,	0,	0.159084,	0.0636335,	0.795418,	2.51352,	
GM06990,	0.267857,	29.6875,	0.982143,	1.29464,	2.90179,	0.446429,	0.178571,	0.357143,	0.0446429,	0.178571,	0.0446429,	1.25,	6.96429,	0.401786,	0.446429,	1.38393,	0.267857,	0,	0.133929,	0.223214,	0.267857,	0.0446429,	0.535714,	1.74107,	0.0446429,	0.0892857,	0.133929,	0.267857,	0.401786,	0.580357,	0.178571,	0.669643,	0.758929,	2.8125,	0.491071,	0.714286,	0.491071,	2.90179,	0.401786,	3.16964,	0.0446429,	0.133929,	0.0446429,	0.0892857,	0.0446429,	0.0446429,	0.133929,	0,	2.14286,	0.223214,	0.0892857,	0,	0.133929,	1.16071,	0.491071,	0.223214,	0.0892857,	0.178571,	0.0892857,	0.491071,	0.580357,	0.9375,	0.3125,	0.625,	0.0892857,	0.357143,	0.133929,	1.16071,	4.24107,	0.178571,	0.223214,	2.00893,	0,	0.223214,	1.74107,	0.0892857,	5.9375,	0.0892857,	4.375,	0.0446429,	0.491071,	0.267857,	0.0892857,	0.223214,	0.625,	0.401786,	1.29464,	0,	0.178571,	0.0446429,	0.0446429,	0.223214,	0.535714,	0.401786,	0.0446429,	0,	0.0892857,	0.0446429,	0.625,	1.02679,	
GM12865,	0.296472,	23.2731,	3.1426,	1.24518,	1.77883,	0.20753,	0.592944,	0.237178,	0.296472,	0.0592944,	0.0889416,	1.83813,	2.6979,	0.237178,	0.355766,	1.18589,	0.237178,	0.296472,	0.800474,	1.45271,	0.385414,	0.652238,	0.74118,	4.29884,	0.444708,	0.0592944,	0.148236,	0.859769,	0.266825,	0.20753,	0.118589,	0.563297,	0.830122,	0.74118,	2.37178,	0.20753,	0.385414,	3.2019,	0.652238,	1.27483,	0.385414,	1.03765,	0,	0.20753,	0.0296472,	0.0296472,	0.237178,	0.385414,	1.6306,	0.563297,	0.20753,	0.0889416,	0.237178,	1.0673,	1.008,	0.770827,	0.177883,	0.177883,	0.0592944,	0.622591,	0.326119,	0.20753,	0.20753,	0.592944,	0.148236,	0.20753,	0,	0.859769,	1.74918,	0.0592944,	0.385414,	1.80848,	0.0592944,	0.830122,	6.72991,	0.118589,	4.68426,	0.118589,	2.54966,	0.118589,	0.504002,	0.504002,	0.0296472,	0.0889416,	0.118589,	0.681886,	1.15624,	0.0296472,	0.296472,	0.148236,	0,	0.148236,	1.5713,	1.92707,	0.0889416,	0.0889416,	0.118589,	0.148236,	0.859769,	2.0753,	
H7-hESC,	0.37037,	20.6268,	3.67521,	1.62393,	1.59544,	0.17094,	0.48433,	0.2849,	0.31339,	0.17094,	0.0854701,	1.93732,	2.33618,	0.14245,	0.2849,	0.797721,	0.19943,	0.22792,	0.683761,	1.50997,	0.39886,	0.512821,	1.02564,	3.90313,	0.34188,	0.0569801,	0.19943,	0.683761,	0.17094,	0.0569801,	0.0569801,	0.42735,	0.940171,	0.854701,	2.42165,	0.2849,	0.25641,	3.73219,	0.883191,	1.02564,	0.42735,	0.911681,	0,	0.17094,	0.02849,	0.17094,	0.2849,	0.39886,	1.05413,	0.740741,	0.0854701,	0.02849,	0.48433,	2.10826,	1.19658,	0.626781,	0.31339,	0.22792,	0.02849,	0.940171,	0.48433,	0.19943,	0.626781,	0.854701,	0.22792,	0.2849,	0.02849,	0.968661,	1.65242,	0.2849,	0.17094,	1.7094,	0.0854701,	0.740741,	6.69516,	0.19943,	5.75499,	0.14245,	1.7094,	0.0854701,	0.31339,	0.19943,	0.0854701,	0.19943,	0.2849,	0.541311,	0.826211,	0.0854701,	0.14245,	0.0854701,	0.02849,	0.19943,	1.65242,	2.53561,	0.0569801,	0.02849,	0.25641,	0.0854701,	1.4245,	2.07977,	
HA-h,	0.456853,	14.1371,	4.28934,	2.15736,	2.08122,	0.456853,	0.685279,	0.786802,	0.634518,	0.380711,	0.380711,	1.34518,	2.08122,	0.152284,	0.812183,	0.939086,	0.507614,	0.482234,	0.532995,	0.989848,	0.913706,	0.583756,	0.989848,	2.63959,	0.812183,	0.203046,	0.532995,	0.964467,	0.532995,	0.279188,	0.126904,	1.11675,	1.11675,	0.583756,	1.47208,	0.35533,	0.456853,	2.74112,	1.19289,	0.71066,	0.862944,	1.09137,	0.177665,	0.329949,	0.0761421,	0.279188,	0.456853,	0.583756,	1.4467,	0.812183,	0.583756,	0.152284,	0.913706,	1.90355,	1.77665,	0.862944,	0.482234,	0.558376,	0.152284,	1.37056,	0.558376,	0.406091,	0.634518,	0.583756,	0.329949,	0.177665,	0.0507614,	1.09137,	1.01523,	0.228426,	0.35533,	1.49746,	0.203046,	0.406091,	4.74619,	0.406091,	3.6802,	0.35533,	2.18274,	0.253807,	0.609137,	0.659898,	0.126904,	0.380711,	0.634518,	0.736041,	1.19289,	0.279188,	0.329949,	0.203046,	0.0507614,	0.203046,	1.90355,	2.91878,	0.101523,	0,	0.228426,	0.152284,	1.29442,	1.34518,	
HAEpiC,	0.21322,	21.7751,	3.22495,	4.02452,	1.17271,	0.239872,	0.399787,	0.666311,	0.266525,	0.346482,	0.266525,	1.51919,	1.49254,	0.133262,	0.666311,	0.666311,	0.346482,	0.399787,	0.613006,	0.986141,	0.986141,	0.453092,	1.14606,	3.758,	0.426439,	0.239872,	0.186567,	0.399787,	0.159915,	0.133262,	0.10661,	1.17271,	0.666311,	0.533049,	2.85181,	0.21322,	0.239872,	2.77185,	1.03945,	0.666311,	1.17271,	0.533049,	0.0533049,	0.533049,	0.10661,	0.0799574,	0.293177,	0.479744,	0.772921,	1.33262,	0.159915,	0.133262,	0.533049,	2.1322,	3.89126,	0.879531,	0.533049,	0.0533049,	0.0799574,	1.01279,	0.159915,	0.133262,	0.506397,	0.373134,	0.0533049,	0.133262,	0,	1.19936,	1.35928,	0.159915,	0.159915,	1.30597,	0.186567,	0.613006,	5.89019,	0.426439,	3.33156,	0.10661,	1.19936,	0.373134,	0.293177,	0.239872,	0.21322,	0.506397,	0.586354,	0.506397,	1.0661,	0.159915,	0.0799574,	0.133262,	0.0799574,	0.159915,	1.09275,	2.31876,	0.0799574,	0.0533049,	0.186567,	0.0799574,	0.906183,	1.25267,	
HCF,	0.291159,	16.4108,	3.28216,	2.32927,	1.82636,	0.185283,	0.741133,	0.423505,	0.344097,	0.317628,	0.26469,	1.58814,	1.93224,	0.105876,	0.370566,	0.688195,	0.344097,	0.635257,	0.847009,	1.77342,	0.608788,	0.55585,	1.00582,	4.42033,	0.794071,	0.211752,	0.158814,	0.661726,	0.291159,	0.0794071,	0.211752,	0.873478,	0.926416,	0.476443,	2.24987,	0.211752,	0.185283,	2.88512,	1.1117,	0.899947,	0.873478,	1.19111,	0,	0.291159,	0.026469,	0.211752,	0.370566,	0.899947,	0.952885,	0.873478,	0.317628,	0.0794071,	0.741133,	2.06458,	2.17046,	0.899947,	0.291159,	0.291159,	0.26469,	0.926416,	0.476443,	0.317628,	0.714664,	0.688195,	0.158814,	0.185283,	0.026469,	0.82054,	1.4558,	0.26469,	0.211752,	1.40286,	0.238221,	0.847009,	6.53785,	0.26469,	3.70566,	0.105876,	1.64108,	0.238221,	0.661726,	0.26469,	0.105876,	0.370566,	0.449974,	0.423505,	1.27051,	0.0529381,	0.158814,	0.344097,	0.0794071,	0.185283,	1.5352,	3.44097,	0.132345,	0.0529381,	0.158814,	0.211752,	1.34992,	1.19111,	
HCM,	0.376041,	19.5004,	3.03519,	2.73973,	1.4773,	0.1343,	0.402901,	0.376041,	0.295461,	0.483481,	0.268601,	1.28928,	1.53102,	0.10744,	0.564061,	0.590921,	0.483481,	0.617781,	0.644641,	1.53102,	0.859522,	0.295461,	1.10126,	3.65297,	0.537201,	0.18802,	0.16116,	0.886382,	0.10744,	0.10744,	0.1343,	1.12812,	1.04754,	0.698362,	2.39055,	0.322321,	0.268601,	2.65915,	0.886382,	0.886382,	1.12812,	1.23556,	0.0537201,	0.322321,	0,	0.1343,	0.295461,	0.537201,	0.671501,	1.12812,	0.295461,	0.0805802,	0.510341,	2.12194,	3.08891,	1.10126,	0.402901,	0.295461,	0.21488,	0.940102,	0.429761,	0.429761,	0.456621,	0.590921,	0.1343,	0,	0.0268601,	0.966962,	1.02068,	0.1343,	0.349181,	1.63846,	0.21488,	0.725222,	6.04351,	0.402901,	3.54553,	0.1343,	1.10126,	0.402901,	0.698362,	0.16116,	0.0805802,	0.537201,	0.805802,	0.590921,	1.77276,	0.0537201,	0.10744,	0.10744,	0.0268601,	0.1343,	1.343,	2.57857,	0.10744,	0.0537201,	0.18802,	0.0805802,	0.993822,	1.50416,	
HCPEpiC,	0.345102,	15.1049,	2.94664,	2.9201,	1.51314,	0.185824,	0.398195,	0.690204,	0.398195,	0.318556,	0.318556,	1.51314,	1.48659,	0.079639,	0.637112,	0.79639,	0.265463,	0.50438,	0.716751,	1.88479,	1.11495,	0.822936,	1.38041,	4.80488,	0.557473,	0.265463,	0.185824,	0.584019,	0.079639,	0.079639,	0.079639,	1.00876,	1.11495,	0.212371,	2.54845,	0.132732,	0.238917,	2.76082,	0.849482,	0.876029,	0.902575,	1.32732,	0.079639,	0.345102,	0,	0.265463,	0.371649,	0.929121,	1.03531,	0.902575,	0.345102,	0.185824,	0.610565,	1.61933,	2.54845,	1.19458,	0.663658,	0.29201,	0.398195,	1.35386,	0.345102,	0.371649,	0.398195,	0.398195,	0.159278,	0.185824,	0,	1.30077,	1.40696,	0.238917,	0.212371,	1.30077,	0.159278,	0.769843,	6.71622,	0.265463,	3.45102,	0.159278,	1.38041,	0.345102,	0.769843,	0.265463,	0.185824,	0.265463,	0.398195,	0.663658,	0.876029,	0.0530926,	0.159278,	0.132732,	0.079639,	0.0265463,	1.75206,	3.29174,	0.0530926,	0.106185,	0.132732,	0.132732,	1.67242,	1.32732,	
HEEpiC,	0.36392,	19.5217,	3.27528,	2.91136,	1.74162,	0.233949,	0.571874,	0.571874,	0.285937,	0.207954,	0.233949,	1.61165,	2.02755,	0.0779828,	0.36392,	0.805823,	0.389914,	0.259943,	0.883806,	1.63764,	0.961788,	0.597869,	0.831817,	4.13309,	0.441903,	0.259943,	0.337926,	0.54588,	0.18196,	0.155966,	0.103977,	1.19574,	1.01378,	0.571874,	2.00156,	0.129971,	0.233949,	2.39147,	0.883806,	1.11775,	1.01378,	0.935794,	0.0779828,	0.311931,	0.0519886,	0.155966,	0.337926,	0.493891,	0.779828,	0.857811,	0.285937,	0.18196,	0.389914,	2.44346,	2.85937,	1.09176,	0.311931,	0.233949,	0.259943,	0.72784,	0.36392,	0.285937,	0.467897,	0.597869,	0.103977,	0.129971,	0.0519886,	0.701846,	1.32571,	0.207954,	0.285937,	1.19574,	0.103977,	0.675851,	7.2524,	0.207954,	3.76917,	0.129971,	1.32571,	0.311931,	0.649857,	0.259943,	0.129971,	0.36392,	0.597869,	0.441903,	1.32571,	0.0519886,	0.155966,	0.18196,	0,	0.103977,	1.53366,	2.18352,	0.129971,	0.0259943,	0.259943,	0.0259943,	1.03977,	1.16974,	
HFF,	0.373333,	17.68,	3.28,	2.45333,	1.62667,	0.266667,	0.4,	0.773333,	0.613333,	0.32,	0.32,	1.38667,	2.16,	0.24,	0.773333,	1.01333,	0.24,	0.586667,	0.693333,	0.933333,	0.666667,	0.773333,	0.933333,	2.85333,	0.746667,	0.186667,	0.266667,	0.773333,	0.293333,	0.24,	0.293333,	1.06667,	1.30667,	0.64,	1.6,	0.24,	0.16,	2.34667,	1.09333,	1.09333,	1.01333,	1.2,	0.213333,	0.373333,	0.0266667,	0.186667,	0.586667,	0.773333,	1.06667,	0.826667,	0.426667,	0.16,	0.773333,	1.70667,	2.10667,	0.906667,	0.533333,	0.506667,	0.32,	0.96,	0.48,	0.373333,	0.373333,	0.586667,	0.32,	0.293333,	0,	1.01333,	1.17333,	0.4,	0.32,	1.49333,	0.16,	0.56,	4.8,	0.213333,	3.86667,	0.16,	2.21333,	0.4,	0.693333,	0.506667,	0.16,	0.4,	0.4,	0.72,	1.94667,	0.0533333,	0.133333,	0.24,	0.0266667,	0.106667,	1.6,	2.45333,	0.08,	0.186667,	0.213333,	0.08,	1.30667,	1.12,	
HIPEpiC,	0.438596,	17.0537,	3.12177,	3.19917,	1.62539,	0.232198,	0.696594,	0.464396,	0.412797,	0.257998,	0.180599,	1.18679,	1.93498,	0.128999,	0.567595,	0.825593,	0.309598,	0.438596,	0.748194,	1.80599,	0.928793,	0.567595,	0.928793,	4.15377,	0.567595,	0.154799,	0.309598,	1.00619,	0.180599,	0.180599,	0.180599,	1.39319,	0.773994,	0.283798,	2.21878,	0.128999,	0.309598,	2.73478,	1.21259,	0.619195,	0.851393,	0.799794,	0.0773994,	0.412797,	0,	0.257998,	0.309598,	0.541796,	0.722394,	1.00619,	0.206398,	0.0515996,	0.748194,	2.19298,	3.68937,	0.851393,	0.386997,	0.154799,	0.154799,	0.877193,	0.386997,	0.438596,	0.619195,	0.361197,	0.180599,	0.257998,	0.0257998,	1.05779,	0.877193,	0.180599,	0.335397,	1.47059,	0.180599,	0.567595,	6.75955,	0.257998,	3.50877,	0.103199,	1.44479,	0.541796,	0.567595,	0.335397,	0.180599,	0.438596,	0.438596,	0.722394,	1.10939,	0.103199,	0.0773994,	0.206398,	0,	0.128999,	1.67699,	2.81218,	0.154799,	0.0257998,	0.180599,	0.128999,	1.28999,	1.10939,	
