cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.366018,	17.0295,	1.71451,	2.50433,	1.34849,	0.7513,	0.288962,	0.635716,	0.211905,	0.924677,	0.134849,	2.23464,	1.11732,	1.21364,	0.346754,	0.385282,	0.616452,	0.173377,	0.288962,	1.9842,	0.269698,	0.32749,	1.2907,	3.10152,	0.32749,	0.847621,	0.288962,	1.15585,	0.211905,	0.943941,	0.154113,	0.385282,	0.481603,	4.66191,	2.33096,	0.269698,	0.115585,	1.07879,	1.09805,	3.06299,	0.597187,	0.42381,	0.0192641,	1.19437,	0.173377,	0.462339,	0.134849,	0.250433,	0.866885,	1.07879,	0.173377,	0.500867,	0.173377,	1.61819,	1.05953,	0.481603,	0.0192641,	0.134849,	0.134849,	0.847621,	1.61819,	0.404546,	1.19437,	0.462339,	0.115585,	1.9842,	0.0577923,	1.46407,	0.98247,	0.674244,	0.134849,	1.19437,	0.65498,	3.14005,	2.27316,	0.134849,	4.48854,	0.134849,	1.54113,	0.115585,	0.385282,	0.250433,	0.809093,	0.308226,	1.00173,	0.500867,	1.05953,	0.0192641,	1.48334,	0.154113,	0.0577923,	0.0192641,	0.481603,	1.13658,	0.231169,	0.269698,	0.443075,	0.154113,	0.539395,	0.905413,	
AoAF,	0.738739,	12.991,	2,	3.22523,	1.22523,	0.684685,	0.468468,	0.630631,	0.108108,	0.720721,	0.198198,	2.21622,	0.972973,	1.20721,	0.252252,	0.504505,	0.738739,	0.126126,	0.288288,	3.11712,	0.252252,	0.306306,	1.18919,	3.74775,	0.306306,	0.738739,	0.27027,	1.04505,	0.144144,	0.846847,	0.126126,	0.45045,	0.504505,	4.77477,	2.68468,	0.162162,	0.198198,	1.17117,	0.846847,	2.81081,	0.576577,	0.612613,	0.0540541,	1.20721,	0.036036,	0.306306,	0.18018,	0.126126,	0.900901,	0.900901,	0.126126,	0.666667,	0.216216,	1.53153,	0.936937,	0.810811,	0.036036,	0.162162,	0.0540541,	0.774775,	1.62162,	0.324324,	1.2973,	0.27027,	0.0900901,	2.86486,	0.126126,	1.4955,	0.936937,	0.864865,	0.144144,	1.36937,	0.630631,	3.74775,	2.55856,	0.018018,	4,	0.0540541,	1.17117,	0.234234,	0.27027,	0.306306,	0.936937,	0.27027,	1.15315,	0.486486,	0.918919,	0.036036,	1.6036,	0.144144,	0.126126,	0.126126,	0.594595,	1.85586,	0.252252,	0.0540541,	0.378378,	0.144144,	0.522523,	0.792793,	
CD20+,	0.351535,	27.8884,	2.01547,	0.749941,	1.7108,	0.585892,	0.281228,	0.468713,	0.140614,	0.257792,	0.140614,	2.50762,	2.0389,	0.374971,	0.187485,	0.843684,	0.328099,	0.070307,	0.187485,	1.07804,	0.210921,	0.234357,	0.421842,	2.99977,	0.187485,	0.374971,	0.117178,	0.86712,	0.281228,	0.351535,	0.140614,	0.398406,	0.445278,	5.13241,	1.12491,	0.16405,	0.281228,	2.55449,	0.515585,	2.81228,	0.234357,	0.468713,	0,	0.328099,	0.070307,	0.070307,	0.117178,	0.117178,	1.68737,	0.585892,	0.140614,	0.351535,	0.210921,	1.57019,	0.234357,	0.53902,	0,	0.16405,	0.070307,	0.585892,	0.726506,	0.304664,	0.492149,	0.515585,	0.070307,	0.984298,	0.0234357,	1.52332,	1.75768,	0.468713,	0.187485,	2.71854,	0.281228,	1.00773,	3.49191,	0,	5.50738,	0.117178,	2.53105,	0.0937427,	0.257792,	0.16405,	0.16405,	0.070307,	0.468713,	0.398406,	1.14835,	0.0468713,	0.843684,	0.117178,	0,	0.0234357,	0.562456,	0.70307,	0.0468713,	0.140614,	0.0937427,	0.070307,	0.726506,	1.78111,	
GM06990,	0.287448,	30.6611,	2.17183,	0.798467,	2.20377,	0.255509,	0.383264,	0.383264,	0.095816,	0.0638774,	0.191632,	1.62887,	2.58703,	0.223571,	0.159693,	2.17183,	0.159693,	0,	0.47908,	0.766528,	0.447141,	0.095816,	0.319387,	4.43948,	0.0638774,	0.095816,	0.191632,	0.702651,	0.255509,	0.0319387,	0.127755,	0.574896,	0.73459,	2.10795,	1.21367,	0.287448,	0.383264,	2.9703,	0.255509,	2.20377,	0.287448,	0.73459,	0.127755,	0.127755,	0.0638774,	0,	0.223571,	0.0638774,	1.34142,	0.447141,	0.095816,	0.0638774,	0.287448,	0.766528,	0.511019,	0.415203,	0.0638774,	0.415203,	0.095816,	0.223571,	0.319387,	0.47908,	0.191632,	0.415203,	0.0319387,	0.0638774,	0,	0.830406,	2.17183,	0.0638774,	0.383264,	2.52316,	0.0638774,	0.702651,	4.75886,	0.127755,	3.41744,	0,	4.72692,	0.095816,	0.383264,	0.638774,	0,	0.0638774,	0.159693,	1.18173,	0.862344,	0.0638774,	0.159693,	0.127755,	0.0319387,	0.0638774,	0.926222,	0.415203,	0.127755,	0,	0.127755,	0.0319387,	0.511019,	3.22581,	
GM12865,	0.326655,	24.7169,	1.87282,	1.15418,	1.8946,	0.783972,	0.675087,	0.348432,	0.174216,	0.348432,	0.130662,	2.24303,	1.67683,	0.783972,	0.21777,	0.718641,	0.391986,	0.021777,	0.152439,	1.41551,	0.261324,	0.304878,	0.762195,	4.0723,	0.152439,	0.391986,	0.261324,	0.762195,	0.21777,	0.65331,	0.130662,	0.43554,	0.479094,	4.96516,	1.6115,	0.108885,	0.21777,	2.06882,	0.609756,	3.3101,	0.283101,	0.500871,	0.065331,	0.370209,	0.065331,	0.195993,	0.195993,	0.021777,	1.69861,	0.544425,	0.087108,	0.326655,	0.065331,	1.52439,	0.391986,	0.43554,	0,	0.065331,	0,	0.609756,	0.892857,	0.544425,	0.587979,	0.718641,	0.087108,	1.00174,	0.043554,	1.72038,	1.67683,	0.304878,	0.108885,	2.30836,	0.391986,	1.93815,	3.027,	0.043554,	5.22648,	0.087108,	2.1777,	0.130662,	0.174216,	0.130662,	0.43554,	0.130662,	0.587979,	0.522648,	0.87108,	0.021777,	1.02352,	0.108885,	0.021777,	0.043554,	0.413763,	1.0453,	0.087108,	0.065331,	0.108885,	0.065331,	0.479094,	1.37195,	
H7-hESC,	0.622794,	18.7876,	1.66078,	1.78534,	1.41167,	0.498235,	0.311397,	0.290637,	0.166078,	0.643554,	0.0622794,	2.34586,	1.49471,	0.892672,	0.269878,	0.705833,	0.664314,	0.124559,	0.0830392,	1.99294,	0.228358,	0.456716,	0.726593,	4.81628,	0.145319,	0.581275,	0.249118,	0.871912,	0.166078,	0.705833,	0.0415196,	0.394436,	0.415196,	6.0411,	2.69878,	0.103799,	0.269878,	1.22483,	0.622794,	2.71953,	0.269878,	0.643554,	0.0415196,	0.851152,	0.0415196,	0.207598,	0.103799,	0.0830392,	1.16255,	0.705833,	0.103799,	0.249118,	0.145319,	1.03799,	0.332157,	0.622794,	0.0622794,	0.124559,	0.0830392,	0.415196,	1.47395,	0.394436,	0.622794,	0.290637,	0.0830392,	2.30434,	0.0415196,	1.66078,	1.39091,	0.290637,	0.166078,	1.88914,	0.394436,	3.17625,	3.50841,	0.0622794,	5.56363,	0.166078,	1.68154,	0.103799,	0.352917,	0.207598,	0.602034,	0.103799,	0.851152,	0.726593,	1.01723,	0,	1.12103,	0.145319,	0.0622794,	0.0415196,	0.477476,	1.10027,	0.290637,	0.103799,	0.166078,	0.0622794,	0.415196,	1.30787,	
HA-h,	0.679542,	14.181,	1.73462,	2.36052,	1.19814,	0.876252,	0.643777,	0.876252,	0.339771,	0.536481,	0.178827,	1.78827,	1.19814,	1.16237,	0.518598,	0.429185,	0.375536,	0.143062,	0.178827,	1.87768,	0.482833,	0.411302,	0.858369,	2.897,	0.339771,	0.786838,	0.447067,	1.35908,	0.447067,	0.947783,	0.429185,	0.751073,	0.679542,	3.89843,	1.8598,	0.357654,	0.160944,	1.82403,	1.14449,	1.80615,	0.572246,	0.679542,	0.107296,	0.9299,	0.143062,	0.572246,	0.286123,	0.286123,	0.822604,	1.19814,	0.160944,	0.876252,	0.250358,	1.59156,	1.12661,	0.715308,	0.0715308,	0.160944,	0.232475,	0.804721,	1.62732,	0.643777,	1.48426,	0.679542,	0.214592,	1.78827,	0.107296,	1.37697,	0.840486,	0.751073,	0.19671,	1.46638,	0.679542,	2.48569,	3.11159,	0.19671,	3.93419,	0.232475,	1.8598,	0.0357654,	0.482833,	0.393419,	0.751073,	0.26824,	1.07296,	0.214592,	1.30544,	0.107296,	1.68097,	0.125179,	0.19671,	0.0536481,	0.768956,	1.30544,	0.411302,	0.160944,	0.500715,	0.178827,	0.590129,	0.965665,	
HAEpiC,	0.617761,	15.7336,	1.89189,	3.22394,	0.907336,	0.617761,	0.444015,	0.617761,	0.173745,	0.926641,	0.15444,	2.33591,	1.08108,	0.907336,	0.366795,	0.328185,	0.694981,	0.27027,	0.0772201,	2.3166,	0.250965,	0.23166,	1.27413,	3.59073,	0.289575,	0.694981,	0.250965,	1.19691,	0.135135,	0.907336,	0.15444,	0.46332,	0.675676,	5.0193,	2.27799,	0.15444,	0.173745,	0.888031,	0.810811,	3.10811,	0.694981,	0.675676,	0.019305,	1.02317,	0.0579151,	0.19305,	0.0772201,	0.30888,	0.675676,	0.888031,	0.19305,	0.366795,	0.212355,	1.17761,	1.08108,	0.675676,	0,	0.212355,	0.0772201,	0.656371,	1.42857,	0.328185,	1.25483,	0.27027,	0.173745,	2.6834,	0.0772201,	1.42857,	0.830116,	0.521236,	0.173745,	1.25483,	0.868726,	3.61004,	2.76062,	0.0772201,	5.65637,	0.15444,	1.29344,	0.15444,	0.212355,	0.212355,	0.849421,	0.30888,	1.00386,	0.289575,	0.965251,	0.0772201,	1.40927,	0.03861,	0.03861,	0.0965251,	0.521236,	1.66023,	0.19305,	0.03861,	0.34749,	0.11583,	0.3861,	0.733591,	
HCF,	0.499808,	15.9554,	2.28758,	2.22991,	1.40331,	0.519031,	0.365244,	0.519031,	0.153787,	0.653595,	0.192234,	2.61438,	1.53787,	1.28797,	0.211457,	0.615148,	0.692042,	0.0768935,	0.11534,	1.84544,	0.249904,	0.384468,	1.11496,	3.63322,	0.211457,	0.461361,	0.192234,	1.2303,	0.269127,	1.07651,	0.153787,	0.576701,	0.422914,	5.15186,	2.28758,	0.23068,	0.288351,	1.24952,	0.961169,	3.09496,	0.519031,	0.442138,	0.0576701,	1.11496,	0.0961169,	0.422914,	0.346021,	0.192234,	0.845829,	0.711265,	0.134564,	0.538254,	0.192234,	1.59554,	0.788158,	0.692042,	0.11534,	0.0961169,	0.11534,	0.749712,	1.11496,	0.442138,	0.999616,	0.442138,	0.192234,	2.24913,	0.0384468,	1.65321,	0.980392,	0.461361,	0.17301,	1.90311,	0.672818,	2.65283,	1.99923,	0.134564,	4.57516,	0.0768935,	1.65321,	0.0576701,	0.346021,	0.519031,	0.807382,	0.249904,	0.961169,	0.595925,	1.05729,	0,	1.71088,	0.0961169,	0.0384468,	0.0768935,	0.653595,	1.53787,	0.17301,	0.11534,	0.384468,	0.11534,	0.595925,	0.711265,	
