cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0,	20.4741,	2.80172,	0.969828,	1.61638,	0.538793,	0.646552,	2.04741,	0.107759,	0.215517,	0.107759,	1.07759,	0.323276,	0.862069,	0.323276,	1.07759,	0.646552,	0.323276,	0.538793,	0.215517,	0.538793,	0.323276,	0.107759,	0.646552,	0.215517,	2.90948,	0.107759,	0.75431,	0.215517,	0.107759,	0.107759,	1.18534,	0.107759,	6.03448,	0.323276,	0.323276,	1.50862,	0.75431,	0.862069,	0.538793,	1.2931,	1.2931,	0.431034,	0.646552,	0,	0.215517,	0.646552,	0.107759,	0.646552,	0.862069,	0.215517,	0.969828,	0.215517,	1.72414,	1.18534,	1.8319,	0.107759,	0.323276,	0,	0.431034,	0.323276,	1.07759,	0,	0.107759,	0.215517,	1.8319,	0.215517,	1.50862,	0.969828,	0.323276,	0.538793,	2.15517,	0.215517,	0.431034,	5.17241,	0.431034,	0.538793,	0.107759,	3.66379,	1.18534,	2.15517,	0.323276,	0.431034,	0.215517,	1.8319,	2.26293,	1.18534,	0.431034,	1.40086,	0.538793,	0,	0.107759,	0.107759,	0,	0.431034,	0.107759,	0,	0.646552,	0,	1.07759,	
AoAF,	0,	21.2219,	3.85852,	0.643087,	1.50054,	0.214362,	0.428725,	3.00107,	0,	0.214362,	0.214362,	0.643087,	0.535906,	1.28617,	0.321543,	0.96463,	0.214362,	0.750268,	0.214362,	0.107181,	0.214362,	0.321543,	0.214362,	0.535906,	0.428725,	2.35799,	0.107181,	1.17899,	0.214362,	0.107181,	0.428725,	1.39335,	0.107181,	6.75241,	0.321543,	0.321543,	1.7149,	0.857449,	0.535906,	0.214362,	0.96463,	1.17899,	0.428725,	0.535906,	0.214362,	0.107181,	0.643087,	0.321543,	1.39335,	0.535906,	0.107181,	0.321543,	0,	1.92926,	1.17899,	0.96463,	0,	0.535906,	0,	0.214362,	0.214362,	1.50054,	0.214362,	0,	0.107181,	1.92926,	0,	0.643087,	0.750268,	0.321543,	0.643087,	1.60772,	0.107181,	0.535906,	4.50161,	1.17899,	0.214362,	0,	4.71597,	0.857449,	1.39335,	0.214362,	0,	0.428725,	2.03644,	3.21543,	1.50054,	0,	1.7149,	0.214362,	0.107181,	0,	0.214362,	0,	0.535906,	0.321543,	0.107181,	0.643087,	0,	1.07181,	
CD20+,	0.216685,	18.6349,	2.49187,	1.08342,	2.16685,	0.108342,	0.866739,	0.650054,	0.433369,	0.108342,	0.541712,	0.541712,	0.758397,	0.975081,	0.541712,	1.19177,	0.758397,	0.541712,	0.541712,	0.650054,	0.541712,	0.216685,	0.216685,	1.40845,	0.433369,	2.38353,	0.325027,	0.758397,	0.108342,	0.216685,	0.541712,	1.08342,	0,	4.65872,	0.325027,	0.758397,	1.62514,	1.84182,	0.758397,	0.866739,	1.73348,	0.758397,	0.541712,	0.325027,	0.325027,	0.108342,	0.650054,	0,	0.866739,	1.08342,	0.325027,	1.08342,	0.433369,	1.73348,	1.51679,	1.30011,	0.216685,	0.866739,	0,	0.433369,	0.433369,	1.08342,	0.541712,	0.433369,	0.216685,	0.975081,	0.650054,	1.08342,	0.975081,	0.650054,	0.541712,	1.95016,	0.866739,	0.325027,	3.5753,	1.19177,	0.650054,	0,	3.25027,	0.325027,	1.95016,	0.433369,	0.108342,	0.216685,	1.84182,	0.975081,	1.73348,	0.216685,	1.84182,	0.325027,	0,	0.108342,	0.433369,	0.433369,	0.866739,	0.325027,	0.108342,	0.541712,	0,	0.650054,	
GM06990,	0.118765,	20.3088,	1.18765,	1.30641,	0.593824,	1.18765,	0.712589,	2.019,	0.356295,	0.118765,	0.356295,	2.13777,	0.950119,	0.593824,	0.475059,	1.78147,	0.712589,	0.118765,	0.23753,	0.23753,	0.712589,	1.54394,	0.23753,	0.23753,	0.118765,	0.593824,	0.593824,	0,	0,	0,	1.18765,	2.3753,	0.118765,	1.18765,	0.356295,	0.356295,	3.08789,	1.30641,	0.23753,	1.18765,	1.18765,	2.25653,	0.118765,	0.831354,	0.118765,	0.475059,	0.118765,	0.23753,	1.42518,	0.475059,	0.356295,	0.23753,	0.593824,	2.49406,	1.06888,	0.712589,	0.118765,	0.475059,	0,	0.475059,	0.23753,	1.42518,	0.23753,	0.712589,	0,	0.712589,	0.23753,	1.90024,	3.08789,	0.118765,	1.30641,	2.25653,	0.118765,	0.475059,	7.00713,	0.475059,	0.593824,	0,	0.950119,	0.118765,	1.18765,	0,	0,	0.475059,	1.54394,	2.25653,	4.27553,	0,	0.475059,	1.30641,	0,	0.356295,	0.118765,	0.23753,	0.118765,	0.356295,	0,	0.356295,	0,	0.23753,	
GM12865,	0.108342,	20.3684,	3.35861,	0.541712,	1.95016,	0.541712,	0.866739,	2.92524,	0.108342,	0.108342,	0.541712,	1.51679,	0.975081,	0.433369,	0.216685,	0.758397,	0.758397,	0.433369,	0.758397,	0.325027,	0.433369,	0.325027,	0.216685,	0.541712,	0.216685,	2.16685,	0.758397,	0.975081,	0,	0.108342,	0.541712,	1.19177,	0,	5.74215,	0.325027,	0.541712,	1.73348,	1.19177,	0.650054,	0.433369,	1.51679,	1.51679,	0.216685,	0.325027,	0.433369,	0,	0.541712,	0.216685,	0.866739,	0.325027,	0.325027,	0.650054,	0.325027,	1.51679,	1.73348,	1.62514,	0.108342,	0.541712,	0,	0.433369,	0.325027,	0.866739,	0.108342,	0.325027,	0,	1.51679,	0.108342,	0.541712,	0.758397,	0.108342,	0.541712,	1.73348,	0.216685,	0.216685,	4.44204,	0.866739,	0.541712,	0,	3.90032,	0.433369,	2.16685,	0.108342,	0.541712,	0.216685,	1.51679,	2.60022,	1.84182,	0.325027,	1.73348,	0.216685,	0,	0.216685,	0,	0.216685,	0.433369,	0.216685,	0.108342,	0.433369,	0,	0.650054,	
H7-hESC,	0,	19.7466,	4.96304,	0.844773,	2.63992,	0.31679,	0.63358,	2.74551,	0,	0.211193,	0.422386,	1.16156,	0.31679,	0.739176,	0.31679,	0.63358,	0.422386,	1.05597,	0.211193,	0.31679,	0.527983,	0.31679,	0,	0.527983,	0.31679,	1.79514,	0.63358,	0.527983,	0.211193,	0.211193,	0.105597,	1.68955,	0.105597,	4.75185,	0.105597,	0.31679,	1.68955,	0.844773,	0.422386,	0.105597,	0.739176,	1.58395,	0.422386,	0.95037,	0.422386,	0,	0.739176,	0.31679,	0.95037,	1.05597,	0,	0.527983,	0.105597,	2.74551,	1.26716,	1.90074,	0.31679,	0.422386,	0,	0.211193,	0.211193,	0.95037,	0.31679,	0.105597,	0.31679,	1.47835,	0.211193,	1.05597,	0.527983,	0.105597,	0.844773,	2.00634,	0.105597,	0.63358,	3.80148,	1.16156,	0.422386,	0,	3.2735,	0.63358,	2.63992,	0.211193,	0.31679,	0.422386,	2.63992,	2.21753,	1.26716,	0.527983,	1.26716,	0.211193,	0,	0,	0.105597,	0,	0.211193,	0.31679,	0,	0.63358,	0,	1.26716,	
HA-h,	0.203874,	14.0673,	1.9368,	1.1213,	1.83486,	0.407747,	1.22324,	1.01937,	0.203874,	0.30581,	0.101937,	0.713558,	0.407747,	2.14067,	0.407747,	0.815494,	1.1213,	0.815494,	0.407747,	0.509684,	1.22324,	0.713558,	0.101937,	0.713558,	0.611621,	2.95617,	0.407747,	0.917431,	0,	0.101937,	0.407747,	0.917431,	0.30581,	3.8736,	0.407747,	0.713558,	1.52905,	1.1213,	1.52905,	0.203874,	1.63099,	1.01937,	0.815494,	1.22324,	0.917431,	0.101937,	0.611621,	0.407747,	0.815494,	0.815494,	0.407747,	1.22324,	0.713558,	2.14067,	2.44648,	1.42712,	0.30581,	0.30581,	0,	0.509684,	0,	0.917431,	0.509684,	0.407747,	0.101937,	1.1213,	0.30581,	0.611621,	0.611621,	0.30581,	0.407747,	1.52905,	0.713558,	0.30581,	3.77166,	1.32518,	0.407747,	0.101937,	2.85423,	0.509684,	2.44648,	0.30581,	0.611621,	0.30581,	2.14067,	2.24261,	1.22324,	0.509684,	1.9368,	0.509684,	0.101937,	0.101937,	0.30581,	0.30581,	1.22324,	0.509684,	0,	1.01937,	0,	1.01937,	
HAEpiC,	0.110011,	19.4719,	2.53025,	0.440044,	1.43014,	0.660066,	0.330033,	3.52035,	0,	0.330033,	0,	0.770077,	0.770077,	0.440044,	0.550055,	2.20022,	0.770077,	0.770077,	0.660066,	0.330033,	0.660066,	0.220022,	0.110011,	0.550055,	0.110011,	2.31023,	0.550055,	0.880088,	0.110011,	0,	0.110011,	1.65017,	0.220022,	4.07041,	0.660066,	0.990099,	0.990099,	0.550055,	0.770077,	0.440044,	1.32013,	0.880088,	0.440044,	0.550055,	0.220022,	0,	0.330033,	0.550055,	1.32013,	0.660066,	0,	0.220022,	0.220022,	2.75028,	1.87019,	1.87019,	0,	0.660066,	0.110011,	0.220022,	0.440044,	1.32013,	0.110011,	0.220022,	0.220022,	1.9802,	0,	1.32013,	0.990099,	0.550055,	0.660066,	1.54015,	0.330033,	0.770077,	4.84048,	0.770077,	0.330033,	0,	3.52035,	0.880088,	1.43014,	0.110011,	0,	0.220022,	2.20022,	1.87019,	1.9802,	0.770077,	2.09021,	0.220022,	0,	0,	0,	0.220022,	0.440044,	0.110011,	0,	0,	0.220022,	1.10011,	
HCF,	0,	20.0855,	3.73932,	0.961538,	1.49573,	0.320513,	0.42735,	2.24359,	0,	0.213675,	0.320513,	0.854701,	0.213675,	0.961538,	0.42735,	0.534188,	0.854701,	1.06838,	0.320513,	0,	0.534188,	0.213675,	0.42735,	0.42735,	0.320513,	2.5641,	0.42735,	1.49573,	0.42735,	0.106838,	0.42735,	1.60256,	0.106838,	6.30342,	0.106838,	0.747863,	0.961538,	0.42735,	1.06838,	0.213675,	1.38889,	1.28205,	0.747863,	0.854701,	0.320513,	0.106838,	0.320513,	0.106838,	0.747863,	0.534188,	0.106838,	0.320513,	0.42735,	1.49573,	2.5641,	2.24359,	0.213675,	0.42735,	0.106838,	0.213675,	0.42735,	1.38889,	0,	0.106838,	0,	1.92308,	0,	1.38889,	0.641026,	0.106838,	0.534188,	1.28205,	0.320513,	0.320513,	3.31197,	0.961538,	0.854701,	0,	3.84615,	0.534188,	1.49573,	0.42735,	0.320513,	0.106838,	2.45726,	2.02991,	1.17521,	0.320513,	2.02991,	0.106838,	0,	0.106838,	0,	0,	0.641026,	0.213675,	0.106838,	0.641026,	0.213675,	1.17521,	
HCM,	0.107296,	17.0601,	2.897,	0.643777,	1.50215,	0.214592,	0.965665,	2.03863,	0.107296,	0,	0.321888,	1.18026,	0.536481,	0.751073,	0.214592,	1.18026,	0.858369,	1.07296,	0.643777,	0.107296,	0.643777,	0.214592,	0.214592,	0.751073,	0.321888,	2.57511,	0.321888,	1.07296,	0,	0.214592,	0.214592,	1.93133,	0,	7.18884,	0.107296,	0.429185,	1.39485,	0.214592,	1.07296,	0.429185,	1.07296,	0.965665,	0.536481,	0.429185,	0.321888,	0.107296,	0.858369,	0.107296,	0.965665,	0.429185,	0,	0.751073,	0.214592,	1.82403,	1.50215,	1.50215,	0.214592,	0.214592,	0,	0.429185,	0.536481,	1.07296,	0.214592,	0.643777,	0.107296,	1.71674,	0.214592,	0.321888,	0.858369,	0.107296,	0.751073,	1.71674,	0.214592,	0.429185,	6.33047,	0.751073,	0.107296,	0,	4.07725,	0.858369,	2.6824,	0.214592,	0.214592,	0.214592,	1.28755,	2.46781,	1.07296,	0.321888,	1.60944,	0.536481,	0.321888,	0.107296,	0.107296,	0.107296,	0.429185,	0,	0.429185,	0.643777,	0.214592,	1.82403,	
