cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.146284,	30.5734,	2.22352,	2.48683,	0.93622,	1.02399,	0.585137,	0.351083,	0.321826,	0.175541,	0.292569,	2.34055,	2.80866,	0.351083,	3.24751,	0.409596,	2.13575,	0.0292569,	0.906963,	0.292569,	1.84318,	0.409596,	0.175541,	0.672908,	0,	0.321826,	0.585137,	0.351083,	0.204798,	0.848449,	1.93095,	0.643651,	0.409596,	1.81393,	0.351083,	0.204798,	0.643651,	2.60386,	0.175541,	1.0825,	0.614394,	0.409596,	0.175541,	0.497367,	0.234055,	0.0585138,	0.0877706,	0.0585138,	0.877706,	0.380339,	0.117028,	0.117028,	0.497367,	3.33528,	0.46811,	0.46811,	0.46811,	0.380339,	0.0877706,	0.848449,	0.146284,	1.57987,	0.672908,	1.37507,	0.0585138,	0.292569,	0,	2.19427,	0.994734,	0,	0.409596,	1.2873,	0.0877706,	0.526624,	0.877706,	0.731422,	0.497367,	0.117028,	0.906963,	0.234055,	0.497367,	0.0877706,	0.0292569,	2.22352,	0.994734,	0.789936,	1.37507,	0,	1.46284,	0.585137,	0.0292569,	0.146284,	0.585137,	0.0292569,	0.0292569,	0.409596,	0.263312,	0.146284,	0.0585138,	0.175541,	
AoAF,	0.114613,	31.4327,	2.89398,	2.43553,	1.03152,	0.859599,	0.25788,	0.315186,	0.25788,	0.0859599,	0.372493,	2.12034,	2.12034,	0.315186,	3.46705,	0.573066,	1.7765,	0.0573066,	1.63324,	0.458453,	1.57593,	0.372493,	0.0859599,	0.458453,	0,	0.25788,	0.515759,	0.229226,	0.143266,	0.888252,	1.91977,	0.229226,	0.458453,	2.09169,	0.286533,	0.229226,	0.544413,	2.6361,	0.229226,	1.31805,	0.458453,	0.114613,	0.200573,	0.229226,	0.229226,	0.0859599,	0.0573066,	0.0573066,	0.744986,	0.458453,	0.0859599,	0.0286533,	0.34384,	4.84241,	0.34384,	0.601719,	0.286533,	0.401146,	0.114613,	1.00287,	0.143266,	1.46132,	0.401146,	1.7765,	0,	0.372493,	0,	2.40688,	0.659026,	0.0286533,	0.17192,	1.06017,	0.0573066,	0.515759,	0.744986,	1.11748,	0.429799,	0,	0.687679,	0.0573066,	0.25788,	0.0859599,	0,	3.20917,	1.00287,	0.888252,	1.26074,	0.0286533,	1.17479,	0.429799,	0.114613,	0.0859599,	0.630372,	0.0573066,	0.0286533,	0.315186,	0.143266,	0.0859599,	0.0859599,	0.286533,	
CD20+,	0.316274,	29.0397,	1.72513,	1.92639,	1.17884,	0.776308,	0.316274,	0.603795,	0.230017,	0.115009,	0.316274,	1.84014,	2.99022,	0.345026,	2.87522,	0.517539,	2.35768,	0.0575043,	1.55262,	0.316274,	1.40886,	0.546291,	0.0575043,	0.80506,	0.0287522,	0.172513,	0.80506,	0.345026,	0.460035,	1.12133,	2.09891,	0.488787,	0.546291,	1.78263,	0.460035,	0.230017,	0.747556,	1.89764,	0.258769,	1.3801,	0.718804,	0.258769,	0.316274,	0.517539,	0.258769,	0.0575043,	0.0575043,	0.0287522,	0.747556,	0.6613,	0.172513,	0.143761,	0.747556,	3.07648,	0.230017,	0.603795,	0.460035,	0.201265,	0.172513,	1.29385,	0.0862565,	1.81139,	0.718804,	1.29385,	0.0575043,	0.517539,	0.0862565,	1.78263,	1.15009,	0.0862565,	0.230017,	1.15009,	0.0575043,	0.575043,	1.12133,	0.776308,	0.833813,	0.0575043,	1.46636,	0.172513,	0.546291,	0.172513,	0,	1.72513,	0.80506,	0.920069,	0.977573,	0.0862565,	1.43761,	0.575043,	0.0862565,	0.230017,	1.3226,	0.201265,	0.0575043,	0.230017,	0.258769,	0.0575043,	0.115009,	0.40253,	
GM06990,	0.0947568,	31.0171,	5.87492,	2.14782,	3.506,	0.157928,	0.252685,	0.221099,	0.315856,	0.157928,	0.28427,	1.13708,	1.16867,	0.0947568,	0.947568,	0.379027,	0.78964,	1.3266,	1.1055,	0.536955,	0.78964,	0.347442,	0.600126,	0.947568,	0.315856,	0.536955,	0.252685,	0.726469,	0.0947568,	0,	0.379027,	0.536955,	0.726469,	0.915982,	0.631712,	0.126342,	0.379027,	1.54769,	1.38977,	0.915982,	0.631712,	0.631712,	0.0947568,	0.252685,	0.126342,	0.0631712,	0.379027,	0.28427,	0.631712,	0.821226,	0.126342,	0.157928,	0.221099,	3.63234,	1.45294,	1.38977,	0.157928,	0.221099,	0.252685,	0.50537,	0.189514,	1.35818,	1.1055,	1.13708,	0.315856,	0.252685,	0.0315856,	1.20025,	0.631712,	0.379027,	0.28427,	1.86355,	0.0947568,	0.347442,	1.64245,	1.23184,	1.35818,	0.0947568,	1.29501,	0.758054,	0.568541,	0.315856,	0.0947568,	0.379027,	0.600126,	1.04232,	1.1055,	0.0315856,	0.252685,	0.0315856,	0.0631712,	0.315856,	0.189514,	0.252685,	0.126342,	0,	0.189514,	0.0315856,	0.852811,	2.27416,	
GM12865,	0.169875,	28.0011,	2.54813,	2.23669,	0.821065,	0.736127,	0.283126,	0.396376,	0.141563,	0.11325,	0.283126,	2.74632,	2.97282,	0.283126,	3.62401,	0.622877,	3.08607,	0.0566251,	1.27407,	0.339751,	1.27407,	0.368063,	0.0849377,	0.509626,	0,	0.254813,	0.679502,	0.311438,	0.141563,	0.934315,	1.98188,	0.594564,	0.453001,	1.92525,	0.424689,	0.141563,	0.792752,	2.63307,	0.198188,	1.33069,	0.566251,	0.283126,	0.226501,	0.396376,	0.11325,	0.198188,	0.0283126,	0.198188,	0.849377,	0.537939,	0.0566251,	0.283126,	0.594564,	3.73726,	0.311438,	0.424689,	0.396376,	0.169875,	0.11325,	1.52888,	0.254813,	1.44394,	0.396376,	1.38732,	0.0849377,	0.453001,	0.0566251,	2.12344,	0.792752,	0.0283126,	0.283126,	0.849377,	0.11325,	0.566251,	0.962627,	0.821065,	0.707814,	0.0849377,	0.849377,	0.11325,	0.283126,	0.141563,	0.0283126,	2.66138,	0.906002,	0.764439,	1.38732,	0,	1.50057,	0.566251,	0.11325,	0.11325,	0.934315,	0.0849377,	0.0283126,	0.198188,	0.283126,	0.198188,	0.11325,	0.537939,	
H7-hESC,	0.0856653,	32.0103,	3.85494,	2.17019,	0.742433,	0.856653,	0.199886,	0.228441,	0.256996,	0.0285551,	0.428327,	1.9703,	1.57053,	0.142776,	3.48372,	0.399772,	2.34152,	0.11422,	1.37065,	0.314106,	2.17019,	0.342661,	0.0856653,	0.599657,	0.0285551,	0.342661,	0.628212,	0.171331,	0.11422,	0.742433,	2.05597,	0.513992,	0.399772,	1.94175,	0.285551,	0.171331,	0.770988,	3.0554,	0.11422,	0.742433,	0.485437,	0.11422,	0.371216,	0.256996,	0.256996,	0.285551,	0.0285551,	0.142776,	0.856653,	0.256996,	0.11422,	0.142776,	0.428327,	4.56882,	0.256996,	0.656768,	0.228441,	0.314106,	0.0285551,	1.05654,	0.142776,	1.88464,	0.371216,	1.71331,	0.0571102,	0.256996,	0.142776,	1.74186,	0.485437,	0.0285551,	0.513992,	0.828098,	0.0571102,	0.571102,	0.371216,	1.34209,	0.399772,	0.0285551,	0.685323,	0.171331,	0.371216,	0.171331,	0.0571102,	2.42718,	1.02798,	0.942319,	1.42776,	0,	1.34209,	0.513992,	0.0285551,	0.0856653,	0.542547,	0,	0.0285551,	0.142776,	0.0856653,	0.0856653,	0.0285551,	0.199886,	
HA-h,	0.413337,	22.9815,	2.50758,	2.23202,	0.551116,	1.01956,	0.468449,	0.633783,	0.275558,	0.192891,	0.440893,	1.92891,	2.01157,	0.661339,	3.3067,	0.358225,	2.78314,	0.0551116,	1.51557,	0.688895,	1.4329,	0.716451,	0.165335,	0.799118,	0,	0.303114,	0.881786,	0.303114,	0.578672,	1.32268,	2.09424,	0.716451,	0.52356,	1.54312,	0.468449,	0.275558,	1.01956,	1.59824,	0.303114,	1.21246,	1.01956,	0.33067,	0.358225,	0.578672,	0.578672,	0.385781,	0.137779,	0.413337,	1.21246,	0.771562,	0.275558,	0.165335,	0.688895,	3.11381,	0.358225,	0.578672,	1.01956,	0.385781,	0.110223,	1.35023,	0.165335,	1.84624,	0.909341,	1.48801,	0.165335,	0.413337,	0.0826674,	1.95646,	1.21246,	0.0551116,	0.413337,	0.606228,	0.0826674,	0.716451,	1.01956,	0.744007,	0.936897,	0.192891,	0.606228,	0.192891,	0.468449,	0.192891,	0.0826674,	2.25958,	1.12979,	0.606228,	1.24001,	0.0826674,	1.51557,	0.826674,	0.137779,	0.248002,	1.12979,	0.0826674,	0.0275558,	0.385781,	0.33067,	0.137779,	0.110223,	0.0826674,	
HAEpiC,	0.146242,	29.0436,	2.31062,	1.7549,	0.906698,	0.87745,	0.233987,	0.263235,	0.321732,	0.0584966,	0.497221,	2.80784,	2.74934,	0.233987,	2.6031,	0.584966,	2.39836,	0.0292483,	1.72565,	0.292483,	1.90114,	0.380228,	0.0292483,	0.438725,	0.0292483,	0.233987,	0.906698,	0.146242,	0.263235,	0.818953,	1.6964,	0.497221,	0.233987,	2.31062,	0.380228,	0.087745,	0.848201,	2.6031,	0.17549,	1.34542,	0.760456,	0.146242,	0.321732,	0.233987,	0.292483,	0.233987,	0.0584966,	0.087745,	0.87745,	0.70196,	0.146242,	0.0584966,	0.643463,	4.4165,	0.380228,	0.52647,	0.467973,	0.52647,	0.0584966,	1.02369,	0.263235,	1.34542,	0.643463,	1.60866,	0.0292483,	0.380228,	0,	1.6964,	0.731208,	0.087745,	0.263235,	0.906698,	0.0292483,	0.467973,	0.643463,	1.25768,	0.204738,	0.0292483,	0.994443,	0.087745,	0.584966,	0.263235,	0,	2.6031,	1.49166,	0.848201,	1.28693,	0.0292483,	1.60866,	0.438725,	0.116993,	0.146242,	0.672711,	0,	0.0584966,	0.233987,	0.321732,	0.116993,	0.116993,	0.263235,	
HCF,	0.198638,	29.6538,	2.27015,	2.01476,	0.908059,	0.879682,	0.227015,	0.45403,	0.283768,	0.113507,	0.312145,	1.84449,	2.72418,	0.255392,	3.12145,	0.340522,	2.55392,	0.0851305,	1.70261,	0.255392,	1.4756,	0.53916,	0.0851305,	0.737798,	0.0567537,	0.255392,	0.53916,	0.312145,	0.170261,	0.936436,	2.12826,	0.595914,	0.595914,	2.04313,	0.567537,	0.198638,	0.766175,	1.958,	0.227015,	1.24858,	0.766175,	0.312145,	0.141884,	0.255392,	0.141884,	0.227015,	0.0283768,	0.113507,	0.766175,	0.45403,	0.283768,	0.141884,	0.766175,	3.4336,	0.45403,	0.53916,	0.482406,	0.425653,	0.141884,	1.36209,	0.0851305,	1.56073,	0.737798,	1.56073,	0.0567537,	0.340522,	0.0567537,	2.04313,	0.737798,	0.113507,	0.595914,	0.936436,	0.0283768,	0.397276,	0.53916,	0.964813,	0.567537,	0.113507,	0.879682,	0.113507,	0.397276,	0.141884,	0,	2.49716,	1.30533,	0.766175,	1.4756,	0.0283768,	1.61748,	0.681044,	0.0567537,	0.170261,	0.567537,	0,	0.0283768,	0.397276,	0.170261,	0.0851305,	0.0567537,	0.255392,	
HCM,	0.11422,	30.1256,	2.14163,	2.39863,	0.513992,	0.685323,	0.199886,	0.399772,	0.342661,	0.11422,	0.371216,	2.11308,	1.9703,	0.314106,	3.45517,	0.428327,	2.34152,	0.0285551,	1.6562,	0.314106,	1.71331,	0.599657,	0.0856653,	0.456882,	0,	0.342661,	0.571102,	0.256996,	0.142776,	1.1422,	1.85608,	0.371216,	0.285551,	1.9703,	0.342661,	0.199886,	0.713878,	2.08452,	0.11422,	1.28498,	0.770988,	0.171331,	0.11422,	0.428327,	0.11422,	0.142776,	0.11422,	0.171331,	0.828098,	0.513992,	0.142776,	0.171331,	0.513992,	3.6265,	0.428327,	0.513992,	0.542547,	0.428327,	0.142776,	1.31354,	0.142776,	1.57053,	0.713878,	1.51342,	0.0856653,	0.485437,	0.142776,	1.85608,	0.885208,	0.0285551,	0.542547,	0.942319,	0.142776,	0.513992,	0.685323,	0.770988,	0.656768,	0.0856653,	0.856653,	0.0285551,	0.656768,	0.171331,	0.0856653,	3.08395,	1.1422,	0.742433,	1.37065,	0.142776,	1.54198,	0.656768,	0,	0.0856653,	0.856653,	0.0856653,	0.0285551,	0.256996,	0.142776,	0.11422,	0.0571102,	0.371216,	
