cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.491803,	22.459,	1.22951,	2.45902,	0.983607,	0.901639,	0.245902,	1.55738,	0.327869,	0.737705,	0.409836,	1.63934,	2.86885,	1.22951,	0.57377,	0.491803,	0.819672,	0.163934,	0.327869,	0,	0.327869,	0.163934,	1.31148,	0.409836,	0.163934,	0.245902,	0.737705,	0.0819672,	0.491803,	0.409836,	0.0819672,	2.37705,	1.31148,	0.983607,	0.163934,	1.14754,	1.31148,	0.655738,	1.55738,	1.72131,	0.327869,	0.491803,	0.163934,	0.0819672,	0,	0.163934,	0,	0,	1.39344,	0.163934,	0.163934,	0.0819672,	0.327869,	1.80328,	1.31148,	1.14754,	0.163934,	0.901639,	1.31148,	1.06557,	0.819672,	0.491803,	0.57377,	0.327869,	0.245902,	0.819672,	0.0819672,	0.901639,	4.67213,	0.491803,	0.245902,	1.22951,	0,	0.0819672,	1.14754,	0.57377,	3.52459,	0,	3.11475,	0.245902,	1.72131,	0.983607,	0.0819672,	1.14754,	2.45902,	0.245902,	1.47541,	0,	0.327869,	0,	0.0819672,	0.327869,	0.0819672,	1.14754,	0,	0.327869,	1.22951,	0,	0.409836,	1.72131,	
AoAF,	0.235294,	17.9608,	1.01961,	3.84314,	1.2549,	1.01961,	0.156863,	3.05882,	0.235294,	0.627451,	0.313725,	1.88235,	3.13726,	0.784314,	1.41176,	0.392157,	0.627451,	0,	0.0784314,	0.156863,	0.627451,	0.392157,	1.01961,	0.235294,	0.470588,	0.235294,	0.470588,	0.313725,	1.01961,	0.862745,	0,	2.35294,	2.58824,	0.784314,	0.156863,	1.4902,	0.784314,	0.54902,	1.2549,	1.01961,	0.392157,	0.470588,	0.235294,	0,	0,	0.235294,	0.313725,	0.156863,	1.64706,	0.156863,	0.0784314,	0.0784314,	0.313725,	1.33333,	0.784314,	1.01961,	0.313725,	1.01961,	1.01961,	1.17647,	0.784314,	0.705882,	0.705882,	0.313725,	0.0784314,	0.941176,	0.0784314,	0.705882,	4.31373,	0.313725,	0.0784314,	0.784314,	0.235294,	0,	0.862745,	0.313725,	4.23529,	0,	4.15686,	0.235294,	2.35294,	0.862745,	0,	1.96078,	1.41176,	0.627451,	1.41176,	0.235294,	0.54902,	0.0784314,	0.0784314,	0.156863,	0.156863,	1.56863,	0,	0.392157,	1.33333,	0.0784314,	0.627451,	0.705882,	
CD20+,	0.531444,	29.2294,	2.12578,	1.06289,	2.0372,	0.44287,	0.088574,	0.708592,	0.177148,	0.354296,	0.531444,	1.77148,	3.80868,	0.708592,	0.620018,	0.620018,	0.265722,	0.088574,	0.088574,	0.088574,	0.44287,	0,	0.531444,	0.265722,	0.265722,	0,	0.531444,	0.620018,	0.44287,	0.354296,	0.354296,	2.0372,	0.974314,	2.74579,	0,	0.531444,	0.531444,	1.32861,	0.620018,	1.86005,	0.44287,	0.531444,	0.177148,	0,	0,	0.265722,	0,	0.177148,	2.30292,	0.177148,	0,	0.088574,	0.177148,	1.50576,	1.24004,	1.32861,	0,	0.531444,	0.177148,	0.708592,	0.88574,	0.797166,	0.265722,	0.88574,	0.088574,	0.974314,	0,	0.797166,	2.48007,	0.265722,	0.974314,	1.32861,	0.177148,	0.177148,	1.50576,	0.265722,	4.51727,	0,	2.83437,	0,	1.68291,	0.44287,	0,	1.06289,	1.50576,	0.620018,	1.59433,	0.088574,	0.177148,	0.088574,	0,	0.354296,	0.265722,	0.620018,	0,	0.265722,	0.265722,	0,	0.531444,	1.59433,	
GM06990,	0.591017,	28.1324,	1.18203,	1.18203,	2.60047,	0.35461,	0.236407,	0.35461,	0.118203,	0,	0.236407,	2.00946,	3.4279,	0.118203,	1.06383,	1.89125,	0.236407,	0.118203,	0.70922,	0.591017,	1.41844,	0.118203,	0.236407,	1.65485,	0.118203,	0.118203,	0.35461,	0.236407,	0.591017,	0.591017,	0.35461,	0.591017,	1.18203,	2.71868,	0.827423,	0.472813,	0.70922,	3.07329,	0.591017,	2.00946,	0.236407,	0.236407,	0.236407,	0.118203,	0,	0.118203,	0.236407,	0.236407,	1.53664,	0.70922,	0.236407,	0.118203,	0.472813,	1.06383,	0.827423,	0.472813,	0.35461,	0.236407,	0.118203,	0.70922,	0.827423,	0.472813,	0.591017,	1.18203,	0,	0.118203,	0,	0.827423,	2.60047,	0,	0.236407,	2.83688,	0.118203,	0.827423,	3.6643,	0.35461,	1.65485,	0.118203,	3.5461,	0.118203,	0.35461,	0.35461,	0,	0.70922,	0.35461,	0.945626,	1.18203,	0,	0.118203,	0.118203,	0.236407,	0.118203,	1.18203,	0.472813,	0.118203,	0.118203,	0.118203,	0,	0.118203,	1.89125,	
GM12865,	0.166667,	23.8333,	1.58333,	3.25,	1.41667,	0.75,	0.25,	1.33333,	0.0833333,	0.333333,	0.0833333,	1.83333,	3.5,	0.666667,	1,	0.666667,	0.916667,	0,	0.333333,	0.0833333,	0.416667,	0.583333,	1.16667,	0.416667,	0.25,	0,	0.583333,	0,	0.416667,	0.75,	0.0833333,	1.41667,	1.25,	1.41667,	0.166667,	1.08333,	0.666667,	1.08333,	0.833333,	1.75,	0.166667,	0.666667,	0.25,	0.0833333,	0,	0.666667,	0,	0.25,	1.66667,	0.25,	0.0833333,	0,	0.333333,	1.5,	0.916667,	0.916667,	0.166667,	0.833333,	0.75,	0.916667,	1,	0.666667,	0.833333,	0.5,	0.25,	0.75,	0,	1.16667,	3.08333,	0.416667,	0.583333,	1.75,	0.0833333,	0.0833333,	1.58333,	0.333333,	4.66667,	0.0833333,	4.16667,	0,	1.25,	0.416667,	0.0833333,	0.75,	1.83333,	0.333333,	1.83333,	0.25,	0.833333,	0.166667,	0,	0.166667,	0.166667,	1.16667,	0,	0.333333,	0.666667,	0,	0.333333,	0.583333,	
H7-hESC,	0.409165,	17.0213,	1.06383,	2.94599,	1.71849,	1.63666,	0.490998,	2.70049,	0.163666,	0.572831,	0.409165,	1.63666,	5.23732,	0.490998,	0.981997,	0.818331,	0.163666,	0.0818331,	0.163666,	0,	0.736498,	0.163666,	1.2275,	0.163666,	0.245499,	0.245499,	0.572831,	0.245499,	0.490998,	0.900164,	0.0818331,	2.78232,	2.53682,	0.981997,	0,	2.12766,	1.39116,	0.818331,	0.900164,	1.30933,	0.245499,	0,	0.0818331,	0,	0.163666,	0.0818331,	0.163666,	0.0818331,	1.473,	0.0818331,	0.0818331,	0,	0.245499,	0.981997,	1.63666,	1.14566,	0.0818331,	1.55483,	1.2275,	0.818331,	0.490998,	0.409165,	0.818331,	0.490998,	0.327332,	0.409165,	0.0818331,	0.900164,	4.58265,	0.409165,	0.818331,	1.30933,	0.163666,	0.0818331,	0.409165,	0.327332,	7.20131,	0,	3.92799,	0,	1.14566,	1.2275,	0.0818331,	1.2275,	0.736498,	0.900164,	0.981997,	0.163666,	0.163666,	0.163666,	0.0818331,	0,	0.163666,	0.654665,	0,	0.245499,	0.572831,	0,	0.654665,	0.900164,	
HA-h,	1.06383,	16.8693,	1.82371,	2.5076,	1.97568,	1.13982,	0.607903,	0.911854,	0.227964,	0.607903,	0.759878,	2.20365,	3.19149,	0.683891,	1.13982,	0.531915,	0.607903,	0.151976,	0.227964,	0.0759878,	0.607903,	0.227964,	1.06383,	0.227964,	0.911854,	0.0759878,	0.911854,	0.227964,	0.683891,	0.835866,	0.379939,	2.5076,	1.67173,	1.97568,	0.0759878,	1.36778,	0.911854,	1.13982,	0.835866,	1.74772,	0,	0.455927,	0.607903,	0,	0.151976,	0.455927,	0.0759878,	0.379939,	1.74772,	0.0759878,	0,	0.227964,	0.303951,	1.74772,	1.13982,	1.06383,	0.0759878,	0.683891,	0.911854,	0.835866,	1.51976,	0.987842,	0.911854,	1.13982,	0.531915,	0.531915,	0.0759878,	0.531915,	2.88754,	0.911854,	0.455927,	0.607903,	0.227964,	0.151976,	0.759878,	0.531915,	3.19149,	0.151976,	2.73556,	0.227964,	1.44377,	0.759878,	0.0759878,	1.67173,	2.35562,	0.683891,	1.29179,	0,	0.455927,	0.151976,	0.151976,	0.379939,	0.227964,	1.21581,	0,	0.835866,	0.911854,	0.0759878,	0.531915,	1.06383,	
HAEpiC,	0.407166,	19.2182,	1.7101,	2.443,	1.2215,	0.895766,	0.162866,	2.52443,	0.732899,	0.651466,	0.407166,	1.62866,	4.56026,	0.407166,	1.30293,	0.325733,	0.977199,	0.0814332,	0.0814332,	0,	0.488599,	0.0814332,	1.14007,	0,	0.162866,	0.0814332,	0.895766,	0.162866,	0.651466,	1.05863,	0.0814332,	2.28013,	2.28013,	1.30293,	0.162866,	1.05863,	0.651466,	0.651466,	0.977199,	1.87296,	0.2443,	0.0814332,	0.325733,	0,	0.0814332,	0.2443,	0.0814332,	0.325733,	1.7101,	0.0814332,	0.162866,	0,	0.651466,	1.30293,	1.14007,	0.895766,	0,	1.14007,	0.651466,	1.54723,	0.977199,	0.814332,	1.05863,	0.2443,	0,	0.488599,	0,	0.570033,	3.66449,	0.325733,	0.407166,	0.895766,	0.162866,	0.0814332,	0.895766,	0.2443,	4.15309,	0,	4.80456,	0,	2.36156,	1.38436,	0,	1.79153,	1.14007,	0.732899,	0.814332,	0.2443,	0.325733,	0.2443,	0.162866,	0.325733,	0.162866,	1.05863,	0,	0.488599,	1.38436,	0,	0.0814332,	1.05863,	
HCF,	0.0813008,	20.5691,	1.30081,	2.19512,	2.19512,	1.13821,	0.487805,	1.95122,	0.162602,	1.13821,	0.162602,	1.62602,	2.60163,	1.13821,	0.894309,	0.487805,	0.650406,	0.325203,	0.487805,	0.162602,	0.97561,	0.0813008,	1.21951,	0.487805,	0.243902,	0.487805,	0.97561,	0.162602,	0.650406,	0.487805,	0,	2.43902,	1.38211,	1.46341,	0.162602,	0.813008,	0.813008,	1.05691,	1.30081,	1.38211,	0.162602,	0.569106,	0.162602,	0.162602,	0,	0.650406,	0.162602,	0.325203,	1.70732,	0.243902,	0,	0.0813008,	0.325203,	1.54472,	0.650406,	1.70732,	0.0813008,	0.97561,	0.97561,	1.05691,	0.731707,	0.406504,	0.731707,	0.97561,	0.162602,	0.731707,	0.0813008,	0.894309,	3.25203,	0.243902,	0.325203,	0.813008,	0.0813008,	0,	1.62602,	0.487805,	4.22764,	0.162602,	2.35772,	0,	1.46341,	1.30081,	0.0813008,	1.21951,	1.38211,	1.05691,	1.95122,	0.0813008,	0.487805,	0.0813008,	0,	0.325203,	0.162602,	0.97561,	0,	0.243902,	1.30081,	0,	0.406504,	1.30081,	
HCM,	0.413907,	20.1987,	1.57285,	2.73179,	1.57285,	1.24172,	0.248344,	1.24172,	0.496689,	0.827815,	0.413907,	1.90397,	3.31126,	0.910596,	1.65563,	0.248344,	0.993378,	0.248344,	0.0827815,	0.165563,	0.827815,	0.0827815,	0.57947,	0.496689,	0.0827815,	0,	0.827815,	0.248344,	0.57947,	0.331126,	0.165563,	1.98676,	1.3245,	1.3245,	0.165563,	1.98676,	1.07616,	1.24172,	0.745033,	2.2351,	0.0827815,	0.331126,	0.248344,	0,	0.165563,	0.413907,	0,	0.165563,	1.49007,	0.0827815,	0.0827815,	0.331126,	0.496689,	1.40728,	0.57947,	0.57947,	0,	1.40728,	1.24172,	0.662252,	1.57285,	0.910596,	0.745033,	0.827815,	0.165563,	0.993378,	0.0827815,	0.496689,	3.1457,	0.57947,	0.331126,	1.07616,	0.165563,	0,	1.49007,	0.662252,	2.89735,	0.0827815,	3.1457,	0.0827815,	1.49007,	1.24172,	0.0827815,	1.90397,	1.90397,	0.745033,	1.40728,	0,	0.496689,	0.0827815,	0.0827815,	0.248344,	0.331126,	1.07616,	0,	0.57947,	1.07616,	0.0827815,	0.331126,	0.827815,	
