cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0929771,	44.2633,	1.35127,	3.38437,	0.985558,	0.576458,	0.167359,	0.675634,	0.148763,	0.167359,	0.185954,	0.247939,	1.87814,	0.185954,	1.31408,	0.340916,	0.551664,	0.539267,	0.421496,	0.167359,	0.601252,	0.378107,	0.812,	0.390504,	0.192153,	0.0991756,	0.216947,	0.322321,	0.142565,	0.0991756,	0.167359,	2.41741,	0.495878,	0.322321,	0.167359,	0.272733,	0.663237,	0.378107,	1.60541,	0.316122,	1.38846,	0.409099,	0.0991756,	0.557863,	0.0247939,	0.148763,	0.533069,	0.216947,	0.694229,	0.477283,	0.347115,	0.0371909,	0.508275,	0.867787,	4.14678,	0.973161,	0.0867787,	0.291328,	0.452489,	0.334718,	0.433893,	0.390504,	0.309924,	0.148763,	0.0991756,	0.266534,	0.0867787,	0.73142,	1.58061,	0.154962,	0.210748,	1.86574,	0.154962,	0.0743817,	2.08269,	0.396702,	2.50418,	0.0743817,	0.867787,	0.36571,	0.706626,	0.16116,	0.0185954,	0.502077,	1.02275,	0.502077,	1.15292,	0.117771,	0.0681832,	0.148763,	0.0433893,	0.0433893,	0.142565,	0.384305,	0.0433893,	0.111573,	0.564061,	0.0619848,	0.266534,	0.836794,	
AoAF,	0.128158,	44.2817,	0.744538,	4.07665,	0.768949,	0.512633,	0.170878,	0.817771,	0.0427194,	0.122055,	0.122055,	0.195289,	1.57451,	0.195289,	1.11681,	0.305139,	0.274625,	0.659099,	0.207494,	0.10985,	0.494324,	0.457708,	0.884902,	0.366166,	0.213597,	0.0854388,	0.128158,	0.305139,	0.128158,	0.0671305,	0.103747,	3.26498,	0.488222,	0.256316,	0.201391,	0.292933,	0.744538,	0.317344,	1.5318,	0.28683,	1.62944,	0.720127,	0.0915416,	0.530941,	0.0366166,	0.0976443,	0.427194,	0.140364,	0.610277,	0.402783,	0.439399,	0.0183083,	0.463811,	0.433297,	5.22397,	1.1107,	0.0427194,	0.250214,	0.628585,	0.183083,	0.463811,	0.256316,	0.372269,	0.0610277,	0.115953,	0.140364,	0.0244111,	0.610277,	1.43415,	0.0488222,	0.10985,	1.95289,	0.134261,	0.0549249,	2.48993,	0.341755,	3.088,	0.079336,	0.994752,	0.32955,	0.811669,	0.244111,	0.0122055,	0.439399,	0.811669,	0.549249,	1.08019,	0.0732332,	0.0427194,	0.158672,	0.0183083,	0.0427194,	0.122055,	0.323447,	0.0366166,	0.103747,	0.494324,	0.17698,	0.164775,	0.665202,	
CD20+,	0.150084,	45.9821,	1.59465,	2.33882,	0.931774,	0.575324,	0.156338,	0.606591,	0.0812957,	0.12507,	0.118817,	0.537803,	2.08242,	0.225127,	1.0631,	0.494028,	0.55031,	0.487774,	0.325183,	0.206366,	0.731662,	0.368958,	0.606591,	0.587831,	0.225127,	0.162591,	0.23138,	0.325183,	0.275155,	0.131324,	0.237634,	2.22625,	0.46276,	0.525295,	0.350197,	0.281408,	0.581577,	0.706647,	1.26946,	0.562817,	1.08811,	0.494028,	0.10631,	0.475267,	0.0312676,	0.10631,	0.556563,	0.193859,	0.931774,	0.494028,	0.456507,	0.0437746,	0.575324,	0.981802,	2.93915,	0.956788,	0.0562817,	0.243887,	0.33769,	0.362704,	0.318929,	0.481521,	0.331436,	0.243887,	0.118817,	0.268901,	0.0687887,	0.862985,	1.61341,	0.131324,	0.168845,	1.56963,	0.131324,	0.0875492,	1.92608,	0.418986,	2.02614,	0.0500281,	0.894253,	0.312676,	0.775436,	0.187606,	0.0312676,	0.594084,	0.969295,	0.537803,	1.01307,	0.0687887,	0.0875492,	0.100056,	0.0437746,	0.0250141,	0.181352,	0.343943,	0.0375211,	0.137577,	0.362704,	0.0625352,	0.293915,	1.20693,	
GM06990,	0.256817,	42.473,	1.49558,	2.33401,	1.97145,	0.21905,	0.490974,	0.475867,	0.151069,	0.0830878,	0.166176,	1.15568,	1.11791,	0.46076,	0.536294,	1.03482,	0.400332,	0.0830878,	0.453206,	0.279477,	1.20855,	0.188836,	0.24171,	2.03943,	0.0226603,	0.249264,	0.392779,	0.279477,	0.302138,	0.26437,	0.135962,	0.46076,	0.196389,	2.82499,	1.53335,	0.120855,	0.634489,	2.35667,	0.166176,	0.92152,	0.717577,	0.566508,	0.0528741,	0.453206,	0.0302138,	0.158622,	0.151069,	0.0302138,	0.838432,	0.94418,	0.173729,	0.113302,	0.211496,	1.60888,	1.04993,	0.710023,	0.120855,	0.173729,	0.0302138,	0.279477,	0.596722,	0.468313,	0.196389,	0.287031,	0.0377672,	0.596722,	0.0302138,	0.823325,	1.0877,	0.21905,	0.21905,	1.3143,	0.067981,	0.687363,	2.34912,	0.271924,	1.60133,	0.0755344,	2.60594,	0.135962,	0.891306,	0.324798,	0.0377672,	0.173729,	1.20855,	0.883753,	0.959287,	0.0453206,	0.92152,	0.24171,	0.0302138,	0.0377672,	0.347458,	0.317244,	0.196389,	0.0528741,	0.0830878,	0.0604275,	0.211496,	0.710023,	
GM12865,	0.0849411,	39.5644,	1.15277,	3.50079,	0.958622,	0.50358,	0.188084,	0.734134,	0.10921,	0.163815,	0.127412,	0.224487,	2.07499,	0.188084,	1.20738,	0.266958,	0.418639,	0.806941,	0.364033,	0.224487,	0.740201,	0.448975,	1.03143,	0.485378,	0.273025,	0.188084,	0.364033,	0.467176,	0.151681,	0.0910084,	0.163815,	2.81519,	0.624924,	0.406504,	0.212353,	0.376168,	0.649193,	0.539983,	1.91724,	0.485378,	1.53501,	0.618857,	0.0728067,	0.412571,	0.00606722,	0.194151,	0.533916,	0.333697,	0.758403,	0.357966,	0.637059,	0.0424706,	0.649193,	0.849411,	4.55042,	1.04356,	0.0606722,	0.321563,	0.624924,	0.279092,	0.370101,	0.485378,	0.448975,	0.0970756,	0.0849411,	0.242689,	0.127412,	0.728067,	1.47434,	0.145613,	0.194151,	1.7595,	0.139546,	0.0788739,	2.5725,	0.39437,	2.71205,	0.054605,	0.891882,	0.321563,	0.806941,	0.254823,	0.0303361,	0.606722,	0.776605,	0.430773,	1.27412,	0.0910084,	0.0606722,	0.133479,	0.0606722,	0.0728067,	0.157748,	0.564252,	0.0910084,	0.0788739,	0.61279,	0.10921,	0.248756,	1.0375,	
H7-hESC,	0.132426,	40.1433,	0.800578,	4.32794,	0.601938,	0.505628,	0.138446,	1.05339,	0.0722326,	0.174562,	0.144465,	0.120388,	1.62523,	0.150485,	1.1798,	0.204659,	0.337085,	1.14368,	0.204659,	0.114368,	0.535725,	0.535725,	1.07747,	0.276892,	0.300969,	0.150485,	0.180581,	0.246795,	0.186601,	0.0541744,	0.114368,	3.05183,	0.632035,	0.168543,	0.126407,	0.264853,	0.638055,	0.180581,	2.03455,	0.222717,	1.80581,	0.7765,	0.114368,	0.511648,	0.00601938,	0.138446,	0.662132,	0.28893,	0.553783,	0.28893,	0.589899,	0.0300969,	0.493589,	0.469512,	5.37531,	1.49883,	0.0902907,	0.306989,	0.806597,	0.216698,	0.541744,	0.276892,	0.325047,	0.0421357,	0.0963101,	0.156504,	0.0963101,	0.571841,	0.981159,	0.0662132,	0.150485,	1.93222,	0.19262,	0.0541744,	2.99765,	0.373202,	3.44309,	0.0421357,	0.800578,	0.48757,	0.818636,	0.240775,	0.0180581,	0.553783,	0.87883,	0.379221,	1.15572,	0.162523,	0.0120388,	0.150485,	0.0361163,	0.0361163,	0.0722326,	0.421357,	0.0240775,	0.138446,	0.926985,	0.174562,	0.138446,	0.854752,	
HA-h,	0.179501,	41.716,	1.35224,	2.40531,	0.867588,	0.723987,	0.167534,	0.706037,	0.167534,	0.227368,	0.209418,	0.269251,	1.48986,	0.263268,	1.39412,	0.233351,	0.610303,	0.69407,	0.436786,	0.239335,	0.837671,	0.418836,	0.837671,	0.508586,	0.359002,	0.149584,	0.281218,	0.418836,	0.257285,	0.137617,	0.191468,	2.75235,	0.472686,	0.263268,	0.227368,	0.299168,	0.801771,	0.508586,	1.60953,	0.335069,	1.41806,	0.628253,	0.113684,	0.56842,	0.0478669,	0.161551,	0.759888,	0.347035,	0.69407,	0.616287,	0.777838,	0.0957339,	0.718004,	1.13684,	4.26016,	0.909472,	0.131634,	0.329085,	0.735954,	0.382935,	0.418836,	0.58637,	0.388919,	0.227368,	0.149584,	0.394902,	0.179501,	0.759888,	1.25052,	0.191468,	0.191468,	1.62149,	0.263268,	0.0897505,	1.23856,	0.60432,	1.50781,	0.143601,	0.556453,	0.376952,	0.807754,	0.293185,	0.0299168,	0.777838,	1.36421,	0.370969,	0.957339,	0.113684,	0.0538503,	0.107701,	0.119667,	0.0957339,	0.293185,	0.508586,	0.0418836,	0.161551,	0.58637,	0.107701,	0.293185,	0.921438,	
HAEpiC,	0.130378,	40.6221,	1.08028,	3.66921,	0.918855,	0.61464,	0.180046,	0.931272,	0.117961,	0.16142,	0.12417,	0.242131,	1.55833,	0.16142,	1.06786,	0.335258,	0.564972,	0.956106,	0.266965,	0.149004,	0.608431,	0.57118,	1.08648,	0.353883,	0.291799,	0.142795,	0.198671,	0.298007,	0.155212,	0.0496678,	0.167629,	3.47054,	0.478053,	0.20488,	0.111753,	0.310424,	0.732601,	0.304216,	1.79425,	0.378717,	1.60179,	0.589806,	0.136587,	0.471845,	0,	0.16142,	0.49047,	0.217297,	0.682933,	0.372509,	0.40976,	0.0372509,	0.533929,	0.69535,	5.23375,	1.17961,	0.0745018,	0.335258,	0.422177,	0.167629,	0.478053,	0.322841,	0.397343,	0.0682933,	0.0682933,	0.198671,	0.0745018,	0.670516,	1.22928,	0.0558763,	0.217297,	1.74458,	0.149004,	0.0372509,	2.6386,	0.40976,	2.81244,	0.0310424,	1.03061,	0.422177,	0.925064,	0.186254,	0.0186254,	0.589806,	0.850562,	0.49047,	1.52729,	0.130378,	0.0558763,	0.149004,	0.0682933,	0.0434594,	0.105544,	0.422177,	0.0310424,	0.0496678,	0.589806,	0.16142,	0.192463,	0.98094,	
HCF,	0.1344,	43.6985,	1.17906,	3.32335,	0.75142,	0.500947,	0.116073,	0.696438,	0.122182,	0.109964,	0.146619,	0.226037,	1.68,	0.238255,	1.36233,	0.287128,	0.354328,	0.818621,	0.403201,	0.164946,	0.586474,	0.525383,	0.904148,	0.445965,	0.250473,	0.109964,	0.226037,	0.360437,	0.183273,	0.0977457,	0.109964,	2.86517,	0.586474,	0.244364,	0.146619,	0.287128,	0.708657,	0.433747,	1.59448,	0.366547,	1.68,	0.568147,	0.0977457,	0.519274,	0.0122182,	0.146619,	0.586474,	0.244364,	0.775857,	0.34211,	0.500947,	0.0427638,	0.665893,	0.75142,	4.4963,	0.940803,	0.0427638,	0.250473,	0.635347,	0.226037,	0.378765,	0.360437,	0.40931,	0.103855,	0.0794184,	0.213819,	0.0855275,	0.714766,	1.2096,	0.116073,	0.201601,	1.78386,	0.158837,	0.0427638,	2.20539,	0.445965,	2.40088,	0.0977457,	0.867493,	0.305455,	0.714766,	0.152728,	0.0305455,	0.653675,	0.867493,	0.403201,	1.17295,	0.0916366,	0.0610911,	0.0977457,	0.0244364,	0.0427638,	0.189382,	0.354328,	0.0672002,	0.103855,	0.568147,	0.103855,	0.27491,	0.971348,	
HCM,	0.116357,	45.0977,	0.845122,	3.27638,	0.808378,	0.514422,	0.0918611,	0.747137,	0.146978,	0.13473,	0.122481,	0.226591,	1.51265,	0.202094,	1.11458,	0.244963,	0.489926,	0.82675,	0.477678,	0.159226,	0.545043,	0.416437,	0.820626,	0.30008,	0.3307,	0.171474,	0.238839,	0.275583,	0.122481,	0.085737,	0.153102,	3.06204,	0.428685,	0.342948,	0.110233,	0.3307,	0.716517,	0.404189,	1.66575,	0.318452,	1.52489,	0.538918,	0.085737,	0.508298,	0.00612407,	0.140854,	0.545043,	0.232715,	0.69202,	0.410313,	0.508298,	0.0244963,	0.52667,	0.594035,	4.936,	1.12071,	0.0489926,	0.202094,	0.453181,	0.183722,	0.46543,	0.404189,	0.3307,	0.153102,	0.104109,	0.16535,	0.0734889,	0.612407,	1.40854,	0.140854,	0.159226,	1.84335,	0.128606,	0.0489926,	2.04544,	0.367444,	2.24753,	0.0734889,	0.667524,	0.440933,	0.759385,	0.159226,	0.0428685,	0.563415,	0.894115,	0.428685,	1.1452,	0.128606,	0.0428685,	0.13473,	0.0244963,	0.0551167,	0.16535,	0.404189,	0.0428685,	0.0612407,	0.600159,	0.0673648,	0.244963,	0.875743,	
