cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0837872,	15.1655,	1.46628,	0.963553,	1.71764,	0.167574,	1.17302,	0.502723,	1.34059,	0,	3.8961,	3.18391,	1.969,	0.58651,	1.38249,	0.418936,	0.209468,	0.0418936,	0.879765,	0.0418936,	0.628404,	0.502723,	0.125681,	0.0418936,	0,	0.335149,	2.72308,	0.335149,	1.38249,	0.837872,	0.167574,	1.25681,	0.251362,	1.59196,	0.167574,	0.251362,	0.502723,	1.08923,	0.125681,	0.167574,	0.0418936,	0.377042,	0.795978,	0,	0.209468,	0.460829,	0.0837872,	0.251362,	4.06368,	0.460829,	0.0418936,	0.167574,	0.754085,	1.38249,	0.460829,	1.42438,	1.13113,	0.293255,	0.377042,	2.09468,	0.628404,	1.21491,	0.125681,	1.34059,	0.209468,	0.293255,	0.0837872,	0.251362,	0.58651,	0.335149,	0.502723,	0.418936,	0.0418936,	0.335149,	0.335149,	1.46628,	0.502723,	0.0418936,	3.81232,	1.17302,	4.69208,	3.56096,	0,	8.58819,	2.01089,	1.04734,	1.00545,	0.335149,	0.377042,	0.418936,	0.125681,	0.209468,	0.167574,	0.0418936,	0,	0,	0,	0.0418936,	0,	1.13113,	
AoAF,	0.163465,	14.671,	1.06253,	0.735595,	1.51206,	0.163465,	1.06253,	0.653862,	1.30772,	0,	4.08664,	3.18758,	2.00245,	0.531263,	1.26686,	0.44953,	0.0817327,	0.0408664,	1.02166,	0.0817327,	0.735595,	0.694728,	0.245198,	0.163465,	0.0408664,	0.204332,	2.69718,	0.286065,	1.67552,	0.490396,	0.0408664,	1.22599,	0.408664,	1.10339,	0.163465,	0.163465,	0.694728,	1.51206,	0.122599,	0.163465,	0.286065,	0.653862,	0.776461,	0.0817327,	0.204332,	0.653862,	0.0817327,	0.122599,	4.16837,	0.408664,	0,	0.163465,	0.694728,	1.38946,	0.326931,	0.858194,	1.10339,	0.408664,	0.245198,	2.32938,	0.817327,	1.22599,	0.0408664,	1.38946,	0.0408664,	0.367797,	0.0408664,	0.286065,	0.980793,	0.204332,	0.939926,	0.44953,	0,	0.122599,	0.367797,	1.06253,	0.408664,	0,	3.26931,	1.18512,	5.59869,	4.04577,	0.0408664,	9.07233,	1.71639,	1.22599,	1.10339,	0.0408664,	0.653862,	0.326931,	0.0408664,	0.0817327,	0.0408664,	0,	0.0817327,	0.0817327,	0.0408664,	0.0408664,	0.122599,	0.572129,	
CD20+,	0.259403,	13.6619,	0.99438,	0.951146,	1.81582,	0.0864678,	0.951146,	0.475573,	1.34025,	0,	3.28578,	2.63727,	2.4211,	0.302637,	0.648508,	0.907912,	0.172936,	0.0432339,	0.907912,	0.0432339,	0.475573,	0.475573,	0.562041,	0.172936,	0.0864678,	0.129702,	2.63727,	0.432339,	2.03199,	1.42672,	0.129702,	1.08085,	0.605275,	1.55642,	0.345871,	0.432339,	0.389105,	1.85906,	0.0864678,	0.0864678,	0,	0.648508,	1.46995,	0.0864678,	0.216169,	0.475573,	0.0864678,	0.302637,	4.49633,	0.345871,	0,	0.216169,	0.475573,	1.25378,	0.432339,	0.864678,	1.08085,	0.129702,	0.172936,	2.76697,	0.951146,	0.691742,	0.0432339,	1.08085,	0.0432339,	0.302637,	0,	0.0864678,	1.29702,	0.432339,	0.605275,	0.864678,	0,	0.216169,	1.03761,	1.08085,	0.605275,	0,	4.49633,	1.03761,	4.49633,	4.19369,	0,	7.99827,	1.34025,	0.864678,	0.951146,	0.0432339,	0.475573,	0.172936,	0.216169,	0.129702,	0.345871,	0.0432339,	0.129702,	0.0432339,	0.0432339,	0.0864678,	0.0432339,	1.08085,	
GM06990,	1.17245,	14.509,	1.27015,	1.2213,	2.49145,	2.19834,	0.195408,	0.341964,	0.195408,	1.2213,	0.048852,	0.879336,	2.5403,	1.319,	0.48852,	1.90523,	0.24426,	0.781632,	1.27015,	0.48852,	1.02589,	0.293112,	3.95701,	1.51441,	0.097704,	0.146556,	0.146556,	1.66097,	0.048852,	0.146556,	0.24426,	1.46556,	0.439668,	1.41671,	1.70982,	1.2213,	0.635076,	1.36786,	0.341964,	1.319,	0.73278,	0.830484,	0,	1.1236,	0,	0.439668,	0.439668,	0.048852,	0.879336,	0.537372,	0.48852,	0.097704,	0.73278,	1.1236,	0.928188,	0.73278,	0.146556,	0.24426,	0.048852,	0.879336,	0.24426,	0.586224,	0.683928,	0.635076,	0.097704,	0.97704,	0.24426,	1.51441,	5.91109,	0.683928,	0,	1.56326,	0.195408,	0.830484,	6.2042,	0.146556,	2.83341,	1.07474,	2.00293,	0.097704,	0.586224,	0.097704,	0.390816,	0.24426,	0.24426,	0.879336,	0.683928,	0.048852,	0.586224,	0.195408,	0.195408,	0.683928,	0.293112,	1.41671,	0.097704,	0,	0.341964,	0.097704,	0.24426,	1.70982,	
GM12865,	0.169133,	13.8266,	1.43763,	0.5074,	1.5222,	0.0845666,	0.845666,	0.211416,	1.47992,	0,	3.59408,	3.0444,	2.70613,	0.761099,	1.18393,	1.05708,	0.0422833,	0.0422833,	0.803383,	0.0422833,	0.2537,	0.549683,	0.12685,	0.211416,	0.0422833,	0.0845666,	2.36786,	0.422833,	2.2833,	1.18393,	0.12685,	0.887949,	0.38055,	1.64905,	0.169133,	0.295983,	0.38055,	1.22622,	0.0422833,	0.169133,	0.0845666,	0.591966,	0.972516,	0,	0.12685,	0.718816,	0,	0.0422833,	4.73573,	0.38055,	0,	0.0845666,	0.549683,	0.887949,	0.211416,	0.972516,	0.761099,	0.338266,	0.169133,	2.24101,	0.803383,	1.05708,	0,	1.0148,	0.0845666,	0.295983,	0.0422833,	0.295983,	0.972516,	0.211416,	0.972516,	0.549683,	0.0422833,	0.38055,	1.14165,	0.63425,	0.2537,	0,	4.5666,	1.05708,	5.074,	5.24313,	0,	9.13319,	1.56448,	0.887949,	1.35307,	0.0845666,	0.422833,	0.338266,	0.12685,	0.2537,	0.12685,	0.0845666,	0,	0.0422833,	0,	0,	0.12685,	0.676533,	
H7-hESC,	0.164136,	10.5868,	0.779647,	0.656545,	1.02585,	0.164136,	1.31309,	0.492409,	2.46204,	0,	4.30858,	3.611,	3.07755,	0.656545,	1.02585,	0.451375,	0.0410341,	0,	0.902749,	0.123102,	0.328272,	0.820681,	0.123102,	0.0820681,	0,	0.20517,	2.17481,	0.451375,	2.66721,	1.02585,	0.20517,	1.55929,	0.492409,	1.14895,	0.123102,	0.369307,	0.574477,	1.23102,	0.123102,	0.20517,	0.246204,	0.656545,	1.64136,	0.0410341,	0.410341,	0.779647,	0,	0.164136,	3.81617,	0.287238,	0,	0,	1.02585,	1.23102,	0.246204,	0.820681,	1.06689,	0.0820681,	0.20517,	2.83135,	0.779647,	1.10792,	0,	1.23102,	0.0820681,	0.287238,	0,	0.0820681,	1.43619,	0.164136,	1.39516,	0.287238,	0,	0.287238,	0.738613,	0.902749,	0.246204,	0,	3.9803,	0.615511,	5.62167,	4.22651,	0,	8.41198,	1.88757,	1.23102,	1.39516,	0.328272,	0.574477,	0.328272,	0.0820681,	0.20517,	0,	0.0820681,	0.0820681,	0.0410341,	0.0410341,	0.0410341,	0,	0.492409,	
HA-h,	0.119856,	13.4239,	1.15861,	0.439473,	1.11866,	0.0799041,	0.998801,	0.639233,	1.23851,	0,	4.11506,	1.95765,	1.51818,	0.639233,	1.07871,	0.439473,	0.119856,	0.0799041,	0.639233,	0,	0.679185,	0.759089,	0.399521,	0.0399521,	0.0399521,	0.319616,	3.23612,	0.679185,	1.43827,	1.03875,	0.319616,	2.03755,	0.878945,	0.918897,	0.19976,	0.359569,	0.719137,	1.07871,	0.159808,	0.119856,	0.319616,	0.799041,	1.19856,	0.119856,	0.239712,	0.639233,	0.119856,	0.319616,	4.67439,	0.719137,	0.0399521,	0.239712,	0.838993,	1.35837,	0.399521,	1.51818,	1.03875,	0.159808,	0.0799041,	2.47703,	0.878945,	1.43827,	0,	1.43827,	0.119856,	0.719137,	0.0399521,	0.0799041,	0.599281,	0.359569,	0.679185,	0.599281,	0,	0.399521,	0.639233,	1.23851,	0.479425,	0,	2.51698,	1.35837,	4.71434,	3.95525,	0,	8.54974,	1.75789,	0.918897,	1.19856,	0.239712,	0.439473,	0.239712,	0.319616,	0.19976,	0.119856,	0.159808,	0.119856,	0,	0,	0.19976,	0.119856,	0.639233,	
HAEpiC,	0.251572,	10.3145,	0.964361,	0.922432,	1.13208,	0.0419287,	0.838574,	0.754717,	1.50943,	0,	4.40252,	3.39623,	2.80922,	0.754717,	0.964361,	0.545073,	0.125786,	0.0419287,	0.838574,	0,	0.880503,	0.503145,	0.0419287,	0.0838574,	0,	0.125786,	2.30608,	0.293501,	2.72537,	1.174,	0,	1.09015,	0.545073,	0.964361,	0,	0.125786,	0.503145,	1.59329,	0.0838574,	0.0838574,	0.0419287,	0.587002,	0.922432,	0,	0.293501,	0.712788,	0,	0.251572,	4.48637,	0.209644,	0,	0.0838574,	0.587002,	1.21593,	0.209644,	0.922432,	1.04822,	0.251572,	0.167715,	3.3543,	1.13208,	0.754717,	0,	0.964361,	0.0419287,	0.167715,	0,	0,	1.71908,	0.293501,	1.29979,	0.33543,	0.0419287,	0.33543,	0.587002,	0.964361,	0.419287,	0,	4.61216,	0.419287,	5.95388,	4.06709,	0,	9.93711,	2.09644,	1.42558,	0.964361,	0.125786,	0.880503,	0.33543,	0.0838574,	0.0419287,	0.0419287,	0,	0.125786,	0,	0,	0.0838574,	0,	0.67086,	
HCF,	0.0414766,	14.185,	1.28577,	0.995438,	1.90792,	0.0829531,	0.871008,	0.622149,	1.65906,	0,	3.8988,	3.02779,	2.23973,	0.248859,	1.57611,	0.290336,	0.0414766,	0.0414766,	1.36873,	0.0829531,	0.788055,	0.497719,	0.207383,	0.165906,	0.0829531,	0.165906,	2.90336,	0.331813,	1.70054,	1.07839,	0.248859,	1.11987,	0.539195,	0.497719,	0.0829531,	0.165906,	0.497719,	0.788055,	0.165906,	0.12443,	0.165906,	0.539195,	0.539195,	0.0414766,	0.207383,	0.829531,	0,	0.373289,	4.27209,	0.456242,	0,	0.0829531,	0.705102,	1.20282,	0.414766,	1.32725,	0.953961,	0.373289,	0.12443,	2.32269,	0.539195,	1.32725,	0,	1.49316,	0.12443,	0.331813,	0,	0.0829531,	0.705102,	0.290336,	0.622149,	0.373289,	0,	0.248859,	0.746578,	1.2443,	0.331813,	0,	3.02779,	1.32725,	5.35048,	4.31356,	0.0414766,	9.24927,	1.9494,	0.953961,	1.03691,	0.0829531,	0.497719,	0.414766,	0.0829531,	0.248859,	0.165906,	0.0829531,	0.12443,	0.0414766,	0,	0,	0.0414766,	0.953961,	
HCM,	0.12366,	12.6134,	1.56636,	0.535861,	1.48392,	0.12366,	1.0305,	0.412201,	1.52514,	0,	4.45177,	2.84419,	2.55565,	0.618302,	1.0305,	0.535861,	0.0824402,	0.0412201,	1.31904,	0.0824402,	0.535861,	0.577082,	0.247321,	0.0824402,	0,	0.16488,	2.59687,	0.370981,	2.55565,	1.0305,	0.0824402,	0.948063,	0.370981,	0.700742,	0.16488,	0.247321,	0.329761,	1.36026,	0.0824402,	0.0824402,	0,	0.329761,	0.824402,	0.0412201,	0.288541,	0.824402,	0,	0.16488,	5.48228,	0.12366,	0,	0.16488,	0.783182,	1.07172,	0.247321,	1.27782,	1.11294,	0.0824402,	0.206101,	2.88541,	0.535861,	1.36026,	0.0824402,	1.07172,	0.12366,	0.247321,	0,	0.0824402,	1.11294,	0.329761,	0.618302,	0.288541,	0,	0.577082,	0.494641,	0.865622,	0.247321,	0,	4.45177,	0.989283,	4.57543,	4.82275,	0,	9.72795,	1.69002,	1.07172,	0.783182,	0.0824402,	0.329761,	0.329761,	0.206101,	0.206101,	0.12366,	0,	0.0824402,	0.0824402,	0,	0.12366,	0,	0.865622,	
