cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0839832,	38.5963,	1.5117,	1.4757,	1.83563,	0.155969,	0.479904,	0.64787,	0.0959808,	0.371926,	0.287942,	1.23575,	0.479904,	0.179964,	1.06779,	0.239952,	0.875825,	0.779844,	0.683863,	0.29994,	0.623875,	0.983803,	0.0959808,	0.467906,	0.143971,	0.887822,	0.623875,	0.323935,	0.323935,	0.263947,	0.623875,	0.311938,	0.0719856,	2.31554,	0.407918,	0.0839832,	0.443911,	0.59988,	0.419916,	0.467906,	3.17936,	0.455909,	0.059988,	1.75165,	0.203959,	0.107978,	0.119976,	0.179964,	0.815837,	0.94781,	0.227954,	0.263947,	0.755849,	3.5033,	2.26755,	1.81164,	0.263947,	0.0479904,	0.0239952,	0.263947,	0.0719856,	1.30774,	0.263947,	0.359928,	0.0239952,	0.719856,	0.0479904,	1.27175,	0.263947,	0.179964,	0.155969,	1.90762,	0.0359928,	0.587882,	2.19556,	0.623875,	0.287942,	0.131974,	0.743851,	0.491902,	0.623875,	0.131974,	0.0719856,	0.383923,	2.71146,	0.383923,	1.36773,	0.179964,	0.839832,	0.239952,	0.0479904,	0.143971,	0.203959,	0.179964,	0.563887,	0.119976,	0.0479904,	0.395921,	0.0359928,	0.527894,	
AoAF,	0.108342,	36.0419,	1.21584,	1.69736,	2.16685,	0.144456,	0.481522,	0.565788,	0.0963043,	0.337065,	0.397255,	1.33622,	0.421331,	0.312989,	1.07139,	0.421331,	0.878777,	0.722282,	0.565788,	0.276875,	0.638016,	1.13158,	0.0963043,	0.565788,	0.180571,	1.04731,	0.505598,	0.361141,	0.264837,	0.300951,	0.481522,	0.288913,	0.108342,	2.34742,	0.469484,	0.0601902,	0.409293,	0.710244,	0.481522,	0.421331,	3.25027,	0.252799,	0.0842663,	1.76959,	0.192609,	0.0842663,	0.0963043,	0.192609,	0.698206,	1.04731,	0.132418,	0.228723,	0.601902,	4.00867,	2.16685,	2.27519,	0.337065,	0.132418,	0.0361141,	0.288913,	0.132418,	1.16769,	0.252799,	0.204647,	0.012038,	0.67413,	0.012038,	1.14361,	0.180571,	0.144456,	0.144456,	1.75755,	0.0481522,	0.794511,	2.37149,	0.49356,	0.216685,	0.108342,	0.818587,	0.565788,	0.830625,	0.228723,	0.108342,	0.565788,	3.40677,	0.505598,	1.54087,	0.0361141,	1.08342,	0.409293,	0.0722282,	0.108342,	0.168533,	0.168533,	0.686168,	0.0842663,	0.0601902,	0.252799,	0.0722282,	0.361141,	
CD20+,	0.153248,	40.2924,	1.69751,	1.55605,	1.16704,	0.212189,	0.294707,	0.719085,	0.106095,	0.235766,	0.282919,	1.07273,	0.436166,	0.200401,	1.42638,	0.200401,	0.801603,	0.884121,	0.589414,	0.306495,	0.565838,	0.954851,	0.0943063,	0.353648,	0.117883,	0.895909,	0.542261,	0.318284,	0.306495,	0.247554,	0.719085,	0.223977,	0.153248,	2.09831,	0.34186,	0.0235766,	0.377225,	0.389013,	0.48332,	0.636567,	2.86455,	0.294707,	0.082518,	1.98043,	0.306495,	0.0589414,	0.106095,	0.188613,	0.577626,	1.06095,	0.129671,	0.400802,	0.766238,	3.38324,	1.8154,	1.66215,	0.271131,	0.106095,	0.0235766,	0.235766,	0.165036,	1.83897,	0.165036,	0.400802,	0.0235766,	0.506896,	0.0235766,	0.990216,	0.106095,	0.176824,	0.129671,	1.49711,	0.106095,	0.48332,	1.83897,	0.660144,	0.294707,	0.34186,	0.660144,	0.848756,	0.542261,	0.165036,	0.141459,	0.282919,	3.12389,	0.400802,	1.44996,	0.0589414,	0.860545,	0.34186,	0.082518,	0.0707297,	0.400802,	0.106095,	0.636567,	0.141459,	0.117883,	0.660144,	0.0235766,	0.34186,	
GM06990,	0.0599018,	41.6557,	1.80903,	1.30586,	1.3418,	0.575057,	0.155745,	1.09021,	0.131784,	0.155745,	0.419312,	1.01833,	0.431293,	0.395352,	1.65329,	0.299509,	0.563077,	0.275548,	0.311489,	0.155745,	1.05427,	0.227627,	0.263568,	0.32347,	0.0838625,	0.419312,	0.946448,	0.239607,	0.0599018,	0.0838625,	0.802684,	2.69558,	0.179705,	0.934467,	0.131784,	0.32347,	1.92884,	0.599018,	0.826644,	0.251587,	1.13813,	0.862585,	0.467234,	0.491194,	0.131784,	0.179705,	0.0958428,	0.0599018,	0.455253,	0.491194,	0.107823,	0.203666,	0.251587,	2.85132,	2.27627,	1.82101,	0.0479214,	0.407332,	0.0838625,	0.479214,	0.179705,	1.10219,	0.32347,	0.527135,	0.215646,	0.503175,	0.0359411,	0.68288,	0.850605,	0.0599018,	0.515155,	1.9528,	0.107823,	0.179705,	1.16209,	1.64131,	0.68288,	0.0479214,	0.515155,	0.371391,	1.07823,	0.227627,	0.0718821,	0.934467,	1.4017,	1.09021,	2.14448,	0.0958428,	0.515155,	0.275548,	0.0718821,	0.0838625,	0.0599018,	0.0718821,	0.0119804,	0.0599018,	0.251587,	0.0359411,	0.119804,	0.658919,	
GM12865,	0.0354526,	39.2342,	1.3472,	1.22902,	1.57173,	0.129993,	0.283621,	0.484519,	0.14181,	0.212716,	0.342709,	1.22902,	0.319073,	0.224533,	1.09903,	0.354526,	0.980856,	1.03994,	0.543607,	0.212716,	0.543607,	1.0754,	0.0236351,	0.437249,	0.106358,	0.90995,	0.519972,	0.330891,	0.153628,	0.283621,	0.661782,	0.189081,	0.0236351,	2.18624,	0.307256,	0.0472701,	0.319073,	0.519972,	0.555424,	0.6736,	3.11983,	0.259986,	0.0236351,	1.84354,	0.236351,	0.0590877,	0.118175,	0.200898,	0.590877,	0.86268,	0.14181,	0.389979,	0.649965,	4.15977,	1.73718,	1.91444,	0.330891,	0.0945403,	0.0472701,	0.236351,	0.153628,	1.5481,	0.212716,	0.295438,	0.0236351,	0.626329,	0.0354526,	1.44174,	0.118175,	0.153628,	0.153628,	2.36351,	0.0590877,	0.685417,	2.37532,	0.543607,	0.153628,	0.153628,	0.614512,	0.614512,	0.555424,	0.129993,	0.118175,	0.401796,	2.77712,	0.519972,	1.51264,	0.129993,	1.02813,	0.460884,	0.0590877,	0.0709052,	0.259986,	0.153628,	0.590877,	0.129993,	0.0354526,	0.401796,	0.0236351,	0.413614,	
H7-hESC,	0.0826934,	35.9835,	1.28766,	1.6775,	1.68931,	0.259894,	0.401654,	0.578854,	0.129947,	0.307147,	0.507974,	1.39398,	0.531601,	0.24808,	1.37035,	0.165387,	0.980508,	0.886001,	0.685174,	0.236267,	0.803308,	1.15771,	0.0826934,	0.496161,	0.0708801,	1.08683,	0.567041,	0.28352,	0.118133,	0.24808,	0.590667,	0.28352,	0.118133,	2.16184,	0.378027,	0.153574,	0.413467,	0.484347,	0.696988,	0.460721,	2.87064,	0.590667,	0.0708801,	2.3036,	0.129947,	0.165387,	0.14176,	0.28352,	0.543414,	1.03957,	0.129947,	0.330774,	0.614294,	4.06379,	2.02008,	2.11459,	0.366214,	0.189014,	0.0472534,	0.31896,	0.10632,	1.13408,	0.165387,	0.189014,	0.0354401,	0.732428,	0.0236267,	1.35854,	0.1772,	0.153574,	0.189014,	1.60662,	0.0472534,	0.614294,	2.35086,	0.826934,	0.271707,	0.236267,	0.472534,	0.590667,	0.815121,	0.118133,	0.129947,	0.460721,	3.42587,	0.437094,	1.60662,	0.153574,	1.15771,	0.31896,	0.0472534,	0.0826934,	0.259894,	0.165387,	0.425281,	0.0945068,	0.10632,	0.259894,	0.0708801,	0.189014,	
HA-h,	0.128086,	36.0503,	1.87471,	1.73498,	1.08291,	0.0931532,	0.465766,	0.675361,	0.209595,	0.384257,	0.47741,	1.07126,	0.314392,	0.256171,	1.51374,	0.186306,	1.24592,	1.15277,	0.628784,	0.256171,	0.558919,	1.23428,	0.0815091,	0.33768,	0.209595,	1.0014,	0.850023,	0.395901,	0.372613,	0.314392,	0.803447,	0.232883,	0.0931532,	1.83978,	0.27946,	0.0465766,	0.256171,	0.291104,	0.465766,	0.489054,	2.80624,	0.395901,	0.0582208,	2.24732,	0.349325,	0.151374,	0.0698649,	0.267816,	0.465766,	1.24592,	0.0698649,	0.547275,	0.780158,	3.95901,	1.87471,	1.44388,	0.535631,	0.0582208,	0,	0.186306,	0.13973,	1.898,	0.186306,	0.454122,	0.0465766,	0.628784,	0.0465766,	1.05962,	0.0815091,	0.244527,	0.128086,	1.53703,	0.0582208,	0.745226,	1.78156,	0.8966,	0.116442,	0.244527,	0.489054,	1.02469,	0.558919,	0.104797,	0.13973,	0.372613,	3.62133,	0.430834,	1.10619,	0.163018,	0.803447,	0.407545,	0.151374,	0.128086,	0.593852,	0.0698649,	0.75687,	0.197951,	0.0465766,	0.791803,	0.0465766,	0.232883,	
HAEpiC,	0.0242014,	36.2778,	1.30687,	1.53679,	2.14182,	0.157309,	0.447725,	0.471926,	0.0726041,	0.302517,	0.411423,	1.41578,	0.592933,	0.157309,	1.40368,	0.35092,	1.10116,	0.774443,	0.786544,	0.423524,	0.907551,	1.10116,	0.0726041,	0.54453,	0.18151,	0.883349,	0.810745,	0.411423,	0.229913,	0.193611,	0.375121,	0.266215,	0.0968054,	2.16602,	0.471926,	0.133107,	0.375121,	0.617135,	0.484027,	0.605034,	2.48064,	0.242014,	0.0484027,	1.8635,	0.121007,	0.205712,	0.0484027,	0.18151,	0.665537,	1.13746,	0.108906,	0.36302,	0.54453,	4.39255,	1.94821,	1.8151,	0.229913,	0.0968054,	0.0242014,	0.302517,	0.278316,	1.22217,	0.193611,	0.423524,	0.0242014,	0.750242,	0.0242014,	1.35528,	0.157309,	0.133107,	0.18151,	1.96031,	0.0484027,	0.653437,	2.12972,	0.871249,	0.35092,	0.0726041,	0.665537,	0.689739,	0.786544,	0.217812,	0.133107,	0.435624,	3.07357,	0.484027,	1.68199,	0.0968054,	0.955954,	0.302517,	0.036302,	0.0847047,	0.193611,	0.169409,	0.447725,	0.121007,	0.121007,	0.229913,	0.0484027,	0.290416,	
HCF,	0.0708885,	38.3152,	1.29962,	1.50047,	1.60681,	0.189036,	0.425331,	0.508034,	0.094518,	0.153592,	0.389887,	1.08696,	0.318998,	0.212665,	1.07514,	0.283554,	1.24055,	1.28781,	0.626181,	0.177221,	0.555293,	1.15785,	0.118147,	0.389887,	0.153592,	1.06333,	0.531664,	0.283554,	0.200851,	0.212665,	0.720699,	0.295369,	0.118147,	2.30388,	0.259924,	0,	0.330813,	0.366257,	0.460775,	0.614367,	2.98913,	0.259924,	0.0827032,	2.02032,	0.200851,	0.118147,	0.129962,	0.200851,	0.508034,	0.779773,	0.165406,	0.295369,	0.69707,	4.22968,	2.03214,	2.02032,	0.236295,	0.106333,	0.0827032,	0.318998,	0.22448,	1.78403,	0.165406,	0.177221,	0.0236295,	0.708885,	0.0708885,	1.58318,	0.047259,	0.165406,	0.106333,	1.99669,	0.0827032,	0.637996,	2.39839,	0.744329,	0.212665,	0.0590737,	0.460775,	0.543478,	0.555293,	0.118147,	0.0590737,	0.519849,	2.71739,	0.401701,	1.5241,	0.106333,	0.815217,	0.378072,	0.0827032,	0.094518,	0.24811,	0.141777,	0.685255,	0.0590737,	0.094518,	0.413516,	0.0354442,	0.283554,	
