cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0,	34.3247,	1.48699,	1.85874,	1.36307,	0.123916,	0.247831,	0.991326,	0,	0.123916,	0.123916,	1.23916,	0.743494,	1.48699,	1.11524,	0.371747,	0.991326,	0.371747,	0.371747,	0.123916,	1.11524,	0.86741,	0.123916,	0.123916,	0,	1.23916,	0.86741,	0,	0.371747,	0.247831,	0.86741,	4.58488,	0,	1.85874,	0.371747,	0,	1.85874,	0.743494,	0.371747,	0.247831,	0.991326,	0.619579,	1.36307,	0.247831,	0,	0.247831,	0.371747,	0.371747,	1.23916,	0.991326,	0,	0.123916,	0.123916,	3.22181,	0.991326,	0.247831,	0,	0.619579,	0.123916,	0.86741,	0.247831,	0.371747,	0,	0,	0.247831,	0.247831,	0.123916,	1.6109,	1.23916,	0,	0.495663,	3.59356,	0.247831,	0.247831,	1.36307,	0.991326,	0.123916,	0,	1.48699,	0.619579,	0.991326,	0.247831,	0,	0.619579,	2.47831,	0.495663,	2.97398,	0.123916,	0.371747,	0.371747,	0.247831,	0,	0.247831,	0.247831,	0.247831,	0,	0,	0.123916,	0,	0.86741,	
AoAF,	0,	31.4883,	1.47601,	0.861009,	0.369004,	0.615006,	0.246002,	2.21402,	0,	0,	0.246002,	1.23001,	0.98401,	1.10701,	2.09102,	0.492005,	1.35301,	0.246002,	0,	0,	0.738007,	0.492005,	0.123001,	0.492005,	0,	0.861009,	0.492005,	0.123001,	0.246002,	0.246002,	0.738007,	4.42804,	0,	1.72202,	0.123001,	0.123001,	1.84502,	0.369004,	0.246002,	0.369004,	1.10701,	0.738007,	0.615006,	0.369004,	0,	0.246002,	0.246002,	0.246002,	1.10701,	2.09102,	0.123001,	0,	0.246002,	3.81304,	1.10701,	1.72202,	0.246002,	0.246002,	0.123001,	0.861009,	0,	1.10701,	0.123001,	0.123001,	0,	0.492005,	0,	1.10701,	2.09102,	0,	0.861009,	2.95203,	0.246002,	0,	1.10701,	1.72202,	0.246002,	0,	2.33702,	0.246002,	1.35301,	0.123001,	0,	0.861009,	3.44403,	0.98401,	2.46002,	0.123001,	0.246002,	0.369004,	0,	0,	0,	0.246002,	0.123001,	0.246002,	0,	0,	0,	0.615006,	
CD20+,	0,	32.0388,	1.33495,	1.21359,	0.728155,	0.242718,	0.485437,	1.57767,	0.121359,	0,	0.121359,	1.33495,	0.970874,	1.45631,	1.33495,	0,	1.69903,	0.242718,	0,	0.121359,	1.09223,	0.849515,	0.121359,	0.121359,	0,	0.242718,	0.970874,	0.121359,	1.45631,	0.242718,	1.45631,	4.49029,	0.121359,	1.21359,	0.364078,	0.242718,	1.82039,	0.364078,	0.849515,	0.364078,	0.849515,	1.57767,	0.728155,	0.364078,	0.121359,	0.242718,	0.364078,	0.606796,	0.485437,	1.45631,	0.121359,	0.606796,	0.364078,	2.30583,	3.03398,	0.728155,	0.242718,	0.121359,	0.242718,	1.45631,	0.121359,	1.21359,	0,	0.485437,	0.121359,	0.242718,	0.121359,	0.242718,	1.21359,	0,	0.485437,	2.6699,	0.121359,	0.728155,	1.09223,	1.45631,	0.364078,	0,	0.485437,	0.364078,	1.09223,	0.121359,	0,	1.45631,	4.24757,	0.242718,	1.33495,	0.364078,	0.485437,	0.242718,	0.364078,	0,	0.121359,	0.121359,	0.242718,	0.121359,	0,	0,	0,	0.364078,	
GM06990,	0.12285,	34.1523,	0.737101,	0.982801,	1.4742,	0.2457,	0.36855,	0.614251,	0.12285,	0.36855,	0,	0.982801,	0.36855,	0.4914,	0.4914,	0.614251,	0.859951,	0.737101,	0.12285,	0,	0.982801,	0.859951,	0.36855,	0.2457,	0.4914,	1.10565,	0.36855,	0,	0.12285,	0.12285,	0.4914,	0.859951,	0.12285,	1.7199,	0.12285,	0.36855,	0.982801,	1.35135,	0.2457,	0.2457,	2.82555,	2.457,	0.12285,	0.982801,	0.12285,	0,	0.12285,	0.2457,	0,	0.982801,	0.12285,	0.12285,	0.982801,	2.2113,	4.79115,	2.33415,	0.12285,	0.2457,	0,	0.12285,	0,	1.7199,	0.614251,	0.12285,	0,	0.614251,	0.2457,	1.35135,	1.2285,	0.12285,	0.2457,	1.35135,	0.12285,	0,	4.29975,	0.614251,	0.737101,	0,	1.4742,	0.614251,	1.10565,	0,	0.12285,	0.4914,	1.7199,	1.35135,	2.9484,	0,	0.4914,	0.36855,	0.36855,	0.12285,	0.12285,	0.36855,	0.12285,	0,	0.36855,	0.36855,	0,	0.12285,	
GM12865,	0,	31.4149,	1.55875,	1.19904,	1.19904,	0.479616,	0.479616,	1.31894,	0,	0,	0.119904,	0.719424,	0.719424,	1.55875,	1.07914,	0.359712,	1.91847,	0.239808,	0.119904,	0.239808,	0.239808,	0.719424,	0,	0.239808,	0,	0.479616,	1.19904,	0.119904,	0.839329,	0,	1.07914,	5.51559,	0.119904,	1.43885,	0.239808,	0.239808,	1.67866,	0.119904,	0.479616,	0.239808,	1.43885,	1.19904,	0.839329,	0.359712,	0.119904,	0,	0.359712,	0.479616,	1.19904,	0.719424,	0.119904,	0.359712,	0.239808,	3.11751,	1.19904,	1.43885,	0.119904,	0.479616,	0,	1.07914,	0.119904,	0.719424,	0,	0.119904,	0.119904,	0.119904,	0,	1.55875,	2.15827,	0,	0.59952,	3.95683,	0.119904,	0.119904,	2.03837,	0.959233,	0.359712,	0,	1.19904,	0.479616,	0.59952,	0.239808,	0,	1.31894,	3.95683,	0.719424,	1.67866,	0,	0.479616,	0.59952,	0,	0,	0.239808,	0.239808,	0.359712,	0,	0.119904,	0,	0,	0.119904,	
H7-hESC,	0,	31.7576,	0.727273,	0.848485,	1.33333,	0.727273,	0.121212,	1.21212,	0,	0.121212,	0,	1.57576,	0.727273,	0.727273,	0.969697,	0.121212,	1.69697,	0.363636,	0.121212,	0.121212,	0.727273,	0.606061,	0.242424,	0.121212,	0,	1.09091,	0.848485,	0.242424,	0.242424,	0.121212,	1.33333,	4.84848,	0,	0.848485,	0.121212,	0.242424,	2.42424,	0.242424,	0.484848,	0.727273,	1.33333,	0.484848,	0.484848,	0.363636,	0,	0.363636,	0.484848,	0.484848,	1.33333,	0.969697,	0,	0.363636,	0,	4.36364,	2.42424,	1.45455,	0,	0.484848,	0,	0.848485,	0.121212,	0.727273,	0,	0.363636,	0.242424,	0.242424,	0.242424,	1.21212,	1.57576,	0,	0,	2.06061,	0.484848,	0.242424,	1.93939,	1.09091,	0.121212,	0,	2.30303,	0.484848,	2.54545,	0.121212,	0,	0.969697,	2.54545,	0.969697,	2.54545,	0.121212,	0.606061,	0.484848,	0,	0,	0,	0,	0,	0,	0.121212,	0.121212,	0,	0.363636,	
HA-h,	0.119332,	29.3556,	1.31265,	1.67064,	1.31265,	0.238663,	0.71599,	1.78998,	0,	0,	0,	0.596659,	1.07399,	1.43198,	2.02864,	0,	1.31265,	0.238663,	0.119332,	0,	0.119332,	0.357995,	0.119332,	0.835322,	0.119332,	0.596659,	0.71599,	0.238663,	1.07399,	0,	1.67064,	5.48926,	0.238663,	0.954654,	0.477327,	0,	2.14797,	0,	0.357995,	0.119332,	0.835322,	1.19332,	1.07399,	0.477327,	0.119332,	0.477327,	0.238663,	0.477327,	0.835322,	1.19332,	0.119332,	0.357995,	0.357995,	3.10263,	1.43198,	0.954654,	0.357995,	0.119332,	0.238663,	1.55131,	0.238663,	1.07399,	0.238663,	0.596659,	0.119332,	0.835322,	0.357995,	0.357995,	0.477327,	0,	0.357995,	2.98329,	0.596659,	0.119332,	2.50597,	1.43198,	0.119332,	0,	0.596659,	0.477327,	1.31265,	0.119332,	0,	2.6253,	3.93795,	0.596659,	0.954654,	0.238663,	0.238663,	0.835322,	0.357995,	0,	0.119332,	0.238663,	0,	0,	0,	0.119332,	0.119332,	0.238663,	
HAEpiC,	0,	34.875,	1.875,	1.25,	1,	0.75,	0.125,	1.125,	0,	0,	0.25,	1.375,	0.625,	1.25,	1.375,	0.625,	1.375,	0.125,	0.125,	0.125,	0.375,	0.5,	0.125,	0.125,	0.125,	0.625,	0.875,	0,	0.375,	0.25,	0.625,	3.625,	0.125,	2.5,	0.375,	0,	1.875,	0.625,	0.375,	0,	0.375,	1,	0.5,	0.5,	0,	0,	0,	0.25,	1.25,	1,	0.25,	0.625,	0.25,	4.125,	0.875,	0.75,	0.125,	0.125,	0.25,	0.5,	0.375,	0.75,	0.125,	0.125,	0,	0.25,	0,	0.5,	1.875,	0.25,	0.25,	3.75,	0.375,	0.25,	1.75,	1,	0.125,	0,	1,	0.625,	1.5,	0,	0,	1.375,	2.375,	0.875,	3.25,	0.25,	0.625,	0.375,	0.125,	0,	0.375,	0,	0,	0.25,	0.125,	0,	0,	0.625,	
HCF,	0.121359,	30.7039,	1.09223,	0.606796,	1.57767,	0.121359,	0.121359,	1.09223,	0.121359,	0,	0,	1.21359,	1.09223,	1.45631,	1.09223,	0.121359,	1.33495,	0.364078,	0.121359,	0.242718,	0.728155,	0.606796,	0,	0.364078,	0,	0.849515,	0.849515,	0.242718,	0.728155,	0,	1.33495,	4.97573,	0,	2.06311,	0.121359,	0,	2.06311,	0.121359,	0.242718,	0.121359,	0.849515,	0.970874,	0.606796,	0.485437,	0.121359,	0.121359,	0.242718,	0.485437,	1.09223,	1.21359,	0,	0.364078,	0.728155,	4.97573,	1.94175,	1.09223,	0.121359,	0.606796,	0.121359,	1.21359,	0.121359,	1.21359,	0.364078,	0.364078,	0.242718,	0.485437,	0,	0.728155,	1.21359,	0,	0.364078,	2.6699,	0.121359,	0.485437,	2.42718,	0.970874,	0.364078,	0,	1.21359,	0.485437,	1.21359,	0,	0,	0.849515,	3.15534,	0.606796,	1.94175,	0.242718,	0.485437,	0.364078,	0.364078,	0,	0.121359,	0.121359,	0.364078,	0.121359,	0.121359,	0,	0,	0.728155,	
HCM,	0.121359,	34.2233,	1.21359,	0.849515,	1.09223,	0.970874,	0.606796,	1.09223,	0,	0,	0.364078,	1.09223,	0.485437,	1.45631,	0.970874,	0.485437,	1.82039,	0.485437,	0.121359,	0.121359,	0.242718,	0.606796,	0,	0.242718,	0.242718,	0.485437,	0.849515,	0,	0.970874,	0,	0.970874,	5.21845,	0.121359,	1.57767,	0.121359,	0,	2.06311,	0.121359,	0.485437,	0.242718,	0.485437,	0.606796,	0.606796,	0.364078,	0,	0.364078,	0,	0.485437,	0.364078,	1.21359,	0.121359,	0.364078,	0.242718,	1.94175,	1.69903,	1.09223,	0.364078,	0.485437,	0.121359,	1.33495,	0.242718,	1.33495,	0,	0.364078,	0.121359,	0.728155,	0,	0.606796,	1.57767,	0,	0.606796,	3.15534,	0.364078,	0.242718,	2.06311,	1.45631,	0.121359,	0,	1.45631,	0.728155,	0.606796,	0.242718,	0,	0.970874,	3.51942,	0.364078,	2.30583,	0.121359,	0.485437,	0.485437,	0.242718,	0,	0.364078,	0.242718,	0.364078,	0,	0,	0,	0,	0.121359,	
