cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.165666,	37.3369,	2.19507,	2.81632,	1.57382,	0.165666,	0.331332,	0.434873,	0.393456,	0.0414164,	0.455581,	1.22179,	1.13895,	0.165666,	0.766204,	0.600538,	0.517706,	0.310623,	0.745496,	0.207082,	1.34603,	1.2632,	0.393456,	0.849037,	0.372748,	0.207082,	0.849037,	0.35204,	0.248499,	0.144958,	0.269207,	1.42887,	0.517706,	0.745496,	0.455581,	0.331332,	0.600538,	1.88445,	0.621247,	0.35204,	1.13895,	0.641955,	0.248499,	0.186374,	0.0207082,	0.124249,	0.269207,	0.393456,	0.993995,	0.93187,	0.103541,	0.103541,	0.911162,	2.71278,	2.05011,	1.42887,	0.248499,	0.393456,	0.35204,	0.724788,	0.144958,	0.434873,	0.22779,	0.455581,	0.0828329,	0.103541,	0.0207082,	0.496997,	1.0147,	0.207082,	0.372748,	0.786912,	0.0414164,	0.35204,	1.88445,	0.890454,	1.53241,	0.0621247,	1.67737,	0.455581,	1.59453,	0.786912,	0.0414164,	0.869745,	0.600538,	0.766204,	1.30462,	0.269207,	0.186374,	0.476289,	0.0828329,	0.0414164,	0.207082,	0.331332,	0.207082,	0.0621247,	0.35204,	0.0828329,	0.207082,	1.49099,	
AoAF,	0.16061,	42.8227,	2.04778,	3.69404,	1.20458,	0.200763,	0.140534,	0.70267,	0.341297,	0,	0.401526,	1.04397,	1.24473,	0.100381,	0.803052,	0.401526,	0.421602,	0.321221,	0.54206,	0.301144,	1.38526,	0.642441,	0.421602,	0.923509,	0.38145,	0.180687,	0.782975,	0.200763,	0.321221,	0.140534,	0.140534,	1.26481,	0.461755,	0.321221,	0.582212,	0.16061,	0.54206,	1.38526,	0.602289,	0.120458,	1.20458,	0.54206,	0.16061,	0.361373,	0.0401526,	0.0401526,	0.200763,	0.260992,	0.582212,	0.903433,	0.140534,	0.100381,	0.742823,	2.7103,	2.369,	1.02389,	0.301144,	0.501907,	0.401526,	0.662518,	0.301144,	0.0803052,	0.180687,	0.38145,	0.0602289,	0.0401526,	0.0200763,	0.361373,	0.682594,	0.120458,	0.240915,	0.923509,	0.0200763,	0.301144,	1.38526,	0.762899,	1.76671,	0.0200763,	1.86709,	0.341297,	1.50572,	0.642441,	0.0602289,	0.843204,	0.70267,	0.823128,	1.28488,	0.0401526,	0.180687,	0.361373,	0.0200763,	0.0401526,	0.301144,	0.401526,	0.361373,	0.0401526,	0.200763,	0,	0.260992,	0.963662,	
CD20+,	0.0883587,	30.2187,	2.7833,	2.29733,	2.38569,	0.353435,	0.287166,	0.508063,	0.463883,	0.0220897,	0.198807,	1.96598,	1.74509,	0.154628,	0.441794,	1.14866,	0.265076,	0.220897,	0.751049,	0.198807,	1.08239,	0.861498,	0.441794,	1.23702,	0.176717,	0.331345,	0.375525,	0.353435,	0.176717,	0.176717,	0.132538,	1.39165,	0.574332,	1.08239,	0.72896,	0.287166,	0.773139,	2.62867,	0.419704,	0.640601,	0.839408,	0.662691,	0.375525,	0.132538,	0.0883587,	0.176717,	0.198807,	0.441794,	1.723,	0.905677,	0.110448,	0.242987,	0.596421,	3.15882,	1.59046,	1.10448,	0.242987,	0.353435,	0.220897,	0.927767,	0.331345,	0.596421,	0.265076,	0.353435,	0.0662691,	0.176717,	0.0220897,	0.949856,	1.94389,	0.176717,	0.463883,	1.12657,	0.0441794,	0.375525,	2.98211,	0.817318,	1.85553,	0.0220897,	2.49613,	0.397614,	0.795229,	0.574332,	0.0220897,	0.618511,	0.596421,	1.81135,	1.56837,	0.0220897,	0.331345,	0.353435,	0.0441794,	0.0220897,	0.331345,	0.397614,	0.154628,	0.0883587,	0.0662691,	0.132538,	0.375525,	1.76717,	
GM06990,	0.163443,	28.4391,	1.57995,	2.96922,	2.17924,	0.408608,	0.217924,	0.953419,	0.272405,	0.108962,	0.326886,	1.22582,	2.31545,	0.49033,	0.708254,	1.1441,	0.980659,	0.108962,	0.381367,	0.408608,	1.19858,	0.272405,	0.272405,	2.31545,	0.0272405,	0.108962,	0.217924,	0.108962,	0.245165,	0.272405,	0.408608,	0.953419,	0.572051,	2.91474,	1.08962,	0.51757,	0.49033,	2.86026,	0.435849,	1.60719,	0.408608,	0.354127,	0.0817216,	0.653773,	0.136203,	0.136203,	0.163443,	0,	1.22582,	0.762735,	0.245165,	0.0817216,	0.190684,	1.74339,	0.708254,	1.71615,	0.108962,	0.163443,	0.245165,	0.653773,	0.599292,	0.817216,	1.06238,	0.435849,	0.108962,	0.762735,	0.0544811,	1.63443,	2.07028,	0.0817216,	0.245165,	2.31545,	0.163443,	0.599292,	1.66167,	0.51757,	2.99646,	0.0817216,	2.58785,	0.108962,	0.708254,	0.272405,	0,	0.408608,	0.735494,	1.03514,	2.2882,	0.0272405,	0.381367,	0.163443,	0.245165,	0.190684,	0.544811,	0.272405,	0.0817216,	0.136203,	0.190684,	0.0272405,	0.408608,	0.926178,	
GM12865,	0.213995,	28.6968,	2.33255,	2.18275,	1.84036,	0.192596,	0.256794,	0.385192,	0.556388,	0.0427991,	0.299593,	1.84036,	1.92596,	0.171196,	0.663385,	1.06998,	0.342392,	0.385192,	1.00578,	0.299593,	1.21977,	0.791783,	0.385192,	1.30537,	0.385192,	0.363792,	0.706184,	0.385192,	0.278194,	0.106998,	0.213995,	1.71196,	0.556388,	0.684785,	0.748984,	0.320993,	0.748984,	2.31115,	0.663385,	0.44939,	0.663385,	0.855981,	0.235395,	0.342392,	0.0213995,	0.128397,	0.299593,	0.556388,	1.45517,	0.984378,	0.149797,	0.0855981,	0.513589,	3.44532,	1.64776,	1.15557,	0.256794,	0.492189,	0.278194,	1.17697,	0.128397,	0.342392,	0.342392,	0.556388,	0.0855981,	0.128397,	0,	0.534988,	1.60496,	0.128397,	0.492189,	1.64776,	0.128397,	0.44939,	2.48235,	0.877381,	2.09715,	0.0641986,	2.67494,	0.385192,	1.39097,	0.556388,	0,	1.09138,	0.513589,	1.77616,	1.32677,	0.106998,	0.128397,	0.406591,	0.149797,	0.128397,	0.556388,	0.47079,	0.235395,	0.0641986,	0.128397,	0.0641986,	0.47079,	1.49797,	
H7-hESC,	0.245349,	23.3081,	2.47393,	4.7843,	1.63566,	0.28624,	0.245349,	1.47209,	0.592926,	0.0408914,	0.327131,	1.30853,	2.24903,	0.224903,	0.797383,	0.674709,	0.42936,	0.245349,	0.85872,	0.265794,	1.28808,	0.7156,	0.736046,	1.18585,	0.388469,	0.306686,	0.85872,	0.224903,	0.408914,	0.102229,	0.224903,	1.51298,	1.18585,	0.408914,	1.16541,	0.265794,	0.674709,	2.73973,	0.736046,	0.224903,	1.00184,	0.654263,	0.28624,	0.490697,	0.0408914,	0.265794,	0.265794,	0.592926,	1.12451,	1.61521,	0.163566,	0.0613372,	0.920057,	2.92374,	2.06502,	1.10407,	0.511143,	0.674709,	0.368023,	1.28808,	0.408914,	0.327131,	0.511143,	0.265794,	0.122674,	0.122674,	0,	0.42936,	1.22674,	0.0817829,	0.28624,	0.756492,	0.122674,	0.449806,	1.90145,	0.776937,	2.41259,	0.0204457,	3.59845,	0.265794,	1.98323,	0.899612,	0.0204457,	1.24719,	0.531589,	1.28808,	1.34942,	0.184011,	0.122674,	0.776937,	0.0204457,	0.0408914,	0.7156,	0.388469,	0.245349,	0.0408914,	0.122674,	0.102229,	0.490697,	1.10407,	
HA-h,	0.520131,	11.7704,	2.71624,	2.40801,	1.65671,	0.500867,	0.346754,	0.828357,	1.2329,	0.134849,	0.308226,	1.59892,	1.21364,	0.288962,	0.65498,	0.539395,	0.635716,	0.616452,	1.67598,	0.366018,	1.05953,	1.61819,	1.2907,	1.25217,	0.577923,	0.42381,	0.712772,	0.385282,	0.674244,	0.173377,	0.481603,	2.58139,	1.40628,	0.462339,	1.07879,	0.308226,	0.616452,	2.40801,	1.07879,	0.577923,	1.40628,	1.61819,	0.886149,	0.42381,	0.0770564,	0.173377,	0.712772,	1.36775,	1.17511,	1.2907,	0.231169,	0.308226,	1.19437,	3.40975,	1.90715,	1.11732,	0.712772,	0.732036,	0.500867,	1.59892,	0.32749,	0.539395,	0.385282,	0.924677,	0.346754,	0.346754,	0.0192641,	0.558659,	1.63745,	0.385282,	0.635716,	0.635716,	0.154113,	0.65498,	2.042,	1.25217,	2.09979,	0.211905,	2.60066,	0.693508,	1.71451,	0.770564,	0.134849,	1.34849,	0.7513,	1.63745,	1.17511,	0.288962,	0.211905,	0.577923,	0.173377,	0.0963206,	0.7513,	0.404546,	0.443075,	0.0577923,	0.154113,	0.0770564,	1.05953,	1.69524,	
HAEpiC,	0.231092,	18.3403,	2.18487,	3.7395,	1.9958,	0.273109,	0.315126,	0.819328,	1.19748,	0.12605,	0.39916,	1.72269,	2.20588,	0.210084,	0.65126,	0.966387,	0.357143,	0.0840336,	1.19748,	0.378151,	1.34454,	0.861345,	0.714286,	1.05042,	0.294118,	0.168067,	1.2605,	0.336134,	0.630252,	0.252101,	0.189076,	1.93277,	1.32353,	0.357143,	0.945378,	0.378151,	0.903361,	2.96218,	0.609244,	0.39916,	0.861345,	0.798319,	0.588235,	0.441177,	0.0420168,	0.210084,	0.378151,	0.630252,	1.32353,	1.07143,	0.231092,	0.105042,	1.30252,	2.89916,	1.51261,	1.2395,	0.567227,	0.693277,	0.52521,	1.72269,	0.357143,	0.336134,	0.336134,	0.462185,	0.12605,	0.12605,	0.0420168,	0.483193,	1.59664,	0.189076,	0.693277,	0.861345,	0.0840336,	0.39916,	1.76471,	0.966387,	2.5,	0.0420168,	3.78151,	0.315126,	2.20588,	0.693277,	0.0420168,	1.68067,	0.714286,	1.38655,	1.34454,	0.336134,	0.0840336,	0.861345,	0.0840336,	0.189076,	0.945378,	0.441177,	0.252101,	0.0420168,	0.294118,	0.105042,	0.462185,	0.92437,	
HCF,	0.0403633,	44.1372,	1.83653,	2.58325,	1.29162,	0.161453,	0.161453,	0.383451,	0.262361,	0.0605449,	0.282543,	0.9889,	0.908174,	0.0605449,	0.726539,	0.544904,	0.403633,	0.282543,	0.787084,	0.24218,	1.4329,	0.968718,	0.464178,	0.625631,	0.282543,	0.24218,	0.524723,	0.262361,	0.24218,	0.100908,	0.141271,	1.47326,	0.544904,	0.726539,	0.484359,	0.201816,	0.605449,	1.35217,	0.665994,	0.383451,	0.807265,	0.484359,	0.262361,	0.262361,	0.100908,	0.12109,	0.141271,	0.403633,	1.13017,	1.06963,	0.181635,	0.141271,	0.86781,	2.4218,	2.13925,	1.45308,	0.302725,	0.302725,	0.322906,	0.504541,	0.181635,	0.403633,	0.100908,	0.383451,	0.0807265,	0.12109,	0,	0.524723,	0.847629,	0.24218,	0.302725,	1.04945,	0.0403633,	0.343088,	1.45308,	0.86781,	0.9889,	0.0403633,	1.61453,	0.625631,	1.57417,	0.423814,	0.0403633,	0.645812,	1.04945,	0.645812,	1.27144,	0.0605449,	0.201816,	0.383451,	0.0403633,	0.0403633,	0.302725,	0.201816,	0.12109,	0.0201816,	0.0403633,	0.0403633,	0.363269,	1.02926,	
HCM,	0.102648,	45.8427,	2.01191,	3.03839,	1.37549,	0.143708,	0.225826,	0.369534,	0.307945,	0.0205297,	0.349004,	0.759598,	0.923835,	0.143708,	0.61589,	0.349004,	0.328475,	0.246356,	0.759598,	0.184767,	1.33443,	0.944365,	0.349004,	0.698009,	0.307945,	0.0821187,	0.410593,	0.184767,	0.205297,	0.061589,	0.143708,	1.45761,	0.677479,	0.431123,	0.472182,	0.164237,	0.410593,	1.29337,	0.698009,	0.164237,	0.944365,	0.656949,	0.143708,	0.266886,	0,	0.0821187,	0.266886,	0.492712,	0.985424,	1.02648,	0.061589,	0.143708,	1.00595,	2.99733,	1.8682,	0.862246,	0.184767,	0.349004,	0.328475,	0.61589,	0.266886,	0.184767,	0.225826,	0.307945,	0.102648,	0.061589,	0.0205297,	0.513242,	0.677479,	0.0821187,	0.287415,	0.882776,	0.061589,	0.205297,	1.43708,	0.821187,	1.37549,	0.0821187,	1.56025,	0.513242,	1.43708,	0.513242,	0,	0.759598,	0.780127,	0.923835,	1.23178,	0.143708,	0.143708,	0.143708,	0.0410593,	0.143708,	0.266886,	0.328475,	0.164237,	0.061589,	0.061589,	0,	0.307945,	1.00595,	
