cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.302343,	29.4218,	2.32426,	1.92744,	1.45503,	0.510204,	0.188964,	0.472411,	0.774754,	0.0377929,	1.0582,	1.0771,	1.17158,	0.529101,	0.736961,	0.718065,	0.623583,	0.151172,	0.302343,	0.359033,	1.88964,	0.377929,	0.340136,	0.85034,	0.453515,	0.453515,	1.0393,	0.302343,	0.510204,	0.132275,	0.623583,	1.0771,	0.472411,	2.45654,	0.812547,	0.26455,	0.718065,	3.1746,	0.699169,	1.19048,	0.491308,	0.26455,	0.151172,	0.245654,	0.226757,	0.26455,	0.359033,	0.0944822,	0.90703,	0.547997,	0.226757,	0.113379,	0.113379,	1.45503,	0.680272,	0.793651,	0.151172,	0.245654,	0.699169,	0.434618,	0.812547,	0.642479,	0.699169,	1.34165,	0.170068,	0.529101,	0.0188964,	1.09599,	1.34165,	0.151172,	0.604686,	1.5873,	0.170068,	0.529101,	0.812547,	0.604686,	2.56992,	0.0944822,	3.51474,	0.302343,	2.1164,	0.925926,	0.0755858,	0.340136,	1.15268,	0.736961,	1.68178,	0.113379,	1.41723,	0.207861,	0.0755858,	0.340136,	0.188964,	0.245654,	0.151172,	0.0566893,	0.302343,	0.113379,	0.453515,	1.26606,	
AoAF,	0.392087,	31.759,	3.36838,	2.74461,	1.33666,	0.356443,	0.0178221,	0.766352,	0.445553,	0.0712885,	0.801996,	0.855462,	1.03368,	0.124755,	0.463376,	0.516842,	0.445553,	0.124755,	0.320798,	0.605953,	2.58421,	0.0891107,	0.267332,	1.33666,	0.552486,	0.356443,	0.855462,	0.374265,	0.409909,	0.124755,	0.83764,	0.605953,	0.552486,	1.92479,	0.891107,	0.178221,	0.552486,	3.33274,	0.677241,	1.26537,	0.445553,	0.196043,	0.0356443,	0.392087,	0.231688,	0.196043,	0.267332,	0,	0.766352,	0.516842,	0.160399,	0.0891107,	0.0891107,	1.49706,	0.819818,	0.570308,	0.196043,	0.160399,	0.409909,	0.445553,	0.891107,	0.712885,	0.980217,	1.63964,	0.0891107,	0.392087,	0.0356443,	1.22973,	0.623775,	0.302976,	0.374265,	1.21191,	0.0356443,	0.24951,	0.659419,	0.552486,	2.42381,	0.0356443,	4.29513,	0.302976,	2.19212,	0.99804,	0.106933,	0.320798,	1.12279,	0.570308,	1.39013,	0.0712885,	1.65746,	0.106933,	0.0534664,	0.196043,	0.178221,	0.302976,	0.0712885,	0.106933,	0.285154,	0.106933,	0.481198,	0.83764,	
CD20+,	0.142799,	27.295,	2.83558,	1.65239,	1.93798,	0.489596,	0.163199,	0.673195,	0.428397,	0.0815993,	0.428397,	1.52999,	1.30559,	0.428397,	0.530396,	0.938393,	0.469196,	0.163199,	0.489596,	0.448796,	0.938393,	0.346797,	0.591595,	1.44839,	0.183599,	0.305998,	0.632395,	0.632395,	0.611995,	0.285598,	0.407997,	0.673195,	0.387597,	2.87638,	0.877193,	0.244798,	0.775194,	3.26397,	0.611995,	1.20359,	0.305998,	0.326397,	0.224398,	0.305998,	0.183599,	0.326397,	0.0611995,	0.183599,	1.50959,	0.489596,	0.183599,	0.122399,	0.0815993,	1.79519,	0.693594,	0.877193,	0.224398,	0.285598,	0.387597,	0.407997,	0.999592,	0.897593,	0.652795,	0.856793,	0.244798,	0.897593,	0,	1.28519,	1.67279,	0.346797,	0.407997,	2.06038,	0.0407997,	0.734394,	1.48919,	0.285598,	2.52958,	0.0815993,	4.28397,	0.367197,	1.34639,	0.877193,	0.101999,	0.224398,	1.08119,	1.38719,	1.59119,	0.0611995,	1.06079,	0.224398,	0.0611995,	0.203998,	0.244798,	0.285598,	0.142799,	0.0815993,	0.203998,	0.0815993,	0.489596,	1.40759,	
GM06990,	0.174782,	27.7154,	3.39576,	1.9226,	2.57179,	0.274657,	0.324594,	0.62422,	0.0499376,	0.0749064,	0.124844,	1.34831,	3.09613,	0.299625,	0.574282,	2.14732,	0.923845,	0.0998752,	0.399501,	1.1985,	0.649189,	0.324594,	0.19975,	3.69538,	0.0249688,	0.174782,	0.19975,	0.424469,	0.124844,	0.449438,	0.299625,	0.749064,	0.424469,	2.22222,	1.57303,	0.399501,	0.873908,	2.67166,	0.62422,	1.02372,	0.299625,	0.549313,	0.324594,	0.449438,	0.0499376,	0.0499376,	0.149813,	0.249688,	1.1236,	0.973783,	0.274657,	0.174782,	0.274657,	1.57303,	0.62422,	0.724095,	0.149813,	0.574282,	0.0749064,	0.549313,	0.299625,	0.674157,	0.124844,	0.474407,	0.0998752,	0.399501,	0.0749064,	0.948814,	1.77278,	0.124844,	0.574282,	2.24719,	0.19975,	0.574282,	1.79775,	0.499376,	1.94757,	0.0249688,	2.54682,	0.399501,	0.424469,	0.774032,	0.0249688,	0.499376,	0.948814,	1.49813,	1.17353,	0.124844,	0.474407,	0.674157,	0.0499376,	0.124844,	0.524345,	0.224719,	0.0998752,	0.174782,	0.0249688,	0.0249688,	0.274657,	2.37204,	
GM12865,	0.154321,	24.9807,	2.08333,	1.69753,	1.73611,	0.405093,	0.173611,	0.559414,	0.694444,	0.135031,	0.655864,	1.5625,	1.58179,	0.482253,	0.501543,	0.810185,	0.462963,	0.192901,	0.578704,	0.501543,	1.40818,	0.289352,	0.250772,	1.04167,	0.462963,	0.597994,	0.848765,	0.366512,	0.655864,	0.192901,	0.482253,	0.829475,	0.366512,	2.68133,	1.00309,	0.366512,	0.597994,	3.78086,	0.713735,	1.69753,	0.462963,	0.289352,	0.192901,	0.366512,	0.289352,	0.270062,	0.270062,	0.115741,	1.27315,	0.482253,	0.154321,	0.115741,	0.0771605,	1.87114,	0.559414,	0.675154,	0.154321,	0.212191,	0.443673,	0.443673,	1.1767,	0.790895,	0.578704,	1.25386,	0.192901,	0.482253,	0.0192901,	1.11883,	1.65895,	0.308642,	0.636574,	1.62037,	0.0385802,	0.424383,	1.62037,	0.655864,	3.00926,	0.0771605,	4.37886,	0.270062,	2.39198,	0.925926,	0.0771605,	0.192901,	1.1767,	1.33102,	1.52392,	0.0771605,	1.62037,	0.212191,	0.0771605,	0.192901,	0.212191,	0.173611,	0.0192901,	0.0771605,	0.250772,	0.115741,	0.289352,	1.44676,	
H7-hESC,	0.445682,	19.9814,	4.51253,	2.74838,	1.65274,	0.297122,	0.185701,	0.928505,	0.501393,	0.0185701,	0.891365,	0.928505,	1.20706,	0.259981,	0.538533,	0.631383,	0.538533,	0.185701,	0.482823,	0.649954,	2.33983,	0.278552,	0.297122,	1.44847,	0.334262,	0.761374,	0.687094,	0.445682,	0.427112,	0.315692,	0.594243,	0.612813,	0.649954,	2.33983,	1.26277,	0.129991,	0.557103,	4.06685,	0.779944,	1.54132,	0.538533,	0.185701,	0.204271,	0.612813,	0.445682,	0.408542,	0.259981,	0.0557103,	0.965645,	0.817084,	0.0742804,	0.0557103,	0.0742804,	1.54132,	0.538533,	0.519963,	0.241411,	0.334262,	0.557103,	0.427112,	1.41133,	0.872795,	1.0585,	1.57846,	0.167131,	0.464253,	0.0557103,	1.16992,	0.984215,	0.315692,	0.557103,	1.35562,	0.0371402,	0.427112,	0.798514,	0.594243,	2.69266,	0.0928505,	5.55246,	0.408542,	2.22841,	0.909935,	0.148561,	0.278552,	1.2442,	1.02136,	1.2442,	0.0928505,	2.45125,	0.111421,	0.0928505,	0.222841,	0.241411,	0.259981,	0.111421,	0.167131,	0.334262,	0.129991,	0.557103,	1.2442,	
HA-h,	0.658921,	11.4271,	2.51431,	1.95942,	1.43922,	0.658921,	0.260101,	0.988382,	1.09242,	0.225421,	0.901682,	1.3005,	1.10976,	0.867002,	0.849662,	0.762962,	0.658921,	0.312121,	0.953702,	0.988382,	1.16178,	0.312121,	0.606901,	1.02306,	0.693601,	0.520201,	0.901682,	0.762962,	0.797642,	0.277441,	0.867002,	0.988382,	0.728282,	2.56633,	1.26582,	0.450841,	0.710942,	2.91313,	1.23114,	1.40454,	0.554881,	0.745622,	0.589561,	0.728282,	0.485521,	0.658921,	0.346801,	0.225421,	1.14444,	0.693601,	0.242761,	0.260101,	0.20808,	1.94208,	1.10976,	0.901682,	0.312121,	0.658921,	0.606901,	0.832322,	1.54326,	1.3872,	1.14444,	1.50858,	0.416161,	1.0404,	0.0867002,	0.953702,	1.36986,	0.450841,	0.745622,	1.42188,	0.225421,	0.797642,	1.26582,	0.710942,	2.28889,	0.260101,	4.04023,	0.329461,	2.46229,	1.3005,	0.12138,	0.468181,	1.2138,	1.19646,	1.17912,	0.1734,	1.71666,	0.329461,	0.10404,	0.641581,	0.450841,	0.520201,	0.242761,	0.0693602,	0.485521,	0.242761,	0.589561,	1.14444,	
HAEpiC,	0.514874,	18.4211,	3.90923,	2.04043,	2.00229,	0.32418,	0.171625,	0.781846,	1.02975,	0.0381388,	1.1823,	1.35393,	1.02975,	0.457666,	0.533944,	1.06789,	0.438596,	0.0953471,	0.800915,	0.667429,	1.83066,	0.228833,	0.305111,	1.20137,	0.400458,	0.419527,	1.14416,	0.610221,	0.743707,	0.228833,	0.743707,	0.743707,	0.381388,	2.78413,	1.10603,	0.171625,	0.629291,	4.63387,	0.495805,	1.41114,	0.32418,	0.362319,	0.381388,	0.495805,	0.400458,	0.266972,	0.266972,	0.0381388,	1.33486,	0.686499,	0.190694,	0.190694,	0.190694,	1.43021,	0.457666,	0.667429,	0.190694,	0.476735,	0.591152,	0.800915,	1.10603,	0.839054,	0.724638,	1.77346,	0.152555,	0.762776,	0,	0.991609,	0.953471,	0.419527,	0.610221,	1.1823,	0.0572082,	0.438596,	0.724638,	0.495805,	2.42182,	0.0572082,	5.7971,	0.305111,	2.28833,	1.35393,	0.0953471,	0.32418,	1.1251,	1.23951,	1.01068,	0.171625,	1.8688,	0.190694,	0.0190694,	0.457666,	0.476735,	0.266972,	0.114416,	0.0381388,	0.209764,	0.247902,	0.476735,	1.39207,	
HCF,	0.221607,	32.6685,	1.99446,	2.3638,	1.58818,	0.387812,	0.0738689,	0.590951,	0.720222,	0.129271,	0.738689,	0.978763,	0.978763,	0.258541,	0.646353,	0.498615,	0.701754,	0.0923361,	0.277008,	0.498615,	2.23453,	0.313943,	0.277008,	0.720222,	0.387812,	0.369344,	0.831025,	0.33241,	0.33241,	0.221607,	0.720222,	0.923361,	0.277008,	2.1422,	0.683287,	0.129271,	0.738689,	2.28994,	0.849492,	1.27424,	0.424746,	0.313943,	0.110803,	0.461681,	0.350877,	0.166205,	0.129271,	0.0923361,	0.923361,	0.480148,	0.110803,	0.0923361,	0.0554017,	1.68052,	1.14497,	0.701754,	0.0738689,	0.369344,	0.554017,	0.406279,	1.0711,	0.720222,	0.831025,	1.16343,	0.0738689,	0.424746,	0.0184672,	0.849492,	1.2373,	0.221607,	0.406279,	1.27424,	0.110803,	0.221607,	0.66482,	0.554017,	2.17913,	0.110803,	3.3795,	0.535549,	2.40074,	0.978763,	0.0738689,	0.33241,	1.86519,	0.627886,	2.10526,	0.0184672,	1.31117,	0.240074,	0.0184672,	0.221607,	0.240074,	0.147738,	0.0738689,	0.0554017,	0.424746,	0.110803,	0.406279,	1.20037,	
HCM,	0.205954,	34.1884,	2.60251,	2.30294,	1.42295,	0.355739,	0.205954,	0.655308,	0.561693,	0.0748923,	0.7302,	0.674031,	0.805093,	0.374462,	0.524246,	0.655308,	0.674031,	0.131062,	0.468077,	0.355739,	2.11571,	0.262123,	0.393185,	0.805093,	0.505523,	0.355739,	0.7302,	0.299569,	0.468077,	0.0561693,	0.711477,	1.01105,	0.374462,	2.02209,	0.805093,	0.0936154,	0.468077,	3.14548,	0.711477,	1.08594,	0.617862,	0.299569,	0.149785,	0.393185,	0.224677,	0.262123,	0.168508,	0.0748923,	0.767646,	0.561693,	0.205954,	0.112339,	0.0374462,	1.36679,	0.748923,	0.7302,	0.149785,	0.149785,	0.449354,	0.374462,	0.842539,	0.823816,	0.748923,	1.08594,	0.168508,	0.262123,	0,	1.12339,	1.32934,	0.168508,	0.505523,	1.38551,	0.0561693,	0.2434,	0.898708,	0.599139,	2.00337,	0.0374462,	3.55739,	0.542969,	2.17188,	0.9736,	0.0374462,	0.2434,	1.25445,	0.842539,	1.72252,	0.0748923,	1.32934,	0.224677,	0.0374462,	0.355739,	0.149785,	0.337016,	0.131062,	0.0374462,	0.224677,	0.131062,	0.318292,	0.78637,	
