cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.301054,	11.992,	2.10738,	1.6558,	1.35474,	0,	0.451581,	0,	0.100351,	0.401405,	0.100351,	1.55544,	0.200702,	0.0501756,	0.351229,	0.752634,	0.200702,	1.45509,	4.3151,	1.80632,	1.00351,	1.8565,	0.752634,	2.00702,	0.351229,	1.6558,	0.100351,	1.30457,	0,	0.0501756,	0.351229,	0.200702,	0.100351,	0.451581,	7.47617,	0.100351,	0.0501756,	2.60913,	0.401405,	0.501756,	3.56247,	1.15404,	0.250878,	1.75615,	0.0501756,	0,	3.01054,	0.501756,	0.351229,	1.6558,	0.551932,	1.60562,	0.401405,	2.65931,	3.9137,	0.953337,	0.100351,	0.150527,	0,	0.852986,	0.0501756,	0.150527,	0.250878,	0.250878,	0,	0.100351,	0.0501756,	0.702459,	0.200702,	0.0501756,	0.200702,	1.15404,	0,	1.45509,	5.46914,	0.451581,	0.80281,	1.8565,	0.351229,	0.551932,	0,	0.100351,	0.250878,	0.150527,	0.0501756,	0.903161,	0.451581,	0,	0.953337,	0.250878,	0.301054,	0.100351,	1.20421,	4.86703,	0.501756,	0,	0,	0.501756,	0.80281,	0.551932,	
AoAF,	0.343137,	12.3039,	1.32353,	2.40196,	2.20588,	0.0490196,	0.539216,	0.0490196,	0.0980392,	0.392157,	0.0980392,	1.66667,	0.294118,	0.294118,	0.0980392,	1.02941,	0.147059,	1.56863,	4.95098,	1.51961,	0.441177,	2.5,	0.294118,	2.2549,	0.441177,	1.27451,	0.0980392,	1.27451,	0.0490196,	0.196078,	0.441177,	0.196078,	0.294118,	0.392157,	8.62745,	0.147059,	0.147059,	3.28431,	0.196078,	0.637255,	2.94118,	1.02941,	0.245098,	1.96078,	0,	0.0490196,	1.96078,	0.441177,	0.343137,	1.51961,	0.882353,	1.12745,	0.588235,	2.59804,	2.5,	1.27451,	0.245098,	0.0980392,	0,	1.17647,	0.0980392,	0.343137,	0.0980392,	0.294118,	0.0490196,	0.196078,	0.0490196,	0.637255,	0.245098,	0.196078,	0.0490196,	1.02941,	0.294118,	1.71569,	4.60784,	0.588235,	0.637255,	2.5,	0.539216,	0.343137,	0.196078,	0.0980392,	0.147059,	0.0490196,	0.245098,	0.588235,	0.637255,	0.0490196,	0.441177,	0.294118,	0.343137,	0,	0.980392,	3.72549,	0.588235,	0,	0,	0.294118,	1.02941,	0.245098,	
CD20+,	0.150602,	20.1807,	5.37149,	1.30522,	1.70683,	0.150602,	0.100402,	0.0502008,	0.401606,	0.451807,	0.200803,	0.953815,	0.100402,	0.301205,	0.351406,	0.60241,	0.351406,	1.20482,	1.65663,	1.65663,	1.10442,	1.00402,	2.45984,	0.903614,	0.351406,	1.85743,	0.301205,	1.50602,	0.0502008,	0.100402,	0.351406,	0.100402,	0.251004,	0.451807,	1.60643,	0.0502008,	0.451807,	2.71084,	0.552209,	0.502008,	1.75703,	0.401606,	0.150602,	1.50602,	0.0502008,	0.100402,	2.15863,	0.351406,	0.552209,	1.20482,	0.502008,	1.65663,	0.301205,	6.3755,	4.16667,	1.00402,	0.251004,	0.0502008,	0,	0.351406,	0,	0.451807,	0.853414,	0.451807,	0.100402,	0.301205,	0.0502008,	0.65261,	0.251004,	0.251004,	0,	1.75703,	0.0502008,	1.15462,	1.50602,	0.702811,	1.70683,	2.61044,	0.301205,	1.35542,	0.200803,	0.100402,	0,	0.251004,	0.60241,	0.753012,	0.803213,	0.0502008,	0.401606,	0.200803,	0.0502008,	0.0502008,	0.401606,	2.91165,	0.351406,	0,	0,	0.0502008,	0.853414,	0.65261,	
GM06990,	0.214477,	16.193,	2.7882,	1.93029,	2.35925,	0.643432,	0.0536193,	0.697051,	0.0536193,	3.00268,	0.214477,	0.857909,	12.118,	0.0536193,	1.98391,	0.214477,	1.34048,	0.0536193,	0.214477,	0.160858,	0.321716,	0.0536193,	0.536193,	0.428954,	0,	0.107239,	0.482574,	0.107239,	0.107239,	0.214477,	0.160858,	1.82306,	1.28686,	0.80429,	0.0536193,	0.643432,	0.375335,	0.536193,	2.68097,	6.75603,	0.160858,	0.0536193,	0,	0.321716,	0.214477,	0.0536193,	0.0536193,	0,	0.965147,	0.214477,	0,	0.0536193,	0.0536193,	2.62735,	0.857909,	0.589812,	0.0536193,	0.268097,	0.375335,	0.536193,	0.321716,	2.94906,	2.41287,	1.34048,	0,	0.375335,	0.268097,	2.94906,	2.73458,	0.375335,	0.214477,	0.80429,	0.214477,	0.0536193,	0.697051,	0.75067,	2.52011,	0,	0.589812,	0.160858,	0.321716,	0.0536193,	0.107239,	2.94906,	0.643432,	0.321716,	1.17962,	0.0536193,	0.107239,	0.0536193,	0.107239,	0.214477,	0,	0.643432,	0,	0.75067,	1.3941,	0.107239,	0.268097,	0.911528,	
GM12865,	0.049456,	11.9683,	1.58259,	2.0277,	1.2364,	0.049456,	0.296736,	0.098912,	0.346192,	0.593472,	0.049456,	1.38477,	0.346192,	0.296736,	0.197824,	0.692384,	0.098912,	1.48368,	4.50049,	2.12661,	0.395648,	1.63205,	0.98912,	1.82987,	0.692384,	1.82987,	0.148368,	0.939664,	0.049456,	0,	0.642928,	0.049456,	0.098912,	0.395648,	7.36894,	0.049456,	0.098912,	3.46192,	0.197824,	0.395648,	3.01681,	1.33531,	0.148368,	1.6815,	0,	0,	3.06627,	0.593472,	0.296736,	1.6815,	0.840752,	2.4728,	0.593472,	2.32443,	3.21464,	1.03858,	0.148368,	0.098912,	0.049456,	1.18694,	0,	0.296736,	0.296736,	0.395648,	0.049456,	0,	0,	0.74184,	0.148368,	0.148368,	0.049456,	0.840752,	0.098912,	1.73096,	3.90702,	0.445104,	0.395648,	2.9179,	0.445104,	0.346192,	0,	0.098912,	0.098912,	0.098912,	0.049456,	0.692384,	0.642928,	0,	0.840752,	0.098912,	0.24728,	0.049456,	0.890208,	5.34125,	0.593472,	0,	0,	0.49456,	1.33531,	0.692384,	
H7-hESC,	0.396629,	9.9653,	1.78483,	1.93356,	1.58651,	0.0991572,	0.446207,	0.148736,	0.0495786,	0.34705,	0.198314,	1.14031,	0.198314,	0.198314,	0.0991572,	0.941993,	0.0991572,	1.18989,	5.75112,	1.23946,	0.6941,	2.57809,	0.644522,	1.83441,	0.198314,	1.53694,	0.247893,	1.04115,	0,	0.0991572,	0.34705,	0,	0.148736,	0.446207,	9.61825,	0.148736,	0.0991572,	4.46207,	0.34705,	0.644522,	2.82598,	1.33862,	0.148736,	1.78483,	0,	0.0495786,	1.73525,	0.495786,	0.396629,	1.3882,	1.43778,	1.33862,	0.34705,	2.03272,	2.42935,	1.28904,	0.198314,	0.0495786,	0.0991572,	1.33862,	0.0495786,	0.198314,	0.198314,	0.396629,	0.0495786,	0.0495786,	0.0991572,	0.644522,	0.148736,	0.0495786,	0,	0.892414,	0.0991572,	1.53694,	5.70154,	0.297471,	0.842836,	2.18146,	0.644522,	0.34705,	0.0991572,	0.247893,	0.198314,	0.0991572,	0.0495786,	0.594943,	0.446207,	0,	0.793257,	0.0991572,	0.198314,	0.0495786,	1.98314,	4.41249,	0.644522,	0,	0,	0.545364,	0.892414,	0.545364,	
HA-h,	0.192308,	12.8846,	2.40385,	1.34615,	1.63462,	0.0961538,	0.336538,	0.0961538,	0.0480769,	0.480769,	0.192308,	1.05769,	0.192308,	0.288462,	0.432692,	0.721154,	0.336538,	2.06731,	4.75962,	0.721154,	0.769231,	1.97115,	0.817308,	1.05769,	0.384615,	2.5,	0.240385,	1.29808,	0.0480769,	0.0961538,	1.05769,	0.0480769,	0.384615,	0.673077,	3.50962,	0.0961538,	0.192308,	2.45192,	0.432692,	0.432692,	3.02885,	0.721154,	0.528846,	2.35577,	0.192308,	0,	2.69231,	1.39423,	0.144231,	1.68269,	1.00962,	2.45192,	0.769231,	4.47115,	2.83654,	1.29808,	0.192308,	0.0480769,	0,	1.15385,	0,	0.480769,	0.432692,	0.817308,	0,	0.0480769,	0.192308,	1.00962,	0.288462,	0.144231,	0.0480769,	1.63462,	0.0480769,	1.875,	1.97115,	0.673077,	0.432692,	3.94231,	0.576923,	0.480769,	0.240385,	0.288462,	0.336538,	0.0961538,	0.144231,	0.865385,	0.528846,	0.0480769,	0.721154,	0.144231,	0.432692,	0.0480769,	0.721154,	2.01923,	0.528846,	0,	0.0480769,	0.144231,	1.25,	0.576923,	
HAEpiC,	0.151134,	13.2997,	3.77834,	1.8136,	1.91436,	0.100756,	0.403023,	0.0503778,	0.302267,	0.604534,	0.100756,	1.25945,	0.151134,	0.302267,	0.554156,	0.554156,	0.453401,	1.05793,	4.83627,	1.8136,	1.05793,	0.856423,	2.267,	1.46096,	0.352645,	1.61209,	0.151134,	2.01511,	0.0503778,	0.100756,	1.05793,	0.100756,	0.251889,	0.302267,	3.67758,	0.100756,	0.100756,	5.94458,	0.957179,	0.554156,	2.77078,	0.302267,	0.251889,	2.16625,	0.100756,	0,	1.30982,	0.251889,	0.403023,	1.71285,	0.453401,	1.41058,	0.453401,	4.28212,	2.77078,	1.00756,	0.100756,	0.0503778,	0.0503778,	0.604534,	0,	0.302267,	0.352645,	0.503778,	0.0503778,	0.151134,	0,	0.352645,	0.201511,	0.201511,	0.0503778,	1.20907,	0.100756,	1.25945,	2.41814,	0.806045,	1.30982,	2.267,	0.151134,	0.906801,	0.100756,	0.201511,	0.251889,	0.100756,	0.403023,	1.10831,	0.755668,	0.0503778,	0.957179,	0.151134,	0.151134,	0.100756,	0.654912,	3.32494,	0.403023,	0,	0,	0.100756,	0.806045,	0.856423,	
HCF,	0.0987654,	9.62963,	1.18519,	1.87654,	1.87654,	0.0987654,	0.493827,	0.0493827,	0.0987654,	0.345679,	0.0493827,	0.938272,	0.197531,	0.0493827,	0.246914,	0.839506,	0.246914,	1.28395,	3.90123,	1.67901,	0.691358,	2.32099,	0.691358,	1.4321,	0.493827,	1.48148,	0.148148,	1.28395,	0.148148,	0.0987654,	0.54321,	0.197531,	0,	0.691358,	8.49383,	0.0987654,	0.148148,	3.30864,	0.493827,	0.592593,	3.65432,	1.23457,	0.148148,	1.62963,	0.0987654,	0,	2.5679,	0.740741,	0.493827,	1.72839,	1.03704,	1.82716,	0.296296,	2.32099,	3.80247,	1.33333,	0.197531,	0.0987654,	0.0493827,	1.58025,	0.0493827,	0.296296,	0.148148,	0.395062,	0,	0.197531,	0,	0.395062,	0.0987654,	0.197531,	0.0493827,	1.08642,	0.0493827,	1.92593,	5.67901,	0.592593,	0.296296,	2.66667,	0.345679,	0.296296,	0.148148,	0.148148,	0,	0.148148,	0.493827,	1.03704,	0.592593,	0.0493827,	0.740741,	0.296296,	0.444444,	0,	1.1358,	4.39506,	0.641975,	0,	0,	0.395062,	0.888889,	0.296296,	
HCM,	0.248262,	12.86,	2.63158,	1.9861,	1.34062,	0.0496524,	0.19861,	0.0496524,	0.19861,	0.744787,	0.0496524,	1.0427,	0.0496524,	0.496524,	0.297915,	0.844091,	0.148957,	1.0427,	5.16385,	2.13505,	0.546177,	1.48957,	1.63853,	1.0427,	0.595829,	2.43297,	0.19861,	0.993049,	0,	0.0496524,	0.794439,	0.0496524,	0.0993049,	0.446872,	4.51837,	0.0993049,	0.148957,	4.27011,	0.645482,	0.546177,	3.1281,	0.844091,	0.397219,	1.88679,	0.0993049,	0,	2.53227,	0.645482,	0.248262,	1.14201,	0.844091,	2.28401,	0.297915,	3.37637,	2.68123,	0.943396,	0.148957,	0.0993049,	0,	0.844091,	0,	0.297915,	0.297915,	0.546177,	0.0496524,	0.19861,	0.0993049,	0.397219,	0.148957,	0.248262,	0,	1.48957,	0.0993049,	1.63853,	3.37637,	0.645482,	0.695134,	2.92949,	0.446872,	0.397219,	0.148957,	0.347567,	0.148957,	0.0993049,	0.248262,	0.844091,	0.645482,	0,	1.0427,	0.248262,	0.297915,	0.0993049,	0.794439,	4.02185,	0.446872,	0.0496524,	0,	0.19861,	1.39027,	0.297915,	
