cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.313566,	18.9615,	0.848474,	1.80762,	0.783916,	0.461127,	0.424237,	1.49405,	0.0922254,	0.47035,	0.156783,	0.968367,	7.24892,	0.461127,	1.2266,	1.35571,	1.20815,	0.0368902,	0.0276676,	0.119893,	0.175228,	0.175228,	0.212118,	0.691691,	0.101448,	0.166006,	0.50724,	0.212118,	2.36097,	1.72461,	0.0645578,	0.894586,	0.350457,	4.67583,	0.156783,	0.147561,	0.977589,	0.461127,	0.295121,	4.00258,	0.295121,	0.488795,	0.0276676,	0.119893,	0.0184451,	0.267454,	0.0368902,	0.0553352,	3.32934,	0.147561,	0.0461127,	0.0922254,	0.636355,	0.793138,	0.415014,	0.378124,	0.424237,	1.05137,	0.58102,	0.221341,	1.85373,	0.940699,	0.166006,	0.184451,	0.0461127,	0.857696,	0.11067,	1.40183,	2.17652,	0.119893,	0.968367,	1.38338,	0.0184451,	0.276676,	1.72461,	0.0368902,	1.95518,	0,	7.52559,	0.129116,	1.7984,	0.534907,	0.0645578,	0.700913,	2.96044,	0.820806,	1.00526,	0.0737803,	0.710136,	0.415014,	0.0645578,	0.0461127,	0.451904,	0.221341,	0.0368902,	0.719358,	0.627133,	0.156783,	0.0184451,	0.451904,	
AoAF,	0.196229,	17.0975,	0.810511,	2.16705,	0.981145,	0.426585,	0.520433,	1.45892,	0.119444,	0.170634,	0.238887,	0.981145,	6.33052,	0.443648,	1.32241,	1.01527,	1.36507,	0.0511902,	0.0597219,	0.153571,	0.213292,	0.153571,	0.136507,	0.614282,	0.162102,	0.230356,	0.708131,	0.179166,	2.57657,	1.74047,	0.0767853,	0.887296,	0.332736,	5.02517,	0.187697,	0.179166,	0.947018,	0.588687,	0.213292,	2.88371,	0.435116,	0.528965,	0.0341268,	0.179166,	0.0255951,	0.332736,	0.0682536,	0.0938486,	3.498,	0.196229,	0.0085317,	0.0255951,	0.844638,	0.810511,	0.631345,	0.494838,	0.45218,	1.30535,	0.631345,	0.324204,	1.99642,	0.725194,	0.196229,	0.110912,	0.0426585,	1.08353,	0.0767853,	1.32241,	1.56983,	0.145039,	1.05793,	1.17737,	0.0511902,	0.307141,	1.74047,	0.0597219,	1.40773,	0.0170634,	7.95154,	0.085317,	2.29503,	0.639877,	0.0426585,	0.691067,	4.0099,	0.784916,	1.22003,	0.10238,	0.861701,	0.60575,	0.0597219,	0.0682536,	0.477775,	0.10238,	0.0426585,	0.870233,	0.409521,	0.213292,	0.0597219,	0.45218,	
CD20+,	0.329969,	22.3311,	0.786102,	2.46506,	1.07725,	0.718168,	0.329969,	2.56211,	0.0873447,	0.795807,	0.164984,	0.892857,	5.81328,	0.756988,	0.815217,	1.25194,	0.815217,	0.0388199,	0.0194099,	0.0776398,	0.13587,	0.11646,	0.465839,	0.630823,	0.368789,	0.184394,	0.310559,	0.174689,	1.28106,	1.02873,	0.126165,	1.86335,	0.456134,	3.93051,	0.15528,	0.300854,	0.786102,	0.417314,	0.621118,	2.48447,	0.291149,	0.436724,	0.0291149,	0.0776398,	0.0776398,	0.252329,	0.00970497,	0.0582298,	2.3486,	0.194099,	0,	0.0291149,	0.359084,	0.640528,	0.601708,	0.543478,	0.164984,	0.863742,	0.679348,	0.252329,	1.86335,	0.718168,	0.514363,	0.13587,	0.0194099,	0.854037,	0.0776398,	1.24224,	3.3191,	0.174689,	0.669643,	1.5722,	0.11646,	0.223214,	1.7663,	0.0485248,	3.97904,	0.00970497,	6.49262,	0.11646,	1.37811,	0.494953,	0.0873447,	0.553183,	1.69837,	0.873447,	1.19371,	0.0388199,	0.485248,	0.271739,	0.0679348,	0.0679348,	0.407609,	0.262034,	0.0291149,	0.543478,	0.844332,	0.145575,	0.0776398,	0.689053,	
GM06990,	0.359669,	26.9392,	1.57055,	1.24685,	1.33078,	0.419614,	0.251768,	0.359669,	0.215801,	0.179835,	0.167846,	1.29481,	0.659393,	0.947129,	0.179835,	2.63757,	0.22779,	0.191824,	0.335691,	0.69536,	0.635415,	0.491548,	0.767294,	4.26807,	0.107901,	0.335691,	0.0959118,	0.527515,	0.0839228,	0.11989,	0.167846,	1.06702,	0.215801,	2.17,	2.37382,	0.263757,	0.779283,	2.80542,	0.419614,	1.00707,	0.971107,	2.17,	0.239779,	0.623426,	0.011989,	0.0719338,	0.539504,	0.0359669,	1.58254,	0.983096,	0.371658,	0.155857,	0.203812,	0.983096,	1.72641,	0.707349,	0.0719338,	0.323702,	0.0239779,	0.407625,	0.167846,	0.215801,	0.311713,	0.203812,	0.107901,	0.299724,	0.0239779,	0.635415,	3.24901,	0.0719338,	0.407625,	1.79835,	0.263757,	0.69536,	5.44299,	0.0959118,	3.83647,	0.167846,	1.35475,	0.167846,	0.287735,	0.107901,	0.0719338,	0.0839228,	0.383647,	1.49862,	1.76238,	0,	0.551493,	0.58746,	0.0359669,	0.0479559,	0.419614,	1.22287,	0.22779,	0.0359669,	0.107901,	0.0599448,	0.659393,	1.21089,	
GM12865,	0.267306,	19.8636,	1.04157,	1.59462,	1.17983,	0.516177,	0.479307,	1.50244,	0.129044,	0.553046,	0.165914,	0.875657,	7.12508,	0.488524,	1.20748,	1.06922,	1.29044,	0.0368698,	0.0368698,	0.184349,	0.147479,	0.119827,	0.230436,	1.09688,	0.138262,	0.202784,	0.451655,	0.165914,	1.63149,	1.67757,	0.0737395,	1.02314,	0.405567,	4.99585,	0.313393,	0.221219,	0.875657,	0.7927,	0.276523,	3.34593,	0.267306,	0.387132,	0.0368698,	0.138262,	0.00921744,	0.267306,	0.0276523,	0.082957,	2.62697,	0.175131,	0.0276523,	0.0276523,	0.765047,	0.801917,	0.414785,	0.43322,	0.230436,	0.801917,	0.525394,	0.442437,	1.52088,	0.967831,	0.387132,	0.147479,	0.00921744,	0.857222,	0.0368698,	1.61305,	2.46106,	0.101392,	0.848004,	1.36418,	0.00921744,	0.341045,	1.82505,	0.0737395,	2.26749,	0,	7.22647,	0.0553046,	1.39183,	0.608351,	0.082957,	0.654438,	2.23984,	0.967831,	1.41949,	0.082957,	0.562264,	0.424002,	0.0184349,	0.0645221,	0.488524,	0.221219,	0.0184349,	0.608351,	0.866439,	0.165914,	0.0737395,	0.645221,	
H7-hESC,	0.178003,	21.1823,	0.824433,	1.87371,	0.964962,	0.402848,	0.543376,	1.62076,	0.0468428,	0.19674,	0.159266,	1.1617,	6.40809,	0.337268,	1.23665,	1.38655,	1.07738,	0.0655799,	0.0281057,	0.121791,	0.149897,	0.187371,	0.140528,	0.702642,	0.13116,	0.346637,	0.815065,	0.224845,	1.88308,	1.47086,	0.112423,	0.712011,	0.252951,	5.16208,	0.243583,	0.149897,	1.1617,	0.477797,	0.252951,	2.16414,	0.356005,	0.580851,	0.0187371,	0.121791,	0.0187371,	0.26232,	0.0562114,	0.0562114,	3.20405,	0.224845,	0,	0.0749485,	0.815065,	0.768222,	0.580851,	0.412217,	0.356005,	1.20854,	0.562114,	0.346637,	1.35844,	0.871276,	0.215477,	0.084317,	0.00936856,	0.871276,	0.103054,	1.41465,	1.58329,	0.0749485,	0.918119,	1.57392,	0.0468428,	0.318531,	2.18287,	0.0562114,	1.49897,	0,	7.8977,	0.0749485,	2.00487,	0.637062,	0.0281057,	0.618325,	2.87615,	0.927487,	1.26476,	0.0655799,	0.758853,	0.524639,	0.0187371,	0.0187371,	0.655799,	0.121791,	0.0749485,	0.571482,	0.580851,	0.084317,	0.0562114,	0.374742,	
HA-h,	0.435146,	16.5523,	1.23849,	2.33473,	0.861925,	0.535565,	0.485356,	1.88285,	0.117155,	0.292887,	0.267782,	1.11297,	5.93305,	0.493724,	1.2636,	0.870293,	1.32218,	0.083682,	0.0920502,	0.225941,	0.150628,	0.225941,	0.225941,	0.569038,	0.32636,	0.225941,	0.945607,	0.351464,	2.2092,	1.6569,	0.133891,	0.937239,	0.635983,	3.76569,	0.1841,	0.1841,	0.979079,	0.384937,	0.309623,	2.54393,	0.384937,	0.527197,	0.0502092,	0.217573,	0.0753138,	0.359833,	0.083682,	0.167364,	3.33891,	0.209205,	0.0334728,	0.0920502,	0.811716,	0.719665,	0.677824,	0.711297,	0.51046,	1.18828,	0.74477,	0.317992,	2.12552,	1.16318,	0.259414,	0.175732,	0.0167364,	1.06276,	0.150628,	1.51464,	1.52301,	0.158996,	1.07113,	1.38075,	0.0502092,	0.401674,	1.86611,	0.0753138,	1.72385,	0.0167364,	6.41004,	0.0920502,	2.33473,	0.845188,	0.0502092,	0.803347,	3.27197,	0.803347,	1.15481,	0.100418,	0.569038,	0.627615,	0.0585774,	0.0920502,	0.719665,	0.251046,	0.100418,	0.903766,	0.60251,	0.242678,	0.0669456,	0.594142,	
HAEpiC,	0.147208,	19.5694,	0.699236,	2.28172,	0.920048,	0.37722,	0.395621,	2.42893,	0.0644033,	0.460024,	0.156408,	1.00285,	6.21952,	0.395621,	1.21446,	1.18686,	1.05806,	0.0552029,	0.018401,	0.128807,	0.128807,	0.147208,	0.285215,	0.460024,	0.211611,	0.230012,	0.644033,	0.174809,	2.12531,	1.64689,	0.0828043,	0.975251,	0.469224,	4.71985,	0.0920048,	0.174809,	0.864845,	0.303616,	0.294415,	2.51173,	0.423222,	0.625633,	0.0276014,	0.138007,	0.0276014,	0.303616,	0.0368019,	0.0552029,	2.76014,	0.174809,	0.00920048,	0.018401,	0.809642,	0.487625,	0.717637,	0.515227,	0.404821,	1.27887,	0.506026,	0.349618,	1.60088,	0.708437,	0.276014,	0.0920048,	0.0368019,	1.04885,	0.0736038,	1.15006,	2.09771,	0.138007,	0.975251,	1.40767,	0.0276014,	0.220811,	1.80329,	0.018401,	1.9229,	0.00920048,	8.02282,	0.0920048,	2.30932,	0.809642,	0.0276014,	0.809642,	3.28457,	0.708437,	1.11326,	0.138007,	0.754439,	0.515227,	0.0460024,	0.0368019,	0.561229,	0.340418,	0.0644033,	0.441623,	0.736038,	0.119606,	0.0460024,	0.423222,	
HCF,	0.355745,	16.4354,	0.951619,	2.20562,	0.791533,	0.506937,	0.506937,	1.672,	0.0711491,	0.364639,	0.168979,	1.03166,	7.47065,	0.453575,	1.1117,	1.08502,	1.29847,	0.0444682,	0.0444682,	0.151192,	0.204554,	0.124511,	0.133404,	0.622554,	0.19566,	0.0711491,	0.809321,	0.124511,	2.41907,	2.17894,	0.0711491,	0.898257,	0.453575,	4.07328,	0.302383,	0.115617,	0.960512,	0.613661,	0.213447,	4.19779,	0.48915,	0.631448,	0.0177873,	0.115617,	0.0444682,	0.266809,	0,	0.0800427,	3.55745,	0.213447,	0.00889363,	0.0444682,	0.827108,	0.667022,	0.409107,	0.498043,	0.435788,	1.07613,	0.675916,	0.337958,	1.70758,	0.791533,	0.275703,	0.204554,	0.0444682,	1.00498,	0.124511,	1.45856,	1.83209,	0.160085,	1.00498,	1.20953,	0.0355745,	0.249022,	1.65422,	0.0444682,	1.60085,	0,	7.22163,	0.142298,	2.20562,	0.916044,	0.0622554,	0.791533,	3.04162,	0.827108,	1.07613,	0.0622554,	0.747065,	0.453575,	0.0177873,	0.0800427,	0.551405,	0.177873,	0.09783,	0.871576,	0.68481,	0.168979,	0.0711491,	0.426894,	
HCM,	0.297861,	16.0845,	0.713061,	2.076,	0.803322,	0.397148,	0.559617,	1.79619,	0.0541565,	0.352017,	0.180522,	1.20047,	7.32016,	0.550591,	1.67885,	1.0741,	1.25463,	0.0722087,	0.0361043,	0.16247,	0.180522,	0.135391,	0.216626,	0.568643,	0.126365,	0.198574,	0.676956,	0.198574,	2.64464,	2.23847,	0.0812348,	0.8304,	0.595722,	4.41376,	0.171496,	0.0992869,	0.821374,	0.442278,	0.171496,	3.74583,	0.37007,	0.505461,	0.0180522,	0.108313,	0.0180522,	0.279809,	0.0451304,	0.108313,	3.70972,	0.126365,	0.00902609,	0.0541565,	0.893583,	0.631826,	0.559617,	0.451304,	0.406174,	1.25463,	0.731113,	0.342991,	1.8323,	0.902609,	0.234678,	0.16247,	0.00902609,	0.857478,	0.135391,	1.22755,	1.87743,	0.171496,	1.14631,	1.13729,	0.0361043,	0.306887,	1.52541,	0.0722087,	1.59762,	0,	7.64509,	0.0812348,	1.9045,	0.839426,	0.0631826,	0.8304,	3.3577,	0.568643,	1.04703,	0.117339,	0.776243,	0.631826,	0.0631826,	0.0631826,	0.640852,	0.171496,	0.0541565,	0.785269,	0.649878,	0.171496,	0.0541565,	0.406174,	
