cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.256881,	16.1835,	2.28746,	2.01835,	1.98165,	0.428135,	0.954128,	0.220183,	0.244648,	0.35474,	0.171254,	0.721713,	2.31193,	0.269113,	0.905199,	0.550459,	0.966361,	0.489297,	1.95719,	0.990826,	1.29664,	0.941896,	0.269113,	2.62997,	0.672783,	0.40367,	0.281346,	0.795107,	0.35474,	0.538226,	0.269113,	0.733945,	0.452599,	1.16208,	1.48012,	0.293578,	0.366972,	3.97554,	0.599388,	1.19878,	1.98165,	0.892966,	0.0611621,	1.48012,	0.269113,	0.0244648,	0.746177,	0.990826,	1.99388,	1.41896,	0.672783,	0.244648,	2.2263,	1.05199,	1.76147,	0.75841,	0.452599,	0.220183,	0.232416,	0.452599,	0.183486,	1.05199,	0.562691,	0.587156,	0.0244648,	0.318043,	0.134557,	1.61468,	1.13761,	0.256881,	0.195719,	1.72477,	0.0489297,	0.697248,	4.18349,	0.746177,	1.2844,	0.207951,	1.49235,	0.440367,	0.868502,	0.574924,	0.171254,	0.440367,	0.941896,	0.599388,	1.79817,	0.0978593,	0.844037,	0.269113,	0.232416,	0.159021,	1.76147,	0.75841,	0.464832,	0.171254,	0.134557,	0.501529,	0.244648,	1.16208,	
AoAF,	0.286396,	16.9332,	2.08831,	2.57757,	1.87351,	0.417661,	0.966587,	0.322196,	0.190931,	0.369928,	0.429594,	0.71599,	2.11217,	0.22673,	0.966587,	0.548926,	1.19332,	0.52506,	1.56325,	1.00239,	1.36038,	0.97852,	0.393795,	2.45823,	0.584725,	0.536993,	0.274463,	0.811456,	0.190931,	0.405728,	0.202864,	0.775656,	0.560859,	1.39618,	1.49165,	0.131265,	0.334129,	3.69928,	0.608592,	1.22912,	2.35084,	0.871122,	0.071599,	1.44391,	0.477327,	0.0238663,	0.560859,	0.572792,	2.05251,	1.63484,	0.656325,	0.167064,	2.27924,	0.739857,	1.87351,	0.954654,	0.465394,	0.346062,	0.131265,	0.405728,	0.178998,	0.811456,	0.632458,	0.692124,	0.0119332,	0.310263,	0.0954654,	1.80191,	1.03819,	0.107399,	0.178998,	1.67064,	0.0954654,	0.465394,	3.93795,	0.680191,	1.12172,	0.26253,	1.37231,	0.48926,	0.883055,	0.405728,	0.190931,	0.560859,	1.31265,	0.656325,	2.01671,	0.0954654,	1.05012,	0.274463,	0.143198,	0.155131,	1.95704,	0.560859,	0.48926,	0.202864,	0.0835322,	0.286396,	0.202864,	0.704057,	
CD20+,	0.550898,	15.485,	1.94012,	1.86826,	2.0479,	0.51497,	0.790419,	0.45509,	0.287425,	0.251497,	0.335329,	0.754491,	2.32335,	0.287425,	0.670659,	0.646707,	0.742515,	0.479042,	1.56886,	1.13772,	1.20958,	0.814371,	0.610778,	3.24551,	0.502994,	0.443114,	0.179641,	0.790419,	0.467066,	0.622755,	0.407186,	0.766467,	0.550898,	1.29341,	1.43713,	0.227545,	0.383234,	3.90419,	0.622755,	1.56886,	1.79641,	0.766467,	0.0718563,	1.18563,	0.407186,	0.0359281,	0.790419,	0.682635,	1.77246,	1.22156,	0.862275,	0.191617,	2.0479,	0.934132,	1.64072,	1.23353,	0.538922,	0.287425,	0.131737,	0.682635,	0.191617,	0.826347,	0.550898,	0.622755,	0.0239521,	0.359281,	0.227545,	1.56886,	1.18563,	0.227545,	0.227545,	1.71257,	0.0718563,	0.802395,	4.16767,	0.730539,	1.26946,	0.383234,	2.01198,	0.311377,	0.586826,	0.550898,	0.215569,	0.407186,	1.04192,	0.622755,	1.36527,	0.0838323,	0.706587,	0.323353,	0.335329,	0.143713,	2.01198,	0.694611,	0.491018,	0.0958084,	0.107784,	0.467066,	0.407186,	1.4012,	
GM06990,	0.42661,	22.1837,	3.09292,	2.21304,	1.05319,	0.999867,	0.319957,	0.639915,	0.866551,	0.333289,	0.413278,	1.82642,	1.05319,	0.933209,	0.59992,	1.39981,	0.386615,	0.17331,	0.466604,	0.239968,	1.49313,	0.386615,	0.77323,	0.879883,	0.199973,	0.42661,	1.0132,	0.959872,	0.693241,	0.333289,	0.519931,	0.933209,	0.733236,	2.11972,	0.59992,	0.399947,	0.999867,	2.73297,	0.813225,	0.786562,	0.586588,	0.813225,	0.893214,	0.186642,	0.199973,	0.586588,	0.159979,	0.199973,	0.733236,	0.413278,	0.119984,	0.399947,	0.133316,	2.18638,	1.37315,	0.626583,	0.106652,	0.493268,	0.293294,	0.719904,	0.986535,	0.386615,	1.53313,	1.34649,	0.613252,	1.02653,	0.0399947,	0.879883,	1.46647,	0.333289,	0.919877,	1.65311,	0.42661,	0.59992,	1.62645,	0.34662,	3.11958,	0.133316,	2.21304,	0.399947,	0.693241,	0.85322,	0.0799893,	0.519931,	1.06652,	1.27983,	1.35982,	0.0266631,	1.30649,	0.373284,	0.119984,	0.266631,	0.119984,	0.493268,	0.133316,	0.0933209,	0.226636,	0.0399947,	0.693241,	1.55979,	
GM12865,	0.27129,	16.9733,	2.07596,	1.91083,	1.94621,	0.294881,	0.979005,	0.212314,	0.200519,	0.318471,	0.294881,	0.613352,	2.477,	0.188724,	0.76669,	0.76669,	1.14414,	0.636943,	1.7221,	0.908233,	1.27389,	0.778486,	0.412833,	2.74829,	0.625147,	0.577967,	0.365652,	0.731305,	0.306676,	0.4954,	0.283086,	0.872847,	0.542581,	1.43902,	1.55697,	0.165133,	0.294881,	3.34985,	0.648738,	1.35645,	1.89903,	0.920028,	0.0707714,	1.4862,	0.412833,	0.0353857,	0.920028,	0.837462,	1.71031,	1.17952,	0.577967,	0.176929,	2.18212,	0.908233,	1.4862,	0.979005,	0.460014,	0.2477,	0.212314,	0.577967,	0.176929,	1.03798,	0.4954,	0.577967,	0.0235905,	0.283086,	0.129748,	1.58056,	1.33286,	0.188724,	0.212314,	1.68672,	0.0589762,	0.483605,	4.28167,	0.837462,	1.19132,	0.235905,	1.69851,	0.342062,	1.01439,	0.636943,	0.153338,	0.530786,	0.884643,	0.719509,	1.87544,	0.0943619,	0.849257,	0.2477,	0.129748,	0.129748,	1.85185,	0.613352,	0.589762,	0.0589762,	0.188724,	0.330267,	0.27129,	1.16773,	
H7-hESC,	0.176056,	14.3662,	2.48826,	2.4061,	2.00704,	0.446009,	1.46714,	0.293427,	0.152582,	0.269953,	0.375587,	0.352113,	2.41784,	0.293427,	1.02113,	0.692488,	1.12676,	0.504695,	2.03052,	1.12676,	1.72535,	0.669014,	0.457746,	2.87559,	0.410798,	0.575117,	0.211268,	0.903756,	0.258216,	0.328638,	0.258216,	0.692488,	0.528169,	1.1385,	1.60798,	0.152582,	0.305164,	4.03756,	0.586854,	1.05634,	1.93662,	0.821596,	0.105634,	1.74883,	0.492958,	0.0586854,	0.56338,	0.798122,	1.78404,	1.80751,	0.504695,	0.211268,	2.12441,	0.997653,	2.00704,	0.7277,	0.316901,	0.387324,	0.305164,	0.36385,	0.164319,	1.09155,	0.551643,	0.657277,	0.0469484,	0.340376,	0.0821596,	1.73709,	1.09155,	0.164319,	0.234742,	1.7723,	0.105634,	0.457746,	3.66197,	0.92723,	1.15023,	0.305164,	1.37324,	0.504695,	1.07981,	0.610329,	0.328638,	0.516432,	1.06808,	0.64554,	1.92488,	0.140845,	1.27934,	0.352113,	0.140845,	0.105634,	2.05399,	0.410798,	0.316901,	0.140845,	0.105634,	0.387324,	0.36385,	0.751174,	
HA-h,	0.669344,	9.87282,	1.77376,	2.28693,	1.39447,	0.423918,	0.870147,	0.435074,	0.23427,	0.334672,	0.423918,	0.847836,	1.55065,	0.223115,	0.970549,	0.502008,	1.20482,	0.568942,	2.48773,	1.01517,	1.27175,	1.14904,	0.6805,	2.722,	0.925926,	0.60241,	0.334672,	0.870147,	0.535475,	0.502008,	0.502008,	0.803213,	0.635877,	1.03748,	1.53949,	0.345828,	0.356983,	3.74833,	0.412762,	1.00402,	2.49888,	0.970549,	0.100402,	1.69567,	0.568942,	0.0446229,	0.937082,	1.27175,	1.39447,	1.63989,	1.13788,	0.435074,	2.47657,	0.803213,	1.86301,	1.00402,	0.446229,	0.312361,	0.167336,	0.780901,	0.245426,	1.21598,	0.83668,	0.903614,	0.0446229,	0.356983,	0.379295,	1.31638,	0.858992,	0.290049,	0.267738,	1.33869,	0.200803,	0.858992,	3.53637,	0.925926,	1.17135,	0.580098,	1.5618,	0.435074,	0.881303,	0.736278,	0.290049,	0.513164,	1.03748,	0.591254,	1.1602,	0.301205,	0.99286,	0.423918,	0.290049,	0.223115,	2.94511,	0.75859,	0.780901,	0.15618,	0.178492,	0.591254,	0.468541,	0.736278,	
HAEpiC,	0.260159,	17.3687,	1.945,	2.49009,	1.89544,	0.284936,	1.16452,	0.322101,	0.198216,	0.359267,	0.433598,	0.668979,	2.25471,	0.185828,	1.04063,	0.545094,	1.09019,	0.569871,	1.85828,	0.904361,	1.31318,	0.904361,	0.359267,	2.70069,	0.656591,	0.384044,	0.297324,	0.891972,	0.359267,	0.532706,	0.198216,	0.879584,	0.545094,	1.35035,	1.41229,	0.24777,	0.284936,	3.56789,	0.557483,	1.15213,	1.95738,	0.83003,	0.0619425,	1.42468,	0.445986,	0.0619425,	0.569871,	0.879584,	1.88305,	1.43707,	0.58226,	0.161051,	1.78394,	0.780476,	1.69722,	0.74331,	0.408821,	0.322101,	0.210605,	0.408821,	0.222993,	1.1893,	0.371655,	0.706145,	0.0619425,	0.322101,	0.161051,	1.63528,	0.879584,	0.111497,	0.222993,	1.58573,	0.074331,	0.532706,	4.12537,	0.891972,	1.13974,	0.222993,	1.79633,	0.458375,	0.867195,	0.545094,	0.284936,	0.681368,	1.10258,	0.557483,	1.87066,	0.185828,	0.792864,	0.309713,	0.185828,	0.099108,	1.90783,	0.557483,	0.433598,	0.136274,	0.0867195,	0.346878,	0.222993,	1.02825,	
HCF,	0.318847,	16.1667,	2.37364,	2.51535,	1.81861,	0.401512,	1.19273,	0.28342,	0.307038,	0.401512,	0.318847,	0.673122,	2.07841,	0.247992,	1.00378,	0.696741,	1.18092,	0.555031,	1.96032,	1.09825,	1.34624,	0.99197,	0.495985,	2.53897,	0.495985,	0.614077,	0.295229,	0.885687,	0.318847,	0.661313,	0.259802,	0.767596,	0.495985,	1.14549,	1.46434,	0.259802,	0.295229,	3.4837,	0.614077,	1.1573,	2.16108,	0.649504,	0.0354275,	1.46434,	0.42513,	0.0472367,	0.755786,	0.862069,	1.74776,	1.36986,	0.602267,	0.307038,	2.51535,	1.06282,	1.99575,	0.873878,	0.448748,	0.188947,	0.070855,	0.602267,	0.0826641,	1.12187,	0.602267,	0.637695,	0.0472367,	0.28342,	0.188947,	1.20453,	0.921115,	0.14171,	0.14171,	1.6769,	0.118092,	0.472367,	3.82617,	0.885687,	1.06282,	0.389702,	1.35805,	0.342466,	1.05102,	0.625886,	0.200756,	0.543222,	0.873878,	0.519603,	1.74776,	0.106282,	0.826641,	0.401512,	0.330657,	0.0590458,	1.99575,	0.543222,	0.614077,	0.153519,	0.118092,	0.401512,	0.28342,	0.732168,	
HCM,	0.379732,	15.569,	2.10039,	2.10039,	1.69693,	0.379732,	1.02053,	0.403465,	0.177999,	0.439065,	0.355999,	0.73573,	1.96986,	0.249199,	0.889996,	0.688264,	1.1748,	0.617064,	2.30212,	0.984929,	1.49519,	0.889996,	0.439065,	2.53946,	0.688264,	0.415332,	0.261066,	0.854397,	0.450932,	0.427198,	0.296665,	0.723864,	0.545865,	1.04426,	1.37653,	0.308532,	0.249199,	3.14465,	0.391598,	1.1036,	2.19532,	0.80693,	0.130533,	1.60199,	0.391598,	0.0593331,	0.854397,	0.747597,	1.38839,	1.49519,	0.795063,	0.249199,	2.29026,	1.0324,	2.19532,	0.937463,	0.486531,	0.225466,	0.0830663,	0.545865,	0.201733,	0.996796,	0.545865,	0.628931,	0.0474665,	0.237332,	0.189866,	1.61386,	0.901863,	0.332265,	0.177999,	1.74439,	0.118666,	0.700131,	4.16518,	0.80693,	0.984929,	0.308532,	1.51893,	0.498398,	0.996796,	0.522131,	0.296665,	0.723864,	1.12733,	0.462798,	1.73253,	0.177999,	0.87813,	0.237332,	0.213599,	0.130533,	2.11226,	0.711997,	0.617064,	0.142399,	0.249199,	0.439065,	0.261066,	0.854397,	
