cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.266215,	18.0058,	2.34753,	1.42788,	3.79961,	1.08906,	0.290416,	1.18587,	0.266215,	0.169409,	0.435624,	2.15392,	1.47628,	1.54889,	0.338819,	1.69409,	0.145208,	0.338819,	0.217812,	0.0726041,	0.508228,	0.145208,	2.10552,	0.653437,	0.338819,	0.145208,	0.314618,	0.798645,	0.653437,	0.36302,	0,	2.49274,	0.701839,	2.61375,	0.145208,	2.00871,	1.7667,	0.822846,	0.798645,	0.556631,	0.169409,	0.992256,	0.943853,	0.0242014,	0,	0.145208,	0.338819,	0.0726041,	1.13746,	0.36302,	0.121007,	0.0484027,	0.0484027,	1.62149,	0.580833,	2.10552,	0.0726041,	0.968054,	0.217812,	0.822846,	0.871249,	0.629235,	0.193611,	0.338819,	0.36302,	0.798645,	0.0484027,	0.508228,	5.85673,	0.53243,	1.11326,	1.11326,	0.145208,	0.387222,	1.7183,	0.242014,	4.81607,	0.0242014,	3.33979,	0.387222,	0.919652,	0.822846,	0.0726041,	0.338819,	0.653437,	2.42014,	0.750242,	0.0484027,	0.338819,	0.217812,	0.0968054,	0.0726041,	0.145208,	0.36302,	0.0242014,	0.0484027,	0.193611,	0,	0.36302,	2.68635,	
AoAF,	0.199468,	15.0044,	2.54876,	1.37411,	3.125,	1.50709,	0.265957,	1.72872,	0.199468,	0.155142,	0.332447,	1.48493,	1.30762,	2.12766,	0.265957,	1.32979,	0.155142,	0.265957,	0.243794,	0.132979,	0.664894,	0.243794,	2.48227,	0.99734,	0.155142,	0.221631,	0.332447,	0.620567,	0.576241,	0.265957,	0.0443262,	2.90337,	0.908688,	2.50443,	0.177305,	2.63741,	1.88387,	0.775709,	0.664894,	0.509752,	0.132979,	1.19681,	1.21897,	0.0664894,	0.0221631,	0.177305,	0.243794,	0.155142,	1.15248,	0.398936,	0.0664894,	0.177305,	0.0221631,	1.64007,	0.64273,	2.14982,	0.110816,	0.975177,	0.221631,	1.10816,	1.24113,	0.664894,	0.132979,	0.576241,	0.155142,	0.953014,	0.0664894,	0.465426,	5.51862,	0.554078,	0.930851,	1.08599,	0.265957,	0.465426,	1.75089,	0.421099,	4.49911,	0.0221631,	3.87855,	0.554078,	1.17465,	0.687057,	0.0886525,	0.243794,	1.06383,	2.23848,	0.531915,	0.0664894,	0.487589,	0.243794,	0.0886525,	0.0664894,	0.0664894,	0.465426,	0.0221631,	0.0443262,	0.221631,	0.0221631,	0.243794,	2.5266,	
CD20+,	0.16389,	25.2117,	2.86807,	0.437039,	4.2065,	0.819448,	0.21852,	0.382409,	0.245834,	0.10926,	0.136575,	2.07594,	2.95001,	0.764818,	0.191205,	2.04862,	0.382409,	0.0819448,	0.21852,	0.191205,	0.273149,	0.191205,	0.792133,	0.655559,	0.16389,	0.300464,	0.382409,	0.382409,	0.300464,	0.409724,	0.0273149,	2.02131,	0.655559,	3.6602,	0.21852,	1.22917,	1.06528,	0.983338,	0.846763,	0.764818,	0.10926,	0.546299,	0.491669,	0,	0,	0.21852,	0.382409,	0.0546299,	1.31112,	0.16389,	0,	0.0546299,	0.10926,	1.66621,	0.327779,	1.50232,	0,	0.491669,	0.273149,	0.846763,	0.327779,	0.573614,	0.10926,	0.464354,	0.327779,	0.546299,	0.0819448,	0.737503,	4.64354,	0.409724,	0.710188,	1.88473,	0.0819448,	0.300464,	1.6389,	0.21852,	4.83474,	0,	4.17919,	0.136575,	0.382409,	0.874078,	0.0546299,	0.300464,	0.409724,	1.8301,	0.628244,	0.0819448,	0.327779,	0.0273149,	0.0273149,	0.0546299,	0.16389,	0.409724,	0.0546299,	0.0819448,	0.21852,	0,	0.600929,	3.68752,	
GM06990,	0.331736,	28.9348,	1.40066,	0.405455,	2.65389,	0.442315,	0.81091,	0.258017,	0.147438,	0.147438,	0.221157,	1.76926,	1.84298,	0.0737191,	0.184298,	2.101,	0.552893,	0.147438,	0.589753,	0.479174,	0.442315,	0.663472,	0.0737191,	4.09141,	0.110579,	0.0737191,	0.479174,	0.516034,	0.405455,	0.221157,	0.221157,	0.516034,	0.110579,	2.32215,	1.7324,	0.221157,	0.405455,	2.43273,	0.221157,	3.13306,	0.552893,	0.700332,	0,	0.84777,	0.147438,	0,	0.110579,	0.110579,	2.35901,	0.405455,	0.331736,	0.0737191,	0.405455,	0.958349,	0.700332,	0.552893,	0.110579,	0.221157,	0.0368596,	0.479174,	0.184298,	0.921489,	0.184298,	0.479174,	0.184298,	0.368596,	0.110579,	1.58496,	1.29008,	0,	0.331736,	3.35422,	0,	0.700332,	6.59786,	0.110579,	1.65868,	0.331736,	3.68596,	0.0368596,	0.258017,	0.221157,	0.0368596,	0.110579,	0.258017,	0.995208,	1.21637,	0.110579,	0.663472,	0.184298,	0.110579,	0.0368596,	0.589753,	0.331736,	0.184298,	0,	0.0737191,	0.442315,	0.147438,	0.921489,	
GM12865,	0.175968,	22.4233,	2.63952,	1.03067,	3.54449,	1.20664,	0.301659,	0.829563,	0.100553,	0.125691,	0.100553,	2.41327,	1.86023,	1.65913,	0.201106,	1.68426,	0.100553,	0.125691,	0.15083,	0.326797,	0.402212,	0.0754148,	1.53343,	1.1815,	0.100553,	0.0754148,	0.201106,	0.703871,	0.326797,	0.226244,	0.0502765,	2.18703,	0.829563,	2.84062,	0.402212,	1.25691,	1.45802,	1.23177,	0.678733,	0.804424,	0.0754148,	0.904977,	0.804424,	0.0251383,	0.0251383,	0,	0.201106,	0.100553,	1.05581,	0.175968,	0.125691,	0.100553,	0.125691,	1.98592,	0.276521,	1.3826,	0.0502765,	0.57818,	0.125691,	1.03067,	0.779286,	0.477627,	0.125691,	0.57818,	0.226244,	0.779286,	0.0502765,	0.804424,	5.27903,	0.42735,	1.10608,	1.35747,	0.100553,	0.251383,	2.11161,	0.100553,	5.20362,	0,	3.87129,	0.301659,	0.653595,	0.527903,	0.100553,	0.100553,	0.502765,	2.11161,	0.829563,	0.0502765,	0.377074,	0.125691,	0.100553,	0.0502765,	0.0754148,	0.351936,	0.0251383,	0.0502765,	0.100553,	0.0754148,	0.301659,	2.84062,	
H7-hESC,	0.121359,	19.5146,	2.42718,	1.18932,	2.96117,	1.45631,	0.412621,	1.45631,	0.194175,	0.169903,	0.121359,	2.11165,	1.77184,	1.45631,	0.218447,	1.65049,	0.26699,	0.169903,	0.291262,	0.121359,	0.558252,	0.218447,	1.91748,	0.703883,	0.194175,	0.121359,	0.485437,	0.436893,	0.315534,	0.436893,	0.121359,	3.32524,	0.703883,	2.59709,	0.145631,	1.8932,	1.79612,	0.849515,	0.606796,	0.631068,	0.145631,	0.873786,	0.898058,	0.0242718,	0.0242718,	0.0970874,	0.145631,	0.121359,	1.14078,	0.26699,	0.0242718,	0.0485437,	0.145631,	1.8932,	0.825243,	2.01456,	0.0728155,	0.825243,	0.242718,	1.1165,	0.849515,	0.582524,	0.169903,	0.485437,	0.26699,	1.09223,	0.0728155,	0.558252,	5.41262,	0.315534,	1.04369,	0.995146,	0.169903,	0.339806,	2.45146,	0.218447,	3.98058,	0,	3.59223,	0.194175,	0.92233,	0.461165,	0,	0.315534,	0.800971,	2.71845,	0.703883,	0,	0.194175,	0.291262,	0.145631,	0.0728155,	0.0970874,	0.558252,	0.0242718,	0.0485437,	0.145631,	0.0242718,	0.291262,	2.30583,	
HA-h,	0.328084,	14.5232,	3.28084,	1.59668,	3.14961,	1.028,	0.503062,	1.028,	0.262467,	0.109361,	0.328084,	1.55293,	1.68416,	1.55293,	0.393701,	0.96238,	0.284339,	0.240595,	0.131234,	0.19685,	0.568679,	0.218723,	1.26859,	0.853018,	0.590551,	0.218723,	0.765529,	0.634296,	0.568679,	0.48119,	0.0437445,	2.9965,	1.028,	3.06212,	0.218723,	1.59668,	1.33421,	0.831146,	0.940507,	0.634296,	0.109361,	1.09361,	0.96238,	0.0874891,	0.0656168,	0.349956,	0.503062,	0.153106,	1.20297,	0.306212,	0.0437445,	0.0218723,	0.131234,	2.12161,	0.67804,	2.18723,	0.174978,	1.22485,	0.787402,	0.96238,	0.940507,	0.874891,	0.328084,	0.896763,	0.721785,	0.721785,	0.240595,	0.48119,	3.80577,	0.896763,	1.028,	0.853018,	0.306212,	0.503062,	1.72791,	0.284339,	3.95888,	0.0218723,	2.75591,	0.393701,	1.04987,	1.44357,	0.109361,	0.656168,	1.00612,	2.12161,	0.765529,	0.153106,	0.218723,	0.218723,	0.174978,	0.131234,	0.19685,	0.349956,	0.0218723,	0.174978,	0.306212,	0.153106,	0.721785,	3.12773,	
HAEpiC,	0.23245,	18.3868,	1.90609,	1.53417,	2.71967,	1.37146,	0.41841,	1.8596,	0.209205,	0.09298,	0.488145,	1.88285,	1.13901,	1.90609,	0.395165,	1.32497,	0.23245,	0.255695,	0.09298,	0.116225,	0.88331,	0.209205,	2.60344,	0.674105,	0.209205,	0.32543,	0.37192,	0.79033,	0.441655,	0.23245,	0.04649,	3.09159,	0.627615,	2.7894,	0.09298,	2.25477,	1.46444,	0.74384,	0.488145,	0.395165,	0.13947,	1.04603,	0.999535,	0.04649,	0.023245,	0.32543,	0.23245,	0.116225,	1.16225,	0.32543,	0.04649,	0.116225,	0.023245,	1.81311,	0.767085,	2.1153,	0.09298,	0.999535,	0.209205,	0.9298,	0.83682,	0.581125,	0.302185,	0.41841,	0.255695,	1.23199,	0.069735,	0.41841,	4.97443,	0.27894,	1.16225,	1.09252,	0.18596,	0.534635,	1.88285,	0.348675,	3.76569,	0,	3.46351,	0.534635,	0.999535,	0.534635,	0.09298,	0.51139,	1.11576,	2.06881,	0.860065,	0.069735,	0.4649,	0.348675,	0.04649,	0.09298,	0.09298,	0.441655,	0,	0.069735,	0.13947,	0.04649,	0.27894,	2.55695,	
HCF,	0.279655,	16.3598,	2.65672,	1.46819,	3.49569,	1.5148,	0.396178,	1.07201,	0.279655,	0.139828,	0.186437,	1.79445,	1.21184,	1.60802,	0.25635,	1.37497,	0.139828,	0.279655,	0.186437,	0.139828,	0.419483,	0.209741,	2.44698,	0.629224,	0.279655,	0.233046,	0.396178,	0.675833,	0.349569,	0.163132,	0.0466092,	2.91307,	0.932184,	2.44698,	0.0932184,	2.28385,	1.44488,	0.675833,	0.838965,	0.722442,	0.116523,	1.37497,	1.18853,	0.0466092,	0.0466092,	0.209741,	0.186437,	0.233046,	1.28175,	0.186437,	0,	0.186437,	0.0233046,	1.58471,	0.652529,	2.09741,	0.0932184,	0.932184,	0.209741,	1.23514,	0.978793,	0.55931,	0.233046,	0.605919,	0.582615,	0.908879,	0.0699138,	0.396178,	4.98718,	0.536006,	0.955488,	1.04871,	0.442787,	0.396178,	2.12072,	0.419483,	4.591,	0.0233046,	3.33256,	0.349569,	1.07201,	0.815661,	0.186437,	0.722442,	0.908879,	2.14402,	0.629224,	0.0233046,	0.419483,	0.233046,	0.139828,	0.0932184,	0.0699138,	0.396178,	0.0233046,	0.116523,	0.209741,	0.0233046,	0.652529,	2.65672,	
HCM,	0.337106,	18.3723,	2.88948,	1.10763,	3.00987,	1.46882,	0.553816,	1.08355,	0.216711,	0.120395,	0.24079,	1.9504,	1.4929,	1.51698,	0.313027,	1.56513,	0.288948,	0.048158,	0.168553,	0.168553,	0.505659,	0.0963159,	2.14303,	0.48158,	0.120395,	0.216711,	0.361185,	0.770527,	0.337106,	0.24079,	0.0722369,	2.67277,	0.842764,	2.8654,	0.120395,	2.02263,	1.63737,	0.842764,	0.433422,	0.577895,	0.192632,	1.05948,	1.10763,	0.048158,	0,	0.24079,	0.192632,	0.313027,	1.22803,	0.313027,	0.024079,	0.0722369,	0.144474,	1.80592,	0.674211,	2.14303,	0,	0.915001,	0.313027,	0.866843,	0.987238,	0.794606,	0.216711,	0.529738,	0.216711,	0.650132,	0.0722369,	0.529738,	5.87527,	0.577895,	1.08355,	1.08355,	0.216711,	0.577895,	2.07079,	0.313027,	4.26198,	0.024079,	3.29882,	0.385264,	0.890922,	0.529738,	0.0722369,	0.48158,	0.987238,	2.14303,	0.505659,	0.120395,	0.337106,	0.144474,	0.120395,	0.120395,	0.048158,	0.337106,	0.048158,	0.048158,	0.192632,	0.024079,	0.529738,	2.62461,	
