cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.194477,	34.2279,	1.36134,	2.33372,	1.28355,	0.155581,	0.155581,	1.12797,	0.388954,	0.272268,	0.466744,	1.08907,	0.777907,	0.700117,	0.972384,	0.700117,	1.36134,	0.272268,	0.311163,	0.388954,	0.777907,	0.544535,	0.388954,	1.28355,	0.233372,	0.194477,	0.894594,	0.233372,	0.155581,	0.194477,	0.388954,	0.972384,	0.233372,	1.01128,	0.816803,	0.0777907,	1.59471,	0.622326,	0.544535,	0.933489,	1.98366,	1.12797,	0.350058,	1.47802,	0.311163,	0.233372,	0.272268,	0.155581,	0.777907,	1.20576,	0.0777907,	0.466744,	0.583431,	2.60599,	2.21704,	1.05018,	0.233372,	0.427849,	0.116686,	0.311163,	0.311163,	0.777907,	0.50564,	0.155581,	0.0777907,	0.622326,	0.116686,	1.43913,	0.233372,	0,	0.544535,	3.07273,	0.233372,	0.350058,	1.82808,	0.272268,	0.622326,	0,	0.855698,	0.350058,	1.16686,	0.350058,	0.0777907,	0.466744,	2.33372,	0.583431,	1.90587,	0.116686,	0.311163,	0.739012,	0.0777907,	0.194477,	0.777907,	0.272268,	0.194477,	0.233372,	0.155581,	0.544535,	0.0388954,	0.466744,	
AoAF,	0.0777001,	34.2269,	2.13675,	2.4864,	1.12665,	0.1554,	0.1554,	0.621601,	0.4662,	0.3108,	0.582751,	1.28205,	0.42735,	0.4662,	1.4763,	0.543901,	1.35975,	0.3108,	0.2331,	0.27195,	1.12665,	0.4662,	0.19425,	0.621601,	0.19425,	0.42735,	1.0101,	0.1554,	0.19425,	0.2331,	0.543901,	1.12665,	0.11655,	0.777001,	0.3108,	0.0777001,	1.3209,	0.854701,	0.699301,	1.20435,	1.9425,	0.42735,	0.3885,	1.3209,	0.27195,	0.3108,	0.3108,	0.03885,	0.815851,	0.815851,	0.11655,	0.3885,	0.3885,	4.15695,	1.7094,	1.1655,	0.2331,	0.3108,	0.11655,	0.19425,	0.2331,	1.12665,	0.660451,	0.3885,	0.0777001,	0.543901,	0.0777001,	1.51515,	0.543901,	0.0777001,	0.621601,	3.06915,	0.11655,	0.50505,	1.4763,	0.2331,	0.699301,	0.11655,	0.582751,	0.42735,	0.932401,	0.660451,	0.11655,	0.34965,	2.52525,	0.738151,	2.2533,	0.1554,	0.660451,	0.50505,	0.03885,	0.2331,	0.3108,	0.11655,	0.0777001,	0.27195,	0.27195,	0.3108,	0.0777001,	0.50505,	
CD20+,	0.228484,	32.0259,	1.29474,	2.36101,	1.06626,	0.114242,	0.190404,	1.21858,	0.266565,	0.418888,	0.456969,	0.990099,	0.837776,	0.456969,	1.44707,	0.761615,	1.1805,	0.152323,	0.266565,	0.609292,	0.647372,	0.952018,	0.228484,	0.799695,	0.304646,	0.266565,	0.913938,	0.114242,	0.380807,	0.304646,	0.49505,	0.647372,	0.0761615,	1.29474,	0.49505,	0.114242,	0.913938,	0.799695,	0.342727,	0.990099,	2.1706,	0.913938,	0.266565,	1.59939,	0.418888,	0.342727,	0.266565,	0.342727,	0.609292,	1.40899,	0.342727,	0.53313,	0.380807,	3.08454,	2.43717,	1.10434,	0.456969,	0.342727,	0.0761615,	0.571211,	0.228484,	1.33283,	0.380807,	0.418888,	0.0380807,	0.304646,	0.228484,	1.48515,	0.49505,	0.114242,	0.456969,	3.04646,	0.418888,	0.190404,	2.74181,	0.342727,	0.761615,	0.0380807,	1.44707,	0.49505,	0.685453,	0.152323,	0,	0.342727,	2.89414,	0.571211,	1.21858,	0.0380807,	0.266565,	1.10434,	0.0761615,	0.190404,	0.685453,	0.228484,	0.114242,	0.190404,	0.0761615,	0.609292,	0.114242,	0.380807,	
GM06990,	0.0801925,	40.2566,	2.52606,	2.72654,	1.92462,	0.240577,	0.441059,	0.521251,	0.521251,	0.120289,	0.160385,	0.481155,	0.481155,	0.481155,	0.481155,	0.200481,	0.521251,	0.64154,	0.400962,	0.200481,	1.28308,	0.481155,	0.360866,	0.922213,	0.200481,	1.36327,	0.200481,	0.200481,	0.0400962,	0.0801925,	0.481155,	1.0826,	0.200481,	1.00241,	0.64154,	0.200481,	0.441059,	1.00241,	0.64154,	0.160385,	1.60385,	0.481155,	0.160385,	0.801925,	0.0801925,	0.0400962,	0.521251,	0.120289,	0.601443,	1.28308,	0.280674,	0.120289,	0.240577,	2.96712,	4.73136,	1.56375,	0.160385,	0.240577,	0,	0.64154,	0.681636,	0.441059,	0.761828,	0.32077,	0.160385,	0.842021,	0.0400962,	0.882117,	0.561347,	0.280674,	0.120289,	1.52366,	0.32077,	0.360866,	1.32318,	1.00241,	1.16279,	0.0801925,	0.842021,	0.441059,	0.96231,	0.200481,	0.0400962,	0.240577,	0.761828,	0.360866,	1.52366,	0.0400962,	0.360866,	0.0801925,	0.160385,	0.200481,	0.120289,	0.200481,	0.240577,	0.0400962,	0.120289,	0.0400962,	0.120289,	1.00241,	
GM12865,	0.0379075,	37.9075,	1.17513,	1.89538,	1.06141,	0.075815,	0.341168,	0.492798,	0.227445,	0.227445,	0.227445,	0.833965,	0.833965,	0.492798,	1.09932,	0.833965,	1.25095,	0.113723,	0.15163,	0.15163,	0.75815,	0.530705,	0.189538,	0.90978,	0.227445,	0.227445,	1.06141,	0.227445,	0.45489,	0.113723,	0.45489,	0.75815,	0.113723,	1.32676,	0.644428,	0.0379075,	1.0235,	0.60652,	0.416983,	0.985595,	2.76725,	1.0235,	0.227445,	1.0235,	0.416983,	0.265353,	0.15163,	0.227445,	0.492798,	1.25095,	0.227445,	0.189538,	0.530705,	2.42608,	2.08491,	0.796058,	0.227445,	0.30326,	0.113723,	0.30326,	0.265353,	0.833965,	0.227445,	0.265353,	0.075815,	0.568613,	0.113723,	1.93328,	0.45489,	0.113723,	0.265353,	3.0326,	0.15163,	0.341168,	1.66793,	0.227445,	0.644428,	0.189538,	0.90978,	0.75815,	0.682335,	0.227445,	0.0379075,	0.379075,	2.76725,	0.947688,	2.27445,	0.15163,	0.45489,	1.17513,	0.0379075,	0.113723,	0.720243,	0.075815,	0.15163,	0.075815,	0.227445,	0.644428,	0.0379075,	0.227445,	
H7-hESC,	0.190621,	29.7751,	2.05871,	2.28746,	1.29623,	0.381243,	0.343119,	0.762486,	0.304994,	0.495616,	0.914983,	1.18185,	0.495616,	0.571864,	1.60122,	0.53374,	1.60122,	0.343119,	0.152497,	0.457491,	0.991231,	0.381243,	0.26687,	0.648113,	0.26687,	0.495616,	1.18185,	0.419367,	0.686237,	0.190621,	0.762486,	0.991231,	0.26687,	1.2581,	0.26687,	0.0762486,	0.991231,	0.953107,	1.02936,	1.1056,	1.44872,	0.838734,	0.343119,	1.4106,	0.26687,	0.190621,	0.190621,	0.381243,	0.724361,	0.571864,	0.228746,	0.495616,	0.343119,	3.43119,	1.94434,	1.21998,	0.26687,	0.457491,	0.304994,	0.419367,	0.304994,	1.4106,	0.838734,	0.419367,	0.0381243,	0.762486,	0.152497,	1.75372,	0.381243,	0.228746,	0.609989,	2.47808,	0.26687,	0.419367,	1.94434,	0.609989,	0.609989,	0.0762486,	0.686237,	0.80061,	1.06748,	0.343119,	0.152497,	0.838734,	2.28746,	0.838734,	1.79184,	0.114373,	0.609989,	0.53374,	0,	0.228746,	0.26687,	0.0762486,	0.152497,	0.26687,	0.114373,	0.304994,	0.304994,	0.457491,	
HA-h,	0.18546,	27.9674,	1.3724,	2.67062,	0.593472,	0.259644,	0.259644,	1.18694,	0.445104,	0.37092,	0.445104,	0.778932,	0.482196,	0.890208,	1.52077,	0.482196,	1.07567,	0.333828,	0.259644,	0.296736,	1.07567,	0.816024,	0.18546,	1.18694,	0.296736,	0.333828,	1.00148,	0.222552,	0.37092,	0.445104,	0.482196,	0.778932,	0.111276,	0.890208,	0.667656,	0.148368,	1.03858,	0.519288,	0.37092,	0.816024,	3.15282,	1.11276,	0.408012,	2.00297,	0.482196,	0.37092,	0.333828,	0.296736,	0.445104,	1.89169,	0.333828,	0.482196,	0.630564,	2.41098,	3.63502,	1.11276,	0.333828,	0.408012,	0.222552,	0.55638,	0.18546,	1.00148,	0.408012,	0.148368,	0.037092,	0.37092,	0.259644,	1.07567,	0.333828,	0.037092,	0.408012,	3.30119,	0.630564,	0.519288,	2.37389,	0.37092,	0.853116,	0.074184,	0.778932,	0.445104,	0.667656,	0.37092,	0.074184,	0.593472,	2.44807,	0.445104,	1.96588,	0.18546,	0.482196,	1.18694,	0.111276,	0.296736,	0.9273,	0.296736,	0.259644,	0.296736,	0.296736,	0.816024,	0.18546,	0.222552,	
HAEpiC,	0.117463,	36.7659,	1.33125,	2.19264,	0.626468,	0.234926,	0.234926,	1.09632,	0.156617,	0.391543,	0.665623,	0.900548,	0.587314,	0.27408,	1.3704,	0.469851,	1.60532,	0.27408,	0.313234,	0.195771,	0.665623,	0.391543,	0.195771,	0.704777,	0.234926,	0.430697,	0.978857,	0.352388,	0.313234,	0.313234,	0.27408,	1.25294,	0.156617,	1.21378,	0.626468,	0.0391543,	1.40955,	0.54816,	0.54816,	0.978857,	2.34926,	0.743931,	0.234926,	1.25294,	0.27408,	0.156617,	0.156617,	0.0783085,	0.626468,	0.978857,	0.117463,	0.313234,	0.234926,	3.28896,	1.8011,	0.978857,	0.234926,	0.313234,	0.156617,	0.469851,	0.234926,	0.743931,	0.313234,	0.352388,	0.117463,	0.704777,	0.0391543,	1.44871,	0.313234,	0.0391543,	0.54816,	2.50587,	0.0783085,	0.27408,	1.05717,	0.391543,	0.54816,	0.117463,	1.17463,	0.626468,	1.3704,	0.352388,	0.0783085,	0.509005,	2.85826,	0.54816,	2.85826,	0.156617,	1.01801,	0.27408,	0.0783085,	0.117463,	0.195771,	0.234926,	0.313234,	0.0783085,	0.313234,	0.352388,	0.0783085,	0.391543,	
HCF,	0,	36.222,	1.40631,	2.20448,	0.684151,	0.304067,	0.342075,	1.14025,	0.22805,	0.114025,	0.418092,	0.912201,	0.532117,	0.4561,	0.950209,	0.532117,	1.02623,	0.190042,	0.190042,	0.4561,	0.646142,	0.722159,	0.304067,	0.646142,	0.342075,	0.342075,	0.912201,	0.266059,	0.190042,	0.152033,	0.4561,	1.17826,	0.114025,	1.17826,	0.646142,	0.114025,	1.25428,	0.836184,	0.608134,	0.608134,	2.81262,	0.608134,	0.266059,	1.55834,	0.342075,	0.22805,	0.304067,	0.152033,	0.608134,	1.52033,	0.190042,	0.418092,	0.494109,	2.88864,	2.54656,	0.912201,	0.190042,	0.266059,	0.0760167,	0.418092,	0.304067,	0.798176,	0.304067,	0.190042,	0.0380084,	0.722159,	0.114025,	1.93843,	0.190042,	0.0380084,	0.380084,	3.11669,	0.342075,	0.418092,	1.8244,	0.342075,	0.418092,	0.0380084,	0.570125,	0.912201,	0.950209,	0.190042,	0.0760167,	0.22805,	2.7366,	0.532117,	1.55834,	0.190042,	0.684151,	1.14025,	0.0380084,	0.190042,	0.418092,	0.152033,	0.190042,	0.0380084,	0.0380084,	0.532117,	0.0380084,	0.4561,	
