cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.222691,	13.631,	3.80919,	1.50023,	3.03563,	0.797,	0.0937646,	0.41022,	0.222691,	0.984529,	0.222691,	1.28926,	5.55556,	0.480544,	0.562588,	0.761838,	0.433662,	0.386779,	0.21097,	0.3985,	0.328176,	0.0820441,	1.85185,	0.246132,	0.750117,	0.140647,	0.152368,	0.691514,	0.140647,	0.234412,	0.21097,	2.68401,	1.26582,	1.16034,	0.152368,	1.34787,	0.632911,	0.691514,	3.77403,	3.43413,	0.0820441,	0.281294,	0.175809,	0.0586029,	0.0468823,	0.164088,	0.152368,	0.0937646,	0.797,	0.0703235,	0,	0.0937646,	0.0351617,	1.84013,	0.773558,	1.12518,	0,	0.574309,	0.515706,	0.820441,	0.468823,	1.17206,	1.78153,	0.773558,	0.785279,	0.621191,	0.152368,	1.52368,	2.74262,	1.9925,	0.679794,	1.39475,	0.351617,	0.0820441,	0.726676,	0.3985,	7.03235,	0.0117206,	0.773558,	0.187529,	0.304735,	0.527426,	0.293015,	1.06657,	0.515706,	0.668073,	0.925926,	0.0117206,	0.140647,	0.117206,	0.128926,	0.257853,	0.0820441,	0.80872,	0.0117206,	0.117206,	1.52368,	0.0820441,	1.72293,	4.36006,	
AoAF,	0.271647,	13.6276,	4.79909,	1.31296,	3.42954,	0.973401,	0.0565931,	0.498019,	0.339559,	0.622524,	0.147142,	1.279,	3.36163,	0.475382,	0.452745,	0.554612,	0.373514,	0.65648,	0.237691,	0.396152,	0.282965,	0.0452745,	1.70911,	0.543294,	0.645161,	0.181098,	0.135823,	0.588568,	0.0679117,	0.0679117,	0.192417,	2.58065,	1.35823,	0.90549,	0.192417,	1.42615,	0.90549,	0.860215,	4.79909,	1.92417,	0.090549,	0.305603,	0.147142,	0.0565931,	0.090549,	0.147142,	0.158461,	0.0679117,	0.780985,	0.113186,	0.0113186,	0.0679117,	0.0339559,	1.93548,	1.07527,	1.74307,	0.0226372,	0.622524,	0.554612,	0.860215,	0.305603,	1.4601,	1.74307,	1.08659,	0.848896,	0.599887,	0.169779,	1.279,	2.67119,	1.58461,	0.701754,	1.42615,	0.384833,	0.147142,	0.57725,	0.32824,	6.75722,	0.0452745,	0.826259,	0.316921,	0.339559,	0.384833,	0.237691,	0.962083,	0.543294,	0.65648,	0.950764,	0.0113186,	0.215054,	0.0679117,	0.0339559,	0.237691,	0.090549,	0.645161,	0.0113186,	0.169779,	1.4601,	0.124505,	2.1279,	5.30843,	
CD20+,	0.165231,	17.1722,	3.7885,	1.65231,	2.51387,	1.20382,	0.10622,	0.389472,	0.200637,	0.649121,	0.0826154,	1.21563,	7.5062,	0.236044,	1.43987,	0.531099,	0.896967,	0.365868,	0.153429,	0.259648,	0.259648,	0.0472088,	0.944176,	0.200637,	0.283253,	0.0944176,	0.200637,	0.413077,	0.165231,	0.306857,	0.177033,	2.49026,	2.31323,	1.74672,	0.0944176,	0.660923,	0.767143,	0.719934,	1.98277,	3.83571,	0.365868,	0.283253,	0.0472088,	0.059011,	0.0826154,	0.10622,	0.10622,	0.141626,	1.00319,	0.0944176,	0.0354066,	0.0472088,	0.0944176,	2.06538,	0.578308,	1.22743,	0,	0.613714,	0.637318,	0.342264,	0.460286,	2.38404,	0.979582,	0.896967,	0.318659,	0.413077,	0.118022,	3.26921,	2.57288,	0.59011,	0.802549,	1.55789,	0.165231,	0.0944176,	0.932373,	0.660923,	4.05996,	0.0118022,	1.16842,	0.283253,	0.318659,	0.472088,	0.153429,	2.01818,	0.531099,	0.885165,	0.979582,	0.0118022,	0.247846,	0.0472088,	0.0236044,	0.259648,	0.059011,	0.519297,	0,	0.330461,	0.873362,	0.0944176,	0.767143,	3.50525,	
GM06990,	0.150089,	20.4803,	1.54182,	0.818666,	1.69191,	0.272889,	0.436622,	0.136444,	0.600355,	0,	1.02333,	5.88075,	2.98813,	0.136444,	0.914177,	0.83231,	0.504844,	0.0818666,	2.51057,	0.573066,	1.65098,	1.03698,	0,	1.44631,	0.0272889,	0.0818666,	0.600355,	0.2456,	0.504844,	0.532133,	1.43266,	0.286533,	0.300177,	1.07791,	1.17342,	0.191022,	0.3684,	9.52381,	0.095511,	1.52818,	0.2456,	0.354755,	0.204666,	0.327466,	0.150089,	0.109155,	0.0136444,	0.231955,	1.61004,	0.641288,	0.177378,	0.0272889,	0.450266,	3.22008,	0.313822,	0.46391,	0.791377,	0.286533,	0.0136444,	3.57484,	0.177378,	1.05062,	0.177378,	3.38382,	0.0409333,	0.0545777,	0.0136444,	1.44631,	0.927821,	0,	0.218311,	1.51453,	0,	0.354755,	1.24164,	0.668577,	0.422977,	0.177378,	2.7016,	0.177378,	0.791377,	0.354755,	0.0136444,	1.86929,	0.354755,	0.70951,	1.36444,	0.0272889,	0.477555,	0.286533,	0.0682221,	0.218311,	0.613999,	0.1228,	0.095511,	0.0272889,	0.0136444,	0.095511,	0.150089,	0.70951,	
GM12865,	0.257645,	12.4678,	4.20074,	1.1426,	2.49804,	0.996975,	0.0784138,	0.257645,	0.16803,	0.68332,	0.145626,	0.996975,	6.69878,	0.403271,	0.548897,	0.481685,	0.313655,	0.392069,	0.224039,	0.504089,	0.224039,	0.0560099,	1.7139,	0.358463,	0.90736,	0.0896158,	0.179232,	0.672118,	0.100818,	0.190434,	0.145626,	3.15896,	1.44505,	1.24342,	0.11202,	1.27702,	0.761734,	0.996975,	3.87588,	3.90949,	0.0896158,	0.280049,	0.257645,	0.0896158,	0.0672118,	0.0896158,	0.145626,	0.156828,	0.728128,	0.100818,	0.0560099,	0.0784138,	0.0672118,	1.73631,	0.68332,	1.25462,	0.011202,	0.649714,	0.571301,	0.896158,	0.470483,	1.64669,	1.50106,	0.90736,	0.638512,	0.504089,	0.235241,	1.43385,	2.53165,	1.59068,	0.716926,	1.17621,	0.257645,	0.123222,	0.694522,	0.280049,	6.72118,	0.0336059,	1.07539,	0.235241,	0.380867,	0.336059,	0.212837,	1.23222,	0.403271,	0.649714,	1.07539,	0.011202,	0.156828,	0.0560099,	0.0560099,	0.257645,	0.145626,	0.828946,	0.0224039,	0.100818,	1.73631,	0.0672118,	1.7027,	4.90646,	
H7-hESC,	0.204615,	13.2204,	5.70649,	1.47778,	3.21701,	1.13675,	0.0682051,	0.488803,	0.284188,	0.466068,	0.159145,	1.40957,	3.33068,	0.40923,	0.488803,	0.716153,	0.477435,	0.704786,	0.215983,	0.397863,	0.341025,	0.0682051,	1.86427,	0.22735,	0.522906,	0.113675,	0.18188,	0.682051,	0.193248,	0.215983,	0.18188,	2.44402,	1.87564,	1.12538,	0.125043,	1.25043,	0.602478,	0.841196,	4.41059,	2.2394,	0.0909401,	0.215983,	0.261453,	0.0682051,	0.0568376,	0.159145,	0.250085,	0.102308,	0.693418,	0.102308,	0.0568376,	0.0909401,	0.0341025,	1.97795,	0.920768,	1.62555,	0.0113675,	0.602478,	0.545641,	1.04581,	0.4547,	1.56872,	1.65966,	1.06855,	0.704786,	0.511538,	0.102308,	1.64829,	2.22803,	1.01171,	0.841196,	1.56872,	0.27282,	0.125043,	0.693418,	0.329658,	5.74059,	0.0113675,	0.738888,	0.534273,	0.4547,	0.431965,	0.215983,	0.863931,	0.477435,	0.954871,	0.977606,	0.0341025,	0.113675,	0.0909401,	0.04547,	0.27282,	0.0568376,	0.545641,	0,	0.147778,	1.14812,	0.04547,	1.95521,	6.35444,	
HA-h,	0.326335,	12.1832,	4.09007,	1.2292,	2.67595,	1.12042,	0.195801,	0.598281,	0.337213,	0.80496,	0.271946,	1.24007,	3.21984,	0.587403,	0.543892,	0.609159,	0.500381,	0.837594,	0.239313,	0.315457,	0.478625,	0.065267,	1.39236,	0.184923,	1.06603,	0.174045,	0.435114,	0.641793,	0.174045,	0.174045,	0.239313,	3.16545,	1.39236,	1.56641,	0.0870227,	1.38149,	0.881105,	0.750571,	4.16621,	2.14293,	0.195801,	0.533014,	0.337213,	0.065267,	0.0979006,	0.228435,	0.239313,	0.119656,	0.772327,	0.119656,	0.0543892,	0.119656,	0.0761449,	2.22996,	1.01164,	1.60992,	0.0108778,	0.511259,	0.728815,	0.652671,	0.761449,	1.5229,	1.33797,	1.00076,	0.979006,	0.80496,	0.228435,	1.18568,	1.87099,	1.68607,	0.848472,	1.24007,	0.467747,	0.108778,	1.04427,	0.576526,	4.29675,	0.0108778,	1.26183,	0.511259,	0.717938,	0.685304,	0.261068,	1.35973,	0.924617,	0.902861,	1.14217,	0.0761449,	0.282824,	0.119656,	0.065267,	0.424236,	0.065267,	0.685304,	0,	0.30458,	1.79484,	0.239313,	1.38149,	4.62308,	
HAEpiC,	0.236407,	14.1253,	5.42553,	1.65485,	2.91962,	0.957447,	0.0591017,	0.390071,	0.189125,	0.567376,	0.248227,	1.25296,	6.34752,	0.271868,	0.815603,	0.803783,	0.567376,	0.520095,	0.224586,	0.543735,	0.425532,	0.0945626,	1.35934,	0.248227,	0.555556,	0.0827423,	0.189125,	0.768322,	0.0827423,	0.200946,	0.118203,	2.22222,	2.34043,	1.22931,	0.0236407,	1.06383,	0.839243,	0.555556,	3.33333,	3.79433,	0.177305,	0.330969,	0.165485,	0.0591017,	0.0827423,	0.0827423,	0.200946,	0.118203,	1.02837,	0.130024,	0.035461,	0.0945626,	0.0118203,	1.98582,	0.768322,	1.30024,	0,	0.72104,	0.449173,	0.933806,	0.35461,	1.93853,	1.64303,	1.06383,	0.425532,	0.378251,	0.118203,	2.23404,	1.60757,	0.981088,	0.650118,	1.58392,	0.200946,	0.035461,	0.661939,	0.460993,	4.68085,	0.0236407,	0.567376,	0.34279,	0.36643,	0.567376,	0.224586,	1.3948,	0.401891,	0.945626,	1.06383,	0.0472813,	0.165485,	0.070922,	0.070922,	0.212766,	0.0472813,	0.283688,	0,	0.130024,	1.11111,	0.130024,	1.19385,	5.29551,	
HCF,	0.306853,	11.4672,	3.71633,	1.2956,	2.8185,	0.897829,	0.0795545,	0.568246,	0.159109,	0.863735,	0.204569,	1.01148,	4.40959,	0.500057,	0.397772,	0.556881,	0.306853,	0.420502,	0.215934,	0.488692,	0.397772,	0.0681896,	1.95477,	0.386408,	1.02284,	0.102284,	0.159109,	0.613706,	0.102284,	0.204569,	0.181839,	3.76179,	1.34106,	1.04557,	0.0909194,	1.79566,	0.625071,	0.80691,	4.67099,	2.80714,	0.159109,	0.295488,	0.250028,	0.0568246,	0.0568246,	0.113649,	0.193204,	0.0568246,	0.85237,	0.0568246,	0.0454597,	0.0795545,	0.0340948,	1.69337,	0.841005,	1.21605,	0,	0.590976,	0.477327,	0.875099,	0.568246,	1.09103,	1.7502,	0.943289,	0.85237,	0.647801,	0.147744,	1.36379,	2.96625,	2.31845,	0.659166,	1.09103,	0.545516,	0.0909194,	0.681896,	0.193204,	7.40993,	0.0568246,	0.71599,	0.204569,	0.443232,	0.500057,	0.272758,	1.12513,	0.465962,	0.636436,	0.920559,	0.0568246,	0.113649,	0.0568246,	0.0795545,	0.193204,	0.125014,	0.841005,	0.0113649,	0.215934,	1.65928,	0.125014,	1.98886,	5.10285,	
HCM,	0.307517,	12.6082,	4.00911,	1.16173,	2.67654,	0.922551,	0.0569476,	0.341686,	0.170843,	0.933941,	0.159453,	0.94533,	5.20501,	0.353075,	0.46697,	0.580866,	0.410023,	0.649203,	0.022779,	0.535308,	0.273349,	0.0569476,	1.81093,	0.250569,	0.979499,	0.136674,	0.170843,	0.740319,	0.159453,	0.216401,	0.205011,	3.05239,	1.42369,	1.20729,	0.0797267,	1.38952,	0.569476,	0.592255,	4.49886,	3.21185,	0.136674,	0.273349,	0.22779,	0.0797267,	0.0455581,	0.261959,	0.273349,	0.0341686,	0.694761,	0.0683371,	0.0341686,	0.0683371,	0.0455581,	1.75399,	0.728929,	1.33257,	0.0113895,	0.546697,	0.558087,	0.831435,	0.523918,	1.42369,	1.8451,	1.15034,	0.933941,	0.71754,	0.125285,	1.43508,	2.41458,	1.90205,	0.774487,	1.15034,	0.512528,	0.136674,	0.649203,	0.330296,	6.66287,	0.0341686,	0.615034,	0.330296,	0.512528,	0.569476,	0.398633,	1.5262,	0.580866,	0.580866,	0.808656,	0.0113895,	0.113895,	0.0455581,	0.0911162,	0.307517,	0.0911162,	0.637813,	0,	0.216401,	1.44647,	0.148064,	1.71982,	4.97722,	
