cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.094697,	33.8068,	1.91761,	1.82292,	1.96496,	0.591856,	0.236742,	0.804924,	0.118371,	0.260417,	0.16572,	1.96496,	1.77557,	0.710227,	0.875947,	0.236742,	1.98864,	0.142045,	0.236742,	0.307765,	0.852273,	0.260417,	0.355114,	0.78125,	0.0710227,	0.591856,	0.662879,	0.142045,	0.16572,	0.497159,	0.94697,	1.25473,	0.544508,	2.34375,	0.331439,	0.355114,	0.875947,	0.78125,	1.04167,	1.6572,	0.686553,	0.236742,	0.189394,	0.639205,	0.142045,	0.16572,	0.260417,	0.094697,	0.852273,	0.994318,	0.0710227,	0.213068,	0.260417,	3.43277,	0.828598,	1.39678,	0.0473485,	0.284091,	0.16572,	1.30208,	0.307765,	2.13068,	0.449811,	0.733902,	0.142045,	0.591856,	0.118371,	2.15436,	0.804924,	0.118371,	0.213068,	1.75189,	0.236742,	0.402462,	0.61553,	0.426136,	0.828598,	0.0710227,	0.591856,	0.213068,	0.544508,	0.16572,	0.118371,	1.63352,	2.3911,	0.686553,	1.25473,	0.0236742,	1.11269,	0.213068,	0.0710227,	0.118371,	0.236742,	0.16572,	0.0473485,	0.331439,	0.591856,	0.0473485,	0.0710227,	0.473485,	
AoAF,	0.140384,	32.7562,	1.19326,	1.89518,	2.15255,	0.538138,	0.163781,	1.05288,	0.187178,	0.233973,	0.0935891,	2.50351,	1.6846,	0.982686,	1.52082,	0.584932,	2.15255,	0.187178,	0.210576,	0.25737,	0.561535,	0.304165,	0.163781,	0.538138,	0.0467946,	0.631727,	0.982686,	0.0935891,	0.116986,	0.421151,	1.00608,	1.98877,	0.210576,	2.6205,	0.210576,	0.0467946,	1.21666,	0.350959,	0.77211,	1.19326,	0.725316,	0.140384,	0.210576,	0.467946,	0.0701919,	0.25737,	0.140384,	0.163781,	0.982686,	0.959289,	0.0935891,	0.0467946,	0.444548,	4.2817,	1.09967,	1.05288,	0.0233973,	0.210576,	0.0701919,	1.12307,	0.25737,	2.12915,	0.397754,	0.444548,	0.0935891,	0.795508,	0.187178,	2.15255,	0.77211,	0.0935891,	0.421151,	1.61441,	0.280767,	0.444548,	0.51474,	0.491343,	0.8657,	0.0701919,	0.678521,	0.163781,	0.77211,	0.0701919,	0.0233973,	1.52082,	2.52691,	0.491343,	1.94197,	0,	0.889097,	0.327562,	0.0701919,	0.0467946,	0.304165,	0.0935891,	0.0233973,	0.140384,	0.608329,	0.140384,	0.140384,	0.467946,	
CD20+,	0.185529,	33.7662,	1.50742,	1.90167,	1.50742,	0.788497,	0.139147,	0.904453,	0.0695733,	0.231911,	0.185529,	1.64657,	2.24954,	0.974026,	1.08998,	0.487013,	1.76252,	0.185529,	0.162338,	0.649351,	0.487013,	0.255102,	0.301484,	1.0436,	0.162338,	0.371058,	0.510204,	0.255102,	0.162338,	0.62616,	0.811688,	2.20315,	0.579777,	1.62338,	0.440631,	0.301484,	0.788497,	0.649351,	0.811688,	1.46104,	0.695733,	0.371058,	0.185529,	0.556586,	0.0695733,	0.20872,	0.371058,	0.20872,	0.788497,	0.997217,	0.115955,	0.185529,	0.347866,	3.06122,	0.881262,	0.556586,	0.0231911,	0.324675,	0.440631,	1.60019,	0.278293,	1.8321,	0.41744,	0.811688,	0.185529,	0.695733,	0.139147,	1.57699,	0.974026,	0.0695733,	0.301484,	1.60019,	0.41744,	0.41744,	0.62616,	0.394249,	1.02041,	0.139147,	0.997217,	0.231911,	0.62616,	0.255102,	0.0463822,	1.25232,	2.78293,	0.649351,	1.36827,	0.115955,	0.950835,	0.324675,	0.0463822,	0,	0.301484,	0.0695733,	0.0927644,	0.324675,	0.463822,	0.115955,	0.0927644,	0.765306,	
GM06990,	0.197873,	35.4687,	1.70665,	1.63245,	2.49815,	0.272075,	0.519416,	0.54415,	0.148405,	0.0989364,	0.469948,	1.87979,	0.84096,	0.0989364,	1.13777,	0.692555,	0.395746,	0.643087,	0.84096,	0.321543,	1.26144,	0.445214,	0.717289,	0.618353,	0.371012,	0.568884,	0.766757,	0.346278,	0.0742023,	0.0742023,	0.717289,	0.865694,	0.272075,	0.96463,	0.371012,	0.247341,	0.816226,	1.63245,	0.346278,	0.816226,	1.48405,	1.03883,	0.173139,	0.692555,	0.173139,	0.148405,	0.173139,	0.123671,	0.816226,	0.742023,	0.469948,	0.123671,	0.445214,	3.38857,	3.1165,	2.34974,	0.148405,	0.247341,	0.148405,	0.692555,	0.321543,	1.0141,	0.371012,	0.84096,	0.0247341,	0.519416,	0.0494682,	0.618353,	0.742023,	0.247341,	0.296809,	1.53351,	0.0247341,	0.296809,	2.54761,	1.0883,	1.0141,	0.0989364,	1.0141,	0.321543,	0.643087,	0.247341,	0,	0.296809,	0.816226,	1.13777,	1.31091,	0.173139,	0.445214,	0.272075,	0.0494682,	0.0742023,	0.0989364,	0.296809,	0.173139,	0,	0.148405,	0.222607,	0.395746,	0.816226,	
GM12865,	0.207469,	32.5496,	1.91332,	1.40618,	1.72891,	0.737667,	0.138313,	0.737667,	0.207469,	0.345781,	0.0922084,	2.1669,	2.35131,	0.691563,	1.1526,	0.43799,	1.93638,	0.230521,	0.230521,	0.43799,	0.55325,	0.253573,	0.184417,	0.668511,	0.0922084,	0.461042,	0.829876,	0.230521,	0.138313,	0.43799,	1.08345,	1.52144,	0.253573,	2.1669,	0.368834,	0.253573,	1.08345,	0.668511,	0.806823,	1.52144,	0.484094,	0.230521,	0.299677,	0.461042,	0.0691563,	0.184417,	0.230521,	0.207469,	0.645459,	0.87598,	0,	0.184417,	0.299677,	4.01107,	1.01429,	1.0604,	0.0461042,	0.368834,	0.161365,	1.31397,	0.207469,	2.14385,	0.55325,	0.55325,	0.0461042,	0.691563,	0.207469,	1.72891,	0.668511,	0.0461042,	0.299677,	2.07469,	0.461042,	0.576302,	0.645459,	0.714615,	1.19871,	0.0461042,	0.87598,	0.253573,	0.760719,	0.138313,	0.0461042,	1.65975,	2.60489,	0.599355,	1.33702,	0.0230521,	1.0604,	0.253573,	0.0691563,	0.11526,	0.11526,	0.161365,	0.0691563,	0.161365,	0.484094,	0.207469,	0.11526,	0.599355,	
H7-hESC,	0.069735,	31.5435,	1.46444,	1.88285,	1.97583,	0.79033,	0.162715,	1.06927,	0.069735,	0.441655,	0.162715,	1.88285,	1.88285,	0.79033,	1.60391,	0.441655,	1.88285,	0.27894,	0.23245,	0.162715,	0.69735,	0.348675,	0.4649,	0.4649,	0.023245,	0.395165,	0.720595,	0.209205,	0.069735,	0.302185,	0.88331,	1.37146,	0.83682,	2.3245,	0.209205,	0.209205,	0.79033,	0.41841,	0.9298,	1.30172,	0.79033,	0.23245,	0.302185,	0.441655,	0.069735,	0.23245,	0.13947,	0.162715,	0.74384,	0.65086,	0,	0.18596,	0.348675,	5.02092,	1.23199,	1.1855,	0.04649,	0.41841,	0.23245,	1.58066,	0.27894,	1.81311,	0.348675,	0.55788,	0.209205,	0.83682,	0.09298,	2.02232,	0.767085,	0.09298,	0.37192,	1.30172,	0.23245,	0.4649,	0.581125,	0.51139,	0.79033,	0.116225,	0.55788,	0.27894,	0.953045,	0.162715,	0.069735,	1.78987,	2.81265,	0.60437,	1.78987,	0,	1.09252,	0.302185,	0.04649,	0.09298,	0.209205,	0.09298,	0.09298,	0.37192,	0.60437,	0.23245,	0.09298,	0.581125,	
HA-h,	0.379464,	29.0179,	2.16518,	2.45536,	1.40625,	0.669643,	0.290179,	1.25,	0.223214,	0.535714,	0.133929,	1.85268,	1.80804,	0.892857,	1.16071,	0.111607,	2.00893,	0.223214,	0.15625,	0.290179,	0.758929,	0.357143,	0.424107,	0.758929,	0.111607,	0.558036,	0.625,	0.15625,	0.334821,	0.602679,	1.67411,	1.69643,	0.892857,	1.22768,	0.290179,	0.379464,	0.714286,	0.357143,	0.736607,	1.16071,	0.803571,	0.267857,	0.267857,	0.558036,	0.0892857,	0.245536,	0.357143,	0.15625,	0.46875,	1.31696,	0.200893,	0.245536,	0.223214,	3.63839,	1.02679,	0.803571,	0.0669643,	0.424107,	0.580357,	1.31696,	0.178571,	2.25446,	0.46875,	0.758929,	0.178571,	0.78125,	0.446429,	1.65179,	0.714286,	0.200893,	0.178571,	1.38393,	0.669643,	0.669643,	0.46875,	0.736607,	0.825893,	0.200893,	0.736607,	0.46875,	0.758929,	0.267857,	0.0892857,	2.03125,	2.94643,	0.3125,	1.00446,	0.111607,	1.13839,	0.357143,	0.290179,	0.133929,	0.245536,	0.357143,	0.0446429,	0.446429,	0.625,	0.0446429,	0.0892857,	0.825893,	
HAEpiC,	0.119104,	33.2301,	1.69128,	2.00095,	2.21534,	0.666984,	0.190567,	0.762268,	0.119104,	0.238209,	0.142925,	2.54883,	1.76274,	0.83373,	1.64364,	0.333492,	2.04859,	0.190567,	0.166746,	0.309671,	0.690805,	0.190567,	0.309671,	0.80991,	0.0238209,	0.476417,	0.80991,	0.214388,	0.119104,	0.381134,	0.976656,	1.31015,	0.452596,	2.1677,	0.452596,	0.0714626,	0.619343,	0.428776,	0.952835,	1.50071,	0.595522,	0.26203,	0.166746,	0.786089,	0.119104,	0.357313,	0.119104,	0.0952835,	0.643163,	1.04812,	0.0714626,	0.142925,	0.26203,	4.83564,	0.83373,	1.21486,	0.0952835,	0.142925,	0.214388,	1.26251,	0.28585,	1.85803,	0.404955,	0.524059,	0.0476417,	0.571701,	0.0714626,	2.12006,	0.571701,	0.166746,	0.404955,	1.42925,	0.214388,	0.476417,	0.238209,	0.54788,	1.11958,	0.0714626,	0.690805,	0.28585,	0.80991,	0.166746,	0.0714626,	1.45307,	2.66794,	0.54788,	1.47689,	0.0476417,	0.714626,	0.26203,	0.0476417,	0.0238209,	0.190567,	0.190567,	0.0714626,	0.357313,	0.524059,	0.0714626,	0.119104,	0.643163,	
HCF,	0.252583,	32.5832,	1.95178,	1.67623,	2.3651,	0.734788,	0.206659,	0.665901,	0.114811,	0.229621,	0.114811,	2.31917,	1.9977,	0.75775,	1.14811,	0.344432,	2.27325,	0.137773,	0.206659,	0.505166,	0.75775,	0.229621,	0.137773,	0.574053,	0.0229621,	0.390356,	0.964409,	0.114811,	0.183697,	0.390356,	1.0333,	1.90586,	0.459242,	2.29621,	0.413318,	0.160735,	0.895522,	0.482204,	0.826636,	1.83697,	0.711825,	0.252583,	0.160735,	0.711825,	0.0459242,	0.229621,	0.137773,	0.229621,	0.665901,	1.0333,	0.0229621,	0.275545,	0.114811,	4.5465,	0.75775,	0.87256,	0.0229621,	0.275545,	0.413318,	1.14811,	0.160735,	2.38806,	0.505166,	0.505166,	0.183697,	0.43628,	0.229621,	1.97474,	0.895522,	0.137773,	0.275545,	1.58439,	0.183697,	0.344432,	0.597015,	0.642939,	1.0333,	0.114811,	0.642939,	0.183697,	0.459242,	0.252583,	0.0918485,	1.44661,	2.54879,	0.390356,	1.3318,	0.0229621,	0.964409,	0.252583,	0.0459242,	0.137773,	0.206659,	0.137773,	0.0918485,	0.390356,	0.413318,	0.0688863,	0.114811,	0.32147,	
HCM,	0.161925,	35.9704,	1.96623,	1.94309,	1.96623,	0.55517,	0.185057,	0.925283,	0.208189,	0.208189,	0.161925,	2.17442,	1.8737,	1.01781,	1.1566,	0.208189,	1.71177,	0.185057,	0.300717,	0.346981,	0.740227,	0.300717,	0.161925,	0.578302,	0.0693962,	0.43951,	0.809623,	0.231321,	0.231321,	0.323849,	1.27226,	1.66551,	0.277585,	1.75804,	0.254453,	0.161925,	0.740227,	0.300717,	0.948415,	1.50359,	0.532038,	0.11566,	0.208189,	0.717095,	0.0693962,	0.208189,	0.161925,	0.208189,	0.485774,	1.06408,	0.0925283,	0.11566,	0.231321,	4.37196,	0.67083,	1.08721,	0.0231321,	0.254453,	0.323849,	1.04094,	0.161925,	2.3826,	0.578302,	0.393245,	0.11566,	0.717095,	0.346981,	2.05876,	0.693963,	0.138792,	0.185057,	1.226,	0.43951,	0.393245,	0.508906,	0.624566,	0.740227,	0.0693962,	0.508906,	0.208189,	0.67083,	0.161925,	0.0462642,	1.57298,	2.35947,	0.300717,	1.24913,	0.0231321,	0.763359,	0.370113,	0.0462642,	0.0231321,	0.185057,	0.0693962,	0.0693962,	0.346981,	0.508906,	0,	0.0925283,	0.67083,	
