cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0501253,	27.1178,	0.85213,	2.00501,	1.00251,	0.401002,	0.501253,	0.601504,	0.601504,	0.300752,	0.350877,	1.00251,	1.70426,	0.451128,	0.802005,	0.701754,	1.00251,	0.0501253,	0.401002,	0.350877,	1.50376,	0.501253,	0.200501,	0.952381,	0.350877,	0.651629,	0.401002,	0.200501,	0.200501,	0.551378,	0.451128,	0.85213,	0.200501,	2.15539,	0.601504,	0.250627,	0.501253,	1.45363,	0.401002,	1.25313,	1.15288,	0.451128,	0.0501253,	0.551378,	0.350877,	0.300752,	0.350877,	0.0501253,	1.60401,	1.35338,	0.100251,	0.401002,	0.501253,	1.35338,	2.35589,	1.15288,	1.30326,	0.250627,	0.0501253,	0.350877,	0.451128,	0.601504,	0.501253,	0.300752,	0.0501253,	0.350877,	0.451128,	1.15288,	0.902256,	0.0501253,	0.401002,	2.35589,	0.100251,	0.802005,	3.65915,	0.902256,	1.05263,	0.200501,	3.3584,	0.451128,	1.45363,	0.0501253,	0,	1.40351,	1.95489,	0.501253,	3.30827,	0,	0.85213,	0.300752,	0.551378,	0.401002,	0.501253,	0.350877,	0.0501253,	0.350877,	0.150376,	0.802005,	0.200501,	0.802005,	
AoAF,	0.144509,	25.4817,	0.915222,	1.5896,	1.44509,	0.481696,	0.578035,	0.770713,	0.626204,	0.144509,	0.626204,	0.578035,	1.34875,	0.433526,	1.1079,	0.529865,	0.770713,	0.0963391,	0.240848,	0.192678,	1.39692,	0.433526,	0.337187,	0.770713,	0.337187,	0.770713,	0.385356,	0.289017,	0.0963391,	0.481696,	0.722543,	1.05973,	0.240848,	1.92678,	0.578035,	0.385356,	0.626204,	1.39692,	0.0481696,	1.34875,	1.63777,	0.963391,	0.0963391,	0.337187,	0.289017,	0.192678,	0.240848,	0.192678,	1.44509,	1.34875,	0.144509,	0.626204,	0.626204,	1.5896,	2.40848,	1.01156,	1.44509,	0.0481696,	0.0963391,	0.529865,	0.433526,	1.01156,	0.481696,	0.192678,	0.144509,	0.529865,	0.192678,	0.915222,	1.5896,	0.192678,	0.626204,	2.31214,	0.192678,	0.626204,	3.13102,	0.770713,	1.15607,	0.289017,	3.66089,	0.240848,	1.63777,	0.0963391,	0.0481696,	1.15607,	2.74566,	0.963391,	2.98651,	0.192678,	0.867052,	0.240848,	0.385356,	0.385356,	0.144509,	0.578035,	0.192678,	0.144509,	0.337187,	0.385356,	0.289017,	0.529865,	
CD20+,	0.357143,	24.4388,	1.22449,	1.73469,	1.42857,	0.408163,	0.459184,	0.357143,	0.816326,	0,	0.153061,	0.969388,	1.9898,	0.816326,	0.969388,	0.714286,	0.408163,	0.102041,	0.510204,	0.357143,	1.37755,	0.408163,	0.255102,	1.32653,	0.204082,	0.561224,	0.561224,	0.357143,	0.459184,	0.510204,	0.459184,	0.612245,	0.357143,	2.14286,	0.714286,	0.510204,	0.612245,	1.9898,	0,	1.9898,	1.22449,	0.969388,	0.153061,	0.714286,	0.408163,	0.153061,	0.357143,	0.153061,	1.78571,	1.22449,	0.102041,	0.408163,	0.306122,	1.12245,	2.14286,	0.714286,	1.22449,	0.306122,	0,	0.459184,	0.612245,	1.37755,	0.816326,	0.357143,	0.102041,	0.612245,	0.510204,	1.63265,	1.12245,	0.102041,	0.561224,	2.90816,	0.0510204,	0.408163,	2.04082,	0.510204,	1.27551,	0.204082,	4.08163,	0.102041,	1.32653,	0.510204,	0,	0.816326,	2.2449,	0.612245,	3.21429,	0.0510204,	0.612245,	0.306122,	0.459184,	0.408163,	0.561224,	0.0510204,	0.204082,	0.357143,	0.102041,	0.714286,	0.0510204,	0.459184,	
GM06990,	0.352734,	39.6237,	2.93945,	2.29277,	1.35215,	0.646678,	0.235156,	0.764256,	0.235156,	0.0587889,	0.117578,	0.940623,	1.82246,	1.35215,	0.764256,	1.41093,	0.529101,	0.235156,	0.352734,	0.235156,	0.881834,	0.117578,	0.411523,	0.705467,	0.117578,	0.0587889,	0.176367,	0.411523,	0.117578,	0.176367,	0.352734,	1.76367,	0.529101,	0.999412,	0.293945,	0.293945,	1.52851,	0.881834,	0.587889,	0.705467,	0.587889,	0.764256,	0.176367,	0.587889,	0,	0.176367,	0.176367,	0.117578,	0.587889,	0.823045,	0.176367,	0.0587889,	0.352734,	1.52851,	1.82246,	0.352734,	0.0587889,	0.646678,	0.117578,	0.411523,	0.235156,	0.293945,	0.411523,	0.293945,	0,	0.411523,	0.235156,	0.823045,	2.05761,	0.117578,	0.646678,	1.23457,	0.117578,	0.352734,	1.52851,	0.235156,	2.1164,	0.0587889,	1.70488,	0.0587889,	1.0582,	0.470312,	0,	0.940623,	0.999412,	1.11699,	1.99882,	0.117578,	0.293945,	0.293945,	0,	0.0587889,	0.352734,	0.293945,	0,	0.117578,	0.235156,	0,	0.176367,	1.64609,	
GM12865,	0.0983768,	28.7752,	1.37727,	1.22971,	1.62322,	0.245942,	0.491884,	0.491884,	0.836203,	0.344319,	0.344319,	1.03296,	1.62322,	0.688637,	1.08214,	0.590261,	1.22971,	0.0491884,	0.442696,	0.147565,	1.18052,	0.787014,	0.393507,	0.491884,	0.147565,	0.688637,	0.541072,	0.393507,	0.245942,	0.590261,	0.491884,	1.13133,	0.442696,	2.21348,	0.885391,	0.245942,	0.491884,	1.96754,	0.29513,	1.2789,	1.32809,	0.541072,	0.0491884,	0.442696,	0.344319,	0.0491884,	0.29513,	0.147565,	1.67241,	1.08214,	0.0491884,	0.29513,	0.393507,	1.42646,	1.86916,	0.787014,	0.983768,	0.245942,	0.0983768,	0.491884,	0.442696,	0.787014,	0.442696,	0.245942,	0.147565,	0.541072,	0.147565,	1.22971,	1.08214,	0,	0.29513,	2.50861,	0.196754,	0.590261,	3.00049,	0.934579,	0.934579,	0.196754,	2.9513,	0.196754,	1.37727,	0.147565,	0,	0.688637,	2.21348,	0.885391,	2.9513,	0.0983768,	0.836203,	0.29513,	0.393507,	0.245942,	0.442696,	0.29513,	0.196754,	0.245942,	0.29513,	0.590261,	0.245942,	0.442696,	
H7-hESC,	0.201207,	20.9759,	1.05634,	2.16298,	1.30785,	0.55332,	0.503018,	0.704225,	0.704225,	0.100604,	0.301811,	1.20724,	1.81087,	0.955734,	0.704225,	1.10664,	0.754527,	0.100604,	0.754527,	0.352113,	0.905433,	0.704225,	0.55332,	1.00604,	0.201207,	1.05634,	0.754527,	0.201207,	0.251509,	0.804829,	0.402414,	1.10664,	0.352113,	2.41449,	0.653924,	0.402414,	0.653924,	1.55936,	0.402414,	1.25755,	1.00604,	0.855131,	0.251509,	0.452716,	0.352113,	0.352113,	0.503018,	0.150905,	2.36419,	0.905433,	0.352113,	0.251509,	0.352113,	1.25755,	2.36419,	0.905433,	1.40845,	0.402414,	0,	0.905433,	0.855131,	1.20724,	0.603622,	0.653924,	0.150905,	0.754527,	0.352113,	1.15694,	1.40845,	0.0503018,	0.452716,	1.81087,	0.0503018,	0.452716,	3.21932,	0.352113,	1.71026,	0.0503018,	3.72233,	0.201207,	1.65996,	0.100604,	0,	0.754527,	1.50905,	1.15694,	2.31388,	0.100604,	0.905433,	0.503018,	0.754527,	0.503018,	0.452716,	0.905433,	0.452716,	0.301811,	0.150905,	0.251509,	0.352113,	0.301811,	
HA-h,	0.232883,	17.0005,	1.3973,	1.67676,	1.11784,	0.558919,	0.605496,	0.791803,	1.11784,	0.232883,	0.745226,	1.02469,	1.86306,	0.745226,	1.21099,	0.465766,	1.16442,	0.0931532,	0.41919,	0.232883,	1.63018,	0.558919,	0.27946,	0.698649,	0.27946,	0.745226,	0.652073,	0.41919,	0.465766,	1.63018,	0.605496,	1.16442,	0.41919,	2.23568,	0.931532,	0.465766,	0.465766,	1.81649,	0.41919,	1.86306,	1.95622,	1.02469,	0.0931532,	0.652073,	0.558919,	0.372613,	0.605496,	0.0931532,	0.931532,	1.16442,	0.0931532,	0.652073,	0.698649,	1.02469,	2.23568,	0.652073,	2.00279,	0.0465766,	0.0465766,	1.11784,	0.512343,	1.16442,	0.745226,	0.978109,	0.13973,	0.745226,	0.745226,	1.58361,	1.35072,	0.232883,	0.465766,	2.00279,	0.326036,	0.745226,	1.86306,	0.27946,	1.07126,	0.13973,	2.88775,	0.41919,	2.00279,	0.41919,	0.0931532,	0.884956,	2.28225,	0.558919,	2.56171,	0.232883,	1.11784,	0.13973,	0.745226,	0.838379,	0.41919,	0.372613,	0.13973,	0.232883,	0.41919,	1.02469,	0.186306,	0.465766,	
HAEpiC,	0.250376,	30.3956,	0.851277,	1.45218,	1.25188,	0.450676,	0.350526,	0.901352,	0.450676,	0.300451,	0.650976,	0.751127,	1.8027,	0.650976,	1.05158,	0.350526,	0.650976,	0.10015,	0.550826,	0.350526,	1.15173,	0.450676,	0.150225,	0.801202,	0.150225,	0.350526,	0.701052,	0.300451,	0.450676,	0.500751,	0.650976,	0.701052,	0.450676,	1.75263,	0.650976,	0.150225,	0.801202,	1.70255,	0.300451,	0.751127,	1.30195,	0.600901,	0.0500751,	0.650976,	0.400601,	0.0500751,	0.250376,	0.150225,	1.65248,	0.851277,	0.400601,	0.250376,	0.751127,	1.85278,	2.50376,	0.851277,	1.10165,	0.0500751,	0,	0.450676,	0.450676,	0.851277,	0.2003,	0.300451,	0.2003,	0.450676,	0.250376,	1.25188,	0.951427,	0.0500751,	0.250376,	2.50376,	0.0500751,	0.650976,	3.00451,	0.851277,	0.701052,	0.10015,	2.45368,	0.300451,	1.95293,	0.2003,	0.10015,	0.951427,	2.2033,	0.450676,	3.25488,	0.300451,	0.801202,	0.300451,	0.300451,	0.350526,	0.250376,	0.300451,	0.0500751,	0.0500751,	0.150225,	0.751127,	0.250376,	0.550826,	
HCF,	0.196175,	25.9931,	1.02992,	1.37322,	1.22609,	0.196175,	0.490436,	0.784698,	0.784698,	0.343306,	0.53948,	0.980873,	1.52035,	0.53948,	1.128,	0.53948,	0.784698,	0.147131,	0.588524,	0.245218,	1.71653,	0.441393,	0.245218,	0.882786,	0.343306,	0.833742,	0.53948,	0.196175,	0.245218,	1.02992,	0.637567,	0.882786,	0.294262,	2.20696,	0.686611,	0.245218,	0.441393,	2.05983,	0.441393,	1.27513,	1.17705,	0.686611,	0.0980873,	0.833742,	0.196175,	0,	0.441393,	0.0490437,	1.66748,	1.02992,	0.392349,	0.441393,	0.441393,	1.66748,	2.84453,	0.735655,	1.17705,	0.147131,	0,	0.833742,	0.147131,	1.17705,	0.931829,	0.196175,	0.0490437,	0.490436,	0.294262,	1.17705,	0.735655,	0.196175,	0.343306,	2.55027,	0.147131,	0.294262,	3.18784,	1.02992,	0.784698,	0.0980873,	2.15792,	0.196175,	1.47131,	0.245218,	0.147131,	1.02992,	2.59931,	0.343306,	3.38401,	0.0490437,	0.931829,	0.441393,	0.490436,	0.343306,	0.588524,	0.294262,	0.0980873,	0.147131,	0.196175,	0.490436,	0.0980873,	0.490436,	
