cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.110254,	16.4278,	4.85116,	2.42558,	2.31533,	0.330761,	0.551268,	0.220507,	0.992282,	0.220507,	0.551268,	0.771775,	0.661521,	0.661521,	0.771775,	0.992282,	0.330761,	1.32304,	0,	0,	0.110254,	0,	2.31533,	0.441014,	0.551268,	0.551268,	0.882029,	2.97685,	0.330761,	0.110254,	0.110254,	2.42558,	1.21279,	0.992282,	0.110254,	0.220507,	0.441014,	0.220507,	5.18192,	0.661521,	0.110254,	0.441014,	0.441014,	0.220507,	0,	0.441014,	0.110254,	0.441014,	1.32304,	0,	0.110254,	0.110254,	0.220507,	1.54355,	1.10254,	0.441014,	0.220507,	1.21279,	0.441014,	0.220507,	0.330761,	0.551268,	1.6538,	0,	0.220507,	0.441014,	0.220507,	0.771775,	0.992282,	0.771775,	0.771775,	1.32304,	0.330761,	0.110254,	2.64609,	0.661521,	4.07938,	0,	1.32304,	1.4333,	2.31533,	0.771775,	0.220507,	0.441014,	2.20507,	0.992282,	2.20507,	0,	0.220507,	0.220507,	0.110254,	0.551268,	0,	0.220507,	0,	0.330761,	0.882029,	0,	0.330761,	5.84344,	
AoAF,	0,	15.0785,	4.50262,	2.72251,	3.03665,	0.209424,	0.209424,	0.418848,	0.628272,	0.418848,	0.209424,	0.209424,	1.25654,	0.942408,	0.732984,	0.732984,	0.209424,	1.46597,	0,	0.104712,	0.837696,	0.209424,	1.98953,	0.104712,	1.36126,	0.942408,	0.732984,	1.67539,	0.52356,	0.209424,	0,	2.51309,	0.628272,	1.04712,	0.104712,	0.418848,	0.732984,	0.209424,	5.02618,	0.732984,	0.209424,	0.52356,	0.52356,	0.209424,	0.104712,	0.628272,	0.314136,	0.52356,	0.942408,	0.314136,	0,	0.104712,	0.104712,	2.09424,	1.57068,	0.732984,	0.104712,	0.732984,	0.628272,	0,	0.52356,	0.314136,	1.36126,	0.418848,	0.314136,	0.314136,	0.209424,	0.314136,	0.942408,	1.04712,	0.52356,	1.7801,	0.104712,	0.104712,	3.87435,	0,	2.51309,	0,	1.36126,	0.942408,	1.88482,	1.04712,	0.209424,	0.104712,	3.35079,	0.942408,	2.30366,	0.209424,	0.314136,	0.209424,	0,	0.628272,	0.104712,	0.52356,	0,	0.418848,	0.418848,	0,	0.418848,	6.49215,	
CD20+,	0.229358,	21.5596,	4.47248,	1.14679,	2.86697,	0.344037,	0.917431,	0.573394,	0.573394,	0.344037,	0.114679,	1.03211,	2.1789,	0.344037,	0.458716,	0.802752,	0.573394,	1.14679,	0.229358,	0.802752,	0.344037,	0,	0.802752,	0.573394,	1.03211,	0.573394,	0.458716,	1.03211,	0.458716,	0.458716,	0.114679,	2.63761,	0.573394,	1.37615,	0.114679,	0.229358,	0.688073,	0.229358,	2.63761,	0.802752,	0.114679,	0.802752,	0.573394,	0.344037,	0,	0.229358,	0.458716,	0.458716,	1.26147,	0.344037,	0,	0.229358,	0.458716,	1.6055,	1.83486,	0.688073,	0.114679,	1.37615,	1.14679,	0.229358,	0.802752,	0.458716,	0.802752,	0.458716,	0.229358,	0.917431,	0,	1.14679,	1.14679,	0.802752,	0.802752,	1.94954,	0.344037,	0,	2.1789,	0.573394,	2.29358,	0,	1.94954,	1.26147,	1.83486,	0.573394,	0.114679,	0.458716,	1.94954,	1.14679,	0.917431,	0.114679,	0.573394,	0,	0.114679,	0.344037,	0.114679,	0.688073,	0.114679,	0,	0.573394,	0,	0.573394,	3.55505,	
GM06990,	0.266667,	23.2,	1.33333,	1.73333,	2.4,	0.266667,	1.6,	0.266667,	0.266667,	0,	0.666667,	1.2,	0.4,	0.4,	0.4,	1.33333,	0.8,	0,	1.86667,	1.2,	2.8,	0.666667,	0,	4.4,	0,	0.4,	0.4,	0.133333,	0,	0,	0.4,	0.533333,	0.666667,	1.86667,	2.8,	0,	0.266667,	6.66667,	0,	0.8,	1.33333,	0.533333,	0,	2.53333,	0.4,	0,	0.8,	0,	1.33333,	2.8,	0.533333,	0.4,	0.266667,	0.666667,	0.933333,	0.266667,	0.8,	0.533333,	0,	0.666667,	0,	0.8,	0.533333,	0.533333,	0.133333,	0.133333,	0.133333,	0.533333,	0.933333,	0,	0.266667,	2,	0,	1.2,	3.46667,	1.06667,	0.4,	0.266667,	2.13333,	0.133333,	0.666667,	0.133333,	0,	0,	0.266667,	1.6,	2.13333,	0,	2.26667,	0.4,	0,	0.133333,	0.4,	0,	0,	0,	0,	0,	0,	0.133333,	
GM12865,	0,	22.5352,	5.74215,	1.30011,	1.73348,	0.325027,	0.325027,	0.325027,	0.216685,	0.108342,	0.433369,	1.19177,	1.51679,	0.325027,	0.758397,	0.541712,	0.325027,	0.975081,	0,	0.216685,	0.216685,	0.108342,	2.70856,	0.325027,	0.650054,	0.433369,	0.216685,	2.0585,	0.541712,	0.108342,	0,	1.84182,	0.866739,	1.40845,	0.216685,	0.108342,	0.650054,	0.325027,	3.14193,	0.325027,	0.108342,	0.325027,	0.650054,	0.325027,	0,	0.216685,	0.325027,	1.08342,	1.19177,	0.216685,	0,	0,	0.216685,	1.19177,	0.758397,	0.866739,	0,	1.08342,	0.325027,	0.108342,	0.325027,	0.433369,	1.08342,	0.325027,	0.325027,	0.975081,	0.108342,	0.975081,	1.51679,	0.975081,	0.541712,	1.62514,	0.108342,	0.108342,	2.49187,	0.433369,	5.20043,	0,	1.40845,	1.30011,	0.650054,	0.433369,	0,	0.108342,	1.51679,	0.650054,	2.27519,	0.108342,	0.216685,	0.216685,	0,	0.650054,	0,	0.325027,	0,	0.325027,	1.08342,	0,	0.650054,	6.3922,	
H7-hESC,	0.218579,	15.1913,	6.12022,	1.63934,	2.51366,	0.10929,	0.218579,	0.327869,	0.655738,	0,	0.546448,	0.10929,	0.655738,	0.655738,	0.546448,	0.327869,	0.10929,	0.546448,	0.10929,	0.327869,	0.327869,	0.10929,	4.80874,	0,	1.0929,	0.546448,	0.437158,	3.1694,	1.20219,	0,	0,	1.74863,	0.765027,	1.20219,	0.327869,	0.437158,	0.10929,	0.546448,	3.06011,	0.437158,	0,	0.327869,	0.874317,	0.218579,	0.218579,	0.437158,	0.218579,	0.437158,	1.53005,	0.327869,	0,	0.10929,	0.327869,	1.42077,	1.20219,	0.437158,	0,	0.874317,	0.765027,	0.218579,	1.31148,	0.437158,	0.437158,	0.218579,	0.10929,	0.437158,	0,	0.437158,	1.74863,	0.437158,	0.655738,	0.983607,	0.218579,	0.218579,	3.06011,	0.765027,	5.2459,	0,	1.63934,	0.437158,	1.42077,	0.218579,	0.10929,	0.218579,	3.06011,	0.655738,	2.18579,	0,	0.218579,	0,	0,	0.327869,	0.10929,	0.327869,	0,	0.765027,	1.63934,	0,	0.655738,	8.08743,	
HA-h,	0.310559,	14.3892,	4.14079,	2.07039,	1.86335,	0.724638,	1.24224,	0.517598,	0.621118,	0.310559,	0.621118,	0.724638,	0.724638,	0.724638,	1.34576,	0.517598,	0.517598,	1.65631,	0.414079,	0,	0.310559,	0.310559,	1.13872,	0.310559,	0.621118,	0.724638,	0.517598,	1.5528,	0.414079,	0.10352,	0,	3.20911,	0.931677,	1.65631,	0.207039,	0.310559,	0.310559,	1.0352,	3.62319,	0.414079,	0.310559,	1.13872,	0.621118,	0.310559,	0,	0.414079,	0.414079,	1.13872,	1.24224,	0.10352,	0,	0.10352,	0.207039,	1.0352,	1.34576,	1.96687,	0.517598,	1.13872,	0.621118,	0.10352,	0.828157,	0.931677,	1.0352,	0.621118,	0.310559,	0.517598,	0,	0.517598,	1.24224,	0.828157,	0.931677,	1.13872,	0.310559,	0,	2.07039,	0.828157,	2.17391,	0,	0.931677,	1.13872,	2.07039,	0.724638,	0.310559,	0.414079,	1.75983,	0.931677,	2.48447,	0.414079,	0.517598,	0.517598,	0,	0.828157,	0.414079,	0.931677,	0.207039,	0.207039,	0.828157,	0.207039,	1.0352,	4.96894,	
HAEpiC,	0.109051,	16.1396,	4.58015,	1.41767,	2.83533,	0.109051,	0.654308,	0.436205,	0.87241,	0.109051,	0.327154,	0.654308,	0.654308,	0.436205,	0.87241,	0.981461,	0.109051,	0.981461,	0.218102,	0.218102,	0.327154,	0,	1.85387,	0.109051,	0.436205,	0.654308,	1.09051,	1.96292,	0.436205,	0.109051,	0.109051,	3.38059,	0.545256,	0.981461,	0,	0.218102,	0.763359,	0.654308,	4.36205,	1.09051,	0.218102,	0.654308,	0.436205,	0.327154,	0,	0.218102,	0.218102,	0.109051,	1.85387,	0.218102,	0,	0.218102,	0,	1.74482,	1.52672,	0.763359,	0.218102,	1.41767,	0.981461,	0.218102,	0.545256,	1.09051,	0.763359,	0.218102,	0.545256,	0.87241,	0,	0.763359,	1.63577,	1.30862,	1.09051,	1.63577,	0.218102,	0,	3.27154,	0.436205,	2.72628,	0,	1.19956,	0.87241,	2.18103,	1.30862,	0,	0.218102,	2.39913,	0.981461,	2.39913,	0,	0.436205,	0.109051,	0,	0.327154,	0,	0.436205,	0,	0.109051,	0.87241,	0.109051,	0.327154,	5.45256,	
HCF,	0.106952,	14.9733,	5.24064,	2.24599,	2.45989,	0.320856,	0.213904,	0.106952,	0.748663,	0.213904,	0.534759,	0.534759,	0.641711,	0.534759,	0.534759,	0.534759,	0.534759,	1.60428,	0.106952,	0.427808,	0.213904,	0,	3.42246,	0.427808,	1.06952,	0.320856,	0.213904,	3.20856,	0.320856,	0.106952,	0,	1.92513,	1.17647,	1.06952,	0,	0.106952,	0.641711,	0.427808,	4.49198,	0.641711,	0.106952,	0.855615,	0.962567,	0.320856,	0.106952,	0.534759,	0.427808,	0.534759,	1.39037,	0.213904,	0,	0,	0.106952,	2.24599,	1.39037,	0.427808,	0,	0.748663,	0.641711,	0.106952,	0.534759,	0.641711,	1.28342,	0.320856,	0.534759,	0.748663,	0,	0.213904,	1.28342,	1.06952,	0.320856,	0.855615,	0.106952,	0.106952,	3.1016,	0.320856,	3.74332,	0,	1.39037,	1.49733,	1.06952,	0.962567,	0,	0.106952,	2.45989,	0.748663,	1.92513,	0.213904,	0.534759,	0.213904,	0,	0.962567,	0.106952,	0.534759,	0,	0.213904,	0.962567,	0.106952,	0.534759,	6.73797,	
HCM,	0.214592,	13.6266,	5.15021,	2.03863,	1.82403,	0.429185,	0.536481,	0.214592,	0.536481,	0.321888,	0.429185,	0.751073,	0.965665,	0.751073,	0.965665,	1.18026,	0.536481,	1.71674,	0,	0,	0.321888,	0.107296,	1.71674,	0.214592,	0.858369,	0.429185,	0.214592,	2.6824,	0.536481,	0,	0,	3.11159,	1.28755,	2.03863,	0,	0.107296,	0.751073,	0.321888,	4.93562,	0.536481,	0.214592,	0.643777,	0.751073,	0.214592,	0.107296,	0.429185,	0.321888,	0.858369,	1.28755,	0,	0,	0.107296,	0.107296,	0.965665,	1.07296,	0.858369,	0,	1.60944,	0.536481,	0.107296,	0.429185,	0.429185,	2.14592,	0.321888,	0.107296,	0.858369,	0.107296,	0.429185,	1.07296,	1.07296,	0.751073,	1.50215,	0.536481,	0,	3.54077,	0.536481,	2.7897,	0,	0.965665,	1.82403,	1.71674,	1.28755,	0.107296,	0.214592,	2.46781,	0.858369,	1.82403,	0,	0,	0.107296,	0,	0.751073,	0.107296,	0.321888,	0,	0.429185,	1.60944,	0,	0.321888,	5.90129,	
