cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.508367,	13.2599,	0.571913,	0.741368,	1.65219,	0.0635459,	0.86846,	0.10591,	0.127092,	0.0423639,	0.148274,	1.16501,	0.529549,	0.423639,	0.21182,	2.37238,	0.296547,	0.275365,	3.5162,	0.656641,	0.76255,	1.01673,	0.0635459,	5.04131,	0.0423639,	0.296547,	0.0847278,	1.37683,	0.148274,	0.254183,	0.466003,	0.127092,	0.0423639,	1.71574,	7.73141,	0.0847278,	0.233001,	8.2186,	0.10591,	0.487185,	2.26647,	1.67337,	0.190638,	1.48274,	0.0847278,	0,	0.360093,	0.550731,	0.741368,	2.33001,	1.10146,	0.233001,	0.550731,	0.995552,	0.699004,	0.86846,	0.148274,	0.10591,	0,	0.635459,	0.233001,	0.317729,	0.127092,	0.529549,	0,	0.21182,	0.021182,	1.01673,	0.529549,	0.0635459,	0.190638,	1.03792,	0.0847278,	3.57975,	6.84177,	0.423639,	0.317729,	0.423639,	2.96547,	0.148274,	0.233001,	0.148274,	0.0847278,	0.0847278,	0.21182,	1.08028,	0.656641,	0,	1.37683,	0.508367,	0.508367,	0.021182,	2.20292,	0.233001,	2.13938,	0.021182,	0.021182,	0.10591,	0.0847278,	0.360093,	
AoAF,	0.610128,	12.0805,	0.752491,	0.976205,	1.66768,	0.284726,	0.874517,	0.183038,	0.142363,	0.0203376,	0.223714,	0.93553,	0.732154,	0.325402,	0.0813504,	3.05064,	0.122026,	0.183038,	3.59976,	0.732154,	0.793167,	1.83038,	0.101688,	5.22676,	0.101688,	0.42709,	0.0203376,	1.03722,	0.101688,	0.284726,	0.284726,	0.183038,	0.0813504,	1.28127,	8.07403,	0.162701,	0.42709,	8.01302,	0.101688,	0.447427,	2.96929,	2.15579,	0.203376,	1.58633,	0.101688,	0,	0.366077,	0.467765,	0.630466,	2.19646,	1.66768,	0.183038,	0.691479,	0.874517,	1.01688,	0.793167,	0.183038,	0.101688,	0,	0.630466,	0.183038,	0.162701,	0.183038,	0.406752,	0,	0.244051,	0.0203376,	0.447427,	0.488102,	0,	0.122026,	0.854179,	0.0610128,	3.11165,	7.48424,	0.305064,	0.528778,	0.691479,	1.64735,	0.0610128,	0.162701,	0.0610128,	0.0610128,	0.0406752,	0.366077,	0.894855,	0.976205,	0.0610128,	1.19992,	0.528778,	0.549115,	0,	2.19646,	0.183038,	1.83038,	0,	0.0203376,	0.203376,	0.0406752,	0.244051,	
CD20+,	0.221239,	20.0442,	0.818584,	1.26106,	2.34513,	0.221239,	0.553097,	0.331858,	0.199115,	0.0221239,	0.199115,	1.63717,	0.884956,	0.39823,	0.309735,	1.61504,	0.420354,	0.176991,	2.19027,	0.50885,	0.641593,	0.973451,	0.0442478,	4.35841,	0.0221239,	0.353982,	0.442478,	0.973451,	0.176991,	0.265487,	0.464602,	0.331858,	0.0663717,	3.0531,	4.0708,	0.0442478,	0.287611,	5.39823,	0.0221239,	0.707965,	2.07965,	0.995575,	0.110619,	1.19469,	0.132743,	0.0221239,	0.287611,	0.442478,	1.12832,	1.79204,	0.464602,	0.199115,	0.353982,	0.973451,	1.03982,	0.663717,	0.221239,	0.221239,	0,	0.553097,	0.199115,	0.265487,	0.154867,	0.442478,	0.0442478,	0.442478,	0,	0.90708,	0.663717,	0.0221239,	0.132743,	1.52655,	0,	2.76549,	6.32743,	0.353982,	0.353982,	0.199115,	4.49115,	0.132743,	1.21681,	0.132743,	0.0442478,	0.154867,	0.309735,	0.929204,	1.30531,	0.0884956,	2.43363,	0.619469,	0.376106,	0.0221239,	0.995575,	0.176991,	1.17257,	0.0221239,	0.0442478,	0.0221239,	0.0884956,	0.486726,	
GM06990,	0.419507,	23.5973,	0.681699,	1.20608,	1.59937,	0.891453,	0.34085,	2.20241,	0.235973,	0.0786576,	0.183534,	1.46827,	3.67069,	0.943891,	0.524384,	1.59937,	0.393288,	0.0524384,	0.131096,	0.0524384,	0.445726,	0.0524384,	1.25852,	0.262192,	0.131096,	0.104877,	0.65548,	0.104877,	1.04877,	0.34085,	0.104877,	2.14997,	0.524384,	2.67436,	0.131096,	0.812795,	2.54326,	1.41584,	0.288411,	0.65548,	0.0262192,	0.707918,	0.393288,	0.0524384,	0.0262192,	0.419507,	0.104877,	0.0262192,	2.64814,	0.104877,	0,	0.0262192,	0.0786576,	1.52071,	0.996329,	0.943891,	0.131096,	0.235973,	0.262192,	0.550603,	1.44206,	0.629261,	0.183534,	0.31463,	0.235973,	0.65548,	0.0262192,	0.524384,	5.84688,	0.131096,	1.83534,	1.75669,	0.104877,	0.0786576,	1.86156,	0.235973,	3.48715,	0,	5.58469,	0.157315,	1.52071,	0.734137,	0.0786576,	0.786576,	0.917672,	1.41584,	1.12743,	0.0786576,	0.235973,	0.288411,	0.0524384,	0.131096,	0.0786576,	0.681699,	0.0786576,	0.0262192,	0.209754,	0.0524384,	0.183534,	0.996329,	
GM12865,	0.352917,	12.788,	0.788873,	0.892672,	1.43243,	0.186838,	0.622794,	0.207598,	0.207598,	0.0207598,	0.124559,	0.975711,	0.622794,	0.249118,	0.124559,	2.38738,	0.249118,	0.290637,	3.13473,	0.996471,	0.747353,	1.12103,	0.0622794,	4.81628,	0.0415196,	0.269878,	0.0830392,	1.18331,	0.0830392,	0.186838,	0.311397,	0.249118,	0.0415196,	1.84762,	9.07204,	0.186838,	0.435956,	7.36973,	0,	0.602034,	2.34586,	1.76458,	0.103799,	1.39091,	0.0207598,	0,	0.249118,	0.332157,	0.685074,	1.93066,	0.996471,	0.352917,	0.415196,	0.975711,	0.934191,	0.705833,	0.228358,	0.103799,	0,	0.581275,	0.186838,	0.352917,	0.0830392,	0.352917,	0.0415196,	0.186838,	0.0207598,	0.768113,	0.871912,	0.0622794,	0.166078,	1.20407,	0.0622794,	4.1312,	7.84721,	0.186838,	0.435956,	0.539755,	3.28005,	0.103799,	0.269878,	0.0207598,	0.0207598,	0.124559,	0.249118,	1.24559,	0.602034,	0.0207598,	1.32863,	0.415196,	0.352917,	0.0415196,	1.78534,	0.332157,	2.15902,	0,	0.0207598,	0.0830392,	0.0830392,	0.477476,	
H7-hESC,	0.395751,	11.6226,	0.812331,	0.999792,	1.4372,	0.145803,	0.999792,	0.291606,	0.145803,	0.020829,	0.145803,	1.16642,	0.604041,	0.583212,	0.104145,	2.41616,	0.104145,	0.479067,	3.0202,	0.666528,	0.791502,	1.54135,	0.124974,	5.31139,	0.124974,	0.395751,	0.083316,	0.999792,	0.20829,	0.187461,	0.145803,	0.333264,	0.083316,	1.49969,	8.28994,	0.104145,	0.312435,	6.47782,	0.145803,	0.312435,	2.52031,	2.14539,	0.083316,	1.31223,	0.083316,	0.041658,	0.41658,	0.520725,	0.520725,	2.56197,	1.68715,	0.249948,	0.604041,	0.770673,	1.10394,	0.895647,	0.229119,	0.124974,	0,	0.999792,	0.166632,	0.395751,	0.124974,	0.354093,	0.020829,	0.374922,	0.020829,	1.04145,	0.729015,	0.041658,	0.229119,	0.999792,	0.041658,	3.79088,	9.39388,	0.166632,	0.520725,	0.374922,	2.24953,	0.062487,	0.291606,	0.124974,	0.020829,	0.124974,	0.229119,	1.04145,	0.687357,	0.020829,	1.04145,	0.41658,	0.437409,	0,	1.77046,	0.249948,	1.47886,	0,	0,	0.083316,	0.020829,	0.354093,	
HA-h,	0.437202,	11.6653,	1.13275,	1.29173,	1.78855,	0.178855,	0.973768,	0.298092,	0.119237,	0.0198728,	0.238474,	1.31161,	1.03339,	0.457075,	0.238474,	2.16614,	0.278219,	0.616057,	3.89507,	0.934022,	0.993641,	1.53021,	0.0596184,	3.63672,	0.13911,	0.476948,	0.178855,	1.29173,	0.158983,	0.357711,	0.914149,	0.476948,	0.0794913,	1.80843,	5.20668,	0.198728,	0.357711,	5.90223,	0.119237,	0.596184,	2.60334,	1.56995,	0.258347,	1.84817,	0.218601,	0.0596184,	0.516693,	0.735294,	0.794913,	1.86804,	1.29173,	0.655803,	0.894277,	1.37122,	1.01351,	0.814785,	0.278219,	0.298092,	0,	0.914149,	0.178855,	0.49682,	0.238474,	0.49682,	0.0198728,	0.198728,	0,	0.993641,	0.655803,	0.0596184,	0.119237,	1.093,	0.0397456,	2.4841,	6.27981,	0.49682,	0.198728,	0.735294,	2.14626,	0.13911,	0.357711,	0.178855,	0.119237,	0.218601,	0.437202,	1.6097,	0.735294,	0,	1.49046,	0.894277,	0.735294,	0.0198728,	2.0469,	0.357711,	1.55008,	0.0198728,	0.0397456,	0.258347,	0.119237,	0.178855,	
HAEpiC,	0.365356,	13.1098,	0.816677,	1.13905,	1.82678,	0.150441,	1.09607,	0.300881,	0.128949,	0.042983,	0.107458,	1.20352,	0.365356,	0.408339,	0.171932,	2.536,	0.193424,	0.537288,	2.66495,	0.408339,	0.451322,	1.50441,	0.0214915,	4.8141,	0.042983,	0.300881,	0.085966,	1.07458,	0.171932,	0.27939,	0.300881,	0.085966,	0,	1.95573,	8.42467,	0.085966,	0.365356,	4.2983,	0.0644745,	0.408339,	2.49302,	1.74081,	0.0644745,	1.11756,	0.085966,	0.042983,	0.257898,	0.408339,	0.730711,	2.64346,	0.902643,	0.300881,	0.644745,	0.816677,	1.16054,	0.902643,	0.171932,	0.085966,	0,	0.558779,	0.386847,	0.236407,	0.107458,	0.300881,	0.0214915,	0.386847,	0,	0.70922,	0.386847,	0.042983,	0.107458,	0.945626,	0,	3.82549,	10.7458,	0.27939,	0.214915,	0.236407,	4.0619,	0.171932,	0.472813,	0.042983,	0.042983,	0.150441,	0.300881,	0.967118,	0.773694,	0.0214915,	1.59037,	0.644745,	0.27939,	0.0214915,	1.09607,	0.257898,	1.93424,	0.042983,	0.0214915,	0.150441,	0.128949,	0.451322,	
HCF,	0.557736,	10.0806,	0.681677,	1.30138,	1.83846,	0.123941,	0.722991,	0.165255,	0.165255,	0.0206569,	0.206569,	1.03284,	0.619707,	0.475108,	0.103284,	2.80934,	0.26854,	0.247883,	3.96612,	0.805619,	0.867589,	1.1981,	0.0206569,	4.97831,	0.0206569,	0.475108,	0.144598,	1.03284,	0.103284,	0.26854,	0.413138,	0.185912,	0.103284,	1.4873,	8.36604,	0.0826276,	0.26854,	9.17166,	0.0413138,	0.516422,	2.52014,	1.69386,	0.0826276,	2.2516,	0.0826276,	0.0206569,	0.413138,	0.66102,	0.247883,	1.87978,	1.54927,	0.289196,	0.59905,	0.784962,	1.23941,	0.578393,	0.165255,	0.144598,	0,	0.722991,	0.185912,	0.371824,	0.103284,	0.371824,	0.0206569,	0.206569,	0,	0.764305,	0.784962,	0.144598,	0.103284,	0.805619,	0.0413138,	3.40839,	6.44495,	0.351167,	0.557736,	0.413138,	2.04503,	0.0826276,	0.0826276,	0.103284,	0.0206569,	0.206569,	0.26854,	1.07416,	0.784962,	0,	0.867589,	0.681677,	0.578393,	0.0619707,	2.5408,	0.392481,	2.66474,	0.0413138,	0,	0.0619707,	0.165255,	0.33051,	
