cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.223881,	14.3781,	1.14428,	1.61692,	0.995025,	0.621891,	0.223881,	2.18905,	0.149254,	0.124378,	0.696517,	0.995025,	6.76617,	0.373134,	2.61194,	0.845771,	1.59204,	0.124378,	0.149254,	0.0995025,	0.39801,	0.124378,	0.0746269,	0.149254,	0.0995025,	0.149254,	1.16915,	0.223881,	3.78109,	0.771144,	0.149254,	0.845771,	0.323383,	3.28358,	0.0497512,	0.223881,	1.86567,	0.348259,	0.273632,	2.66169,	0.223881,	0.124378,	0.0746269,	0.0995025,	0.348259,	0.422886,	0,	0.0746269,	4.32836,	0.0995025,	0,	0.0746269,	0.248756,	0.572139,	0.323383,	0.547264,	0.472637,	0.771144,	0.945274,	0.248756,	1.89055,	2.8607,	0.0995025,	0.373134,	0.0248756,	0.447761,	0.422886,	0.895522,	2.58706,	0.323383,	2.48756,	1.54229,	0,	0.248756,	0.373134,	0.199005,	0.39801,	0,	5.47264,	0.0746269,	2.66169,	1.31841,	0.0746269,	1.19403,	4.72637,	0.870647,	0.895522,	0.0995025,	0.671642,	0.572139,	0.0995025,	0.323383,	0.273632,	0.0995025,	0.0497512,	0.945274,	0.771144,	0.248756,	0.0248756,	0.472637,	
AoAF,	0.220967,	14.7557,	1.08028,	1.86595,	0.957525,	0.319175,	0.294623,	2.11147,	0.0982077,	0.0736558,	0.712006,	1.15394,	5.7697,	0.319175,	2.72526,	0.662902,	1.47312,	0.0982077,	0,	0.0491039,	0.392831,	0,	0.0736558,	0.343727,	0.147312,	0.147312,	1.2276,	0.171863,	4.02652,	1.00663,	0.147312,	0.564694,	0.319175,	4.07562,	0.0982077,	0.294623,	1.59588,	0.245519,	0.319175,	1.86595,	0.196415,	0.220967,	0.0245519,	0.245519,	0.245519,	0.687454,	0.0245519,	0.0982077,	4.71397,	0.196415,	0.0245519,	0.0491039,	0.220967,	0.589246,	0.171863,	0.687454,	0.270071,	0.982077,	0.932973,	0.12276,	1.86595,	3.06899,	0.0982077,	0.368279,	0.0491039,	0.957525,	0.196415,	0.810214,	1.57132,	0.220967,	1.91505,	1.59588,	0,	0.196415,	0.908421,	0.147312,	0.564694,	0,	4.83673,	0.12276,	2.82347,	1.44856,	0.0245519,	1.05573,	5.94157,	0.687454,	0.908421,	0.270071,	0.957525,	0.466487,	0.0982077,	0.245519,	0.564694,	0.0736558,	0.0491039,	1.2276,	0.51559,	0.294623,	0.0491039,	0.294623,	
CD20+,	0.27562,	19.8447,	1.25282,	1.17765,	1.15259,	0.82686,	0.175395,	2.3553,	0.0501128,	0.0751691,	0.90203,	0.952142,	3.88374,	0.425958,	2.07968,	0.701579,	2.10474,	0.0751691,	0.175395,	0.0751691,	0.350789,	0.125282,	0.100226,	0.250564,	0.0751691,	0.100226,	0.952142,	0.250564,	2.15485,	0.751691,	0.27562,	2.25507,	0.350789,	3.13205,	0.0751691,	0.150338,	2.73114,	0.451015,	0.501128,	1.50338,	0.27562,	0.200451,	0.150338,	0.200451,	0.576297,	0.425958,	0.0250564,	0.0751691,	2.53069,	0.150338,	0,	0.175395,	0.175395,	0.876973,	0.375846,	0.576297,	0.225507,	0.701579,	0.726635,	0.175395,	1.12754,	3.58306,	0.27562,	0.225507,	0,	0.651466,	0.325733,	1.10248,	2.53069,	0.27562,	2.15485,	1.87923,	0.0250564,	0.175395,	0.927086,	0.325733,	0.776748,	0.0250564,	4.18441,	0.250564,	1.67878,	0.952142,	0.0501128,	0.82686,	4.76071,	1.3781,	1.3781,	0.200451,	0.701579,	0.150338,	0.0751691,	0.350789,	0.200451,	0.125282,	0.0250564,	1.12754,	0.82686,	0.0751691,	0,	0.576297,	
GM06990,	0.110865,	17.3503,	0.803769,	0.748337,	1.8847,	1.35809,	0.332594,	0.332594,	0.110865,	0.58204,	0.110865,	1.38581,	0.803769,	0.166297,	0.166297,	0.831486,	0.304878,	0.36031,	0.471175,	0.0277162,	1.66297,	2.35588,	2.49446,	1.8847,	0.166297,	0.388027,	0.110865,	0.277162,	0.0831486,	0.0554324,	0.776053,	4.46231,	0.277162,	0.637472,	0.665188,	0.886918,	1.0255,	1.33038,	0.415743,	0.526608,	1.63525,	3.38137,	0.58204,	0.526608,	0.0554324,	0.110865,	0.748337,	0.332594,	0.859202,	0.914634,	0.776053,	0.138581,	0.58204,	2.13415,	4.65632,	1.80155,	0.0831486,	0.138581,	0,	1.16408,	0.166297,	0.249446,	0.304878,	0.526608,	0.221729,	0.609756,	0.0277162,	1.24723,	3.0765,	0.0831486,	0.221729,	2.38359,	0.665188,	0.94235,	5.15521,	0.803769,	2.7439,	0.58204,	0.415743,	0.277162,	0.110865,	0.110865,	0.0277162,	0.637472,	0.194013,	0.970067,	2.02328,	0.0831486,	0.166297,	0.304878,	0.0554324,	0.0277162,	0.194013,	2.82705,	0.138581,	0.0277162,	0.194013,	0.110865,	0.554324,	1.1918,	
GM12865,	0.316302,	14.4282,	0.778589,	1.3382,	0.973236,	0.486618,	0.340633,	1.84915,	0.364964,	0.0973236,	0.754258,	1.07056,	6.93431,	0.389294,	2.33577,	0.973236,	1.6545,	0.0973236,	0.121655,	0.0729927,	0.243309,	0.0973236,	0.0729927,	0.340633,	0.0486618,	0,	1.14355,	0.316302,	3.94161,	0.875912,	0.0973236,	0.997567,	0.291971,	3.84428,	0.0486618,	0.0973236,	2.14112,	0.389294,	0.316302,	2.33577,	0.145985,	0.291971,	0.0973236,	0.194647,	0.218978,	0.681265,	0.0486618,	0.0243309,	4.42822,	0.0486618,	0,	0.0486618,	0.243309,	0.486618,	0.291971,	0.53528,	0.364964,	1.04623,	0.778589,	0.389294,	1.92214,	2.82238,	0.0973236,	0.413625,	0.0243309,	0.608273,	0.26764,	0.681265,	2.2871,	0.389294,	2.77372,	1.60584,	0.0243309,	0.194647,	0.900243,	0.121655,	0.510949,	0,	5.3528,	0.218978,	2.48175,	1.28954,	0.0243309,	0.924574,	4.69586,	0.875912,	0.681265,	0.0973236,	0.608273,	0.389294,	0,	0.437956,	0.291971,	0.0486618,	0.0243309,	1.11922,	0.608273,	0.26764,	0.0243309,	0.510949,	
H7-hESC,	0.265572,	12.7475,	0.772574,	1.76243,	1.11057,	0.57943,	0.362144,	2.65572,	0.0724288,	0.0482859,	0.724288,	1.44858,	4.70787,	0.627716,	2.29358,	0.845002,	1.54515,	0.0482859,	0.144858,	0.120715,	0.289715,	0.120715,	0.144858,	0.289715,	0.0965717,	0.241429,	0.965717,	0.338001,	3.95944,	0.869145,	0.144858,	0.651859,	0.120715,	4.41816,	0.144858,	0.265572,	1.85901,	0.265572,	0.241429,	1.81072,	0.57943,	0.217286,	0.0482859,	0.0965717,	0.313858,	0.531144,	0,	0.169,	4.17673,	0.217286,	0,	0.0482859,	0.458716,	0.555287,	0.241429,	0.724288,	0.482859,	0.893288,	0.941574,	0.169,	2.26944,	3.09029,	0.193143,	0.241429,	0.0241429,	1.11057,	0.338001,	1.183,	1.521,	0.458716,	1.81072,	1.08643,	0.0482859,	0.289715,	0.965717,	0.169,	0.458716,	0.0241429,	5.91502,	0.144858,	1.93143,	1.15886,	0,	0.748431,	5.98745,	1.23129,	0.748431,	0.313858,	1.014,	0.507001,	0.0482859,	0.193143,	0.555287,	0,	0.0965717,	1.37615,	0.965717,	0.482859,	0,	0.313858,	
HA-h,	0.212615,	12.7097,	1.65367,	1.51193,	0.803213,	0.566974,	0.54335,	2.0789,	0.236239,	0.212615,	1.11032,	1.63005,	3.7562,	0.614222,	2.74037,	0.614222,	2.48051,	0.0708717,	0.236239,	0.141743,	0.330735,	0.165367,	0.11812,	0.141743,	0.0944956,	0.141743,	1.46468,	0.401606,	3.42547,	1.11032,	0.307111,	1.44106,	0.377983,	3.1656,	0.0708717,	0.283487,	1.81904,	0.354359,	0.566974,	1.72455,	0.259863,	0.165367,	0.11812,	0.188991,	0.779589,	0.732341,	0.0472478,	0.11812,	3.87432,	0.236239,	0.0472478,	0.11812,	0.401606,	0.803213,	0.188991,	0.472478,	0.401606,	0.755965,	1.27569,	0.448854,	1.39381,	3.89794,	0.330735,	0.637846,	0.0236239,	0.897708,	0.42523,	0.96858,	1.03945,	0.708717,	1.53555,	1.48831,	0.0944956,	0.236239,	0.755965,	0.448854,	0.496102,	0.0236239,	3.14198,	0.283487,	1.86629,	1.22844,	0.0236239,	0.921332,	5.90598,	0.944956,	1.37019,	0.212615,	0.755965,	0.401606,	0.0708717,	0.614222,	0.212615,	0.0944956,	0.0472478,	1.86629,	0.850461,	0.236239,	0.0944956,	0.590598,	
HAEpiC,	0.176101,	17.283,	1.45912,	1.30818,	0.805031,	0.578616,	0.301887,	2.96855,	0.226415,	0.0503145,	0.528302,	1.28302,	2.74214,	0.528302,	2.26415,	1.13208,	1.61006,	0.0503145,	0.0754717,	0.176101,	0.27673,	0.0503145,	0.0503145,	0.125786,	0.100629,	0.0754717,	1.00629,	0.251572,	2.54088,	0.578616,	0.125786,	1.66038,	0.226415,	4.62893,	0,	0.427673,	2.44025,	0.427673,	0.402516,	2.08805,	0.327044,	0.226415,	0.125786,	0.201258,	0.251572,	0.654088,	0.0251572,	0.100629,	3.77358,	0.150943,	0,	0.0251572,	0.150943,	0.90566,	0.301887,	0.72956,	0.352201,	1.28302,	0.578616,	0.176101,	1.28302,	2.89308,	0.100629,	0.201258,	0.0754717,	1.00629,	0.0503145,	1.15723,	2.7673,	0.377358,	2.66667,	1.08176,	0.0503145,	0.150943,	0.553459,	0.226415,	0.72956,	0,	4.42767,	0.100629,	1.78616,	1.00629,	0,	0.603774,	5.55975,	1.30818,	0.654088,	0.301887,	1.2327,	0.402516,	0.0503145,	0.176101,	0.176101,	0.0251572,	0.0503145,	1.25786,	1.18239,	0.27673,	0.0251572,	0.654088,	
HCF,	0.391198,	11.467,	0.733496,	1.66259,	0.635697,	0.415648,	0.464548,	2.29829,	0.171149,	0.122249,	0.806846,	1.22249,	7.92176,	0.366748,	2.71394,	0.464548,	1.88264,	0.0244499,	0.122249,	0.195599,	0.268949,	0.0733496,	0.0488998,	0.171149,	0.0977995,	0.0488998,	1.41809,	0.415648,	4.69438,	0.977995,	0.0733496,	0.684597,	0.342298,	3.44743,	0.0733496,	0.146699,	1.66259,	0.268949,	0.195599,	2.49389,	0.415648,	0.293399,	0.0488998,	0.268949,	0.293399,	0.562347,	0.0244499,	0.0244499,	4.47433,	0.122249,	0.0488998,	0.0977995,	0.293399,	0.391198,	0.317848,	0.391198,	0.415648,	1.19804,	0.733496,	0.171149,	1.90709,	3.10513,	0.0977995,	0.342298,	0.0244499,	0.684597,	0.195599,	0.709046,	1.83374,	0.415648,	2.17604,	1.19804,	0.0244499,	0.146699,	0.977995,	0.146699,	0.488998,	0,	5.11002,	0.122249,	3.15403,	1.88264,	0.0244499,	1.24694,	5.13447,	0.733496,	0.709046,	0.268949,	0.757946,	0.464548,	0.0244499,	0.415648,	0.464548,	0.0488998,	0.0488998,	1.22249,	0.733496,	0.293399,	0.0244499,	0.366748,	
HCM,	0.416769,	13.116,	0.882569,	1.56901,	0.809022,	0.563864,	0.245158,	2.54964,	0.147095,	0.122579,	0.75999,	1.29934,	5.39348,	0.563864,	2.89287,	0.809022,	1.71611,	0.0245158,	0.0735474,	0.147095,	0.245158,	0.0980633,	0.0490316,	0.318706,	0,	0.147095,	1.27482,	0.171611,	4.41285,	1.05418,	0.269674,	1.27482,	0.318706,	3.50576,	0.0490316,	0.392253,	1.78965,	0.392253,	0.220642,	1.88772,	0.29419,	0.245158,	0.122579,	0.245158,	0.4658,	0.931601,	0.0245158,	0.0735474,	4.51091,	0.147095,	0,	0.0490316,	0.171611,	0.637411,	0.196127,	0.4658,	0.318706,	0.735474,	0.735474,	0.0735474,	2.0103,	2.91738,	0.0735474,	0.269674,	0.0245158,	0.858053,	0.367737,	0.75999,	2.23094,	0.343221,	2.72126,	1.20127,	0,	0.171611,	0.58838,	0.269674,	0.563864,	0.0245158,	4.73155,	0.196127,	2.64771,	1.34837,	0.0245158,	0.858053,	5.95734,	0.735474,	0.809022,	0.220642,	0.809022,	0.318706,	0.0735474,	0.441285,	0.245158,	0.0245158,	0.0245158,	1.32385,	0.858053,	0.196127,	0.0490316,	0.29419,	
