cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.094518,	18.242,	4.77316,	1.41777,	3.59168,	0.047259,	0.897921,	0.0708885,	0.259924,	0.118147,	0.425331,	1.11059,	1.25236,	0.118147,	0.259924,	0.756144,	0.756144,	0.519849,	5.10397,	4.15879,	1.63043,	0.496219,	0.118147,	3.2845,	0.047259,	0.307183,	0.165406,	1.0397,	0.094518,	0.118147,	0.330813,	0.283554,	0.44896,	1.2051,	2.69376,	0.259924,	0.330813,	4.98582,	0.968809,	0.732514,	0.44896,	0.307183,	0.141777,	0.496219,	1.27599,	0,	1.34688,	0.236295,	1.53592,	1.06333,	0.189036,	0.567108,	0.165406,	1.27599,	0.519849,	1.39414,	0.165406,	0.189036,	0.047259,	0.779773,	0.330813,	1.11059,	0.519849,	1.11059,	0.141777,	0.094518,	0.047259,	0.732514,	0.567108,	0.189036,	0.141777,	1.55955,	0.0708885,	0.519849,	2.0794,	1.96125,	0.968809,	0.118147,	0.590737,	0.401701,	0.259924,	0.614367,	0.165406,	0.283554,	0.330813,	2.31569,	1.74858,	0.0236295,	0.803403,	0.118147,	0.0236295,	0.047259,	1.0397,	0.212665,	0.0236295,	0.047259,	0.0236295,	0.189036,	0.330813,	2.4811,	
AoAF,	0.107596,	15.8597,	5.72412,	1.20508,	3.74435,	0.129116,	1.16204,	0.107596,	0.258231,	0.0645578,	0.451904,	1.119,	1.01141,	0.086077,	0.58102,	0.774693,	0.817732,	0.430385,	5.44437,	4.90639,	1.119,	0.408866,	0.150635,	3.0127,	0.0215193,	0.215193,	0.107596,	1.33419,	0.150635,	0.193673,	0.58102,	0.322789,	0.430385,	1.39875,	2.71143,	0.365827,	0.27975,	4.64816,	1.18356,	0.667097,	0.193673,	0.451904,	0.172154,	0.645578,	1.09748,	0.0430385,	1.18356,	0.172154,	1.48483,	0.968367,	0.107596,	0.688616,	0.086077,	1.33419,	0.516462,	1.74306,	0.107596,	0.129116,	0.172154,	0.753174,	0,	1.01141,	0.30127,	0.989886,	0.086077,	0.236712,	0.0215193,	0.817732,	0.494943,	0.215193,	0.236712,	1.20508,	0.0645578,	0.365827,	2.17345,	2.75447,	0.839251,	0.0645578,	0.602539,	0.451904,	0.236712,	0.903809,	0.27975,	0.258231,	0.387347,	2.238,	1.54939,	0.0215193,	0.903809,	0.107596,	0.0215193,	0.129116,	1.05444,	0.086077,	0.0430385,	0.0430385,	0,	0.0645578,	0.451904,	2.94814,	
CD20+,	0.176108,	29.4687,	4.57881,	0.645729,	5.04843,	0.146757,	0.176108,	0.234811,	0.088054,	0.0293513,	0.176108,	2.172,	2.49486,	0.146757,	0.146757,	1.43822,	0.293513,	0.176108,	1.49692,	1.49692,	0.587027,	0.293513,	0.205459,	3.43411,	0.0293513,	0.264162,	0.146757,	0.763135,	0.0587027,	0.088054,	0.176108,	0.322865,	0.44027,	1.99589,	1.29146,	0.322865,	0.264162,	5.5474,	0.557675,	1.64367,	0.0587027,	0.234811,	0.0587027,	0.264162,	0.381567,	0.0293513,	0.293513,	0.146757,	2.37746,	0.410919,	0.088054,	0.176108,	0,	1.23276,	0.352216,	0.997945,	0.0293513,	0.146757,	0.0587027,	0.352216,	0.205459,	0.939243,	0.352216,	0.587027,	0.088054,	0.264162,	0.0293513,	0.821837,	1.37951,	0.234811,	0.293513,	1.49692,	0.0587027,	0.352216,	1.73173,	0.410919,	1.99589,	0,	1.93719,	0.205459,	0.176108,	0.205459,	0.176108,	0.117405,	0.264162,	1.40886,	1.67303,	0,	0.381567,	0.117405,	0,	0.0587027,	0.44027,	0.0587027,	0.0293513,	0.0587027,	0.0293513,	0.088054,	0.264162,	4.31465,	
GM06990,	0.302686,	31.101,	2.42149,	0.945895,	1.96746,	0.189179,	0.227015,	0.113507,	0.151343,	0.227015,	0.113507,	3.25388,	2.34582,	0.227015,	0.378358,	1.43776,	0.340522,	0.0756716,	0.340522,	0.378358,	0.264851,	0.151343,	0.681044,	1.4756,	0.0378358,	0.113507,	0.0756716,	1.4756,	0.264851,	0.113507,	0.151343,	0.189179,	0.605373,	3.21604,	0.567537,	0.113507,	0.227015,	2.76201,	0.681044,	4.57813,	0.189179,	0.378358,	0.113507,	0.0756716,	0,	0,	0.0756716,	0.113507,	1.81612,	0.113507,	0.0378358,	0.302686,	0.0378358,	1.17291,	0.302686,	0.45403,	0.0756716,	0.151343,	0,	0.378358,	0.151343,	0.567537,	0.870223,	1.21075,	0.151343,	0.340522,	0.0378358,	1.5891,	1.13507,	0.227015,	0.567537,	4.23761,	0.0378358,	0.227015,	3.25388,	0.0756716,	4.46462,	0.0756716,	1.81612,	0.113507,	0.227015,	0.113507,	0.0756716,	0.151343,	0.491865,	0.870223,	1.09724,	0,	0.491865,	0.0378358,	0,	0.227015,	0.264851,	0.340522,	0.0378358,	0.0378358,	0.189179,	0.151343,	0.416194,	3.55656,	
GM12865,	0.0273373,	25.9705,	4.23729,	0.738108,	5.08475,	0.109349,	0.546747,	0.0546747,	0.191361,	0,	0.191361,	1.42154,	1.94095,	0.109349,	0.082012,	0.92947,	0.218699,	0.109349,	2.40569,	2.4877,	0.574084,	0.41006,	0.082012,	3.82723,	0.0546747,	0.109349,	0.191361,	1.01148,	0.082012,	0.136687,	0.164024,	0.382723,	0.382723,	1.6129,	2.24166,	0.300711,	0.382723,	6.69765,	0.492072,	1.28486,	0.136687,	0.191361,	0.082012,	0.273373,	0.519409,	0,	0.492072,	0.082012,	2.02296,	0.492072,	0.109349,	0.355385,	0.136687,	1.50355,	0.246036,	0.956807,	0.0273373,	0.136687,	0.0546747,	0.628759,	0.136687,	0.574084,	0.218699,	0.792783,	0,	0.300711,	0.0546747,	1.47622,	0.92947,	0.191361,	0.246036,	2.0503,	0.0546747,	0.546747,	2.73373,	0.738108,	1.47622,	0.0546747,	1.17551,	0.082012,	0.246036,	0.300711,	0.136687,	0.109349,	0.246036,	1.85894,	1.6129,	0,	0.382723,	0.136687,	0.0273373,	0.0273373,	0.847458,	0.082012,	0,	0.0273373,	0,	0.082012,	0.437397,	3.8819,	
H7-hESC,	0.0531491,	25.1395,	5.39463,	0.956684,	4.5974,	0.106298,	0.690938,	0,	0.0531491,	0.106298,	0.186022,	1.6742,	1.249,	0.0531491,	0.318894,	0.930109,	0.451767,	0.504916,	3.48126,	3.08265,	1.06298,	0.29232,	0.132873,	3.08265,	0.106298,	0.0797236,	0.132873,	0.770662,	0,	0.0265745,	0.345469,	0.372044,	0.29232,	1.22243,	1.93994,	0.265745,	0.212596,	5.39463,	0.930109,	1.22243,	0.0531491,	0.318894,	0.212596,	0.239171,	0.58464,	0,	0.717513,	0.372044,	1.70077,	0.504916,	0.212596,	0.504916,	0.106298,	1.64762,	0.451767,	1.54132,	0.132873,	0.29232,	0.186022,	0.690938,	0.106298,	0.956684,	0.239171,	0.797236,	0.0531491,	0.132873,	0,	1.06298,	0.770662,	0.159447,	0.186022,	1.93994,	0,	0.265745,	2.47143,	1.59447,	1.22243,	0.106298,	0.664364,	0.425193,	0.186022,	0.29232,	0.0531491,	0.212596,	0.265745,	1.64762,	1.4616,	0,	0.372044,	0.106298,	0,	0,	0.664364,	0.106298,	0.0531491,	0.0797236,	0.0265745,	0.0531491,	0.265745,	3.61414,	
HA-h,	0.0858922,	16.0404,	6.8499,	1.9111,	3.17801,	0.257677,	0.622719,	0.171784,	0.214731,	0.150311,	0.365042,	1.54606,	1.39575,	0.193257,	0.687138,	0.49388,	1.00923,	0.858922,	2.94181,	2.66266,	1.37428,	0.407988,	0.236204,	1.71784,	0.0858922,	0.536826,	0.300623,	1.15954,	0.0644192,	0.150311,	0.622719,	0.515353,	0.858922,	1.9111,	1.33133,	0.407988,	0.601245,	3.73631,	1.63195,	0.815976,	0.257677,	0.214731,	0.27915,	0.450934,	1.41722,	0.0858922,	0.923341,	0.472407,	1.26691,	0.923341,	0.0858922,	0.665665,	0.128838,	2.10436,	0.472407,	1.28838,	0.0858922,	0.257677,	0.107365,	0.815976,	0.193257,	1.69637,	0.622719,	1.22396,	0.150311,	0.27915,	0.193257,	1.48164,	0.558299,	0.536826,	0.343569,	1.48164,	0.171784,	0.622719,	1.26691,	2.53382,	1.22396,	0.0858922,	1.13807,	0.386515,	0.450934,	0.515353,	0.300623,	0.365042,	0.450934,	1.71784,	1.46017,	0.0429461,	0.944814,	0.0858922,	0.171784,	0.27915,	0.730084,	0.171784,	0.0644192,	0.171784,	0.107365,	0.322096,	0.644192,	2.40498,	
HAEpiC,	0.0705219,	17.6305,	5.54772,	1.5985,	4.27833,	0.141044,	1.01081,	0,	0.164551,	0.0470146,	0.352609,	1.15186,	0.916784,	0.0470146,	0.235073,	0.493653,	0.728726,	0.564175,	5.59473,	4.53691,	1.81006,	0.564175,	0.352609,	3.00893,	0,	0.164551,	0.0705219,	1.10484,	0,	0.0235073,	0.587682,	0.376117,	0.658204,	1.01081,	2.67983,	0.282087,	0.282087,	5.07757,	1.03432,	0.634697,	0.25858,	0.352609,	0.188058,	0.775741,	0.86977,	0.0470146,	1.31641,	0.164551,	1.55148,	0.86977,	0.0705219,	0.658204,	0.0470146,	1.85708,	0.51716,	1.50447,	0.0940292,	0.211566,	0.141044,	0.681711,	0.0235073,	0.963799,	0.376117,	1.26939,	0.0940292,	0.141044,	0.0940292,	1.22238,	0.51716,	0.0940292,	0.0940292,	1.55148,	0,	0.470146,	2.04513,	2.32722,	1.12835,	0.0940292,	0.423131,	0.399624,	0.282087,	0.305595,	0.164551,	0.0940292,	0.235073,	2.44476,	1.33992,	0.0705219,	0.634697,	0.0235073,	0,	0.0705219,	0.752233,	0.0705219,	0.0235073,	0.0235073,	0.0235073,	0.0940292,	0.282087,	2.72685,	
HCF,	0.117151,	16.9166,	4.70947,	1.35895,	3.91284,	0.210872,	0.984067,	0.0468604,	0.445173,	0.117151,	0.374883,	1.07779,	1.38238,	0.140581,	0.492034,	0.913777,	0.749766,	0.374883,	5.15464,	3.79569,	1.33552,	0.562324,	0.234302,	3.67854,	0.187441,	0.351453,	0.117151,	0.796626,	0.0234302,	0.164011,	0.492034,	0.328023,	0.351453,	1.4761,	2.76476,	0.187441,	0.257732,	5.06092,	1.19494,	1.07779,	0.187441,	0.281162,	0.164011,	0.726336,	0.960637,	0.0468604,	1.10122,	0.164011,	1.38238,	0.913777,	0.304592,	0.398313,	0.0937207,	1.75726,	0.679475,	1.38238,	0.164011,	0.210872,	0.0468604,	0.726336,	0.0937207,	1.12465,	0.421743,	1.14808,	0.0702905,	0.164011,	0.0937207,	1.45267,	0.749766,	0.210872,	0.328023,	1.61668,	0.0702905,	0.374883,	1.89784,	2.31959,	0.890347,	0.0468604,	0.773196,	0.328023,	0.328023,	0.468604,	0.0937207,	0.234302,	0.374883,	1.73383,	1.49953,	0.0234302,	0.773196,	0.164011,	0.0468604,	0.164011,	0.937207,	0.140581,	0,	0.0702905,	0.0468604,	0.164011,	0.492034,	2.46017,	
