cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.320439,	20.5997,	1.12154,	2.81529,	0.823987,	0.61799,	0.228885,	0.228885,	0.480659,	0.137331,	0.0686656,	5.63058,	8.30854,	0.389105,	2.5864,	0.572213,	0.755322,	0.0915541,	0.205997,	0.366217,	0.640879,	1.46487,	0.205997,	1.14443,	0.0457771,	0.389105,	0.366217,	0.389105,	0.549325,	1.21309,	0.205997,	0.709545,	1.1902,	2.33463,	0.480659,	0.16022,	0.320439,	1.02998,	0.228885,	1.09865,	0.526436,	1.12154,	0.732433,	0.320439,	0.0457771,	0.114443,	0.0915541,	0.480659,	1.69375,	0.61799,	0.0686656,	0.16022,	0.709545,	4.62348,	0.709545,	0.343328,	0.205997,	0.549325,	0.0915541,	3.15862,	0.228885,	0.434882,	0.205997,	0.801099,	0.228885,	0.228885,	0.114443,	1.62509,	1.0071,	0.0915541,	0.457771,	0.869764,	0.0457771,	1.02998,	2.03708,	0.114443,	0.984207,	0.0915541,	1.46487,	0.251774,	0.595102,	0.343328,	0,	2.17441,	0.801099,	1.09865,	1.48775,	0,	0.93843,	0.686656,	0.0915541,	0,	1.41909,	0.205997,	0.0686656,	0.205997,	0.0686656,	0.0457771,	0.114443,	0.457771,	
AoAF,	0.0839631,	14.3577,	1.23846,	3.48447,	0.797649,	1.11251,	0.314861,	0.230898,	0.650714,	0.0209908,	0.0419815,	6.23426,	8.87909,	0.377834,	3.4005,	0.629723,	0.629723,	0.0419815,	0.104954,	0.251889,	0.27288,	1.38539,	0.146935,	0.797649,	0,	0.419815,	0.566751,	0.377834,	0.482788,	1.67926,	0.125945,	0.860621,	1.5953,	2.0361,	0.419815,	0.0839631,	0.482788,	0.965575,	0.167926,	1.19647,	0.587741,	1.57431,	1.00756,	0.27288,	0.0419815,	0.209908,	0.0419815,	0.293871,	2.05709,	0.734677,	0.104954,	0.27288,	1.07053,	4.93283,	0.587741,	0.377834,	0.146935,	0.713686,	0.0839631,	4.34509,	0.251889,	0.398825,	0.251889,	0.713686,	0.0839631,	0.167926,	0.0839631,	1.07053,	1.00756,	0.0839631,	0.335852,	1.02855,	0.0839631,	1.57431,	2.05709,	0.104954,	0.776658,	0.0419815,	1.49034,	0.27288,	0.650714,	0.104954,	0.125945,	2.37196,	0.965575,	1.15449,	1.76322,	0.0209908,	0.902603,	1.07053,	0.0629723,	0.0209908,	1.46935,	0.146935,	0.0419815,	0.167926,	0.0629723,	0,	0.167926,	0.440806,	
CD20+,	0.187668,	28.4182,	1.60858,	1.15281,	1.50134,	0.402145,	0.214477,	0.241287,	0.160858,	0.0536193,	0.0536193,	4.9866,	7.39946,	0.160858,	0.884719,	1.68901,	0.563003,	0.0536193,	0.241287,	0.187668,	0.160858,	0.643432,	0.187668,	1.87668,	0.080429,	0.187668,	0.321716,	0.268097,	0.348525,	0.723861,	0.080429,	0.428954,	0.670241,	3.16354,	0.857909,	0.160858,	0.589812,	2.19839,	0.160858,	1.90349,	0.187668,	0.884719,	0.268097,	0.134048,	0,	0.0536193,	0.0536193,	0.294906,	2.14477,	0.268097,	0.0536193,	0.134048,	0.643432,	3.3244,	0.294906,	0.241287,	0.187668,	0.402145,	0.0536193,	1.82306,	0.268097,	0.268097,	0.214477,	0.643432,	0.134048,	0.241287,	0.080429,	1.20643,	1.44772,	0,	0.294906,	1.74263,	0.0268097,	0.911528,	2.73458,	0.080429,	1.84987,	0.0536193,	2.60054,	0.107239,	0.428954,	0.187668,	0,	0.723861,	0.482574,	1.26005,	1.55496,	0.0268097,	0.697051,	0.348525,	0.0536193,	0.080429,	0.75067,	0.241287,	0.0536193,	0.0536193,	0,	0.0536193,	0.241287,	1.23324,	
GM06990,	0.253807,	29.0428,	1.124,	0.906454,	3.04569,	0.652647,	0.326323,	0.181291,	0.362582,	0.0725163,	0.0362582,	1.30529,	1.84917,	0.253807,	0.253807,	1.81291,	0.507614,	0.145033,	0.833938,	0.145033,	0.906454,	0.290065,	0.616389,	1.59536,	0,	0.0725163,	0.0362582,	0.471356,	0.253807,	0.145033,	0.0725163,	0.725163,	0.435098,	2.6831,	0.616389,	0.616389,	0.108774,	5.62001,	0.326323,	3.00943,	0.181291,	0.471356,	0.0725163,	0.217549,	0.145033,	0.0362582,	0.217549,	0.0725163,	2.90065,	0.108774,	0.0725163,	0.0362582,	0.0362582,	1.26904,	0.39884,	0.97897,	0.0725163,	0.217549,	0,	0.435098,	0.326323,	1.19652,	0.725163,	0.616389,	0.0362582,	0.145033,	0.0725163,	1.48658,	2.93691,	0.181291,	0.290065,	2.17549,	0.0362582,	0.181291,	2.71936,	0.616389,	4.71356,	0,	2.75562,	0.145033,	0.688905,	0.39884,	0.0725163,	0.253807,	0.435098,	1.05149,	1.45033,	0.0362582,	0.435098,	0.217549,	0.0725163,	0.290065,	0.145033,	0.39884,	0.0725163,	0.145033,	0.0725163,	0.145033,	0.870196,	1.74039,	
GM12865,	0.177665,	24.7716,	1.37056,	1.77665,	1.19289,	0.482234,	0.253807,	0.152284,	0.583756,	0.0761421,	0.203046,	5.43147,	8.83249,	0.177665,	1.24365,	1.39594,	0.761421,	0.0507614,	0.152284,	0.152284,	0.253807,	0.634518,	0.177665,	1.62437,	0.0507614,	0.203046,	0.35533,	0.406091,	0.507614,	0.862944,	0.177665,	0.609137,	1.01523,	2.38579,	0.609137,	0.177665,	0.431472,	1.09137,	0.152284,	1.64975,	0.329949,	0.634518,	0.456853,	0.253807,	0,	0,	0,	0.304569,	2.28426,	0.583756,	0,	0.126904,	0.507614,	4.39086,	0.431472,	0.558376,	0.152284,	0.736041,	0.0507614,	2.18274,	0.406091,	0.380711,	0.126904,	0.761421,	0.0253807,	0.279188,	0.0253807,	1.4467,	1.72589,	0,	0.406091,	1.37056,	0.101523,	1.06599,	2.51269,	0,	1.75127,	0,	2.61421,	0.0761421,	0.203046,	0.203046,	0,	1.16751,	0.253807,	1.4467,	1.5736,	0,	0.685279,	0.253807,	0.101523,	0.0507614,	0.989848,	0.177665,	0.0253807,	0.126904,	0.0507614,	0.0253807,	0.0761421,	0.913706,	
H7-hESC,	0.0717189,	21.5157,	1.09969,	2.10375,	1.00406,	1.02797,	0.286875,	0.19125,	0.502032,	0.119531,	0.119531,	5.57017,	8.46283,	0.406407,	2.46235,	1.29094,	0.669376,	0.0956252,	0.19125,	0.167344,	0.262969,	1.36266,	0.286875,	1.17141,	0.119531,	0.310782,	0.549845,	0.239063,	0.358594,	0.908439,	0.239063,	0.621563,	1.31485,	2.98829,	0.358594,	0.215157,	0.525938,	1.05188,	0.119531,	1.5061,	0.334688,	0.932345,	0.502032,	0.0956252,	0.0239063,	0.143438,	0.0717189,	0.358594,	2.12766,	0.573751,	0.0239063,	0.143438,	0.669376,	5.04423,	0.454219,	0.430313,	0.167344,	0.669376,	0.0956252,	3.37079,	0.167344,	0.597657,	0.215157,	0.788908,	0.0717189,	0.262969,	0.0239063,	1.33875,	1.48219,	0.0717189,	0.406407,	1.36266,	0.0956252,	0.956252,	2.22328,	0.167344,	1.45828,	0,	1.5061,	0.0239063,	0.286875,	0.143438,	0.0478126,	1.64953,	0.573751,	1.17141,	1.41047,	0,	0.430313,	0.597657,	0,	0.0717189,	1.09969,	0.215157,	0.0717189,	0.167344,	0,	0.0478126,	0.0478126,	0.64547,	
HA-h,	0.399663,	14.3458,	1.57762,	2.81868,	0.862432,	0.841397,	0.357594,	0.336559,	0.925536,	0.0841397,	0.12621,	4.05974,	6.01599,	0.652082,	2.31384,	0.778292,	1.19899,	0.0631048,	0.357594,	0.357594,	0.652082,	1.78797,	0.210349,	1.28313,	0.231384,	0.567943,	0.567943,	0.673117,	0.673117,	1.19899,	0.420698,	0.673117,	1.45141,	1.89314,	0.610013,	0.168279,	0.567943,	1.15692,	0.315524,	1.36727,	0.694152,	0.841397,	1.13589,	0.462768,	0.0420698,	0.168279,	0.210349,	0.652082,	2.31384,	1.24106,	0.0420698,	0.273454,	0.883467,	4.75389,	0.757257,	0.483803,	0.504838,	0.694152,	0.294489,	2.35591,	0.357594,	0.673117,	0.525873,	0.883467,	0.273454,	0.399663,	0.0631048,	1.3252,	0.946571,	0.0841397,	0.652082,	0.988641,	0.0841397,	1.05175,	2.01935,	0.105175,	1.3252,	0.0841397,	1.61969,	0.252419,	0.694152,	0.315524,	0.0631048,	1.85107,	1.07278,	1.28313,	1.40934,	0.0420698,	1.07278,	0.673117,	0.147244,	0.0841397,	1.91418,	0.378629,	0.210349,	0.252419,	0.0631048,	0.0210349,	0.294489,	0.694152,	
HAEpiC,	0.0903751,	16.4257,	1.10709,	3.43425,	0.903751,	0.948938,	0.3615,	0.248531,	0.700407,	0.0677813,	0.0677813,	6.82332,	8.54044,	0.429282,	3.00497,	1.12969,	1.12969,	0.0677813,	0.203344,	0.271125,	0.271125,	1.78491,	0.203344,	1.12969,	0,	0.564844,	0.677813,	0.18075,	0.406688,	0.971532,	0.112969,	0.677813,	1.78491,	2.05603,	0.293719,	0.225938,	0.384094,	0.948938,	0.316313,	1.26525,	1.06191,	1.42341,	0.790782,	0.18075,	0,	0.135563,	0.0451875,	0.248531,	1.89788,	0.564844,	0,	0,	0.858563,	5.17397,	0.3615,	0.293719,	0.225938,	0.632625,	0.112969,	4.02169,	0.158156,	0.271125,	0.316313,	0.948938,	0.0677813,	0.316313,	0.0677813,	1.15228,	1.26525,	0,	0.338906,	0.835969,	0.0677813,	1.17488,	1.73972,	0.135563,	1.12969,	0.0451875,	1.60416,	0.0677813,	0.203344,	0.3615,	0.0225938,	2.44013,	0.519657,	1.03931,	1.51378,	0,	0.768188,	0.723,	0.0451875,	0.0677813,	1.31044,	0.248531,	0.0451875,	0.225938,	0.0225938,	0,	0.18075,	0.316313,	
HCF,	0.156915,	18.2246,	1.41224,	3.04864,	0.851827,	0.919076,	0.246581,	0.134499,	0.425913,	0.112082,	0.089666,	5.44721,	7.89061,	0.313831,	2.8469,	0.739744,	1.14324,	0.044833,	0.156915,	0.179332,	0.560412,	1.50191,	0.313831,	1.12082,	0.0672495,	0.403497,	0.717328,	0.44833,	0.605245,	1.36741,	0.268998,	0.784577,	1.14324,	1.56915,	0.313831,	0.179332,	0.627662,	1.03116,	0.201748,	1.65882,	0.717328,	1.07599,	0.739744,	0.336247,	0.0224165,	0.0672495,	0.089666,	0.425913,	2.19682,	0.537996,	0,	0.224165,	0.650078,	4.84196,	0.493163,	0.537996,	0.224165,	0.470746,	0.179332,	3.74356,	0.246581,	0.582829,	0.358664,	0.919076,	0.179332,	0.403497,	0.0672495,	1.00874,	1.03116,	0.044833,	0.403497,	0.806994,	0.089666,	1.34499,	1.9054,	0.179332,	1.25532,	0.089666,	1.56915,	0.224165,	0.493163,	0.358664,	0.0224165,	2.12957,	0.82941,	1.05358,	1.38982,	0.0224165,	0.470746,	0.717328,	0.0672495,	0.044833,	1.50191,	0.291414,	0.044833,	0.201748,	0.134499,	0,	0.179332,	0.493163,	
HCM,	0.22779,	18.246,	1.18451,	3.48519,	0.95672,	0.888383,	0.205011,	0.318907,	0.683371,	0.159453,	0.113895,	5.60364,	8.041,	0.455581,	2.64237,	0.728929,	1.09339,	0.113895,	0.250569,	0.136674,	0.410023,	1.4123,	0.22779,	1.02506,	0.0911162,	0.296128,	0.615034,	0.341686,	0.501139,	1.09339,	0.205011,	0.911162,	1.57175,	2.00456,	0.432802,	0.136674,	0.47836,	0.95672,	0.113895,	1.29841,	0.70615,	1.18451,	0.683371,	0.273349,	0.0911162,	0.273349,	0.022779,	0.569476,	2.05011,	0.615034,	0.022779,	0.0455581,	0.728929,	4.85194,	0.546697,	0.501139,	0.273349,	0.797266,	0.205011,	3.57631,	0.273349,	0.546697,	0.432802,	0.888383,	0.0683371,	0.432802,	0.0455581,	1.20729,	0.888383,	0,	0.637813,	1.00228,	0.0911162,	1.07062,	1.61731,	0.0911162,	1.20729,	0.0455581,	1.50342,	0.205011,	0.432802,	0.113895,	0,	2.14123,	0.842825,	0.979499,	1.45786,	0.0455581,	0.728929,	0.546697,	0.0683371,	0.022779,	1.54897,	0.205011,	0.0911162,	0.136674,	0.0683371,	0.0683371,	0.0911162,	0.47836,	
