cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0748752,	19.3012,	6.04825,	1.13977,	1.44759,	0.440932,	0.0831947,	0.374376,	0.0499168,	0.0415973,	0.216306,	2.57072,	1.2812,	0.765391,	0.349418,	0.881864,	0.599002,	0.457571,	0.141431,	4.27621,	0.14975,	0.232945,	0.0499168,	4.10982,	0.0748752,	0.30782,	0.407654,	3.54409,	0.0915141,	0.31614,	0.224626,	0.831947,	0.224626,	2.96173,	2.44592,	0.174709,	0.77371,	0.682196,	1.69717,	0.823627,	0.47421,	0.399334,	0.257903,	1.26456,	0.0415973,	0.0415973,	0.715474,	0.291181,	1.07321,	1.17304,	0.207987,	2.02163,	0.0665557,	1.97171,	0.499168,	0.332779,	0,	0.30782,	0.0332779,	1.26456,	0.124792,	0.549085,	0.133111,	0.648918,	0.166389,	0.823627,	0.183028,	0.790349,	1.27288,	0.174709,	0.349418,	4.67554,	0.274542,	2.51248,	2.16306,	0.108153,	0.93178,	0.0831947,	0.499168,	0.640599,	0.108153,	0.457571,	0.274542,	0.357737,	0.77371,	0.549085,	0.981697,	0.0332779,	0.549085,	0.174709,	0.0332779,	0.0166389,	1.33111,	0.141431,	0.116473,	0.0582363,	0.0332779,	0.0415973,	0.174709,	3.58569,	
AoAF,	0.135788,	15.0724,	6.17079,	1.13911,	1.65208,	0.686482,	0.128244,	0.505432,	0.0377188,	0.0678938,	0.30175,	2.79873,	1.16928,	0.694025,	0.445081,	0.686482,	0.678938,	0.739288,	0.0980688,	5.37115,	0.18105,	0.226313,	0.0829813,	3.71153,	0.0829813,	0.248944,	0.30175,	4.11135,	0.0980688,	0.437538,	0.339469,	0.867532,	0.3621,	2.50453,	2.7761,	0.165963,	0.875075,	0.565782,	2.02173,	0.7242,	0.550694,	0.392275,	0.2414,	1.65208,	0.0150875,	0.030175,	0.716657,	0.392275,	0.565782,	1.05613,	0.150875,	2.22541,	0.0528063,	2.20278,	0.445081,	0.354556,	0.00754375,	0.30175,	0.0452625,	1.29753,	0.0754375,	0.633675,	0.1207,	0.867532,	0.18105,	1.04104,	0.203681,	1.07121,	0.837357,	0.248944,	0.42245,	4.35275,	0.233856,	3.17592,	2.42155,	0.0678938,	0.7242,	0.0754375,	0.437538,	0.807182,	0.1207,	0.452625,	0.399819,	0.218769,	0.792094,	0.512975,	0.950513,	0.0452625,	0.558238,	0.226313,	0.06035,	0.0150875,	1.43331,	0.264031,	0.0754375,	0.0678938,	0.18105,	0.0528063,	0.279119,	3.33434,	
CD20+,	0.0307157,	28.9751,	4.28996,	0.747415,	2.11938,	0.245725,	0.112624,	0.378827,	0.0819085,	0.0409542,	0.0819085,	3.08181,	2.00676,	0.378827,	0.276441,	1.12624,	0.225248,	0.255964,	0.266203,	1.92485,	0.0716699,	0.153578,	0.112624,	5.04761,	0.0511928,	0.163817,	0.204771,	1.6996,	0.133101,	0.174055,	0.245725,	0.552882,	0.184294,	3.87018,	2.11938,	0.276441,	0.440258,	1.13648,	0.726938,	1.49483,	0.225248,	0.378827,	0.0307157,	0.542644,	0.0307157,	0.0307157,	0.235487,	0.153578,	1.47435,	0.491451,	0.0819085,	0.767892,	0.0307157,	1.67912,	0.337872,	0.409542,	0,	0.21501,	0.0307157,	0.583598,	0.153578,	0.399304,	0.0716699,	0.604075,	0.092147,	0.655268,	0.0819085,	0.829323,	1.91461,	0.14334,	0.327634,	5.14999,	0.0716699,	1.37197,	2.5494,	0.0204771,	1.47435,	0.0716699,	0.982902,	0.28668,	0.0614314,	0.204771,	0.112624,	0.133101,	0.542644,	0.655268,	1.20815,	0.0204771,	0.368588,	0.0409542,	0.0716699,	0.0102386,	0.747415,	0.235487,	0.0716699,	0.112624,	0.092147,	0.0307157,	0.235487,	4.55616,	
GM06990,	0.160278,	33.0172,	1.14866,	0.347269,	3.31241,	0.480833,	0.240417,	0.146921,	0.173634,	0.280486,	0.200347,	2.76479,	1.90998,	0.0934954,	0.307199,	1.29558,	0.520903,	0.0534259,	0.253773,	0.373982,	0.22706,	0.320556,	0.480833,	0.934954,	0.0801389,	0.0667824,	0.133565,	0.360625,	0.200347,	0.120208,	0.0534259,	0.240417,	0.387338,	2.01683,	0.146921,	0.26713,	0.293843,	2.53773,	0.22706,	7.57313,	0.213704,	0.440764,	0.0400695,	0.106852,	0.0934954,	0.0667824,	0.026713,	0.0534259,	1.41579,	0.0801389,	0.0801389,	0.026713,	0.120208,	1.37572,	0.547616,	0.788033,	0.0667824,	0.133565,	0.0400695,	0.307199,	0.45412,	1.10859,	0.681181,	0.788033,	0.0133565,	0.186991,	0.0133565,	2.87164,	1.56271,	0.106852,	0.22706,	2.5778,	0.0133565,	0.0934954,	5.03539,	0.0667824,	5.56965,	0.0400695,	2.65794,	0.026713,	0.333912,	0.240417,	0,	0.133565,	0.240417,	0.72125,	0.961667,	0.0133565,	0.26713,	0.0400695,	0.0133565,	0.173634,	0.120208,	0.814746,	0.026713,	0.0534259,	0.106852,	0.0934954,	0.534259,	1.24215,	
GM12865,	0.0956206,	26.047,	4.90534,	0.717154,	1.95066,	0.32511,	0.0573723,	0.239051,	0.0382482,	0,	0.143431,	2.70606,	2.2184,	0.392044,	0.229489,	1.31956,	0.239051,	0.258176,	0.0956206,	2.82081,	0.105183,	0.124307,	0.0478103,	5.14439,	0.0478103,	0.181679,	0.181679,	2.3427,	0.0382482,	0.392044,	0.172117,	0.688468,	0.172117,	3.16504,	2.20884,	0.152993,	0.545037,	1.09964,	1.20482,	1.20482,	0.133869,	0.305986,	0.0669344,	0.669344,	0.00956206,	0.00956206,	0.267738,	0.181679,	1.54905,	0.631096,	0.114745,	0.937082,	0.0573723,	1.91241,	0.2773,	0.344234,	0,	0.191241,	0.0191241,	0.736278,	0.114745,	0.382482,	0.0669344,	0.631096,	0.124307,	0.669344,	0.0573723,	0.994454,	2.13234,	0.133869,	0.363358,	5.24001,	0.0478103,	1.90285,	2.38095,	0.0478103,	1.46299,	0.00956206,	0.917958,	0.286862,	0.0764965,	0.37292,	0.152993,	0.0956206,	0.392044,	0.764965,	1.14745,	0.00956206,	0.382482,	0.191241,	0.0286862,	0,	0.736278,	0.172117,	0.0286862,	0.0286862,	0.0573723,	0.0286862,	0.344234,	4.58979,	
H7-hESC,	0.211747,	22.703,	6.0394,	0.800957,	1.52826,	0.46032,	0.0920641,	0.184128,	0.0368256,	0.10127,	0.119683,	2.67906,	1.61112,	0.506352,	0.239367,	0.920641,	0.552384,	0.451114,	0.174922,	3.94955,	0.119683,	0.248573,	0.0828577,	4.55717,	0.0644449,	0.23016,	0.23016,	2.8724,	0.0736513,	0.276192,	0.276192,	0.515559,	0.294605,	3.23145,	2.20033,	0.174922,	0.497146,	0.662861,	1.52826,	1.39017,	0.322224,	0.285399,	0.110477,	1.11398,	0.0276192,	0.046032,	0.349844,	0.165715,	1.19683,	0.800957,	0.147303,	1.2981,	0.0736513,	1.99779,	0.35905,	0.478733,	0,	0.257779,	0.046032,	0.957466,	0.119683,	0.515559,	0.211747,	0.727306,	0.147303,	0.745719,	0.165715,	1.10477,	1.71239,	0.12889,	0.432701,	4.8794,	0.184128,	2.31081,	2.09906,	0.0368256,	1.14159,	0.0920641,	0.616829,	0.377463,	0.0736513,	0.303811,	0.386669,	0.193335,	0.386669,	0.644449,	1.18763,	0.00920641,	0.451114,	0.165715,	0.0368256,	0,	0.736513,	0.184128,	0.0828577,	0.046032,	0.0644449,	0.0736513,	0.340637,	3.95876,	
HA-h,	0.212459,	17.0119,	5.1749,	1.47963,	1.54033,	0.508385,	0.182108,	0.736019,	0.0303513,	0.0834661,	0.17452,	2.45846,	1.4948,	0.796722,	0.751195,	0.69808,	0.591851,	0.743607,	0.318689,	3.61939,	0.333864,	0.341452,	0.121405,	3.27794,	0.159344,	0.447682,	0.45527,	3.00478,	0.10623,	0.531148,	0.432506,	0.751195,	0.409743,	2.71644,	2.27635,	0.144169,	0.569087,	0.796722,	1.64656,	0.682905,	0.660141,	0.607026,	0.257986,	1.5555,	0.0151757,	0.0682905,	0.956066,	0.52356,	0.667729,	1.21405,	0.288338,	1.98042,	0.212459,	2.35223,	0.660141,	0.607026,	0.0227635,	0.45527,	0.0682905,	1.25958,	0.144169,	0.675317,	0.17452,	0.682905,	0.28075,	1.05471,	0.303513,	0.910539,	1.05471,	0.402155,	0.432506,	4.05949,	0.326277,	2.47363,	2.39017,	0.128993,	0.857425,	0.159344,	0.569087,	0.622202,	0.182108,	0.402155,	0.447682,	0.402155,	0.796722,	0.607026,	0.925715,	0.0303513,	0.766371,	0.318689,	0.0986418,	0,	1.36581,	0.409743,	0.128993,	0.197284,	0.128993,	0.045527,	0.303513,	2.4964,	
HAEpiC,	0.123599,	18.6552,	6.13876,	1.14535,	1.37607,	0.519117,	0.00823995,	0.519117,	0.0494397,	0.131839,	0.280158,	2.28247,	1.09591,	0.527357,	0.296638,	0.733355,	0.601516,	0.700396,	0.156559,	4.96869,	0.255438,	0.255438,	0.123599,	3.88926,	0.0741595,	0.280158,	0.255438,	3.2383,	0.0576796,	0.337838,	0.362558,	0.807515,	0.288398,	3.18886,	2.65326,	0.148319,	0.749835,	0.519117,	2.13415,	0.733355,	0.494397,	0.403757,	0.304878,	1.64799,	0.0247198,	0.0494397,	0.650956,	0.280158,	0.716875,	1.22775,	0.173039,	2.00231,	0.0823995,	2.10119,	0.444957,	0.304878,	0,	0.255438,	0.0659196,	1.25247,	0.140079,	0.576796,	0.0906394,	0.725115,	0.173039,	0.964074,	0.115359,	0.980554,	1.11239,	0.214239,	0.387278,	4.53197,	0.148319,	2.77686,	2.28247,	0.115359,	0.873434,	0.0659196,	0.453197,	0.725115,	0.164799,	0.387278,	0.420237,	0.197759,	0.807515,	0.510877,	1.02999,	0.0494397,	0.659196,	0.189519,	0.00823995,	0.00823995,	1.14535,	0.214239,	0.107119,	0.0494397,	0.0906394,	0.0411997,	0.255438,	3.06526,	
HCF,	0.0415489,	18.5308,	5.76699,	1.08858,	1.33788,	0.506897,	0.124647,	0.498587,	0.0747881,	0.0664783,	0.274223,	2.56772,	1.39604,	0.639854,	0.432109,	0.847598,	0.481968,	0.639854,	0.141266,	4.48729,	0.216055,	0.257603,	0.0914077,	4.20475,	0.0747881,	0.257603,	0.240984,	3.12448,	0.116337,	0.39887,	0.307462,	0.939006,	0.274223,	3.09955,	2.50125,	0.166196,	0.78112,	0.673093,	1.67858,	0.698022,	0.506897,	0.481968,	0.240984,	1.45421,	0.0166196,	0.0332392,	0.689712,	0.349011,	1.01379,	1.00548,	0.191125,	1.83646,	0.108027,	2.19378,	0.39887,	0.481968,	0.00830979,	0.39887,	0.00830979,	1.08858,	0.116337,	0.556756,	0.0914077,	0.589995,	0.141266,	0.905767,	0.182815,	0.947316,	1.34619,	0.207745,	0.332392,	4.56207,	0.249294,	2.67575,	2.22702,	0.0664783,	0.905767,	0.0664783,	0.531826,	0.706332,	0.166196,	0.457038,	0.257603,	0.315772,	0.706332,	0.598305,	1.05534,	0.0249294,	0.498587,	0.232674,	0.0581685,	0.0332392,	1.22154,	0.232674,	0.0664783,	0.108027,	0.0830979,	0.0747881,	0.265913,	3.58152,	
HCM,	0.153061,	18.9456,	5.53571,	1.14796,	1.36905,	0.518707,	0.0935374,	0.467687,	0.0255102,	0.0510204,	0.195578,	2.32993,	1.30952,	0.722789,	0.365646,	0.82483,	0.39966,	0.612245,	0.204082,	4.82143,	0.204082,	0.263605,	0.0595238,	4.37075,	0.0680272,	0.323129,	0.323129,	3.59694,	0.136054,	0.382653,	0.331633,	1.0034,	0.280612,	2.97619,	2.47449,	0.195578,	0.748299,	0.586735,	1.7432,	0.765306,	0.442177,	0.382653,	0.357143,	1.42857,	0.0255102,	0.0170068,	0.782313,	0.289116,	0.79932,	1.23299,	0.136054,	1.92177,	0.0935374,	1.96429,	0.42517,	0.510204,	0.0085034,	0.255102,	0.0340136,	1.19048,	0.144558,	0.535714,	0.136054,	0.705782,	0.195578,	0.841837,	0.161565,	0.892857,	1.42857,	0.246599,	0.340136,	4.21769,	0.204082,	2.5085,	2.39796,	0.102041,	0.82483,	0.0935374,	0.510204,	0.569728,	0.144558,	0.408163,	0.323129,	0.289116,	0.697279,	0.586735,	0.833333,	0.0340136,	0.620748,	0.238095,	0.0255102,	0.0170068,	1.26701,	0.280612,	0.0680272,	0.0595238,	0.0680272,	0.0595238,	0.306122,	3.39286,	
