cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.404858,	14.7484,	1.50376,	1.61943,	1.21457,	1.15674,	0.289185,	1.27241,	0.809717,	0.231348,	0.694043,	3.18103,	2.08213,	0.75188,	1.38809,	0.0578369,	0.231348,	0.0578369,	0.694043,	0.115674,	0.983227,	0.578369,	0.75188,	0.520532,	0.520532,	0.115674,	0.694043,	0,	0.462695,	0.231348,	0.289185,	1.33025,	3.41238,	1.33025,	0.289185,	1.73511,	0.289185,	4.68479,	1.04106,	1.15674,	0.231348,	0.520532,	0.115674,	0.0578369,	0.0578369,	0.983227,	0.0578369,	0.867554,	0.92539,	0.173511,	0.289185,	0,	0.115674,	3.00752,	0.867554,	0.520532,	0.289185,	0.404858,	0.694043,	1.27241,	1.04106,	0.578369,	0.75188,	1.50376,	0.462695,	0.578369,	0,	0.75188,	4.8583,	0.231348,	0.231348,	1.38809,	0.173511,	0.289185,	1.96645,	0.578369,	4.56912,	0.115674,	4.45344,	0.115674,	1.15674,	0.462695,	0,	1.15674,	0.462695,	0.462695,	1.21457,	0,	0.578369,	0,	0.173511,	0.289185,	0.115674,	2.60266,	0,	0.115674,	0.231348,	0,	0.92539,	1.04106,	
AoAF,	0.468262,	10.5619,	1.14464,	1.76899,	1.04058,	1.76899,	0.312175,	1.14464,	1.97711,	0.364204,	0.884495,	4.42248,	1.6129,	0.728408,	1.6129,	0.260146,	0.208117,	0.0520291,	0.676379,	0.0520291,	1.09261,	0.312175,	0.988554,	0.208117,	0.260146,	0.156087,	0.62435,	0.156087,	0.312175,	0.884495,	0.260146,	1.09261,	4.47451,	0.780437,	0.260146,	1.40479,	0.260146,	4.94277,	0.780437,	1.35276,	0.0520291,	0.62435,	0.104058,	0.104058,	0,	0.260146,	0.0520291,	0.884495,	1.09261,	0.0520291,	0.208117,	0,	0.156087,	3.53798,	1.30073,	0.572321,	0.364204,	0.62435,	0.832466,	1.35276,	0.832466,	0.208117,	0.884495,	1.71696,	0.416233,	0.364204,	0,	0.884495,	5.25494,	0.156087,	0.156087,	1.50884,	0.0520291,	0.364204,	1.30073,	0.728408,	3.27784,	0.156087,	5.67118,	0.104058,	1.71696,	0.520291,	0,	1.6129,	0.312175,	0.260146,	0.936524,	0.104058,	0.260146,	0.0520291,	0.104058,	0.468262,	0,	3.64204,	0.0520291,	0.208117,	0.728408,	0.0520291,	0.572321,	0.520291,	
CD20+,	0.20436,	27.7929,	1.29428,	0.749319,	2.0436,	0.953678,	0.20436,	0.340599,	0.340599,	0.0681199,	0.20436,	3.67847,	2.65668,	0.27248,	0.340599,	0.476839,	0.0681199,	0,	0.340599,	0.13624,	0.613079,	0.340599,	0.613079,	0.408719,	0,	0.20436,	0.27248,	0.408719,	0.885559,	0.340599,	0.408719,	0.749319,	1.43052,	2.0436,	0.0681199,	1.22616,	0.13624,	4.76839,	0.476839,	1.703,	0,	0.13624,	0.0681199,	0,	0,	0.408719,	0.13624,	0.408719,	1.3624,	0,	0.0681199,	0,	0.13624,	2.92916,	0.27248,	0.613079,	0.0681199,	0.340599,	0.13624,	0.885559,	0.817439,	0.13624,	0.476839,	1.29428,	0.408719,	0.408719,	0.0681199,	0.749319,	4.70027,	0.13624,	0.20436,	1.83924,	0,	0.27248,	1.90736,	0.13624,	5.17711,	0,	4.76839,	0.13624,	0.681199,	0.476839,	0,	0.408719,	0.27248,	0.544959,	0.817439,	0,	0.27248,	0.20436,	0,	0.0681199,	0,	1.77112,	0,	0.20436,	0.544959,	0.0681199,	1.15804,	1.63488,	
GM06990,	0.462107,	26.8022,	1.75601,	1.20148,	2.77264,	0.0924214,	0.184843,	0.277264,	0.0924214,	0,	0.184843,	2.12569,	6.09982,	0.184843,	0.64695,	1.38632,	0.554529,	0,	0.64695,	0.64695,	0.277264,	0.0924214,	0.277264,	2.86506,	0,	0.0924214,	0.277264,	0.184843,	0.64695,	0.277264,	0.369686,	0.64695,	0.831793,	1.75601,	1.47874,	0.462107,	0.462107,	3.78928,	0.184843,	2.95749,	0.0924214,	0.184843,	0.0924214,	0,	0.0924214,	0,	0,	0,	2.86506,	0.184843,	0,	0,	0.0924214,	0.739372,	0.462107,	0.64695,	0.0924214,	0.369686,	0.0924214,	0.739372,	0,	0.554529,	0.184843,	1.01664,	0,	0.369686,	0.0924214,	2.12569,	2.86506,	0.184843,	0.277264,	2.5878,	0,	0.277264,	1.94085,	0,	3.14233,	0.0924214,	4.15896,	0,	0.462107,	1.38632,	0,	0.369686,	0.277264,	1.57116,	0.64695,	0,	0.369686,	0,	0,	0.184843,	0.831793,	0.0924214,	0,	0,	0.0924214,	0,	0.184843,	2.86506,	
GM12865,	0.326371,	24.282,	1.7624,	0.78329,	1.82768,	0.913838,	0.130548,	1.24021,	0.391645,	0.0652741,	0.522193,	2.41514,	2.74151,	0.78329,	0.522193,	0.78329,	0.0652741,	0.0652741,	0.718016,	0,	0.587467,	0.261097,	0.718016,	0.979112,	0.195822,	0,	0.195822,	0.195822,	0.522193,	0.456919,	0.130548,	0.78329,	2.15405,	1.95822,	0.130548,	0.913838,	0.391645,	5.28721,	0.456919,	0.979112,	0,	0.456919,	0,	0.0652741,	0,	0.522193,	0.130548,	0.522193,	1.24021,	0.130548,	0.0652741,	0,	0.195822,	3.19843,	0.78329,	0.261097,	0.130548,	0.522193,	0.261097,	0.913838,	0.913838,	0.195822,	0.326371,	0.848564,	0.261097,	0.456919,	0.0652741,	0.913838,	4.30809,	0.0652741,	0.130548,	2.48042,	0.130548,	0.456919,	2.74151,	0.456919,	4.50392,	0.0652741,	5.35248,	0.130548,	0.587467,	0.130548,	0,	0.718016,	0.195822,	0.456919,	1.43603,	0.0652741,	0.195822,	0.0652741,	0,	0.391645,	0.261097,	1.43603,	0,	0.130548,	0.130548,	0,	0.522193,	1.43603,	
H7-hESC,	0.425273,	19.0765,	1.27582,	1.33657,	1.57959,	0.668287,	0.425273,	1.33657,	1.15431,	0.18226,	0.303767,	3.40219,	2.36938,	0.486027,	0.850547,	0.36452,	0.36452,	0.18226,	0.303767,	0.0607533,	1.03281,	0.607533,	0.54678,	0.54678,	0.243013,	0.18226,	0.425273,	0.243013,	0.9113,	0.72904,	0.121507,	1.09356,	2.85541,	0.972054,	0.486027,	1.21507,	0.36452,	3.76671,	0.72904,	1.39733,	0,	0.607533,	0.0607533,	0,	0,	0.18226,	0.0607533,	0.607533,	1.94411,	0.18226,	0.243013,	0,	0.425273,	3.09842,	0.72904,	0.486027,	0.425273,	0.72904,	0.243013,	1.51883,	0.850547,	0.425273,	0.486027,	1.09356,	0.303767,	0.303767,	0,	1.03281,	4.37424,	0.18226,	0.0607533,	1.39733,	0,	0.243013,	2.24787,	0.425273,	4.31349,	0,	6.3791,	0.121507,	1.21507,	0.425273,	0,	1.45808,	0.36452,	0.486027,	0.850547,	0.0607533,	0.425273,	0.18226,	0,	0.486027,	0.303767,	1.33657,	0,	0.0607533,	0.425273,	0,	0.54678,	0.972054,	
HA-h,	0.673575,	11.8135,	2.43523,	1.1399,	1.39896,	0.880829,	0.414508,	0.932642,	1.81347,	0.15544,	0.777202,	3.36788,	1.60622,	1.24352,	1.03627,	0.310881,	0.103627,	0.0518135,	0.621762,	0.15544,	1.08808,	0.621762,	0.880829,	0.621762,	0.673575,	0.362694,	1.03627,	0.621762,	0.518135,	0.673575,	0.207254,	1.24352,	2.79793,	1.24352,	0.310881,	1.70984,	0.466321,	3.98964,	0.932642,	0.829016,	0.259067,	0.259067,	0.207254,	0.0518135,	0.259067,	0.673575,	0.0518135,	1.08808,	0.673575,	0.259067,	0.103627,	0.0518135,	0.259067,	3.67876,	0.673575,	0.518135,	0.466321,	0.310881,	0.880829,	0.673575,	1.19171,	0.310881,	1.08808,	1.5544,	1.03627,	0.673575,	0.103627,	0.777202,	3.41969,	0.673575,	0.15544,	0.932642,	0.15544,	0.466321,	1.19171,	0.725389,	4.55959,	0,	4.66321,	0.259067,	1.29534,	0.466321,	0.15544,	0.829016,	0.518135,	0.518135,	1.5544,	0.207254,	0.310881,	0.0518135,	0.259067,	0.673575,	0.103627,	2.43523,	0.0518135,	0.310881,	0.621762,	0.103627,	1.19171,	1.24352,	
HAEpiC,	0.220022,	12.3762,	0.770077,	2.31023,	0.990099,	1.37514,	0.220022,	1.76018,	1.15512,	0.220022,	1.0451,	3.19032,	2.14521,	0.550055,	1.76018,	0.49505,	0.330033,	0.0550055,	0.550055,	0.220022,	1.37514,	0.275027,	0.715071,	0.385038,	0.330033,	0.165017,	0.330033,	0.110011,	0.330033,	0.330033,	0.220022,	1.26513,	4.9505,	0.715071,	0.275027,	1.92519,	0.275027,	4.45545,	0.880088,	1.21012,	0.110011,	0.660066,	0,	0.0550055,	0.0550055,	0.660066,	0,	1.32013,	1.32013,	0,	0.165017,	0.110011,	0.770077,	3.46535,	0.990099,	0.330033,	0.220022,	0.770077,	0.385038,	1.37514,	0.825083,	0.49505,	0.60506,	0.880088,	0.220022,	0.275027,	0,	0.60506,	4.0154,	0.165017,	0.0550055,	1.70517,	0,	0.110011,	1.43014,	0.825083,	3.41034,	0.110011,	6.16062,	0,	1.43014,	0.49505,	0,	2.31023,	0.440044,	0.49505,	1.70517,	0.0550055,	0.0550055,	0.220022,	0,	0.60506,	0.110011,	3.79538,	0,	0.0550055,	0.220022,	0.165017,	0.550055,	0.385038,	
HCF,	0.452233,	15.6586,	1.46976,	1.01752,	1.13058,	1.07405,	0.282646,	1.24364,	1.30017,	0.113058,	0.62182,	3.56133,	1.58282,	1.07405,	1.41323,	0.508762,	0.169587,	0.113058,	0.678349,	0,	1.01752,	0.395704,	1.30017,	0.282646,	0.62182,	0.339175,	0.395704,	0.339175,	0.734878,	0.734878,	0.339175,	1.41323,	3.44828,	0.960995,	0.282646,	1.69587,	0.226116,	4.63539,	0.960995,	1.13058,	0.169587,	0.565291,	0.0565291,	0.0565291,	0.113058,	1.01752,	0.0565291,	0.791408,	0.960995,	0.226116,	0.565291,	0.169587,	0.508762,	2.82646,	1.41323,	0.678349,	0.0565291,	0.678349,	0.565291,	1.30017,	0.960995,	0.508762,	0.678349,	1.07405,	0.508762,	0.339175,	0,	0.508762,	4.8615,	0.226116,	0.113058,	1.30017,	0.113058,	0.282646,	1.13058,	0.565291,	4.63539,	0.0565291,	4.23968,	0.0565291,	1.52629,	0.452233,	0,	0.960995,	0.395704,	0.169587,	1.3567,	0,	0.395704,	0,	0.169587,	0.395704,	0.169587,	2.31769,	0,	0.0565291,	0.678349,	0,	0.508762,	0.791408,	
HCM,	0.341686,	14.0661,	1.02506,	2.10706,	0.797266,	1.02506,	0.341686,	1.48064,	1.87927,	0.341686,	0.569476,	3.75854,	1.99317,	0.797266,	0.683371,	0.569476,	0.22779,	0.22779,	0.854214,	0.113895,	1.02506,	0.341686,	0.968109,	0.512528,	0.341686,	0.113895,	0.626424,	0.113895,	0.284738,	0.341686,	0.341686,	1.25285,	3.41686,	1.02506,	0.398633,	1.48064,	0.22779,	3.87244,	0.854214,	1.082,	0.170843,	0.626424,	0.284738,	0.113895,	0.113895,	0.626424,	0.0569476,	1.082,	1.25285,	0.170843,	0.398633,	0.22779,	0.341686,	3.18907,	0.455581,	0.569476,	0.455581,	0.341686,	0.341686,	1.93622,	1.25285,	0.569476,	0.911162,	1.082,	0.341686,	0.569476,	0,	0.797266,	4.38497,	0.22779,	0.398633,	1.48064,	0.22779,	0.341686,	1.53759,	0.797266,	3.70159,	0.113895,	4.72665,	0.113895,	1.1959,	0.455581,	0.0569476,	1.48064,	0.22779,	0.341686,	1.70843,	0,	0.284738,	0.113895,	0,	0.512528,	0.170843,	2.90433,	0,	0.113895,	0.569476,	0.0569476,	1.02506,	0.626424,	
