cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.120846,	22.8802,	2.09466,	1.6717,	2.67875,	0.644512,	0.463243,	0.785498,	0.463243,	0.322256,	0.40282,	0.906344,	0.845921,	0.866062,	0.523666,	1.00705,	0.523666,	0.483384,	0.624371,	0.362538,	0.624371,	0.523666,	0.80564,	1.69184,	0.80564,	0.845921,	0.322256,	0.543807,	0.302115,	0.302115,	0.40282,	1.38973,	0.241692,	3.5851,	0.704935,	0.543807,	0.362538,	2.49748,	1.30916,	1.18832,	0.503525,	0.624371,	0.060423,	0.443102,	0.221551,	0.503525,	0.382679,	0.140987,	1.65156,	0.60423,	0.322256,	0.241692,	0.181269,	0.745217,	1.71198,	1.20846,	0.20141,	0.20141,	0.100705,	0.120846,	1.18832,	0.866062,	0.745217,	0.503525,	0.140987,	1.28902,	0.060423,	0.946626,	1.97382,	0.40282,	0.241692,	1.85297,	0.342397,	0.362538,	3.14199,	0.563948,	3.04129,	0.060423,	2.03424,	0.60423,	0.745217,	0.503525,	0.181269,	0.0805639,	1.59114,	0.563948,	2.21551,	0.020141,	1.47029,	0.0805639,	0.181269,	0.342397,	0.20141,	1.06747,	0.100705,	0.140987,	0.261833,	0.261833,	0.543807,	1.24874,	
AoAF,	0.256834,	19.0424,	1.65107,	2.09136,	2.21978,	0.532012,	0.476977,	1.13741,	0.660429,	0.532012,	0.366905,	0.440286,	0.935608,	1.1741,	0.476977,	0.715465,	0.550358,	0.34856,	0.476977,	0.440286,	0.587048,	0.201798,	1.19244,	1.57769,	0.898918,	1.11906,	0.256834,	0.73381,	0.220143,	0.275179,	0.293524,	1.99963,	0.38525,	3.33884,	0.715465,	0.898918,	0.513667,	1.9446,	1.46762,	0.843882,	0.587048,	0.917263,	0.0550358,	0.660429,	0.201798,	0.623739,	0.421941,	0.073381,	1.41258,	0.715465,	0.476977,	0.146762,	0.275179,	0.862227,	2.05467,	1.04568,	0.238488,	0.366905,	0.201798,	0.238488,	1.70611,	0.550358,	1.06402,	0.34856,	0.238488,	1.61438,	0.0917263,	0.953953,	1.83453,	0.550358,	0.458631,	1.46762,	0.513667,	0.330215,	2.86186,	0.513667,	3.37553,	0.128417,	1.96294,	0.587048,	1.35755,	0.293524,	0.293524,	0.165107,	2.1097,	0.880572,	2.07301,	0.146762,	1.52266,	0.165107,	0.128417,	0.238488,	0.0917263,	1.19244,	0.165107,	0.128417,	0.275179,	0.110072,	0.862227,	1.08237,	
CD20+,	0.0695249,	28.2271,	1.7613,	0.903824,	2.5029,	0.3708,	0.347625,	0.533024,	0.32445,	0.13905,	0.254925,	1.52955,	1.64542,	0.579374,	0.0926999,	0.834299,	0.533024,	0.254925,	0.463499,	0.2781,	0.440324,	0.417149,	0.648899,	1.50637,	0.393975,	0.556199,	0.1854,	0.718424,	0.393975,	0.3708,	0.208575,	0.648899,	0.440324,	4.19467,	0.648899,	0.463499,	0.440324,	3.12862,	0.857474,	1.55272,	0.32445,	0.579374,	0.0463499,	0.1854,	0.23175,	0.32445,	0.301275,	0.0695249,	2.0394,	0.3708,	0.208575,	0.0695249,	0.208575,	0.973349,	0.741599,	0.718424,	0.0926999,	0.13905,	0.0926999,	0.23175,	0.787949,	0.579374,	0.533024,	0.393975,	0.0695249,	0.741599,	0.0926999,	1.15875,	2.20162,	0.393975,	0.254925,	2.89687,	0.2781,	0.23175,	3.68482,	0.32445,	3.91657,	0.0463499,	3.1518,	0.301275,	0.764774,	0.347625,	0.13905,	0.0926999,	0.648899,	0.857474,	2.2248,	0,	0.695249,	0.13905,	0.0695249,	0.162225,	0.2781,	0.811124,	0.13905,	0.115875,	0.208575,	0.208575,	0.509849,	1.73812,	
GM06990,	0.0902799,	34.6073,	1.56485,	1.17364,	1.68522,	0.27084,	0.511586,	0.361119,	0.150466,	0.0601866,	0.0601866,	1.3542,	3.88203,	0.27084,	0.601866,	3.09961,	0.331026,	0.0902799,	0.150466,	0.300933,	0.391213,	0.391213,	0.150466,	2.61812,	0.0902799,	0.0902799,	0.361119,	0.18056,	0.421306,	0.601866,	0.150466,	0.631959,	0.27084,	2.88896,	0.872705,	0.120373,	1.02317,	3.06952,	0.331026,	0.902799,	0.331026,	0.872705,	0.210653,	0.27084,	0,	0.0902799,	0.120373,	0.150466,	2.28709,	0.300933,	0.120373,	0.0300933,	0.331026,	1.14355,	0.692146,	0.481493,	0.120373,	0.511586,	0.120373,	0.571773,	0.481493,	0.27084,	0.0601866,	0.361119,	0.120373,	0.210653,	0,	0.631959,	1.83569,	0.0902799,	0.421306,	2.257,	0.0300933,	0.421306,	3.43064,	0.331026,	1.56485,	0,	3.18989,	0.361119,	0.782426,	0.210653,	0.0601866,	0.331026,	0.541679,	1.7755,	1.3241,	0.0601866,	0.541679,	0.451399,	0.0300933,	0.0601866,	0.962985,	0.0300933,	0.0300933,	0.0300933,	0.0300933,	0.0601866,	0.331026,	1.3542,	
GM12865,	0.13248,	27.8428,	2.07551,	1.41312,	2.58335,	0.375359,	0.485758,	0.463679,	0.529918,	0.176639,	0.220799,	0.949437,	1.87679,	0.772798,	0.264959,	0.927357,	0.529918,	0.264959,	0.353279,	0.309119,	0.507838,	0.397439,	0.640318,	1.5456,	0.419519,	0.529918,	0.1104,	0.596158,	0.154559,	0.13248,	0.154559,	1.3248,	0.419519,	4.52639,	0.750718,	0.551998,	0.441599,	2.82623,	0.839037,	1.19232,	0.331199,	0.485758,	0.0441599,	0.220799,	0.13248,	0.242879,	0.198719,	0.198719,	2.29631,	0.529918,	0.13248,	0.1104,	0.176639,	0.816957,	0.794877,	1.104,	0.154559,	0.287039,	0.176639,	0.353279,	1.17024,	0.485758,	0.596158,	0.309119,	0.13248,	0.596158,	0.0441599,	1.08192,	2.07551,	0.375359,	0.353279,	2.71583,	0.198719,	0.309119,	3.24575,	0.220799,	3.95231,	0.154559,	2.31839,	0.331199,	0.684478,	0.331199,	0.13248,	0.1104,	0.883197,	0.905277,	2.23007,	0.0662398,	0.861117,	0.154559,	0.1104,	0.13248,	0.220799,	0.839037,	0.13248,	0.0883197,	0.220799,	0.13248,	0.507838,	1.19232,	
H7-hESC,	0.142537,	23.4372,	1.75117,	1.9548,	2.30096,	0.244349,	0.509061,	0.834861,	0.488699,	0.325799,	0.142537,	0.651598,	0.875585,	0.773773,	0.386887,	0.855223,	0.427612,	0.203625,	0.244349,	0.305437,	0.794136,	0.366524,	0.875585,	1.64936,	0.692323,	0.875585,	0.386887,	0.610874,	0.183262,	0.447974,	0.142537,	1.36428,	0.346162,	3.6856,	0.590511,	0.733048,	0.366524,	2.36204,	1.22175,	0.936673,	0.509061,	0.570149,	0.122175,	0.488699,	0.0610874,	0.325799,	0.183262,	0.101812,	1.97516,	0.590511,	0.244349,	0.264712,	0.244349,	0.957035,	1.77153,	1.11993,	0.1629,	0.529424,	0.223987,	0.203625,	1.11993,	0.549786,	0.814498,	0.264712,	0.101812,	1.60863,	0.0814498,	1.01812,	2.01588,	0.264712,	0.570149,	2.13806,	0.305437,	0.468336,	3.62452,	0.529424,	3.74669,	0.0407249,	2.17878,	0.631236,	0.99776,	0.447974,	0.101812,	0.1629,	1.52718,	0.834861,	2.60639,	0.0610874,	1.40501,	0.183262,	0.183262,	0.142537,	0.183262,	0.671961,	0.122175,	0.1629,	0.264712,	0.0814498,	0.529424,	1.11993,	
HA-h,	0.271838,	16.7452,	2.04784,	1.64915,	2.08409,	0.761145,	0.489308,	0.924248,	0.743023,	0.43494,	0.36245,	1.08735,	0.888003,	1.32294,	0.79739,	0.525553,	0.616165,	0.598043,	0.616165,	0.453063,	1.05111,	0.416818,	0.888003,	1.50417,	0.960493,	0.888003,	0.471185,	0.815513,	0.344328,	0.43494,	0.598043,	1.25045,	0.416818,	3.2983,	0.525553,	0.779268,	0.525553,	2.02972,	1.32294,	1.03298,	0.888003,	0.65241,	0.0906125,	0.43494,	0.57992,	0.50743,	0.344328,	0.108735,	1.25045,	0.598043,	0.43494,	0.380573,	0.271838,	1.30482,	1.57666,	1.14172,	0.253715,	0.253715,	0.344328,	0.163103,	1.50417,	1.1236,	1.15984,	0.471185,	0.344328,	1.70352,	0.07249,	1.06923,	1.75788,	0.761145,	0.380573,	1.8485,	0.50743,	0.598043,	2.60964,	0.634288,	2.64589,	0.199348,	2.1747,	0.743023,	1.03298,	0.65241,	0.253715,	0.253715,	1.63103,	0.616165,	2.19282,	0.108735,	1.2867,	0.0906125,	0.28996,	0.543675,	0.199348,	1.21421,	0.235593,	0.163103,	0.326205,	0.344328,	0.706778,	0.996738,	
HAEpiC,	0.173477,	18.7934,	2.19738,	1.96608,	2.23593,	0.674634,	0.751735,	0.867386,	0.636083,	0.346955,	0.36623,	0.636083,	0.848111,	1.06014,	0.346955,	0.905937,	0.616808,	0.308404,	0.578258,	0.520432,	0.886662,	0.462606,	1.19507,	1.42637,	0.828836,	1.19507,	0.289129,	0.655358,	0.173477,	0.327679,	0.173477,	1.75405,	0.558982,	3.64302,	0.693909,	0.790285,	0.36623,	2.21665,	1.44564,	0.809561,	0.636083,	0.963763,	0.154202,	0.539707,	0.212028,	0.501157,	0.558982,	0.192753,	1.5613,	0.790285,	0.481881,	0.250578,	0.269854,	0.944487,	1.98535,	1.09869,	0.250578,	0.424056,	0.269854,	0.231303,	1.21434,	0.655358,	1.04086,	0.231303,	0.212028,	1.77332,	0.0385505,	0.809561,	2.12028,	0.481881,	0.327679,	1.92753,	0.616808,	0.424056,	2.85274,	0.539707,	3.39244,	0.077101,	1.69622,	0.674634,	0.963763,	0.231303,	0.269854,	0.192753,	1.59985,	0.713184,	2.31303,	0.0385505,	1.36854,	0.0963763,	0.077101,	0.250578,	0.0963763,	1.42637,	0.173477,	0.134927,	0.269854,	0.0385505,	0.713184,	0.886662,	
HCF,	0.195963,	19.8707,	1.92044,	1.74407,	2.17519,	0.666275,	0.725064,	0.940623,	0.450715,	0.274348,	0.548697,	0.725064,	0.862238,	0.960219,	0.431119,	0.607486,	0.901431,	0.509504,	0.431119,	0.411523,	1.23457,	0.411523,	1.13659,	1.48932,	0.705467,	0.823045,	0.254752,	0.705467,	0.352734,	0.352734,	0.195963,	1.66569,	0.470312,	3.7233,	0.705467,	0.74466,	0.489908,	1.95963,	1.54811,	0.999412,	0.529101,	0.921027,	0.117578,	0.548697,	0.215559,	0.509504,	0.313541,	0.0587889,	1.50892,	0.725064,	0.274348,	0.254752,	0.313541,	0.979816,	1.86165,	1.17578,	0.176367,	0.156771,	0.156771,	0.176367,	1.41093,	0.607486,	1.01901,	0.313541,	0.195963,	1.76367,	0.0979816,	1.0582,	1.74407,	0.74466,	0.391926,	1.62649,	0.431119,	0.352734,	3.1942,	0.587889,	3.05703,	0.176367,	1.97923,	0.685871,	1.0582,	0.37233,	0.215559,	0.156771,	1.5873,	0.725064,	1.92044,	0.0783853,	1.0386,	0.0783853,	0.235156,	0.274348,	0.195963,	1.11699,	0.156771,	0.195963,	0.391926,	0.333137,	0.881834,	1.25416,	
HCM,	0.19497,	19.5165,	1.71573,	1.87171,	2.47612,	0.701891,	0.584909,	1.18932,	0.604406,	0.292455,	0.428934,	0.779879,	0.779879,	1.07233,	0.565412,	0.877364,	0.916358,	0.448431,	0.448431,	0.350946,	0.974849,	0.311952,	1.3063,	1.40378,	0.877364,	0.760382,	0.409437,	0.935855,	0.272958,	0.272958,	0.292455,	1.9497,	0.38994,	3.48996,	0.896861,	0.779879,	0.38994,	1.9497,	1.52076,	0.779879,	0.565412,	0.584909,	0.0779879,	0.565412,	0.233964,	0.682394,	0.448431,	0.214467,	1.40378,	0.545915,	0.292455,	0.292455,	0.292455,	0.994346,	1.46227,	0.935855,	0.233964,	0.253461,	0.214467,	0.0974849,	1.48177,	0.740885,	1.07233,	0.292455,	0.233964,	1.54026,	0.136479,	0.682394,	2.06668,	0.584909,	0.292455,	1.63775,	0.682394,	0.409437,	2.94404,	0.370443,	2.84656,	0.175473,	1.87171,	0.584909,	0.955352,	0.487424,	0.272958,	0.0974849,	1.71573,	0.857867,	2.02769,	0.0974849,	1.44278,	0.116982,	0.136479,	0.233964,	0.136479,	1.50127,	0.292455,	0.0974849,	0.350946,	0.136479,	0.6434,	1.57926,	
