cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.170235,	17.4818,	1.57795,	1.9708,	0.713678,	1.13272,	0.772605,	0.62856,	0.530348,	2.04937,	0.255353,	1.23748,	1.42081,	0.83808,	0.563085,	0.274995,	0.543443,	0.608918,	0.222615,	0.831533,	1.7089,	0.320828,	0.929745,	0.569633,	1.14581,	0.425588,	1.32914,	0.595823,	0.333923,	0.399398,	0.31428,	2.26544,	0.458325,	1.45355,	0.281543,	0.923198,	0.641655,	0.805343,	1.72199,	1.9577,	1.17855,	0.713678,	0.137498,	0.746415,	0.242258,	0.713678,	0.07857,	0.18333,	0.595823,	0.268448,	0.13095,	0.897008,	0.28809,	2.44877,	3.25411,	0.831533,	0.05238,	0.20952,	0.28809,	0.57618,	0.877365,	0.615465,	2.93328,	0.373208,	0.307733,	1.27676,	0.0720225,	1.42081,	2.57972,	0.2619,	0.451778,	1.45355,	0.242258,	0.81189,	2.36365,	0.713678,	3.42434,	0.202973,	1.09343,	0.83808,	0.60237,	0.530348,	0.20952,	1.26367,	1.04105,	0.2619,	1.72854,	0.013095,	0.870818,	0.0458325,	0.15714,	0.255353,	0.10476,	2.14758,	0.091665,	0.039285,	1.03451,	0.0982125,	0.491063,	0.458325,	
AoAF,	0.337946,	15.3032,	1.6961,	1.90015,	0.771536,	1.31352,	1.00108,	0.69502,	0.548364,	2.18071,	0.229548,	1.24976,	1.4538,	0.733278,	0.529235,	0.388956,	0.586622,	0.592999,	0.178537,	0.975579,	1.58771,	0.318817,	1.00108,	0.726902,	1.02021,	0.465472,	1.14774,	0.637633,	0.274182,	0.369827,	0.325193,	2.39112,	0.401709,	1.43467,	0.31244,	0.905439,	0.784289,	0.707773,	1.88739,	2.09144,	1.22426,	0.841676,	0.114774,	1.05209,	0.197666,	0.69502,	0.0828923,	0.108398,	0.490977,	0.299688,	0.178537,	0.994708,	0.31244,	2.3975,	3.64726,	0.918192,	0.0510106,	0.172161,	0.248677,	0.580246,	0.701396,	0.446343,	2.57604,	0.510106,	0.363451,	1.186,	0.0318817,	1.72799,	2.55053,	0.242301,	0.580246,	1.35178,	0.178537,	0.733278,	2.32098,	0.656762,	3.57075,	0.299688,	1.02659,	0.771536,	0.427214,	0.471848,	0.31244,	1.24976,	0.88631,	0.248677,	2.02767,	0.0446343,	0.76516,	0.0446343,	0.19129,	0.235924,	0.0446343,	2.45489,	0.108398,	0.076516,	1.34541,	0.255053,	0.522859,	0.395333,	
CD20+,	0.237076,	23.7458,	1.99602,	0.994188,	1.4301,	0.780055,	0.428266,	0.305904,	0.328847,	0.321199,	0.175895,	2.25604,	2.31722,	0.627103,	0.244723,	0.848884,	0.290609,	0.229428,	0.313552,	0.672989,	0.581218,	0.451208,	0.841236,	1.21597,	0.489446,	0.252371,	0.435913,	0.619455,	0.435913,	0.535332,	0.244723,	1.16244,	0.535332,	2.89079,	0.527684,	0.718874,	0.481799,	2.06485,	0.917712,	2.79137,	0.328847,	0.466504,	0.0688284,	0.114714,	0.0994188,	0.344142,	0.0535332,	0.0994188,	1.46069,	0.22178,	0.183542,	0.321199,	0.122362,	1.63659,	0.810645,	0.588865,	0.0458856,	0.137657,	0.206485,	0.435913,	1.01713,	0.435913,	0.879474,	0.657694,	0.321199,	0.734169,	0.0611808,	1.7666,	3.47966,	0.321199,	0.305904,	2.69195,	0.076476,	0.596513,	3.54849,	0.0994188,	5.91159,	0.137657,	2.41664,	0.175895,	0.451208,	0.588865,	0.0994188,	0.336494,	0.41297,	0.565922,	1.61364,	0.0305904,	0.734169,	0.0611808,	0.0458856,	0.137657,	0.22178,	1.51422,	0.0535332,	0.038238,	0.466504,	0.107066,	0.780055,	1.62129,	
GM06990,	0.321285,	26.4056,	2.21888,	0.60241,	2.83133,	0.62249,	0.572289,	0.301205,	0.0401606,	0.0803213,	0.060241,	2.56024,	3.68474,	0.361446,	0.401606,	1.97791,	0.491968,	0.190763,	0.512048,	1.0743,	0.401606,	0.331325,	0.230924,	4.06627,	0.100402,	0.0903614,	0.130522,	0.592369,	0.230924,	0.441767,	0.140562,	0.572289,	0.361446,	2.43976,	1.54618,	0.562249,	0.502008,	2.16867,	0.281125,	2.35944,	0.371486,	1.55622,	0.130522,	0.210843,	0.0301205,	0.0301205,	0.401606,	0.331325,	1.41566,	0.502008,	0.130522,	0.0903614,	0.471888,	1.73695,	0.63253,	1.04418,	0.170683,	0.582329,	0.0502008,	0.753012,	0.180723,	1.11446,	0.240964,	0.833333,	0.0100402,	0.140562,	0.120482,	1.5261,	2.40964,	0.110442,	0.411647,	1.74699,	0.0301205,	1.00402,	4.18675,	0.190763,	1.99799,	0.0301205,	2.41968,	0.150602,	0.251004,	0.341365,	0.0301205,	0.331325,	0.311245,	1.33534,	0.712851,	0.0100402,	0.301205,	0.220884,	0.060241,	0.0401606,	0.592369,	0.763052,	0.0803213,	0.060241,	0.060241,	0.120482,	0.291165,	1.72691,	
GM12865,	0.262207,	19.3395,	2.16143,	0.93544,	1.35355,	1.03465,	0.602367,	0.311813,	0.517327,	0.89292,	0.290553,	1.97718,	2.21813,	0.93544,	0.311813,	0.651974,	0.333073,	0.205513,	0.29764,	0.985047,	0.708667,	0.389767,	0.93544,	1.14804,	0.496067,	0.219687,	0.59528,	0.836227,	0.44646,	0.503154,	0.269293,	1.44568,	0.524414,	2.50159,	0.389767,	0.97796,	0.588194,	1.81419,	1.31812,	2.66459,	0.290553,	0.59528,	0.0921267,	0.29764,	0.0992134,	0.517327,	0.113387,	0.1063,	1.21182,	0.205513,	0.141733,	0.524414,	0.12756,	2.02679,	0.885834,	0.602367,	0.04252,	0.17008,	0.219687,	0.694494,	1.13387,	0.48898,	1.21182,	0.729927,	0.226773,	1.00631,	0.0496067,	1.77875,	3.55751,	0.3189,	0.496067,	2.35986,	0.19134,	0.72284,	3.30947,	0.19134,	5.57721,	0.177167,	2.14726,	0.2126,	0.57402,	0.6378,	0.240947,	0.38268,	0.432287,	0.651974,	1.43859,	0.02126,	0.80788,	0.113387,	0.08504,	0.248033,	0.14882,	2.15435,	0.08504,	0.04252,	0.687407,	0.0779534,	0.76536,	1.16221,	
H7-hESC,	0.373134,	13.2529,	1.96562,	1.28598,	0.91951,	1.40592,	0.926173,	0.672974,	0.59968,	1.4459,	0.259861,	1.86567,	2.2588,	0.886194,	0.366471,	0.51306,	0.466418,	0.353145,	0.233209,	1.3193,	0.846215,	0.419776,	1.0661,	1.01946,	0.926173,	0.319829,	0.846215,	0.979478,	0.459755,	0.40645,	0.433102,	1.879,	0.666311,	1.7524,	0.526386,	1.3193,	0.606343,	0.966151,	1.66578,	2.73854,	0.712953,	0.89952,	0.113273,	0.70629,	0.186567,	0.666311,	0.139925,	0.19323,	0.746269,	0.233209,	0.19323,	1.11274,	0.179904,	1.87233,	1.61247,	0.91951,	0.0866205,	0.186567,	0.266525,	0.892857,	1.15272,	0.632996,	1.90565,	0.686301,	0.433102,	1.23934,	0.133262,	1.65245,	3.40485,	0.539712,	0.593017,	1.79238,	0.19323,	0.906183,	3.01173,	0.319829,	4.45096,	0.319829,	1.27265,	0.333156,	0.506397,	0.626333,	0.353145,	0.8129,	0.559702,	0.353145,	1.39925,	0.0732942,	0.832889,	0.0666311,	0.199893,	0.219883,	0.139925,	2.71189,	0.153252,	0.119936,	1.09275,	0.186567,	0.799574,	0.686301,	
HA-h,	0.254912,	15.0647,	1.72221,	2.28177,	0.54091,	1.13156,	0.671475,	0.839343,	0.7523,	2.12634,	0.397911,	1.10047,	1.14399,	0.951256,	0.683909,	0.248694,	0.590649,	0.528476,	0.205173,	0.857996,	2.2196,	0.354389,	1.01343,	0.484954,	1.44243,	0.553345,	1.72221,	0.56578,	0.304651,	0.410346,	0.466302,	2.06416,	0.42278,	1.08182,	0.397911,	0.882865,	0.516041,	0.640388,	2.12012,	1.31186,	1.48595,	0.683909,	0.105695,	0.764735,	0.42278,	0.833126,	0.0746083,	0.242477,	0.32952,	0.391694,	0.174086,	0.938821,	0.416563,	2.81025,	4.21537,	0.938821,	0.0683909,	0.149217,	0.466302,	0.503606,	0.795822,	0.478737,	3.2579,	0.323303,	0.44765,	1.34295,	0.0746083,	1.26212,	2.07038,	0.242477,	0.478737,	0.920169,	0.348172,	0.714996,	1.7533,	0.851778,	3.51903,	0.261129,	0.932604,	0.963691,	0.646605,	0.590649,	0.242477,	1.36782,	1.0756,	0.174086,	2.13255,	0.0310868,	0.913952,	0.0683909,	0.111912,	0.273564,	0.0559562,	1.72221,	0.130565,	0.105695,	1.06317,	0.186521,	0.615519,	0.366824,	
HAEpiC,	0.247122,	17.8513,	1.57378,	1.99649,	0.656825,	1.07303,	0.858425,	0.604799,	0.455225,	2.48423,	0.318658,	0.942967,	1.80789,	0.58529,	0.572283,	0.299148,	0.728361,	0.526761,	0.169084,	1.27463,	1.91195,	0.273135,	1.02751,	0.780386,	0.877935,	0.357677,	1.07953,	0.481238,	0.123561,	0.396696,	0.234116,	2.46472,	0.344671,	1.2096,	0.409703,	0.689341,	0.539767,	0.58529,	2.03551,	2.21109,	1.48273,	0.58529,	0.0780386,	1.19659,	0.136568,	0.507251,	0.110555,	0.0845418,	0.396696,	0.247122,	0.117058,	0.884438,	0.539767,	2.30864,	4.57827,	0.806399,	0.058529,	0.110555,	0.136568,	0.494245,	0.58529,	0.429212,	2.73786,	0.260129,	0.227613,	1.11205,	0.0455225,	1.91195,	2.57527,	0.305651,	0.533264,	1.46322,	0.149574,	0.676335,	2.19158,	0.721857,	3.29713,	0.188593,	0.734864,	0.760877,	0.617806,	0.513754,	0.305651,	1.39819,	0.780386,	0.227613,	1.87293,	0.0325161,	0.481238,	0.104052,	0.156077,	0.195097,	0.0910451,	2.07453,	0.0650322,	0.0910451,	1.11205,	0.175587,	0.468232,	0.409703,	
HCF,	0.281487,	12.883,	1.68238,	1.63655,	0.811731,	1.32234,	0.890285,	0.589159,	0.72663,	1.91804,	0.346949,	1.35507,	1.78712,	0.981932,	0.543336,	0.425504,	0.517151,	0.438596,	0.274941,	1.12595,	1.44017,	0.412412,	1.2045,	0.693899,	1.17832,	0.373134,	1.21105,	0.733176,	0.445143,	0.373134,	0.366588,	2.10788,	0.497512,	1.49254,	0.392773,	1.2045,	0.72663,	0.995025,	1.87876,	2.15371,	0.988479,	0.713538,	0.091647,	0.72663,	0.274941,	0.739722,	0.163655,	0.170202,	0.661168,	0.216025,	0.170202,	1.07358,	0.29458,	2.41555,	2.63813,	0.706991,	0.0981932,	0.150563,	0.288034,	0.661168,	1.0343,	0.589159,	2.63158,	0.490966,	0.405865,	1.27651,	0.0720084,	1.66274,	2.82142,	0.425504,	0.562975,	1.51872,	0.346949,	0.896832,	2.61194,	0.634983,	3.78371,	0.353496,	1.34197,	0.510605,	0.543336,	0.759361,	0.163655,	1.0343,	0.864101,	0.268395,	1.61692,	0.0392773,	0.91647,	0.104739,	0.170202,	0.248756,	0.0720084,	2.78869,	0.117832,	0.058916,	1.08667,	0.18984,	0.700445,	0.621891,	
HCM,	0.270359,	15.905,	1.83976,	1.96505,	0.731949,	1.28586,	0.646225,	0.639631,	0.514342,	2.20244,	0.369271,	1.25288,	1.54962,	1.00231,	0.540719,	0.316518,	0.501154,	0.534125,	0.250577,	0.995714,	1.6815,	0.356083,	1.16057,	0.580284,	1.08144,	0.395648,	1.47709,	0.672601,	0.336301,	0.342895,	0.468183,	2.242,	0.41543,	1.31223,	0.263765,	0.804484,	0.60666,	0.883614,	1.80679,	2.11672,	1.40455,	0.745137,	0.098912,	0.778107,	0.230795,	0.745137,	0.0659413,	0.1121,	0.580284,	0.184636,	0.184636,	0.778107,	0.336301,	2.56512,	3.07287,	0.725354,	0.0593472,	0.178042,	0.243983,	0.507748,	0.738543,	0.52753,	2.78932,	0.435213,	0.323112,	1.21332,	0.052753,	1.6881,	2.78932,	0.263765,	0.468183,	1.37158,	0.276954,	0.758325,	2.16287,	0.68579,	3.91691,	0.290142,	1.05506,	0.758325,	0.712166,	0.586878,	0.243983,	1.16716,	0.850643,	0.270359,	1.81339,	0.0329707,	0.71876,	0.0791296,	0.125289,	0.197824,	0.0461589,	2.34092,	0.0857237,	0.0923178,	1.03528,	0.125289,	0.547313,	0.448401,	
