cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0721241,	16.3722,	1.91129,	1.51461,	2.34403,	1.51461,	0.108186,	0.18031,	0.144248,	0.216372,	0.0721241,	1.55067,	5.19293,	0.144248,	1.08186,	0.216372,	2.19978,	0.036062,	0.576992,	0.324558,	0.504868,	0.396682,	1.69492,	0.865489,	0.036062,	0.18031,	0.0721241,	0.36062,	0.0721241,	0.576992,	0.793365,	1.55067,	1.83916,	1.15398,	0.108186,	1.00974,	0.288496,	1.47854,	1.33429,	4.47169,	0.504868,	0.288496,	0,	0.144248,	0,	0.0721241,	0.036062,	0.36062,	1.26217,	0.18031,	0.036062,	0.0721241,	1.08186,	2.0916,	0.613054,	1.65885,	0.0721241,	0.144248,	0.036062,	1.55067,	0.108186,	4.79625,	2.23585,	0.757303,	0.468806,	0.576992,	0.216372,	4.1832,	2.0916,	0.144248,	0.0721241,	1.47854,	0.216372,	0.0721241,	0.685179,	0.613054,	5.37324,	0.0721241,	0.396682,	0.108186,	0.108186,	0.0721241,	0.036062,	2.0916,	0.288496,	0.649116,	1.08186,	0,	0.288496,	0.216372,	0.0721241,	0.216372,	0.18031,	0.685179,	0.036062,	0.108186,	0.757303,	0.036062,	2.0916,	1.55067,	
AoAF,	0.206897,	13.9655,	2,	1.27586,	2.2069,	2.2069,	0.103448,	0.241379,	0.103448,	0.241379,	0.241379,	2.03448,	4.96552,	0.0344828,	1.65517,	0.137931,	2.17241,	0.103448,	0.62069,	0.172414,	0.241379,	0.482759,	2.37931,	0.448276,	0,	0.103448,	0.310345,	0.344828,	0.0344828,	0.344828,	0.724138,	1.48276,	2.17241,	1.13793,	0,	1,	0.344828,	1.31034,	1.44828,	4.34483,	0.413793,	0.103448,	0.0344828,	0.310345,	0.103448,	0.0689655,	0.206897,	0.344828,	0.689655,	0.37931,	0.103448,	0.0689655,	0.965517,	2.72414,	0.931035,	1.24138,	0,	0.206897,	0.172414,	1.93103,	0.206897,	4.82759,	1.51724,	1.27586,	0.310345,	0.275862,	0.137931,	5.82759,	2.27586,	0.37931,	0.103448,	1.72414,	0,	0.172414,	0.62069,	0.586207,	5.58621,	0.0344828,	0.137931,	0.0344828,	0.0689655,	0.103448,	0.137931,	1.82759,	0.241379,	0.482759,	1.17241,	0,	0.344828,	0.0689655,	0.0344828,	0.413793,	0.172414,	0.517241,	0.0344828,	0.172414,	0.689655,	0.103448,	1.68966,	1.34483,	
CD20+,	0,	20.8365,	2.34075,	0.959325,	1.80353,	1.4198,	0.038373,	0.537222,	0.038373,	0.115119,	0.038373,	2.14889,	4.835,	0.153492,	0.959325,	0.460476,	2.4175,	0,	0.191865,	0.306984,	0.345357,	0.268611,	1.11282,	0.959325,	0.038373,	0.191865,	0.115119,	0.230238,	0.076746,	0.153492,	0.575595,	1.03607,	0.882579,	0.920952,	0.115119,	1.34305,	0.537222,	1.22794,	1.72678,	3.68381,	0.230238,	0.345357,	0.076746,	0.38373,	0.076746,	0.153492,	0.153492,	0.306984,	1.38143,	0.153492,	0.115119,	0.076746,	0.805833,	2.03377,	0.76746,	1.68841,	0.076746,	0.076746,	0,	1.57329,	0.191865,	3.30008,	1.91865,	0.76746,	0.805833,	0.306984,	0.230238,	3.18496,	2.76286,	0.306984,	0.076746,	2.34075,	0.230238,	0.268611,	1.49655,	0.652341,	3.49194,	0.115119,	1.18956,	0.268611,	0.076746,	0.191865,	0.038373,	1.45817,	0.38373,	0.345357,	1.45817,	0.038373,	0.345357,	0.191865,	0.038373,	0.345357,	0.345357,	0.460476,	0.038373,	0.191865,	0.537222,	0.115119,	1.9954,	1.88028,	
GM06990,	0.320366,	23.341,	3.79863,	1.9222,	2.15103,	0.2746,	0.183066,	0.1373,	0.778032,	0.0915332,	0.915332,	6.91076,	6.36156,	0.0915332,	2.15103,	1.0984,	0.503432,	0.1373,	0.961098,	0.320366,	0.411899,	0.366133,	0.1373,	0.778032,	0,	0,	1.5103,	0.228833,	0.366133,	0.366133,	0.366133,	0.320366,	1.96796,	1.32723,	0.503432,	0.0457666,	0.2746,	2.6087,	0.778032,	0.915332,	0.2746,	0.366133,	0.1373,	0.411899,	0.1373,	0.0457666,	0.0457666,	0.1373,	0.869565,	0.228833,	0.0915332,	0.0915332,	0.320366,	5.85812,	0.411899,	0.549199,	0.2746,	0.778032,	0.183066,	1.32723,	0.457666,	1.05263,	0.228833,	2.15103,	0.0915332,	0.320366,	0,	0.686499,	0.732265,	0.0915332,	0.320366,	1.73913,	0,	0.320366,	1.05263,	0.732265,	1.05263,	0.0915332,	2.15103,	0.2746,	0.686499,	0.594966,	0.0457666,	0.778032,	0.2746,	0.915332,	0.549199,	0.0457666,	0.2746,	0.0457666,	0,	0.228833,	1.9222,	0.0457666,	0.0457666,	0.0457666,	0.0915332,	0.1373,	0.503432,	0.961098,	
GM12865,	0.0721241,	17.2376,	2.0916,	1.00974,	1.8031,	1.94735,	0.108186,	0.216372,	0.216372,	0.108186,	0.036062,	1.98341,	4.9405,	0,	0.829427,	0.396682,	1.73098,	0.0721241,	0.504868,	0.216372,	0.468806,	0.432744,	1.83916,	0.793365,	0.036062,	0.0721241,	0.036062,	0.252434,	0.108186,	0.288496,	0.396682,	1.15398,	1.55067,	1.37036,	0.288496,	1.15398,	0.396682,	1.83916,	1.94735,	4.61594,	0.18031,	0.36062,	0,	0.252434,	0.036062,	0,	0.108186,	0.144248,	1.26217,	0.108186,	0.036062,	0,	0.649116,	2.23585,	0.36062,	1.22611,	0.036062,	0.0721241,	0,	1.40642,	0.324558,	4.14713,	1.73098,	1.00974,	0.432744,	0.288496,	0.108186,	5.51749,	2.74071,	0.216372,	0.144248,	2.38009,	0,	0.108186,	1.40642,	0.288496,	6.16661,	0.0721241,	0.865489,	0.036062,	0.108186,	0.0721241,	0,	1.76704,	0.216372,	0.54093,	1.08186,	0.0721241,	0.18031,	0.144248,	0.036062,	0.288496,	0.36062,	0.324558,	0,	0.0721241,	0.396682,	0.036062,	1.87523,	1.40642,	
H7-hESC,	0.14556,	17.1033,	1.81951,	1.4556,	2.11063,	2.14702,	0.10917,	0.400291,	0.0727802,	0.218341,	0.181951,	2.14702,	4.83988,	0.218341,	1.12809,	0.436681,	1.81951,	0.14556,	0.400291,	0.218341,	0.582242,	0.363901,	2.18341,	0.545852,	0,	0.10917,	0.327511,	0.0363901,	0,	0.436681,	0.545852,	1.96507,	1.92868,	1.20087,	0.14556,	0.655022,	0.218341,	1.27365,	2.03785,	4.22125,	0.254731,	0.181951,	0.0363901,	0.218341,	0,	0.0727802,	0.14556,	0.254731,	1.27365,	0.10917,	0.0727802,	0,	0.655022,	2.47453,	0.836972,	1.05531,	0.0363901,	0.0363901,	0.218341,	1.8559,	0.14556,	3.74818,	1.67394,	1.0917,	0.291121,	0.327511,	0.10917,	5.31295,	2.40175,	0.0727802,	0.10917,	2.14702,	0.181951,	0.218341,	0.982533,	0.473071,	6.07715,	0,	0.218341,	0.10917,	0,	0,	0,	2.03785,	0.14556,	0.291121,	1.12809,	0,	0.218341,	0.0363901,	0.0727802,	0.400291,	0.14556,	0.509461,	0,	0.0727802,	0.618632,	0.291121,	1.67394,	0.982533,	
HA-h,	0.102145,	13.9598,	2.111,	1.15764,	1.60027,	1.94076,	0.170242,	0.510725,	0.102145,	0.238338,	0.0340483,	1.9748,	4.90296,	0.476677,	1.53218,	0.20429,	2.38338,	0.170242,	0.510725,	0.238338,	0.851209,	0.646919,	1.02145,	0.544774,	0.0340483,	0.170242,	0.272387,	0.340483,	0.102145,	0.442629,	0.81716,	2.62172,	0.953354,	1.32789,	0.238338,	1.39598,	0.442629,	0.578822,	1.9748,	2.34934,	0.544774,	0.442629,	0.340483,	0.40858,	0.102145,	0.0340483,	0.306435,	0.20429,	1.29384,	0.510725,	0.238338,	0,	1.39598,	2.62172,	0.81716,	1.77051,	0.136193,	0.272387,	0.0680967,	1.94076,	0.136193,	4.222,	2.28124,	1.22574,	0.919305,	0.510725,	0.510725,	2.68982,	2.00885,	0.374532,	0.136193,	1.77051,	0.544774,	0.272387,	1.25979,	0.578822,	2.75792,	0.0340483,	0.544774,	0.136193,	0.306435,	0.170242,	0,	2.48553,	0.340483,	0.374532,	1.0555,	0.0680967,	0.442629,	0.20429,	0.170242,	0.544774,	0.40858,	0.40858,	0.0680967,	0.374532,	0.885257,	0.102145,	1.9748,	1.80456,	
HAEpiC,	0.108382,	16.474,	1.80636,	1.30058,	2.27601,	2.81792,	0.180636,	0.469653,	0.144509,	0.361272,	0.144509,	1.95087,	4.04624,	0.216763,	1.51734,	0.325144,	1.87861,	0.0722543,	0.686416,	0.469653,	0.397399,	0.50578,	2.20376,	0.469653,	0.0361272,	0.108382,	0.0361272,	0.144509,	0.0361272,	0.397399,	0.686416,	2.05925,	2.16763,	1.04769,	0.216763,	0.830925,	0.25289,	1.37283,	1.95087,	3.57659,	0.686416,	0.180636,	0.144509,	0.289017,	0.0722543,	0.0361272,	0.0361272,	0.216763,	1.1922,	0.216763,	0.144509,	0.0722543,	1.11994,	2.96243,	0.722543,	1.66185,	0,	0.0722543,	0.0722543,	1.55347,	0.144509,	4.58815,	1.87861,	1.04769,	0.180636,	0.325144,	0.25289,	4.55202,	2.1315,	0.289017,	0.0361272,	1.44509,	0.108382,	0.325144,	0.758671,	0.650289,	4.76879,	0.180636,	0.469653,	0.180636,	0.180636,	0.0722543,	0.0361272,	1.84249,	0.216763,	0.541907,	0.867052,	0,	0.361272,	0.144509,	0.180636,	0.325144,	0.216763,	0.397399,	0.0722543,	0.108382,	0.397399,	0.108382,	1.51734,	0.903179,	
HCF,	0.106762,	15.8719,	1.74377,	1.20996,	1.9573,	1.63701,	0.177936,	0.284698,	0.24911,	0.177936,	0.177936,	2.06406,	4.7331,	0.213523,	1.20996,	0.213523,	2.4911,	0.0711744,	0.391459,	0.213523,	0.533808,	0.320285,	2.41993,	0.462633,	0,	0.142349,	0.177936,	0.106762,	0.0711744,	0.213523,	0.640569,	1.70819,	1.70819,	1.1032,	0.284698,	1.1032,	0.355872,	1.06762,	1.85053,	4.76868,	0.355872,	0.106762,	0.0355872,	0.177936,	0.0711744,	0.106762,	0.106762,	0.355872,	1.1032,	0.391459,	0.177936,	0,	0.960854,	2.41993,	0.960854,	1.17438,	0,	0.142349,	0,	1.35231,	0.177936,	4.87544,	1.88612,	1.1032,	0.604982,	0.142349,	0.213523,	4.23488,	2.63345,	0.427046,	0.213523,	1.99288,	0.106762,	0.106762,	0.604982,	0.676157,	5.51601,	0,	0.355872,	0.106762,	0.177936,	0.106762,	0.0355872,	1.88612,	0.213523,	0.320285,	1.06762,	0,	0.320285,	0.106762,	0.177936,	0.24911,	0.106762,	0.533808,	0,	0.106762,	0.925267,	0.0711744,	1.77936,	1.60142,	
