cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.153233,	20.3187,	2.85014,	1.3791,	2.35979,	0.18388,	0.306466,	0.153233,	0.337113,	0.153233,	0.122587,	3.27919,	1.10328,	0.214527,	0.245173,	1.77751,	0.18388,	0.337113,	1.07263,	0.704873,	0.306466,	1.16457,	1.56298,	3.06466,	0.827459,	0.337113,	0.398406,	0.582286,	0.122587,	0.18388,	0.306466,	0.582286,	0.674226,	0.888753,	1.28716,	0.245173,	0.796813,	1.34845,	1.86945,	1.22587,	1.16457,	1.3791,	0.337113,	0.4597,	0.0612933,	0.122587,	0.4597,	0.398406,	0.858106,	0.858106,	0.306466,	0.214527,	0.612933,	2.45173,	1.28716,	0.888753,	0,	0.704873,	0.122587,	1.86945,	0.398406,	0.520993,	0.245173,	0.674226,	0.0306466,	0.245173,	0.0306466,	1.04199,	0.796813,	0.674226,	1.16457,	1.28716,	0.0919399,	1.50169,	4.38247,	0.214527,	3.49372,	0.735519,	1.47104,	0.27582,	0.735519,	0.64358,	0.0919399,	0.245173,	0.4597,	1.25651,	1.25651,	0,	0.306466,	0.27582,	0.0306466,	0.0612933,	0.950046,	1.22587,	0.245173,	0,	0.0306466,	0.0306466,	0.858106,	2.45173,	
AoAF,	0.139821,	17.4497,	3.13199,	1.92953,	2.32103,	0.195749,	0.391499,	0.279642,	0.279642,	0.0279642,	0.111857,	2.93624,	0.978747,	0.139821,	0.279642,	1.37025,	0.223714,	0.447427,	0.810962,	0.699105,	0.33557,	1.8736,	1.34228,	2.90828,	0.671141,	0.195749,	0.419463,	0.643177,	0.139821,	0.195749,	0.475392,	0.727069,	0.727069,	1.11857,	1.95749,	0.0838926,	0.727069,	1.0906,	2.37696,	0.727069,	1.51007,	1.39821,	0.279642,	0.810962,	0,	0,	0.251678,	0.475392,	0.838926,	0.922819,	0.279642,	0.447427,	0.559284,	2.99217,	1.73378,	0.922819,	0.0279642,	0.86689,	0.475392,	1.42617,	0.223714,	0.503356,	0.251678,	0.475392,	0.0559284,	0.33557,	0.0559284,	0.978747,	0.643177,	0.391499,	1.06264,	1.37025,	0.251678,	1.8736,	4.25056,	0.139821,	3.69128,	0.699105,	1.06264,	0.643177,	0.671141,	0.671141,	0.111857,	0.251678,	0.559284,	1.28635,	0.894855,	0.0279642,	0.307606,	0.447427,	0.0279642,	0.0559284,	1.28635,	1.06264,	0.251678,	0,	0.0559284,	0.0559284,	1.42617,	2.48881,	
CD20+,	0.19861,	25.5545,	2.48262,	0.562728,	3.11155,	0.264813,	0.19861,	0.132406,	0.231711,	0.132406,	0.165508,	3.04535,	1.15856,	0.19861,	0.264813,	1.85369,	0.0993049,	0.264813,	0.860642,	0.529626,	0.19861,	0.860642,	0.959947,	3.07845,	0.595829,	0.132406,	0.19861,	0.695134,	0.297915,	0.297915,	0.0662032,	0.496524,	0.364118,	1.35717,	1.62198,	0.0993049,	0.628931,	2.51572,	1.09235,	1.05925,	0.628931,	1.12546,	0.165508,	0.430321,	0,	0.0331016,	0.19861,	0.397219,	1.55578,	0.595829,	0.430321,	0.264813,	0.662032,	2.41642,	0.496524,	0.926845,	0.0331016,	0.463423,	0.0993049,	0.860642,	0.463423,	0.331016,	0.165508,	0.430321,	0.0662032,	0.19861,	0.0331016,	1.09235,	1.02615,	0.430321,	0.827541,	1.78749,	0.0993049,	1.05925,	5.09765,	0.0993049,	4.0384,	0.595829,	1.32406,	0.297915,	0.19861,	0.595829,	0.0993049,	0.231711,	0.331016,	1.25786,	1.55578,	0.0331016,	0.231711,	0.19861,	0.0331016,	0,	1.12546,	0.662032,	0.165508,	0.0331016,	0.0662032,	0.132406,	0.860642,	3.01225,	
GM06990,	0.186133,	28.1526,	1.6752,	0.651466,	4.14146,	0.465333,	0.186133,	0.604933,	0.0465333,	0.0465333,	0.2792,	1.9544,	3.67613,	0.651466,	0.837599,	1.58213,	0.325733,	0.186133,	0.511866,	0.418799,	0.558399,	0.0930665,	0.372266,	1.72173,	0.0930665,	0.1396,	0.325733,	0.418799,	0.2792,	0.418799,	0.232666,	0.558399,	0.372266,	2.97813,	0.837599,	1.30293,	0.418799,	3.58306,	0.418799,	1.90786,	0.325733,	0.418799,	0.0465333,	0.232666,	0.0930665,	0.232666,	0,	0.0930665,	2.9316,	0.2792,	0.418799,	0.0930665,	0.232666,	1.30293,	0.232666,	1.02373,	0.2792,	0.2792,	0,	0.372266,	0.372266,	0.977199,	0.1396,	0.884132,	0.0930665,	0.372266,	0.0930665,	1.02373,	2.83853,	0.1396,	0.1396,	2.69893,	0.1396,	0.232666,	2.14053,	0.232666,	1.86133,	0.0465333,	4.18799,	0.0930665,	0.604933,	0.697999,	0.1396,	0.511866,	0.418799,	0.884132,	1.58213,	0,	0.651466,	0.186133,	0.1396,	0.0930665,	0.604933,	0.1396,	0.0930665,	0.1396,	0.1396,	0,	0.232666,	1.5356,	
GM12865,	0.123801,	23.8626,	2.75457,	0.835655,	2.35221,	0,	0.526153,	0.340452,	0.0928505,	0,	0.0619003,	3.24977,	1.42371,	0.185701,	0.278552,	2.10461,	0.216651,	0.185701,	0.866605,	0.433302,	0.495203,	0.835655,	0.928505,	2.66171,	0.464253,	0.154751,	0.309502,	0.866605,	0.185701,	0.123801,	0.185701,	0.619003,	0.433302,	1.57846,	1.76416,	0.154751,	0.680904,	2.72362,	1.48561,	0.711854,	0.680904,	1.05231,	0.278552,	0.309502,	0,	0.154751,	0.185701,	0.309502,	1.33086,	0.866605,	0.123801,	0.154751,	0.340452,	2.44506,	0.990405,	0.649954,	0.0309502,	0.680904,	0.0928505,	1.57846,	0.402352,	0.371402,	0.216651,	0.649954,	0.0309502,	0.278552,	0.0928505,	1.14516,	1.05231,	0.247601,	0.990405,	1.73321,	0,	1.73321,	4.54967,	0.0309502,	4.02352,	0.309502,	1.51656,	0.0928505,	0.340452,	0.557103,	0.0928505,	0.123801,	0.464253,	1.45466,	1.45466,	0.0309502,	0.216651,	0.309502,	0,	0.0309502,	1.02136,	0.619003,	0.185701,	0.0309502,	0.0928505,	0.216651,	1.26896,	2.50696,	
H7-hESC,	0.0304136,	22.4148,	3.61922,	1.42944,	2.70681,	0.212895,	0.425791,	0.152068,	0.273723,	0.0304136,	0.0912409,	3.52798,	0.942822,	0.152068,	0.395377,	1.91606,	0.33455,	0.577859,	0.942822,	0.425791,	0.212895,	1.36861,	1.24696,	2.58516,	0.517032,	0.33455,	0.121655,	0.912409,	0.0304136,	0.0304136,	0.212895,	0.760341,	0.547445,	1.15572,	1.09489,	0.273723,	0.6691,	1.30779,	1.94647,	0.760341,	0.851582,	1.27737,	0.212895,	0.851582,	0.0608273,	0.0912409,	0.33455,	0.304136,	1.15572,	0.912409,	0.243309,	0.273723,	0.395377,	2.95012,	1.70316,	1.09489,	0.152068,	0.577859,	0.152068,	1.45985,	0.121655,	0.364964,	0.33455,	0.304136,	0.0304136,	0.517032,	0.0304136,	0.912409,	0.699513,	0.364964,	0.699513,	1.67275,	0.212895,	1.42944,	4.80535,	0.182482,	3.31509,	0.547445,	1.09489,	0.212895,	0.364964,	0.425791,	0.182482,	0.273723,	0.517032,	1.64234,	1.36861,	0.0912409,	0.121655,	0.212895,	0.0608273,	0,	0.33455,	0.638686,	0.121655,	0.0304136,	0.0304136,	0.212895,	1.18613,	2.58516,	
HA-h,	0.296736,	12.8136,	3.23712,	1.64554,	1.96925,	0.26976,	0.485568,	0.26976,	0.296736,	0.215808,	0.161856,	2.05018,	0.647424,	0.242784,	0.377664,	1.15997,	0.350688,	0.863232,	1.40275,	0.863232,	0.485568,	2.1311,	1.2409,	1.80739,	1.40275,	0.296736,	0.323712,	1.07904,	0.242784,	0.13488,	0.40464,	1.15997,	0.782304,	0.701376,	1.69949,	0.431616,	0.566496,	1.69949,	2.50877,	0.80928,	1.4567,	1.69949,	0.26976,	1.07904,	0.053952,	0.242784,	0.6744,	0.593472,	0.782304,	1.10602,	0.6744,	0.242784,	0.755328,	2.96736,	1.64554,	1.02509,	0.13488,	0.593472,	0.188832,	1.42973,	0.377664,	0.593472,	0.350688,	0.890208,	0.161856,	0.647424,	0.080928,	1.67251,	0.701376,	0.971136,	0.647424,	1.32182,	0.323712,	1.48368,	3.58781,	0.215808,	2.8055,	1.21392,	1.02509,	0.566496,	0.6744,	0.94416,	0.188832,	0.296736,	0.755328,	1.10602,	0.80928,	0.107904,	0.215808,	0.377664,	0.080928,	0.080928,	1.56461,	1.26787,	0.458592,	0.053952,	0.026976,	0.053952,	1.40275,	2.75155,	
HAEpiC,	0.200286,	14.7926,	2.83262,	2.0887,	1.80257,	0.286123,	0.457797,	0.143062,	0.343348,	0.114449,	0.0286123,	3.69099,	0.686695,	0.143062,	0.486409,	1.03004,	0.37196,	0.658083,	1.68813,	0.801144,	0.515022,	2.71817,	1.91702,	2.26037,	1.45923,	0.629471,	0.37196,	0.486409,	0.143062,	0.0858369,	0.171674,	1.1731,	0.629471,	0.74392,	1.51645,	0.0858369,	0.343348,	1.05866,	3.11874,	0.629471,	2.0887,	1.6309,	0.457797,	1.14449,	0.0286123,	0.0572246,	0.228898,	0.286123,	0.600858,	1.1731,	0.543634,	0.200286,	0.600858,	2.54649,	2.14592,	0.886981,	0.0286123,	1.45923,	0.257511,	1.83119,	0.314735,	0.257511,	0.228898,	0.486409,	0.0572246,	0.486409,	0,	1.31617,	0.658083,	0.457797,	1.31617,	1.14449,	0.200286,	2.14592,	4.43491,	0.343348,	2.3176,	0.515022,	0.686695,	0.801144,	0.486409,	0.715308,	0.171674,	0.143062,	0.858369,	1.05866,	0.829757,	0.0286123,	0.257511,	0.257511,	0.0572246,	0,	0.658083,	1.20172,	0.286123,	0,	0.0858369,	0.0572246,	0.972818,	2.80401,	
HCF,	0.283607,	15.7402,	3.0346,	1.24787,	1.95689,	0.283607,	0.311968,	0.255247,	0.283607,	0.141804,	0.141804,	2.60919,	0.76574,	0.113443,	0.283607,	1.41804,	0.36869,	0.992626,	1.30459,	0.680658,	0.283607,	1.61656,	1.61656,	2.29722,	1.13443,	0.311968,	0.340329,	0.907544,	0.0850822,	0.340329,	0.311968,	0.794101,	0.709019,	0.822462,	1.47476,	0.141804,	0.36869,	1.36132,	2.26886,	0.737379,	1.41804,	1.78673,	0.36869,	0.964266,	0,	0.141804,	0.283607,	0.680658,	0.623936,	0.879183,	0.482133,	0.283607,	0.652297,	2.97788,	1.78673,	0.907544,	0.113443,	0.935905,	0.283607,	2.18378,	0.425411,	0.39705,	0.311968,	0.652297,	0.0850822,	0.311968,	0.0283607,	1.27623,	0.964266,	0.567215,	0.907544,	1.33296,	0.283607,	2.01361,	3.43165,	0.340329,	2.92116,	0.879183,	1.24787,	0.510493,	0.964266,	0.822462,	0.226886,	0.283607,	0.567215,	1.38968,	0.850823,	0.113443,	0.198525,	0.311968,	0.0283607,	0.113443,	1.33296,	1.27623,	0.36869,	0,	0.141804,	0.113443,	1.24787,	2.86444,	
HCM,	0.230614,	15.4511,	3.60334,	1.35486,	1.81609,	0.259441,	0.345921,	0.172961,	0.259441,	0.115307,	0.0864803,	2.94033,	1.03776,	0.115307,	0.345921,	1.35486,	0.345921,	0.691842,	1.1819,	0.518882,	0.172961,	1.90257,	1.96022,	2.85385,	1.15307,	0.317094,	0.230614,	0.893629,	0.0864803,	0.144134,	0.230614,	0.663015,	0.663015,	0.691842,	1.58547,	0.0576535,	0.663015,	1.6143,	3.02681,	0.691842,	1.70078,	1.64312,	0.403575,	0.663015,	0.0288268,	0.0288268,	0.547708,	0.720669,	0.547708,	0.864803,	0.490055,	0.259441,	0.547708,	2.88268,	1.84491,	1.1819,	0.115307,	1.00894,	0.317094,	2.01787,	0.317094,	0.317094,	0.259441,	0.345921,	0.0864803,	0.518882,	0.0288268,	1.12424,	0.720669,	0.663015,	0.663015,	1.38368,	0.288267,	1.52782,	4.29519,	0.0576535,	2.82502,	0.749496,	0.922456,	0.547708,	0.807149,	0.835976,	0.144134,	0.115307,	0.547708,	1.23955,	0.605362,	0.0576535,	0.345921,	0.432401,	0.0288268,	0.0864803,	1.47016,	1.47016,	0.259441,	0.0288268,	0.0288268,	0.144134,	1.49899,	2.56558,	
