cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0354988,	43.557,	1.13596,	2.05893,	1.59744,	0.177494,	0.319489,	0.56798,	0.248491,	0.0709975,	0.248491,	0.674476,	0.461484,	0.319489,	1.10046,	0.390486,	0.709975,	0.28399,	0.425985,	0.0709975,	1.91693,	0.390486,	0.248491,	0.177494,	0.319489,	0.319489,	0.496983,	0.248491,	0,	0.0354988,	0.674476,	1.38445,	0.141995,	0.709975,	0.354988,	0.177494,	0.638978,	0.461484,	0.496983,	0.28399,	1.52645,	0.745474,	0.141995,	0.674476,	0.319489,	0.0709975,	0.248491,	0.177494,	0.248491,	1.45545,	0.141995,	0.354988,	0.177494,	2.8754,	3.23039,	1.24246,	0.141995,	0.177494,	0.0709975,	0.674476,	0.0709975,	0.745474,	0.922968,	0.106496,	0.141995,	0.425985,	0.354988,	1.10046,	0.496983,	0.0709975,	0.177494,	2.59141,	0.212993,	0.319489,	0.993965,	1.17146,	0.532481,	0.141995,	0.603479,	0.248491,	1.20696,	0.106496,	0,	0.993965,	1.13596,	0.745474,	3.37238,	0.106496,	0.248491,	0.212993,	0.28399,	0.354988,	0.248491,	0.106496,	0.0354988,	0.106496,	0.0709975,	0.177494,	0.141995,	0.28399,	
AoAF,	0.106383,	43.617,	1.34752,	1.56028,	1.48936,	0.390071,	0.141844,	0.496454,	0.390071,	0.035461,	0.425532,	0.851064,	0.496454,	0.319149,	1.02837,	0.390071,	1.24113,	0.212766,	0.425532,	0.106383,	1.77305,	0.531915,	0.35461,	0.531915,	0.283688,	0.319149,	0.673759,	0.106383,	0.106383,	0.035461,	0.70922,	1.41844,	0.141844,	0.567376,	0.35461,	0.319149,	0.673759,	0.992908,	0.460993,	0.283688,	1.09929,	0.425532,	0.177305,	0.425532,	0.390071,	0,	0.248227,	0,	0.602837,	0.921986,	0.283688,	0.283688,	0.248227,	2.55319,	3.36879,	1.02837,	0.141844,	0.106383,	0.141844,	0.957447,	0.248227,	1.13475,	0.602837,	0.319149,	0.106383,	0.567376,	0.141844,	0.673759,	0.815603,	0.035461,	0.212766,	2.65957,	0.248227,	0.141844,	1.02837,	1.31206,	0.70922,	0.070922,	0.673759,	0.070922,	1.34752,	0.035461,	0,	1.17021,	1.24113,	0.780142,	2.30496,	0.070922,	0.425532,	0.248227,	0.035461,	0.248227,	0.177305,	0.035461,	0.035461,	0.035461,	0.106383,	0.283688,	0.141844,	0.390071,	
CD20+,	0.141243,	48.3757,	1.58898,	1.20056,	1.20056,	0.282486,	0.105932,	0.529661,	0.317797,	0.211864,	0.0706215,	0.670904,	0.600282,	0.388418,	1.09463,	0.317797,	0.635593,	0.141243,	0.529661,	0.247175,	1.37712,	0.141243,	0.176554,	0.317797,	0.423729,	0.423729,	0.600282,	0.105932,	0,	0.105932,	0.918079,	0.95339,	0.247175,	0.741525,	0.282486,	0.0706215,	0.635593,	0.564972,	0.282486,	0.388418,	1.94209,	0.317797,	0.211864,	0.388418,	0.388418,	0.141243,	0.247175,	0.0706215,	0.317797,	0.706215,	0,	0.529661,	0.247175,	2.40113,	2.9661,	0.670904,	0.0353107,	0.141243,	0.0706215,	0.776836,	0.141243,	0.812147,	0.49435,	0.45904,	0.0706215,	0.211864,	0.353107,	0.776836,	0.600282,	0,	0.211864,	2.78955,	0.388418,	0.0706215,	0.741525,	1.3065,	0.564972,	0.0353107,	0.600282,	0.176554,	1.23588,	0.105932,	0.105932,	0.882768,	1.16525,	0.211864,	3.17797,	0.0353107,	0.282486,	0.211864,	0.211864,	0.529661,	0.105932,	0.105932,	0.0353107,	0.0706215,	0.141243,	0.353107,	0.0706215,	0.176554,	
GM06990,	0.107296,	49.2847,	1.68097,	1.43062,	1.43062,	0.321888,	0.286123,	0.9299,	0.143062,	0.214592,	0.214592,	0.751073,	0.250358,	0.357654,	1.21602,	0.321888,	1.10873,	0.536481,	0.46495,	0.214592,	0.679542,	0.214592,	0.107296,	0.321888,	0.0357654,	0.500715,	0.643777,	0.321888,	0.107296,	0.178827,	0.500715,	0.965665,	0.429185,	1.18026,	0.214592,	0.214592,	0.536481,	0.429185,	0.715308,	0.321888,	1.28755,	0.357654,	0.107296,	0.894135,	0.214592,	0.178827,	0.143062,	0.0357654,	0.357654,	0.715308,	0.107296,	0.46495,	0.321888,	2.7897,	1.7525,	1.46638,	0.0715308,	0.143062,	0.0357654,	0.250358,	0.178827,	1.53791,	0.286123,	0.143062,	0.0357654,	0.608011,	0,	1.50215,	0.286123,	0.0357654,	0.107296,	2.32475,	0.143062,	0.178827,	0.822604,	0.429185,	0.46495,	0.0357654,	0.536481,	0.536481,	0.500715,	0.214592,	0.0715308,	0.751073,	2.61087,	0.393419,	1.21602,	0,	0.679542,	0.178827,	0.0715308,	0.250358,	0.107296,	0.107296,	0.0715308,	0.0357654,	0.0715308,	0.393419,	0.178827,	0.321888,	
GM12865,	0.140548,	43.1131,	1.19466,	1.47576,	1.33521,	0.281096,	0.140548,	0.59733,	0.386507,	0.281096,	0.175685,	0.983837,	0.632467,	0.245959,	0.808152,	0.245959,	1.01897,	0.105411,	0.35137,	0.035137,	1.2298,	0.386507,	0.245959,	0.281096,	0.281096,	0.175685,	0.245959,	0.140548,	0.105411,	0.105411,	0.9487,	1.30007,	0.0702741,	0.421644,	0.667604,	0.175685,	0.702741,	0.281096,	0.562193,	0.140548,	1.75685,	0.35137,	0.316233,	0.456781,	0.562193,	0.035137,	0.316233,	0.035137,	0.210822,	1.44062,	0.0702741,	0.386507,	0.175685,	2.77583,	3.93535,	1.15952,	0.0702741,	0.035137,	0,	1.05411,	0.316233,	0.843289,	1.19466,	0.140548,	0,	0.386507,	0.456781,	0.59733,	0.281096,	0,	0.316233,	3.47857,	0.316233,	0.245959,	0.878426,	1.33521,	0.737878,	0.0702741,	0.527056,	0.316233,	1.58117,	0.245959,	0,	1.08925,	1.08925,	0.632467,	3.54884,	0,	0.35137,	0.0702741,	0.245959,	0.245959,	0.35137,	0.105411,	0,	0.035137,	0.0702741,	0.281096,	0.0702741,	0.386507,	
H7-hESC,	0,	35.2546,	1.34371,	1.23762,	1.41443,	0.53041,	0.212164,	0.813296,	0.282885,	0.141443,	0.318246,	0.884017,	0.707214,	0.53041,	1.37907,	0.282885,	1.06082,	0.141443,	0.49505,	0.53041,	2.01556,	0.353607,	0.49505,	0.282885,	0.0707214,	0.282885,	0.601132,	0.106082,	0.141443,	0.0353607,	1.02546,	1.66195,	0.106082,	0.777935,	0.671853,	0.212164,	0.954738,	1.02546,	0.49505,	0.282885,	1.44979,	0.49505,	0.318246,	0.49505,	0.318246,	0.141443,	0.459689,	0.0353607,	0.707214,	1.20226,	0.106082,	0.353607,	0.424328,	2.93494,	3.60679,	1.41443,	0.212164,	0.212164,	0.0353607,	0.742574,	0.318246,	1.23762,	0.777935,	0.353607,	0.0707214,	0.707214,	0.459689,	0.636492,	0.671853,	0,	0.247525,	2.82885,	0.212164,	0.388967,	0.884017,	1.73267,	0.919378,	0.141443,	0.707214,	0.318246,	1.44979,	0.106082,	0.106082,	1.02546,	1.27298,	0.884017,	3.57143,	0.176803,	0.353607,	0.424328,	0.353607,	0.353607,	0.0707214,	0.212164,	0.106082,	0.106082,	0.106082,	0.282885,	0.141443,	0.459689,	
HA-h,	0.104749,	40.2584,	1.01257,	1.46648,	1.2919,	0.384078,	0.209497,	0.523743,	0.384078,	0.104749,	0.174581,	0.73324,	0.349162,	0.244413,	1.25698,	0.174581,	0.872905,	0.0349162,	0.349162,	0.174581,	1.15223,	0.0698324,	0.453911,	0.174581,	0.488827,	0.27933,	0.453911,	0.139665,	0.0349162,	0.0698324,	1.32682,	0.803073,	0.27933,	0.523743,	0.349162,	0.384078,	0.488827,	0.453911,	0.349162,	0.209497,	2.47905,	0.453911,	0.0698324,	0.523743,	0.73324,	0.139665,	0.349162,	0.0698324,	0.314246,	1.22207,	0.0349162,	0.837989,	0.488827,	2.51397,	4.43436,	1.22207,	0,	0.139665,	0.0349162,	0.837989,	0.314246,	0.803073,	0.907821,	0.453911,	0.139665,	0.558659,	0.663408,	0.768156,	0.453911,	0.104749,	0.209497,	3.77095,	0.453911,	0.174581,	0.488827,	1.0824,	0.314246,	0.104749,	0.523743,	0.27933,	1.88547,	0.0698324,	0.0698324,	0.977654,	1.36173,	0.523743,	4.05028,	0.0349162,	0.418994,	0.139665,	0.523743,	0.663408,	0.0698324,	0,	0,	0.0698324,	0.104749,	0.593575,	0.0349162,	0.349162,	
HAEpiC,	0.142959,	43.9957,	1.03645,	1.67977,	1.28663,	0.357398,	0.178699,	0.536097,	0.321658,	0.107219,	0.250179,	0.679056,	0.607577,	0.500357,	1.21515,	0.321658,	1.07219,	0.250179,	0.393138,	0.250179,	1.67977,	0.214439,	0.321658,	0.428878,	0.214439,	0.536097,	0.571837,	0.214439,	0.0714796,	0.142959,	0.750536,	0.929235,	0.285919,	0.571837,	0.321658,	0.214439,	0.428878,	0.714796,	0.357398,	0.321658,	1.42959,	0.393138,	0.214439,	0.679056,	0.357398,	0,	0.321658,	0.0714796,	0.285919,	0.822016,	0.0714796,	0.285919,	0.142959,	2.82345,	3.8599,	1.89421,	0.107219,	0.214439,	0.0714796,	0.857756,	0.214439,	0.679056,	0.607577,	0.214439,	0.142959,	0.321658,	0.142959,	0.822016,	0.500357,	0.0714796,	0.357398,	2.85918,	0.178699,	0.357398,	0.893495,	1.60829,	0.714796,	0.0357398,	0.679056,	0.214439,	1.35811,	0.0714796,	0.0357398,	0.643317,	1.32237,	0.607577,	3.07362,	0,	0.285919,	0.178699,	0.178699,	0.178699,	0.178699,	0.142959,	0,	0.0714796,	0.214439,	0.214439,	0.0357398,	0.214439,	
HCF,	0.0706464,	41.7874,	1.20099,	2.04875,	1.5189,	0.282586,	0.282586,	0.423878,	0.388555,	0.211939,	0.176616,	0.812434,	0.600495,	0.353232,	0.98905,	0.141293,	0.98905,	0.282586,	0.494525,	0.141293,	1.90745,	0.211939,	0.211939,	0.211939,	0.282586,	0.282586,	0.494525,	0.10597,	0.0353232,	0.141293,	1.0597,	1.37761,	0.141293,	0.600495,	0.423878,	0.176616,	0.529848,	0.388555,	0.388555,	0.282586,	1.66019,	0.847757,	0.0706464,	0.671141,	0.353232,	0.10597,	0.282586,	0.0706464,	0.494525,	1.37761,	0.10597,	0.353232,	0.282586,	2.79053,	4.09749,	1.20099,	0.247262,	0.282586,	0,	0.777111,	0.0706464,	1.0597,	0.812434,	0.459202,	0.0706464,	0.282586,	0.247262,	0.459202,	0.529848,	0.0353232,	0.176616,	3.21441,	0.388555,	0.317909,	0.777111,	1.30696,	0.741787,	0.0706464,	0.847757,	0.353232,	1.09502,	0.0706464,	0.10597,	0.953727,	1.13034,	0.671141,	3.32038,	0,	0.317909,	0.247262,	0.211939,	0.141293,	0.10597,	0.0706464,	0.0353232,	0,	0.0353232,	0.317909,	0.0353232,	0.388555,	
