cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.131544,	19.4423,	1.81531,	1.71008,	2.0784,	0.289398,	0.578795,	0.394633,	0.210471,	0.131544,	0.157853,	4.34096,	2.92028,	0.499868,	0.973428,	1.31544,	0.762957,	0.0789266,	0.420942,	0.736648,	0.420942,	0.605104,	0.210471,	4.39358,	0,	0.289398,	0.499868,	0.684031,	0.499868,	2.78874,	0.394633,	0.105235,	0.947119,	5.44594,	2.6835,	0.131544,	0.342015,	1.07866,	0.263089,	1.52591,	0.631413,	0.499868,	0.0526177,	1.65746,	0.184162,	0.23678,	0.0263089,	0.0263089,	0.815575,	1.4733,	0.131544,	0.263089,	0.157853,	2.6572,	0.420942,	0.342015,	0.0789266,	0.841884,	0.0789266,	1.63115,	0.526177,	0.894501,	0.263089,	0.657722,	0.184162,	1.63115,	0.105235,	1.57853,	0.631413,	0.499868,	0.23678,	1.34175,	0.0526177,	2.9729,	1.23652,	0.394633,	0.999737,	0.184162,	1.10497,	0,	0.394633,	0.105235,	0.0263089,	0.657722,	0.947119,	0.894501,	0.92081,	0,	1.63115,	0.578795,	0.0263089,	0.105235,	1.31544,	0.263089,	0.157853,	0.552486,	0.0789266,	0.0789266,	0.105235,	1.15759,	
AoAF,	0.172286,	15.8504,	2.21511,	2.06744,	1.94438,	0.41841,	0.83682,	0.369185,	0.0738371,	0.196899,	0.123062,	4.52867,	2.1905,	0.443022,	0.689146,	0.886045,	0.984494,	0.0492247,	0.492247,	0.812208,	0.344573,	0.369185,	0.0492247,	4.79941,	0.0492247,	0.172286,	0.886045,	0.910657,	0.295348,	2.75658,	0.344573,	0.172286,	1.00911,	4.7748,	2.9781,	0.147674,	0.344573,	1.13217,	0.270736,	1.4029,	0.83682,	0.443022,	0.0738371,	2.5843,	0.270736,	0.172286,	0.0246124,	0.0246124,	0.664534,	2.26434,	0.0984494,	0.41841,	0.172286,	3.34728,	0.467635,	0.689146,	0.0246124,	0.639921,	0.0246124,	1.91976,	0.319961,	1.18139,	0.295348,	0.713758,	0.0984494,	1.7967,	0.123062,	1.35368,	0.566084,	0.689146,	0.221511,	1.42752,	0.0492247,	3.71647,	1.15678,	0.295348,	0.93527,	0.295348,	1.08294,	0,	0.221511,	0.196899,	0.0984494,	0.689146,	1.10756,	0.713758,	0.738371,	0.0738371,	1.89515,	0.762983,	0.0738371,	0,	1.20601,	0.270736,	0.196899,	0.615309,	0.172286,	0.0738371,	0.295348,	0.566084,	
CD20+,	0.237954,	26.5318,	1.96312,	1.24926,	2.17133,	0.35693,	0.446163,	0.297442,	0.148721,	0.0594884,	0.0892326,	3.71802,	3.06365,	0.327186,	0.475907,	1.5467,	0.416419,	0.0594884,	0.297442,	0.386675,	0.35693,	0.505651,	0.297442,	3.68828,	0.0297442,	0.148721,	0.505651,	0.35693,	0.446163,	0.981559,	0.35693,	0.386675,	0.624628,	4.93754,	1.93337,	0.327186,	0.475907,	2.05235,	0.327186,	2.64723,	0.237954,	0.446163,	0.148721,	0.862582,	0.178465,	0.327186,	0,	0.0892326,	1.16002,	0.832838,	0.0892326,	0.118977,	0.0892326,	2.49851,	0.535396,	0.773349,	0.0594884,	0.386675,	0.178465,	0.773349,	0.743605,	0.951814,	0.178465,	0.535396,	0.0892326,	0.951814,	0,	1.39798,	1.07079,	0.446163,	0.56514,	2.46877,	0.0892326,	1.21951,	2.11184,	0.148721,	2.11184,	0.35693,	2.23081,	0.0594884,	0.35693,	0.267698,	0.0297442,	0.505651,	0.505651,	0.862582,	0.862582,	0,	1.279,	0.267698,	0.0297442,	0.0892326,	0.654372,	0.237954,	0.0594884,	0.0892326,	0,	0.148721,	0.148721,	0.862582,	
GM06990,	0.196155,	27.8148,	1.88309,	1.1377,	5.37466,	0.235386,	0.470773,	0.313849,	0.0784621,	0.0392311,	0.0392311,	2.55002,	2.2754,	0.117693,	0.35308,	0.980777,	0.117693,	0.117693,	1.1377,	0.274617,	0.549235,	0.313849,	1.02001,	1.25539,	0.156924,	0.0784621,	0.274617,	0.74539,	0.274617,	0.0784621,	0.313849,	0.666928,	0.823853,	1.53001,	0.235386,	0.35308,	0.431542,	4.47234,	0.510004,	1.68694,	0.235386,	0.549235,	0.117693,	0.117693,	0,	0.117693,	0.156924,	0.235386,	1.80463,	0.274617,	0.156924,	0.117693,	0.117693,	1.1377,	0.784621,	1.21616,	0.35308,	0.274617,	0.274617,	0.627697,	0.74539,	0.588466,	0.196155,	1.05924,	0.0392311,	0.588466,	0,	1.05924,	1.41232,	0.235386,	0.117693,	2.66771,	0.0392311,	0.235386,	5.25696,	0.510004,	4.5508,	0.0784621,	2.78541,	0.156924,	0.470773,	0.235386,	0,	0.117693,	0.274617,	1.37309,	1.29463,	0.0784621,	0.274617,	0.196155,	0.0392311,	0.117693,	0.35308,	0.313849,	0,	0.0392311,	0.156924,	0.196155,	0.274617,	1.92232,	
GM12865,	0.0280112,	23.7815,	1.56863,	1.09244,	2.32493,	0.364146,	0.364146,	0.196078,	0.0560224,	0.252101,	0.252101,	3.36134,	3.61345,	0.308123,	0.420168,	1.20448,	0.476191,	0.0560224,	0.336134,	0.644258,	0.168067,	0.560224,	0.140056,	5.04202,	0,	0.22409,	0.476191,	0.756303,	0.196078,	1.9888,	0.364146,	0.364146,	0.784314,	5.91036,	2.40896,	0.280112,	0.476191,	1.48459,	0.22409,	1.51261,	0.420168,	0.476191,	0.168067,	1.06443,	0.140056,	0.0840336,	0.112045,	0.0280112,	1.12045,	1.23249,	0.0280112,	0.252101,	0.112045,	2.38095,	0.252101,	0.728291,	0.0560224,	0.616247,	0.0280112,	1.31653,	0.280112,	1.06443,	0.22409,	0.560224,	0.0840336,	1.45658,	0.0840336,	1.48459,	1.17647,	0.420168,	0.308123,	2.493,	0.0280112,	2.40896,	1.73669,	0.22409,	1.76471,	0.252101,	1.70868,	0.0560224,	0.616247,	0.112045,	0.0840336,	0.280112,	0.644258,	1.12045,	0.644258,	0.0280112,	1.28852,	0.196078,	0,	0.0840336,	0.70028,	0.140056,	0.196078,	0.308123,	0.0560224,	0,	0.168067,	0.840336,	
H7-hESC,	0.107296,	19.3938,	2.14592,	1.66309,	2.81652,	0.482833,	0.616953,	0.348712,	0.13412,	0.107296,	0.0536481,	4.47961,	2.65558,	0.375536,	0.751073,	0.885193,	0.724249,	0.0536481,	0.375536,	0.321888,	0.187768,	0.321888,	0.160944,	4.42597,	0,	0.241416,	0.670601,	0.670601,	0.187768,	1.95815,	0.348712,	0.214592,	0.724249,	5.36481,	3.29936,	0.295064,	0.563305,	1.36803,	0.456009,	1.74356,	0.590129,	0.590129,	0.187768,	1.26073,	0.241416,	0.13412,	0.0804721,	0.0804721,	0.885193,	1.90451,	0.160944,	0.348712,	0.160944,	2.62876,	0.616953,	0.777897,	0.026824,	0.616953,	0.0804721,	1.47532,	0.295064,	0.777897,	0.241416,	0.536481,	0.0804721,	1.60944,	0.026824,	1.63627,	0.697425,	0.375536,	0.214592,	1.71674,	0.026824,	3.40665,	2.06545,	0.107296,	1.58262,	0.13412,	1.42167,	0.0804721,	0.321888,	0.107296,	0.026824,	0.938841,	0.831545,	1.18026,	0.590129,	0.0536481,	1.52897,	0.482833,	0.0536481,	0,	0.965665,	0.13412,	0.026824,	0.321888,	0.026824,	0.026824,	0.187768,	0.616953,	
HA-h,	0.509709,	15.3884,	2.03884,	1.96602,	1.60194,	0.752427,	0.679612,	0.606796,	0.291262,	0.291262,	0.218447,	3.6165,	1.91748,	0.728155,	0.898058,	1.14078,	1.23786,	0.0728155,	0.533981,	0.631068,	0.558252,	0.800971,	0.169903,	3.51942,	0.0242718,	0.218447,	0.606796,	0.631068,	0.242718,	1.45631,	0.728155,	0.582524,	1.18932,	4.10194,	2.57282,	0.339806,	0.752427,	1.31068,	0.436893,	1.28641,	1.50485,	0.65534,	0.0970874,	1.77184,	0.194175,	0.26699,	0.0485437,	0.145631,	0.485437,	1.57767,	0.169903,	0.26699,	0.485437,	2.57282,	0.606796,	0.92233,	0.194175,	0.679612,	0.194175,	1.09223,	0.776699,	1.62621,	0.558252,	0.703883,	0.169903,	1.91748,	0.0485437,	1.7233,	0.436893,	0.65534,	0.364078,	1.16505,	0.218447,	2.16019,	1.82039,	0.485437,	1.26214,	0.485437,	1.40777,	0.0485437,	0.558252,	0.291262,	0.0728155,	0.582524,	1.50485,	1.16505,	1.06796,	0.0242718,	1.69903,	0.582524,	0.145631,	0.0970874,	0.995146,	0.26699,	0.291262,	0.558252,	0.121359,	0.218447,	0.339806,	0.800971,	
HAEpiC,	0.130924,	15.7895,	1.62346,	1.88531,	2.0686,	0.523697,	0.942655,	0.445143,	0.0523697,	0.209479,	0.157109,	4.37287,	1.88531,	0.549882,	0.759361,	0.942655,	0.523697,	0.130924,	0.445143,	0.576067,	0.340403,	0.497512,	0.288034,	4.5038,	0.0261849,	0.235664,	0.654622,	0.890285,	0.235664,	2.88034,	0.314218,	0.261849,	0.680807,	5.13223,	3.27311,	0.130924,	0.392773,	0.837916,	0.340403,	1.33543,	1.23069,	0.392773,	0.104739,	2.56612,	0.183294,	0.130924,	0.104739,	0,	0.680807,	2.53993,	0.0261849,	0.549882,	0.261849,	2.43519,	0.366588,	0.680807,	0.0785546,	0.942655,	0.0523697,	1.93768,	0.392773,	1.17832,	0.261849,	0.340403,	0.130924,	2.14716,	0.0523697,	1.46635,	0.261849,	0.602252,	0.340403,	1.28306,	0.0261849,	3.69207,	1.51872,	0.288034,	1.57109,	0.183294,	1.15213,	0.0261849,	0.523697,	0.0785546,	0.0523697,	0.628437,	1.07358,	1.33543,	0.445143,	0,	2.5923,	0.680807,	0.0261849,	0,	1.2045,	0.235664,	0.209479,	0.366588,	0.0523697,	0.104739,	0.183294,	0.759361,	
HCF,	0.0772201,	16.8082,	1.69884,	1.72458,	1.85328,	0.36036,	0.643501,	0.566281,	0.23166,	0.20592,	0.1287,	3.9897,	2.23938,	0.28314,	0.720721,	1.46718,	0.566281,	0.1287,	0.3861,	0.694981,	0.30888,	0.48906,	0.2574,	4.3758,	0.0514801,	0.23166,	0.694981,	0.797941,	0.2574,	2.75418,	0.48906,	0.2574,	0.978121,	4.86486,	2.72844,	0.15444,	0.48906,	0.875161,	0.2574,	1.59588,	1.1583,	0.36036,	0.2574,	1.44144,	0.20592,	0.23166,	0.0772201,	0.0514801,	0.592021,	2.3166,	0.20592,	0.3861,	0.23166,	3.0888,	0.592021,	0.746461,	0.0772201,	0.849421,	0.0772201,	1.57014,	0.46332,	1.13256,	0.23166,	0.592021,	0.15444,	1.85328,	0.15444,	1.51866,	0.797941,	0.772201,	0.23166,	1.36422,	0.0772201,	3.29472,	1.287,	0.30888,	1.20978,	0.2574,	1.33848,	0.15444,	0.43758,	0.15444,	0.1287,	0.592021,	1.00386,	0.797941,	0.952381,	0,	2.21364,	0.900901,	0.02574,	0.0772201,	0.978121,	0.1287,	0.20592,	0.566281,	0.23166,	0.0772201,	0.33462,	0.797941,	
HCM,	0.104767,	16.7889,	1.85961,	1.912,	2.35726,	0.314301,	0.497643,	0.288109,	0.183342,	0.104767,	0.183342,	4.79309,	2.35726,	0.340492,	0.942902,	0.811943,	0.654793,	0.130959,	0.419068,	0.576218,	0.471451,	0.60241,	0.104767,	5.02881,	0.0261917,	0.340492,	0.680985,	0.733368,	0.183342,	2.40964,	0.314301,	0.183342,	0.497643,	4.71451,	2.72394,	0.209534,	0.419068,	1.02148,	0.340492,	1.33578,	0.811943,	0.523834,	0.261917,	1.67627,	0.261917,	0.183342,	0.104767,	0.0261917,	0.680985,	2.06915,	0.130959,	0.628601,	0.209534,	2.88109,	0.366684,	0.707177,	0.0785752,	0.890519,	0.0523834,	1.36197,	0.497643,	0.942902,	0.314301,	0.680985,	0.130959,	1.83342,	0.0261917,	1.75485,	0.654793,	0.366684,	0.288109,	1.46674,	0.0785752,	3.32635,	1.49293,	0.314301,	1.36197,	0.183342,	1.12624,	0,	0.471451,	0.261917,	0.0785752,	0.942902,	1.44054,	1.12624,	0.707177,	0.0785752,	1.67627,	0.576218,	0.0523834,	0.0785752,	1.20482,	0.183342,	0.392876,	0.550026,	0.0785752,	0.104767,	0.314301,	0.969094,	
