cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.322208,	30.2815,	1.45298,	3.11873,	1.20372,	0.279652,	0.577543,	1.05174,	0.164144,	0.261414,	0.644416,	0.577543,	1.06389,	0.383002,	2.03052,	0.480272,	1.19764,	0.632257,	0.832877,	0.571463,	1.07605,	0.419478,	0.212779,	1.12469,	0.164144,	0.589701,	0.790322,	0.528908,	0.455955,	0.626178,	0.50459,	0.395161,	0.249255,	1.51985,	1.35571,	0.182382,	0.577543,	1.51377,	0.674813,	0.492431,	1.89069,	0.340446,	0.133747,	2.07307,	0.109429,	0.121588,	0.188461,	0.0972703,	0.717369,	1.30099,	0.255335,	0.261414,	0.674813,	1.31923,	1.96365,	1.14293,	0.352605,	0.291811,	0.151985,	0.261414,	0.455955,	1.66575,	0.291811,	0.352605,	0.030397,	0.863274,	0.139826,	1.01526,	0.334367,	0.20062,	0.182382,	1.64144,	0.145906,	0.826798,	2.52295,	0.729528,	0.699131,	0.133747,	1.48337,	0.310049,	1.21588,	0.419478,	0.10335,	0.60794,	3.10049,	0.486352,	0.80248,	0.231017,	1.02134,	0.486352,	0.170223,	0.127667,	0.869354,	0.224938,	0.462034,	0.224938,	0.176303,	0.498511,	0.091191,	0.425558,	
AoAF,	0.293255,	29.1239,	1.46628,	3.06085,	1.27077,	0.372678,	0.629277,	1.04472,	0.164956,	0.262708,	0.898094,	0.629277,	1.02639,	0.458211,	2.21163,	0.482649,	1.19746,	0.58651,	0.891984,	0.806452,	1.08749,	0.305474,	0.195503,	1.09971,	0.0977517,	0.555963,	0.690371,	0.47043,	0.372678,	0.574291,	0.452102,	0.452102,	0.336022,	1.76564,	1.44795,	0.128299,	0.47043,	1.47849,	0.629277,	0.433773,	1.80841,	0.323803,	0.0916422,	2.07111,	0.183284,	0.12219,	0.195503,	0.103861,	0.678153,	1.31354,	0.35435,	0.293255,	0.531525,	1.18524,	2.15054,	1.02639,	0.34824,	0.317693,	0.0794233,	0.213832,	0.507087,	1.30743,	0.23216,	0.409335,	0.0305474,	0.849218,	0.0916422,	1.05083,	0.445992,	0.213832,	0.274927,	1.83284,	0.158847,	0.849218,	2.84091,	0.849218,	0.672043,	0.109971,	1.58236,	0.384897,	1.11804,	0.378788,	0.183284,	0.629277,	2.98754,	0.733138,	1.08749,	0.226051,	1.0325,	0.47043,	0.158847,	0.0916422,	0.867546,	0.287146,	0.415445,	0.244379,	0.189394,	0.360459,	0.134409,	0.397116,	
CD20+,	0.597315,	28.612,	1.67366,	2.62582,	1.12366,	0.301615,	0.496777,	1.08818,	0.11828,	0.325271,	0.857531,	0.816133,	0.591401,	0.597315,	2.17636,	0.413981,	1.10592,	0.733337,	0.851617,	0.804305,	0.863445,	0.348927,	0.141936,	0.833875,	0.230646,	0.697853,	0.845703,	0.490863,	0.573659,	0.745165,	0.561831,	0.425809,	0.20699,	1.62044,	1.11775,	0.153764,	0.638713,	1.11183,	0.656455,	0.514519,	2.1527,	0.396239,	0.124194,	2.10539,	0.230646,	0.14785,	0.248388,	0.124194,	0.573659,	1.44302,	0.372583,	0.402153,	0.550003,	1.307,	2.18818,	1.10592,	0.609143,	0.272044,	0.153764,	0.283872,	0.490863,	2.1941,	0.254302,	0.455379,	0.0473121,	0.804305,	0.17742,	0.656455,	0.301615,	0.307529,	0.17742,	1.44302,	0.195162,	0.768821,	2.07582,	0.733337,	0.532261,	0.189248,	1.39571,	0.408067,	0.83979,	0.307529,	0.248388,	0.479035,	3.82636,	0.550003,	0.786563,	0.260216,	1.04678,	0.561831,	0.212904,	0.189248,	1.17097,	0.343013,	0.650541,	0.277958,	0.212904,	0.544089,	0.0768821,	0.325271,	
GM06990,	0.221094,	26.8658,	2.21094,	2.34837,	1.46997,	0.59755,	0.209143,	0.848521,	0.681207,	0.310726,	0.268898,	0.878399,	0.47804,	0.484016,	0.693158,	0.298775,	0.328653,	0.585599,	0.370481,	0.197192,	1.60741,	0.466089,	1.4401,	0.501942,	0.501942,	0.968031,	0.639379,	0.262922,	0.149388,	0.095608,	0.466089,	3.71676,	0.764864,	0.591575,	0.406334,	0.484016,	0.89035,	0.866448,	1.63729,	0.2928,	1.31461,	1.10547,	0.555722,	0.346579,	0.0537795,	0.203167,	0.436212,	0.250971,	0.59755,	0.878399,	0.113535,	0.059755,	0.310726,	4.05736,	4.48163,	1.51778,	0.17329,	0.370481,	0.346579,	0.848521,	0.340604,	0.41231,	1.02181,	0.609501,	0.454138,	0.466089,	0.0179265,	0.752913,	1.00986,	0.11951,	0.322677,	0.89035,	0.418285,	0.244996,	1.28473,	1.4879,	2.38422,	0.095608,	1.09949,	0.615477,	1.50583,	0.472065,	0.095608,	1.11742,	1.20108,	0.579624,	1.97192,	0.059755,	0.304751,	0.149388,	0.059755,	0.161339,	0.0657305,	0.501942,	0.0776815,	0.0537795,	0.388408,	0.0298775,	0.944129,	1.09352,	
GM12865,	0.297283,	31.7082,	1.46263,	3.12147,	1.14751,	0.154587,	0.487544,	0.909685,	0.0654022,	0.303228,	0.879957,	0.618348,	0.790772,	0.374576,	2.27124,	0.428087,	1.12967,	0.838338,	0.737261,	0.558892,	0.909685,	0.457816,	0.124859,	1.12967,	0.202152,	0.707533,	0.701587,	0.374576,	0.523218,	0.701587,	0.487544,	0.41025,	0.214044,	1.56965,	1.24264,	0.0891849,	0.564837,	1.43885,	0.749153,	0.45187,	2.00963,	0.291337,	0.0832392,	2.3307,	0.196207,	0.112967,	0.166478,	0.112967,	0.648077,	1.32588,	0.231881,	0.327011,	0.612403,	1.1594,	2.02152,	1.02265,	0.422142,	0.154587,	0.101076,	0.237826,	0.505381,	1.7064,	0.279446,	0.297283,	0.0237826,	0.772935,	0.112967,	0.796718,	0.327011,	0.202152,	0.130804,	1.72424,	0.160533,	0.802664,	2.59825,	0.874012,	0.475653,	0.0772935,	1.25453,	0.327011,	1.04644,	0.31512,	0.0772935,	0.517272,	3.43659,	0.487544,	0.874012,	0.184315,	0.957251,	0.523218,	0.214044,	0.124859,	0.981033,	0.202152,	0.499435,	0.231881,	0.184315,	0.475653,	0.0713479,	0.243772,	
H7-hESC,	0.279579,	25.5368,	1.72506,	3.45607,	1.15995,	0.368806,	0.594849,	1.26108,	0.107073,	0.309321,	0.922015,	0.63054,	1.09452,	0.368806,	2.31991,	0.368806,	1.27298,	0.755458,	1.19565,	0.90417,	1.24918,	0.374755,	0.1963,	1.23134,	0.166558,	0.517518,	0.731664,	0.541312,	0.3926,	0.660282,	0.487776,	0.481827,	0.279579,	1.79049,	1.40979,	0.184403,	0.553209,	1.48117,	0.701921,	0.547261,	1.79049,	0.345012,	0.130867,	2.26042,	0.190352,	0.160609,	0.190352,	0.136815,	0.791149,	1.48117,	0.362858,	0.243888,	0.606746,	1.15401,	2.07602,	1.23729,	0.553209,	0.237939,	0.11897,	0.237939,	0.499673,	1.70127,	0.261733,	0.327167,	0.0416394,	1.02314,	0.136815,	1.05288,	0.297424,	0.148712,	0.1963,	1.49307,	0.113021,	1.02314,	2.69466,	0.922015,	0.606746,	0.0832788,	1.68342,	0.321218,	1.24323,	0.547261,	0.113021,	0.66623,	2.9326,	0.582952,	1.01719,	0.243888,	1.13616,	0.416394,	0.166558,	0.208197,	1.02314,	0.220094,	0.493724,	0.356909,	0.184403,	0.452085,	0.0892273,	0.362858,	
HA-h,	0.521872,	27.1784,	1.3252,	3.2485,	0.967515,	0.246277,	0.527735,	1.17861,	0.111411,	0.322505,	0.774012,	0.69192,	0.633282,	0.5981,	2.25167,	0.340096,	1.24897,	0.908878,	0.774012,	0.639146,	0.797467,	0.433916,	0.170048,	0.668465,	0.34596,	0.650874,	0.961651,	0.521872,	0.574645,	0.844377,	0.615691,	0.43978,	0.310778,	1.65357,	1.04374,	0.158321,	0.64501,	0.961651,	0.627419,	0.404597,	2.19303,	0.486689,	0.146593,	2.28099,	0.281459,	0.240413,	0.281459,	0.164184,	0.539463,	1.33107,	0.369415,	0.469098,	0.650874,	1.46007,	2.73836,	0.967515,	0.586373,	0.287323,	0.0938196,	0.199367,	0.504281,	2.33376,	0.193503,	0.469098,	0.0293186,	0.932333,	0.199367,	0.615691,	0.20523,	0.34596,	0.187639,	1.29002,	0.322505,	0.744693,	2.0699,	0.967515,	0.480826,	0.158321,	1.11997,	0.457371,	0.826786,	0.310778,	0.123138,	0.627419,	4.09874,	0.39287,	0.768148,	0.328369,	0.955787,	0.715375,	0.25214,	0.234549,	1.22552,	0.258004,	0.627419,	0.334232,	0.293186,	0.621555,	0.111411,	0.181776,	
HAEpiC,	0.307088,	28.3319,	1.62142,	2.72694,	1.4126,	0.380789,	0.6326,	1.00725,	0.135119,	0.319371,	0.884412,	0.6326,	1.07481,	0.368505,	2.03906,	0.515907,	1.22835,	0.675593,	0.94583,	0.786144,	1.15465,	0.35008,	0.159686,	1.42489,	0.190394,	0.528191,	0.773861,	0.534332,	0.528191,	0.755435,	0.528191,	0.479057,	0.35008,	1.91623,	1.21607,	0.14126,	0.423781,	1.44945,	0.681734,	0.620317,	1.51701,	0.325513,	0.10441,	1.79339,	0.159686,	0.110552,	0.20882,	0.122835,	0.933546,	1.36347,	0.270237,	0.38693,	0.528191,	1.35119,	2.13733,	1.01339,	0.405356,	0.325513,	0.128977,	0.276379,	0.534332,	1.37575,	0.227245,	0.362363,	0.0307088,	0.927405,	0.10441,	1.01339,	0.399214,	0.184253,	0.251812,	1.84867,	0.0614175,	0.804569,	2.89891,	0.780002,	0.552758,	0.098268,	1.66441,	0.356222,	1.22835,	0.423781,	0.159686,	0.694018,	2.73922,	0.522049,	0.915121,	0.20882,	1.02567,	0.571183,	0.122835,	0.10441,	0.872129,	0.313229,	0.45449,	0.239528,	0.190394,	0.442206,	0.116693,	0.485198,	
HCF,	0.381702,	29.9636,	1.57452,	3.20272,	1.07354,	0.238564,	0.512912,	1.06161,	0.107354,	0.161031,	0.852866,	0.518876,	0.709727,	0.387666,	2.33793,	0.399594,	1.21071,	0.781297,	0.930399,	0.769368,	1.00793,	0.429415,	0.13121,	1.05564,	0.2326,	0.638158,	1.04372,	0.506948,	0.512912,	0.667979,	0.459235,	0.417487,	0.304169,	1.59838,	1.42542,	0.196815,	0.483092,	1.35385,	0.769368,	0.339953,	2.11129,	0.357846,	0.0775333,	2.57649,	0.149102,	0.13121,	0.2326,	0.113318,	0.59641,	1.42542,	0.280313,	0.310133,	0.518876,	1.09739,	2.18882,	0.966184,	0.453271,	0.316097,	0.13121,	0.214707,	0.459235,	1.83694,	0.328025,	0.322061,	0.0298205,	0.894614,	0.119282,	0.715692,	0.244528,	0.208743,	0.214707,	1.59838,	0.190851,	0.72762,	2.46914,	0.775333,	0.447307,	0.125246,	1.35981,	0.39363,	1.02582,	0.435379,	0.166995,	0.49502,	3.23254,	0.369774,	0.882686,	0.26242,	0.912507,	0.542733,	0.166995,	0.149102,	0.870758,	0.268384,	0.49502,	0.208743,	0.2326,	0.399594,	0.0954255,	0.328025,	
HCM,	0.291441,	32.8972,	1.35015,	3.16422,	1.11223,	0.231963,	0.446083,	0.975436,	0.124903,	0.196277,	0.74942,	0.636412,	0.69589,	0.446083,	2.10551,	0.392553,	1.17766,	0.779159,	0.74942,	0.547196,	0.892167,	0.327128,	0.190329,	1.11818,	0.178433,	0.648308,	0.767263,	0.392553,	0.547196,	0.672099,	0.457979,	0.446083,	0.309284,	1.49289,	1.17766,	0.0832689,	0.541248,	1.10629,	0.689942,	0.380658,	2.18878,	0.327128,	0.0773211,	2.08172,	0.208172,	0.148694,	0.226016,	0.118956,	0.570987,	1.36799,	0.184381,	0.42824,	0.58883,	1.11223,	2.42075,	1.10034,	0.386606,	0.255754,	0.130851,	0.190329,	0.559091,	1.73675,	0.237911,	0.26765,	0.0416344,	0.862428,	0.154642,	0.582882,	0.315232,	0.220068,	0.220068,	1.46315,	0.21412,	0.767263,	2.28989,	0.820793,	0.499613,	0.118956,	1.27877,	0.380658,	0.993279,	0.297389,	0.124903,	0.487718,	3.64004,	0.416344,	0.779159,	0.172486,	0.779159,	0.517457,	0.178433,	0.130851,	0.844585,	0.291441,	0.529352,	0.243859,	0.208172,	0.422292,	0.10706,	0.202224,	
