cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.105086,	21.6267,	1.80748,	1.67087,	2.15427,	0.115595,	0.483396,	0.525431,	0.472888,	0.157629,	1.13493,	0.725095,	1.47121,	0.168138,	1.19798,	0.6095,	0.567465,	0.388819,	0.388819,	0.283733,	0.588483,	0.388819,	0.199664,	0.220681,	0.630517,	1.39765,	1.25053,	0.430853,	0.735603,	0.136612,	0.126103,	1.28205,	0.283733,	2.48003,	0.241698,	0.136612,	0.493905,	0.535939,	1.11391,	0.556957,	0.714586,	0.462379,	0.115595,	0.672551,	0.325767,	0.882724,	0.0525431,	0.840689,	1.9546,	0.189155,	0.0525431,	0.420345,	0.903741,	1.37663,	1.29256,	0.840689,	1.31358,	0.641026,	0.725095,	0.136612,	0.830181,	0.935267,	0.30475,	0.189155,	0.157629,	1.4607,	0.0525431,	0.451871,	0.662043,	0.6095,	0.788146,	1.30307,	0.136612,	0.346784,	2.94241,	0.68306,	0.777638,	0,	3.64649,	0.882724,	5.25431,	1.17697,	0.420345,	0.483396,	4.59227,	0.672551,	2.6797,	0.630517,	0.525431,	0.105086,	0.0630517,	0.672551,	0.30475,	0.0735603,	0.105086,	0.189155,	0.241698,	0.157629,	0.136612,	1.15595,	
AoAF,	0.0720758,	17.8851,	1.66804,	1.7813,	2.41969,	0.0720758,	0.556013,	0.617792,	0.813427,	0.216227,	1.23558,	0.700165,	1.46211,	0.133855,	1.10173,	0.494234,	0.731054,	0.26771,	0.401565,	0.226524,	0.731054,	0.278007,	0.226524,	0.26771,	0.864909,	1.70923,	1.16351,	0.350082,	0.854613,	0.102965,	0.123558,	0.998764,	0.247117,	2.46087,	0.23682,	0.0617792,	0.628089,	0.411862,	0.957578,	0.432455,	0.854613,	0.514827,	0.154448,	0.689868,	0.257414,	1.03995,	0.102965,	0.998764,	2.3888,	0.329489,	0.0308896,	0.422158,	0.978171,	1.12232,	1.24588,	0.792834,	1.4827,	0.638385,	0.761944,	0.164745,	1.09143,	0.875206,	0.278007,	0.185338,	0.0205931,	1.58567,	0.0411862,	0.26771,	0.83402,	0.679572,	0.947282,	1.27677,	0.195634,	0.380972,	3.03748,	0.669275,	0.669275,	0.0308896,	4.27306,	0.988468,	5.12768,	1.42092,	0.576606,	0.525124,	5.15857,	0.597199,	2.6771,	0.906096,	0.597199,	0.216227,	0.0411862,	0.53542,	0.360379,	0.0926689,	0.154448,	0.247117,	0.257414,	0.123558,	0.0823723,	1.03995,	
CD20+,	0.147239,	22.6994,	2.65031,	0.981595,	2.56442,	0.269939,	0.331288,	0.331288,	0.576687,	0.0368098,	0.429448,	1.39877,	3.30061,	0.208589,	0.515337,	1.33742,	0.319018,	0.0981595,	0.429448,	0.257669,	0.392638,	0.257669,	0.429448,	0.846626,	0.355828,	0.809816,	0.490798,	0.539877,	1.15337,	0.184049,	0.0858896,	0.527607,	0.294479,	3.42331,	0.368098,	0.245399,	0.625767,	1.60736,	0.662577,	1.28834,	0.257669,	0.429448,	0.0981595,	0.208589,	0.0490798,	0.417178,	0.122699,	0.552147,	3.05521,	0.184049,	0.0245399,	0.196319,	0.355828,	1.28834,	0.515337,	1.00613,	0.895706,	0.490798,	0.355828,	0.331288,	1.16564,	0.564417,	0.343558,	0.417178,	0.0736196,	0.748466,	0.0490798,	0.601227,	1.64417,	0.539877,	0.638037,	2.53988,	0.0858896,	0.527607,	3.12883,	0.220859,	2.26994,	0,	6.46626,	0.503067,	2.2454,	1.36196,	0.122699,	0.380368,	0.760736,	1.31288,	2.20859,	0.294479,	0.650307,	0.171779,	0.0245399,	0.282209,	0.392638,	0.110429,	0.0858896,	0.122699,	0.0981595,	0.0613497,	0.245399,	2.23313,	
GM06990,	0.126542,	27.5546,	1.61341,	0.980702,	2.27776,	1.39196,	0.28472,	0.506169,	0.126542,	0.0790889,	0.237267,	1.51851,	2.42012,	1.18633,	0.411262,	2.79975,	0.316356,	0.110724,	0.42708,	0.601076,	0.759253,	0.173996,	0.205631,	2.65739,	0.0158178,	0.221449,	0.268902,	0.363809,	0.0790889,	0.411262,	0.347991,	1.18633,	0.300538,	2.37267,	1.17052,	0.980702,	1.31288,	3.92281,	0.395445,	1.45524,	0.363809,	0.695982,	0.411262,	0.42708,	0.0790889,	0.0474533,	0.158178,	0.0474533,	1.45524,	0.680165,	0.126542,	0.126542,	0.110724,	1.21797,	0.56944,	0.664347,	0.0790889,	0.727618,	0.0632711,	0.806707,	0.237267,	0.727618,	0.537804,	0.601076,	0.0949067,	0.42708,	0.0474533,	0.964885,	4.52388,	0.0474533,	0.632711,	2.29358,	0.173996,	0.490351,	2.27776,	0.189813,	2.07213,	0.0632711,	2.11958,	0.0790889,	0.395445,	0.268902,	0.0949067,	0.221449,	0.316356,	1.72414,	1.13888,	0.0158178,	0.632711,	0.99652,	0.14236,	0.0949067,	0.7118,	0.332173,	0.0632711,	0.0316356,	0.0790889,	0.0632711,	0.205631,	1.43942,	
GM12865,	0.113148,	19.0428,	2.48925,	0.973071,	2.41005,	0.23761,	0.486535,	0.441276,	0.656257,	0.124463,	0.712831,	1.10885,	2.74949,	0.26024,	0.452591,	0.9957,	0.418647,	0.181036,	0.418647,	0.203666,	0.407332,	0.396017,	0.350758,	0.486535,	0.633627,	1.05227,	0.656257,	0.893867,	1.42566,	0.203666,	0.113148,	0.633627,	0.282869,	3.3718,	0.248925,	0.23761,	0.644942,	1.66327,	0.622313,	1.0749,	0.203666,	0.724146,	0.124463,	0.226296,	0.135777,	0.644942,	0.135777,	0.690201,	3.14551,	0.214981,	0.0339443,	0.328129,	0.396017,	1.18805,	0.588368,	0.9957,	1.02964,	0.667572,	0.441276,	0.328129,	1.24463,	0.814664,	0.23761,	0.49785,	0.0565739,	1.17674,	0.0226296,	0.871238,	1.32383,	0.531794,	0.950441,	2.04797,	0.135777,	0.463906,	3.5981,	0.305499,	1.86694,	0,	6.46074,	0.486535,	2.69292,	1.39172,	0.328129,	0.316814,	1.41435,	1.24463,	2.26296,	0.565739,	0.554424,	0.181036,	0.0452591,	0.248925,	0.407332,	0.271555,	0.226296,	0.169722,	0.101833,	0.135777,	0.294184,	1.93483,	
H7-hESC,	0.138874,	13.4067,	2.06175,	1.55966,	2.05106,	0.20297,	0.662322,	0.576861,	0.918705,	0.2457,	0.982801,	1.0469,	2.07243,	0.299113,	0.705053,	1.0469,	0.566179,	0.320479,	0.352526,	0.277748,	0.619592,	0.288431,	0.352526,	0.373892,	0.608909,	1.58103,	1.39942,	0.566179,	1.60239,	0.138874,	0.117509,	0.705053,	0.352526,	2.98045,	0.384574,	0.256383,	0.662322,	0.85461,	0.865292,	0.843927,	0.534131,	0.801196,	0.224335,	0.512766,	0.235018,	1.07894,	0.149557,	0.790514,	3.03386,	0.224335,	0.0640957,	0.4914,	0.769149,	1.16441,	0.555496,	0.875975,	1.80536,	0.950753,	0.683688,	0.373892,	1.4742,	1.02553,	0.331161,	0.320479,	0.0534131,	1.35669,	0.0961436,	0.470035,	1.5383,	0.726418,	1.24987,	1.35669,	0.128191,	0.662322,	2.87362,	0.598227,	1.28191,	0.0320479,	5.44814,	0.737101,	3.87779,	1.77331,	0.587544,	0.502083,	2.64929,	0.950753,	2.16857,	0.875975,	0.65164,	0.20297,	0.0640957,	0.416622,	0.341844,	0.128191,	0.267065,	0.320479,	0.331161,	0.181605,	0.160239,	1.42079,	
HA-h,	0.0901623,	19.3849,	1.63294,	1.9435,	2.00361,	0.200361,	0.370667,	0.721298,	0.571028,	0.110198,	1.18213,	0.641154,	0.991785,	0.200361,	1.38249,	0.270487,	0.540974,	0.440793,	0.330595,	0.340613,	0.821479,	0.410739,	0.200361,	0.180325,	1.06191,	1.6129,	1.80325,	0.290523,	0.961731,	0.10018,	0.170307,	1.15207,	0.390703,	1.54278,	0.310559,	0.0901623,	0.400721,	0.581046,	1.02184,	0.400721,	0.861551,	0.490884,	0.0901623,	0.76137,	0.581046,	0.941695,	0.15027,	0.861551,	2.01362,	0.290523,	0.0500902,	0.601082,	0.831497,	1.34242,	1.43258,	0.911641,	1.71308,	0.370667,	0.901623,	0.140252,	1.06191,	1.12202,	0.350631,	0.320577,	0.140252,	1.4426,	0.0701262,	0.370667,	0.671208,	0.731316,	0.581046,	1.10198,	0.10018,	0.370667,	1.81326,	0.931677,	0.56101,	0.010018,	3.00541,	1.29233,	5.81046,	1.27229,	0.370667,	0.6111,	5.23943,	0.550992,	2.89521,	0.901623,	0.530956,	0.180325,	0.0601082,	0.841515,	0.320577,	0.220397,	0.15027,	0.230415,	0.230415,	0.190343,	0.160289,	0.991785,	
HAEpiC,	0.0935551,	22.5676,	1.74636,	1.73597,	2.5052,	0.12474,	0.488566,	0.509355,	0.571726,	0.114345,	1.47609,	0.613306,	1.12266,	0.16632,	1.15385,	0.550936,	0.758836,	0.280665,	0.33264,	0.22869,	0.893971,	0.24948,	0.12474,	0.37422,	0.582121,	1.60083,	1.70478,	0.384615,	0.706861,	0.0935551,	0.12474,	1.41372,	0.239085,	1.98545,	0.280665,	0.10395,	0.550936,	0.582121,	0.841996,	0.43659,	0.779626,	0.29106,	0.176715,	0.935551,	0.18711,	0.769231,	0.14553,	0.51975,	1.8711,	0.33264,	0.0519751,	0.37422,	0.686071,	1.21622,	1.20582,	1.07069,	1.34096,	0.446985,	0.47817,	0.155925,	0.665281,	1.08108,	0.218295,	0.218295,	0.0519751,	1.41372,	0.010395,	0.35343,	1.07069,	0.39501,	0.852391,	1.38254,	0.114345,	0.582121,	2.33888,	0.862786,	0.561331,	0,	3.55509,	0.883576,	5.33264,	1.23701,	0.717256,	0.613306,	4.92724,	0.634096,	2.54678,	0.779626,	0.39501,	0.22869,	0.0519751,	0.43659,	0.280665,	0.0831601,	0.176715,	0.155925,	0.197505,	0.16632,	0.0831601,	0.893971,	
HCF,	0.147291,	15.1604,	2.00947,	1.53603,	2.18832,	0.147291,	0.578643,	0.578643,	0.757496,	0.252499,	1.38874,	0.915308,	1.66228,	0.263019,	1.04156,	0.589164,	0.483956,	0.41031,	0.326144,	0.241978,	0.494477,	0.294582,	0.284061,	0.284061,	0.988953,	1.90426,	1.44135,	0.715413,	1.09416,	0.126249,	0.115729,	0.999474,	0.39979,	2.35665,	0.284061,	0.189374,	0.53656,	0.725934,	1.00999,	0.568122,	0.578643,	0.589164,	0.115729,	0.620726,	0.27354,	1.19937,	0.220936,	1.14676,	2.63019,	0.241978,	0.0526039,	0.504997,	0.799579,	0.936349,	1.26249,	0.841662,	1.70437,	0.778538,	0.94687,	0.178853,	1.23093,	0.904787,	0.199895,	0.231457,	0.0736455,	1.69385,	0.0736455,	0.39979,	0.799579,	0.799579,	0.789058,	1.40978,	0.189374,	0.557601,	3.41925,	0.547081,	0.768017,	0.0420831,	4.23987,	0.967912,	4.9132,	1.43083,	0.652288,	0.599684,	3.73488,	0.746975,	2.54603,	0.915308,	0.578643,	0.252499,	0.0315623,	0.557601,	0.431352,	0.13677,	0.126249,	0.126249,	0.305103,	0.0841662,	0.105208,	1.27301,	
HCM,	0.0737541,	20.0295,	1.73849,	1.95975,	2.50764,	0.0632178,	0.526815,	0.790222,	0.674323,	0.136972,	1.18007,	0.663787,	1.44347,	0.210726,	1.35918,	0.516279,	0.537351,	0.295016,	0.410916,	0.252871,	0.537351,	0.326625,	0.231799,	0.36877,	0.705932,	1.59098,	1.4224,	0.316089,	0.874513,	0.115899,	0.168581,	1.22221,	0.273944,	2.21262,	0.326625,	0.115899,	0.537351,	0.674323,	1.06417,	0.505742,	0.76915,	0.453061,	0.0948267,	0.716468,	0.326625,	0.969339,	0.168581,	0.927194,	2.03351,	0.221262,	0.0316089,	0.421452,	0.93773,	1.06417,	1.16953,	0.758613,	1.55937,	0.48467,	0.526815,	0.221262,	0.663787,	0.93773,	0.242335,	0.221262,	0.0210726,	1.41186,	0.0737541,	0.421452,	0.705932,	0.516279,	0.790222,	1.34865,	0.0632178,	0.379307,	2.74997,	0.800759,	0.547888,	0.0421452,	3.97218,	1.20114,	5.18386,	1.33811,	0.495206,	0.684859,	4.42525,	0.727005,	2.77105,	0.632178,	0.611105,	0.252871,	0.0421452,	0.611105,	0.263407,	0.0737541,	0.115899,	0.147508,	0.337162,	0.147508,	0.0526815,	1.15899,	
HCPEpiC,	0.103756,	13.9863,	1.75348,	1.7846,	2.23075,	0.155634,	0.881926,	0.664038,	0.96493,	0.197136,	1.56672,	0.695165,	1.2347,	0.155634,	1.04794,	0.477277,	0.560282,	0.311268,	0.363146,	0.269765,	0.508404,	0.363146,	0.197136,	0.197136,	0.913053,	1.82611,	1.44221,	0.487653,	0.944179,	0.0622536,	0.186761,	1.16207,	0.290517,	2.08549,	0.249014,	0.197136,	0.622536,	0.560282,	0.985682,	0.508404,	0.622536,	0.643287,	0.176385,	0.736667,	0.373521,	1.20357,	0.145258,	1.05831,	2.58352,	0.363146,	0.0311268,	0.705541,	0.87155,	1.13094,	1.09981,	0.798921,	2.06474,	0.736667,	0.892301,	0.186761,	0.913053,	0.954555,	0.311268,	0.249014,	0.0415024,	1.63934,	0.051878,	0.404648,	0.892301,	0.819672,	1.29695,	1.34883,	0.176385,	0.601785,	2.98817,	0.643287,	0.684789,	0.0103756,	3.50695,	1.15169,	5.38493,	1.60822,	0.881926,	0.61216,	4.42,	0.726292,	2.64578,	1.01681,	0.61216,	0.280141,	0.0207512,	0.736667,	0.332019,	0.186761,	0.134883,	0.207512,	0.342395,	0.145258,	0.0830048,	1.3177,	
