cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.207383,	21.9826,	3.06927,	1.49316,	1.92866,	1.26504,	0.705102,	0.829531,	0.497719,	0.0622149,	0.933223,	1.32725,	2.13604,	0.559934,	0.995438,	0.580672,	1.09913,	0.290336,	0.580672,	0.663625,	1.61759,	0.331813,	0.0829531,	1.30651,	0.186645,	0.580672,	0.891746,	1.05765,	0.559934,	0.60141,	0.746578,	0.663625,	0.228121,	2.67524,	0.559934,	0.207383,	0.622149,	2.55081,	0.642887,	2.01161,	0.559934,	0.394027,	0.186645,	0.435504,	0.269598,	0.186645,	0.103691,	0.290336,	0.933223,	0.518457,	0.145168,	0.248859,	0.311074,	1.6798,	0.684363,	0.767316,	0.456242,	0.290336,	0.228121,	0.684363,	0.746578,	1.99088,	0.394027,	0.933223,	0.248859,	0.456242,	0.0622149,	1.45168,	1.49316,	0.165906,	0.394027,	1.86645,	0.0829531,	0.352551,	2.1153,	0.47698,	1.32725,	0.0207383,	4.00249,	0.394027,	1.07839,	1.59685,	0.0414766,	0.497719,	1.49316,	0.746578,	1.36873,	0.0622149,	2.17752,	0.186645,	0.103691,	0.0829531,	0.435504,	0.12443,	0.0622149,	0.352551,	0.269598,	0.12443,	0.186645,	1.32725,	
AoAF,	0.268353,	19.6473,	3.56527,	1.36094,	1.93598,	1.07341,	1.05425,	0.939237,	0.325858,	0.0191681,	0.920069,	1.39927,	1.89764,	0.594211,	1.01591,	0.498371,	1.13092,	0.230017,	0.594211,	0.958405,	2.20433,	0.364194,	0.115009,	1.53345,	0.134177,	0.40253,	1.28426,	1.03508,	0.421698,	0.498371,	0.690052,	0.766724,	0.287522,	2.26184,	0.651716,	0.345026,	0.325858,	2.68353,	0.632547,	1.7443,	0.479203,	0.191681,	0.0191681,	0.575043,	0.249185,	0.210849,	0.134177,	0.172513,	1.03508,	0.613379,	0.153345,	0.191681,	0.287522,	1.61012,	0.920069,	0.785892,	0.345026,	0.230017,	0.153345,	0.939237,	0.364194,	2.39601,	0.364194,	1.15009,	0.0766724,	0.536707,	0.0575043,	1.47594,	1.26509,	0.0958405,	0.268353,	2.31934,	0.0383362,	0.536707,	1.95515,	0.594211,	1.16925,	0.0958405,	3.45026,	0.690052,	1.16925,	1.72513,	0.115009,	0.460035,	1.70596,	0.613379,	1.39927,	0.0575043,	3.37359,	0.191681,	0.0575043,	0.172513,	0.268353,	0.0958405,	0.0766724,	0.345026,	0.594211,	0.115009,	0.191681,	1.26509,	
CD20+,	0.284029,	25.1693,	2.49071,	1.02687,	1.9882,	0.655451,	0.436967,	0.436967,	0.480664,	0.0436967,	0.589906,	2.16299,	2.97138,	0.524361,	0.873935,	1.04872,	0.611754,	0.109242,	0.589906,	0.546209,	0.720996,	0.502513,	0.174787,	1.26721,	0.109242,	0.13109,	0.568058,	0.80839,	0.524361,	0.415119,	0.480664,	0.6773,	0.436967,	3.16801,	0.764693,	0.305877,	0.480664,	2.94953,	0.546209,	2.90583,	0.196635,	0.174787,	0.0873935,	0.349574,	0.218484,	0.0655451,	0.109242,	0.152939,	1.66048,	0.524361,	0.109242,	0.0873935,	0.196635,	1.92266,	0.284029,	0.568058,	0.349574,	0.218484,	0.284029,	0.633603,	0.524361,	1.09242,	0.305877,	1.3546,	0.152939,	0.502513,	0.0873935,	1.87896,	2.0756,	0.371422,	0.305877,	2.57811,	0.13109,	0.393271,	2.53441,	0.218484,	1.48569,	0.0218484,	3.82347,	0.327726,	0.895783,	0.873935,	0.0873935,	0.349574,	0.80839,	1.07057,	1.46384,	0.0655451,	1.00503,	0.218484,	0.0655451,	0.152939,	0.458816,	0.218484,	0.0655451,	0.174787,	0.327726,	0.196635,	0.26218,	1.90081,	
GM06990,	0.345821,	28.6455,	2.73775,	0.74928,	2.73775,	0.54755,	0.144092,	0.403458,	0.345821,	0,	0.461095,	2.76657,	2.07493,	0.37464,	0.432277,	1.78674,	0.576369,	0.0864553,	0.54755,	0.74928,	0.979827,	0.172911,	0.0864553,	2.21902,	0.0288184,	0.0864553,	0.489914,	0.662824,	0.288184,	0.230548,	0.461095,	0.951009,	0.518732,	1.46974,	1.06628,	0.37464,	0.893372,	3.34294,	0.403458,	1.84438,	0.345821,	0.54755,	0.230548,	0.259366,	0.0864553,	0.230548,	0.345821,	0.0288184,	1.32565,	0.461095,	0.0864553,	0.144092,	0.345821,	2.36311,	0.37464,	0.54755,	0.0288184,	0.518732,	0.0864553,	1.03746,	0.432277,	1.0951,	0.432277,	1.23919,	0.0864553,	0.37464,	0.172911,	1.61383,	2.47839,	0.0864553,	0.230548,	2.13256,	0.144092,	0.489914,	2.1902,	0.403458,	1.49856,	0.115274,	2.99712,	0.144092,	0.576369,	0.54755,	0,	0.288184,	0.403458,	1.64265,	0.893372,	0.0288184,	0.403458,	0.345821,	0.0864553,	0.288184,	0.432277,	0.172911,	0.0576369,	0.0864553,	0.0864553,	0.0576369,	0.461095,	2.30548,	
GM12865,	0.188679,	23.3962,	2.85115,	1.27883,	1.88679,	0.796646,	0.461216,	0.524109,	0.251572,	0.104822,	0.733753,	1.71908,	2.38994,	0.377358,	0.545073,	0.838574,	0.775681,	0.209644,	0.607966,	0.754717,	1.38365,	0.33543,	0.33543,	1.88679,	0.167715,	0.209644,	0.628931,	0.880503,	0.712788,	0.587002,	0.566038,	0.754717,	0.314465,	3.20755,	0.587002,	0.440252,	0.48218,	3.52201,	0.503145,	2.01258,	0.209644,	0.356394,	0.0838574,	0.272537,	0.188679,	0.125786,	0.0838574,	0.251572,	1.46751,	0.377358,	0.125786,	0.146751,	0.188679,	1.65618,	0.524109,	0.796646,	0.230608,	0.272537,	0.251572,	0.81761,	0.461216,	1.48847,	0.188679,	1.00629,	0.167715,	0.272537,	0.0209644,	1.65618,	1.76101,	0.251572,	0.314465,	2.97694,	0,	0.377358,	2.45283,	0.33543,	1.61426,	0.0838574,	4.71698,	0.461216,	0.922432,	1.2369,	0.0419287,	0.33543,	1.06918,	0.649895,	1.32075,	0.0209644,	1.65618,	0.0838574,	0.0419287,	0.167715,	0.314465,	0.209644,	0.0838574,	0.209644,	0.356394,	0.0838574,	0.356394,	1.59329,	
H7-hESC,	0.280056,	18.6437,	3.14063,	1.12022,	2.32046,	1.38028,	1.18024,	0.860172,	0.380076,	0.10002,	0.90018,	1.5203,	3.06061,	0.420084,	0.960192,	0.460092,	0.960192,	0.240048,	0.40008,	0.860172,	1.84037,	0.320064,	0.10002,	1.88038,	0.120024,	0.420084,	1.28026,	1.0202,	0.720144,	0.380076,	0.420084,	0.620124,	0.480096,	2.38048,	0.760152,	0.320064,	0.380076,	3.0006,	0.40008,	2.0004,	0.5001,	0.320064,	0.220044,	0.580116,	0.140028,	0.120024,	0.180036,	0.30006,	1.36027,	0.420084,	0.20004,	0.240048,	0.280056,	1.54031,	0.460092,	0.70014,	0.440088,	0.480096,	0.320064,	0.740148,	0.580116,	2.18044,	0.240048,	1.10022,	0.220044,	0.520104,	0.080016,	1.90038,	1.86037,	0.120024,	0.30006,	1.96039,	0,	0.340068,	2.26045,	0.640128,	1.24025,	0.040008,	3.76075,	0.30006,	1.16023,	1.42028,	0.020004,	0.720144,	1.42028,	0.560112,	1.0002,	0.120024,	2.70054,	0.060012,	0.080016,	0.260052,	0.40008,	0.20004,	0.080016,	0.260052,	0.480096,	0.160032,	0.240048,	1.44029,	
HA-h,	0.446014,	15.4432,	2.82475,	1.93273,	1.74689,	1.20795,	0.836276,	0.780524,	0.669021,	0.130087,	0.984947,	2.00706,	2.06281,	0.538933,	1.22654,	0.390262,	1.31946,	0.297343,	0.929195,	0.947779,	1.74689,	0.557517,	0.260175,	1.33804,	0.390262,	0.576101,	1.24512,	1.0407,	0.743356,	0.799108,	0.984947,	0.836276,	0.669021,	2.32299,	0.929195,	0.371678,	0.669021,	2.49024,	0.910611,	2.02565,	0.594685,	0.390262,	0.204423,	0.371678,	0.297343,	0.371678,	0.371678,	0.390262,	1.59822,	0.557517,	0.148671,	0.278759,	0.241591,	2.11857,	0.669021,	0.910611,	0.520349,	0.278759,	0.520349,	0.576101,	0.669021,	1.63538,	0.538933,	1.43096,	0.185839,	0.650437,	0.0743356,	1.96989,	1.05928,	0.241591,	0.148671,	1.67255,	0.167255,	0.520349,	1.80264,	0.501765,	1.17079,	0.204423,	2.769,	0.483182,	1.43096,	1.17079,	0.0743356,	0.743356,	1.41238,	0.650437,	1.37521,	0.148671,	1.6168,	0.371678,	0.0557517,	0.33451,	0.836276,	0.185839,	0.0743356,	0.315926,	0.538933,	0.315926,	0.297343,	1.11503,	
HAEpiC,	0.102166,	21.7818,	3.69841,	1.38946,	1.57336,	1.36902,	1.10339,	0.89906,	0.38823,	0.0204332,	0.817327,	1.16469,	1.85942,	0.44953,	0.89906,	0.51083,	1.28729,	0.224765,	0.919493,	1.12383,	1.90029,	0.38823,	0.143032,	1.73682,	0.204332,	0.551696,	0.919493,	1.30772,	0.490396,	0.429097,	0.551696,	0.735595,	0.245198,	2.37025,	0.96036,	0.122599,	0.347364,	2.69718,	0.592562,	1.87985,	0.531263,	0.245198,	0.102166,	0.572129,	0.122599,	0.122599,	0.143032,	0.224765,	1.06253,	0.572129,	0.0612996,	0.286065,	0.265631,	1.49162,	0.715161,	0.592562,	0.306498,	0.245198,	0.163465,	0.735595,	0.245198,	2.18635,	0.265631,	1.02166,	0.0817327,	0.551696,	0.102166,	1.69595,	1.65509,	0.265631,	0.265631,	2.10462,	0.0408664,	0.326931,	2.67675,	0.551696,	0.89906,	0.0817327,	3.10584,	0.490396,	1.38946,	1.38946,	0.0408664,	0.469963,	1.65509,	0.306498,	1.14426,	0.0612996,	3.02411,	0.102166,	0.0612996,	0.245198,	0.143032,	0.0817327,	0.0612996,	0.224765,	0.715161,	0.0408664,	0.122599,	1.38946,	
HCF,	0.218949,	20.7803,	3.26433,	1.23408,	1.45303,	1.05494,	0.875796,	0.975318,	0.457803,	0.0796178,	0.816083,	1.85111,	2.62739,	0.577229,	0.855892,	0.517516,	1.3336,	0.17914,	0.557325,	0.915605,	1.3336,	0.497611,	0.0995223,	1.55255,	0.238854,	0.437898,	1.3535,	0.875796,	0.636943,	0.796178,	0.776274,	0.835987,	0.338376,	2.42834,	0.636943,	0.278662,	0.318471,	2.6672,	0.676752,	1.99045,	0.577229,	0.218949,	0.139331,	0.636943,	0.258758,	0.139331,	0.159236,	0.258758,	1.31369,	0.53742,	0.199045,	0.199045,	0.298567,	1.87102,	0.736465,	0.517516,	0.497611,	0.258758,	0.597134,	0.577229,	0.497611,	1.7914,	0.437898,	1.17436,	0.119427,	0.577229,	0.0597134,	1.91083,	1.43312,	0.298567,	0.199045,	2.08997,	0.0199045,	0.318471,	1.81131,	0.557325,	1.05494,	0.0199045,	3.26433,	0.437898,	1.3535,	1.41322,	0.0398089,	0.398089,	1.13455,	0.53742,	1.53264,	0.0995223,	2.42834,	0.0796178,	0.0796178,	0.159236,	0.417994,	0.17914,	0.0796178,	0.258758,	0.517516,	0.238854,	0.338376,	1.25398,	
HCM,	0.343088,	20.7064,	3.35015,	1.61453,	1.85671,	1.02926,	0.787084,	0.807265,	0.423814,	0.100908,	0.86781,	1.33199,	2.07871,	0.464178,	0.928355,	0.504541,	1.17053,	0.181635,	0.766902,	0.706357,	1.99798,	0.423814,	0.100908,	1.49344,	0.141271,	0.423814,	1.27144,	1.15035,	0.484359,	0.605449,	0.665994,	0.74672,	0.403633,	2.80525,	0.544904,	0.262361,	0.625631,	2.56307,	0.645812,	1.95762,	0.665994,	0.24218,	0.141271,	0.645812,	0.262361,	0.201816,	0.12109,	0.282543,	1.51362,	0.464178,	0.201816,	0.302725,	0.181635,	1.47326,	0.706357,	0.726539,	0.403633,	0.262361,	0.262361,	0.686176,	0.504541,	1.71544,	0.343088,	1.17053,	0.24218,	0.524723,	0.0605449,	1.39253,	1.06963,	0.100908,	0.262361,	1.79617,	0.12109,	0.443996,	2.09889,	0.686176,	1.17053,	0.161453,	3.30979,	0.403633,	1.31181,	1.29162,	0.12109,	0.443996,	1.65489,	0.464178,	1.49344,	0.0201816,	2.80525,	0.12109,	0.0807265,	0.262361,	0.343088,	0.161453,	0.0807265,	0.302725,	0.262361,	0.24218,	0.201816,	1.67508,	
