cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.179265,	14.4308,	1.40424,	0.896325,	1.79265,	1.464,	0.209143,	0.896325,	0.567673,	0.0896325,	0.448163,	0.896325,	1.01584,	3.3164,	0.35853,	0.83657,	0.985958,	0.507918,	0.507918,	0.23902,	1.22498,	1.43412,	0.35853,	0.776815,	0.567673,	0.328653,	0.388408,	0.59755,	0.388408,	0.059755,	0.537795,	3.64506,	0.11951,	1.25486,	0.448163,	1.13535,	1.04571,	1.37437,	0.83657,	1.01584,	1.16522,	0.448163,	0.627428,	1.43412,	0.059755,	0.179265,	1.13535,	0.23902,	4.39199,	0.926203,	0.567673,	0.209143,	0.298775,	1.16522,	1.31461,	0.71706,	0.179265,	0.149388,	0.179265,	0.95608,	0.328653,	0.567673,	0.328653,	0.59755,	0.806693,	0.59755,	0.11951,	0.59755,	9.32178,	0.059755,	0.268898,	1.40424,	0.059755,	0.209143,	2.77861,	0.59755,	1.79265,	0.179265,	1.61339,	0.507918,	1.7329,	0.418285,	0.0298775,	0.328653,	0.35853,	0.507918,	3.22677,	0.328653,	0.59755,	0.149388,	0.059755,	0.0298775,	0.11951,	0.23902,	0.418285,	0.0298775,	0.209143,	0.507918,	0.507918,	2.53959,	
AoAF,	0.113863,	11.7848,	1.62254,	1.11016,	1.0817,	1.62254,	0.540848,	0.79704,	0.313123,	0.0569314,	0.626245,	0.455451,	0.59778,	4.15599,	0.170794,	0.39852,	1.25249,	0.370054,	0.540848,	0.426985,	1.36635,	1.53715,	0.19926,	0.768574,	0.483917,	0.370054,	0.540848,	0.79704,	0.455451,	0.0284657,	0.313123,	3.87134,	0.170794,	1.05323,	1.16709,	0.79704,	1.42329,	1.33789,	0.79704,	0.569314,	1.65101,	0.626245,	0.882437,	2.19186,	0.0853971,	0.170794,	0.939368,	0.142329,	4.29832,	1.36635,	0.512383,	0.0284657,	0.256191,	1.19556,	1.02477,	0.768574,	0.227726,	0.256191,	0,	1.13863,	0.142329,	0.59778,	0.512383,	0.455451,	0.996299,	0.341588,	0.0853971,	0.683177,	10.1053,	0.0569314,	0.256191,	1.87874,	0.370054,	0.313123,	2.64731,	0.711643,	1.39482,	0.113863,	1.50868,	0.59778,	1.67948,	0.683177,	0,	0.256191,	0.79704,	0.483917,	3.33049,	0.227726,	0.59778,	0.0284657,	0,	0.0853971,	0.227726,	0.113863,	0.313123,	0,	0.227726,	0.426985,	0.483917,	2.41958,	
CD20+,	0.195185,	20.8523,	1.59401,	0.780742,	1.62655,	0.943396,	0.585556,	1.13858,	0.195185,	0.162655,	0.390371,	1.23617,	1.62655,	1.49642,	0.520494,	0.780742,	0.748211,	0.292778,	0.520494,	0.390371,	0.748211,	1.13858,	0.260247,	1.49642,	0.455433,	0.422902,	0.227716,	0.292778,	0.325309,	0.195185,	0.325309,	3.54587,	0.260247,	1.23617,	0.845803,	1.43136,	0.845803,	2.47235,	0.520494,	1.17111,	0.455433,	0.650618,	0.292778,	0.487964,	0,	0.325309,	0.618087,	0.292778,	4.0013,	0.292778,	0.487964,	0.162655,	0.130124,	0.845803,	0.748211,	0.650618,	0.130124,	0.227716,	0.260247,	1.10605,	0.325309,	0.455433,	0.260247,	0.520494,	0.650618,	0.35784,	0.0650618,	0.71568,	7.80742,	0.0650618,	0.390371,	2.14704,	0.195185,	0.325309,	2.83019,	0.227716,	2.37476,	0.162655,	2.76513,	0.260247,	0.878334,	0.390371,	0.0325309,	0.227716,	0.487964,	0.585556,	2.83019,	0.0975927,	0.487964,	0.130124,	0.0650618,	0.0325309,	0.390371,	0.292778,	0.195185,	0.0325309,	0.325309,	0.195185,	0.520494,	2.43982,	
GM06990,	0.294365,	29.9832,	1.38772,	1.17746,	1.9344,	0.336417,	1.80824,	1.30362,	0.0841043,	0.126156,	0.252313,	1.17746,	2.94365,	0.252313,	0.58873,	1.21951,	0.462574,	0.210261,	0.58873,	0.168209,	0.756939,	0.672834,	0.336417,	1.85029,	0.0841043,	0.126156,	0.294365,	0.504626,	0.294365,	0.672834,	0.168209,	1.17746,	0.336417,	2.31287,	0.504626,	0.58873,	0.546678,	1.68209,	0.504626,	1.55593,	0.504626,	1.59798,	0.0420521,	0.126156,	0,	0.0420521,	0.252313,	0.462574,	0.841043,	0.336417,	0.0420521,	0.126156,	1.80824,	1.42977,	0.925147,	0.58873,	0.294365,	0.546678,	0.0420521,	0.336417,	0.378469,	0.336417,	0.378469,	0.462574,	0.0420521,	0.252313,	0,	1.38772,	1.72414,	0.126156,	0.294365,	1.89235,	0.168209,	0.294365,	10.471,	0.168209,	1.97645,	0.126156,	2.39697,	0.126156,	0.504626,	0.378469,	0,	0.252313,	0.336417,	0.756939,	0.462574,	0,	0.210261,	0.0841043,	0.0420521,	0.0841043,	0.504626,	0.378469,	0.0841043,	0,	0.0841043,	0.252313,	0.336417,	0.630782,	
GM12865,	0.0924214,	20.2711,	1.63278,	0.708564,	2.12569,	1.23229,	0.400493,	0.64695,	0.585336,	0.0308071,	0.369686,	0.985829,	1.50955,	2.06408,	0.400493,	1.01664,	1.23229,	0.154036,	0.338879,	0.369686,	0.831793,	1.20148,	0.400493,	1.26309,	0.369686,	0.308071,	0.492914,	0.277264,	0.308071,	0.0616143,	0.246457,	3.32717,	0.123229,	1.57116,	0.770179,	1.50955,	0.924214,	2.74184,	0.585336,	1.10906,	0.800986,	0.585336,	0.308071,	0.616143,	0.0308071,	0.0616143,	0.400493,	0.338879,	4.03574,	0.739372,	0.462107,	0.184843,	0.123229,	1.01664,	0.554529,	0.585336,	0.123229,	0.308071,	0,	0.831793,	0.21565,	0.308071,	0.308071,	0.277264,	0.523722,	0.338879,	0.0616143,	0.708564,	8.93407,	0.0616143,	0.308071,	2.03327,	0.308071,	0.277264,	2.71103,	0.338879,	1.84843,	0.0924214,	2.1565,	0.462107,	1.32471,	0.400493,	0.0616143,	0.308071,	0.462107,	0.800986,	2.92668,	0.0616143,	0.554529,	0.0924214,	0,	0.0308071,	0.246457,	0.338879,	0.21565,	0.0616143,	0.123229,	0.246457,	0.585336,	2.18731,	
H7-hESC,	0.090854,	14.8395,	1.60509,	0.938825,	1.54452,	1.69594,	0.272562,	0.45427,	0.514839,	0.0605693,	0.45427,	0.90854,	1.05996,	3.93701,	0.272562,	0.635978,	0.938825,	0.211993,	0.302847,	0.302847,	1.1811,	1.09025,	0.090854,	1.51423,	0.514839,	0.211993,	0.514839,	0.878256,	0.333131,	0.0605693,	0.151423,	3.24046,	0.181708,	1.02968,	0.96911,	0.726832,	0.90854,	1.72623,	0.484555,	1.02968,	0.847971,	0.45427,	0.605694,	1.1811,	0.0302847,	0.181708,	1.02968,	0.090854,	4.57299,	1.1811,	0.514839,	0.151423,	0.211993,	1.15082,	0.787402,	0.605694,	0.121139,	0.393701,	0.181708,	0.878256,	0.302847,	0.45427,	0.302847,	0.393701,	0.635978,	0.272562,	0.0302847,	0.545124,	10.5088,	0.090854,	0.211993,	2.48334,	0.333131,	0.363416,	2.84676,	0.211993,	1.81708,	0.151423,	1.87765,	0.423985,	1.84737,	0.45427,	0.0302847,	0.181708,	0.575409,	0.726832,	2.87704,	0.242277,	0.575409,	0.242277,	0,	0.0605693,	0.242277,	0.272562,	0.423985,	0,	0.393701,	0.45427,	0.484555,	2.60448,	
HA-h,	0.195859,	9.59709,	1.31505,	1.06323,	1.00727,	1.56687,	0.531617,	1.42697,	0.587577,	0.0839396,	0.811416,	0.699496,	1.31505,	2.88193,	0.531617,	0.223839,	1.20313,	0.587577,	0.587577,	0.251819,	1.06323,	1.95859,	0.783436,	0.671516,	0.699496,	0.475658,	0.475658,	0.615557,	0.531617,	0.0559597,	0.559597,	3.41354,	0.251819,	1.03525,	0.839396,	1.81869,	1.11919,	1.81869,	1.03525,	0.867375,	1.25909,	0.895355,	0.587577,	0.867375,	0.139899,	0.167879,	1.14717,	0.391718,	3.30162,	0.811416,	1.11919,	0.559597,	0.475658,	1.31505,	1.28707,	0.895355,	0.531617,	0.475658,	0.475658,	0.783436,	0.419698,	0.615557,	0.447678,	0.559597,	1.62283,	0.755456,	0.167879,	0.447678,	6.77112,	0.195859,	0.195859,	1.81869,	0.447678,	0.195859,	2.74203,	0.755456,	2.65809,	0.279799,	1.95859,	0.643537,	1.45495,	0.419698,	0.111919,	0.503637,	0.559597,	0.671516,	2.46223,	0.363738,	0.447678,	0.0839396,	0.167879,	0.111919,	0.307778,	0.475658,	0.503637,	0.139899,	0.447678,	0.671516,	0.475658,	1.87465,	
HAEpiC,	0.177672,	13.0589,	1.45099,	0.740302,	1.56944,	1.4806,	0.384957,	1.00681,	0.473793,	0.0592242,	0.592242,	0.473793,	0.947587,	3.64229,	0.177672,	0.533017,	1.27332,	0.236897,	0.444181,	0.266509,	1.92479,	1.42138,	0.236897,	1.33254,	0.533017,	0.621854,	0.769914,	0.592242,	0.384957,	0.177672,	0.325733,	3.22772,	0.14806,	0.740302,	0.85875,	1.00681,	1.06603,	1.80634,	0.740302,	0.917975,	0.977199,	0.384957,	0.681078,	1.56944,	0.118448,	0.0888362,	1.00681,	0.296121,	5.27095,	1.06603,	0.414569,	0.177672,	0.118448,	1.12526,	0.917975,	1.00681,	0.236897,	0.325733,	0.0888362,	1.12526,	0.266509,	0.56263,	0.414569,	0.769914,	1.00681,	0.325733,	0.0888362,	0.384957,	9.86082,	0.118448,	0.444181,	1.62866,	0.236897,	0.236897,	2.30974,	0.56263,	1.33254,	0.118448,	1.83595,	0.296121,	2.13207,	0.473793,	0.0296121,	0.207285,	0.414569,	0.444181,	2.96121,	0.266509,	0.444181,	0.118448,	0.0592242,	0.0592242,	0.236897,	0.236897,	0.473793,	0.0296121,	0.266509,	0.592242,	0.384957,	2.54664,	
HCF,	0,	13.6551,	1.38317,	0.94173,	1.64803,	2.11889,	0.294291,	0.64744,	0.470865,	0.117716,	0.382578,	0.64744,	0.882872,	3.03119,	0.294291,	0.32372,	1.4126,	0.206004,	0.559152,	0.412007,	1.08888,	1.50088,	0.117716,	1.03002,	0.470865,	0.441436,	0.794585,	0.264862,	0.441436,	0.0882872,	0.382578,	3.56092,	0.235433,	1.05945,	0.588582,	1.1183,	1.38317,	1.35374,	0.882872,	0.794585,	1.03002,	0.824014,	0.676869,	1.35374,	0,	0.176574,	1.00059,	0.117716,	4.23779,	1.00059,	0.824014,	0.206004,	0.412007,	0.97116,	1.20659,	1.05945,	0.176574,	0.294291,	0.235433,	1.20659,	0.353149,	0.559152,	0.412007,	0.559152,	0.706298,	0.470865,	0.0294291,	0.618011,	9.47616,	0.117716,	0.264862,	2.11889,	0.32372,	0.382578,	2.56033,	0.64744,	1.76574,	0.0588581,	1.6186,	0.32372,	1.50088,	0.441436,	0.0294291,	0.294291,	0.853443,	0.64744,	2.79576,	0.235433,	0.794585,	0.0294291,	0.117716,	0.117716,	0.206004,	0.235433,	0.294291,	0.0882872,	0.264862,	0.441436,	0.588582,	2.61919,	
