cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.184554,	21.8342,	2.47019,	1.56161,	1.78876,	1.83135,	0.383305,	0.738217,	0.212947,	0.0993754,	0.454287,	0.965361,	2.88189,	0.52527,	1.34867,	0.965361,	0.851789,	0.298126,	0.567859,	0.76661,	0.851789,	0.369108,	0.454287,	1.53322,	0.198751,	0.184554,	0.326519,	0.880182,	0.52527,	0.397501,	0.369108,	1.37706,	0.695627,	1.68938,	0.738217,	0.52527,	1.29188,	1.76036,	1.16411,	1.80295,	0.965361,	0.638842,	0.0851789,	0.454287,	0.0567859,	0.255537,	0.454287,	0.340715,	1.39125,	0.511073,	0.454287,	0.113572,	0.52527,	0.865985,	1.17831,	0.865985,	0.24134,	0.383305,	0.24134,	0.411698,	0.653038,	1.85974,	0.255537,	0.539466,	0.170358,	0.610449,	0.227144,	1.84554,	2.31403,	0.28393,	0.468484,	2.22885,	0.0993754,	0.312323,	3.29358,	0.383305,	1.84554,	0.0993754,	2.79671,	0.298126,	0.922771,	0.76661,	0.0425894,	0.539466,	0.780806,	1.16411,	1.40545,	0.0851789,	0.610449,	0.212947,	0.0709824,	0.141965,	0.795003,	0.397501,	0.113572,	0.298126,	0.440091,	0.24134,	0.397501,	1.68938,	
AoAF,	0.227699,	20.3054,	2.37075,	1.90196,	1.31262,	2.51808,	0.321457,	0.656309,	0.214305,	0.133941,	0.629521,	0.656309,	2.79936,	0.468792,	1.48674,	0.99116,	1.23225,	0.361639,	0.442004,	0.656309,	0.830431,	0.267881,	0.321457,	1.28583,	0.241093,	0.187517,	0.348245,	0.817037,	0.442004,	0.49558,	0.361639,	1.39298,	0.723279,	1.78141,	0.750067,	0.508974,	1.21886,	2.15644,	1.09831,	1.44656,	1.08492,	0.468792,	0.160729,	0.683097,	0.0669703,	0.147335,	0.455398,	0.267881,	1.15189,	0.482186,	0.455398,	0.133941,	0.589338,	1.00455,	1.16528,	1.07152,	0.375033,	0.736673,	0.348245,	0.308063,	0.616126,	1.67426,	0.200911,	0.388428,	0.241093,	0.803643,	0.0937584,	2.59845,	2.07608,	0.294669,	0.589338,	2.04929,	0.0937584,	0.334851,	3.65658,	0.401822,	1.7948,	0.0401822,	2.89312,	0.281275,	0.897402,	0.884007,	0.0535762,	0.535762,	1.32601,	1.05813,	1.60729,	0.147335,	0.468792,	0.348245,	0.0401822,	0.120546,	0.642915,	0.281275,	0.160729,	0.187517,	0.401822,	0.321457,	0.308063,	1.5671,	
CD20+,	0.295525,	20.7008,	2.61751,	1.47762,	1.92795,	1.22432,	0.464396,	0.562905,	0.295525,	0.112581,	0.295525,	1.22432,	3.11005,	0.520687,	0.872502,	1.37912,	1.0273,	0.32367,	0.576977,	0.576977,	0.450324,	0.464396,	0.422178,	1.78722,	0.182944,	0.26738,	0.379961,	0.91472,	0.562905,	0.379961,	0.436251,	1.30875,	0.633268,	2.04053,	0.816212,	0.506614,	1.04137,	2.06867,	0.816212,	2.32198,	0.492541,	0.689558,	0.0985083,	0.506614,	0.126654,	0.239234,	0.295525,	0.309598,	1.75908,	0.520687,	0.365888,	0.126654,	0.745849,	1.28061,	0.675485,	0.85843,	0.225162,	0.661413,	0.422178,	0.548832,	0.562905,	1.57613,	0.337743,	0.759921,	0.168871,	0.619195,	0.379961,	2.15311,	2.18126,	0.239234,	0.562905,	2.50493,	0.0985083,	0.394033,	2.53307,	0.182944,	1.85759,	0.154799,	2.74416,	0.394033,	0.830284,	0.478469,	0.0562905,	0.450324,	0.830284,	1.23839,	1.50577,	0.0703631,	0.661413,	0.309598,	0.0985083,	0.112581,	1.05545,	0.492541,	0.0703631,	0.295525,	0.351815,	0.281452,	0.32367,	1.745,	
GM06990,	0.274537,	24.0563,	1.66438,	1.23542,	2.50515,	0.600549,	0.446122,	0.737817,	0.600549,	0.154427,	0.308854,	2.814,	2.23061,	0.566232,	0.600549,	1.16678,	0.343171,	0.12011,	0.875086,	0.223061,	0.978037,	0.343171,	0.326012,	2.19629,	0.0857927,	0.360329,	0.737817,	0.652025,	0.583391,	0.566232,	0.326012,	0.754976,	0.394647,	3.00275,	0.978037,	0.583391,	0.480439,	3.29444,	0.394647,	1.21826,	0.428964,	0.634866,	0.257378,	0.343171,	0.274537,	0.446122,	0.0686342,	0.154427,	1.42416,	0.7035,	0.188744,	0.12011,	0.326012,	2.21345,	0.857927,	1.02951,	0.24022,	0.377488,	0.24022,	0.789293,	0.634866,	0.634866,	0.428964,	0.960879,	0.446122,	0.720659,	0.0686342,	1.04667,	2.29925,	0.377488,	0.291695,	1.95607,	0.154427,	0.583391,	2.88264,	0.411805,	2.48799,	0.137268,	3.48318,	0.154427,	0.7035,	0.394647,	0.0857927,	0.257378,	0.720659,	0.94372,	1.56143,	0.102951,	0.875086,	0.24022,	0.12011,	0.12011,	0.411805,	0.583391,	0.205903,	0.0343171,	0.137268,	0.12011,	0.326012,	0.995196,	
GM12865,	0.176967,	21.2905,	2.45031,	1.40212,	1.81051,	1.60632,	0.299483,	0.626191,	0.204193,	0.122516,	0.47645,	0.816771,	3.13096,	0.353934,	1.18432,	1.29322,	0.721481,	0.38116,	0.57174,	0.871222,	0.721481,	0.47645,	0.462837,	1.74244,	0.28587,	0.149741,	0.503675,	0.694255,	0.503675,	0.530901,	0.421998,	1.36129,	0.626191,	1.96025,	0.85761,	0.517288,	1.00735,	2.09638,	0.980125,	1.93302,	0.639804,	0.47645,	0.176967,	0.449224,	0.09529,	0.136129,	0.38116,	0.231418,	1.38851,	0.449224,	0.38116,	0.122516,	0.707868,	1.21154,	0.980125,	1.15709,	0.217806,	0.585353,	0.340321,	0.626191,	0.694255,	1.53825,	0.38116,	0.38116,	0.149741,	0.435611,	0.176967,	2.15083,	2.50476,	0.217806,	0.612578,	2.4367,	0.09529,	0.313096,	3.03567,	0.28587,	2.30057,	0.09529,	3.00844,	0.28587,	0.612578,	0.789545,	0.09529,	0.47645,	0.898448,	1.18432,	1.44296,	0.176967,	0.530901,	0.19058,	0.136129,	0.136129,	0.626191,	0.449224,	0.0816771,	0.0816771,	0.544514,	0.122516,	0.299483,	1.64716,	
H7-hESC,	0.265851,	18.2108,	2.72498,	1.90084,	1.59511,	2.56547,	0.478532,	1.0767,	0.239266,	0.132926,	0.51841,	0.691214,	2.52559,	0.425362,	1.72803,	0.784262,	1.01024,	0.438655,	0.584873,	0.943772,	0.731091,	0.41207,	0.491825,	1.28938,	0.425362,	0.305729,	0.438655,	1.0767,	0.505118,	0.385485,	0.438655,	1.38243,	0.624751,	1.75462,	0.957065,	0.544995,	0.98365,	1.91413,	1.20962,	1.30267,	0.98365,	0.717799,	0.132926,	0.598166,	0.132926,	0.239266,	0.385485,	0.172803,	1.2495,	0.544995,	0.46524,	0.132926,	0.611458,	0.664629,	1.19633,	1.15645,	0.305729,	0.624751,	0.358899,	0.265851,	0.598166,	2.04706,	0.372192,	0.438655,	0.132926,	0.770969,	0.159511,	2.33949,	2.08693,	0.319022,	0.677921,	2.06035,	0.106341,	0.252559,	3.26997,	0.41207,	1.91413,	0.146218,	2.92437,	0.438655,	0.93048,	0.864017,	0.0797554,	0.478532,	1.30267,	0.98365,	1.20962,	0.146218,	0.717799,	0.332314,	0.106341,	0.159511,	0.677921,	0.531703,	0.132926,	0.132926,	0.425362,	0.292437,	0.398777,	1.67486,	
HA-h,	0.564193,	15.4463,	2.35707,	1.89318,	1.57974,	1.35406,	0.488967,	1.10331,	0.300903,	0.275827,	0.52658,	0.915246,	2.74574,	0.677031,	1.2663,	0.952859,	1.24122,	0.539117,	0.777332,	0.865095,	0.589268,	0.514042,	0.463892,	1.50451,	0.338516,	0.31344,	0.689569,	0.865095,	0.739719,	0.463892,	0.626881,	1.2663,	0.890171,	1.64243,	0.739719,	0.514042,	1.2663,	1.44183,	1.14092,	1.78034,	0.852558,	0.639418,	0.200602,	0.752257,	0.162989,	0.325978,	0.501504,	0.351053,	1.41675,	0.739719,	0.413741,	0.451354,	0.777332,	1.44183,	0.940321,	1.12839,	0.463892,	0.702106,	0.426279,	0.438816,	0.764794,	2.09378,	0.463892,	0.890171,	0.275827,	0.677031,	0.401204,	1.99348,	2.01856,	0.351053,	0.702106,	1.8681,	0.275827,	0.501504,	2.74574,	0.476429,	1.7678,	0.112839,	2.41976,	0.476429,	1.12839,	0.84002,	0.0250752,	0.727182,	1.07823,	0.827482,	1.22869,	0.213139,	0.677031,	0.488967,	0.100301,	0.200602,	0.865095,	0.401204,	0.213139,	0.363591,	0.601805,	0.363591,	0.451354,	1.14092,	
HAEpiC,	0.182175,	20.3055,	2.42433,	1.96188,	1.49944,	2.00392,	0.36435,	0.882847,	0.224215,	0.0980942,	0.644619,	0.560538,	2.67657,	0.36435,	1.63957,	0.938901,	0.854821,	0.504484,	0.602578,	0.7287,	0.854821,	0.336323,	0.392377,	1.33128,	0.36435,	0.182175,	0.350336,	0.994955,	0.420404,	0.560538,	0.462444,	1.44339,	0.700673,	1.75168,	0.742713,	0.644619,	0.896861,	1.76569,	1.19114,	1.89182,	1.1491,	0.546525,	0.0980942,	0.742713,	0.0560538,	0.168161,	0.252242,	0.322309,	1.06502,	0.350336,	0.40639,	0.210202,	0.546525,	0.784753,	1.33128,	0.840807,	0.336323,	0.658632,	0.336323,	0.224215,	0.672646,	1.70964,	0.322309,	0.40639,	0.140135,	0.938901,	0.126121,	2.32623,	2.1861,	0.112108,	0.588565,	2.42433,	0.0700673,	0.182175,	3.76962,	0.392377,	2.11603,	0.0840807,	2.38229,	0.616592,	0.952915,	0.924888,	0.0980942,	0.476457,	1.05101,	0.924888,	1.35931,	0.238229,	0.40639,	0.280269,	0.154148,	0.0700673,	0.644619,	0.504484,	0.0980942,	0.112108,	0.280269,	0.40639,	0.294283,	1.98991,	
HCF,	0.26907,	20.0861,	1.89695,	1.89695,	1.65478,	2.19292,	0.215256,	1.18391,	0.282524,	0.121082,	0.484327,	0.686129,	2.55617,	0.443966,	1.31844,	0.753397,	1.08973,	0.538141,	0.524687,	0.820665,	0.753397,	0.349791,	0.22871,	1.18391,	0.295977,	0.174896,	0.417059,	0.928293,	0.443966,	0.511234,	0.417059,	1.29154,	0.632315,	2.07184,	0.807211,	0.591955,	1.26463,	1.50679,	1.25118,	1.64133,	0.928293,	0.524687,	0.147989,	0.753397,	0.107628,	0.201803,	0.45742,	0.376699,	1.22427,	0.578501,	0.295977,	0.201803,	0.699583,	0.834118,	1.02247,	1.03592,	0.336338,	0.780304,	0.403606,	0.484327,	0.618862,	2.05839,	0.282524,	0.524687,	0.282524,	0.766851,	0.282524,	2.00457,	2.07184,	0.22871,	0.72649,	2.16602,	0.147989,	0.255617,	2.94632,	0.524687,	1.85659,	0.107628,	2.91941,	0.322884,	0.928293,	0.847572,	0.0807211,	0.578501,	1.04937,	0.887932,	1.27808,	0.201803,	0.591955,	0.336338,	0.107628,	0.174896,	0.807211,	0.430513,	0.121082,	0.201803,	0.578501,	0.45742,	0.336338,	1.7355,	
HCM,	0.287396,	20.0082,	2.50445,	1.72437,	1.38224,	1.95703,	0.328452,	1.01273,	0.205283,	0.136855,	0.54742,	0.588477,	2.77816,	0.478993,	1.57383,	0.875872,	1.06747,	0.520049,	0.574791,	0.752703,	0.766388,	0.465307,	0.287396,	1.36855,	0.314767,	0.191597,	0.492678,	0.930614,	0.602162,	0.451622,	0.451622,	1.27275,	0.834816,	1.64226,	0.615848,	0.615848,	1.24538,	1.83386,	1.24538,	1.72437,	0.903243,	0.643219,	0.109484,	0.766388,	0.12317,	0.246339,	0.328452,	0.246339,	1.45066,	0.478993,	0.383194,	0.260025,	0.574791,	0.916929,	1.21801,	0.999042,	0.301081,	0.561106,	0.451622,	0.355823,	0.656904,	2.25811,	0.424251,	0.478993,	0.164226,	0.684275,	0.246339,	2.05283,	2.06651,	0.218968,	0.54742,	2.38128,	0.082113,	0.191597,	2.66867,	0.355823,	2.05283,	0.136855,	2.24442,	0.410565,	0.875872,	0.780074,	0.0410565,	0.588477,	1.16327,	1.01273,	1.46435,	0.150541,	0.561106,	0.39688,	0.136855,	0.109484,	0.684275,	0.369509,	0.12317,	0.109484,	0.478993,	0.301081,	0.342138,	2.01177,	
