cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.327154,	20.7743,	1.79935,	1.58124,	1.41767,	0.926936,	0.272628,	0.327154,	0.981461,	0.381679,	0.218102,	4.08942,	4.90731,	0.381679,	1.63577,	0.708833,	1.19956,	0.0545256,	0.163577,	0.599782,	0.599782,	1.25409,	0.272628,	0.926936,	0.272628,	0.218102,	0.763359,	0.381679,	0.327154,	0.708833,	0.218102,	0.654308,	1.19956,	1.52672,	0.327154,	0.109051,	0.327154,	0.654308,	0.654308,	2.99891,	0.545256,	0.599782,	0.218102,	0.272628,	0.163577,	0.163577,	0.0545256,	0.545256,	2.18103,	0.381679,	0.163577,	0.163577,	1.19956,	4.79825,	1.41767,	0.272628,	0.218102,	0.490731,	0.0545256,	1.85387,	0.490731,	0.926936,	1.09051,	0.926936,	0.272628,	0.436205,	0.0545256,	2.3446,	0.87241,	0.327154,	0.272628,	1.58124,	0.0545256,	1.09051,	2.23555,	0.327154,	2.5627,	0,	1.47219,	0.272628,	0.327154,	0.218102,	0.109051,	0.926936,	0.599782,	1.14504,	1.30862,	0.0545256,	0.436205,	0.218102,	0,	0.0545256,	1.19956,	0.381679,	0.109051,	0.109051,	0.654308,	0.545256,	0.272628,	0.817884,	
AoAF,	0.0507872,	17.42,	1.9807,	2.08228,	1.52362,	1.37125,	0.152362,	0.253936,	0.406298,	0.35551,	0.152362,	3.91061,	4.52006,	0.406298,	1.67598,	0.711021,	1.32047,	0.203149,	0.101574,	0.253936,	0.203149,	0.863382,	0.711021,	1.11732,	0.152362,	0.203149,	1.21889,	0.558659,	0.507872,	0.609446,	0.253936,	1.11732,	1.26968,	1.77755,	0.558659,	0.304723,	0.558659,	0.761808,	0.812595,	2.89487,	0.91417,	0.812595,	0.406298,	0.812595,	0.0507872,	0.253936,	0.101574,	0.507872,	1.77755,	0.35551,	0,	0.0507872,	1.67598,	4.87557,	1.01574,	0.812595,	0.101574,	0.812595,	0.101574,	2.28542,	0.711021,	0.863382,	0.660234,	0.863382,	0.253936,	0.457085,	0.101574,	2.18385,	1.47283,	0.152362,	0.304723,	1.72676,	0.253936,	0.761808,	2.59015,	0.101574,	1.92991,	0.0507872,	1.26968,	0.203149,	0.507872,	0.203149,	0.0507872,	1.37125,	0.609446,	0.406298,	1.87913,	0,	0.35551,	0.609446,	0,	0.203149,	1.01574,	0.304723,	0.0507872,	0.203149,	0.406298,	0.406298,	0.35551,	1.11732,	
CD20+,	0.401146,	22.6934,	2.86533,	1.37536,	1.83381,	0.630372,	0.229226,	0.286533,	1.31805,	0.573066,	0.17192,	3.78224,	3.66762,	0.229226,	0.573066,	1.37536,	0.630372,	0.17192,	0.229226,	0.17192,	0.573066,	0.229226,	0.401146,	1.7765,	0.229226,	0.0573066,	0.859599,	0.401146,	0.458453,	0.515759,	0.34384,	0.859599,	0.573066,	2.17765,	0.744986,	0.17192,	0.515759,	1.48997,	0.401146,	3.03725,	0.34384,	0.401146,	0.286533,	0.17192,	0,	0.34384,	0,	0.17192,	1.26074,	0.229226,	0,	0.17192,	0.802292,	3.09456,	0.916905,	0.630372,	0.17192,	0.630372,	0.17192,	1.14613,	0.458453,	0.515759,	0.744986,	0.916905,	0.286533,	0.687679,	0.0573066,	1.89112,	1.83381,	0.229226,	0.458453,	1.66189,	0.114613,	0.687679,	2.97994,	0.0573066,	4.06877,	0.114613,	2.75072,	0.17192,	0.573066,	0.34384,	0.0573066,	0.401146,	0.229226,	0.859599,	1.31805,	0.0573066,	0.229226,	0.229226,	0,	0,	0.802292,	1.20344,	0.0573066,	0.229226,	0.17192,	0.573066,	0.687679,	1.31805,	
GM06990,	0.0752445,	26.3356,	1.50489,	0.752445,	3.61174,	0.601956,	0.150489,	0.451467,	0.225734,	0.225734,	0.225734,	3.00978,	1.73062,	0.225734,	0.300978,	1.20391,	0.978179,	0.0752445,	0.752445,	0.300978,	1.05342,	0.225734,	0.601956,	2.85929,	0,	0.376223,	0.300978,	0.752445,	0,	0.225734,	0.300978,	0.376223,	0.451467,	3.00978,	1.05342,	0.376223,	0.526712,	3.31076,	0.150489,	3.00978,	0.225734,	0.376223,	0.0752445,	0.451467,	0.150489,	0.300978,	0.225734,	0.0752445,	1.12867,	0.902935,	0.150489,	0.0752445,	0.677201,	1.80587,	0.601956,	1.42965,	0.0752445,	0.300978,	0.0752445,	0.82769,	0.752445,	1.27916,	0.752445,	1.05342,	0.225734,	0.300978,	0,	1.65538,	2.33258,	0.225734,	0.150489,	1.80587,	0.0752445,	0.752445,	3.46125,	0.677201,	2.40783,	0.150489,	1.50489,	0.0752445,	0.376223,	0.0752445,	0,	0.300978,	0.601956,	1.3544,	1.05342,	0.0752445,	0.526712,	0.300978,	0,	0.150489,	0.82769,	0.300978,	0.225734,	0.150489,	0.150489,	0.225734,	0.601956,	1.42965,	
GM12865,	0.220143,	22.5096,	2.1464,	1.10072,	1.15575,	1.10072,	0.660429,	0.330215,	0.715465,	0.220143,	0.110072,	4.29279,	4.67804,	0.440286,	1.10072,	0.770501,	0.550358,	0.220143,	0.220143,	0.220143,	0.330215,	0.715465,	0.495322,	0.935608,	0.220143,	0.165107,	0.825537,	0.38525,	0.38525,	0.275179,	0.330215,	0.770501,	1.21079,	2.75179,	0.605394,	0.275179,	0.330215,	0.715465,	0.550358,	2.80682,	0.660429,	0.990644,	0.330215,	0.38525,	0,	0.220143,	0.165107,	0.165107,	1.92625,	0.330215,	0,	0.275179,	0.660429,	4.623,	0.825537,	0.770501,	0.110072,	0.440286,	0.275179,	1.59604,	0.550358,	0.660429,	0.440286,	0.825537,	0.275179,	0.440286,	0.0550358,	3.02697,	1.541,	0.220143,	0.440286,	1.70611,	0.165107,	0.550358,	2.69675,	0.0550358,	2.80682,	0.110072,	1.87122,	0.110072,	0.165107,	0.165107,	0.0550358,	0.770501,	0.165107,	1.10072,	1.98129,	0,	0.330215,	0.275179,	0,	0.110072,	1.26582,	0.605394,	0.110072,	0.0550358,	0.275179,	0.110072,	0.165107,	1.15575,	
H7-hESC,	0.211416,	16.5962,	3.2241,	2.00846,	1.53277,	1.79704,	0.211416,	0.211416,	1.10994,	0.528541,	0.158562,	3.85835,	5.074,	0.687104,	2.00846,	0.687104,	1.16279,	0.264271,	0.158562,	0.528541,	0.475687,	1.00423,	0.687104,	1.16279,	0.158562,	0.211416,	1.10994,	0.369979,	0.369979,	0.528541,	0.264271,	0.739958,	1.9556,	1.90275,	0.317125,	0.317125,	0.475687,	0.687104,	0.687104,	2.00846,	0.687104,	1.21564,	0.158562,	0.528541,	0,	0.158562,	0,	0.422833,	1.32135,	0.211416,	0.0528541,	0.158562,	1.2685,	4.75687,	1.16279,	0.687104,	0.0528541,	0.63425,	0.105708,	2.00846,	0.63425,	1.63848,	1.10994,	0.63425,	0.105708,	0.317125,	0.0528541,	2.16702,	1.21564,	0.264271,	0.581395,	2.58985,	0.211416,	0.687104,	1.63848,	0.0528541,	1.84989,	0.211416,	1.53277,	0.158562,	0.422833,	0.105708,	0.105708,	1.16279,	0.369979,	0.475687,	2.00846,	0.0528541,	0.158562,	0.211416,	0,	0.0528541,	1.00423,	1.00423,	0.105708,	0,	0.475687,	0.211416,	0.369979,	1.00423,	
HA-h,	0.292683,	14.2927,	2.34146,	2.09756,	0.731707,	1.36585,	0.390244,	0.487805,	1.60976,	0.585366,	0.243902,	2.68293,	3.17073,	0.487805,	1.36585,	0.536585,	1.17073,	0.0487805,	0.097561,	0.634146,	0.536585,	1.12195,	1.02439,	0.97561,	0.634146,	0.292683,	0.926829,	0.731707,	0.926829,	0.731707,	0.487805,	1.31707,	1.17073,	1.41463,	0.439024,	0.146341,	0.487805,	0.97561,	0.390244,	2.82927,	0.731707,	0.878049,	0.292683,	0.292683,	0.0487805,	0.634146,	0.195122,	0.829268,	2.14634,	0.536585,	0,	0.292683,	1.41463,	3.60976,	1.31707,	0.97561,	0.195122,	0.731707,	0.487805,	1.36585,	0.634146,	0.878049,	2,	0.97561,	0.439024,	0.731707,	0.0487805,	1.65854,	1.21951,	0.487805,	0.487805,	0.878049,	0.292683,	0.439024,	2.09756,	0.243902,	3.12195,	0.292683,	2,	0.292683,	0.439024,	0.487805,	0.097561,	0.829268,	0.390244,	0.731707,	1.5122,	0.292683,	0.731707,	0.634146,	0,	0.195122,	1.31707,	0.926829,	0.097561,	0.341463,	0.390244,	0.439024,	1.07317,	0.682927,	
HAEpiC,	0.162602,	19.7832,	2.22222,	1.51762,	1.46341,	1.51762,	0.271003,	0.271003,	0.758808,	0.650406,	0.162602,	3.46883,	4.39024,	0.325203,	1.40921,	0.650406,	0.650406,	0.108401,	0.162602,	0.433604,	0.379404,	0.596206,	0.542005,	0.867209,	0.325203,	0.271003,	1.35501,	0.216802,	0,	0.813008,	0.162602,	1.40921,	0.867209,	1.51762,	0.325203,	0.271003,	0.704607,	0.542005,	0.867209,	3.41463,	0.704607,	0.650406,	0.271003,	0.487805,	0.162602,	0.325203,	0.108401,	0.325203,	1.57182,	0.325203,	0.216802,	0.108401,	1.30081,	5.63686,	0.596206,	0.704607,	0.162602,	0.325203,	0.162602,	2.87263,	0.596206,	1.08401,	1.08401,	0.542005,	0.216802,	0.596206,	0.0542005,	1.78862,	1.24661,	0.108401,	0.758808,	2.43902,	0.108401,	0.596206,	1.84282,	0.216802,	2.38482,	0.216802,	1.30081,	0.216802,	0.325203,	0,	0.108401,	1.24661,	0.487805,	0.921409,	1.62602,	0.0542005,	0.271003,	0.542005,	0.0542005,	0.108401,	1.35501,	0.596206,	0.162602,	0.325203,	0.325203,	0.271003,	0.271003,	0.704607,	
HCF,	0.263019,	19.3582,	2.31457,	1.73593,	1.3677,	1.05208,	0.157812,	0.420831,	1.47291,	0.368227,	0.157812,	4.1031,	4.99737,	0.736454,	1.78853,	0.841662,	0.999474,	0.368227,	0.157812,	0.526039,	0.420831,	0.736454,	0.683851,	0.999474,	0.315623,	0.263019,	0.736454,	0.578643,	0.315623,	0.578643,	0.315623,	1.20989,	1.52551,	1.3151,	0.368227,	0.105208,	0.631247,	0.789058,	0.789058,	2.41978,	0.631247,	0.683851,	0.157812,	0.736454,	0.105208,	0.578643,	0.0526039,	0.789058,	1.26249,	0.420831,	0,	0.0526039,	0.894266,	3.78748,	1.20989,	0.736454,	0.105208,	0.263019,	0.210416,	1.57812,	0.263019,	0.999474,	1.3151,	0.683851,	0.315623,	0.94687,	0.105208,	1.63072,	1.52551,	0.157812,	0.315623,	2.26197,	0.0526039,	1.26249,	1.84114,	0.105208,	1.68332,	0.315623,	1.20989,	0.315623,	0.841662,	0.263019,	0.157812,	0.94687,	0.473435,	0.841662,	1.42031,	0.0526039,	0.210416,	0.631247,	0.0526039,	0.105208,	1.10468,	0.473435,	0.105208,	0.263019,	0.473435,	0.473435,	0.368227,	0.894266,	
