cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.635425,	15.9253,	0.635425,	4.05083,	0.833995,	0.595711,	0.476569,	1.66799,	0.277998,	0.436855,	0.833995,	0.516283,	1.7077,	1.82685,	0.992851,	0.436855,	1.23114,	0,	0.158856,	1.19142,	1.03257,	0.0794281,	0.357427,	3.97141,	0.0397141,	0.119142,	0.238284,	0.357427,	0.317712,	1.78713,	0.476569,	0.397141,	0.238284,	2.93884,	1.82685,	0.277998,	0.119142,	3.69341,	0.436855,	2.34313,	0.714853,	0.119142,	0,	1.23114,	0.277998,	0.19857,	0.0794281,	0.0397141,	0.397141,	1.38999,	0.119142,	0.0794281,	0.516283,	0.238284,	0.635425,	0.397141,	0.0397141,	0.158856,	0,	0.595711,	2.2637,	0.516283,	3.37569,	0.635425,	0.0397141,	1.38999,	0.516283,	1.74742,	1.66799,	0.317712,	0.476569,	1.38999,	0.397141,	1.78713,	0.675139,	0,	3.57427,	0.0794281,	3.81255,	0,	1.07228,	0.516283,	0.0397141,	0.516283,	0.913423,	0.119142,	1.50913,	0,	2.5417,	0,	0.397141,	2.30342,	1.27085,	0.158856,	0.158856,	0,	0.555997,	0.119142,	0.317712,	0.119142,	
AoAF,	0.608134,	15.8115,	1.02623,	5.05511,	1.10224,	0.4561,	0.342075,	1.55834,	0.380084,	0.190042,	1.52033,	0.684151,	1.8244,	1.67237,	0.988217,	0.532117,	1.29228,	0,	0.266059,	0.950209,	1.3683,	0.0760167,	0.152033,	3.26872,	0.0380084,	0.152033,	0.22805,	0.22805,	0.114025,	1.86241,	0.570125,	0.380084,	0.152033,	3.00266,	1.3683,	0.22805,	0.304067,	2.54656,	0.798176,	2.09046,	0.760167,	0.266059,	0,	1.59635,	0.380084,	0.22805,	0.0380084,	0,	0.646142,	2.05245,	0.114025,	0.152033,	0.684151,	0.266059,	0.760167,	0.22805,	0.0380084,	0.0760167,	0.0760167,	0.4561,	2.05245,	0.532117,	2.58457,	0.722159,	0.0380084,	1.86241,	0.494109,	1.78639,	1.29228,	0.266059,	0.418092,	1.21627,	0.22805,	1.67237,	0.760167,	0.304067,	2.81262,	0.0760167,	3.15469,	0,	1.40631,	0.570125,	0.22805,	0.342075,	1.06423,	0.190042,	2.05245,	0,	2.69859,	0.152033,	0.418092,	1.8244,	1.59635,	0.0760167,	0.114025,	0.0760167,	0.342075,	0.0380084,	0.494109,	0.0380084,	
CD20+,	1.30624,	23.8026,	0.580552,	1.1611,	2.08031,	0.67731,	0.241896,	0.919207,	0.241896,	0.193517,	0.483793,	0.967586,	3.43493,	0.870827,	0.290276,	0.919207,	0.435414,	0,	0.387034,	1.06434,	0.338655,	0,	0.290276,	4.16062,	0.0967586,	0,	0.145138,	0.483793,	0.241896,	0.774069,	0.145138,	0.580552,	0.290276,	4.49927,	2.22545,	0.532172,	0.338655,	4.45089,	0.193517,	3.48331,	0.241896,	0.193517,	0,	0.580552,	0.0967586,	0.193517,	0,	0,	0.628931,	0.67731,	0.0967586,	0,	0.145138,	0.483793,	0.290276,	0.290276,	0.0483793,	0.145138,	0.0483793,	0.532172,	2.17707,	0.483793,	0.822448,	0.774069,	0,	0.822448,	0.290276,	1.88679,	2.5641,	0.193517,	0.241896,	2.37059,	0.0967586,	1.403,	1.98355,	0,	3.91872,	0.145138,	4.209,	0,	0.483793,	0.193517,	0.0967586,	0.145138,	0.387034,	0.290276,	0.580552,	0,	1.35462,	0.0483793,	0.193517,	0.483793,	1.35462,	0.532172,	0.193517,	0,	0.193517,	0.0483793,	0.483793,	0.532172,	
GM06990,	0.84088,	23.9327,	2.78137,	0.905563,	1.68176,	0.194049,	0.323415,	0.258732,	0.258732,	0.129366,	0,	1.81113,	1.94049,	0.064683,	0.129366,	2.39327,	0.064683,	0,	0.905563,	1.09961,	0.258732,	0.517464,	1.16429,	3.49288,	0.452781,	0,	0.064683,	0.84088,	0.388098,	0.129366,	0,	0.646831,	0.582147,	0.388098,	1.48771,	0.258732,	0.452781,	3.75162,	0.452781,	0.582147,	0.194049,	1.81113,	0.064683,	0.064683,	0,	0.064683,	0.646831,	0.258732,	1.16429,	0.388098,	0.064683,	0.129366,	0.064683,	1.35834,	0.646831,	0.452781,	0.064683,	0.194049,	0,	0.582147,	0.452781,	0.129366,	0.129366,	0.905563,	0.064683,	0.194049,	0,	0.194049,	3.29884,	0.388098,	0.452781,	1.68176,	0.064683,	0.517464,	5.56274,	0,	6.53299,	0.129366,	3.10479,	0.129366,	0.129366,	0.517464,	0,	0.064683,	0,	1.03493,	0.711514,	0,	0,	0.194049,	0.129366,	0,	1.09961,	2.39327,	0.064683,	0.064683,	0.129366,	0.129366,	1.16429,	4.39845,	
GM12865,	0.906208,	20.7068,	1.314,	1.49524,	1.85773,	0.589035,	0.407793,	0.498414,	0.362483,	0.135931,	0.679656,	0.815587,	2.94517,	0.770276,	0.407793,	0.860897,	0.543725,	0,	0.362483,	0.407793,	0.271862,	0.0453104,	0.226552,	4.30449,	0,	0.0906208,	0.181242,	0.362483,	0.407793,	1.67648,	0.135931,	0.634345,	0.181242,	5.21069,	1.67648,	0.634345,	0.407793,	5.12007,	0.226552,	3.08111,	0.0906208,	0.317173,	0.0906208,	0.226552,	0.271862,	0.181242,	0.0453104,	0,	1.04214,	0.498414,	0.0906208,	0.0453104,	0.0453104,	0.589035,	0.226552,	0.317173,	0.0906208,	0.0906208,	0.0453104,	0.589035,	1.67648,	0.498414,	1.08745,	1.04214,	0.0906208,	1.04214,	0.589035,	1.7671,	3.21704,	0.181242,	0.226552,	2.94517,	0.135931,	1.58586,	1.85773,	0.0453104,	3.35297,	0.135931,	3.98731,	0,	0.317173,	0.453104,	0.135931,	0.0906208,	0.362483,	0.724966,	0.951518,	0,	1.54055,	0.181242,	0.226552,	1.22338,	1.17807,	0.0906208,	0.0453104,	0.0906208,	0.271862,	0.0453104,	0.317173,	0.453104,	
H7-hESC,	0.755892,	18.675,	0.711427,	2.00089,	1.37839,	0.755892,	0.622499,	0.800356,	0.222321,	0.177857,	0.711427,	0.666963,	3.55714,	1.06714,	0.355714,	0.666963,	0.889284,	0.0444642,	0.266785,	1.55625,	0.578035,	0.133393,	0.489106,	3.69053,	0,	0.0889284,	0.177857,	0.444642,	0.222321,	2.44553,	0.222321,	0.489106,	0.311249,	4.13517,	1.8675,	0.311249,	0.222321,	3.69053,	0.444642,	3.02357,	0.222321,	0.222321,	0.0444642,	0.311249,	0.311249,	0.355714,	0.0889284,	0,	0.755892,	0.53357,	0.0444642,	0.0889284,	0.400178,	0.578035,	0.444642,	0.400178,	0.0889284,	0.133393,	0.0444642,	0.400178,	2.66785,	0.489106,	0.84482,	0.622499,	0.0889284,	1.20053,	0.578035,	2.04535,	1.95643,	0.311249,	0.400178,	2.00089,	0.266785,	1.06714,	1.37839,	0.133393,	3.69053,	0.177857,	4.97999,	0,	0.400178,	0.578035,	0.0444642,	0.133393,	0.444642,	0.400178,	0.711427,	0,	1.46732,	0.133393,	0.311249,	1.8675,	2.53446,	0.222321,	0.0444642,	0.133393,	0.266785,	0.177857,	0.622499,	0.266785,	
HA-h,	1.60219,	12.583,	1.52403,	3.24345,	0.937866,	0.898789,	0.3517,	1.60219,	0.625244,	0.312622,	0.976944,	0.781555,	2.85268,	1.83665,	0.429855,	0.547089,	0.742478,	0,	0.312622,	1.17233,	0.664322,	0.0781555,	0.312622,	4.2204,	0.0781555,	0.195389,	0.0390778,	0.390778,	0.273544,	1.52403,	0.195389,	0.781555,	0.312622,	3.82962,	1.87573,	0.312622,	0.3517,	3.8687,	0.781555,	2.07112,	0.273544,	0.0781555,	0.117233,	0.7034,	0.390778,	0.234467,	0.156311,	0.117233,	0.742478,	1.09418,	0.390778,	0.0390778,	0.508011,	0.3517,	0.742478,	0.508011,	0.0390778,	0.117233,	0.0390778,	0.820633,	2.73544,	1.09418,	1.7585,	0.664322,	0.195389,	1.32864,	0.898789,	1.87573,	2.18835,	0.468933,	0.234467,	1.44588,	0.312622,	1.68034,	1.01602,	0.117233,	3.55608,	0.156311,	3.00899,	0,	0.586166,	0.508011,	0.273544,	0.0781555,	0.820633,	0.547089,	0.859711,	0.0390778,	1.95389,	0.0781555,	0.547089,	2.50098,	1.21141,	0.234467,	0.156311,	0.0781555,	0.664322,	0.117233,	0.586166,	0.468933,	
HAEpiC,	0.435299,	28.6506,	0.870598,	5.3423,	0.633162,	0.672734,	0.15829,	1.22675,	0.237436,	0.197863,	0.831025,	0.474871,	1.89949,	1.06846,	0.870598,	0.435299,	1.3059,	0.0791452,	0.15829,	0.712307,	1.34547,	0,	0.197863,	2.29521,	0.0395726,	0.15829,	0.316581,	0.197863,	0.118718,	1.62248,	0.474871,	0.277008,	0.118718,	2.77008,	1.14761,	0.197863,	0.118718,	2.29521,	0.633162,	1.89949,	0.791452,	0.118718,	0,	1.85991,	0.474871,	0.15829,	0,	0,	0.316581,	1.46419,	0.15829,	0.0791452,	0.435299,	0.474871,	1.14761,	0.435299,	0.15829,	0.0395726,	0.15829,	0.395726,	1.66205,	0.514444,	1.85991,	0.395726,	0.0395726,	1.26632,	0.395726,	1.50376,	0.989315,	0.15829,	0.237436,	1.42461,	0.15829,	0.75188,	0.593589,	0.0791452,	2.49307,	0.118718,	3.08666,	0.0791452,	1.7412,	0.356154,	0.237436,	0.395726,	1.18718,	0.0791452,	1.42461,	0,	2.25564,	0,	0.0791452,	1.5829,	0.831025,	0.0395726,	0.0791452,	0.0791452,	0.15829,	0.0395726,	0.277008,	0.197863,	
HCF,	0.838323,	12.6148,	1.23752,	3.27345,	0.638723,	0.758483,	0.359281,	1.63673,	0.598802,	0.199601,	0.998004,	0.558882,	2.51497,	1.99601,	0.518962,	0.518962,	0.998004,	0,	0.159681,	1.35729,	1.43713,	0.0399202,	0.239521,	3.87226,	0.11976,	0.0399202,	0.0798403,	0.439122,	0.319361,	2.39521,	0.598802,	0.718563,	0.199601,	3.51297,	1.95609,	0.399202,	0.239521,	3.23353,	0.319361,	2.19561,	0.479042,	0.0798403,	0,	0.718563,	0.518962,	0.279441,	0.11976,	0,	0.359281,	1.11776,	0.279441,	0.0399202,	0.598802,	0.279441,	0.598802,	0.239521,	0.0798403,	0.0798403,	0.0399202,	0.718563,	2.63473,	1.23752,	2.35529,	0.998004,	0.0399202,	1.51697,	0.758483,	1.47705,	1.91617,	0.239521,	0.319361,	1.47705,	0.279441,	1.83633,	1.11776,	0.0798403,	3.11377,	0.0798403,	4.63074,	0.0399202,	0.998004,	0.439122,	0.199601,	0.11976,	0.678643,	0.11976,	1.47705,	0,	2.95409,	0.11976,	0.558882,	2.71457,	1.03792,	0.199601,	0.0399202,	0.199601,	0.439122,	0.0798403,	0.558882,	0.159681,	
HCM,	0.321543,	21.4228,	0.844051,	4.86334,	0.723473,	0.68328,	0.200965,	1.28617,	0.401929,	0.0803858,	0.803859,	0.361736,	2.45177,	1.24598,	0.924437,	0.522508,	1.40675,	0,	0.120579,	0.562701,	1.7283,	0.0401929,	0.0803858,	2.61254,	0.0401929,	0.160772,	0.28135,	0.321543,	0.200965,	1.96945,	0.643087,	0.723473,	0.28135,	2.41158,	1.08521,	0.200965,	0.241158,	2.57235,	0.562701,	1.92926,	0.602894,	0.241158,	0.120579,	1.28617,	0.442122,	0.160772,	0.0401929,	0,	0.241158,	2.00965,	0.120579,	0.0803858,	0.361736,	0.361736,	0.723473,	0.401929,	0,	0.120579,	0.160772,	0.361736,	2.04984,	0.522508,	2.93408,	0.723473,	0.0401929,	0.884244,	0.482315,	1.64791,	1.04502,	0.401929,	0.401929,	1.56752,	0.361736,	1.24598,	0.924437,	0.200965,	2.291,	0.120579,	3.57717,	0,	1.44695,	0.442122,	0.160772,	0.562701,	1.00482,	0.241158,	1.7283,	0,	2.77331,	0.28135,	0.482315,	1.92926,	1.1254,	0.120579,	0.0803858,	0,	0.361736,	0.0401929,	0.321543,	0.321543,	
