cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.384721,	17.0376,	3.02281,	1.86865,	2.19841,	1.62132,	0.10992,	0.412201,	0.0549602,	0.0824402,	0.219841,	0.494641,	4.20445,	0.549602,	0.851882,	1.20912,	1.12668,	0.274801,	0.302281,	0.577082,	0.549602,	0.219841,	1.95109,	1.374,	0.274801,	0.357241,	0.219841,	0.604562,	0.0824402,	0.274801,	0.687002,	2.03353,	0.714482,	1.18164,	0.632042,	0.659522,	2.44573,	1.45644,	2.85793,	2.33581,	0.302281,	0.659522,	0.16488,	0.329761,	0.1374,	0.0549602,	0.632042,	0.0549602,	1.15416,	0.687002,	0.219841,	0.0549602,	0.16488,	1.01676,	1.29156,	1.04424,	0.0274801,	1.75873,	0.1374,	0.714482,	0.247321,	1.26408,	0.741962,	0.522121,	0.1374,	0.329761,	0.384721,	2.69305,	2.44573,	0.16488,	0.906843,	2.03353,	0.247321,	0.1374,	1.12668,	0.412201,	5.55098,	0.0274801,	0.741962,	0.302281,	0.384721,	0.247321,	0,	0.687002,	0.467161,	1.48392,	1.56636,	0.0824402,	0.302281,	0.329761,	0,	0.0824402,	0.467161,	0.412201,	0,	0.549602,	0.549602,	0.0549602,	1.0992,	2.69305,	
AoAF,	0.232378,	13.9943,	2.866,	2.42706,	2.24632,	1.70411,	0.154919,	0.619675,	0.0516396,	0.154919,	0.154919,	0.981152,	3.82133,	0.490576,	0.619675,	0.774593,	1.39427,	0.232378,	0.284018,	0.387297,	0.568035,	0.154919,	2.40124,	1.47173,	0.180738,	0.180738,	0.154919,	0.542215,	0.129099,	0.309837,	0.800413,	1.65247,	0.826233,	1.23935,	1.08443,	0.826233,	2.55616,	1.42009,	3.27911,	3.02091,	0.180738,	0.542215,	0.232378,	0.309837,	0.103279,	0,	0.645494,	0.0774593,	0.748774,	0.877872,	0.232378,	0,	0.206558,	1.05861,	1.16189,	0.955332,	0.0258198,	1.80738,	0.154919,	0.335657,	0.387297,	1.47173,	0.722954,	0.748774,	0.129099,	0.180738,	0.284018,	3.15001,	2.19468,	0.154919,	1.21353,	1.54919,	0.464756,	0.129099,	1.18771,	0.387297,	7.48774,	0,	0.852053,	0.335657,	0.361477,	0.335657,	0.103279,	0.593855,	0.516396,	1.29099,	1.31681,	0.0774593,	0.568035,	0.335657,	0.0516396,	0.103279,	0.232378,	0.438936,	0.0516396,	0.800413,	0.413116,	0.154919,	1.18771,	1.98812,	
CD20+,	0.184672,	24.9615,	3.26254,	1.29271,	2.67775,	0.70791,	0.0615574,	0.277008,	0.123115,	0.184672,	0.0615574,	1.16959,	4.00123,	0.24623,	0.430902,	1.84672,	1.04648,	0.0923361,	0.400123,	0.646353,	0.277008,	0.153894,	1.13881,	1.8775,	0.153894,	0.123115,	0.0923361,	0.461681,	0.153894,	0.430902,	0.400123,	1.41582,	0.800246,	1.60049,	0.800246,	0.70791,	0.984918,	1.63127,	1.56971,	2.70853,	0.184672,	0.184672,	0.123115,	0.184672,	0.0615574,	0.0615574,	0.584795,	0.184672,	2.00062,	0.307787,	0.24623,	0.0307787,	0.338566,	1.10803,	0.70791,	0.984918,	0.0307787,	1.07725,	0.277008,	0.307787,	0.277008,	1.07725,	0.369344,	0.461681,	0.153894,	0.215451,	0.184672,	2.27762,	2.80086,	0.24623,	0.461681,	2.67775,	0.307787,	0.0923361,	1.4466,	0.277008,	4.70914,	0.0307787,	1.0157,	0.215451,	0.277008,	0.307787,	0.0307787,	0.338566,	0.307787,	1.29271,	1.75439,	0,	0.369344,	0.277008,	0.0923361,	0.0923361,	0.215451,	0.554017,	0.0615574,	0.338566,	0.461681,	0.0307787,	0.861804,	2.8932,	
GM06990,	0.645161,	28.629,	1.81452,	1.77419,	2.90323,	0.0806452,	0.604839,	0.362903,	0.282258,	0,	0.282258,	3.54839,	4.87903,	0.0403226,	0.725806,	0.967742,	0.322581,	0.241935,	1.20968,	0.0403226,	0.967742,	1.20968,	0.16129,	1.73387,	0.0403226,	0.645161,	0.241935,	0.403226,	0.322581,	0.362903,	0.16129,	0.443548,	0.806452,	1.85484,	0.846774,	0.16129,	0.322581,	3.83065,	0.201613,	1.12903,	0.362903,	0.322581,	0.0806452,	0.241935,	0.524194,	0.0403226,	0.0806452,	0.524194,	2.37903,	0.282258,	0.16129,	0.16129,	0.241935,	2.78226,	0.483871,	0.403226,	0.524194,	0.241935,	0.0806452,	0.685484,	0.120968,	0.443548,	0.120968,	1.6129,	0,	0.241935,	0.0403226,	0.967742,	0.725806,	0.16129,	0.282258,	1.49194,	0,	0.483871,	3.34677,	0.362903,	2.29839,	0.120968,	3.10484,	0.0806452,	0.483871,	0.403226,	0,	0.443548,	0.403226,	1.00806,	1.53226,	0.0403226,	0.362903,	0.120968,	0,	0.0806452,	1.08871,	0.282258,	0.120968,	0.0403226,	0,	0.0403226,	0.362903,	1.37097,	
GM12865,	0.0295508,	22.961,	3.22104,	1.59574,	2.51182,	1.47754,	0.147754,	0.384161,	0.147754,	0.0295508,	0.118203,	1.27069,	4.13712,	0.384161,	0.443262,	1.59574,	0.70922,	0.236407,	0.236407,	0.561466,	0.472813,	0.295508,	1.38889,	1.24113,	0.0886525,	0.236407,	0.147754,	0.413712,	0.118203,	0.384161,	0.384161,	1.53664,	0.70922,	2.27541,	0.856974,	0.325059,	1.65485,	1.77305,	1.8617,	2.89598,	0.118203,	0.443262,	0.265957,	0.295508,	0.0295508,	0,	0.295508,	0.147754,	1.12293,	0.502364,	0.118203,	0.0591017,	0.118203,	1.06383,	0.620567,	0.797872,	0,	0.975177,	0.118203,	0.472813,	0.384161,	0.650118,	0.679669,	0.502364,	0.0295508,	0.177305,	0.118203,	2.71868,	2.54137,	0.0591017,	0.975177,	2.33452,	0.177305,	0.177305,	2.00946,	0.325059,	5.43735,	0.0591017,	1.56619,	0.147754,	0.325059,	0.236407,	0.0886525,	0.384161,	0.325059,	1.7435,	1.35934,	0.0295508,	0.236407,	0.325059,	0.118203,	0.0591017,	0.472813,	0.472813,	0.0591017,	0.35461,	0.265957,	0.0295508,	1.00473,	2.21631,	
H7-hESC,	0.251116,	15.9319,	2.95759,	2.39955,	2.06473,	1.28348,	0.111607,	0.864955,	0.195312,	0.0558036,	0.139509,	1.5067,	5.13393,	0.30692,	0.641741,	0.864955,	1.39509,	0.139509,	0.111607,	0.558036,	0.530134,	0.223214,	2.23214,	1.36719,	0.251116,	0.195312,	0.111607,	0.558036,	0,	0.390625,	0.641741,	1.64621,	1.00446,	1.11607,	0.585938,	0.78125,	1.89732,	1.36719,	2.34375,	2.87388,	0.0558036,	0.390625,	0.390625,	0.167411,	0.0279018,	0.0558036,	0.78125,	0.195312,	1.19978,	0.725446,	0.167411,	0.0837054,	0.167411,	0.641741,	0.753348,	1.08817,	0,	1.14397,	0.279018,	0.418527,	0.30692,	1.31138,	0.78125,	0.641741,	0.167411,	0.111607,	0.30692,	2.79018,	2.76228,	0.0837054,	1.47879,	1.72991,	0.251116,	0.223214,	1.39509,	0.334821,	7.67299,	0.0279018,	0.78125,	0.223214,	0.446429,	0.139509,	0,	0.641741,	0.418527,	1.42299,	1.5067,	0.0837054,	0.47433,	0.362723,	0.0558036,	0.0837054,	0.251116,	0.279018,	0,	0.530134,	0.585938,	0.223214,	1.11607,	2.23214,	
HA-h,	0.528435,	13.4877,	3.5229,	2.31505,	2.26472,	1.28334,	0.226472,	0.478108,	0.125818,	0.402617,	0.251636,	1.03171,	3.34675,	0.301963,	1.23301,	0.981379,	1.5853,	0.503271,	0.377453,	0.729743,	0.603926,	0.125818,	2.11374,	1.28334,	0.301963,	0.251636,	0.201308,	0.70458,	0.0503271,	0.427781,	0.603926,	1.96276,	1.18269,	1.45949,	0.956215,	0.629089,	2.08858,	1.15752,	2.61701,	1.91243,	0.402617,	0.528435,	0.251636,	0.377453,	0.0251636,	0.0503271,	1.03171,	0.251636,	0.603926,	0.729743,	0.327126,	0.150981,	0.528435,	1.43432,	1.23301,	1.28334,	0.0251636,	1.71112,	0.276799,	0.805234,	0.629089,	1.50981,	0.603926,	0.629089,	0.251636,	0.654253,	0.327126,	2.39054,	2.11374,	0.427781,	0.931052,	1.5853,	0.402617,	0.150981,	1.35883,	0.553598,	4.78108,	0.125818,	0.754907,	0.35229,	0.427781,	0.251636,	0.125818,	0.78007,	0.805234,	1.5853,	1.05687,	0.0754907,	0.503271,	0.452944,	0.150981,	0.176145,	0.301963,	0.503271,	0.0503271,	0.956215,	0.754907,	0.0503271,	0.805234,	2.01309,	
HAEpiC,	0.30253,	17.2167,	3.10781,	2.9703,	2.22772,	1.34763,	0.165017,	0.467547,	0.0825083,	0.110011,	0.0550055,	0.935094,	2.88779,	0.440044,	0.577558,	0.852585,	1.54015,	0.247525,	0.30253,	0.522552,	0.60506,	0.0825083,	2.58526,	1.12761,	0.0550055,	0.110011,	0.165017,	0.440044,	0.0550055,	0.357536,	0.687569,	1.56766,	0.79758,	1.34763,	0.990099,	0.30253,	2.06271,	1.34763,	2.20022,	3.43784,	0.440044,	0.192519,	0.550055,	0.330033,	0.0550055,	0.0550055,	0.330033,	0.0550055,	1.21012,	0.852585,	0.220022,	0.0550055,	0.137514,	0.962596,	1.29263,	0.687569,	0,	1.73267,	0.137514,	0.49505,	0.49505,	1.54015,	0.825083,	0.49505,	0.110011,	0.357536,	0.275027,	3.9604,	1.73267,	0.137514,	1.10011,	1.43014,	0.247525,	0.165017,	0.935094,	0.49505,	7.89329,	0,	0.907591,	0.192519,	0.412541,	0.137514,	0.165017,	0.550055,	0.440044,	1.43014,	1.29263,	0,	0.60506,	0.385038,	0.192519,	0.0825083,	0.137514,	0.632563,	0.0275028,	0.715071,	0.247525,	0.0825083,	0.880088,	1.81518,	
HCF,	0.0810154,	16.4461,	2.67351,	1.94437,	2.18742,	1.5663,	0.189036,	0.702133,	0.108021,	0.216041,	0.162031,	0.972185,	3.72671,	0.594113,	0.648123,	1.24224,	1.16122,	0.270051,	0.243046,	0.621118,	0.756144,	0.108021,	1.75533,	1.32325,	0.216041,	0.216041,	0.162031,	0.540103,	0.0270051,	0.540103,	0.648123,	2.6195,	0.94518,	1.5933,	0.567108,	0.810154,	2.75452,	1.21523,	2.70051,	2.48447,	0.270051,	0.351067,	0.189036,	0.189036,	0.0540103,	0.108021,	0.729139,	0.324062,	1.13422,	0.729139,	0.243046,	0.189036,	0.378072,	0.99919,	1.26924,	0.891169,	0,	1.32325,	0.189036,	0.405077,	0.270051,	1.26924,	0.972185,	0.594113,	0.189036,	0.324062,	0.432082,	2.29544,	2.72752,	0.135026,	1.0532,	1.86335,	0.378072,	0.162031,	0.918174,	0.621118,	5.29301,	0.0540103,	0.972185,	0.243046,	0.297056,	0.216041,	0.108021,	0.567108,	0.675128,	1.48528,	1.24224,	0,	0.459087,	0.189036,	0.0540103,	0.135026,	0.378072,	0.459087,	0.0270051,	0.567108,	0.810154,	0.0540103,	1.21523,	2.59249,	
HCM,	0.217806,	16.4715,	2.8587,	2.64089,	2.06915,	1.66077,	0.0544514,	0.462837,	0.163354,	0.163354,	0.108903,	1.03458,	3.9205,	0.544514,	0.598965,	1.08903,	1.11625,	0.19058,	0.299483,	0.544514,	0.598965,	0.163354,	1.93302,	1.22516,	0.163354,	0.38116,	0.136129,	0.408386,	0.0544514,	0.408386,	0.598965,	2.39586,	0.653417,	1.38851,	0.735094,	0.707868,	2.50476,	1.33406,	2.83147,	2.53199,	0.299483,	0.517288,	0.19058,	0.163354,	0.0816771,	0,	0.517288,	0.163354,	0.735094,	0.680643,	0.136129,	0.163354,	0.408386,	0.843997,	1.25238,	0.898448,	0,	1.7969,	0.0544514,	0.462837,	0.245031,	1.60632,	0.707868,	0.462837,	0.19058,	0.353934,	0.435611,	2.94038,	2.39586,	0.272257,	1.27961,	1.66077,	0.408386,	0.19058,	1.08903,	0.653417,	6.04411,	0.0272257,	0.735094,	0.353934,	0.435611,	0.19058,	0.136129,	0.871222,	0.435611,	1.44296,	1.38851,	0.0816771,	0.435611,	0.245031,	0.136129,	0.0544514,	0.353934,	0.598965,	0,	0.680643,	0.57174,	0.163354,	1.30683,	1.68799,	
