cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0858738,	18.5917,	1.80335,	1.03049,	0.96608,	0.493774,	0.4079,	0.150279,	0.858738,	0.107342,	0.472306,	4.98068,	1.26664,	0.171748,	1.26664,	0.68699,	0.515243,	0.171748,	0.729927,	0.150279,	1.69601,	0.858738,	0.0214684,	0.450837,	0.0644053,	0.579648,	2.36153,	0.343495,	1.71748,	1.43839,	0.923143,	0.128811,	0.450837,	4.37956,	0.27909,	0,	0.4079,	6.31172,	0.257621,	1.54573,	0.4079,	0.493774,	0.257621,	0.193216,	0.708459,	0.450837,	0,	0.0858738,	1.00902,	0.107342,	0.0214684,	0.128811,	0.0429369,	3.54229,	0.236153,	0.386432,	0.171748,	0.171748,	0,	0.729927,	0.622585,	1.00902,	0.987548,	1.5672,	0.107342,	0.96608,	0.0429369,	1.45985,	0.472306,	0.0429369,	1.28811,	1.67454,	0,	0.644053,	2.14684,	0.751395,	0.644053,	0.0214684,	4.31516,	0.0858738,	1.13783,	0.708459,	0.0429369,	0.601116,	1.24517,	1.1593,	1.24517,	0.0644053,	4.87334,	0.322027,	0,	0.128811,	0.0858738,	0.0429369,	0.0858738,	0.0429369,	0.107342,	0.193216,	0.236153,	0.558179,	
AoAF,	0.0796495,	15.0139,	1.55317,	1.33413,	0.935882,	0.597372,	0.318598,	0.477897,	0.995619,	0.0597372,	0.49781,	5.71485,	1.31422,	0.179211,	1.23457,	0.677021,	0.796495,	0.139387,	0.955794,	0.199124,	1.21466,	0.975707,	0.0199124,	0.318598,	0.0796495,	0.995619,	3.18598,	0.41816,	2.0908,	1.51334,	1.05536,	0.159299,	0.278773,	4.00239,	0.298686,	0.139387,	0.49781,	6.31223,	0.298686,	1.37395,	0.378335,	0.49781,	0.358423,	0.159299,	0.876145,	0.49781,	0.0398248,	0.0796495,	1.17483,	0.179211,	0.0199124,	0.318598,	0.0199124,	3.56432,	0.238949,	0.358423,	0.119474,	0.238949,	0,	0.935882,	0.537634,	0.776583,	1.03544,	1.4536,	0.0995619,	1.35404,	0,	2.07089,	0.179211,	0.139387,	1.27439,	1.31422,	0,	0.716846,	2.34966,	0.597372,	0.517722,	0.0796495,	3.94265,	0.119474,	0.896057,	0.597372,	0.0597372,	0.657109,	1.31422,	1.01553,	1.47352,	0.0597372,	5.17722,	0.199124,	0.159299,	0.0995619,	0.139387,	0.0597372,	0.0398248,	0.159299,	0.0995619,	0.278773,	0.199124,	0.398248,	
CD20+,	0.101704,	27.4345,	1.90694,	0.762776,	1.80524,	0.228833,	0.228833,	0.101704,	0.43224,	0.101704,	0.254259,	4.65294,	2.13577,	0.101704,	0.737351,	1.01704,	0.584795,	0.0254259,	0.610221,	0.254259,	0.635647,	0.330536,	0.177981,	0.86448,	0.0508518,	0.228833,	1.55098,	0.43224,	1.11874,	0.686499,	0.991609,	0.152555,	0.330536,	4.65294,	0.584795,	0.152555,	0.483092,	5.41571,	0.228833,	2.746,	0.279685,	0.279685,	0.203407,	0.152555,	0.559369,	0.152555,	0,	0,	2.1612,	0.177981,	0.101704,	0.203407,	0.0508518,	3.25451,	0.228833,	0.381388,	0.0508518,	0.254259,	0,	0.86448,	0.355962,	0.635647,	0.533944,	1.39842,	0.0762777,	0.533944,	0,	1.70353,	0.610221,	0.0762777,	0.711925,	2.61887,	0.0254259,	0.381388,	1.88152,	0.355962,	1.16959,	0.0254259,	3.05111,	0.177981,	0.584795,	0.355962,	0.0254259,	0.330536,	0.711925,	1.4747,	1.42385,	0.0508518,	2.21205,	0.152555,	0,	0,	0.127129,	0.177981,	0.0254259,	0.0762777,	0,	0.101704,	0.254259,	0.940758,	
GM06990,	0.0637958,	28.6443,	4.05104,	0.861244,	3.44498,	1.08453,	0.255183,	0.287081,	0.127592,	0.0637958,	0.0318979,	1.563,	2.61563,	0.350877,	0.637959,	2.77512,	0.446571,	0.255183,	0.350877,	0.446571,	0.287081,	0.287081,	0.287081,	1.18022,	0.0637958,	0.127592,	0.0637958,	0.574163,	0,	0.0637958,	0.0956938,	1.05263,	0.669856,	1.91388,	0.255183,	0.861244,	1.11643,	1.69059,	0.76555,	2.00957,	0.127592,	0.574163,	0.255183,	0.0637958,	0,	0.0637958,	0.382775,	0.446571,	1.85008,	0.350877,	0.127592,	0.0637958,	0.350877,	1.78628,	0.478469,	0.956938,	0.0637958,	1.21212,	0.0637958,	0.669856,	0.127592,	1.21212,	0.255183,	0.956938,	0.15949,	0.127592,	0.0637958,	1.563,	3.79585,	0.127592,	0.606061,	1.75439,	0.0318979,	0.15949,	2.32855,	0.350877,	2.39234,	0,	1.40351,	0.478469,	0.15949,	0.255183,	0,	0.0956938,	0.287081,	2.07337,	1.4992,	0.0318979,	0.191388,	0.510367,	0.0956938,	0.0637958,	0.287081,	0.382775,	0,	0.0637958,	0.0637958,	0.0318979,	0.542265,	3.85965,	
GM12865,	0.0460087,	22.4293,	1.49528,	0.73614,	1.24224,	0.391074,	0.230044,	0.391074,	0.460087,	0.0690131,	0.437083,	4.96894,	1.88636,	0.138026,	0.782149,	0.943179,	0.506096,	0.184035,	0.759144,	0.184035,	0.874166,	0.667127,	0.0920175,	0.667127,	0.0690131,	0.598114,	1.67932,	0.345066,	1.72533,	1.0582,	0.759144,	0.207039,	0.483092,	5.245,	0.414079,	0.0230044,	0.529101,	5.54405,	0.0690131,	1.65631,	0.207039,	0.460087,	0.322061,	0.138026,	0.414079,	0.184035,	0,	0.0460087,	1.72533,	0.115022,	0.115022,	0.253048,	0,	3.40465,	0.184035,	0.276052,	0.184035,	0.299057,	0.0230044,	0.529101,	0.460087,	0.414079,	0.644122,	1.5643,	0.184035,	1.01219,	0,	1.72533,	0.575109,	0.115022,	0.805153,	2.32344,	0.0230044,	0.575109,	2.34645,	0.460087,	1.01219,	0.0230044,	4.66989,	0.207039,	0.690131,	0.460087,	0.0230044,	0.437083,	0.89717,	1.12721,	1.47228,	0.138026,	4.11778,	0.115022,	0.0460087,	0.0920175,	0.161031,	0.115022,	0.0460087,	0.0460087,	0.0230044,	0.138026,	0.299057,	0.552105,	
H7-hESC,	0.0459453,	20.7903,	1.7689,	0.987824,	1.21755,	0.459453,	0.321617,	0.275672,	0.436481,	0.0459453,	0.229727,	4.59453,	1.90673,	0.114863,	0.781071,	1.21755,	0.712153,	0.0459453,	0.941879,	0.114863,	1.56214,	0.804043,	0.068918,	0.68918,	0.0918906,	0.551344,	1.44728,	0.528371,	1.58511,	1.19458,	0.827016,	0.252699,	0.505399,	5.1229,	0.34459,	0.068918,	0.666207,	7.16747,	0.252699,	1.90673,	0.275672,	0.574317,	0.275672,	0.137836,	0.551344,	0.206754,	0.0229727,	0.114863,	1.677,	0.068918,	0.068918,	0.183781,	0.0229727,	3.03239,	0.183781,	0.252699,	0.0459453,	0.229727,	0,	0.827016,	0.390535,	0.68918,	0.436481,	1.47025,	0.137836,	0.849989,	0,	1.72295,	0.597289,	0.068918,	0.758098,	2.50402,	0.0229727,	0.436481,	2.02159,	0.597289,	0.895934,	0.0459453,	4.8702,	0.183781,	0.872961,	0.666207,	0,	0.390535,	0.804043,	1.0108,	1.37836,	0.0229727,	2.77969,	0.068918,	0.068918,	0.183781,	0.137836,	0.068918,	0.068918,	0.0918906,	0.0459453,	0.275672,	0.160809,	0.804043,	
HA-h,	0.139748,	16.0711,	2.35576,	1.21781,	1.03813,	0.399281,	0.419245,	0.379317,	0.798563,	0.199641,	0.718706,	5.19066,	1.15792,	0.139748,	1.59713,	0.558994,	0.978239,	0.219605,	1.31763,	0.199641,	1.79677,	1.03813,	0.139748,	0.439209,	0.0798563,	0.938311,	2.59533,	0.399281,	0.978239,	1.25774,	1.4973,	0.339389,	0.658814,	3.19425,	0.578958,	0.119784,	0.63885,	5.43023,	0.379317,	1.45738,	0.479138,	0.578958,	0.379317,	0.199641,	0.958275,	0.499102,	0.0399281,	0.119784,	0.818527,	0.199641,	0.0798563,	0.359353,	0.0399281,	4.07267,	0.319425,	0.439209,	0.359353,	0.259533,	0,	0.958275,	0.558994,	1.07806,	0.758634,	1.79677,	0.259533,	0.818527,	0.0199641,	1.97644,	0.558994,	0.299461,	0.938311,	1.59713,	0,	0.73867,	1.93651,	1.01817,	0.818527,	0.0798563,	2.31583,	0.259533,	0.938311,	0.53903,	0.0998203,	1.07806,	1.23777,	1.31763,	1.75684,	0.0998203,	2.87483,	0.179677,	0,	0.119784,	0.139748,	0.0998203,	0.119784,	0.279497,	0.0998203,	0.279497,	0.299461,	0.399281,	
HAEpiC,	0.064433,	19.4588,	1.86856,	1.05241,	1.31014,	0.64433,	0.214777,	0.429553,	0.687285,	0.064433,	0.27921,	5.32646,	1.6323,	0.0859107,	1.11684,	1.00945,	0.730241,	0.0859107,	0.966495,	0.064433,	1.6323,	1.05241,	0.064433,	0.214777,	0.0214777,	0.64433,	2.29811,	0.214777,	1.8256,	1.46048,	1.03093,	0.150344,	0.429553,	4.55326,	0.214777,	0.128866,	0.451031,	5.41237,	0.171821,	1.33162,	0.429553,	0.515464,	0.27921,	0.0859107,	0.622852,	0.0859107,	0.064433,	0.0859107,	1.13832,	0.107388,	0,	0.27921,	0.0429553,	3.41495,	0.107388,	0.322165,	0.171821,	0.193299,	0.0214777,	1.09536,	0.451031,	0.708763,	0.837629,	1.50344,	0.128866,	1.39605,	0.0429553,	1.95447,	0.386598,	0.150344,	1.11684,	1.61082,	0,	0.558419,	1.89003,	0.773196,	0.579897,	0.0859107,	4.05928,	0.193299,	0.945017,	0.773196,	0.0429553,	0.773196,	0.816151,	0.880584,	1.65378,	0.064433,	4.59622,	0.107388,	0.0859107,	0.0859107,	0.128866,	0.0429553,	0.064433,	0.0859107,	0.150344,	0.236254,	0.214777,	0.36512,	
HCF,	0.063925,	17.3663,	1.85382,	1.38504,	0.89495,	0.277008,	0.426167,	0.426167,	0.788408,	0.0852333,	0.681867,	4.8583,	1.21457,	0.38355,	0.852333,	0.873642,	0.916258,	0.0852333,	1.08672,	0.213083,	1.29981,	1.0228,	0,	0.532708,	0.063925,	0.852333,	2.68485,	0.340933,	1.70467,	1.61943,	1.25719,	0.213083,	0.298317,	4.47475,	0.532708,	0.0852333,	0.490092,	5.94502,	0.12785,	1.7899,	0.340933,	0.362242,	0.362242,	0.12785,	0.490092,	0.319625,	0,	0.170467,	1.34242,	0.149158,	0.149158,	0.170467,	0.106542,	3.47326,	0.191775,	0.426167,	0.191775,	0.106542,	0.0426167,	1.10803,	0.681867,	0.7671,	0.873642,	1.61943,	0.106542,	1.23588,	0.063925,	1.5342,	0.38355,	0.12785,	0.937567,	1.59812,	0,	0.63925,	1.7899,	0.575325,	0.575325,	0.170467,	4.64522,	0.2557,	1.08672,	0.617942,	0.0852333,	0.596633,	1.0228,	1.00149,	1.36373,	0.0426167,	4.45344,	0.149158,	0.0852333,	0.149158,	0.12785,	0.12785,	0.0426167,	0.0213083,	0.0852333,	0.170467,	0.234392,	0.2557,	
HCM,	0.0861326,	18.174,	1.95952,	1.31352,	1.14126,	0.47373,	0.40913,	0.150732,	0.645995,	0.0215332,	0.47373,	5.42636,	1.46425,	0.279931,	1.09819,	0.624462,	0.732127,	0.107666,	0.968992,	0.215332,	1.44272,	0.88286,	0,	0.452196,	0.0645995,	0.538329,	2.62705,	0.236865,	1.70112,	1.05512,	0.775194,	0.258398,	0.344531,	4.24203,	0.516796,	0.0215332,	0.538329,	6.07235,	0.258398,	1.33506,	0.279931,	0.40913,	0.322997,	0.150732,	0.732127,	0.387597,	0.0215332,	0.150732,	1.22739,	0.172265,	0.0215332,	0.236865,	0.0430663,	3.55297,	0.236865,	0.495263,	0.150732,	0.215332,	0.0430663,	0.88286,	0.452196,	1.09819,	0.904393,	1.14126,	0.236865,	1.37812,	0.0430663,	1.44272,	0.279931,	0.150732,	1.11972,	1.46425,	0,	0.538329,	2.17485,	0.516796,	0.775194,	0.0430663,	4.04823,	0.150732,	1.39966,	0.667528,	0,	0.689061,	1.09819,	0.81826,	1.27046,	0.0645995,	5.14643,	0.0861326,	0.107666,	0.172265,	0.172265,	0.129199,	0.172265,	0.0645995,	0.150732,	0.172265,	0.279931,	0.516796,	
