cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0,	25.6486,	2.38962,	2.38962,	1.86618,	1.31998,	0.182066,	1.34274,	0.204825,	0.182066,	0.364133,	0.728266,	1.38826,	0.318616,	1.13792,	1.29722,	0.910332,	0.227583,	0.250341,	0.364133,	1.29722,	0.500683,	1.18343,	1.06964,	0.13655,	0.204825,	0.40965,	0.2731,	0.182066,	0.0455166,	0.0910332,	2.66272,	0.40965,	0.751024,	0.591716,	0.523441,	1.70687,	1.31998,	1.72963,	1.29722,	0.614474,	0.591716,	0.341375,	0.637233,	0.0227583,	0.0910332,	0.318616,	0.204825,	1.16067,	1.11516,	0.2731,	0.0455166,	0.295858,	1.70687,	2.16204,	1.22895,	0.0227583,	0.796541,	0.159308,	0.819299,	0.204825,	0.614474,	0.955849,	0.295858,	0.227583,	0.364133,	0.0682749,	1.38826,	2.48066,	0.0455166,	0.591716,	2.23031,	0.250341,	0.227583,	1.6386,	0.341375,	3.86891,	0.0910332,	1.59308,	0.455166,	1.0924,	0.2731,	0,	0.523441,	0.819299,	1.38826,	2.4579,	0.0682749,	0.182066,	0.477924,	0.0455166,	0.113792,	0.182066,	0.341375,	0.0682749,	0.0455166,	0.432408,	0.0227583,	0.591716,	1.43377,	
AoAF,	0.148305,	23.5593,	1.75847,	2.94492,	2.0339,	1.35593,	0.190678,	1.48305,	0.148305,	0.29661,	0.29661,	0.847458,	1.86441,	0.190678,	1.18644,	0.65678,	1.25,	0.381356,	0.148305,	0.275424,	1.41949,	0.508475,	1.20763,	1.52542,	0.36017,	0.190678,	0.826271,	0.381356,	0.169492,	0,	0.211864,	2.8178,	0.677966,	0.720339,	0.466102,	0.550847,	1.61017,	1.05932,	1.90678,	0.847458,	0.95339,	0.444915,	0.233051,	0.635593,	0.0423729,	0.105932,	0.487288,	0.190678,	1.14407,	1.25,	0.254237,	0.0847458,	0.29661,	1.99153,	2.47881,	0.95339,	0.0847458,	0.95339,	0.211864,	0.995763,	0.211864,	0.911017,	0.868644,	0.36017,	0.148305,	0.36017,	0.105932,	1.33475,	2.94492,	0.0423729,	0.59322,	2.11864,	0.254237,	0.233051,	1.50424,	0.444915,	2.90254,	0.0635593,	1.29237,	0.508475,	1.20763,	0.338983,	0.0847458,	0.826271,	0.783898,	1.10169,	2.69068,	0.0635593,	0.169492,	0.572034,	0.0635593,	0.127119,	0.169492,	0.444915,	0,	0.0211864,	0.338983,	0.0847458,	0.317797,	1.12288,	
CD20+,	0.161594,	32.5343,	1.93913,	1.13116,	2.12766,	0.996499,	0.188527,	0.754107,	0.134662,	0.10773,	0.161594,	1.15809,	2.28925,	0.323189,	0.888769,	2.53165,	0.56558,	0.134662,	0.0538648,	0.242392,	0.888769,	0.377054,	0.377054,	1.40048,	0.188527,	0.215459,	0.56558,	0.161594,	0.350121,	0.188527,	0.10773,	1.34662,	0.511716,	1.02343,	0.646378,	0.215459,	0.942634,	1.993,	0.78104,	1.61594,	0.457851,	0.242392,	0.10773,	0.215459,	0.0538648,	0.134662,	0.215459,	0.0807972,	2.07379,	0.754107,	0.188527,	0.134662,	0.269324,	1.48128,	1.45435,	1.10423,	0.0538648,	0.484783,	0.161594,	0.403986,	0.188527,	0.67331,	0.269324,	0.350121,	0.0538648,	0.161594,	0.0538648,	1.05036,	3.33962,	0.0538648,	0.377054,	2.77404,	0.161594,	0.188527,	2.34312,	0.323189,	3.66281,	0.0807972,	2.23539,	0.10773,	1.0773,	0.134662,	0.0538648,	0.350121,	0.403986,	1.75061,	1.69674,	0.0538648,	0.215459,	0.403986,	0.0538648,	0.0807972,	0.242392,	0.296256,	0.0807972,	0.0269324,	0.269324,	0.134662,	0.484783,	1.34662,	
GM06990,	0.0683527,	35.4067,	1.19617,	0.956938,	2.69993,	0.341763,	0.683527,	0.478469,	0.136705,	0.0341763,	0.102529,	1.36705,	2.56323,	0.136705,	0.580998,	1.36705,	0.444293,	0.170882,	0.580998,	0.273411,	0.888585,	0.341763,	0.0341763,	2.0164,	0.0341763,	0.444293,	0.546822,	0.170882,	0.307587,	0.410116,	0.205058,	0.410116,	0.444293,	2.39234,	0.956938,	0.102529,	0.478469,	2.83664,	0.546822,	1.33288,	0.546822,	0.170882,	0.102529,	0.649351,	0.102529,	0.102529,	0.273411,	0.239234,	2.66576,	1.12782,	0.0341763,	0.136705,	0.546822,	1.43541,	1.162,	0.649351,	0.239234,	0.239234,	0.102529,	0.75188,	0.273411,	0.580998,	0.102529,	0.273411,	0.0341763,	0.512645,	0,	0.854409,	0.922761,	0.102529,	0.102529,	2.63158,	0.0683527,	0.37594,	2.4607,	0.478469,	1.60629,	0,	4.3404,	0.239234,	0.615174,	0.239234,	0.0341763,	0.273411,	0.75188,	1.02529,	2.0164,	0.0683527,	0.444293,	0.205058,	0,	0.0683527,	0.37594,	0.410116,	0.239234,	0,	0.0683527,	0.0341763,	0.136705,	1.26452,	
GM12865,	0.074757,	30.6255,	1.69449,	1.66957,	2.41714,	1.02168,	0.199352,	0.74757,	0.124595,	0.049838,	0.199352,	0.946922,	1.99352,	0.299028,	0.996761,	1.47022,	0.573137,	0.199352,	0.24919,	0.323947,	0.971842,	0.174433,	0.822327,	1.22103,	0.124595,	0.274109,	0.598056,	0.398704,	0.124595,	0.074757,	0.174433,	1.94368,	0.473461,	1.07152,	0.697732,	0.523299,	1.59482,	1.74433,	1.07152,	1.09644,	0.373785,	0.448542,	0.049838,	0.448542,	0.024919,	0.049838,	0.0996761,	0.149514,	1.89384,	0.822327,	0.174433,	0.074757,	0.24919,	1.94368,	1.29579,	1.02168,	0.049838,	0.622975,	0.074757,	0.348866,	0.149514,	0.772489,	0.448542,	0.149514,	0.074757,	0.473461,	0.049838,	1.39546,	3.0152,	0.024919,	0.523299,	3.21455,	0.074757,	0.174433,	2.26763,	0.199352,	3.66309,	0.0996761,	2.11812,	0.124595,	0.996761,	0.149514,	0,	0.348866,	0.423623,	1.69449,	2.44206,	0.049838,	0.124595,	0.423623,	0.049838,	0,	0.149514,	0.24919,	0,	0.049838,	0.274109,	0.049838,	0.573137,	1.66957,	
H7-hESC,	0.12279,	29.1257,	2.18566,	2.11198,	2.28389,	0.95776,	0.368369,	0.613949,	0.221022,	0.12279,	0.270138,	1.00688,	1.66994,	0.270138,	0.736739,	1.42436,	0.687623,	0.24558,	0.221022,	0.270138,	1.00688,	0.319253,	0.859528,	1.25246,	0.12279,	0.294695,	0.368369,	0.196464,	0.171906,	0.0491159,	0.319253,	1.98919,	0.687623,	0.933202,	0.687623,	0.368369,	1.62083,	1.57171,	1.44892,	1.05599,	0.663065,	0.319253,	0.147348,	0.442043,	0.024558,	0.0491159,	0.319253,	0.171906,	1.49804,	0.785855,	0.270138,	0.147348,	0.270138,	1.91552,	1.79273,	1.15422,	0.0736739,	0.736739,	0.147348,	0.589391,	0.221022,	0.613949,	0.834971,	0.270138,	0.0491159,	0.343811,	0.0491159,	1.3998,	2.72593,	0.12279,	0.319253,	2.75049,	0.0491159,	0.221022,	1.74361,	0.221022,	3.97839,	0.0491159,	1.84185,	0.319253,	0.761297,	0.343811,	0.024558,	0.294695,	0.343811,	1.79273,	2.21022,	0.0491159,	0.171906,	0.515717,	0.0982318,	0.0982318,	0.270138,	0.442043,	0,	0.0736739,	0.466601,	0.0491159,	0.589391,	1.52259,	
HA-h,	0.0625913,	22.1156,	2.04465,	2.75402,	1.96119,	1.46046,	0.187774,	1.50219,	0.417275,	0.208638,	0.354684,	0.563321,	1.56478,	0.375548,	1.2101,	0.730232,	0.980597,	0.479866,	0.271229,	0.417275,	1.14751,	0.438139,	1.14751,	1.37701,	0.312956,	0.292093,	0.563321,	0.250365,	0.250365,	0.146046,	0.438139,	2.83747,	0.50073,	0.918005,	0.730232,	0.438139,	1.71083,	1.14751,	1.39787,	0.751095,	1.02232,	0.688504,	0.417275,	0.813687,	0.0625913,	0.187774,	0.542458,	0.229501,	0.980597,	1.35614,	0.33382,	0.125183,	0.479866,	2.31588,	2.54538,	1.35614,	0.16691,	1.10578,	0.16691,	0.66764,	0.187774,	1.04319,	1.02232,	0.187774,	0.250365,	0.33382,	0.146046,	1.12664,	2.14897,	0.187774,	0.396411,	2.3576,	0.33382,	0.16691,	1.87774,	0.563321,	2.90006,	0.146046,	1.29355,	0.396411,	1.16837,	0.33382,	0.0417275,	0.792823,	0.751095,	1.27269,	2.29501,	0.104319,	0.312956,	0.50073,	0.083455,	0.16691,	0.187774,	0.459003,	0.0417275,	0.104319,	0.50073,	0.16691,	0.625913,	1.00146,	
HAEpiC,	0.023175,	28.3893,	1.69177,	2.8737,	2.01622,	1.27462,	0.13905,	1.2051,	0.347625,	0.254925,	0.208575,	0.718424,	1.854,	0.301275,	1.32097,	0.811124,	0.880649,	0.1854,	0.1854,	0.2781,	1.25145,	0.32445,	1.04287,	1.04287,	0.208575,	0.0695249,	0.672074,	0.254925,	0.0695249,	0.0695249,	0.32445,	2.5956,	0.648899,	0.695249,	0.417149,	0.463499,	1.3905,	1.1124,	1.59907,	1.18192,	0.718424,	0.393975,	0.23175,	0.903824,	0.0463499,	0.115875,	0.254925,	0.0695249,	1.3905,	1.15875,	0.301275,	0.0463499,	0.347625,	1.78447,	1.96987,	1.43685,	0.0695249,	1.08922,	0.0926999,	0.880649,	0.13905,	0.973349,	0.834299,	0.3708,	0.0926999,	0.23175,	0.0695249,	1.22827,	2.24797,	0.115875,	0.440324,	2.781,	0.13905,	0.162225,	1.4832,	0.509849,	2.5029,	0.0695249,	1.854,	0.301275,	1.0197,	0.393975,	0,	0.648899,	0.741599,	1.34415,	2.47972,	0.023175,	0.162225,	0.579374,	0,	0.162225,	0.0463499,	0.254925,	0.023175,	0.0695249,	0.417149,	0.0463499,	0.393975,	0.950174,	
HCF,	0.0675828,	24.2397,	2.43298,	2.59067,	2.70331,	1.14891,	0.202748,	1.08132,	0.292859,	0.157693,	0.360442,	0.47308,	1.75715,	0.247804,	1.19396,	1.28407,	0.878576,	0.247804,	0.292859,	0.337914,	1.32913,	0.292859,	1.03627,	0.968687,	0.337914,	0.225276,	0.47308,	0.292859,	0.0225276,	0.0901104,	0.315386,	2.68078,	0.630773,	0.878576,	0.720883,	0.56319,	1.75715,	1.21649,	1.84726,	1.08132,	0.833521,	0.382969,	0.360442,	0.56319,	0.112638,	0.202748,	0.47308,	0.180221,	1.14891,	1.14891,	0.157693,	0.180221,	0.202748,	1.80221,	2.23023,	1.17143,	0.0675828,	0.788466,	0.157693,	0.878576,	0.180221,	0.765938,	1.21649,	0.315386,	0.0901104,	0.360442,	0.112638,	1.23902,	2.77089,	0.135166,	0.630773,	2.38793,	0.135166,	0.225276,	1.98243,	0.270331,	3.46925,	0.0901104,	1.48682,	0.337914,	0.856049,	0.337914,	0.0675828,	0.495607,	0.450552,	1.53188,	2.32034,	0.0901104,	0.247804,	0.495607,	0.0450552,	0.112638,	0.112638,	0.225276,	0.0450552,	0.0225276,	0.405497,	0.157693,	0.450552,	1.53188,	
