cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0,	23.7017,	2.3968,	0.798935,	1.59787,	0.665779,	0.932091,	1.86418,	0,	0,	1.33156,	0.266312,	1.73103,	0.798935,	0.932091,	0.932091,	1.46471,	0.532623,	0.399467,	0.133156,	0.932091,	0.532623,	0.399467,	0.532623,	0.532623,	0.399467,	1.06525,	0.532623,	0.399467,	0,	0.133156,	2.66312,	0,	2.26365,	0,	0.399467,	1.99734,	1.59787,	0.532623,	0.133156,	0.532623,	0.665779,	0,	0.532623,	0,	0.133156,	0.665779,	0.133156,	2.26365,	1.06525,	0.266312,	0.399467,	0.266312,	1.06525,	1.99734,	0.665779,	0.266312,	0.798935,	0.133156,	0.932091,	0.665779,	0.798935,	0,	0.532623,	0.133156,	0.133156,	0.266312,	1.06525,	3.99467,	0,	1.1984,	3.86152,	0,	0.399467,	3.59521,	0.266312,	0.798935,	0.133156,	2.52996,	0.798935,	1.06525,	0.532623,	0,	0.133156,	1.59787,	1.46471,	1.46471,	0.133156,	0.665779,	0.399467,	0,	0,	0.665779,	0,	0,	0,	0,	0.133156,	0,	2.26365,	
AoAF,	0,	22.3058,	2.25564,	0.501253,	1.62907,	1.12782,	0.125313,	2.13033,	0.37594,	0.125313,	1.25313,	0.75188,	1.37845,	0.877193,	1.62907,	0.877193,	1.00251,	0.75188,	0.501253,	0.877193,	1.12782,	0.501253,	0.250627,	0.125313,	0.250627,	0.501253,	1.50376,	0.250627,	0.75188,	0,	0.125313,	2.75689,	0,	0.626566,	0.501253,	0.37594,	1.62907,	1.37845,	0.877193,	0.501253,	0.626566,	0.877193,	0.37594,	0.250627,	0,	0.250627,	1.12782,	0.37594,	1.37845,	0.501253,	0.501253,	0.37594,	0.250627,	0.877193,	1.8797,	1.00251,	0.125313,	0.75188,	0,	0.877193,	0.250627,	0.75188,	0.125313,	0.501253,	0.37594,	0.37594,	0.125313,	1.12782,	2.50627,	0.125313,	0.75188,	3.7594,	0,	0,	4.26065,	1.25313,	0.626566,	0,	2.13033,	0.501253,	2.38095,	0.877193,	0,	0.37594,	2.00501,	2.00501,	1.12782,	0,	0.626566,	0.501253,	0,	0.250627,	0.501253,	0,	0.125313,	0.125313,	0.501253,	0.125313,	0,	2.00501,	
CD20+,	0,	25.9053,	1.39276,	0.97493,	1.94986,	0.417827,	0.696379,	1.67131,	0.139276,	0,	0.696379,	1.25348,	2.08914,	0.696379,	1.11421,	0.835655,	0.696379,	0.278552,	0.417827,	0.278552,	1.11421,	0.417827,	0.139276,	0.696379,	0.278552,	0.278552,	1.53203,	0.696379,	0.139276,	0,	0.696379,	2.50696,	0,	2.64624,	0.278552,	0.417827,	2.22841,	2.08914,	0.557103,	0.835655,	0.278552,	0.139276,	0.417827,	0.835655,	0,	0,	0.139276,	0.696379,	1.39276,	0.557103,	0,	0.278552,	0.696379,	0.97493,	1.39276,	1.25348,	0.417827,	0.557103,	0.139276,	0.97493,	0.417827,	0.557103,	0,	0.139276,	0.139276,	0.557103,	0.278552,	1.39276,	2.08914,	0.139276,	0.417827,	5.43176,	0,	0.139276,	2.08914,	0.557103,	1.11421,	0.139276,	2.36769,	1.25348,	1.53203,	0.557103,	0.139276,	0.557103,	2.22841,	1.25348,	0.696379,	0.278552,	0.696379,	0.139276,	0,	0,	0.417827,	0.417827,	0,	0.139276,	0,	0,	0.278552,	1.25348,	
GM06990,	0,	31.0976,	2.28659,	1.37195,	1.21951,	1.06707,	1.52439,	0.304878,	0.457317,	0.152439,	0.609756,	1.37195,	1.37195,	0.152439,	0.762195,	1.52439,	0.762195,	0.152439,	0.457317,	0.152439,	1.67683,	0.457317,	0.457317,	1.06707,	0,	0.609756,	0.609756,	0,	0.152439,	0.152439,	0.152439,	0.762195,	0.457317,	2.13415,	1.06707,	0,	0.762195,	1.98171,	0.152439,	0.457317,	1.21951,	1.52439,	0.304878,	0.152439,	0.304878,	0,	0.152439,	0.152439,	1.37195,	0.609756,	0.152439,	0,	0.152439,	0.762195,	1.82927,	0.762195,	0.152439,	0.609756,	0,	0.457317,	0.304878,	0.914634,	0,	0.609756,	0.152439,	0.457317,	0,	1.52439,	1.82927,	0,	0.762195,	1.67683,	0,	0,	5.18293,	0.609756,	1.21951,	0,	3.20122,	0.304878,	1.37195,	0.609756,	0.152439,	0.457317,	1.06707,	1.67683,	1.37195,	0,	0.457317,	0.152439,	0,	0.152439,	0.152439,	0.762195,	0.457317,	0,	0.152439,	0.152439,	0.304878,	1.21951,	
GM12865,	0.130208,	26.5625,	2.60417,	1.04167,	1.69271,	0.651042,	0.911458,	1.69271,	0.130208,	0,	1.04167,	0.651042,	2.47396,	1.43229,	1.43229,	0.78125,	0.520833,	0.520833,	0.260417,	0.260417,	1.17188,	0.520833,	0.260417,	0.520833,	0,	0,	1.43229,	0.260417,	0.130208,	0.390625,	0.390625,	3.25521,	0,	1.5625,	0.390625,	0.130208,	1.95312,	1.30208,	0.78125,	0.260417,	0.520833,	0.78125,	0.390625,	0.651042,	0,	0,	0.78125,	0.260417,	0.911458,	0.390625,	0.260417,	0.130208,	0.130208,	1.30208,	1.43229,	1.43229,	0.130208,	0.78125,	0,	0.390625,	0.130208,	0.651042,	0.130208,	0.130208,	0.260417,	0.390625,	0.260417,	0.651042,	2.73438,	0.130208,	0.911458,	4.55729,	0.130208,	0.130208,	2.60417,	0.911458,	0.260417,	0,	2.60417,	1.04167,	1.17188,	1.17188,	0,	0.651042,	1.69271,	0.520833,	1.30208,	0.390625,	0.651042,	0.390625,	0.130208,	0,	0.260417,	0,	0,	0.130208,	0.130208,	0,	0,	2.60417,	
H7-hESC,	0,	20.5882,	3.22129,	0.420168,	2.10084,	0.980392,	0.560224,	1.54062,	0.140056,	0.140056,	1.54062,	1.68067,	2.38095,	1.2605,	1.2605,	0.70028,	0.840336,	0,	0.420168,	0.70028,	0.420168,	0.280112,	0,	1.12045,	0,	0,	1.40056,	0.70028,	0.280112,	0.70028,	0.420168,	1.82073,	0,	1.2605,	0.420168,	0.280112,	2.10084,	3.36134,	0.70028,	0.980392,	0.560224,	0.840336,	0.420168,	0.840336,	0,	0.140056,	0.420168,	0,	1.96078,	0.420168,	0.420168,	0.140056,	0.140056,	1.2605,	1.12045,	1.2605,	0.140056,	0.980392,	0,	0.70028,	0.280112,	0.840336,	0,	0.140056,	0.70028,	0.420168,	0.280112,	1.12045,	3.5014,	0,	0.560224,	3.22129,	0.140056,	0.140056,	3.22129,	0.140056,	0.70028,	0,	3.36134,	0.560224,	1.96078,	1.40056,	0.280112,	0.280112,	0.70028,	1.68067,	1.2605,	0.420168,	0.420168,	0.420168,	0.140056,	0,	0.840336,	0.280112,	0,	0.140056,	0.140056,	0.140056,	0.140056,	1.54062,	
HA-h,	0,	19.6822,	1.46699,	1.46699,	1.10024,	0.855746,	1.22249,	1.71149,	0.122249,	0,	1.95599,	0.366748,	1.83374,	1.10024,	1.34474,	0.122249,	0.488998,	0.488998,	1.46699,	0.488998,	1.83374,	0.611247,	0.122249,	0.488998,	0.122249,	0.122249,	1.10024,	0.366748,	0.488998,	0.244499,	0.122249,	2.56724,	0.244499,	1.46699,	0.244499,	0.122249,	2.07824,	1.83374,	1.10024,	0.733496,	0.611247,	0.855746,	0.488998,	0.855746,	0,	0.244499,	0.488998,	0.122249,	1.71149,	0.733496,	0.122249,	0.244499,	0.244499,	0.488998,	1.58924,	1.22249,	0.733496,	0.488998,	0.122249,	0.488998,	1.10024,	0.611247,	0.244499,	0.488998,	0.488998,	1.10024,	0,	1.22249,	2.32274,	0.244499,	1.10024,	3.78973,	0.366748,	0.611247,	2.44499,	0.611247,	0.977995,	0,	2.44499,	0.733496,	0.977995,	1.46699,	0,	0.488998,	2.32274,	1.10024,	2.68949,	0.122249,	0.244499,	0.244499,	0.366748,	0,	0.122249,	0.244499,	0.122249,	0.122249,	0.488998,	0.244499,	0.244499,	2.32274,	
HAEpiC,	0.264901,	24.7682,	3.04636,	0.794702,	1.72185,	1.3245,	0.927152,	1.3245,	0,	0,	1.0596,	0.529801,	1.98676,	0.529801,	1.45695,	1.19205,	1.0596,	0.264901,	0.13245,	0.264901,	1.0596,	0,	0,	0.662252,	0.264901,	0.264901,	1.19205,	0.662252,	0.397351,	0.13245,	0.397351,	3.70861,	0,	1.98676,	0.264901,	0.529801,	1.8543,	1.98676,	0.794702,	0.529801,	0.794702,	0.529801,	0.397351,	0.794702,	0,	0.13245,	0.662252,	0,	2.38411,	0.529801,	0.794702,	0,	0.13245,	1.3245,	1.19205,	1.0596,	0.264901,	1.0596,	0.13245,	0.264901,	0.397351,	0.794702,	0,	0.397351,	0.13245,	0.397351,	0,	1.0596,	2.78146,	0,	1.0596,	2.38411,	0,	0.13245,	1.98676,	0.794702,	1.0596,	0.13245,	3.04636,	0.794702,	1.72185,	1.0596,	0,	0.13245,	2.11921,	1.3245,	1.0596,	0.264901,	0.529801,	0.13245,	0.13245,	0,	0.13245,	0.529801,	0,	0,	0,	0.13245,	0,	1.5894,	
HCF,	0,	24.0372,	1.32802,	0.929615,	1.06242,	1.06242,	0.531209,	0.796813,	0.132802,	0,	0.929615,	0.796813,	1.59363,	0.796813,	0.664011,	0.929615,	0.796813,	0.664011,	0.398406,	0.664011,	1.59363,	0.796813,	0.265604,	0.796813,	0.531209,	0.132802,	0.929615,	0.265604,	0.796813,	0.132802,	0.398406,	2.25764,	0.265604,	1.59363,	0.132802,	0.796813,	1.46082,	1.72643,	1.19522,	0.531209,	0.796813,	1.19522,	0.132802,	0,	0.132802,	0,	0.531209,	0.132802,	1.46082,	0.664011,	0.398406,	0.531209,	0.132802,	1.46082,	1.32802,	0.531209,	0.398406,	0.664011,	0.398406,	1.32802,	0.398406,	1.06242,	0.132802,	0.265604,	0.664011,	0.796813,	0.132802,	0.664011,	3.05445,	0.132802,	0.664011,	3.98406,	0,	0.132802,	3.05445,	1.06242,	0.664011,	0,	2.12483,	1.19522,	1.46082,	0.929615,	0,	0.132802,	2.25764,	0.531209,	3.05445,	0.132802,	0.531209,	0.265604,	0.132802,	0,	0.132802,	0,	0,	0.664011,	0.132802,	0.265604,	0.265604,	1.99203,	
HCM,	0,	26.6129,	2.68817,	0.94086,	2.28495,	1.6129,	0.672043,	1.20968,	0.134409,	0,	0.537634,	0.403226,	2.01613,	0.806452,	1.6129,	0.94086,	1.07527,	0.268817,	0.806452,	0.403226,	0.94086,	0.537634,	0,	0.537634,	0.268817,	0.268817,	0.806452,	0.94086,	0.672043,	0.403226,	0.268817,	2.41935,	0.134409,	1.6129,	0,	0.403226,	2.55376,	1.74731,	0.268817,	0.134409,	1.07527,	0.806452,	0,	0.537634,	0,	0.134409,	1.07527,	0.403226,	1.74731,	0.806452,	0.134409,	0.268817,	0.268817,	0.94086,	1.74731,	1.20968,	0.134409,	0.537634,	0,	0.403226,	0.403226,	1.20968,	0,	0.537634,	0.134409,	0.537634,	0.268817,	0.268817,	2.68817,	0.134409,	0.806452,	3.0914,	0.134409,	0,	3.49462,	1.20968,	0.134409,	0,	1.88172,	0.806452,	1.07527,	0.537634,	0,	0.672043,	1.47849,	0.672043,	2.41935,	0.537634,	0.268817,	0.134409,	0,	0,	0.134409,	0.134409,	0,	0.134409,	0.268817,	0,	0,	1.6129,	
