cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.344065,	15.7901,	1.47456,	0.798722,	2.08897,	0.405505,	0.68813,	1.49914,	0.823298,	0.172032,	0.700418,	1.46228,	0.540673,	1.20423,	0.221185,	1.47456,	0.393217,	0.589826,	1.29024,	0.18432,	1.20423,	1.6466,	0.614402,	0.81101,	0.737282,	0.724994,	0.68813,	0.319489,	0.602114,	0.0860162,	0.221185,	1.40084,	0.208897,	1.83092,	0.786434,	1.65888,	1.26567,	2.64193,	0.712706,	0.946178,	0.995331,	0.897026,	0.282625,	0.405505,	0.368641,	0.393217,	0.258049,	0.282625,	2.28557,	0.307201,	0.847874,	0.159744,	0.135168,	1.31482,	1.9538,	1.35168,	0.565249,	0.245761,	0.0614402,	0.393217,	0.995331,	0.700418,	0.540673,	0.417793,	0.282625,	0.995331,	0.012288,	0.430081,	3.04743,	0.294913,	0.528385,	1.68346,	0.208897,	0.245761,	3.56353,	0.897026,	2.45761,	0.159744,	3.64955,	0.958466,	2.00295,	0.74957,	0.0491521,	0.221185,	1.10592,	1.27796,	2.29786,	0.221185,	0.884738,	0.110592,	0.245761,	0.356353,	0.0983042,	0.528385,	0.503809,	0.0368641,	0.319489,	0.589826,	0.565249,	1.00762,	
AoAF,	0.19756,	14.8518,	1.61534,	0.801859,	1.88263,	0.395119,	0.70889,	2.14991,	0.825102,	0.0348635,	0.813481,	1.22022,	0.441604,	1.34805,	0.267286,	1.15049,	0.476467,	0.894829,	1.19698,	0.209181,	1.31319,	1.54561,	0.813481,	0.546194,	0.650784,	0.674027,	0.615921,	0.534573,	0.418361,	0.0813481,	0.19756,	1.49913,	0.0581058,	1.89425,	0.70889,	1.83614,	1.54561,	2.61476,	0.534573,	0.685648,	1.03428,	1.24346,	0.476467,	0.325392,	0.348635,	0.232423,	0.348635,	0.185938,	1.88263,	0.209181,	0.976177,	0.116212,	0.278908,	1.16211,	2.51017,	1.49913,	0.557815,	0.220802,	0.0581058,	0.244044,	1.12725,	0.743754,	0.441604,	0.441604,	0.30215,	1.15049,	0.0348635,	0.650784,	3.04474,	0.174317,	0.499709,	1.85938,	0.19756,	0.185938,	4.0093,	0.859965,	2.12667,	0.174317,	3.31203,	1.32481,	2.05694,	0.639163,	0.0348635,	0.127833,	1.47589,	1.28995,	2.52179,	0.383498,	0.732132,	0.162696,	0.174317,	0.325392,	0.0929692,	0.325392,	0.383498,	0.0348635,	0.360256,	0.697269,	0.325392,	1.03428,	
CD20+,	0.281012,	22.0126,	1.47197,	0.789509,	2.98408,	0.214104,	0.615549,	0.829653,	0.628931,	0.160578,	0.414827,	1.65931,	0.735983,	0.80289,	0.227486,	1.63254,	0.26763,	0.401445,	0.97685,	0.107052,	0.816272,	1.00361,	0.883179,	1.3783,	0.562023,	0.602168,	0.388064,	0.307775,	0.454971,	0.0936705,	0.120434,	0.990232,	0.26763,	2.24809,	0.722601,	1.25786,	0.883179,	3.11789,	0.468353,	1.03038,	0.642312,	0.896561,	0.133815,	0.26763,	0.254249,	0.281012,	0.214104,	0.147197,	2.15442,	0.361301,	0.240867,	0.107052,	0.200723,	1.19095,	1.17757,	1.2311,	0.642312,	0.227486,	0.026763,	0.428208,	0.936705,	0.642312,	0.495116,	0.548642,	0.17396,	0.642312,	0.053526,	0.869798,	2.6763,	0.374682,	0.508497,	1.98046,	0.240867,	0.281012,	4.20179,	0.44159,	3.41228,	0.120434,	3.93416,	0.307775,	1.36491,	0.508497,	0.0669075,	0.133815,	0.883179,	1.52549,	2.1009,	0.147197,	0.856416,	0.187341,	0.107052,	0.254249,	0.0936705,	0.481734,	0.454971,	0.0669075,	0.240867,	0.562023,	0.428208,	1.05714,	
GM06990,	0.272433,	29.8314,	1.4473,	1.1919,	2.2646,	0.425677,	0.664056,	0.732164,	0.0681083,	0.102162,	0.136217,	2.00919,	2.99676,	0.561893,	0.766218,	1.29406,	0.28946,	0.170271,	0.272433,	0.340541,	0.766218,	0.595948,	0.238379,	1.56649,	0.136217,	0.323514,	0.306487,	0.527839,	0.510812,	0.561893,	0.136217,	1.31108,	0.374596,	2.84352,	0.715137,	0.28946,	1.17487,	1.41325,	0.40865,	1.12379,	0.40865,	1.20892,	0.204325,	0.238379,	0.0510812,	0.0340541,	0.306487,	0.340541,	1.87298,	0.442704,	0.153244,	0.136217,	0.715137,	1.24298,	0.902435,	0.868381,	0.357569,	0.749191,	0.102162,	0.800272,	0.153244,	0.510812,	0.136217,	0.306487,	0.0851354,	0.493785,	0.11919,	1.12379,	2.40082,	0.0340541,	0.221352,	2.00919,	0.11919,	0.510812,	5.58488,	0.28946,	1.66865,	0.0170271,	2.52001,	0.170271,	0.187298,	0.153244,	0,	0.612975,	1.14081,	1.34514,	1.29406,	0.11919,	0.442704,	0.57892,	0.0851354,	0.0851354,	0.936489,	0.612975,	0.0681083,	0.272433,	0.0510812,	0.0851354,	0.170271,	0.98757,	
GM12865,	0.190913,	20.5804,	1.74367,	0.878198,	2.43095,	0.30546,	0.547283,	1.08184,	0.66183,	0.165458,	0.420008,	1.33639,	1.10729,	0.840015,	0.280005,	1.31093,	0.381825,	0.521828,	1.19639,	0.25455,	0.980018,	1.10729,	0.66183,	0.96729,	0.521828,	0.687285,	0.381825,	0.483645,	0.445463,	0.0890925,	0.30546,	1.55276,	0.241823,	2.35459,	0.521828,	1.40003,	1.34912,	2.72369,	0.56001,	0.890925,	0.61092,	0.725468,	0.178185,	0.381825,	0.318188,	0.216368,	0.165458,	0.20364,	2.18913,	0.292733,	0.496373,	0.127275,	0.178185,	1.29821,	1.51457,	1.23457,	0.445463,	0.216368,	0.0890925,	0.420008,	0.954563,	0.40728,	0.445463,	0.483645,	0.127275,	0.980018,	0.0127275,	0.96729,	3.38552,	0.140003,	0.470918,	2.27822,	0.178185,	0.267278,	3.7037,	0.56001,	2.52005,	0.140003,	3.60188,	0.61092,	1.42548,	0.5091,	0.0127275,	0.15273,	0.852743,	1.54003,	2.63459,	0.165458,	0.585465,	0.178185,	0.114548,	0.318188,	0.140003,	0.381825,	0.318188,	0.025455,	0.292733,	0.432735,	0.521828,	1.40003,	
H7-hESC,	0.10917,	17.2368,	1.88016,	0.739932,	1.8559,	0.400291,	0.570112,	2.0985,	0.667152,	0.16982,	0.691412,	1.28578,	0.436681,	1.22513,	0.303251,	1.29791,	0.424551,	0.691412,	1.26152,	0.1213,	1.15235,	1.27365,	0.824842,	0.715672,	0.497331,	0.764192,	0.412421,	0.642892,	0.254731,	0.0363901,	0.254731,	1.6982,	0.15769,	2.26832,	0.582242,	1.61329,	1.46773,	2.54731,	0.715672,	0.727802,	0.934013,	1.07957,	0.266861,	0.388161,	0.339641,	0.303251,	0.278991,	0.303251,	1.78312,	0.363901,	0.606502,	0.16982,	0.15769,	1.14022,	2.01359,	1.46773,	0.473071,	0.266861,	0.0727802,	0.278991,	1.0917,	0.630762,	0.533722,	0.424551,	0.230471,	1.15235,	0.01213,	0.861232,	3.27511,	0.15769,	0.533722,	2.02572,	0.242601,	0.327511,	4.00291,	0.897622,	2.00146,	0.13343,	3.29937,	1.07957,	1.54051,	0.557982,	0.0242601,	0.181951,	0.982533,	1.49199,	2.76565,	0.278991,	0.691412,	0.218341,	0.0485201,	0.266861,	0.0485201,	0.545852,	0.291121,	0.0727802,	0.327511,	0.448811,	0.497331,	1.04318,	
HA-h,	0.505902,	11.0062,	1.45025,	1.14671,	1.56268,	0.539629,	1.0905,	1.82125,	1.19168,	0.157392,	0.753232,	1.06802,	0.528387,	1.24789,	0.337268,	0.921866,	0.528387,	0.786959,	1.42777,	0.258572,	1.15795,	1.5964,	1.39404,	0.505902,	0.685779,	0.730748,	0.629567,	0.472175,	0.427206,	0.191119,	0.449691,	1.19168,	0.258572,	1.64137,	0.978078,	1.9674,	1.13547,	2.40585,	0.674536,	0.584598,	1.05677,	1.24789,	0.573356,	0.573356,	0.483418,	0.573356,	0.370995,	0.404722,	1.58516,	0.49466,	0.685779,	0.258572,	0.415964,	1.18044,	2.14727,	1.64137,	0.98932,	0.269815,	0.0786959,	0.382237,	1.29286,	0.978078,	0.607083,	0.607083,	0.505902,	1.13547,	0.0337268,	0.708263,	2.02361,	0.303541,	0.539629,	1.47274,	0.483418,	0.49466,	3.67622,	0.955593,	2.45081,	0.337268,	3.73243,	0.775717,	1.77628,	0.663294,	0.0449691,	0.292299,	1.37156,	1.54019,	2.2597,	0.359753,	0.944351,	0.202361,	0.202361,	0.269815,	0.236088,	0.59584,	0.674536,	0.112423,	0.505902,	0.809443,	0.483418,	0.719505,	
HAEpiC,	0.0865159,	15.4493,	1.44605,	0.766284,	2.02694,	0.383142,	0.617971,	1.90335,	0.828081,	0.197751,	0.902237,	1.13707,	0.519095,	1.06291,	0.222469,	1.3101,	0.679768,	0.63033,	1.47077,	0.197751,	1.35954,	1.50785,	0.519095,	0.679768,	0.63033,	1.05055,	0.506736,	0.407861,	0.321345,	0.0370782,	0.271907,	1.29774,	0.135954,	2.08874,	0.494376,	1.92807,	1.32246,	2.73143,	0.729205,	0.63033,	0.939315,	0.865159,	0.395501,	0.531455,	0.333704,	0.234829,	0.308985,	0.296626,	2.31121,	0.222469,	0.791002,	0.197751,	0.123594,	1.29774,	1.75504,	1.56965,	0.617971,	0.370782,	0.0988753,	0.358423,	0.877518,	0.642689,	0.444939,	0.42022,	0.370782,	1.19886,	0.0123594,	0.778643,	3.44828,	0.284266,	0.617971,	2.07638,	0.222469,	0.21011,	3.78198,	1.1865,	1.63144,	0.135954,	3.39884,	1.37189,	1.91571,	0.617971,	0.0123594,	0.111235,	1.13707,	1.38425,	2.57076,	0.346064,	0.753924,	0.160672,	0.111235,	0.21011,	0.123594,	0.346064,	0.457298,	0.0741565,	0.333704,	0.494376,	0.358423,	1.26066,	
HCF,	0.265284,	15.0006,	1.53141,	0.856144,	2.0258,	0.530568,	0.699385,	1.5073,	0.892319,	0.180875,	0.819969,	1.13349,	0.566743,	1.18172,	0.204992,	1.36259,	0.397926,	0.711443,	1.36259,	0.156759,	1.1576,	1.61582,	0.868202,	0.614976,	0.675268,	0.578801,	0.627035,	0.494393,	0.627035,	0.0723502,	0.373809,	1.47112,	0.204992,	2.31521,	0.868202,	1.55553,	1.07319,	2.73725,	0.675268,	0.832027,	1.09731,	1.08525,	0.289401,	0.434101,	0.325576,	0.241167,	0.277342,	0.229109,	2.0258,	0.253226,	0.771735,	0.132642,	0.192934,	1.10937,	1.9414,	1.45906,	0.80791,	0.277342,	0.0361751,	0.409984,	1.21789,	0.66321,	0.458218,	0.66321,	0.385868,	1.02496,	0.0482334,	0.80791,	3.19547,	0.265284,	0.434101,	1.77258,	0.277342,	0.289401,	3.08694,	0.964669,	2.29109,	0.168817,	3.54516,	1.0129,	1.98963,	0.59086,	0.0482334,	0.217051,	1.25407,	1.43495,	2.36344,	0.301459,	0.687327,	0.120584,	0.168817,	0.494393,	0.108525,	0.530568,	0.51851,	0.0602918,	0.217051,	0.614976,	0.397926,	1.08525,	
HCM,	0.305474,	14.7727,	1.53959,	0.83089,	1.96725,	0.329912,	0.537634,	1.64956,	0.806452,	0.171065,	0.904203,	1.17302,	0.562072,	1.25855,	0.35435,	1.1608,	0.391007,	0.562072,	1.38074,	0.134409,	1.19746,	1.31965,	0.720919,	0.757576,	0.733138,	0.684262,	0.928641,	0.513197,	0.647605,	0.0977517,	0.378788,	1.55181,	0.134409,	1.80841,	0.733138,	1.69844,	1.27077,	2.81036,	0.745357,	0.720919,	1.1608,	1.02639,	0.281036,	0.452102,	0.35435,	0.293255,	0.329912,	0.317693,	2.24829,	0.281036,	0.782014,	0.183284,	0.183284,	1.09971,	1.90616,	1.40518,	0.794233,	0.329912,	0.171065,	0.464321,	1.20968,	0.745357,	0.58651,	0.403226,	0.342131,	1.07527,	0.0244379,	0.672043,	3.0303,	0.195503,	0.598729,	1.72287,	0.35435,	0.158847,	3.44575,	1.01417,	2.15054,	0.207722,	3.59238,	0.928641,	2.10166,	0.623167,	0.0366569,	0.158847,	1.28299,	1.14858,	2.3827,	0.427664,	0.7087,	0.109971,	0.207722,	0.256598,	0.134409,	0.415445,	0.47654,	0.109971,	0.415445,	0.610948,	0.525415,	1.09971,	
