cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0676133,	20.4598,	3.73225,	2.25828,	2.00135,	0.676133,	0.297498,	0.148749,	0.175794,	0.148749,	0.486815,	0.946586,	1.14943,	0.594997,	0.91954,	1.36579,	1.39283,	0.581474,	0.770791,	1.21704,	1.83908,	0.513861,	0.824882,	2.29885,	0.121704,	0.311021,	0.148749,	1.06829,	0.0540906,	0.0946586,	0.91954,	0.66261,	0.757268,	0.811359,	1.3117,	0.283976,	0.878972,	3.02907,	1.7309,	1.8526,	0.811359,	0.432725,	0.243408,	1.23056,	0.148749,	0.0676133,	0.446247,	0.189317,	1.09533,	1.35227,	0.635565,	0.189317,	0.446247,	2.23124,	1.1359,	0.622042,	0.0676133,	0.45977,	0.0270453,	0.851927,	0.0270453,	0.906018,	1.35227,	0.743746,	0.283976,	0.351589,	0.0135227,	2.04192,	1.7309,	0.0811359,	0.324544,	2.7451,	0.0540906,	0.378634,	2.77214,	0.567951,	2.63692,	0.324544,	0.45977,	0.581474,	0.135227,	0.0135227,	0.148749,	0.351589,	0.351589,	1.56863,	2.0284,	0,	1.0142,	0.770791,	0.0135227,	0.108181,	0.432725,	0.419202,	0.0811359,	0.0135227,	0.20284,	0.0946586,	0.676133,	1.6092,	
AoAF,	0.0885068,	18.4979,	4.75408,	2.36439,	1.85864,	0.771273,	0.328739,	0.214945,	0.214945,	0.202301,	0.632191,	0.69541,	1.28967,	0.69541,	0.872424,	1.1253,	1.28967,	0.973574,	0.644835,	0.897711,	1.99772,	0.455178,	0.935643,	2.14945,	0.126438,	0.42989,	0.202301,	1.4414,	0.0758629,	0.0758629,	0.809205,	0.619547,	0.910355,	0.85978,	1.23909,	0.16437,	0.973574,	2.31382,	1.78278,	2.01037,	0.821849,	0.720698,	0.42989,	1.49197,	0.139082,	0.0885068,	0.366671,	0.139082,	0.872424,	1.36553,	0.619547,	0.303452,	0.379315,	2.47819,	1.35289,	0.568972,	0.0758629,	0.531041,	0,	0.948287,	0.151726,	1.11266,	1.78278,	0.531041,	0.303452,	0.341383,	0.0505753,	1.97244,	1.41611,	0.101151,	0.404602,	2.60463,	0.0758629,	0.240233,	2.60463,	0.568972,	2.70578,	0.442534,	0.442534,	0.847136,	0.16437,	0.126438,	0.0758629,	0.568972,	0.316096,	1.23909,	2.06094,	0.0252876,	1.11266,	0.720698,	0.0379315,	0.0885068,	0.455178,	0.417246,	0.0885068,	0.0126438,	0.214945,	0.101151,	0.632191,	1.16323,	
CD20+,	0.082291,	30.5958,	2.41935,	1.3002,	2.36998,	0.394997,	0.279789,	0.213957,	0.0658328,	0.197498,	0.444371,	1.94207,	2.12311,	0.18104,	0.329164,	1.94207,	0.427913,	0.246873,	0.592495,	0.740619,	1.05332,	0.296248,	0.394997,	3.15997,	0.0493746,	0.115207,	0.148124,	0.674786,	0.0658328,	0.082291,	0.427913,	0.674786,	0.411455,	1.38249,	1.76103,	0.263331,	0.740619,	4.36142,	0.691244,	2.12311,	0.246873,	0.329164,	0.148124,	0.394997,	0.0658328,	0.0164582,	0.148124,	0.115207,	1.77749,	0.773535,	0.378539,	0.312706,	0.0987492,	1.53061,	0.576037,	0.658328,	0.0493746,	0.329164,	0.0329164,	0.592495,	0.082291,	0.608953,	0.526662,	0.608953,	0.115207,	0.131666,	0,	1.69519,	1.97498,	0.0658328,	0.296248,	3.48914,	0.082291,	0.164582,	3.09414,	0.213957,	3.34101,	0.246873,	0.64187,	0.246873,	0.082291,	0.0658328,	0.0329164,	0.164582,	0.0987492,	1.13562,	1.72811,	0,	0.411455,	0.115207,	0.0658328,	0.0987492,	0.576037,	0.394997,	0.082291,	0.0164582,	0.082291,	0.0164582,	0.625411,	2.23831,	
GM06990,	0.128949,	33.8921,	2.55749,	1.09607,	2.96583,	0.193424,	0.42983,	0.128949,	0.257898,	0.128949,	0.107458,	2.60047,	4.0404,	0.128949,	0.687728,	1.37546,	0.795186,	0.085966,	0.236407,	0.322373,	0.27939,	0.257898,	0.150441,	1.33247,	0.042983,	0.27939,	0.236407,	0.752203,	0.27939,	0.27939,	0.128949,	0.27939,	0.967118,	3.22373,	0.408339,	0.107458,	0.558779,	2.14915,	0.322373,	2.75091,	0.257898,	0.42983,	0.0644745,	0.0644745,	0.0644745,	0.042983,	0.0214915,	0.171932,	2.64346,	0.322373,	0.042983,	0.128949,	0.214915,	1.46142,	0.365356,	0.322373,	0.128949,	0.365356,	0.257898,	0.945626,	0.42983,	0.816677,	0.193424,	0.537288,	0.0644745,	0.171932,	0,	1.65485,	1.16054,	0.107458,	0.408339,	2.19213,	0,	0.107458,	3.30969,	0.171932,	2.45003,	0.042983,	2.64346,	0.193424,	0.644745,	0.193424,	0,	0.472813,	0.687728,	0.666237,	1.7838,	0.0214915,	0.451322,	0.193424,	0.0214915,	0.0644745,	0.580271,	0.236407,	0,	0.128949,	0,	0.085966,	0.150441,	1.69783,	
GM12865,	0.090566,	27.7434,	2.97358,	1.37358,	2.29434,	0.543396,	0.181132,	0.226415,	0.090566,	0.10566,	0.422641,	1.63019,	2.20377,	0.467925,	0.362264,	1.40377,	0.724528,	0.332075,	0.528302,	0.69434,	0.920755,	0.316981,	0.588679,	2.9434,	0.0754717,	0.196226,	0.135849,	0.890566,	0.10566,	0.0603774,	0.362264,	0.573585,	0.498113,	1.37358,	1.16226,	0.286792,	0.860377,	3.87925,	1.11698,	2.1434,	0.301887,	0.588679,	0.135849,	0.528302,	0.090566,	0.0754717,	0.226415,	0.150943,	1.76604,	0.8,	0.407547,	0.10566,	0.181132,	1.84151,	0.8,	0.603774,	0.045283,	0.407547,	0.0603774,	0.588679,	0.181132,	0.754717,	0.830189,	0.588679,	0.226415,	0.196226,	0,	2.20377,	1.82642,	0.10566,	0.332075,	3.26038,	0.0150943,	0.316981,	2.9434,	0.241509,	3.15472,	0.181132,	0.966038,	0.211321,	0.196226,	0.0603774,	0.0754717,	0.090566,	0.286792,	1.49434,	2.05283,	0,	0.498113,	0.407547,	0.0150943,	0.090566,	0.45283,	0.437736,	0.0603774,	0.0301887,	0.150943,	0.0603774,	0.649057,	1.76604,	
H7-hESC,	0.157098,	22.7364,	4.28449,	2.15653,	2.02799,	0.814053,	0.299914,	0.199943,	0.185661,	0.285633,	0.314196,	1.28535,	1.89946,	0.556984,	0.728363,	1.31391,	0.956869,	0.556984,	0.642674,	0.814053,	1.37104,	0.428449,	0.771208,	2.52785,	0.0999714,	0.199943,	0.0856898,	1.0854,	0.0571265,	0.0142816,	0.585547,	0.685518,	0.814053,	1.38532,	1.25678,	0.128535,	0.571265,	3.09911,	1.65667,	2.28506,	0.328478,	0.385604,	0.17138,	0.856898,	0.114253,	0.0428449,	0.285633,	0.185661,	1.49957,	0.856898,	0.399886,	0.185661,	0.242788,	2.21365,	0.6998,	0.61411,	0.0428449,	0.471294,	0.0142816,	0.771208,	0.114253,	0.756927,	1.09969,	0.52842,	0.228506,	0.185661,	0.0571265,	1.99943,	1.59954,	0.0999714,	0.342759,	3.19909,	0.0571265,	0.357041,	2.72779,	0.342759,	3.55613,	0.199943,	0.342759,	0.671237,	0.0428449,	0.114253,	0.142816,	0.328478,	0.257069,	1.15681,	2.11368,	0.0428449,	0.671237,	0.685518,	0,	0.0999714,	0.428449,	0.499857,	0.0285633,	0.0571265,	0.399886,	0.0856898,	0.714082,	1.95658,	
HA-h,	0.224215,	16.7539,	4.40957,	2.72795,	1.84355,	0.62282,	0.261584,	0.286497,	0.199302,	0.298954,	0.834579,	0.871948,	1.39512,	0.510713,	0.959143,	0.834579,	1.38266,	0.647733,	0.909317,	1.30792,	1.856,	0.535625,	0.909317,	2.51619,	0.062282,	0.4858,	0.286497,	1.05879,	0.0373692,	0.0996512,	1.34529,	0.747384,	1.22073,	0.809666,	1.69407,	0.261584,	0.946687,	3.72446,	1.63179,	1.23318,	0.996512,	0.560538,	0.373692,	1.4574,	0.161933,	0.062282,	0.336323,	0.261584,	0.610364,	1.32038,	0.79721,	0.435974,	0.572995,	2.54111,	1.09616,	0.685102,	0.124564,	0.435974,	0.062282,	0.884405,	0.112108,	1.07125,	1.42003,	0.722471,	0.249128,	0.286497,	0.0747384,	2.10513,	0.996512,	0.112108,	0.423518,	2.69058,	0.112108,	0.274041,	1.89337,	0.697559,	2.80269,	0.747384,	0.31141,	0.647733,	0.149477,	0.13702,	0.0996512,	0.647733,	0.361236,	1.10862,	1.73144,	0,	0.884405,	0.435974,	0.0747384,	0.199302,	0.697559,	0.498256,	0.0996512,	0.0996512,	0.211759,	0.149477,	0.747384,	1.39512,	
HAEpiC,	0.0953419,	20.1852,	4.72623,	2.76491,	2.11114,	0.626532,	0.217924,	0.177063,	0.190684,	0.217924,	0.558431,	0.858077,	1.41651,	0.626532,	0.885317,	1.19858,	1.48461,	0.735494,	0.749115,	1.0079,	1.62081,	0.422228,	0.912558,	2.53337,	0.149823,	0.476709,	0.149823,	1.43013,	0.0272405,	0.0408608,	0.735494,	0.640153,	0.980659,	0.858077,	1.06238,	0.149823,	0.708254,	2.16562,	2.23372,	1.72977,	0.735494,	0.463089,	0.326886,	1.26668,	0.0544811,	0.0817216,	0.204304,	0.245165,	0.817216,	1.36203,	0.50395,	0.245165,	0.217924,	2.42441,	1.15772,	0.544811,	0.0544811,	0.51757,	0.0136203,	0.926178,	0.0681013,	0.939798,	1.41651,	0.476709,	0.231545,	0.272405,	0.0544811,	1.8796,	1.10324,	0.108962,	0.53119,	2.41079,	0.0544811,	0.231545,	2.66957,	0.435849,	3.18714,	0.313266,	0.286026,	0.762735,	0.0544811,	0.149823,	0.149823,	0.476709,	0.435849,	1.10324,	1.96132,	0.0272405,	1.23944,	0.572051,	0.0136203,	0.108962,	0.408608,	0.572051,	0.0272405,	0.0817216,	0.286026,	0.0817216,	0.871697,	1.92046,	
HCF,	0.0671592,	20.2552,	4.31162,	2.28341,	2.05507,	0.765615,	0.228341,	0.228341,	0.214909,	0.241773,	0.604433,	0.926797,	1.39691,	0.416387,	0.886501,	1.2223,	1.24916,	0.725319,	0.698455,	0.993956,	1.98791,	0.577569,	0.698455,	2.53862,	0.120886,	0.36266,	0.201478,	1.08798,	0.0940228,	0.0940228,	0.886501,	0.644728,	0.80591,	1.27602,	1.38348,	0.228341,	1.08798,	2.72666,	1.61182,	1.71927,	0.940228,	0.483546,	0.2955,	1.03425,	0.120886,	0.080591,	0.429819,	0.228341,	1.15514,	1.28946,	0.738751,	0.282068,	0.322364,	2.14909,	1.182,	0.591001,	0.0671592,	0.550705,	0.0134318,	0.940228,	0.080591,	0.95366,	1.32975,	0.617864,	0.228341,	0.255205,	0.0537273,	1.88046,	1.78643,	0.0402955,	0.322364,	2.56548,	0.0402955,	0.36266,	2.05507,	0.604433,	2.63264,	0.322364,	0.671592,	0.711887,	0.174614,	0.0940228,	0.0402955,	0.496978,	0.36266,	1.19543,	1.93418,	0.0134318,	0.832774,	0.483546,	0.0671592,	0.188046,	0.470114,	0.402955,	0.0537273,	0.0402955,	0.2955,	0.134318,	0.725319,	1.67898,	
HCM,	0.108918,	20.6535,	4.34309,	2.47788,	1.90606,	0.626276,	0.217835,	0.245065,	0.176991,	0.176991,	0.585432,	0.912185,	1.17086,	0.612662,	0.721579,	1.0211,	1.47039,	0.789653,	0.639891,	1.14364,	1.68822,	0.422056,	0.735194,	2.08305,	0.149762,	0.530973,	0.176991,	1.22532,	0.0408441,	0.0272294,	0.680735,	0.789653,	0.939415,	0.953029,	1.11641,	0.217835,	0.844112,	2.76378,	1.78353,	1.76991,	1.08918,	0.408441,	0.367597,	1.34786,	0.163376,	0.0953029,	0.313138,	0.149762,	1.27978,	1.2934,	0.585432,	0.340368,	0.517359,	2.32811,	1.27978,	0.844112,	0.0272294,	0.639891,	0.0136147,	0.89857,	0.0408441,	0.789653,	1.49762,	0.340368,	0.204221,	0.299524,	0.0680735,	1.86521,	1.49762,	0.0953029,	0.435671,	2.89993,	0.0544588,	0.449285,	2.42342,	0.476515,	2.45065,	0.285909,	0.4629,	0.626276,	0.0953029,	0.0544588,	0.0816882,	0.449285,	0.285909,	1.36147,	1.91967,	0,	0.857726,	0.599047,	0.0136147,	0.23145,	0.517359,	0.449285,	0.0408441,	0.0544588,	0.299524,	0.136147,	0.707965,	1.66099,	
