cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.164266,	21.6957,	1.65529,	1.18777,	2.08491,	0.593884,	0.416983,	0.796058,	0.315896,	0.101087,	0.315896,	2.04701,	4.04347,	0.353803,	1.12459,	1.68057,	1.17513,	0.0884508,	0.429618,	0.113723,	0.416983,	0.353803,	0.202173,	0.505433,	0.176902,	0.265353,	0.682335,	0.240081,	1.17513,	1.12459,	0.126358,	1.42785,	0.543341,	2.75461,	0.189538,	0.315896,	2.02173,	0.985595,	0.328532,	1.37731,	0.30326,	0.859237,	0.277988,	0.126358,	0.101087,	0.227445,	0.0631792,	0.277988,	3.24741,	0.391711,	0.0126358,	0.0379075,	0.90978,	1.73111,	0.530705,	1.18777,	0.416983,	0.985595,	0.366439,	0.859237,	0.631792,	1.32676,	0.189538,	0.619156,	0.0379075,	0.391711,	0.176902,	1.23831,	2.3629,	0.240081,	1.41521,	1.41521,	0.0126358,	0.15163,	1.42785,	0.581248,	0.897144,	0.0126358,	3.63912,	0.404347,	2.33763,	0.631792,	0.0252717,	1.52894,	2.38817,	2.31236,	1.5163,	0.126358,	0.379075,	0.593884,	0.0631792,	0.075815,	0.227445,	0.0379075,	0.0505433,	0.379075,	0.214809,	0.164266,	0.126358,	1.13723,	
AoAF,	0.0708466,	22.0451,	1.61766,	1.25162,	2.13721,	0.578581,	0.42508,	0.684851,	0.31881,	0.0472311,	0.271579,	1.6767,	3.23533,	0.507734,	1.47597,	1.45236,	1.68851,	0.0826544,	0.472311,	0.0590388,	0.602196,	0.507734,	0.283386,	0.460503,	0.141693,	0.389656,	0.956429,	0.188924,	0.732082,	0.767505,	0.129885,	1.91286,	0.495926,	2.83386,	0.177117,	0.342425,	2.11359,	0.861967,	0.31881,	1.09812,	0.377849,	1.05089,	0.307002,	0.153501,	0.0944622,	0.129885,	0.0472311,	0.295194,	2.79844,	0.283386,	0.0472311,	0.129885,	0.991853,	2.18444,	0.614004,	1.25162,	0.413272,	1.25162,	0.366041,	0.814736,	0.566773,	1.29885,	0.224348,	0.543157,	0.0472311,	0.602196,	0.118078,	1.59405,	1.94828,	0.153501,	1.20439,	1.20439,	0.0472311,	0.236155,	1.53501,	0.802928,	0.767505,	0.0118078,	2.71579,	0.519542,	2.06636,	0.566773,	0.0236155,	1.47597,	2.82206,	2.42059,	1.84201,	0.165309,	0.53135,	0.980045,	0.0708466,	0.0944622,	0.247963,	0.0826544,	0.0354233,	0.389656,	0.200732,	0.0472311,	0.0826544,	0.696658,	
CD20+,	0.132048,	24.1252,	1.9279,	0.924336,	2.69378,	0.950746,	0.396144,	1.06959,	0.290506,	0.118843,	0.184867,	2.23161,	3.53889,	0.541397,	0.858312,	1.72983,	0.871517,	0.105638,	0.290506,	0.118843,	0.316915,	0.224482,	0.343325,	0.805493,	0.066024,	0.250891,	0.409349,	0.290506,	0.66024,	0.581011,	0.211277,	1.76944,	0.435759,	2.64096,	0.184867,	0.382939,	1.9279,	1.17523,	0.237687,	1.3733,	0.316915,	0.805493,	0.448963,	0.0924336,	0.171662,	0.211277,	0.0792288,	0.343325,	2.81262,	0.237687,	0.0396144,	0.105638,	0.607421,	1.67701,	0.514987,	1.34689,	0.211277,	1.20164,	0.303711,	0.765879,	0.475373,	1.21484,	0.0924336,	0.448963,	0.0264096,	0.316915,	0.0924336,	1.1092,	3.45966,	0.184867,	1.24125,	1.43932,	0.0396144,	0.171662,	1.70342,	0.514987,	1.45253,	0.0528192,	3.77657,	0.198072,	1.43932,	0.501783,	0.0132048,	0.871517,	1.30728,	2.70699,	1.69022,	0.0792288,	0.554602,	0.462168,	0.0792288,	0.132048,	0.224482,	0.105638,	0.0132048,	0.264096,	0.237687,	0.132048,	0.171662,	1.32048,	
GM06990,	0.115493,	28.4606,	1.12193,	0.808447,	1.89738,	0.808447,	0.346477,	0.379475,	0.263983,	0.428972,	0.412473,	1.83138,	1.07243,	0.247484,	0.379475,	1.84788,	0.511467,	0.280482,	0.395974,	0.230985,	0.824946,	1.13843,	0.758951,	1.08893,	0.164989,	0.346477,	0.31348,	0.31348,	0.0659957,	0.0824946,	0.544465,	1.96337,	0.214486,	2.78832,	0.412473,	0.346477,	0.874443,	2.57383,	0.676456,	1.20442,	0.527966,	1.5179,	0.280482,	0.511467,	0.0824946,	0.247484,	0.115493,	0.0494968,	1.99637,	0.395974,	0.46197,	0.0989936,	0.214486,	1.97987,	1.4684,	1.13843,	0.0329979,	0.14849,	0.0329979,	0.676456,	0.247484,	0.659957,	0.247484,	0.676456,	0.230985,	0.857944,	0.0329979,	1.17142,	2.49134,	0.115493,	0.164989,	3.76176,	0.214486,	0.478469,	4.5537,	0.527966,	2.50784,	0.197987,	1.17142,	0.14849,	0.346477,	0.0494968,	0.0494968,	0.247484,	0.247484,	1.36941,	2.62333,	0.0329979,	0.676456,	0.214486,	0.0659957,	0.0659957,	0.0824946,	1.13843,	0.0659957,	0.0164989,	0.181488,	0.131991,	0.197987,	1.22092,	
GM12865,	0.0998752,	22.8464,	1.69788,	1.09863,	2.74657,	0.649189,	0.524345,	0.499376,	0.399501,	0.0873908,	0.436954,	1.67291,	3.99501,	0.661673,	0.93633,	1.83521,	1.1236,	0.0873908,	0.399501,	0.212235,	0.411985,	0.499376,	0.274657,	0.861423,	0.0374532,	0.174782,	0.649189,	0.274657,	0.948814,	0.724095,	0.11236,	1.57303,	0.574282,	2.84644,	0.274657,	0.212235,	2.24719,	1.26092,	0.187266,	1.38577,	0.387016,	0.774032,	0.274657,	0.162297,	0.062422,	0.162297,	0.0873908,	0.212235,	2.7965,	0.249688,	0.0124844,	0.0124844,	0.661673,	2.35955,	0.449438,	1.06117,	0.287141,	0.998752,	0.274657,	0.611735,	0.62422,	1.14856,	0.0749064,	0.387016,	0.062422,	0.424469,	0.0873908,	1.3608,	2.84644,	0.11236,	1.18602,	1.38577,	0.0374532,	0.224719,	1.88514,	0.387016,	1.28589,	0.0124844,	3.58302,	0.224719,	1.94757,	0.474407,	0.0124844,	1.38577,	1.88514,	2.28464,	1.53558,	0.062422,	0.461923,	0.636704,	0.0499376,	0.0374532,	0.299625,	0.212235,	0.0749064,	0.324594,	0.162297,	0.0374532,	0.174782,	1.16105,	
H7-hESC,	0.074813,	23.5536,	2.23192,	1.40898,	2.25686,	0.648379,	0.274314,	0.63591,	0.249377,	0.162095,	0.448878,	2.00748,	3.34165,	0.349127,	1.38404,	1.59601,	1.89526,	0.137157,	0.349127,	0.187032,	0.660848,	0.511222,	0.124688,	0.486284,	0.124688,	0.311721,	0.698254,	0.199501,	0.523691,	0.586035,	0.149626,	1.45885,	0.448878,	3.16708,	0.124688,	0.224439,	2.34414,	0.810474,	0.361596,	1.67082,	0.411471,	0.947631,	0.336658,	0.0872818,	0.162095,	0.162095,	0.0498753,	0.236908,	2.95511,	0.411471,	0.0374065,	0.074813,	0.773067,	2.40648,	0.498753,	1.37157,	0.336658,	1.1596,	0.311721,	0.685786,	0.399002,	1.25935,	0.199501,	0.63591,	0.0498753,	0.461347,	0.0872818,	1.63342,	1.70823,	0.0997506,	1.23441,	1.44638,	0.074813,	0.261845,	1.17207,	0.810474,	0.947631,	0.0498753,	2.19451,	0.386534,	1.54613,	0.548628,	0.0249377,	1.3591,	2.25686,	2.38155,	1.73317,	0.174564,	0.511222,	0.511222,	0.0498753,	0.112219,	0.224439,	0.0997506,	0.0374065,	0.32419,	0.162095,	0.0872818,	0.074813,	1.07232,	
HA-h,	0.21779,	16.9647,	2.13205,	1.4099,	2.06327,	0.722146,	0.538744,	1.2265,	0.527281,	0.160477,	0.43558,	2.33838,	3.09491,	0.550206,	1.32967,	1.08895,	1.4099,	0.194865,	0.401192,	0.171939,	0.596057,	0.458505,	0.447043,	0.492893,	0.183402,	0.424117,	1.07749,	0.286566,	0.985786,	0.664833,	0.206327,	1.8111,	0.573132,	2.67079,	0.0917011,	0.424117,	1.79963,	0.825309,	0.458505,	1.26089,	0.538744,	1.0431,	0.389729,	0.240715,	0.183402,	0.286566,	0.183402,	0.447043,	3.28978,	0.584594,	0.0229253,	0.114626,	0.87116,	2.22375,	0.630445,	1.39844,	0.458505,	1.16919,	0.538744,	0.699221,	0.65337,	1.68501,	0.320954,	0.733608,	0.103164,	0.664833,	0.160477,	1.42137,	1.8111,	0.298028,	1.37552,	1.19211,	0.114626,	0.343879,	1.45575,	0.65337,	1.06602,	0.0114626,	2.95736,	0.389729,	1.87987,	0.733608,	0.0343879,	1.34113,	2.44154,	2.06327,	1.44429,	0.183402,	0.596057,	0.848235,	0.103164,	0.103164,	0.355342,	0.103164,	0.0343879,	0.412655,	0.355342,	0.149014,	0.171939,	1.20358,	
HAEpiC,	0.0377453,	23.7796,	1.68596,	1.2456,	2.36538,	0.490689,	0.452944,	0.754907,	0.289381,	0.125818,	0.289381,	1.62305,	3.62355,	0.415199,	1.15752,	1.79919,	1.63563,	0.125818,	0.452944,	0.125818,	0.56618,	0.503271,	0.226472,	0.503271,	0.113236,	0.251636,	0.817816,	0.21389,	0.691998,	0.616507,	0.150981,	1.47207,	0.578762,	2.76799,	0.163563,	0.427781,	1.92501,	0.842979,	0.264217,	1.64821,	0.314545,	1.06945,	0.402617,	0.163563,	0.176145,	0.176145,	0.0629089,	0.150981,	2.81832,	0.251636,	0.0125818,	0.0503271,	0.70458,	2.02567,	0.641671,	1.33367,	0.276799,	1.04429,	0.264217,	0.629089,	0.478108,	1.17011,	0.176145,	0.390035,	0.0251636,	0.377453,	0.0754907,	1.32109,	2.34021,	0.163563,	1.37141,	1.23301,	0.0251636,	0.201308,	1.40916,	0.792652,	0.905888,	0.0125818,	2.90639,	0.364872,	1.62305,	0.679416,	0.0251636,	1.62305,	2.56668,	2.66734,	1.67338,	0.163563,	0.415199,	0.717162,	0.0629089,	0.0377453,	0.188727,	0.100654,	0.0754907,	0.390035,	0.201308,	0.1384,	0.0754907,	1.04429,	
HCF,	0.121374,	19.6504,	1.4929,	1.27443,	1.8813,	0.55832,	0.364122,	0.728244,	0.436946,	0.157786,	0.351984,	1.6871,	4.16313,	0.339847,	1.28656,	1.45649,	1.16519,	0.0849618,	0.473358,	0.109237,	0.570458,	0.364122,	0.218473,	0.546183,	0.109237,	0.206336,	0.946717,	0.351984,	1.44435,	0.898167,	0.109237,	1.66282,	0.473358,	2.71878,	0.254885,	0.254885,	1.95412,	0.716106,	0.242748,	1.35939,	0.339847,	1.06809,	0.351984,	0.109237,	0.109237,	0.157786,	0.0728244,	0.254885,	3.45916,	0.32771,	0.0242748,	0.0849618,	1.05595,	1.55359,	0.691832,	1.12878,	0.400534,	1.55359,	0.449084,	0.88603,	0.582595,	1.62641,	0.218473,	0.521908,	0.0728244,	0.509771,	0.109237,	1.11664,	2.62168,	0.218473,	1.45649,	1.26229,	0.0364122,	0.267023,	1.71137,	0.776793,	1.03168,	0.0121374,	3.66549,	0.364122,	2.09977,	0.631145,	0.0242748,	1.60214,	2.58527,	2.02694,	1.40794,	0.0849618,	0.400534,	0.83748,	0.133511,	0.109237,	0.436946,	0.157786,	0.0485496,	0.473358,	0.194198,	0.0728244,	0.0970992,	1.12878,	
HCM,	0.0985343,	19.4975,	1.89679,	1.05924,	2.01995,	0.739007,	0.566572,	1.00998,	0.541939,	0.135485,	0.443404,	1.56423,	3.31322,	0.455721,	1.21936,	1.37948,	1.3179,	0.110851,	0.406454,	0.135485,	0.455721,	0.369504,	0.246336,	0.554255,	0.0862175,	0.258653,	1.09619,	0.246336,	1.09619,	0.923759,	0.135485,	1.55192,	0.357187,	2.83286,	0.160118,	0.38182,	2.16775,	0.812908,	0.258653,	1.57655,	0.443404,	1.13314,	0.320236,	0.0985343,	0.172435,	0.283286,	0.160118,	0.38182,	3.3748,	0.443404,	0.0615839,	0.0985343,	0.936076,	1.69972,	0.492671,	1.17009,	0.394137,	1.21936,	0.468038,	0.800591,	0.65279,	1.44106,	0.147801,	0.554255,	0.0739007,	0.295603,	0.0985343,	1.10851,	2.64811,	0.135485,	1.60118,	1.21936,	0.0862175,	0.221702,	1.44106,	0.68974,	0.874492,	0.0246336,	3.23932,	0.468038,	2.29092,	0.665107,	0,	1.93374,	2.68506,	2.37714,	1.35485,	0.135485,	0.529622,	0.862175,	0.0985343,	0.0862175,	0.283286,	0.0739007,	0.0492672,	0.406454,	0.258653,	0.0492672,	0.110851,	1.09619,	
