cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.201952,	17.3679,	0.740491,	1.33513,	1.1444,	1.62684,	0.302928,	1.0322,	0.314148,	0.190733,	0.0560978,	2.45709,	4.31953,	0.830248,	0.628296,	1.20049,	1.51464,	0.0897565,	0.201952,	0.179513,	0.482441,	0.796589,	0.931224,	0.807809,	0.134635,	0.179513,	0.448783,	0.145854,	1.0883,	0.50488,	0.381465,	4.52149,	0.594637,	1.9522,	0.392685,	0.426344,	1.84001,	0.78537,	0.347807,	2.21025,	0.5161,	1.22293,	0.52732,	0.213172,	0.0224391,	0.190733,	0.145854,	0.201952,	2.50196,	0.583417,	0.112196,	0.0112196,	0.920004,	1.97464,	0.807809,	0.706833,	0.224391,	0.639515,	0.381465,	2.4683,	0.448783,	1.0322,	1.00976,	0.336587,	0.0448783,	0.314148,	0.134635,	1.89611,	4.49905,	0.078537,	0.908785,	1.38001,	0.123415,	0.302928,	1.86245,	0.302928,	2.1766,	0.123415,	2.65904,	0.168294,	0.830248,	0.448783,	0.0224391,	2.22147,	1.45854,	1.33513,	1.52586,	0.078537,	0.280489,	0.650735,	0.100976,	0.0560978,	0.325367,	0.437563,	0.0448783,	0.168294,	0.347807,	0.0448783,	0.168294,	0.572198,	
AoAF,	0.0940635,	15.0502,	0.794314,	1.68269,	1.34824,	1.97533,	0.595736,	1.04515,	0.240385,	0.229933,	0.041806,	2.4352,	4.02383,	0.815217,	0.83612,	0.919732,	1.7245,	0.0940635,	0.198579,	0.13587,	0.637542,	0.721154,	1.3587,	0.783863,	0.104515,	0.0940635,	0.55393,	0.198579,	1.44231,	0.585284,	0.407609,	3.53261,	0.585284,	2.36204,	0.229933,	0.407609,	1.88127,	0.564381,	0.438963,	2.23662,	0.668896,	1.48411,	0.564381,	0.219482,	0.0522575,	0.104515,	0.104515,	0.407609,	1.7454,	0.731605,	0.062709,	0.0313545,	0.992893,	2.12166,	1.04515,	0.783863,	0.261288,	0.909281,	0.41806,	2.28888,	0.491221,	1.0556,	1.21237,	0.271739,	0.0731605,	0.386706,	0.0731605,	2.44565,	3.04139,	0.0731605,	1.0556,	1.22283,	0.167224,	0.365803,	2.14256,	0.3449,	2.70694,	0.0940635,	2.21572,	0.156773,	0.877926,	0.459866,	0.0104515,	2.57107,	1.4214,	1.46321,	1.69314,	0.041806,	0.41806,	0.752508,	0.0940635,	0.0940635,	0.323997,	0.3449,	0.083612,	0.125418,	0.407609,	0.062709,	0.20903,	0.543478,	
CD20+,	0.0775895,	25.6951,	1.21557,	0.89228,	1.53886,	1.00866,	0.349153,	0.827622,	0.271563,	0.2457,	0,	2.4958,	4.81055,	0.659511,	0.478469,	2.04319,	0.698306,	0.0905211,	0.219837,	0.155179,	0.271563,	0.478469,	0.827622,	0.956938,	0.0387948,	0.155179,	0.387948,	0.258632,	0.620716,	0.426743,	0.232769,	2.2113,	0.413811,	2.37941,	0.349153,	0.336221,	1.31902,	1.06039,	0.439674,	2.31475,	0.32329,	0.750032,	0.232769,	0.168111,	0.0775895,	0.142248,	0.155179,	0.32329,	2.44407,	0.478469,	0.142248,	0.0517264,	0.633648,	2.28889,	0.698306,	0.827622,	0.0905211,	0.4914,	0.155179,	1.43541,	0.439674,	0.620716,	0.633648,	0.400879,	0.0517264,	0.206905,	0.0129316,	2.05612,	4.09931,	0.064658,	0.556058,	1.82335,	0.103453,	0.232769,	2.68977,	0.168111,	2.85788,	0.103453,	2.62511,	0.155179,	0.452606,	0.32329,	0.0775895,	0.866417,	0.543127,	1.53886,	1.99147,	0.064658,	0.181042,	0.336221,	0.103453,	0.0129316,	0.297427,	0.232769,	0.0517264,	0.181042,	0.258632,	0.0775895,	0.219837,	1.12505,	
GM06990,	0.292588,	30.1365,	1.34915,	0.959038,	1.98309,	0.520156,	0.455137,	0.195059,	0.146294,	0.390117,	0.130039,	3.07217,	3.36476,	0.243823,	0.503901,	1.658,	0.406372,	0.0812744,	0.195059,	0.373862,	0.325098,	0.877763,	0.552666,	2.27568,	0.0975293,	0.373862,	0.146294,	0.373862,	0.146294,	0.438882,	0.211313,	0.731469,	0.763979,	3.23472,	0.763979,	0.178804,	0.243823,	1.44668,	0.260078,	2.45449,	0.780234,	1.67425,	0.0325098,	0.243823,	0.113784,	0.130039,	0.0487646,	0.0975293,	1.658,	0.406372,	0.0975293,	0.0812744,	0.243823,	2.0156,	0.991547,	0.487646,	0.113784,	0.325098,	0.0325098,	0.975293,	0.325098,	0.325098,	0.195059,	0.568921,	0.0650195,	0.812744,	0.0162549,	1.46294,	1.95059,	0.113784,	0.178804,	1.91808,	0.130039,	0.60143,	5.42913,	0.146294,	3.52731,	0.0975293,	1.49545,	0.0812744,	0.292588,	0.0325098,	0.0975293,	0.357607,	0.780234,	0.828999,	1.56047,	0,	0.357607,	0.195059,	0.0162549,	0.0325098,	0.406372,	0.926528,	0.0975293,	0.0487646,	0.113784,	0.113784,	0.373862,	1.02406,	
GM12865,	0.132642,	21.7895,	1.21789,	1.03702,	1.70023,	1.38671,	0.349693,	0.506451,	0.132642,	0.192934,	0.0241167,	2.53226,	4.85952,	0.51851,	0.578801,	1.63994,	1.18172,	0.1447,	0.120584,	0.156759,	0.289401,	0.566743,	0.952611,	1.32642,	0.132642,	0.217051,	0.482334,	0.217051,	0.964669,	0.494393,	0.1447,	2.72519,	0.59086,	2.56843,	0.325576,	0.482334,	1.26613,	1.02496,	0.59086,	2.39961,	0.289401,	0.759677,	0.301459,	0.289401,	0.0361751,	0.108525,	0.108525,	0.253226,	2.39961,	0.385868,	0.1447,	0.0482334,	0.66321,	2.0861,	0.819969,	0.747618,	0.108525,	0.771735,	0.217051,	1.67611,	0.434101,	0.832027,	0.675268,	0.325576,	0.0844085,	0.253226,	0.0120584,	2.17051,	3.94308,	0.0361751,	0.675268,	1.37465,	0.0723502,	0.385868,	2.42373,	0.217051,	2.56843,	0.0482334,	3.2437,	0.0482334,	0.771735,	0.434101,	0.0361751,	1.18172,	0.832027,	1.61582,	2.11021,	0.0241167,	0.253226,	0.409984,	0.1447,	0.0241167,	0.277342,	0.313517,	0.0602918,	0.0482334,	0.265284,	0.0361751,	0.168817,	0.988786,	
H7-hESC,	0.094007,	21.8684,	1.03408,	1.44536,	1.44536,	1.59812,	0.246769,	1.05758,	0.293772,	0.211516,	0.0235018,	2.29142,	4.14806,	0.622797,	0.705053,	1.63337,	1.30435,	0.0352526,	0.12926,	0.176263,	0.340776,	0.787309,	0.893067,	0.857814,	0.176263,	0.223267,	0.505288,	0.246769,	0.693302,	0.470035,	0.258519,	2.43243,	0.822562,	2.6557,	0.223267,	0.305523,	1.3866,	0.6698,	0.434783,	2.53819,	0.634548,	1.16334,	0.352526,	0.105758,	0.0235018,	0.0822562,	0.0822562,	0.340776,	1.90364,	0.52879,	0.0822562,	0.0235018,	0.564042,	2.33843,	0.893067,	0.622797,	0.094007,	0.763807,	0.141011,	1.63337,	0.564042,	1.03408,	0.92832,	0.258519,	0.0587544,	0.305523,	0,	2.29142,	3.11398,	0.0352526,	0.79906,	1.3631,	0.0705053,	0.470035,	2.57344,	0.211516,	2.69095,	0.0822562,	2.62045,	0.094007,	1.06933,	0.329025,	0,	1.56287,	0.904818,	1.90364,	2.17391,	0.0117509,	0.235018,	0.693302,	0.0117509,	0.0587544,	0.211516,	0.340776,	0.0235018,	0.117509,	0.223267,	0.105758,	0.211516,	0.587544,	
HA-h,	0.239085,	14.7609,	1.40333,	1.79834,	1.15385,	1.61123,	0.37422,	0.925156,	0.31185,	0.39501,	0.10395,	2.02703,	3.78378,	0.841996,	1.06029,	1.07069,	1.4553,	0.0727651,	0.301455,	0.301455,	0.634096,	0.790021,	0.925156,	0.893971,	0.27027,	0.239085,	0.769231,	0.35343,	1.07069,	0.561331,	0.47817,	3.17048,	0.748441,	1.64241,	0.467775,	0.571726,	1.4553,	0.945946,	0.43659,	1.95426,	0.727651,	1.59044,	0.405405,	0.301455,	0.0831601,	0.2079,	0.22869,	0.47817,	1.73597,	0.956341,	0.18711,	0.0935551,	1.16424,	2.24532,	1.0499,	0.893971,	0.29106,	0.997921,	0.47817,	2.01663,	0.623701,	0.904366,	1.08108,	0.384615,	0.22869,	0.4158,	0.0935551,	1.98545,	2.85863,	0.155925,	0.790021,	1.11227,	0.197505,	0.384615,	2.27651,	0.37422,	2.47401,	0.22869,	2.21414,	0.24948,	0.883576,	0.665281,	0.04158,	2.30769,	1.65281,	1.47609,	1.58004,	0.10395,	0.280665,	0.644491,	0.114345,	0.0935551,	0.29106,	0.405405,	0.0623701,	0.24948,	0.45738,	0.0935551,	0.16632,	0.893971,	
HAEpiC,	0.0447577,	18.5073,	0.693745,	1.54414,	1.33154,	1.93577,	0.313304,	1.40987,	0.324494,	0.234978,	0.0223789,	2.14837,	3.50229,	0.704935,	0.828018,	1.21965,	1.81269,	0.0783261,	0.111894,	0.0895155,	0.335683,	0.895155,	1.30916,	0.727313,	0.179031,	0.246168,	0.704935,	0.212599,	0.951102,	0.469956,	0.335683,	3.93868,	0.772071,	1.94696,	0.156652,	0.246168,	1.49938,	0.637798,	0.559472,	2.80855,	0.716124,	1.40987,	0.514714,	0.246168,	0.0335683,	0.100705,	0.145463,	0.369251,	2.07005,	0.559472,	0.0895155,	0.0335683,	0.861587,	2.05886,	0.928723,	0.660177,	0.167842,	0.783261,	0.167842,	2.24908,	0.335683,	0.828018,	0.883966,	0.290925,	0.0447577,	0.279736,	0.0335683,	2.14837,	3.40159,	0.0671366,	0.906344,	1.49938,	0.0447577,	0.324494,	2.23789,	0.246168,	2.34978,	0.0895155,	2.93163,	0.145463,	0.917534,	0.257357,	0.0223789,	2.10361,	1.02943,	1.34273,	1.96934,	0.0335683,	0.313304,	0.928723,	0.0223789,	0.0783261,	0.268546,	0.469956,	0.0559472,	0.0671366,	0.313304,	0.0895155,	0.123084,	0.548282,	
HCF,	0.195801,	15.1637,	1.08778,	1.57729,	1.21832,	1.55553,	0.456869,	0.902861,	0.315457,	0.228435,	0.0761449,	2.28435,	4.48167,	0.913739,	0.674426,	0.837594,	1.59904,	0.0543892,	0.174045,	0.141412,	0.456869,	0.794082,	1.02252,	0.913739,	0.15229,	0.130534,	0.565648,	0.130534,	1.425,	0.815838,	0.391602,	4.01392,	0.40248,	2.14293,	0.315457,	0.445992,	1.64255,	0.685304,	0.467747,	2.08855,	0.728815,	1.50114,	0.620037,	0.380724,	0.0217557,	0.195801,	0.261068,	0.369847,	1.96889,	0.685304,	0.0761449,	0.0435114,	1.02252,	1.89274,	1.01164,	0.870227,	0.282824,	0.794082,	0.489503,	2.56717,	0.358969,	1.09866,	0.902861,	0.30458,	0.108778,	0.337213,	0.119656,	1.76221,	4.40553,	0.0870227,	0.750571,	1.16393,	0.119656,	0.282824,	2.05591,	0.315457,	2.38225,	0.0979006,	2.2082,	0.0979006,	0.924617,	0.413358,	0.0108778,	2.404,	1.53378,	1.49026,	1.70782,	0.0979006,	0.337213,	0.696182,	0.15229,	0.0761449,	0.315457,	0.30458,	0.0326335,	0.206679,	0.522136,	0.108778,	0.195801,	0.783205,	
HCM,	0.154049,	15.2179,	0.946303,	1.66153,	1.13336,	1.68354,	0.352113,	1.21039,	0.18706,	0.275088,	0.0440141,	2.29974,	4.29137,	0.792253,	0.737236,	0.990317,	1.33143,	0.0990317,	0.176056,	0.209067,	0.517165,	0.616197,	1.01232,	0.880282,	0.231074,	0.209067,	0.363116,	0.132042,	1.49648,	0.649208,	0.286092,	4.26937,	0.572183,	1.80458,	0.22007,	0.506162,	1.78257,	0.792253,	0.572183,	2.33275,	0.539173,	1.28741,	0.638204,	0.253081,	0.0550176,	0.253081,	0.154049,	0.451144,	1.96963,	0.583187,	0.198063,	0.0660211,	1.12236,	2.26673,	1.00132,	0.792253,	0.242077,	1.11136,	0.385123,	2.58583,	0.451144,	1.07835,	1.02333,	0.308099,	0.0550176,	0.341109,	0.121039,	1.89261,	3.96127,	0.0770246,	0.671215,	1.32042,	0.110035,	0.429137,	1.8596,	0.429137,	2.45379,	0.0880282,	2.44278,	0.132042,	1.04533,	0.418134,	0.0440141,	2.42077,	1.58451,	1.18838,	1.50748,	0.0330106,	0.319102,	0.715229,	0.132042,	0.0660211,	0.385123,	0.385123,	0.0330106,	0.165053,	0.385123,	0.0880282,	0.165053,	0.682218,	
