cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.263707,	17.8772,	0.824085,	1.29656,	0.99989,	0.835073,	0.582354,	1.91188,	0.747171,	0.0219756,	0.362598,	2.40633,	5.96638,	0.593341,	0.659268,	2.02176,	0.285683,	0.0439512,	0.571366,	0.153829,	0.901,	0.428524,	0.0988902,	1.27459,	0.0769146,	0.19778,	1.09878,	0.219756,	1.06582,	0.879024,	0.307658,	0.944951,	0.725195,	2.17559,	0.571366,	0.120866,	1.16471,	2.7909,	0.164817,	0.758158,	0.494451,	1.15372,	0.373585,	0.296671,	0.142841,	0.19778,	0.0659268,	0.219756,	1.13174,	0.911988,	0.0769146,	0.131854,	0.219756,	2.05472,	0.615317,	0.571366,	0.54939,	0.637293,	0.0879024,	2.37337,	0.582354,	0.329634,	0.263707,	0.725195,	0.0879024,	0.472476,	0.0219756,	0.725195,	2.2525,	0,	0.736183,	1.40644,	0.0879024,	0.966927,	1.84595,	0.373585,	1.40644,	0.0659268,	8.88913,	0.054939,	1.49434,	0.494451,	0.0219756,	1.56027,	0.54939,	2.52719,	0.835073,	0.0769146,	1.05483,	0.54939,	0.120866,	0.175805,	0.933963,	0.208768,	0.0879024,	0.0988902,	0.109878,	0.208768,	0.230744,	0.670256,	
AoAF,	0.509847,	12.1064,	1.0097,	1.3396,	0.749775,	1.03969,	0.989703,	2.20934,	0.879736,	0.09997,	0.49985,	2.08937,	6.43807,	0.619814,	0.629811,	1.84945,	0.309907,	0.019994,	0.529841,	0.309907,	0.949715,	0.289913,	0.089973,	1.44957,	0.079976,	0.159952,	1.30961,	0.169949,	1.76947,	1.12966,	0.159952,	0.869739,	0.839748,	2.03939,	0.529841,	0.29991,	1.06968,	2.70919,	0.109967,	0.729781,	0.519844,	1.09967,	0.29991,	0.119964,	0.209937,	0.289913,	0.049985,	0.289913,	0.809757,	0.909727,	0.149955,	0.139958,	0.179946,	1.6695,	0.409877,	0.449865,	0.69979,	0.759772,	0.129961,	2.9891,	0.919724,	0.389883,	0.229931,	0.859742,	0.119964,	0.559832,	0.049985,	0.509847,	2.51924,	0.039988,	1.05968,	0.859742,	0.109967,	1.06968,	1.64951,	0.169949,	1.63951,	0.049985,	11.0067,	0.039988,	1.49955,	0.589823,	0.039988,	1.73948,	0.679796,	2.77917,	0.529841,	0.109967,	2.18934,	0.459862,	0.049985,	0.129961,	1.11966,	0.159952,	0.089973,	0.089973,	0.149955,	0.149955,	0.159952,	0.269919,	
CD20+,	0.252391,	27.67,	1.03613,	0.544633,	1.44793,	0.411796,	0.278959,	0.757173,	0.358661,	0.0132837,	0.305526,	3.1881,	4.62274,	0.491498,	0.518066,	2.65675,	0.172689,	0.0398512,	0.42508,	0.132837,	0.810308,	0.385228,	0.10627,	1.78002,	0.053135,	0.0398512,	0.557917,	0.305526,	0.903294,	0.411796,	0.21254,	0.903294,	0.305526,	2.88257,	0.664187,	0.265675,	1.1424,	3.7593,	0.0929862,	1.30181,	0.225824,	0.717322,	0.239107,	0.0398512,	0.132837,	0.132837,	0.0797024,	0.10627,	1.11583,	0.398512,	0.0929862,	0.053135,	0.10627,	2.2051,	0.278959,	0.371945,	0.252391,	0.411796,	0.0929862,	1.59405,	0.491498,	0.305526,	0.10627,	0.863443,	0.0664187,	0.292242,	0.0664187,	0.876727,	3.46706,	0.0398512,	0.597768,	2.24495,	0.0265675,	0.544633,	2.57705,	0.172689,	1.80659,	0.0265675,	5.92455,	0.0265675,	1.02285,	0.31881,	0.0132837,	0.876727,	0.438363,	2.13868,	0.969713,	0.0265675,	0.571201,	0.265675,	0.0797024,	0.10627,	0.53135,	0.10627,	0.053135,	0.0398512,	0.0664187,	0.146121,	0.159405,	0.690755,	
GM06990,	0.689542,	26.8593,	1.26416,	0.738795,	2.1343,	0.49253,	0.738795,	0.410442,	0.197012,	0.114924,	0.098506,	1.5761,	3.49696,	0.673124,	0.21343,	1.36267,	0.164177,	0.0656707,	0.508948,	0.476112,	0.164177,	0.246265,	0.394024,	3.28353,	0.180594,	0.131341,	0.131341,	0.295518,	0.328353,	0.426859,	0.114924,	0.49253,	0.508948,	3.92382,	0.804466,	0.180594,	0.426859,	2.6925,	0.229847,	2.56116,	0.541783,	0.70596,	0.0328353,	0.114924,	0.049253,	0.0820883,	0.0328353,	0.098506,	1.9537,	0.2791,	0.164177,	0.114924,	0.21343,	0.870136,	0.574618,	0.508948,	0.049253,	0.246265,	0.0164177,	0.459695,	0.574618,	0.525365,	0.229847,	0.689542,	0.0328353,	0.558201,	0.0328353,	1.26416,	3.71039,	0.147759,	0.426859,	1.74027,	0.131341,	0.656707,	4.54769,	0.098506,	3.95666,	0.0164177,	5.92678,	0.0820883,	0.508948,	0.394024,	0.0164177,	0.131341,	0.525365,	0.77163,	1.14924,	0,	0.410442,	0.197012,	0.0820883,	0.147759,	0.49253,	0.591036,	0.131341,	0.0164177,	0.197012,	0.049253,	0.229847,	1.70744,	
GM12865,	0.164599,	24.2973,	1.17751,	0.607749,	1.65865,	0.582426,	0.544442,	1.15219,	0.392504,	0.0759686,	0.303874,	2.68422,	5.41909,	0.405166,	0.493796,	2.24107,	0.164599,	0.0253229,	0.303874,	0.26589,	0.62041,	0.215244,	0.189921,	1.63332,	0.0506457,	0.164599,	0.835655,	0.253229,	0.848316,	0.671056,	0.253229,	0.734363,	0.44315,	2.54495,	0.70904,	0.253229,	1.10154,	3.51988,	0.113953,	0.924285,	0.215244,	0.70904,	0.316536,	0.08863,	0.139276,	0.164599,	0.0759686,	0.08863,	1.17751,	0.493796,	0.0759686,	0.08863,	0.101291,	1.98785,	0.493796,	0.633072,	0.303874,	0.392504,	0.08863,	1.65865,	0.557103,	0.202583,	0.17726,	0.683717,	0.0759686,	0.341859,	0.0506457,	0.772347,	3.36794,	0.08863,	0.595087,	1.78526,	0.0506457,	0.645733,	2.62092,	0.202583,	1.89921,	0.0253229,	8.34388,	0.0633072,	0.848316,	0.278552,	0,	0.848316,	0.493796,	2.00051,	1.03824,	0.0379843,	0.671056,	0.26589,	0.0506457,	0.151937,	0.785009,	0.151937,	0.0506457,	0.0253229,	0.0759686,	0.113953,	0.189921,	1.03824,	
H7-hESC,	0.270828,	25.7544,	0.876967,	0.967243,	1.41862,	0.438483,	0.502966,	0.928553,	0.335311,	0.0257931,	0.283725,	2.78566,	5.6229,	0.193449,	0.580346,	2.244,	0.232138,	0.0128966,	0.438483,	0.167655,	0.683518,	0.206345,	0.154759,	1.63786,	0.0515863,	0.128966,	0.735104,	0.116069,	0.876967,	0.606139,	0.141862,	0.606139,	0.45138,	3.31442,	0.619035,	0.245035,	0.915656,	3.17256,	0.116069,	1.1349,	0.180552,	0.631932,	0.116069,	0.090276,	0.0515863,	0.154759,	0.0644828,	0.0128966,	1.30255,	0.41269,	0.0515863,	0.0386897,	0.167655,	2.08924,	0.386897,	0.477173,	0.232138,	0.683518,	0.090276,	1.67655,	0.696415,	0.245035,	0.116069,	0.49007,	0.0515863,	0.45138,	0.0773794,	0.709311,	3.08228,	0.0128966,	0.606139,	1.81842,	0.0644828,	0.773794,	2.618,	0.103173,	1.45731,	0.0257931,	8.53753,	0.0128966,	1.23807,	0.374001,	0.0128966,	0.82538,	0.477173,	1.92159,	0.838277,	0.0644828,	0.928553,	0.335311,	0.0515863,	0.116069,	0.541656,	0.154759,	0.090276,	0.0515863,	0.0644828,	0.0773794,	0.141862,	0.838277,	
HA-h,	0.427829,	16.1862,	1.29367,	1.11032,	0.825099,	0.835286,	0.611185,	2.04747,	0.825099,	0.0814913,	0.478761,	2.23082,	3.89121,	0.702862,	1.00845,	1.39554,	0.438016,	0.132423,	0.621371,	0.325965,	1.21218,	0.631558,	0.14261,	1.15106,	0.0916777,	0.264847,	1.41591,	0.193542,	1.01864,	0.784354,	0.499134,	1.28349,	0.590812,	1.95579,	0.743608,	0.234287,	1.43628,	2.61791,	0.203728,	0.570439,	0.448202,	1.31405,	0.519507,	0.224101,	0.325965,	0.356524,	0.162983,	0.162983,	0.845472,	0.804726,	0.14261,	0.203728,	0.224101,	2.21045,	0.53988,	0.692676,	0.733422,	0.804726,	0.14261,	2.64847,	0.702862,	0.570439,	0.356524,	0.886218,	0.173169,	0.560253,	0.152796,	1.00845,	2.30213,	0.0509321,	0.835286,	1.34461,	0.193542,	0.876031,	2.16971,	0.417643,	1.51778,	0.101864,	6.50912,	0.0916777,	1.54833,	0.590812,	0.0203728,	1.71132,	0.835286,	2.64847,	0.926963,	0.0203728,	1.05939,	0.590812,	0.173169,	0.325965,	0.916777,	0.173169,	0.0509321,	0.14261,	0.152796,	0.315779,	0.224101,	0.733422,	
HAEpiC,	0.311735,	17.279,	0.946337,	1.1356,	0.846137,	0.72367,	0.668003,	1.62547,	0.634603,	0.0334001,	0.267201,	2.53841,	5.98976,	0.523269,	0.835003,	1.79247,	0.411935,	0.0334001,	0.378535,	0.211534,	1.01314,	0.356268,	0.111334,	1.26921,	0.0779336,	0.178134,	1.42507,	0.200401,	1.34714,	1.12447,	0.200401,	0.801603,	0.701403,	2.74994,	0.578936,	0.222668,	1.04654,	2.67201,	0.144734,	0.935204,	0.356268,	0.990871,	0.334001,	0.133601,	0.222668,	0.200401,	0.0334001,	0.122467,	0.89067,	0.768203,	0.0668003,	0.1002,	0.345135,	1.60321,	0.567802,	0.456468,	0.623469,	0.879537,	0.1002,	2.49388,	0.846137,	0.423068,	0.211534,	0.512135,	0.089067,	0.567802,	0.0556669,	0.712536,	2.11534,	0.0222668,	0.92407,	1.26921,	0.167001,	1.2024,	1.69227,	0.222668,	1.19127,	0.0779336,	9.87531,	0.0556669,	1.89267,	0.389668,	0,	1.55867,	0.656869,	2.42708,	0.701403,	0.0556669,	1.53641,	0.501002,	0.133601,	0.178134,	0.912937,	0.167001,	0.111334,	0.0779336,	0.133601,	0.155867,	0.1002,	0.445335,	
HCF,	0.25322,	18.6172,	1.05692,	1.35418,	1.01288,	0.660575,	0.506441,	1.50831,	0.627546,	0.0440383,	0.495431,	2.19091,	5.83508,	0.605527,	0.638556,	1.75052,	0.275239,	0.0330287,	0.506441,	0.242211,	0.924805,	0.429374,	0.231201,	1.39822,	0.0990862,	0.231201,	1.2661,	0.110096,	1.0349,	0.814709,	0.25322,	0.924805,	0.660575,	2.22393,	0.671584,	0.308268,	1.11197,	2.69735,	0.165144,	0.726632,	0.407354,	0.913795,	0.407354,	0.154134,	0.165144,	0.297259,	0.110096,	0.26423,	0.891776,	0.946824,	0.132115,	0.143125,	0.26423,	2.10283,	0.572498,	0.605527,	0.572498,	0.737642,	0.154134,	2.47715,	0.660575,	0.583508,	0.308268,	0.638556,	0.0880766,	0.462402,	0.0880766,	0.660575,	2.38908,	0.0330287,	0.836728,	1.15601,	0.176153,	0.924805,	2.09182,	0.330287,	1.57437,	0.0550479,	8.66454,	0.0550479,	1.45326,	0.451393,	0.0440383,	1.47528,	0.671584,	2.23494,	0.78168,	0.110096,	1.18903,	0.506441,	0.110096,	0.286249,	0.715623,	0.154134,	0.132115,	0.077067,	0.132115,	0.154134,	0.165144,	0.561489,	
HCM,	0.384311,	17.4975,	0.960778,	1.23206,	0.859048,	0.870351,	0.531254,	1.54855,	0.542557,	0.0678196,	0.452131,	2.53193,	6.26201,	0.723409,	0.689499,	1.79722,	0.259975,	0.0678196,	0.48604,	0.361705,	0.926868,	0.361705,	0.135639,	1.42421,	0.0565163,	0.237369,	0.994687,	0.248672,	1.3677,	0.881655,	0.293885,	0.915565,	0.734712,	2.20414,	0.55386,	0.259975,	1.0399,	2.97276,	0.124336,	0.712106,	0.327795,	1.00599,	0.361705,	0.214762,	0.192156,	0.203459,	0.101729,	0.124336,	1.09642,	0.904261,	0.113033,	0.146942,	0.226065,	1.98937,	0.531254,	0.474737,	0.678196,	0.746016,	0.135639,	2.87103,	0.813835,	0.305188,	0.214762,	0.576467,	0.0904261,	0.452131,	0.0565163,	0.610376,	2.35108,	0.0339098,	0.757319,	1.14163,	0.113033,	1.20945,	2.26065,	0.237369,	1.3677,	0.113033,	9.39301,	0.0452131,	1.48073,	0.384311,	0.0113033,	1.58246,	0.610376,	2.23805,	0.599073,	0.0565163,	1.33379,	0.327795,	0.0452131,	0.101729,	0.779925,	0.192156,	0.0565163,	0.0565163,	0.0565163,	0.124336,	0.259975,	0.542557,	
